# _root_ En aquests moments hi ha una discriminació de la balança fiscal envers Catalunya i l' Estat , per moltes voltes que hi vulgui donar , no ens deixarà a tots contents .
#goldHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,5,20,18,23,23,20,23,5,28,28,5,28,29,28,5,
#predictedHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,28,20,18,23,23,20,23,18,28,28,7,28,29,30,5,
(7,4),(7,24),-0.0520076 # DEPENDENCYPART_SIBL
(7,4),(7,28),-0.0697428 # DEPENDENCYPART_SIBL
(7,4),(7,32),-0.0139734 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.178662 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.065554 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0219212 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.185882 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.113702 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0348062 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0220054 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0325622 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0306555 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.110141 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0234053 # DEPENDENCYPART_SIBL
(7,5),(7,23),-0.12895 # DEPENDENCYPART_SIBL
(7,5),(7,24),-0.123761 # DEPENDENCYPART_SIBL
(7,5),(7,28),-0.118772 # DEPENDENCYPART_SIBL
(7,5),(7,32),0.0992673 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.174409 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0887041 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.127427 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0743706 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.125919 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0242633 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.135864 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0266823 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0584531 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.0887041 # DEPENDENCYPART_SIBL
(7,6),(7,23),0.137766 # DEPENDENCYPART_SIBL
(7,6),(7,24),0.166786 # DEPENDENCYPART_SIBL
(7,6),(7,28),0.164047 # DEPENDENCYPART_SIBL
(7,6),(7,32),0.137064 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0108799 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.00121401 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0361426 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0239611 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0183783 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0122552 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0218594 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0849208 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.0100193 # DEPENDENCYPART_SIBL
(7,8),(7,23),-0.006908 # DEPENDENCYPART_SIBL
(7,8),(7,24),-0.0171457 # DEPENDENCYPART_SIBL
(7,8),(7,28),-0.000464451 # DEPENDENCYPART_SIBL
(7,8),(7,32),0.00239618 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0084387 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.025562 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0149056 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0439414 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.00353546 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0278287 # DEPENDENCYPART_SIBL
(7,10),(7,18),9.06118e-05 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.0118202 # DEPENDENCYPART_SIBL
(7,10),(7,23),0.0128998 # DEPENDENCYPART_SIBL
(7,10),(7,24),0.00776648 # DEPENDENCYPART_SIBL
(7,10),(7,28),0.00804104 # DEPENDENCYPART_SIBL
(7,10),(7,32),-0.00818684 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0297421 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.07129 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0527077 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0617504 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0796 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.0232078 # DEPENDENCYPART_SIBL
(7,11),(7,20),-0.0538946 # DEPENDENCYPART_SIBL
(7,11),(7,23),-0.0335952 # DEPENDENCYPART_SIBL
(7,11),(7,24),-0.0340396 # DEPENDENCYPART_SIBL
(7,11),(7,28),-0.0333452 # DEPENDENCYPART_SIBL
(7,11),(7,32),-0.0713376 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0392776 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.018352 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0424528 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0662077 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.13912 # DEPENDENCYPART_SIBL
(7,12),(7,20),0.062343 # DEPENDENCYPART_SIBL
(7,12),(7,23),0.0215975 # DEPENDENCYPART_SIBL
(7,12),(7,24),0.01996 # DEPENDENCYPART_SIBL
(7,12),(7,28),0.0246294 # DEPENDENCYPART_SIBL
(7,12),(7,32),0.113942 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0287777 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.00683199 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.0376123 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0272696 # DEPENDENCYPART_SIBL
(7,13),(7,20),0.00853053 # DEPENDENCYPART_SIBL
(7,13),(7,23),-0.00193723 # DEPENDENCYPART_SIBL
(7,13),(7,24),-0.00708003 # DEPENDENCYPART_SIBL
(7,13),(7,28),-0.00679596 # DEPENDENCYPART_SIBL
(7,13),(7,32),-0.00848766 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.573938 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0466527 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0565778 # DEPENDENCYPART_SIBL
(7,14),(7,20),0.601608 # DEPENDENCYPART_SIBL
(7,14),(7,23),0.0992138 # DEPENDENCYPART_SIBL
(7,14),(7,24),0.0898558 # DEPENDENCYPART_SIBL
(7,14),(7,28),0.0999342 # DEPENDENCYPART_SIBL
(7,14),(7,32),-0.0114341 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.0179539 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.0118784 # DEPENDENCYPART_SIBL
(7,16),(7,20),0.0200175 # DEPENDENCYPART_SIBL
(7,16),(7,23),0.0148608 # DEPENDENCYPART_SIBL
(7,16),(7,24),0.00972386 # DEPENDENCYPART_SIBL
(7,16),(7,28),0.010002 # DEPENDENCYPART_SIBL
(7,16),(7,32),-0.0246088 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.00873769 # DEPENDENCYPART_SIBL
(7,17),(7,20),0.373582 # DEPENDENCYPART_SIBL
(7,17),(7,23),-0.046166 # DEPENDENCYPART_SIBL
(7,17),(7,24),-0.0346479 # DEPENDENCYPART_SIBL
(7,17),(7,28),-0.0413239 # DEPENDENCYPART_SIBL
(7,17),(7,32),0.00453134 # DEPENDENCYPART_SIBL
(7,18),(7,20),0.0393129 # DEPENDENCYPART_SIBL
(7,18),(7,23),0.0171014 # DEPENDENCYPART_SIBL
(7,18),(7,24),0.0189798 # DEPENDENCYPART_SIBL
(7,18),(7,28),0.017058 # DEPENDENCYPART_SIBL
(7,18),(7,32),0.129436 # DEPENDENCYPART_SIBL
(7,20),(7,23),0.0128961 # DEPENDENCYPART_SIBL
(7,20),(7,24),0.00776282 # DEPENDENCYPART_SIBL
(7,20),(7,28),0.00803739 # DEPENDENCYPART_SIBL
(7,20),(7,32),-0.0100016 # DEPENDENCYPART_SIBL
(7,23),(7,24),-0.0436902 # DEPENDENCYPART_SIBL
(7,23),(7,28),-0.0572282 # DEPENDENCYPART_SIBL
(7,23),(7,32),0.0275171 # DEPENDENCYPART_SIBL
(7,24),(7,28),-0.0600587 # DEPENDENCYPART_SIBL
(7,24),(7,32),0.0439947 # DEPENDENCYPART_SIBL
(7,28),(7,32),0.0303754 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00402195 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0346839 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0923452 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0351267 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0285263 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.00502056 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.43297 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.165289 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.933572 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0267609 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.941572 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.169974 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.460077 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0886277 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.449102 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.109537 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.126062 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.101851 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.00794251 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.958115 # DEPENDENCYPART_SIBL
(8,14),(8,16),0.234209 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.146021 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.132275 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0370787 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0336601 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0156334 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0264423 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0354845 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0306746 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0515884 # DEPENDENCYPART_SIBL
(10,1),(10,20),0.00344817 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.00689848 # DEPENDENCYPART_SIBL
(10,1),(10,24),0.00714677 # DEPENDENCYPART_SIBL
(10,1),(10,28),0.00271616 # DEPENDENCYPART_SIBL
(10,1),(10,30),-0.000281322 # DEPENDENCYPART_SIBL
(10,1),(10,31),-0.0210838 # DEPENDENCYPART_SIBL
(10,1),(10,32),0.0710906 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.786326 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.12612 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.066775 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.12616 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0255681 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.136104 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0264214 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.0519063 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0889448 # DEPENDENCYPART_SIBL
(10,6),(10,23),0.136091 # DEPENDENCYPART_SIBL
(10,6),(10,24),0.16511 # DEPENDENCYPART_SIBL
(10,6),(10,28),0.162372 # DEPENDENCYPART_SIBL
(10,6),(10,30),0.155077 # DEPENDENCYPART_SIBL
(10,6),(10,31),0.166151 # DEPENDENCYPART_SIBL
(10,6),(10,32),0.135841 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0905347 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0197886 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0292374 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0260399 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0158028 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0568172 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0646355 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0706748 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.0277923 # DEPENDENCYPART_SIBL
(10,9),(10,24),0.0620444 # DEPENDENCYPART_SIBL
(10,9),(10,28),0.0615108 # DEPENDENCYPART_SIBL
(10,9),(10,30),0.0555224 # DEPENDENCYPART_SIBL
(10,9),(10,31),-0.0506244 # DEPENDENCYPART_SIBL
(10,9),(10,32),-0.0261938 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0318236 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0641822 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0484898 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0546426 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.06741 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0224317 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.0467868 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.0291753 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.0296198 # DEPENDENCYPART_SIBL
(10,11),(10,28),-0.0289254 # DEPENDENCYPART_SIBL
(10,11),(10,30),-0.00716657 # DEPENDENCYPART_SIBL
(10,11),(10,31),-0.0878512 # DEPENDENCYPART_SIBL
(10,11),(10,32),-0.0597629 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0418188 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0189146 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.044994 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0708357 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.136508 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.0648842 # DEPENDENCYPART_SIBL
(10,12),(10,23),0.0222003 # DEPENDENCYPART_SIBL
(10,12),(10,24),0.0205628 # DEPENDENCYPART_SIBL
(10,12),(10,28),0.0252323 # DEPENDENCYPART_SIBL
(10,12),(10,30),0.0654213 # DEPENDENCYPART_SIBL
(10,12),(10,31),0.0576994 # DEPENDENCYPART_SIBL
(10,12),(10,32),0.118262 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0290182 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.00461304 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0419182 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0307818 # DEPENDENCYPART_SIBL
(10,13),(10,20),0.0107495 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.00165639 # DEPENDENCYPART_SIBL
(10,13),(10,24),-0.00679918 # DEPENDENCYPART_SIBL
(10,13),(10,28),-0.00651511 # DEPENDENCYPART_SIBL
(10,13),(10,30),-0.0243177 # DEPENDENCYPART_SIBL
(10,13),(10,31),0.019675 # DEPENDENCYPART_SIBL
(10,13),(10,32),-0.00448951 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.577036 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0418014 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.0536116 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.604707 # DEPENDENCYPART_SIBL
(10,14),(10,23),0.10004 # DEPENDENCYPART_SIBL
(10,14),(10,24),0.0906822 # DEPENDENCYPART_SIBL
(10,14),(10,28),0.100761 # DEPENDENCYPART_SIBL
(10,14),(10,30),0.630608 # DEPENDENCYPART_SIBL
(10,14),(10,31),0.249347 # DEPENDENCYPART_SIBL
(10,14),(10,32),-0.00689045 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.0222597 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0153906 # DEPENDENCYPART_SIBL
(10,16),(10,20),0.0222365 # DEPENDENCYPART_SIBL
(10,16),(10,23),0.0151416 # DEPENDENCYPART_SIBL
(10,16),(10,24),0.0100047 # DEPENDENCYPART_SIBL
(10,16),(10,28),0.0102829 # DEPENDENCYPART_SIBL
(10,16),(10,30),-0.0193931 # DEPENDENCYPART_SIBL
(10,16),(10,31),0.0202709 # DEPENDENCYPART_SIBL
(10,16),(10,32),-0.0206106 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.0170094 # DEPENDENCYPART_SIBL
(10,17),(10,20),0.375432 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.0476706 # DEPENDENCYPART_SIBL
(10,17),(10,24),-0.0361526 # DEPENDENCYPART_SIBL
(10,17),(10,28),-0.0428285 # DEPENDENCYPART_SIBL
(10,17),(10,30),0.0864299 # DEPENDENCYPART_SIBL
(10,17),(10,31),0.00105135 # DEPENDENCYPART_SIBL
(10,17),(10,32),0.006744 # DEPENDENCYPART_SIBL
(10,18),(10,20),0.0418542 # DEPENDENCYPART_SIBL
(10,18),(10,23),0.0177042 # DEPENDENCYPART_SIBL
(10,18),(10,24),0.0195826 # DEPENDENCYPART_SIBL
(10,18),(10,28),0.0176608 # DEPENDENCYPART_SIBL
(10,18),(10,30),0.086116 # DEPENDENCYPART_SIBL
(10,18),(10,31),0.0938202 # DEPENDENCYPART_SIBL
(10,18),(10,32),0.133756 # DEPENDENCYPART_SIBL
(10,20),(10,23),0.013177 # DEPENDENCYPART_SIBL
(10,20),(10,24),0.00804367 # DEPENDENCYPART_SIBL
(10,20),(10,28),0.00831824 # DEPENDENCYPART_SIBL
(10,20),(10,30),-0.0161725 # DEPENDENCYPART_SIBL
(10,20),(10,31),0.0275319 # DEPENDENCYPART_SIBL
(10,20),(10,32),-0.00600342 # DEPENDENCYPART_SIBL
(10,23),(10,24),-0.0431307 # DEPENDENCYPART_SIBL
(10,23),(10,28),-0.0566687 # DEPENDENCYPART_SIBL
(10,23),(10,30),0.0550218 # DEPENDENCYPART_SIBL
(10,23),(10,31),0.0103214 # DEPENDENCYPART_SIBL
(10,23),(10,32),0.0320735 # DEPENDENCYPART_SIBL
(10,24),(10,28),-0.0594992 # DEPENDENCYPART_SIBL
(10,24),(10,30),0.0559043 # DEPENDENCYPART_SIBL
(10,24),(10,31),0.0112204 # DEPENDENCYPART_SIBL
(10,24),(10,32),0.0485511 # DEPENDENCYPART_SIBL
(10,28),(10,30),0.055544 # DEPENDENCYPART_SIBL
(10,28),(10,31),0.0108554 # DEPENDENCYPART_SIBL
(10,28),(10,32),0.0349318 # DEPENDENCYPART_SIBL
(10,30),(10,31),0.0209736 # DEPENDENCYPART_SIBL
(10,30),(10,32),0.00905881 # DEPENDENCYPART_SIBL
(10,31),(10,32),-0.0123998 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0432582 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0313947 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0602597 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.0432452 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0463968 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0568987 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.0615572 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.144357 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.195551 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.058748 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.183236 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0015936 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.204848 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.121415 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.138438 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.128734 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.0879191 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.13159 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0832967 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.135008 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.00729937 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.130927 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.330272 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.269565 # DEPENDENCYPART_SIBL
(11,14),(11,20),0.335868 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.0070395 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.12619 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.135886 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.139406 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.00764546 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.0121742 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.00600795 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.0173727 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.0821365 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.0342037 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.140043 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0404249 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0320561 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0660277 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.180842 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.0417947 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.00326516 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0525291 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0372877 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0109321 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.120622 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0578113 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.84415 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.0884851 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.130824 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.272405 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.011852 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.878015 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.122887 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.0400327 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.249719 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.109303 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0202832 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0238912 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0329986 # DEPENDENCYPART_SIBL
(13,9),(13,20),0.0787632 # DEPENDENCYPART_SIBL
(13,9),(13,23),0.0540269 # DEPENDENCYPART_SIBL
(13,9),(13,24),0.088279 # DEPENDENCYPART_SIBL
(13,9),(13,28),0.0877453 # DEPENDENCYPART_SIBL
(13,9),(13,32),-0.00755003 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0143702 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0419388 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.016774 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.00623109 # DEPENDENCYPART_SIBL
(13,11),(13,23),-0.0197191 # DEPENDENCYPART_SIBL
(13,11),(13,24),-0.0133733 # DEPENDENCYPART_SIBL
(13,11),(13,28),-0.00619695 # DEPENDENCYPART_SIBL
(13,11),(13,32),0.00323944 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.710209 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.090408 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.738369 # DEPENDENCYPART_SIBL
(13,14),(13,23),0.139987 # DEPENDENCYPART_SIBL
(13,14),(13,24),0.130629 # DEPENDENCYPART_SIBL
(13,14),(13,28),0.140707 # DEPENDENCYPART_SIBL
(13,14),(13,32),0.0343988 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.013427 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.117697 # DEPENDENCYPART_SIBL
(13,16),(13,23),0.0441664 # DEPENDENCYPART_SIBL
(13,16),(13,24),0.0390295 # DEPENDENCYPART_SIBL
(13,16),(13,28),0.0393077 # DEPENDENCYPART_SIBL
(13,16),(13,32),0.0160724 # DEPENDENCYPART_SIBL
(13,18),(13,20),0.0881981 # DEPENDENCYPART_SIBL
(13,18),(13,23),0.0135414 # DEPENDENCYPART_SIBL
(13,18),(13,24),0.0154199 # DEPENDENCYPART_SIBL
(13,18),(13,28),0.013498 # DEPENDENCYPART_SIBL
(13,18),(13,32),0.134674 # DEPENDENCYPART_SIBL
(13,20),(13,23),0.0423889 # DEPENDENCYPART_SIBL
(13,20),(13,24),0.0372556 # DEPENDENCYPART_SIBL
(13,20),(13,28),0.0375302 # DEPENDENCYPART_SIBL
(13,20),(13,32),0.0308668 # DEPENDENCYPART_SIBL
(13,23),(13,24),-0.0314627 # DEPENDENCYPART_SIBL
(13,23),(13,28),-0.0450007 # DEPENDENCYPART_SIBL
(13,23),(13,32),0.0581699 # DEPENDENCYPART_SIBL
(13,24),(13,28),-0.0478311 # DEPENDENCYPART_SIBL
(13,24),(13,32),0.0746475 # DEPENDENCYPART_SIBL
(13,28),(13,32),0.0610282 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.45501 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0705149 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.00274024 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0792177 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.0378857 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.0282854 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.0138097 # DEPENDENCYPART_SIBL
(16,12),(16,28),-0.0186368 # DEPENDENCYPART_SIBL
(16,12),(16,31),0.0571859 # DEPENDENCYPART_SIBL
(16,12),(16,32),0.0533547 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0246431 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.1266 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0193476 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.0118063 # DEPENDENCYPART_SIBL
(16,14),(16,23),0.0703363 # DEPENDENCYPART_SIBL
(16,14),(16,24),0.068295 # DEPENDENCYPART_SIBL
(16,14),(16,28),0.0851889 # DEPENDENCYPART_SIBL
(16,14),(16,31),0.0860426 # DEPENDENCYPART_SIBL
(16,14),(16,32),0.220871 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0178347 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0883555 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.184685 # DEPENDENCYPART_SIBL
(16,15),(16,23),0.00390507 # DEPENDENCYPART_SIBL
(16,15),(16,24),0.0182119 # DEPENDENCYPART_SIBL
(16,15),(16,28),0.031595 # DEPENDENCYPART_SIBL
(16,15),(16,31),0.101707 # DEPENDENCYPART_SIBL
(16,15),(16,32),0.0549709 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0893154 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.319878 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.0758309 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.0643195 # DEPENDENCYPART_SIBL
(16,17),(16,28),-0.0709889 # DEPENDENCYPART_SIBL
(16,17),(16,31),-0.0420253 # DEPENDENCYPART_SIBL
(16,17),(16,32),-0.0429342 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0839208 # DEPENDENCYPART_SIBL
