# _root_ De_fet , la noia presentava fractura de pelvis , turmell i cama i va ser atesa a un centre hospitalari .
#goldHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
#predictedHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
(6,4),(6,7),-0.0526149 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00076614 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0102441 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00056809 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00977848 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0007462 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.00977848 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0295255 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0149218 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0324353 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.037415 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0461483 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.035995 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0418866 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0361982 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0354274 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.036034 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0354274 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.125364 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.104654 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.120062 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0213712 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00466747 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0220516 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00436646 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0116046 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00508436 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0116046 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0439135 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.00999811 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.0645256 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.00189622 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0319271 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0121315 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0429801 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0121899 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0429801 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0222119 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.00840627 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.0269676 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.00440166 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.373661 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.271028 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.373709 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.271028 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0235973 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0484396 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.000894302 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.00669049 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.042374 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0119474 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.042374 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0219752 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.00816961 # DEPENDENCYPART_SIBL
(6,10),(6,20),0.026605 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.00487025 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.600688 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.308354 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.146783 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.100622 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.247925 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.00824108 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0405572 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0210833 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.00727772 # DEPENDENCYPART_SIBL
(6,12),(6,20),0.0269486 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.00641073 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.146783 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.100622 # DEPENDENCYPART_SIBL
(6,13),(6,20),0.247925 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.00824108 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0423793 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.0023835 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.0299273 # DEPENDENCYPART_SIBL
(6,16),(6,20),0.0117412 # DEPENDENCYPART_SIBL
(6,16),(6,21),0.0545377 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.000115681 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0345918 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.935134 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0267665 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0267665 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.448697 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.00302235 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.161869 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.161869 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0130706 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0247713 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0247713 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.449969 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.352993 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.312911 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.312911 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0682632 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0270786 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0193433 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0129943 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0195215 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0129943 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0881805 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0380008 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.0490348 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0556942 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0704892 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0256655 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.071011 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0256655 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0151082 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0539809 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0250708 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.375351 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.272076 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.3754 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.272076 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0273463 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0521886 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.006744 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0435758 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0137835 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0435758 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0184665 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.00466091 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.0046517 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.604694 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.306037 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.144497 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0983359 # DEPENDENCYPART_SIBL
(8,11),(8,21),-0.00689045 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0417591 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.0175746 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.00376902 # DEPENDENCYPART_SIBL
(8,12),(8,21),-0.00619218 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.144497 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.0983359 # DEPENDENCYPART_SIBL
(8,13),(8,21),-0.00689045 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0461282 # DEPENDENCYPART_SIBL
(8,15),(8,21),0.0299809 # DEPENDENCYPART_SIBL
(8,16),(8,21),0.0545914 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.170368 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.00507952 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0538891 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0129833 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0195215 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.0129833 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.11966 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0881805 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0380008 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.0369939 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.0490313 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.118348 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.287737 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0333511 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0336927 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0333511 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.197313 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.127449 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.10674 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.12022 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.0213994 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.13071 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.021969 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.003087 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.021969 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0914964 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0290304 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0200435 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0781975 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0147946 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.029751 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0538034 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.029751 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0178367 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.109669 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.102637 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0183722 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.316285 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.604679 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.306051 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0199827 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.144485 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.098324 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.249017 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.00690233 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0417568 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0272872 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0175746 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.00376902 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.0269287 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.00619218 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0199827 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.144485 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.098324 # DEPENDENCYPART_SIBL
(10,13),(10,20),0.249017 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.00690233 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.101313 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0892338 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.0243831 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0400186 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0461282 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.00254427 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.0299809 # DEPENDENCYPART_SIBL
(10,16),(10,20),0.0115804 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.0545914 # DEPENDENCYPART_SIBL
(10,20),(10,21),0.00013413 # DEPENDENCYPART_SIBL
(12,1),(12,5),0.170368 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0538891 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0695338 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.259035 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0106107 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.085659 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.0354793 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.287737 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.169831 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.669264 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0357237 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.124928 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.104219 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.235036 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.578812 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0321175 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.112197 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.105165 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.401454 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0117652 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.024817 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0104282 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0625217 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.00387298 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.00246272 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.144868 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0987066 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0436108 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.000722287 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.186673 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0513215 # DEPENDENCYPART_SIBL
(15,1),(15,4),0.121279 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.156101 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.0998155 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.275828 # DEPENDENCYPART_SIBL
(15,1),(15,10),0.0998438 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0325579 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.0998341 # DEPENDENCYPART_SIBL
(15,1),(15,13),0.0325579 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.0671808 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.0618192 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0700065 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.107636 # DEPENDENCYPART_SIBL
(15,1),(15,21),0.113257 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.0445311 # DEPENDENCYPART_SIBL
(15,4),(15,6),-0.7257 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.491755 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.725672 # DEPENDENCYPART_SIBL
(15,4),(15,11),-0.0411514 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.725682 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.0411514 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.155097 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.00484584 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.0421984 # DEPENDENCYPART_SIBL
(15,4),(15,19),0.0458996 # DEPENDENCYPART_SIBL
(15,4),(15,21),0.0471943 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.00408731 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.140655 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.00405706 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.0520698 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.00406801 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.0520698 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.0651341 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0156034 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.00302253 # DEPENDENCYPART_SIBL
(15,5),(15,19),0.0617957 # DEPENDENCYPART_SIBL
(15,5),(15,21),0.0610178 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.508944 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.730368 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.0488296 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.730378 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0488296 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.134922 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.00202575 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.0245097 # DEPENDENCYPART_SIBL
(15,6),(15,19),0.0348818 # DEPENDENCYPART_SIBL
(15,6),(15,21),0.0124263 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.072339 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.160706 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.0723135 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.160706 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.137877 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.00530446 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0203428 # DEPENDENCYPART_SIBL
(15,9),(15,19),0.0269269 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.516418 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0488237 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.730372 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0488237 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.134944 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.00190207 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.0244025 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.0349686 # DEPENDENCYPART_SIBL
(15,10),(15,21),0.0125354 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0070462 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0437721 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.128873 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0247954 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.120917 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.076811 # DEPENDENCYPART_SIBL
(15,11),(15,21),0.0148105 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0488649 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.134857 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.00195811 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0244556 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.0348831 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.012412 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.128873 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0247954 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.120917 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.076811 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.0148105 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0394696 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.00818764 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0497316 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.344284 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0158757 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0152892 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.0246266 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0558552 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.0282371 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.0478021 # DEPENDENCYPART_SIBL
(16,1),(16,4),0.0955882 # DEPENDENCYPART_SIBL
(16,1),(16,5),0.126996 # DEPENDENCYPART_SIBL
(16,1),(16,6),0.074005 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.0740333 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.254941 # DEPENDENCYPART_SIBL
(16,1),(16,10),0.0740333 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.0556918 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.0740236 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.0556918 # DEPENDENCYPART_SIBL
(16,1),(16,14),0.122325 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.137749 # DEPENDENCYPART_SIBL
(16,1),(16,17),0.0168064 # DEPENDENCYPART_SIBL
(16,1),(16,19),0.00539251 # DEPENDENCYPART_SIBL
(16,1),(16,20),0.0362281 # DEPENDENCYPART_SIBL
(16,1),(16,21),0.0822761 # DEPENDENCYPART_SIBL
(16,4),(16,5),0.0410179 # DEPENDENCYPART_SIBL
(16,4),(16,6),-0.719681 # DEPENDENCYPART_SIBL
(16,4),(16,8),-0.719652 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.46395 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.719652 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.0155077 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.719662 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.0155077 # DEPENDENCYPART_SIBL
(16,4),(16,14),0.191451 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.0509389 # DEPENDENCYPART_SIBL
(16,4),(16,17),0.0617527 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.0110134 # DEPENDENCYPART_SIBL
(16,4),(16,20),0.00047439 # DEPENDENCYPART_SIBL
(16,4),(16,21),0.0761655 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.00513082 # DEPENDENCYPART_SIBL
(16,5),(16,8),-0.00510058 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.134558 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.00510058 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.0663985 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.00511153 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.0663985 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.00101301 # DEPENDENCYPART_SIBL
(16,5),(16,15),0.0380531 # DEPENDENCYPART_SIBL
(16,5),(16,17),0.0937664 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.0203739 # DEPENDENCYPART_SIBL
(16,5),(16,20),0.00565605 # DEPENDENCYPART_SIBL
(16,5),(16,21),0.0720017 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.724616 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.481407 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.724616 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.0234534 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.724625 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.0234534 # DEPENDENCYPART_SIBL
(16,6),(16,14),0.170741 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.0378497 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0792567 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.0222185 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.00492201 # DEPENDENCYPART_SIBL
(16,6),(16,21),0.0410905 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.481401 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.72461 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.0234475 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.72462 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.0234475 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.170763 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.0378658 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.0793639 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0221317 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.0048294 # DEPENDENCYPART_SIBL
(16,8),(16,21),0.0411996 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.0368709 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.129585 # DEPENDENCYPART_SIBL
(16,9),(16,12),0.0368453 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.129585 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.163925 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.161531 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0443567 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0148553 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.0241738 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.464062 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.0234475 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.72462 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.0234475 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.170763 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0378658 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0793639 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0221317 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0048294 # DEPENDENCYPART_SIBL
(16,10),(16,21),0.0411996 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.00968127 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.00973882 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0611837 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0364759 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0503255 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.174691 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0730291 # DEPENDENCYPART_SIBL
(16,11),(16,21),0.0159307 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0234887 # DEPENDENCYPART_SIBL
