# _root_ Boff va ser condemnat pel Vaticà , l' any_1985 , a un any de silenci i va tornar a ser amonestat posteriorment pel contingut dels seus escrits .
#goldHeads=4,4,4,0,4,5,9,9,4,9,4,13,11,13,14,4,21,21,21,21,4,21,21,23,24,27,25,4,
#predictedHeads=4,4,4,0,4,5,9,9,4,11,4,13,11,13,14,4,21,21,21,21,4,21,21,23,24,27,25,4,
(13,8),(13,14),0.256458 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.0271778 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.000634542 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.107752 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.0789067 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.0348299 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.033533 # DEPENDENCYPART_SIBL
(13,8),(13,21),0.0807325 # DEPENDENCYPART_SIBL
(13,8),(13,22),0.0885693 # DEPENDENCYPART_SIBL
(13,8),(13,28),0.0625149 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.289806 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.548581 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0555939 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0705048 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0484117 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0539899 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.217202 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0342719 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.181469 # DEPENDENCYPART_SIBL
(13,10),(13,21),0.181921 # DEPENDENCYPART_SIBL
(13,10),(13,22),0.138931 # DEPENDENCYPART_SIBL
(13,10),(13,28),-0.214898 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.010289 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.132184 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0481222 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0700777 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.104565 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0345513 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0597301 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.0485475 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.027056 # DEPENDENCYPART_SIBL
(13,11),(13,22),0.0683702 # DEPENDENCYPART_SIBL
(13,11),(13,28),0.0501282 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0316263 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.142796 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.033562 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0894521 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0872731 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.257714 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0276277 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.0690538 # DEPENDENCYPART_SIBL
(13,12),(13,22),0.1397 # DEPENDENCYPART_SIBL
(13,12),(13,28),0.121585 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.00911244 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0744102 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0190346 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.0402234 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.159987 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.00804284 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.0285538 # DEPENDENCYPART_SIBL
(13,14),(13,22),0.0164201 # DEPENDENCYPART_SIBL
(13,14),(13,28),0.0292044 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0544387 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0258601 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.00479381 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0528526 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.0188919 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.00844619 # DEPENDENCYPART_SIBL
(13,15),(13,22),0.0247906 # DEPENDENCYPART_SIBL
(13,15),(13,28),0.00609507 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0347879 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.0964835 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0212131 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.159227 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.114997 # DEPENDENCYPART_SIBL
(13,16),(13,22),0.111861 # DEPENDENCYPART_SIBL
(13,16),(13,28),0.00895396 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0828111 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.00822939 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.0924296 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.0819536 # DEPENDENCYPART_SIBL
(13,17),(13,22),0.0246357 # DEPENDENCYPART_SIBL
(13,17),(13,28),-0.0484841 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0281959 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.056476 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.0471044 # DEPENDENCYPART_SIBL
(13,18),(13,22),0.056927 # DEPENDENCYPART_SIBL
(13,18),(13,28),-0.00219547 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.00325555 # DEPENDENCYPART_SIBL
(13,19),(13,21),0.0185427 # DEPENDENCYPART_SIBL
(13,19),(13,22),0.0894849 # DEPENDENCYPART_SIBL
(13,19),(13,28),0.217859 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.0386311 # DEPENDENCYPART_SIBL
(13,20),(13,22),0.0443504 # DEPENDENCYPART_SIBL
(13,20),(13,28),0.0219408 # DEPENDENCYPART_SIBL
(13,21),(13,22),0.0617754 # DEPENDENCYPART_SIBL
(13,21),(13,28),0.0371105 # DEPENDENCYPART_SIBL
(13,22),(13,28),0.080705 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.60694 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0606503 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0687177 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0924054 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0896827 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.046251 # DEPENDENCYPART_SIBL
(14,10),(14,23),-0.00846609 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.101949 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0353979 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0156117 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.0661647 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.0327347 # DEPENDENCYPART_SIBL
(14,12),(14,23),0.10416 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0339726 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.464398 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.282686 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.450096 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.157424 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.254309 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.687547 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.324479 # DEPENDENCYPART_SIBL
(14,16),(14,23),0.861039 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.106604 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.291196 # DEPENDENCYPART_SIBL
(14,17),(14,23),-0.0282618 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.0858226 # DEPENDENCYPART_SIBL
(14,19),(14,23),-0.0777787 # DEPENDENCYPART_SIBL
(14,20),(14,23),0.039834 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.14336 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0387844 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0724862 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.10421 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.033679 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0895755 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0171978 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.00927131 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.0709616 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0884851 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0575848 # DEPENDENCYPART_SIBL
(18,1),(18,2),0.0920687 # DEPENDENCYPART_SIBL
(18,1),(18,3),-0.00381129 # DEPENDENCYPART_SIBL
(18,1),(18,4),-0.00316151 # DEPENDENCYPART_SIBL
(18,1),(18,5),-0.0677044 # DEPENDENCYPART_SIBL
(18,1),(18,9),-0.182271 # DEPENDENCYPART_SIBL
(18,1),(18,10),-0.483706 # DEPENDENCYPART_SIBL
(18,1),(18,11),0.0215821 # DEPENDENCYPART_SIBL
(18,1),(18,13),-0.716987 # DEPENDENCYPART_SIBL
(18,1),(18,14),0.0486827 # DEPENDENCYPART_SIBL
(18,1),(18,15),-0.74495 # DEPENDENCYPART_SIBL
(18,1),(18,16),-0.0224307 # DEPENDENCYPART_SIBL
(18,1),(18,17),0.0920687 # DEPENDENCYPART_SIBL
(18,1),(18,19),-0.058056 # DEPENDENCYPART_SIBL
(18,1),(18,20),-0.0249858 # DEPENDENCYPART_SIBL
(18,1),(18,21),-0.00472064 # DEPENDENCYPART_SIBL
(18,1),(18,22),-0.00587288 # DEPENDENCYPART_SIBL
(18,1),(18,23),0.0558749 # DEPENDENCYPART_SIBL
(18,1),(18,24),-0.022937 # DEPENDENCYPART_SIBL
(18,1),(18,25),0.00666604 # DEPENDENCYPART_SIBL
(18,1),(18,27),-0.0143218 # DEPENDENCYPART_SIBL
(18,1),(18,28),0.0192804 # DEPENDENCYPART_SIBL
(18,2),(18,3),0.245587 # DEPENDENCYPART_SIBL
(18,2),(18,4),0.0830203 # DEPENDENCYPART_SIBL
(18,2),(18,5),0.0949534 # DEPENDENCYPART_SIBL
(18,2),(18,9),0.0506571 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.0706485 # DEPENDENCYPART_SIBL
(18,2),(18,11),0.370866 # DEPENDENCYPART_SIBL
(18,2),(18,13),0.0665117 # DEPENDENCYPART_SIBL
(18,2),(18,14),0.456803 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.0249611 # DEPENDENCYPART_SIBL
(18,2),(18,16),0.130439 # DEPENDENCYPART_SIBL
(18,2),(18,17),0.00768901 # DEPENDENCYPART_SIBL
(18,2),(18,19),-0.0506012 # DEPENDENCYPART_SIBL
(18,2),(18,20),0.0171383 # DEPENDENCYPART_SIBL
(18,2),(18,21),0.0254362 # DEPENDENCYPART_SIBL
(18,2),(18,22),0.0432708 # DEPENDENCYPART_SIBL
(18,2),(18,23),0.120586 # DEPENDENCYPART_SIBL
(18,2),(18,24),-0.0102969 # DEPENDENCYPART_SIBL
(18,2),(18,25),-0.0148168 # DEPENDENCYPART_SIBL
(18,2),(18,27),-0.0014715 # DEPENDENCYPART_SIBL
(18,2),(18,28),0.291844 # DEPENDENCYPART_SIBL
(18,3),(18,4),-0.0584779 # DEPENDENCYPART_SIBL
(18,3),(18,5),-0.0701293 # DEPENDENCYPART_SIBL
(18,3),(18,9),-0.0143261 # DEPENDENCYPART_SIBL
(18,3),(18,10),-0.125502 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.108877 # DEPENDENCYPART_SIBL
(18,3),(18,13),0.0333651 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.260461 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.00836645 # DEPENDENCYPART_SIBL
(18,3),(18,16),0.0797883 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.0720771 # DEPENDENCYPART_SIBL
(18,3),(18,19),0.111456 # DEPENDENCYPART_SIBL
(18,3),(18,20),-0.0113783 # DEPENDENCYPART_SIBL
(18,3),(18,21),0.0169865 # DEPENDENCYPART_SIBL
(18,3),(18,22),0.0666613 # DEPENDENCYPART_SIBL
(18,3),(18,23),0.271769 # DEPENDENCYPART_SIBL
(18,3),(18,24),-0.012476 # DEPENDENCYPART_SIBL
(18,3),(18,25),0.102518 # DEPENDENCYPART_SIBL
(18,3),(18,27),-0.00589427 # DEPENDENCYPART_SIBL
(18,3),(18,28),0.0191332 # DEPENDENCYPART_SIBL
(18,4),(18,5),-0.00587916 # DEPENDENCYPART_SIBL
(18,4),(18,9),0.00850059 # DEPENDENCYPART_SIBL
(18,4),(18,10),-0.102061 # DEPENDENCYPART_SIBL
(18,4),(18,11),0.185962 # DEPENDENCYPART_SIBL
(18,4),(18,13),0.0510868 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.342816 # DEPENDENCYPART_SIBL
(18,4),(18,15),0.00927678 # DEPENDENCYPART_SIBL
(18,4),(18,16),0.102363 # DEPENDENCYPART_SIBL
(18,4),(18,17),-0.000180233 # DEPENDENCYPART_SIBL
(18,4),(18,19),-0.0440311 # DEPENDENCYPART_SIBL
(18,4),(18,20),-0.0562944 # DEPENDENCYPART_SIBL
(18,4),(18,21),-0.0261763 # DEPENDENCYPART_SIBL
(18,4),(18,22),0.022111 # DEPENDENCYPART_SIBL
(18,4),(18,23),0.0894775 # DEPENDENCYPART_SIBL
(18,4),(18,24),0.000859457 # DEPENDENCYPART_SIBL
(18,4),(18,25),-0.0496054 # DEPENDENCYPART_SIBL
(18,4),(18,27),0.00744115 # DEPENDENCYPART_SIBL
(18,4),(18,28),0.0392801 # DEPENDENCYPART_SIBL
(18,5),(18,9),-0.00170142 # DEPENDENCYPART_SIBL
(18,5),(18,10),-0.267102 # DEPENDENCYPART_SIBL
(18,5),(18,11),0.0227707 # DEPENDENCYPART_SIBL
(18,5),(18,13),0.00720063 # DEPENDENCYPART_SIBL
(18,5),(18,14),0.0578907 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.00857449 # DEPENDENCYPART_SIBL
(18,5),(18,16),0.165402 # DEPENDENCYPART_SIBL
(18,5),(18,17),0.00351134 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.0260638 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.0181678 # DEPENDENCYPART_SIBL
(18,5),(18,21),0.00955053 # DEPENDENCYPART_SIBL
(18,5),(18,22),0.0582796 # DEPENDENCYPART_SIBL
(18,5),(18,23),0.0413596 # DEPENDENCYPART_SIBL
(18,5),(18,24),0.0347745 # DEPENDENCYPART_SIBL
(18,5),(18,25),-0.0247669 # DEPENDENCYPART_SIBL
(18,5),(18,27),0.0314071 # DEPENDENCYPART_SIBL
(18,5),(18,28),0.0504379 # DEPENDENCYPART_SIBL
(18,9),(18,10),-0.211578 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.0861728 # DEPENDENCYPART_SIBL
(18,9),(18,13),0.00979703 # DEPENDENCYPART_SIBL
(18,9),(18,14),0.0906857 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.0220123 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.0657017 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.00665712 # DEPENDENCYPART_SIBL
(18,9),(18,19),-0.0409363 # DEPENDENCYPART_SIBL
(18,9),(18,20),-0.0413156 # DEPENDENCYPART_SIBL
(18,9),(18,21),-0.013462 # DEPENDENCYPART_SIBL
(18,9),(18,22),-0.0192731 # DEPENDENCYPART_SIBL
(18,9),(18,23),0.00275442 # DEPENDENCYPART_SIBL
(18,9),(18,24),0.0203433 # DEPENDENCYPART_SIBL
(18,9),(18,25),-0.0305639 # DEPENDENCYPART_SIBL
(18,9),(18,27),0.0233959 # DEPENDENCYPART_SIBL
(18,9),(18,28),-0.0152819 # DEPENDENCYPART_SIBL
(18,10),(18,11),0.0810813 # DEPENDENCYPART_SIBL
(18,10),(18,13),0.113293 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.0384662 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.00340414 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.141137 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.122261 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.0128698 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.0432926 # DEPENDENCYPART_SIBL
(18,10),(18,21),-0.0150887 # DEPENDENCYPART_SIBL
(18,10),(18,22),0.0202376 # DEPENDENCYPART_SIBL
(18,10),(18,23),0.120971 # DEPENDENCYPART_SIBL
(18,10),(18,24),0.00252545 # DEPENDENCYPART_SIBL
(18,10),(18,25),0.0628491 # DEPENDENCYPART_SIBL
(18,10),(18,27),0.0337749 # DEPENDENCYPART_SIBL
(18,10),(18,28),-0.447479 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.0204002 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.00424806 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.00223899 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.125022 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.0117651 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.049192 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.0372786 # DEPENDENCYPART_SIBL
(18,11),(18,21),-0.00334006 # DEPENDENCYPART_SIBL
(18,11),(18,22),-0.0238057 # DEPENDENCYPART_SIBL
(18,11),(18,23),0.0108761 # DEPENDENCYPART_SIBL
(18,11),(18,24),0.0092175 # DEPENDENCYPART_SIBL
(18,11),(18,25),-0.0527567 # DEPENDENCYPART_SIBL
(18,11),(18,27),0.00112637 # DEPENDENCYPART_SIBL
(18,11),(18,28),0.0366183 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.0710411 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.659346 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.00983051 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.115277 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0591047 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0171299 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.0033297 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.0298407 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.0476244 # DEPENDENCYPART_SIBL
(18,13),(18,24),-0.0191509 # DEPENDENCYPART_SIBL
(18,13),(18,25),-0.000109698 # DEPENDENCYPART_SIBL
(18,13),(18,27),-0.0105357 # DEPENDENCYPART_SIBL
(18,13),(18,28),-0.00623921 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.0447916 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.420915 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.115751 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.0471756 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.023687 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.0151446 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.0570527 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.122012 # DEPENDENCYPART_SIBL
(18,14),(18,24),-0.0237331 # DEPENDENCYPART_SIBL
(18,14),(18,25),0.0351411 # DEPENDENCYPART_SIBL
(18,14),(18,27),-0.0270833 # DEPENDENCYPART_SIBL
(18,14),(18,28),0.0817343 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.0290525 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0693126 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.116653 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0643341 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.0440689 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0385441 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.00360886 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.0508474 # DEPENDENCYPART_SIBL
(18,15),(18,25),-0.0506257 # DEPENDENCYPART_SIBL
(18,15),(18,27),-0.0422323 # DEPENDENCYPART_SIBL
(18,15),(18,28),-0.0448914 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0379556 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0679747 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.013058 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0175648 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.0484892 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.000927081 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.0939605 # DEPENDENCYPART_SIBL
(18,16),(18,25),0.0291795 # DEPENDENCYPART_SIBL
(18,16),(18,27),-0.0951321 # DEPENDENCYPART_SIBL
(18,16),(18,28),0.0702069 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0506012 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0171383 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0254362 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.0432708 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.120586 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.0102969 # DEPENDENCYPART_SIBL
(18,17),(18,25),-0.0148168 # DEPENDENCYPART_SIBL
(18,17),(18,27),-0.0014715 # DEPENDENCYPART_SIBL
(18,17),(18,28),0.291844 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0183178 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.00169862 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0349339 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.0424679 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.00821082 # DEPENDENCYPART_SIBL
(18,19),(18,25),-0.0901443 # DEPENDENCYPART_SIBL
(18,19),(18,27),-0.00752403 # DEPENDENCYPART_SIBL
(18,19),(18,28),-0.0152057 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0107097 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.00852956 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.031655 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0130346 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.0350636 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.0126711 # DEPENDENCYPART_SIBL
(18,20),(18,28),0.0071687 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.00631394 # DEPENDENCYPART_SIBL
(18,21),(18,23),0.0190549 # DEPENDENCYPART_SIBL
(18,21),(18,24),0.0171023 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.049013 # DEPENDENCYPART_SIBL
(18,21),(18,27),0.0174658 # DEPENDENCYPART_SIBL
(18,21),(18,28),0.0217724 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0471874 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0114403 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.0205551 # DEPENDENCYPART_SIBL
(18,22),(18,27),-0.0142459 # DEPENDENCYPART_SIBL
(18,22),(18,28),-0.0360494 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.0392268 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.161621 # DEPENDENCYPART_SIBL
(18,23),(18,27),-0.0385391 # DEPENDENCYPART_SIBL
(18,23),(18,28),0.0279661 # DEPENDENCYPART_SIBL
(18,24),(18,25),-0.123397 # DEPENDENCYPART_SIBL
(18,24),(18,27),-0.244491 # DEPENDENCYPART_SIBL
(18,24),(18,28),0.0192674 # DEPENDENCYPART_SIBL
(18,25),(18,27),-0.0403634 # DEPENDENCYPART_SIBL
(18,25),(18,28),-0.0583956 # DEPENDENCYPART_SIBL
(18,27),(18,28),0.0339954 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.24829 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.0343363 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.130178 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.261319 # DEPENDENCYPART_SIBL
(19,20),(19,25),0.202808 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0126086 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0485738 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.299755 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.120576 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.000418721 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.339549 # DEPENDENCYPART_SIBL
(19,22),(19,25),0.105791 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.10535 # DEPENDENCYPART_SIBL
(19,23),(19,25),0.0690805 # DEPENDENCYPART_SIBL
(19,24),(19,25),-0.0867777 # DEPENDENCYPART_SIBL
(20,1),(20,2),0.134934 # DEPENDENCYPART_SIBL
(20,1),(20,3),0.0337523 # DEPENDENCYPART_SIBL
(20,1),(20,4),0.0331146 # DEPENDENCYPART_SIBL
(20,1),(20,5),-0.0372154 # DEPENDENCYPART_SIBL
(20,1),(20,11),0.202267 # DEPENDENCYPART_SIBL
(20,1),(20,13),-0.712432 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.745708 # DEPENDENCYPART_SIBL
(20,1),(20,17),0.134934 # DEPENDENCYPART_SIBL
(20,1),(20,18),0.249592 # DEPENDENCYPART_SIBL
(20,1),(20,19),0.202267 # DEPENDENCYPART_SIBL
(20,1),(20,21),0.00452821 # DEPENDENCYPART_SIBL
(20,1),(20,22),-0.0133658 # DEPENDENCYPART_SIBL
(20,1),(20,23),-0.0172095 # DEPENDENCYPART_SIBL
(20,1),(20,24),0.00704508 # DEPENDENCYPART_SIBL
(20,1),(20,25),-0.0541991 # DEPENDENCYPART_SIBL
(20,1),(20,27),0.0156602 # DEPENDENCYPART_SIBL
(20,1),(20,28),0.0257672 # DEPENDENCYPART_SIBL
(20,2),(20,3),0.207241 # DEPENDENCYPART_SIBL
(20,2),(20,4),0.0445592 # DEPENDENCYPART_SIBL
(20,2),(20,5),0.0485856 # DEPENDENCYPART_SIBL
(20,2),(20,11),0.502243 # DEPENDENCYPART_SIBL
(20,2),(20,13),0.0219574 # DEPENDENCYPART_SIBL
(20,2),(20,15),-0.0247953 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.079708 # DEPENDENCYPART_SIBL
(20,2),(20,18),0.347879 # DEPENDENCYPART_SIBL
(20,2),(20,19),0.502243 # DEPENDENCYPART_SIBL
(20,2),(20,21),0.0428394 # DEPENDENCYPART_SIBL
(20,2),(20,22),0.0584219 # DEPENDENCYPART_SIBL
(20,2),(20,23),0.0512016 # DEPENDENCYPART_SIBL
(20,2),(20,24),0.0247892 # DEPENDENCYPART_SIBL
(20,2),(20,25),-0.0731903 # DEPENDENCYPART_SIBL
(20,2),(20,27),0.0336146 # DEPENDENCYPART_SIBL
(20,2),(20,28),0.344284 # DEPENDENCYPART_SIBL
(20,3),(20,4),-0.0609873 # DEPENDENCYPART_SIBL
(20,3),(20,5),-0.0808401 # DEPENDENCYPART_SIBL
(20,3),(20,11),0.275912 # DEPENDENCYPART_SIBL
(20,3),(20,13),0.014362 # DEPENDENCYPART_SIBL
(20,3),(20,15),-0.0325716 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.123522 # DEPENDENCYPART_SIBL
(20,3),(20,18),0.185406 # DEPENDENCYPART_SIBL
(20,3),(20,19),0.275912 # DEPENDENCYPART_SIBL
(20,3),(20,21),-0.00707442 # DEPENDENCYPART_SIBL
(20,3),(20,22),0.0719012 # DEPENDENCYPART_SIBL
