# _root_ Quan ens movem al_voltant_del 3% , ¿ qui es recorda de l' època dels Pactes_de_la_Moncloa , amb un IPC que gairebé arribava al 30% ?
#goldHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,13,19,17,22,22,19,22,23,10,
#predictedHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,10,19,17,22,22,19,22,23,10,
(10,4),(10,19),-0.0593556 # DEPENDENCYPART_SIBL
(10,4),(10,21),-0.101341 # DEPENDENCYPART_SIBL
(10,4),(10,22),-0.0157406 # DEPENDENCYPART_SIBL
(10,4),(10,23),-0.053667 # DEPENDENCYPART_SIBL
(10,4),(10,24),-0.0411041 # DEPENDENCYPART_SIBL
(10,4),(10,25),0.00123638 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.280443 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.062412 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0620599 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.174725 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0187304 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0568905 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0539889 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0580852 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.00116106 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0849138 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0609213 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.00535875 # DEPENDENCYPART_SIBL
(10,5),(10,22),0.000114352 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.0581729 # DEPENDENCYPART_SIBL
(10,5),(10,24),0.0882302 # DEPENDENCYPART_SIBL
(10,5),(10,25),0.0613611 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0698804 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0187739 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0902416 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0124407 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0503928 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0056533 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0160425 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.226517 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0424697 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0131594 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0306186 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.0126955 # DEPENDENCYPART_SIBL
(10,6),(10,23),0.0134619 # DEPENDENCYPART_SIBL
(10,6),(10,24),0.0120893 # DEPENDENCYPART_SIBL
(10,6),(10,25),0.0157602 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0100192 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.069595 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.00164271 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0880773 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.01553 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0705253 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0552305 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0233609 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0676656 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0208958 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.00234015 # DEPENDENCYPART_SIBL
(10,7),(10,23),-0.0273072 # DEPENDENCYPART_SIBL
(10,7),(10,24),0.00349025 # DEPENDENCYPART_SIBL
(10,7),(10,25),0.354093 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.180004 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0176376 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0183335 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0928808 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0132593 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0840467 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.112915 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0160954 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.054009 # DEPENDENCYPART_SIBL
(10,8),(10,22),0.00172778 # DEPENDENCYPART_SIBL
(10,8),(10,23),0.0301962 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0207877 # DEPENDENCYPART_SIBL
(10,8),(10,25),-0.0161745 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.053614 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.243673 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.016551 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.238599 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0516853 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0340475 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.241435 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0224834 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.0116324 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.106961 # DEPENDENCYPART_SIBL
(10,9),(10,24),-0.076332 # DEPENDENCYPART_SIBL
(10,9),(10,25),0.151662 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.053232 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.268619 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0596025 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0695003 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0958477 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0597121 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.0923501 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.0625813 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.113706 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.0968091 # DEPENDENCYPART_SIBL
(10,11),(10,25),-0.0800888 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.120838 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.250649 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0350281 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0129021 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.250676 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.00485234 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.0648648 # DEPENDENCYPART_SIBL
(10,13),(10,23),0.0899893 # DEPENDENCYPART_SIBL
(10,13),(10,24),-0.0658625 # DEPENDENCYPART_SIBL
(10,13),(10,25),0.00362165 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0517677 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.106842 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.037378 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.051835 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0656813 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.0786811 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.0749122 # DEPENDENCYPART_SIBL
(10,14),(10,24),-0.111538 # DEPENDENCYPART_SIBL
(10,14),(10,25),-0.11443 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.02125 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.00252175 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.248635 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.00681388 # DEPENDENCYPART_SIBL
(10,15),(10,22),-0.0627736 # DEPENDENCYPART_SIBL
(10,15),(10,23),0.0796041 # DEPENDENCYPART_SIBL
(10,15),(10,24),-0.0639038 # DEPENDENCYPART_SIBL
(10,15),(10,25),0.0139629 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0837423 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0200535 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.0478114 # DEPENDENCYPART_SIBL
(10,16),(10,22),0.0153183 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.121837 # DEPENDENCYPART_SIBL
(10,16),(10,24),0.162415 # DEPENDENCYPART_SIBL
(10,16),(10,25),-0.0800675 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.010402 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0450775 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.0589864 # DEPENDENCYPART_SIBL
(10,17),(10,23),0.0361387 # DEPENDENCYPART_SIBL
(10,17),(10,24),-0.0811594 # DEPENDENCYPART_SIBL
(10,17),(10,25),-0.0339014 # DEPENDENCYPART_SIBL
(10,19),(10,21),0.00407199 # DEPENDENCYPART_SIBL
(10,19),(10,22),-0.0687262 # DEPENDENCYPART_SIBL
(10,19),(10,23),0.0759083 # DEPENDENCYPART_SIBL
(10,19),(10,24),-0.0666062 # DEPENDENCYPART_SIBL
(10,19),(10,25),0.00886381 # DEPENDENCYPART_SIBL
(10,21),(10,22),-0.0930915 # DEPENDENCYPART_SIBL
(10,21),(10,23),-0.049864 # DEPENDENCYPART_SIBL
(10,21),(10,24),-0.0619975 # DEPENDENCYPART_SIBL
(10,21),(10,25),-0.0458116 # DEPENDENCYPART_SIBL
(10,22),(10,23),0.00973992 # DEPENDENCYPART_SIBL
(10,22),(10,24),-0.0188377 # DEPENDENCYPART_SIBL
(10,22),(10,25),0.0267978 # DEPENDENCYPART_SIBL
(10,23),(10,24),-0.0854353 # DEPENDENCYPART_SIBL
(10,23),(10,25),-0.0628239 # DEPENDENCYPART_SIBL
(10,24),(10,25),-0.0340313 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.161942 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.210897 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.23119 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.103706 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0242836 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0940987 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0210267 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0988427 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.360839 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0196762 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0294202 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0763539 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.00950509 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.00947714 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0644729 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.231129 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.10339 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0280905 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0937827 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.018083 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0950234 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.150618 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0502025 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.149506 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0285804 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.102459 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0582936 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.895089 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0642295 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0871607 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0456627 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.211428 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.0129168 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.0345918 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.16857 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.395648 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.272398 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.0630602 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.287736 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.169124 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.118344 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.120423 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.107066 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.034688 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0420149 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.119555 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.0360718 # DEPENDENCYPART_SIBL
(13,3),(13,21),-0.0558725 # DEPENDENCYPART_SIBL
(13,3),(13,22),-0.100659 # DEPENDENCYPART_SIBL
(13,3),(13,23),-0.12776 # DEPENDENCYPART_SIBL
(13,3),(13,24),-0.0612648 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0570145 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.00654304 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.100965 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0480855 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0156042 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0475406 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.00579889 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.0208561 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0471406 # DEPENDENCYPART_SIBL
(13,4),(13,21),0.0793659 # DEPENDENCYPART_SIBL
(13,4),(13,22),0.0150649 # DEPENDENCYPART_SIBL
(13,4),(13,23),-0.00886829 # DEPENDENCYPART_SIBL
(13,4),(13,24),0.0138761 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.361483 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.29913 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0149683 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0208678 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0511258 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.334418 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0471115 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.0515435 # DEPENDENCYPART_SIBL
(13,6),(13,21),0.0458077 # DEPENDENCYPART_SIBL
(13,6),(13,22),0.116389 # DEPENDENCYPART_SIBL
(13,6),(13,23),-0.0688844 # DEPENDENCYPART_SIBL
(13,6),(13,24),-0.00475487 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.113607 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.118302 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.111053 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0351522 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0394073 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.123554 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0365359 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.0578407 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.096871 # DEPENDENCYPART_SIBL
(13,10),(13,23),-0.132496 # DEPENDENCYPART_SIBL
(13,10),(13,24),-0.0614934 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0490186 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0260299 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.00408925 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0454723 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0072933 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0044908 # DEPENDENCYPART_SIBL
(13,11),(13,21),0.0211817 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.00676797 # DEPENDENCYPART_SIBL
(13,11),(13,23),-0.0241697 # DEPENDENCYPART_SIBL
(13,11),(13,24),-0.0230194 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.161646 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.167432 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.00542726 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.118911 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.166249 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.0291013 # DEPENDENCYPART_SIBL
(13,12),(13,22),0.0570358 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.022888 # DEPENDENCYPART_SIBL
(13,12),(13,24),-0.0112262 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.00312356 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0227246 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0733903 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.00297548 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.0581835 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.0948698 # DEPENDENCYPART_SIBL
(13,14),(13,23),0.0954087 # DEPENDENCYPART_SIBL
(13,14),(13,24),0.00773726 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0317011 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.000227501 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.0107272 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.0303336 # DEPENDENCYPART_SIBL
(13,15),(13,22),0.0076689 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.0294021 # DEPENDENCYPART_SIBL
(13,15),(13,24),0.0324047 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0437698 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.372701 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.0148742 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.0432285 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.00956153 # DEPENDENCYPART_SIBL
(13,16),(13,24),0.128053 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0246151 # DEPENDENCYPART_SIBL
(13,17),(13,21),0.0443807 # DEPENDENCYPART_SIBL
(13,17),(13,22),0.015767 # DEPENDENCYPART_SIBL
(13,17),(13,23),0.093512 # DEPENDENCYPART_SIBL
(13,17),(13,24),0.0329874 # DEPENDENCYPART_SIBL
(13,19),(13,21),0.030252 # DEPENDENCYPART_SIBL
(13,19),(13,22),0.00598186 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.0304617 # DEPENDENCYPART_SIBL
(13,19),(13,24),0.0323428 # DEPENDENCYPART_SIBL
(13,21),(13,22),-0.023054 # DEPENDENCYPART_SIBL
(13,21),(13,23),0.0194129 # DEPENDENCYPART_SIBL
(13,21),(13,24),0.036974 # DEPENDENCYPART_SIBL
(13,22),(13,23),0.0408736 # DEPENDENCYPART_SIBL
(13,22),(13,24),0.014657 # DEPENDENCYPART_SIBL
(13,23),(13,24),0.036466 # DEPENDENCYPART_SIBL
(14,3),(14,7),0.143009 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.306602 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0747926 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0502195 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.114111 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.0738024 # DEPENDENCYPART_SIBL
(14,3),(14,22),0.0051987 # DEPENDENCYPART_SIBL
(14,7),(14,12),0.330083 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.00986196 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.0826862 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.094324 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.00987434 # DEPENDENCYPART_SIBL
(14,7),(14,22),-0.026764 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0942396 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.11348 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.222256 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.0938436 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.0649981 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0589526 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0224668 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.870681 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.422462 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.367574 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.102872 # DEPENDENCYPART_SIBL
(14,16),(14,22),0.000901918 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.157744 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.10033 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.425308 # DEPENDENCYPART_SIBL
(15,12),(15,16),8.37452e-05 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0842971 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.174195 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.0345903 # DEPENDENCYPART_SIBL
(15,12),(15,22),0.0415329 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0384183 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.375357 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.014998 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0439877 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.0300033 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.0466313 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.0136031 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.0306844 # DEPENDENCYPART_SIBL
(15,19),(15,22),0.00555875 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0239362 # DEPENDENCYPART_SIBL
(17,3),(17,7),0.141622 # DEPENDENCYPART_SIBL
(17,3),(17,10),0.234014 # DEPENDENCYPART_SIBL
(17,3),(17,11),0.318385 # DEPENDENCYPART_SIBL
(17,3),(17,14),0.180803 # DEPENDENCYPART_SIBL
(17,3),(17,16),0.116641 # DEPENDENCYPART_SIBL
(17,3),(17,18),0.216908 # DEPENDENCYPART_SIBL
(17,3),(17,19),0.0741355 # DEPENDENCYPART_SIBL
(17,3),(17,21),-0.0421033 # DEPENDENCYPART_SIBL
(17,3),(17,22),-0.00656982 # DEPENDENCYPART_SIBL
(17,3),(17,23),-0.00647241 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.358603 # DEPENDENCYPART_SIBL
(17,7),(17,11),0.351671 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.324022 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.0251087 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0264319 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.0509738 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.0775811 # DEPENDENCYPART_SIBL
(17,7),(17,22),-0.00900427 # DEPENDENCYPART_SIBL
(17,7),(17,23),-0.104458 # DEPENDENCYPART_SIBL
(17,10),(17,11),0.314357 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.177418 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.115044 # DEPENDENCYPART_SIBL
(17,10),(17,18),0.216847 # DEPENDENCYPART_SIBL
(17,10),(17,19),0.0738182 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.0438991 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.0026099 # DEPENDENCYPART_SIBL
(17,10),(17,23),-0.0110269 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.0356067 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.167681 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.0147241 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.0433701 # DEPENDENCYPART_SIBL
(17,11),(17,21),-0.0654754 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.0356642 # DEPENDENCYPART_SIBL
(17,11),(17,23),-0.0132183 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.162868 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0375659 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0256489 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.0413317 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.0211202 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.00601843 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0865942 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.104767 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0797087 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0298806 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.134424 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.186895 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.0523209 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.077224 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0419246 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.284015 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.39945 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0634744 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.210812 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.0766606 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0683177 # DEPENDENCYPART_SIBL
(18,21),(18,23),0.0637689 # DEPENDENCYPART_SIBL
(19,3),(19,10),0.16912 # DEPENDENCYPART_SIBL
(19,3),(19,11),0.118354 # DEPENDENCYPART_SIBL
(19,3),(19,14),0.0407726 # DEPENDENCYPART_SIBL
(19,3),(19,16),0.287733 # DEPENDENCYPART_SIBL
(19,3),(19,17),0.0367913 # DEPENDENCYPART_SIBL
(19,3),(19,18),0.327903 # DEPENDENCYPART_SIBL
(19,3),(19,21),-0.0557724 # DEPENDENCYPART_SIBL
(19,3),(19,22),-0.107422 # DEPENDENCYPART_SIBL
(19,3),(19,23),-0.121593 # DEPENDENCYPART_SIBL
(19,3),(19,24),-0.0612648 # DEPENDENCYPART_SIBL
(19,10),(19,11),0.113616 # DEPENDENCYPART_SIBL
(19,10),(19,14),0.0366833 # DEPENDENCYPART_SIBL
(19,10),(19,16),0.285385 # DEPENDENCYPART_SIBL
(19,10),(19,17),0.0327021 # DEPENDENCYPART_SIBL
(19,10),(19,18),0.326461 # DEPENDENCYPART_SIBL
(19,10),(19,21),-0.0577406 # DEPENDENCYPART_SIBL
(19,10),(19,22),-0.103633 # DEPENDENCYPART_SIBL
(19,10),(19,23),-0.126328 # DEPENDENCYPART_SIBL
(19,10),(19,24),-0.0614934 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.0695654 # DEPENDENCYPART_SIBL
(19,11),(19,16),-0.130697 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.0570757 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.0574643 # DEPENDENCYPART_SIBL
(19,11),(19,21),0.0212983 # DEPENDENCYPART_SIBL
(19,11),(19,22),-0.0135012 # DEPENDENCYPART_SIBL
(19,11),(19,23),-0.0179903 # DEPENDENCYPART_SIBL
(19,11),(19,24),-0.023003 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.0452109 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.00573915 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.0646877 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.0535747 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.0226286 # DEPENDENCYPART_SIBL
