# _root_ ' Carpe_Diem ' és un homenatge a la vida : ' aprofita el temps al màxim , que la vida sigui extraordinària , que cada moment sigui únic ' .
#goldHeads=2,4,2,0,6,4,6,9,7,12,12,6,14,12,12,15,12,21,20,21,12,21,12,27,26,27,12,27,12,4,
#predictedHeads=2,4,2,0,6,4,6,9,7,12,12,4,14,12,12,15,21,21,20,21,12,21,27,27,26,27,21,27,12,4,
(14,7),(14,23),-0.0552444 # DEPENDENCYPART_SIBL
(14,7),(14,24),-0.0947745 # DEPENDENCYPART_SIBL
(14,7),(14,26),-0.00505909 # DEPENDENCYPART_SIBL
(14,7),(14,27),-0.000771415 # DEPENDENCYPART_SIBL
(14,7),(14,28),-0.0282767 # DEPENDENCYPART_SIBL
(14,7),(14,29),-0.00625139 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.0511449 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.250943 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.00613753 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.783369 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0815962 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.0359863 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.107077 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.360127 # DEPENDENCYPART_SIBL
(14,8),(14,20),0.0100653 # DEPENDENCYPART_SIBL
(14,8),(14,21),0.0562855 # DEPENDENCYPART_SIBL
(14,8),(14,22),-0.0806664 # DEPENDENCYPART_SIBL
(14,8),(14,23),-0.107077 # DEPENDENCYPART_SIBL
(14,8),(14,24),-0.360127 # DEPENDENCYPART_SIBL
(14,8),(14,26),-0.00296178 # DEPENDENCYPART_SIBL
(14,8),(14,27),0.0562855 # DEPENDENCYPART_SIBL
(14,8),(14,28),-0.0996207 # DEPENDENCYPART_SIBL
(14,8),(14,29),0.0458367 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.234618 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.399404 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.0461284 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0461167 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.397988 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.0392618 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.117723 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.386781 # DEPENDENCYPART_SIBL
(14,10),(14,21),0.143551 # DEPENDENCYPART_SIBL
(14,10),(14,22),0.0781435 # DEPENDENCYPART_SIBL
(14,10),(14,23),0.0392618 # DEPENDENCYPART_SIBL
(14,10),(14,24),0.117723 # DEPENDENCYPART_SIBL
(14,10),(14,26),0.397123 # DEPENDENCYPART_SIBL
(14,10),(14,27),0.143551 # DEPENDENCYPART_SIBL
(14,10),(14,28),0.0699819 # DEPENDENCYPART_SIBL
(14,10),(14,29),0.509214 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.314879 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.197441 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.158606 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0796869 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0403067 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0373956 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.0618801 # DEPENDENCYPART_SIBL
(14,11),(14,21),0.0719065 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.0573913 # DEPENDENCYPART_SIBL
(14,11),(14,23),-0.0403067 # DEPENDENCYPART_SIBL
(14,11),(14,24),-0.0373956 # DEPENDENCYPART_SIBL
(14,11),(14,26),0.071657 # DEPENDENCYPART_SIBL
(14,11),(14,27),0.0719065 # DEPENDENCYPART_SIBL
(14,11),(14,28),-0.0663735 # DEPENDENCYPART_SIBL
(14,11),(14,29),1.15779 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0988347 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.156172 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0594586 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0686437 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.146349 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0672017 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.125521 # DEPENDENCYPART_SIBL
(14,12),(14,22),-0.135897 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.0686437 # DEPENDENCYPART_SIBL
(14,12),(14,24),-0.146349 # DEPENDENCYPART_SIBL
(14,12),(14,26),-0.0688528 # DEPENDENCYPART_SIBL
(14,12),(14,27),-0.125521 # DEPENDENCYPART_SIBL
(14,12),(14,28),-0.142146 # DEPENDENCYPART_SIBL
(14,12),(14,29),-0.00980179 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0161039 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.297871 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0623862 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.304096 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.273154 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.00521734 # DEPENDENCYPART_SIBL
(14,13),(14,22),0.0517477 # DEPENDENCYPART_SIBL
(14,13),(14,23),-0.0623862 # DEPENDENCYPART_SIBL
(14,13),(14,24),-0.304096 # DEPENDENCYPART_SIBL
(14,13),(14,26),0.259568 # DEPENDENCYPART_SIBL
(14,13),(14,27),-0.00521734 # DEPENDENCYPART_SIBL
(14,13),(14,28),0.0273331 # DEPENDENCYPART_SIBL
(14,13),(14,29),0.0217291 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0771196 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0461833 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0444555 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.0441374 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.0472994 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.0389983 # DEPENDENCYPART_SIBL
(14,15),(14,23),0.0461833 # DEPENDENCYPART_SIBL
(14,15),(14,24),-0.0444555 # DEPENDENCYPART_SIBL
(14,15),(14,26),0.0370538 # DEPENDENCYPART_SIBL
(14,15),(14,27),-0.0472994 # DEPENDENCYPART_SIBL
(14,15),(14,28),0.0276408 # DEPENDENCYPART_SIBL
(14,15),(14,29),-0.00440829 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.00528657 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.12981 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.018625 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.0367266 # DEPENDENCYPART_SIBL
(14,16),(14,22),0.0323069 # DEPENDENCYPART_SIBL
(14,16),(14,23),0.00528657 # DEPENDENCYPART_SIBL
(14,16),(14,24),-0.12981 # DEPENDENCYPART_SIBL
(14,16),(14,26),0.0339832 # DEPENDENCYPART_SIBL
(14,16),(14,27),-0.0367266 # DEPENDENCYPART_SIBL
(14,16),(14,28),0.0287096 # DEPENDENCYPART_SIBL
(14,16),(14,29),-0.00802952 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.0195644 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.369055 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.0868847 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.00267046 # DEPENDENCYPART_SIBL
(14,17),(14,23),0.00710826 # DEPENDENCYPART_SIBL
(14,17),(14,24),0.0195644 # DEPENDENCYPART_SIBL
(14,17),(14,26),0.370569 # DEPENDENCYPART_SIBL
(14,17),(14,27),-0.0868847 # DEPENDENCYPART_SIBL
(14,17),(14,28),-0.00706035 # DEPENDENCYPART_SIBL
(14,17),(14,29),-0.0745281 # DEPENDENCYPART_SIBL
(14,18),(14,20),0.0869161 # DEPENDENCYPART_SIBL
(14,18),(14,21),-0.148352 # DEPENDENCYPART_SIBL
(14,18),(14,22),0.0258418 # DEPENDENCYPART_SIBL
(14,18),(14,23),-0.106157 # DEPENDENCYPART_SIBL
(14,18),(14,24),-0.182319 # DEPENDENCYPART_SIBL
(14,18),(14,26),0.0775229 # DEPENDENCYPART_SIBL
(14,18),(14,27),-0.148352 # DEPENDENCYPART_SIBL
(14,18),(14,28),0.0223258 # DEPENDENCYPART_SIBL
(14,18),(14,29),-0.0981571 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.0654988 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.00617752 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.0167239 # DEPENDENCYPART_SIBL
(14,20),(14,24),-0.169678 # DEPENDENCYPART_SIBL
(14,20),(14,26),0.00538177 # DEPENDENCYPART_SIBL
(14,20),(14,27),-0.0654988 # DEPENDENCYPART_SIBL
(14,20),(14,28),0.00258028 # DEPENDENCYPART_SIBL
(14,20),(14,29),-0.0407996 # DEPENDENCYPART_SIBL
(14,21),(14,22),0.0246361 # DEPENDENCYPART_SIBL
(14,21),(14,23),0.0645707 # DEPENDENCYPART_SIBL
(14,21),(14,24),0.00731998 # DEPENDENCYPART_SIBL
(14,21),(14,26),0.0685294 # DEPENDENCYPART_SIBL
(14,21),(14,27),-0.0969227 # DEPENDENCYPART_SIBL
(14,21),(14,28),0.0209872 # DEPENDENCYPART_SIBL
(14,21),(14,29),0.0503041 # DEPENDENCYPART_SIBL
(14,22),(14,23),-0.0101036 # DEPENDENCYPART_SIBL
(14,22),(14,24),-0.0409514 # DEPENDENCYPART_SIBL
(14,22),(14,26),0.0404195 # DEPENDENCYPART_SIBL
(14,22),(14,27),0.00278999 # DEPENDENCYPART_SIBL
(14,22),(14,28),-0.0203677 # DEPENDENCYPART_SIBL
(14,22),(14,29),-0.0208797 # DEPENDENCYPART_SIBL
(14,23),(14,24),0.0195644 # DEPENDENCYPART_SIBL
(14,23),(14,26),0.370569 # DEPENDENCYPART_SIBL
(14,23),(14,27),-0.0868847 # DEPENDENCYPART_SIBL
(14,23),(14,28),-0.00706035 # DEPENDENCYPART_SIBL
(14,23),(14,29),-0.0745281 # DEPENDENCYPART_SIBL
(14,24),(14,26),0.0775229 # DEPENDENCYPART_SIBL
(14,24),(14,27),-0.148352 # DEPENDENCYPART_SIBL
(14,24),(14,28),0.0223258 # DEPENDENCYPART_SIBL
(14,24),(14,29),-0.0981571 # DEPENDENCYPART_SIBL
(14,26),(14,27),-0.0562777 # DEPENDENCYPART_SIBL
(14,26),(14,28),0.0131487 # DEPENDENCYPART_SIBL
(14,26),(14,29),-0.0187441 # DEPENDENCYPART_SIBL
(14,27),(14,28),0.0209872 # DEPENDENCYPART_SIBL
(14,27),(14,29),0.0503041 # DEPENDENCYPART_SIBL
(14,28),(14,29),0.00925452 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.334749 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.336319 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0952832 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.124799 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0620944 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.215679 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0583863 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.161535 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.165487 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0794419 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.060837 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0363382 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0747846 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.223262 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0833454 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.226297 # DEPENDENCYPART_SIBL
(16,4),(16,13),0.0837044 # DEPENDENCYPART_SIBL
(16,4),(16,14),0.183549 # DEPENDENCYPART_SIBL
(16,4),(16,17),0.00763582 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.127612 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.0327705 # DEPENDENCYPART_SIBL
(16,4),(16,21),-0.0969233 # DEPENDENCYPART_SIBL
(16,4),(16,22),-0.0802656 # DEPENDENCYPART_SIBL
(16,4),(16,28),-0.0865147 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0469753 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.203225 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0659756 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.0987756 # DEPENDENCYPART_SIBL
(16,10),(16,20),0.3909 # DEPENDENCYPART_SIBL
(16,10),(16,21),0.130739 # DEPENDENCYPART_SIBL
(16,10),(16,22),0.0934015 # DEPENDENCYPART_SIBL
(16,10),(16,28),0.0852398 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0415859 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0222743 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.319858 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.306829 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.0229678 # DEPENDENCYPART_SIBL
(16,13),(16,22),0.105178 # DEPENDENCYPART_SIBL
(16,13),(16,28),0.0807636 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0106232 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.131016 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.00144636 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0148574 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0269053 # DEPENDENCYPART_SIBL
(16,14),(16,28),-0.0327242 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0300834 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.357058 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0548967 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.0255626 # DEPENDENCYPART_SIBL
(16,17),(16,28),0.0211727 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0270333 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.15604 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.0136679 # DEPENDENCYPART_SIBL
(16,18),(16,28),0.0101519 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0436901 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0238589 # DEPENDENCYPART_SIBL
(16,20),(16,28),0.0202616 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.0149344 # DEPENDENCYPART_SIBL
(16,21),(16,28),0.0112856 # DEPENDENCYPART_SIBL
(16,22),(16,28),-0.0462324 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.521695 # DEPENDENCYPART_SIBL
(18,17),(18,27),0.249421 # DEPENDENCYPART_SIBL
(18,17),(18,29),0.346984 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.0479687 # DEPENDENCYPART_SIBL
(18,20),(18,29),0.124047 # DEPENDENCYPART_SIBL
(18,27),(18,29),0.137413 # DEPENDENCYPART_SIBL
(20,4),(20,10),0.225918 # DEPENDENCYPART_SIBL
(20,4),(20,12),0.177965 # DEPENDENCYPART_SIBL
(20,4),(20,15),0.0376795 # DEPENDENCYPART_SIBL
(20,4),(20,18),0.283752 # DEPENDENCYPART_SIBL
(20,4),(20,19),0.224593 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.10005 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.0910371 # DEPENDENCYPART_SIBL
(20,4),(20,27),-0.10005 # DEPENDENCYPART_SIBL
(20,4),(20,28),-0.0972862 # DEPENDENCYPART_SIBL
(20,10),(20,12),0.393646 # DEPENDENCYPART_SIBL
(20,10),(20,15),0.33766 # DEPENDENCYPART_SIBL
(20,10),(20,18),0.172454 # DEPENDENCYPART_SIBL
(20,10),(20,19),0.0392667 # DEPENDENCYPART_SIBL
(20,10),(20,21),0.120635 # DEPENDENCYPART_SIBL
(20,10),(20,22),0.0724964 # DEPENDENCYPART_SIBL
(20,10),(20,27),0.120635 # DEPENDENCYPART_SIBL
(20,10),(20,28),0.0643347 # DEPENDENCYPART_SIBL
(20,12),(20,15),0.0566692 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.28817 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.232612 # DEPENDENCYPART_SIBL
(20,12),(20,21),-0.122145 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.122759 # DEPENDENCYPART_SIBL
(20,12),(20,27),-0.122145 # DEPENDENCYPART_SIBL
(20,12),(20,28),-0.129008 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.00803171 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.0574466 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.0112303 # DEPENDENCYPART_SIBL
(20,15),(20,22),0.0162472 # DEPENDENCYPART_SIBL
(20,15),(20,27),0.0112303 # DEPENDENCYPART_SIBL
(20,15),(20,28),0.00741282 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.205939 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.00508893 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.00401595 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.00508893 # DEPENDENCYPART_SIBL
(20,18),(20,28),-0.00700456 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0770872 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0475611 # DEPENDENCYPART_SIBL
(20,19),(20,27),0.0770872 # DEPENDENCYPART_SIBL
(20,19),(20,28),-0.0665155 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.0107165 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.106503 # DEPENDENCYPART_SIBL
(20,21),(20,28),0.0070676 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.0312345 # DEPENDENCYPART_SIBL
(20,22),(20,28),-0.0583962 # DEPENDENCYPART_SIBL
(20,27),(20,28),0.0070676 # DEPENDENCYPART_SIBL
(21,1),(21,2),-0.0138006 # DEPENDENCYPART_SIBL
(21,1),(21,3),-0.210252 # DEPENDENCYPART_SIBL
(21,1),(21,4),0.0206218 # DEPENDENCYPART_SIBL
(21,1),(21,6),-0.0324902 # DEPENDENCYPART_SIBL
(21,1),(21,7),-0.0453208 # DEPENDENCYPART_SIBL
(21,1),(21,9),-0.00924591 # DEPENDENCYPART_SIBL
(21,1),(21,10),-0.253747 # DEPENDENCYPART_SIBL
(21,1),(21,11),-0.210252 # DEPENDENCYPART_SIBL
(21,1),(21,12),0.0633811 # DEPENDENCYPART_SIBL
(21,1),(21,14),-0.025428 # DEPENDENCYPART_SIBL
(21,1),(21,15),-0.0118709 # DEPENDENCYPART_SIBL
(21,1),(21,16),-0.0126749 # DEPENDENCYPART_SIBL
(21,1),(21,17),-0.436283 # DEPENDENCYPART_SIBL
(21,1),(21,18),-0.387179 # DEPENDENCYPART_SIBL
(21,1),(21,19),-0.101784 # DEPENDENCYPART_SIBL
(21,1),(21,20),-0.00924591 # DEPENDENCYPART_SIBL
(21,1),(21,22),-0.0142831 # DEPENDENCYPART_SIBL
(21,1),(21,23),-0.0490379 # DEPENDENCYPART_SIBL
(21,1),(21,24),-0.0788877 # DEPENDENCYPART_SIBL
(21,1),(21,26),-0.025481 # DEPENDENCYPART_SIBL
(21,1),(21,27),0.0660307 # DEPENDENCYPART_SIBL
(21,1),(21,28),-0.0243861 # DEPENDENCYPART_SIBL
(21,1),(21,29),0.745929 # DEPENDENCYPART_SIBL
(21,1),(21,30),-0.055739 # DEPENDENCYPART_SIBL
(21,2),(21,3),-0.0322322 # DEPENDENCYPART_SIBL
(21,2),(21,4),-0.0589213 # DEPENDENCYPART_SIBL
(21,2),(21,6),-0.748885 # DEPENDENCYPART_SIBL
(21,2),(21,7),-0.021619 # DEPENDENCYPART_SIBL
(21,2),(21,9),-0.743196 # DEPENDENCYPART_SIBL
(21,2),(21,10),-0.313837 # DEPENDENCYPART_SIBL
(21,2),(21,11),-0.0322322 # DEPENDENCYPART_SIBL
(21,2),(21,12),-0.0113489 # DEPENDENCYPART_SIBL
(21,2),(21,14),-0.716009 # DEPENDENCYPART_SIBL
(21,2),(21,15),-0.120267 # DEPENDENCYPART_SIBL
(21,2),(21,16),-0.741492 # DEPENDENCYPART_SIBL
(21,2),(21,17),-0.497151 # DEPENDENCYPART_SIBL
(21,2),(21,18),-0.703922 # DEPENDENCYPART_SIBL
(21,2),(21,19),-0.168618 # DEPENDENCYPART_SIBL
(21,2),(21,20),-0.743196 # DEPENDENCYPART_SIBL
(21,2),(21,22),-0.00326684 # DEPENDENCYPART_SIBL
(21,2),(21,23),-0.0649938 # DEPENDENCYPART_SIBL
(21,2),(21,24),-0.135314 # DEPENDENCYPART_SIBL
(21,2),(21,26),-0.102071 # DEPENDENCYPART_SIBL
(21,2),(21,27),-0.012779 # DEPENDENCYPART_SIBL
(21,2),(21,28),-0.00692464 # DEPENDENCYPART_SIBL
(21,2),(21,29),-0.0578467 # DEPENDENCYPART_SIBL
(21,2),(21,30),-0.0137414 # DEPENDENCYPART_SIBL
(21,3),(21,4),0.0206218 # DEPENDENCYPART_SIBL
(21,3),(21,6),-0.0324902 # DEPENDENCYPART_SIBL
(21,3),(21,7),-0.0453208 # DEPENDENCYPART_SIBL
(21,3),(21,9),-0.00924591 # DEPENDENCYPART_SIBL
(21,3),(21,10),-0.253747 # DEPENDENCYPART_SIBL
(21,3),(21,11),-0.210252 # DEPENDENCYPART_SIBL
(21,3),(21,12),0.0633811 # DEPENDENCYPART_SIBL
(21,3),(21,14),-0.025428 # DEPENDENCYPART_SIBL
(21,3),(21,15),-0.0118709 # DEPENDENCYPART_SIBL
(21,3),(21,16),-0.0126749 # DEPENDENCYPART_SIBL
(21,3),(21,17),-0.436283 # DEPENDENCYPART_SIBL
(21,3),(21,18),-0.387179 # DEPENDENCYPART_SIBL
(21,3),(21,19),-0.101784 # DEPENDENCYPART_SIBL
(21,3),(21,20),-0.00924591 # DEPENDENCYPART_SIBL
(21,3),(21,22),-0.0142831 # DEPENDENCYPART_SIBL
(21,3),(21,23),-0.0490379 # DEPENDENCYPART_SIBL
(21,3),(21,24),-0.0788877 # DEPENDENCYPART_SIBL
(21,3),(21,26),-0.025481 # DEPENDENCYPART_SIBL
(21,3),(21,27),0.0660307 # DEPENDENCYPART_SIBL
(21,3),(21,28),-0.0243861 # DEPENDENCYPART_SIBL
(21,3),(21,29),0.745929 # DEPENDENCYPART_SIBL
(21,3),(21,30),-0.055739 # DEPENDENCYPART_SIBL
(21,4),(21,6),-0.0384109 # DEPENDENCYPART_SIBL
(21,4),(21,7),-0.000919396 # DEPENDENCYPART_SIBL
(21,4),(21,9),-0.0324431 # DEPENDENCYPART_SIBL
(21,4),(21,10),-0.0851486 # DEPENDENCYPART_SIBL
(21,4),(21,11),-0.0220312 # DEPENDENCYPART_SIBL
(21,4),(21,12),-0.10245 # DEPENDENCYPART_SIBL
(21,4),(21,14),-0.0323555 # DEPENDENCYPART_SIBL
(21,4),(21,15),-0.221092 # DEPENDENCYPART_SIBL
(21,4),(21,16),-0.0308271 # DEPENDENCYPART_SIBL
(21,4),(21,17),-0.148622 # DEPENDENCYPART_SIBL
(21,4),(21,18),-0.374381 # DEPENDENCYPART_SIBL
(21,4),(21,19),-0.068855 # DEPENDENCYPART_SIBL
(21,4),(21,20),-0.0324431 # DEPENDENCYPART_SIBL
(21,4),(21,22),-0.0296676 # DEPENDENCYPART_SIBL
(21,4),(21,23),-0.0859056 # DEPENDENCYPART_SIBL
(21,4),(21,24),-0.219801 # DEPENDENCYPART_SIBL
(21,4),(21,26),-0.12711 # DEPENDENCYPART_SIBL
(21,4),(21,27),-0.0969553 # DEPENDENCYPART_SIBL
(21,4),(21,28),-0.0342197 # DEPENDENCYPART_SIBL
(21,4),(21,29),-0.069245 # DEPENDENCYPART_SIBL
(21,4),(21,30),0.0164687 # DEPENDENCYPART_SIBL
(21,6),(21,7),-0.022879 # DEPENDENCYPART_SIBL
(21,6),(21,9),-0.743577 # DEPENDENCYPART_SIBL
(21,6),(21,10),-0.314217 # DEPENDENCYPART_SIBL
(21,6),(21,11),-0.0326124 # DEPENDENCYPART_SIBL
(21,6),(21,12),-0.0132778 # DEPENDENCYPART_SIBL
(21,6),(21,14),-0.716389 # DEPENDENCYPART_SIBL
(21,6),(21,15),-0.12111 # DEPENDENCYPART_SIBL
(21,6),(21,16),-0.741872 # DEPENDENCYPART_SIBL
(21,6),(21,17),-0.497531 # DEPENDENCYPART_SIBL
(21,6),(21,18),-0.704302 # DEPENDENCYPART_SIBL
(21,6),(21,19),-0.168998 # DEPENDENCYPART_SIBL
(21,6),(21,20),-0.743577 # DEPENDENCYPART_SIBL
(21,6),(21,22),-0.00669038 # DEPENDENCYPART_SIBL
(21,6),(21,23),-0.0726214 # DEPENDENCYPART_SIBL
(21,6),(21,24),-0.138945 # DEPENDENCYPART_SIBL
(21,6),(21,26),-0.104833 # DEPENDENCYPART_SIBL
(21,6),(21,27),-0.0170232 # DEPENDENCYPART_SIBL
(21,6),(21,28),-0.0103482 # DEPENDENCYPART_SIBL
(21,6),(21,29),-0.0708698 # DEPENDENCYPART_SIBL
(21,6),(21,30),-0.020103 # DEPENDENCYPART_SIBL
(21,7),(21,9),0.0162748 # DEPENDENCYPART_SIBL
(21,7),(21,10),-0.149282 # DEPENDENCYPART_SIBL
(21,7),(21,11),-0.00148656 # DEPENDENCYPART_SIBL
(21,7),(21,12),0.00153051 # DEPENDENCYPART_SIBL
(21,7),(21,14),0.00241815 # DEPENDENCYPART_SIBL
(21,7),(21,15),-0.0486873 # DEPENDENCYPART_SIBL
(21,7),(21,16),0.0151048 # DEPENDENCYPART_SIBL
(21,7),(21,17),-0.284046 # DEPENDENCYPART_SIBL
(21,7),(21,18),-0.503454 # DEPENDENCYPART_SIBL
(21,7),(21,19),-0.109199 # DEPENDENCYPART_SIBL
(21,7),(21,20),0.0162748 # DEPENDENCYPART_SIBL
(21,7),(21,22),-0.0450992 # DEPENDENCYPART_SIBL
(21,7),(21,23),-0.0644959 # DEPENDENCYPART_SIBL
(21,7),(21,24),-0.116103 # DEPENDENCYPART_SIBL
(21,7),(21,26),-0.0701474 # DEPENDENCYPART_SIBL
(21,7),(21,27),0.0066258 # DEPENDENCYPART_SIBL
(21,7),(21,28),-0.0547628 # DEPENDENCYPART_SIBL
(21,7),(21,29),-0.0841264 # DEPENDENCYPART_SIBL
(21,7),(21,30),-0.0264946 # DEPENDENCYPART_SIBL
(21,9),(21,10),-0.318999 # DEPENDENCYPART_SIBL
(21,9),(21,11),-0.0373944 # DEPENDENCYPART_SIBL
(21,9),(21,12),-0.0174951 # DEPENDENCYPART_SIBL
(21,9),(21,14),-0.720665 # DEPENDENCYPART_SIBL
(21,9),(21,15),-0.126729 # DEPENDENCYPART_SIBL
(21,9),(21,16),-0.746149 # DEPENDENCYPART_SIBL
(21,9),(21,17),-0.502997 # DEPENDENCYPART_SIBL
(21,9),(21,18),-0.709143 # DEPENDENCYPART_SIBL
(21,9),(21,19),-0.173096 # DEPENDENCYPART_SIBL
(21,9),(21,20),-0.747853 # DEPENDENCYPART_SIBL
(21,9),(21,22),-0.0346573 # DEPENDENCYPART_SIBL
(21,9),(21,23),-0.114474 # DEPENDENCYPART_SIBL
(21,9),(21,24),-0.164652 # DEPENDENCYPART_SIBL
(21,9),(21,26),-0.137953 # DEPENDENCYPART_SIBL
(21,9),(21,27),-0.0480277 # DEPENDENCYPART_SIBL
(21,9),(21,28),-0.0383151 # DEPENDENCYPART_SIBL
