# _root_ El Congrés s' havia plantejat de consens a l' entorn_de Preses , que ha iniciat el tercer mandat al_capdavant_de Comissions , si_bé una hora abans d' acabar -se el termini Àngel_González ha presentat la_seva candidatura .
#goldHeads=2,5,5,5,0,5,6,7,10,8,10,15,15,15,11,18,18,15,15,19,15,33,24,25,33,25,26,27,30,27,33,33,5,35,33,5,
#predictedHeads=2,5,5,5,0,5,6,5,10,8,10,15,15,15,11,18,18,15,15,19,33,33,24,25,15,25,26,27,30,33,30,33,15,35,33,5,
(15,25),(15,31),0.00428199 # DEPENDENCYPART_SIBL
(15,25),(15,32),-0.0204354 # DEPENDENCYPART_SIBL
(15,25),(15,33),0.0246609 # DEPENDENCYPART_SIBL
(15,25),(15,35),0.00984214 # DEPENDENCYPART_SIBL
(15,25),(15,36),0.0184594 # DEPENDENCYPART_SIBL
(15,26),(15,27),-0.0130313 # DEPENDENCYPART_SIBL
(15,26),(15,30),-0.0559207 # DEPENDENCYPART_SIBL
(15,26),(15,31),-0.0436837 # DEPENDENCYPART_SIBL
(15,26),(15,32),-0.0431111 # DEPENDENCYPART_SIBL
(15,26),(15,33),0.0231127 # DEPENDENCYPART_SIBL
(15,26),(15,35),-0.0411874 # DEPENDENCYPART_SIBL
(15,26),(15,36),-0.032496 # DEPENDENCYPART_SIBL
(15,27),(15,30),0.00972274 # DEPENDENCYPART_SIBL
(15,27),(15,31),0.0113237 # DEPENDENCYPART_SIBL
(15,27),(15,32),-0.0500584 # DEPENDENCYPART_SIBL
(15,27),(15,33),-0.0238888 # DEPENDENCYPART_SIBL
(15,27),(15,35),0.0134588 # DEPENDENCYPART_SIBL
(15,27),(15,36),0.00581414 # DEPENDENCYPART_SIBL
(15,30),(15,31),-0.256336 # DEPENDENCYPART_SIBL
(15,30),(15,32),0.00455312 # DEPENDENCYPART_SIBL
(15,30),(15,33),0.0192082 # DEPENDENCYPART_SIBL
(15,30),(15,35),-0.253824 # DEPENDENCYPART_SIBL
(15,30),(15,36),-0.0258154 # DEPENDENCYPART_SIBL
(15,31),(15,32),-0.0228629 # DEPENDENCYPART_SIBL
(15,31),(15,33),-0.00820786 # DEPENDENCYPART_SIBL
(15,31),(15,35),-0.261241 # DEPENDENCYPART_SIBL
(15,31),(15,36),-0.0307095 # DEPENDENCYPART_SIBL
(15,32),(15,33),-0.0285591 # DEPENDENCYPART_SIBL
(15,32),(15,35),-0.0140376 # DEPENDENCYPART_SIBL
(15,32),(15,36),-0.0232711 # DEPENDENCYPART_SIBL
(15,33),(15,35),0.00802252 # DEPENDENCYPART_SIBL
(15,33),(15,36),-0.00374701 # DEPENDENCYPART_SIBL
(15,35),(15,36),-0.04498 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.192042 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0745517 # DEPENDENCYPART_SIBL
(17,16),(17,27),0.121226 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.112696 # DEPENDENCYPART_SIBL
(17,19),(17,27),0.0331085 # DEPENDENCYPART_SIBL
(17,21),(17,27),-0.0141136 # DEPENDENCYPART_SIBL
(18,5),(18,6),0.116899 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.115123 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.062072 # DEPENDENCYPART_SIBL
(18,5),(18,12),0.287593 # DEPENDENCYPART_SIBL
(18,5),(18,14),0.0253696 # DEPENDENCYPART_SIBL
(18,5),(18,15),0.170465 # DEPENDENCYPART_SIBL
(18,5),(18,16),0.0902862 # DEPENDENCYPART_SIBL
(18,5),(18,17),0.0918449 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.0781887 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.0328905 # DEPENDENCYPART_SIBL
(18,5),(18,21),-0.0427135 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.0721821 # DEPENDENCYPART_SIBL
(18,5),(18,23),-0.0116383 # DEPENDENCYPART_SIBL
(18,5),(18,24),-0.0348143 # DEPENDENCYPART_SIBL
(18,5),(18,25),-0.0243931 # DEPENDENCYPART_SIBL
(18,5),(18,26),-0.0751676 # DEPENDENCYPART_SIBL
(18,5),(18,27),-0.0971246 # DEPENDENCYPART_SIBL
(18,5),(18,30),-0.0378398 # DEPENDENCYPART_SIBL
(18,5),(18,31),-0.0360998 # DEPENDENCYPART_SIBL
(18,5),(18,33),-0.103596 # DEPENDENCYPART_SIBL
(18,5),(18,35),-0.0365479 # DEPENDENCYPART_SIBL
(18,5),(18,36),0.0220626 # DEPENDENCYPART_SIBL
(18,6),(18,8),-0.0581037 # DEPENDENCYPART_SIBL
(18,6),(18,10),-0.0595617 # DEPENDENCYPART_SIBL
(18,6),(18,12),-0.130742 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.0118771 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.0138793 # DEPENDENCYPART_SIBL
(18,6),(18,16),-0.107517 # DEPENDENCYPART_SIBL
(18,6),(18,17),-0.0694453 # DEPENDENCYPART_SIBL
(18,6),(18,19),0.00707136 # DEPENDENCYPART_SIBL
(18,6),(18,20),-0.00380736 # DEPENDENCYPART_SIBL
(18,6),(18,21),-0.0459149 # DEPENDENCYPART_SIBL
(18,6),(18,22),-0.0643067 # DEPENDENCYPART_SIBL
(18,6),(18,23),-0.0565612 # DEPENDENCYPART_SIBL
(18,6),(18,24),0.0211566 # DEPENDENCYPART_SIBL
(18,6),(18,25),0.0340877 # DEPENDENCYPART_SIBL
(18,6),(18,26),0.0669646 # DEPENDENCYPART_SIBL
(18,6),(18,27),-0.00853069 # DEPENDENCYPART_SIBL
(18,6),(18,30),0.000658831 # DEPENDENCYPART_SIBL
(18,6),(18,31),-0.00701557 # DEPENDENCYPART_SIBL
(18,6),(18,33),-0.01504 # DEPENDENCYPART_SIBL
(18,6),(18,35),-0.00917581 # DEPENDENCYPART_SIBL
(18,6),(18,36),-0.0154163 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.0293066 # DEPENDENCYPART_SIBL
(18,8),(18,12),0.00655081 # DEPENDENCYPART_SIBL
(18,8),(18,14),0.0270697 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.00351939 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.155502 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.0592672 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.0597623 # DEPENDENCYPART_SIBL
(18,8),(18,20),0.0265922 # DEPENDENCYPART_SIBL
(18,8),(18,21),-0.0330333 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.0110521 # DEPENDENCYPART_SIBL
(18,8),(18,23),-0.0331853 # DEPENDENCYPART_SIBL
(18,8),(18,24),0.0520096 # DEPENDENCYPART_SIBL
(18,8),(18,25),0.0382677 # DEPENDENCYPART_SIBL
(18,8),(18,26),-0.0217647 # DEPENDENCYPART_SIBL
(18,8),(18,27),-0.0111812 # DEPENDENCYPART_SIBL
(18,8),(18,30),0.0301427 # DEPENDENCYPART_SIBL
(18,8),(18,31),0.0233851 # DEPENDENCYPART_SIBL
(18,8),(18,33),-0.0216804 # DEPENDENCYPART_SIBL
(18,8),(18,35),0.0216874 # DEPENDENCYPART_SIBL
(18,8),(18,36),0.0552231 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0570363 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.0250465 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.00978678 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.0946765 # DEPENDENCYPART_SIBL
(18,10),(18,17),-0.0526097 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.00389581 # DEPENDENCYPART_SIBL
(18,10),(18,20),0.0524656 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.00888998 # DEPENDENCYPART_SIBL
(18,10),(18,22),-0.00425419 # DEPENDENCYPART_SIBL
(18,10),(18,23),-0.0197717 # DEPENDENCYPART_SIBL
(18,10),(18,24),0.0779046 # DEPENDENCYPART_SIBL
(18,10),(18,25),0.0983678 # DEPENDENCYPART_SIBL
(18,10),(18,26),0.0406141 # DEPENDENCYPART_SIBL
(18,10),(18,27),0.0168429 # DEPENDENCYPART_SIBL
(18,10),(18,30),0.0570816 # DEPENDENCYPART_SIBL
(18,10),(18,31),0.0492574 # DEPENDENCYPART_SIBL
(18,10),(18,33),0.00968034 # DEPENDENCYPART_SIBL
(18,10),(18,35),0.0475616 # DEPENDENCYPART_SIBL
(18,10),(18,36),0.0626114 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.396876 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.366289 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.0323321 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.179857 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.00351397 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.0501141 # DEPENDENCYPART_SIBL
(18,12),(18,21),0.334699 # DEPENDENCYPART_SIBL
(18,12),(18,22),-0.0757568 # DEPENDENCYPART_SIBL
(18,12),(18,23),-0.0852836 # DEPENDENCYPART_SIBL
(18,12),(18,24),-0.00454108 # DEPENDENCYPART_SIBL
(18,12),(18,25),0.0258449 # DEPENDENCYPART_SIBL
(18,12),(18,26),0.0284898 # DEPENDENCYPART_SIBL
(18,12),(18,27),0.12085 # DEPENDENCYPART_SIBL
(18,12),(18,30),-0.0562823 # DEPENDENCYPART_SIBL
(18,12),(18,31),-0.053321 # DEPENDENCYPART_SIBL
(18,12),(18,33),0.110989 # DEPENDENCYPART_SIBL
(18,12),(18,35),-0.0556804 # DEPENDENCYPART_SIBL
(18,12),(18,36),-0.316287 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.176076 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0611062 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.0766677 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.117224 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.021162 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.0272136 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.0955956 # DEPENDENCYPART_SIBL
(18,14),(18,23),-0.0330644 # DEPENDENCYPART_SIBL
(18,14),(18,24),-0.0236681 # DEPENDENCYPART_SIBL
(18,14),(18,25),-0.014404 # DEPENDENCYPART_SIBL
(18,14),(18,26),-0.10762 # DEPENDENCYPART_SIBL
(18,14),(18,27),-0.102044 # DEPENDENCYPART_SIBL
(18,14),(18,30),-0.0261168 # DEPENDENCYPART_SIBL
(18,14),(18,31),-0.0243713 # DEPENDENCYPART_SIBL
(18,14),(18,33),-0.11282 # DEPENDENCYPART_SIBL
(18,14),(18,35),-0.0239286 # DEPENDENCYPART_SIBL
(18,14),(18,36),0.102059 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.0901943 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0918301 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0773401 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0337955 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.0435044 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0743138 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.0116492 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.0357192 # DEPENDENCYPART_SIBL
(18,15),(18,25),-0.0244058 # DEPENDENCYPART_SIBL
(18,15),(18,26),-0.0743197 # DEPENDENCYPART_SIBL
(18,15),(18,27),-0.0979789 # DEPENDENCYPART_SIBL
(18,15),(18,30),-0.0387448 # DEPENDENCYPART_SIBL
(18,15),(18,31),-0.0370048 # DEPENDENCYPART_SIBL
(18,15),(18,33),-0.10445 # DEPENDENCYPART_SIBL
(18,15),(18,35),-0.0374529 # DEPENDENCYPART_SIBL
(18,15),(18,36),0.020336 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0760753 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.113488 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.319725 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0105397 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0982335 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.0158175 # DEPENDENCYPART_SIBL
(18,16),(18,24),0.324324 # DEPENDENCYPART_SIBL
(18,16),(18,25),-0.0931868 # DEPENDENCYPART_SIBL
(18,16),(18,26),0.32773 # DEPENDENCYPART_SIBL
(18,16),(18,27),0.00976878 # DEPENDENCYPART_SIBL
(18,16),(18,30),0.304587 # DEPENDENCYPART_SIBL
(18,16),(18,31),0.303671 # DEPENDENCYPART_SIBL
(18,16),(18,33),0.0401484 # DEPENDENCYPART_SIBL
(18,16),(18,35),0.313004 # DEPENDENCYPART_SIBL
(18,16),(18,36),-0.00715637 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.00571857 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0180094 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0832188 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.00648573 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.00381482 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.0275905 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.082128 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.00453743 # DEPENDENCYPART_SIBL
(18,17),(18,27),0.0111522 # DEPENDENCYPART_SIBL
(18,17),(18,30),0.0122808 # DEPENDENCYPART_SIBL
(18,17),(18,31),0.0148 # DEPENDENCYPART_SIBL
(18,17),(18,33),0.0020654 # DEPENDENCYPART_SIBL
(18,17),(18,35),0.0122412 # DEPENDENCYPART_SIBL
(18,17),(18,36),0.0867838 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0639946 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.0696429 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0175501 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.0453163 # DEPENDENCYPART_SIBL
(18,19),(18,24),0.0390144 # DEPENDENCYPART_SIBL
(18,19),(18,25),0.126532 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.00487606 # DEPENDENCYPART_SIBL
(18,19),(18,27),-0.0168715 # DEPENDENCYPART_SIBL
(18,19),(18,30),0.0415039 # DEPENDENCYPART_SIBL
(18,19),(18,31),0.0640166 # DEPENDENCYPART_SIBL
(18,19),(18,33),0.0370796 # DEPENDENCYPART_SIBL
(18,19),(18,35),0.0639761 # DEPENDENCYPART_SIBL
(18,19),(18,36),0.117473 # DEPENDENCYPART_SIBL
(18,20),(18,21),0.0320797 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0317327 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.063155 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.00120272 # DEPENDENCYPART_SIBL
(18,20),(18,25),0.0399557 # DEPENDENCYPART_SIBL
(18,20),(18,26),0.0420086 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.00020516 # DEPENDENCYPART_SIBL
(18,20),(18,30),0.0018116 # DEPENDENCYPART_SIBL
(18,20),(18,31),0.0139092 # DEPENDENCYPART_SIBL
(18,20),(18,33),-0.00449725 # DEPENDENCYPART_SIBL
(18,20),(18,35),0.0138828 # DEPENDENCYPART_SIBL
(18,20),(18,36),-0.00425584 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.127984 # DEPENDENCYPART_SIBL
(18,21),(18,23),0.0553019 # DEPENDENCYPART_SIBL
(18,21),(18,24),0.365519 # DEPENDENCYPART_SIBL
(18,21),(18,25),0.0619109 # DEPENDENCYPART_SIBL
(18,21),(18,26),0.0420236 # DEPENDENCYPART_SIBL
(18,21),(18,27),-0.0539785 # DEPENDENCYPART_SIBL
(18,21),(18,30),0.361193 # DEPENDENCYPART_SIBL
(18,21),(18,31),0.375347 # DEPENDENCYPART_SIBL
(18,21),(18,33),-0.0686082 # DEPENDENCYPART_SIBL
(18,21),(18,35),0.375183 # DEPENDENCYPART_SIBL
(18,21),(18,36),0.00670543 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0567462 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.242249 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.0657405 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.0653276 # DEPENDENCYPART_SIBL
(18,22),(18,27),-0.0466917 # DEPENDENCYPART_SIBL
(18,22),(18,30),0.219492 # DEPENDENCYPART_SIBL
(18,22),(18,31),0.241085 # DEPENDENCYPART_SIBL
(18,22),(18,33),-0.0323894 # DEPENDENCYPART_SIBL
(18,22),(18,35),0.241056 # DEPENDENCYPART_SIBL
(18,22),(18,36),-0.0140738 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.0226845 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.0414361 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.0661793 # DEPENDENCYPART_SIBL
(18,23),(18,27),-0.0694309 # DEPENDENCYPART_SIBL
(18,23),(18,30),-0.0276313 # DEPENDENCYPART_SIBL
(18,23),(18,31),-0.0162222 # DEPENDENCYPART_SIBL
(18,23),(18,33),-0.0638626 # DEPENDENCYPART_SIBL
(18,23),(18,35),-0.0162412 # DEPENDENCYPART_SIBL
(18,23),(18,36),-0.0719283 # DEPENDENCYPART_SIBL
(18,24),(18,25),0.0169919 # DEPENDENCYPART_SIBL
(18,24),(18,26),0.00895665 # DEPENDENCYPART_SIBL
(18,24),(18,27),-0.0202572 # DEPENDENCYPART_SIBL
(18,24),(18,30),-0.0281966 # DEPENDENCYPART_SIBL
(18,24),(18,31),-0.016099 # DEPENDENCYPART_SIBL
(18,24),(18,33),-0.0245493 # DEPENDENCYPART_SIBL
(18,24),(18,35),-0.0161254 # DEPENDENCYPART_SIBL
(18,24),(18,36),-0.0229977 # DEPENDENCYPART_SIBL
(18,25),(18,26),0.0676729 # DEPENDENCYPART_SIBL
(18,25),(18,27),-0.0203737 # DEPENDENCYPART_SIBL
(18,25),(18,30),0.0235158 # DEPENDENCYPART_SIBL
(18,25),(18,31),0.0362455 # DEPENDENCYPART_SIBL
(18,25),(18,33),-0.0128382 # DEPENDENCYPART_SIBL
(18,25),(18,35),0.0377469 # DEPENDENCYPART_SIBL
(18,25),(18,36),0.160628 # DEPENDENCYPART_SIBL
(18,26),(18,27),-0.0322365 # DEPENDENCYPART_SIBL
(18,26),(18,30),-0.0129495 # DEPENDENCYPART_SIBL
(18,26),(18,31),0.0148661 # DEPENDENCYPART_SIBL
(18,26),(18,33),0.0337813 # DEPENDENCYPART_SIBL
(18,26),(18,35),0.0148256 # DEPENDENCYPART_SIBL
(18,26),(18,36),0.0309149 # DEPENDENCYPART_SIBL
(18,27),(18,30),0.0215171 # DEPENDENCYPART_SIBL
(18,27),(18,31),0.0329903 # DEPENDENCYPART_SIBL
(18,27),(18,33),-0.0678064 # DEPENDENCYPART_SIBL
(18,27),(18,35),0.0327654 # DEPENDENCYPART_SIBL
(18,27),(18,36),0.0556336 # DEPENDENCYPART_SIBL
(18,30),(18,31),0.00580103 # DEPENDENCYPART_SIBL
(18,30),(18,33),-0.00415842 # DEPENDENCYPART_SIBL
(18,30),(18,35),0.00577465 # DEPENDENCYPART_SIBL
(18,30),(18,36),-0.0128165 # DEPENDENCYPART_SIBL
(18,31),(18,33),-0.00448298 # DEPENDENCYPART_SIBL
(18,31),(18,35),0.0139048 # DEPENDENCYPART_SIBL
(18,31),(18,36),-0.00425476 # DEPENDENCYPART_SIBL
(18,33),(18,35),0.0343543 # DEPENDENCYPART_SIBL
(18,33),(18,36),0.0619867 # DEPENDENCYPART_SIBL
(18,35),(18,36),-0.00573355 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0508055 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0474753 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0305419 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0795211 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0723012 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.051272 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.041368 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.09982 # DEPENDENCYPART_SIBL
(20,16),(20,24),0.322812 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.0311951 # DEPENDENCYPART_SIBL
(20,18),(20,24),0.00962025 # DEPENDENCYPART_SIBL
(20,22),(20,24),0.242324 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.177076 # DEPENDENCYPART_SIBL
(22,21),(22,24),0.57337 # DEPENDENCYPART_SIBL
(22,21),(22,26),0.234829 # DEPENDENCYPART_SIBL
(22,21),(22,27),0.25148 # DEPENDENCYPART_SIBL
(22,23),(22,24),0.0038356 # DEPENDENCYPART_SIBL
(22,23),(22,26),-0.00532498 # DEPENDENCYPART_SIBL
(22,23),(22,27),-0.0105834 # DEPENDENCYPART_SIBL
(22,24),(22,26),0.0562294 # DEPENDENCYPART_SIBL
(22,24),(22,27),-0.0232854 # DEPENDENCYPART_SIBL
(22,26),(22,27),-0.0257649 # DEPENDENCYPART_SIBL
(23,24),(23,25),0.191581 # DEPENDENCYPART_SIBL
(23,24),(23,26),0.34666 # DEPENDENCYPART_SIBL
(23,25),(23,26),0.279591 # DEPENDENCYPART_SIBL
(24,5),(24,6),0.116278 # DEPENDENCYPART_SIBL
(24,5),(24,18),0.169342 # DEPENDENCYPART_SIBL
(24,5),(24,19),0.0614635 # DEPENDENCYPART_SIBL
(24,5),(24,21),0.286475 # DEPENDENCYPART_SIBL
(24,5),(24,22),0.378184 # DEPENDENCYPART_SIBL
(24,5),(24,23),0.212419 # DEPENDENCYPART_SIBL
(24,5),(24,25),-0.0445146 # DEPENDENCYPART_SIBL
(24,5),(24,26),-0.063237 # DEPENDENCYPART_SIBL
(24,5),(24,27),-0.0969367 # DEPENDENCYPART_SIBL
(24,5),(24,30),-0.0317214 # DEPENDENCYPART_SIBL
(24,5),(24,31),-0.0299814 # DEPENDENCYPART_SIBL
(24,5),(24,32),-0.165137 # DEPENDENCYPART_SIBL
(24,5),(24,33),-0.103408 # DEPENDENCYPART_SIBL
(24,5),(24,35),-0.0304295 # DEPENDENCYPART_SIBL
(24,6),(24,18),0.0392587 # DEPENDENCYPART_SIBL
(24,6),(24,19),-0.0397441 # DEPENDENCYPART_SIBL
(24,6),(24,21),-0.111595 # DEPENDENCYPART_SIBL
(24,6),(24,22),0.406788 # DEPENDENCYPART_SIBL
(24,6),(24,23),0.0801343 # DEPENDENCYPART_SIBL
(24,6),(24,25),0.02647 # DEPENDENCYPART_SIBL
(24,6),(24,26),0.091058 # DEPENDENCYPART_SIBL
(24,6),(24,27),0.00408762 # DEPENDENCYPART_SIBL
(24,6),(24,30),0.0275187 # DEPENDENCYPART_SIBL
(24,6),(24,31),0.0198443 # DEPENDENCYPART_SIBL
(24,6),(24,32),-0.0482713 # DEPENDENCYPART_SIBL
(24,6),(24,33),-0.00242181 # DEPENDENCYPART_SIBL
(24,6),(24,35),0.0176841 # DEPENDENCYPART_SIBL
(24,18),(24,19),0.0675195 # DEPENDENCYPART_SIBL
(24,18),(24,21),0.0615824 # DEPENDENCYPART_SIBL
(24,18),(24,22),0.241001 # DEPENDENCYPART_SIBL
(24,18),(24,23),-0.001994 # DEPENDENCYPART_SIBL
(24,18),(24,25),-0.0253592 # DEPENDENCYPART_SIBL
(24,18),(24,26),0.0211104 # DEPENDENCYPART_SIBL
(24,18),(24,27),-0.0109979 # DEPENDENCYPART_SIBL
(24,18),(24,30),-0.00469253 # DEPENDENCYPART_SIBL
(24,18),(24,31),0.00288975 # DEPENDENCYPART_SIBL
(24,18),(24,32),-0.0668549 # DEPENDENCYPART_SIBL
(24,18),(24,33),-0.0120555 # DEPENDENCYPART_SIBL
(24,18),(24,35),0.00701267 # DEPENDENCYPART_SIBL
(24,19),(24,21),-0.0373172 # DEPENDENCYPART_SIBL
(24,19),(24,22),0.236454 # DEPENDENCYPART_SIBL
(24,19),(24,23),0.0870497 # DEPENDENCYPART_SIBL
(24,19),(24,25),0.0819633 # DEPENDENCYPART_SIBL
(24,19),(24,26),0.0626965 # DEPENDENCYPART_SIBL
(24,19),(24,27),0.0307083 # DEPENDENCYPART_SIBL
(24,19),(24,30),0.0810896 # DEPENDENCYPART_SIBL
(24,19),(24,31),0.0732654 # DEPENDENCYPART_SIBL
(24,19),(24,32),-0.019856 # DEPENDENCYPART_SIBL
(24,19),(24,33),0.0235457 # DEPENDENCYPART_SIBL
(24,19),(24,35),0.0715696 # DEPENDENCYPART_SIBL
(24,21),(24,22),0.510349 # DEPENDENCYPART_SIBL
(24,21),(24,23),0.381332 # DEPENDENCYPART_SIBL
(24,21),(24,25),-0.00171304 # DEPENDENCYPART_SIBL
(24,21),(24,26),0.0336024 # DEPENDENCYPART_SIBL
(24,21),(24,27),0.114507 # DEPENDENCYPART_SIBL
(24,21),(24,30),-0.0555706 # DEPENDENCYPART_SIBL
(24,21),(24,31),-0.0526093 # DEPENDENCYPART_SIBL
(24,21),(24,32),0.0536887 # DEPENDENCYPART_SIBL
(24,21),(24,33),0.104645 # DEPENDENCYPART_SIBL
(24,21),(24,35),-0.0549688 # DEPENDENCYPART_SIBL
(24,22),(24,23),0.105827 # DEPENDENCYPART_SIBL
(24,22),(24,25),0.0268431 # DEPENDENCYPART_SIBL
(24,22),(24,26),-0.0257359 # DEPENDENCYPART_SIBL
(24,22),(24,27),-0.0263663 # DEPENDENCYPART_SIBL
(24,22),(24,30),-0.0313246 # DEPENDENCYPART_SIBL
(24,22),(24,31),-0.0248498 # DEPENDENCYPART_SIBL
(24,22),(24,32),-0.0752535 # DEPENDENCYPART_SIBL
(24,22),(24,33),-0.0276881 # DEPENDENCYPART_SIBL
(24,22),(24,35),-0.0278702 # DEPENDENCYPART_SIBL
(24,23),(24,25),0.0574823 # DEPENDENCYPART_SIBL
(24,23),(24,26),0.294635 # DEPENDENCYPART_SIBL
(24,23),(24,27),0.190314 # DEPENDENCYPART_SIBL
(24,23),(24,30),-0.0557146 # DEPENDENCYPART_SIBL
(24,23),(24,31),-0.0519962 # DEPENDENCYPART_SIBL
(24,23),(24,32),0.0487907 # DEPENDENCYPART_SIBL
(24,23),(24,33),0.21898 # DEPENDENCYPART_SIBL
(24,23),(24,35),-0.0483914 # DEPENDENCYPART_SIBL
(24,25),(24,26),0.0571071 # DEPENDENCYPART_SIBL
(24,25),(24,27),-0.0180498 # DEPENDENCYPART_SIBL
(24,25),(24,30),0.0142543 # DEPENDENCYPART_SIBL
(24,25),(24,31),0.0269841 # DEPENDENCYPART_SIBL
(24,25),(24,32),0.00322007 # DEPENDENCYPART_SIBL
(24,25),(24,33),-0.0105142 # DEPENDENCYPART_SIBL
(24,25),(24,35),0.0284855 # DEPENDENCYPART_SIBL
(24,26),(24,27),-0.0421115 # DEPENDENCYPART_SIBL
(24,26),(24,30),-0.0373163 # DEPENDENCYPART_SIBL
(24,26),(24,31),-0.00950063 # DEPENDENCYPART_SIBL
(24,26),(24,32),0.00220657 # DEPENDENCYPART_SIBL
(24,26),(24,33),0.0239063 # DEPENDENCYPART_SIBL
(24,26),(24,35),-0.00954114 # DEPENDENCYPART_SIBL
(24,27),(24,30),0.00904701 # DEPENDENCYPART_SIBL
(24,27),(24,31),0.0205203 # DEPENDENCYPART_SIBL
(24,27),(24,32),-0.035266 # DEPENDENCYPART_SIBL
(24,27),(24,33),-0.0687318 # DEPENDENCYPART_SIBL
(24,27),(24,35),0.0202953 # DEPENDENCYPART_SIBL
(24,30),(24,31),-0.0209345 # DEPENDENCYPART_SIBL
