# _root_ No els en deixa passar ni una i , si hi ha dubtes sobre la sonoritat d' una nota , fa que la repeteixin tots .
#goldHeads=5,5,5,5,0,7,5,5,12,12,12,21,12,13,16,14,16,19,17,12,5,24,24,21,24,5,
#predictedHeads=5,5,5,5,0,5,5,7,12,12,12,5,12,13,16,14,16,19,17,12,12,24,24,21,24,5,
(5,4),(5,26),0.0187085 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0496042 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0055075 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.01656 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.055087 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00901222 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0220223 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.017607 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0670086 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.01656 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0561371 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.0674031 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.0107574 # DEPENDENCYPART_SIBL
(5,6),(5,26),-0.00181704 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0307646 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0381695 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.102315 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.009688 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.086973 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0173902 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0276904 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0381695 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0356086 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0497689 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.0101742 # DEPENDENCYPART_SIBL
(5,7),(5,26),-0.0126064 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.073674 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.269469 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.236739 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.428396 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.212987 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.094438 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.073674 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.650076 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.616159 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.229606 # DEPENDENCYPART_SIBL
(5,8),(5,26),0.0143841 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0309395 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0245353 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.038993 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0503466 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.141527 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.114672 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0176082 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.0220155 # DEPENDENCYPART_SIBL
(5,9),(5,25),-0.0194928 # DEPENDENCYPART_SIBL
(5,9),(5,26),-0.076936 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.00364256 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.166816 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0118004 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.00508589 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.158826 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0383537 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.0417755 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.00206671 # DEPENDENCYPART_SIBL
(5,10),(5,26),-0.120847 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0917281 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.00847409 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0271991 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0705089 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.0381409 # DEPENDENCYPART_SIBL
(5,11),(5,24),-0.0523078 # DEPENDENCYPART_SIBL
(5,11),(5,25),0.0081597 # DEPENDENCYPART_SIBL
(5,11),(5,26),-0.0452856 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.00188453 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0776628 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.0132857 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0683448 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.06676 # DEPENDENCYPART_SIBL
(5,12),(5,25),-0.0214993 # DEPENDENCYPART_SIBL
(5,12),(5,26),-0.00878414 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0241911 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.0361718 # DEPENDENCYPART_SIBL
(5,13),(5,21),-0.0223631 # DEPENDENCYPART_SIBL
(5,13),(5,24),-0.0232682 # DEPENDENCYPART_SIBL
(5,13),(5,25),-0.133348 # DEPENDENCYPART_SIBL
(5,13),(5,26),-0.00905719 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.0772567 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.0634838 # DEPENDENCYPART_SIBL
(5,14),(5,24),-0.100447 # DEPENDENCYPART_SIBL
(5,14),(5,25),-0.0988506 # DEPENDENCYPART_SIBL
(5,14),(5,26),-0.084099 # DEPENDENCYPART_SIBL
(5,20),(5,21),0.0176082 # DEPENDENCYPART_SIBL
(5,20),(5,24),0.0220155 # DEPENDENCYPART_SIBL
(5,20),(5,25),-0.0194928 # DEPENDENCYPART_SIBL
(5,20),(5,26),-0.076936 # DEPENDENCYPART_SIBL
(5,21),(5,24),-0.0959388 # DEPENDENCYPART_SIBL
(5,21),(5,25),-0.0404099 # DEPENDENCYPART_SIBL
(5,21),(5,26),-0.078942 # DEPENDENCYPART_SIBL
(5,24),(5,25),-0.00505543 # DEPENDENCYPART_SIBL
(5,24),(5,26),0.0298634 # DEPENDENCYPART_SIBL
(5,25),(5,26),0.0168255 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00378003 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0184566 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00841153 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0288203 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.177887 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0158326 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.404566 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.071239 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0308387 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.175781 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.187868 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0552803 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0825258 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.103609 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0826122 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0712576 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0968767 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.444347 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.270044 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.429321 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.32431 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0136392 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0942622 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.00930053 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0540607 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0760667 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.145051 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0383354 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.0219548 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0932123 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0271522 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0801921 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.000741013 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0321584 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0307167 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.211873 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.249941 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.535941 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0325894 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0587583 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.00019682 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0129529 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.042003 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0598068 # DEPENDENCYPART_SIBL
(12,4),(12,5),-0.0211865 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.0790065 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.0318852 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.103261 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.149492 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.505734 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.136665 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0302825 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.131857 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.0363543 # DEPENDENCYPART_SIBL
(12,4),(12,19),0.131281 # DEPENDENCYPART_SIBL
(12,4),(12,20),-0.00302772 # DEPENDENCYPART_SIBL
(12,4),(12,21),-0.112557 # DEPENDENCYPART_SIBL
(12,4),(12,24),0.0251241 # DEPENDENCYPART_SIBL
(12,4),(12,26),0.134092 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.0631497 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.01504 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.124431 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.166193 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.479415 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.127966 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.0102029 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.123158 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.0564299 # DEPENDENCYPART_SIBL
(12,5),(12,19),0.122582 # DEPENDENCYPART_SIBL
(12,5),(12,20),-0.0119366 # DEPENDENCYPART_SIBL
(12,5),(12,21),-0.137375 # DEPENDENCYPART_SIBL
(12,5),(12,24),0.000306113 # DEPENDENCYPART_SIBL
(12,5),(12,26),0.136766 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0131658 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.266633 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.115152 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.67561 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0110146 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0351465 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0167115 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.089181 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.020641 # DEPENDENCYPART_SIBL
(12,6),(12,20),-0.082309 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.0707186 # DEPENDENCYPART_SIBL
(12,6),(12,24),-0.0159077 # DEPENDENCYPART_SIBL
(12,6),(12,26),0.0766115 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.218871 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.159195 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.723966 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.019403 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0354995 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.00890447 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.127809 # DEPENDENCYPART_SIBL
(12,8),(12,19),0.0113448 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.00353364 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.0474366 # DEPENDENCYPART_SIBL
(12,8),(12,24),-0.0224041 # DEPENDENCYPART_SIBL
(12,8),(12,26),0.0736107 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.334288 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.320175 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0467882 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.058217 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0428505 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0781297 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.0416719 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.153723 # DEPENDENCYPART_SIBL
(12,9),(12,21),-0.0485665 # DEPENDENCYPART_SIBL
(12,9),(12,24),-0.0361504 # DEPENDENCYPART_SIBL
(12,9),(12,26),-0.466158 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.876124 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.230676 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0297671 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.220178 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0737219 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.222618 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.514424 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.0268196 # DEPENDENCYPART_SIBL
(12,10),(12,24),-0.0237217 # DEPENDENCYPART_SIBL
(12,10),(12,26),-0.151067 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.588933 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.48465 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.576904 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.278412 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.579751 # DEPENDENCYPART_SIBL
(12,11),(12,20),0.572477 # DEPENDENCYPART_SIBL
(12,11),(12,21),0.3672 # DEPENDENCYPART_SIBL
(12,11),(12,24),0.419327 # DEPENDENCYPART_SIBL
(12,11),(12,26),0.7123 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0301291 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.242038 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.00780429 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.241489 # DEPENDENCYPART_SIBL
(12,13),(12,20),0.0897257 # DEPENDENCYPART_SIBL
(12,13),(12,21),0.0905024 # DEPENDENCYPART_SIBL
(12,13),(12,24),0.0586746 # DEPENDENCYPART_SIBL
(12,13),(12,26),0.0890447 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.101771 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.192546 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.101721 # DEPENDENCYPART_SIBL
(12,14),(12,20),0.0045156 # DEPENDENCYPART_SIBL
(12,14),(12,21),0.0668472 # DEPENDENCYPART_SIBL
(12,14),(12,24),-0.00908978 # DEPENDENCYPART_SIBL
(12,14),(12,26),-0.019647 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.000356584 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.255247 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.113018 # DEPENDENCYPART_SIBL
(12,16),(12,21),0.0623699 # DEPENDENCYPART_SIBL
(12,16),(12,24),0.0299783 # DEPENDENCYPART_SIBL
(12,16),(12,26),0.0922345 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.0556049 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.0472737 # DEPENDENCYPART_SIBL
(12,17),(12,21),0.0809903 # DEPENDENCYPART_SIBL
(12,17),(12,24),0.00264656 # DEPENDENCYPART_SIBL
(12,17),(12,26),0.0194688 # DEPENDENCYPART_SIBL
(12,19),(12,20),0.0922101 # DEPENDENCYPART_SIBL
(12,19),(12,21),0.0544671 # DEPENDENCYPART_SIBL
(12,19),(12,24),0.0220755 # DEPENDENCYPART_SIBL
(12,19),(12,26),0.0730832 # DEPENDENCYPART_SIBL
(12,20),(12,21),0.11991 # DEPENDENCYPART_SIBL
(12,20),(12,24),0.0934811 # DEPENDENCYPART_SIBL
(12,20),(12,26),-0.0309568 # DEPENDENCYPART_SIBL
(12,21),(12,24),-0.0803166 # DEPENDENCYPART_SIBL
(12,21),(12,26),-0.0626412 # DEPENDENCYPART_SIBL
(12,24),(12,26),0.034171 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.0106852 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.0878162 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0695078 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.0250665 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.166268 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.044748 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.0294703 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0761883 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0593901 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.11958 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0603292 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.119281 # DEPENDENCYPART_SIBL
(13,2),(13,20),0.0461283 # DEPENDENCYPART_SIBL
(13,2),(13,21),-0.0345648 # DEPENDENCYPART_SIBL
(13,2),(13,24),-0.015465 # DEPENDENCYPART_SIBL
(13,2),(13,25),-0.0268642 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.170931 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.152479 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.115281 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.194969 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0819206 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0948679 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.133831 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.121359 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.114556 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.152636 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.112904 # DEPENDENCYPART_SIBL
(13,3),(13,20),0.0217253 # DEPENDENCYPART_SIBL
(13,3),(13,21),-0.0959048 # DEPENDENCYPART_SIBL
(13,3),(13,24),-0.0489508 # DEPENDENCYPART_SIBL
(13,3),(13,25),-0.0615205 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.175488 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.144531 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.667823 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.364708 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.130247 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0209372 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0738688 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0164751 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.0823531 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.0165235 # DEPENDENCYPART_SIBL
(13,4),(13,20),-0.0252807 # DEPENDENCYPART_SIBL
(13,4),(13,21),-0.175809 # DEPENDENCYPART_SIBL
(13,4),(13,24),-0.103873 # DEPENDENCYPART_SIBL
(13,4),(13,25),-0.0192782 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.142486 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.665188 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.362148 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.123558 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0132116 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0770265 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0144528 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0855112 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0145012 # DEPENDENCYPART_SIBL
(13,5),(13,20),-0.0234613 # DEPENDENCYPART_SIBL
(13,5),(13,21),-0.181541 # DEPENDENCYPART_SIBL
(13,5),(13,24),-0.109604 # DEPENDENCYPART_SIBL
(13,5),(13,25),-0.0198525 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.337073 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.189364 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.14393 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.215307 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.160653 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.198064 # DEPENDENCYPART_SIBL
(13,6),(13,17),0.0920235 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.196317 # DEPENDENCYPART_SIBL
(13,6),(13,20),0.0966081 # DEPENDENCYPART_SIBL
(13,6),(13,21),0.0425435 # DEPENDENCYPART_SIBL
(13,6),(13,24),0.0739704 # DEPENDENCYPART_SIBL
(13,6),(13,25),0.194706 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.095386 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0798505 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.108366 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0199053 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.075416 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0227754 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.073957 # DEPENDENCYPART_SIBL
(13,8),(13,20),0.0239066 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0167157 # DEPENDENCYPART_SIBL
(13,8),(13,24),0.000908675 # DEPENDENCYPART_SIBL
(13,8),(13,25),-0.0060279 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.159126 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.140588 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0832808 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.00677331 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.101385 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.00531429 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.190568 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.0534312 # DEPENDENCYPART_SIBL
(13,10),(13,24),-0.0460923 # DEPENDENCYPART_SIBL
(13,10),(13,25),-0.0146634 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0394338 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0912462 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0421562 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.176084 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.040494 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.0358119 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.100801 # DEPENDENCYPART_SIBL
(13,11),(13,24),-0.0679015 # DEPENDENCYPART_SIBL
(13,11),(13,25),-0.0155436 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.123512 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0136583 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.113902 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0123435 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.00609249 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.1873 # DEPENDENCYPART_SIBL
(13,12),(13,24),-0.114528 # DEPENDENCYPART_SIBL
(13,12),(13,25),-0.0314618 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0665203 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0344968 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.0644399 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.168148 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.0844895 # DEPENDENCYPART_SIBL
(13,14),(13,24),0.073037 # DEPENDENCYPART_SIBL
(13,14),(13,25),0.0774248 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0484809 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0560224 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.126428 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.00279936 # DEPENDENCYPART_SIBL
(13,16),(13,24),0.0237166 # DEPENDENCYPART_SIBL
(13,16),(13,25),0.00278904 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0198777 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.0519762 # DEPENDENCYPART_SIBL
(13,17),(13,21),0.00410181 # DEPENDENCYPART_SIBL
(13,17),(13,24),-0.0151861 # DEPENDENCYPART_SIBL
(13,17),(13,25),-0.040022 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.110388 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0011574 # DEPENDENCYPART_SIBL
(13,19),(13,24),0.0197598 # DEPENDENCYPART_SIBL
(13,19),(13,25),0.0014768 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.00812345 # DEPENDENCYPART_SIBL
(13,20),(13,24),0.0168444 # DEPENDENCYPART_SIBL
(13,20),(13,25),0.149901 # DEPENDENCYPART_SIBL
(13,21),(13,24),-0.0767205 # DEPENDENCYPART_SIBL
(13,21),(13,25),0.0381764 # DEPENDENCYPART_SIBL
(13,24),(13,25),0.0551716 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0221016 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0305193 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0673015 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.0331049 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.0447304 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.0238158 # DEPENDENCYPART_SIBL
(14,13),(14,22),0.00393786 # DEPENDENCYPART_SIBL
(14,13),(14,24),-0.0141101 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.125838 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0103476 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.125849 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.0481727 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.108289 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.100356 # DEPENDENCYPART_SIBL
(14,15),(14,24),-0.106825 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.00118216 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.829087 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.090012 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.416518 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.26287 # DEPENDENCYPART_SIBL
(14,16),(14,24),-0.408574 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0713557 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.0557478 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.0478371 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.071139 # DEPENDENCYPART_SIBL
