# _root_ El senador per CiU i alcalde d' Amposta , Joan_Maria_Roig , s' havia interessat per aquesta qüestió en una pregunta oral a la cambra alta .
#goldHeads=2,14,2,3,2,2,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
#predictedHeads=2,14,2,3,4,4,6,7,10,8,10,14,14,0,14,17,15,14,20,18,20,21,24,22,24,14,
(4,9),(4,11),0.141326 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0164011 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0148512 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0363983 # DEPENDENCYPART_SIBL
(4,9),(4,26),0.10358 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.106475 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0390651 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.031347 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0231516 # DEPENDENCYPART_SIBL
(4,10),(4,26),0.0534239 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0164011 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0148512 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0363983 # DEPENDENCYPART_SIBL
(4,11),(4,26),0.10358 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0755957 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.042551 # DEPENDENCYPART_SIBL
(4,13),(4,26),0.0308899 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0420128 # DEPENDENCYPART_SIBL
(4,14),(4,26),0.051327 # DEPENDENCYPART_SIBL
(4,18),(4,26),0.189002 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0409412 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0484144 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0518444 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.348436 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.464427 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00222603 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.466599 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00222603 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0320784 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0529662 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.0145131 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0830988 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.401309 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00782206 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0560101 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0166395 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0570002 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0166395 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0491464 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0100879 # DEPENDENCYPART_SIBL
(6,2),(6,26),-0.0612002 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.499934 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0431064 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.105791 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0210922 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.106375 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0210922 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.047388 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.00276865 # DEPENDENCYPART_SIBL
(6,3),(6,26),0.0348934 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00677579 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0053065 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00126928 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00438092 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00126928 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0218873 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0158703 # DEPENDENCYPART_SIBL
(6,5),(6,26),0.106801 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.136031 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.159543 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.140341 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.159543 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0737771 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0873262 # DEPENDENCYPART_SIBL
(6,7),(6,26),0.15113 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0323202 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0185603 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0323202 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0181581 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0104408 # DEPENDENCYPART_SIBL
(6,8),(6,26),-0.0484872 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.153246 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.135855 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.196456 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.165203 # DEPENDENCYPART_SIBL
(6,9),(6,26),-0.152758 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.021511 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0368268 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0291094 # DEPENDENCYPART_SIBL
(6,10),(6,26),-0.00784929 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.196456 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.165203 # DEPENDENCYPART_SIBL
(6,11),(6,26),-0.152758 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0665483 # DEPENDENCYPART_SIBL
(6,13),(6,26),0.00626481 # DEPENDENCYPART_SIBL
(6,14),(6,26),0.0267027 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.199656 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.09044 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.108235 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0913315 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.108235 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0147051 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0522659 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0138523 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0522659 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0787128 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.846145 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0787128 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0418063 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.260662 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0927381 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0456261 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.00588617 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.015874 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.00588617 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0474447 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.00817166 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.00408939 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0241333 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.00408939 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0609449 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0149099 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.372621 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0437872 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0726366 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0413843 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0745367 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0265387 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0188205 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0726366 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0413843 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0735588 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.083382 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.196198 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0463038 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.18895 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0622716 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0130151 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0509191 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0118613 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0574033 # DEPENDENCYPART_SIBL
(10,2),(10,22),-0.0382262 # DEPENDENCYPART_SIBL
(10,2),(10,26),-0.0456018 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0369829 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0689871 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0258016 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0525951 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0199994 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.038631 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.00598758 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0153415 # DEPENDENCYPART_SIBL
(10,3),(10,22),0.0704415 # DEPENDENCYPART_SIBL
(10,3),(10,26),0.0614338 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0456263 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.187806 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0604498 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.00642147 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0474429 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.00816992 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0675364 # DEPENDENCYPART_SIBL
(10,6),(10,22),-0.0411011 # DEPENDENCYPART_SIBL
(10,6),(10,26),-0.0342046 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0321982 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.124016 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.00839465 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0607745 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0147395 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0373607 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.0246324 # DEPENDENCYPART_SIBL
(10,7),(10,26),0.0709451 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0622071 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0136221 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0500235 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0109658 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0573094 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0382181 # DEPENDENCYPART_SIBL
(10,8),(10,26),-0.0451298 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.380446 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0679991 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.118231 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.010213 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.0267204 # DEPENDENCYPART_SIBL
(10,9),(10,26),-0.285076 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0759557 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0447034 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0237087 # DEPENDENCYPART_SIBL
(10,11),(10,22),0.0410962 # DEPENDENCYPART_SIBL
(10,11),(10,26),0.00657907 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0735464 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.0439806 # DEPENDENCYPART_SIBL
(10,13),(10,22),0.0694876 # DEPENDENCYPART_SIBL
(10,13),(10,26),0.0188971 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.0434423 # DEPENDENCYPART_SIBL
(10,14),(10,22),0.0692435 # DEPENDENCYPART_SIBL
(10,14),(10,26),0.0393343 # DEPENDENCYPART_SIBL
(10,18),(10,22),0.223087 # DEPENDENCYPART_SIBL
(10,18),(10,26),0.171375 # DEPENDENCYPART_SIBL
(10,22),(10,26),0.217443 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.0553988 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.756027 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.0157392 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.511375 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.744736 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.511375 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.154829 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.013653 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0420245 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0128502 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.00051969 # DEPENDENCYPART_SIBL
(13,2),(13,22),0.019298 # DEPENDENCYPART_SIBL
(13,2),(13,26),0.012076 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0518211 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.0751853 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.263859 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0254058 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.263859 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.400105 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.0583174 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.070126 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.0852174 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.0215164 # DEPENDENCYPART_SIBL
(13,3),(13,22),0.0490684 # DEPENDENCYPART_SIBL
(13,3),(13,26),0.0512708 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.00538121 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.523927 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.751556 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.523927 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.137513 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0115431 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.00561258 # DEPENDENCYPART_SIBL
(13,6),(13,17),0.00212463 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0302284 # DEPENDENCYPART_SIBL
(13,6),(13,22),0.00410558 # DEPENDENCYPART_SIBL
(13,6),(13,26),0.0249982 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.376206 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.00155592 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.376206 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.321858 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0602164 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.00403729 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.0493947 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.0457241 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.00509136 # DEPENDENCYPART_SIBL
(13,7),(13,26),0.0390302 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0841454 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.334567 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0396234 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0749802 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0811888 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.113729 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0520843 # DEPENDENCYPART_SIBL
(13,9),(13,22),0.0896131 # DEPENDENCYPART_SIBL
(13,9),(13,26),-0.376432 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.511627 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.154541 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0136107 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0409313 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.013428 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.00119457 # DEPENDENCYPART_SIBL
(13,10),(13,22),0.0180241 # DEPENDENCYPART_SIBL
(13,10),(13,26),0.0112727 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0396234 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0749802 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0811888 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.113729 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.0520843 # DEPENDENCYPART_SIBL
(13,11),(13,22),0.0896131 # DEPENDENCYPART_SIBL
(13,11),(13,26),-0.376432 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.194414 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.262231 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.00954906 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.223122 # DEPENDENCYPART_SIBL
(13,12),(13,22),0.288664 # DEPENDENCYPART_SIBL
(13,12),(13,26),0.264572 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0716766 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0414415 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.0413221 # DEPENDENCYPART_SIBL
(13,14),(13,22),0.0245891 # DEPENDENCYPART_SIBL
(13,14),(13,26),0.0351241 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.00546565 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.179588 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.199809 # DEPENDENCYPART_SIBL
(13,15),(13,26),0.0162729 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.138819 # DEPENDENCYPART_SIBL
(13,17),(13,22),0.112957 # DEPENDENCYPART_SIBL
(13,17),(13,26),0.0843184 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.0806627 # DEPENDENCYPART_SIBL
(13,18),(13,26),-0.00408969 # DEPENDENCYPART_SIBL
(13,22),(13,26),0.025902 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.00757814 # DEPENDENCYPART_SIBL
(14,1),(14,3),0.0464967 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.0212523 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.0705772 # DEPENDENCYPART_SIBL
(14,1),(14,6),-0.00465581 # DEPENDENCYPART_SIBL
(14,1),(14,7),0.0750288 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.00758941 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.0834273 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.00787133 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0834273 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.430001 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.102007 # DEPENDENCYPART_SIBL
(14,1),(14,15),0.0128206 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.0203969 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.0366069 # DEPENDENCYPART_SIBL
(14,1),(14,20),0.00797856 # DEPENDENCYPART_SIBL
(14,1),(14,21),0.0263032 # DEPENDENCYPART_SIBL
(14,1),(14,22),0.0508631 # DEPENDENCYPART_SIBL
(14,1),(14,24),-0.00612952 # DEPENDENCYPART_SIBL
(14,1),(14,25),0.0277721 # DEPENDENCYPART_SIBL
(14,1),(14,26),-0.105008 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.0700983 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.706601 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.0317009 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.742385 # DEPENDENCYPART_SIBL
(14,2),(14,7),0.000517 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.730812 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.488516 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.731094 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.488516 # DEPENDENCYPART_SIBL
(14,2),(14,12),0.0861639 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.1232 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.030409 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.0324755 # DEPENDENCYPART_SIBL
(14,2),(14,18),0.0174321 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.00707406 # DEPENDENCYPART_SIBL
(14,2),(14,21),-0.00947929 # DEPENDENCYPART_SIBL
(14,2),(14,22),0.0212299 # DEPENDENCYPART_SIBL
(14,2),(14,24),-0.0200324 # DEPENDENCYPART_SIBL
(14,2),(14,25),-0.00723345 # DEPENDENCYPART_SIBL
(14,2),(14,26),0.0241028 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.0510825 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.296113 # DEPENDENCYPART_SIBL
(14,3),(14,6),0.0404106 # DEPENDENCYPART_SIBL
(14,3),(14,7),0.0372986 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.015102 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.264918 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.0139953 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.264918 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.288647 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.0529345 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.018087 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.004053 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0694401 # DEPENDENCYPART_SIBL
(14,3),(14,20),0.0342618 # DEPENDENCYPART_SIBL
(14,3),(14,21),-0.00470129 # DEPENDENCYPART_SIBL
(14,3),(14,22),-0.0174221 # DEPENDENCYPART_SIBL
(14,3),(14,24),0.0243038 # DEPENDENCYPART_SIBL
(14,3),(14,25),-0.00705158 # DEPENDENCYPART_SIBL
(14,3),(14,26),0.00695511 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.0128532 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.722208 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.0151868 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.710635 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.469358 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.710917 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.469358 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.135852 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.159029 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.113446 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.025838 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0868985 # DEPENDENCYPART_SIBL
(14,4),(14,20),0.0512395 # DEPENDENCYPART_SIBL
(14,4),(14,21),0.0422421 # DEPENDENCYPART_SIBL
(14,4),(14,22),0.090343 # DEPENDENCYPART_SIBL
(14,4),(14,24),0.0382777 # DEPENDENCYPART_SIBL
(14,4),(14,25),0.044488 # DEPENDENCYPART_SIBL
(14,4),(14,26),0.105381 # DEPENDENCYPART_SIBL
(14,5),(14,6),0.00574377 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.0269112 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.00950728 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.319883 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.00922536 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.319883 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.240008 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0231572 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0792994 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.183332 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.000375329 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.141961 # DEPENDENCYPART_SIBL
(14,5),(14,21),-0.074105 # DEPENDENCYPART_SIBL
(14,5),(14,22),-0.0983525 # DEPENDENCYPART_SIBL
(14,5),(14,24),-0.163934 # DEPENDENCYPART_SIBL
(14,5),(14,25),-0.0761118 # DEPENDENCYPART_SIBL
(14,5),(14,26),0.00431798 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.00984099 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.737633 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.501068 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.737915 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.501068 # DEPENDENCYPART_SIBL
(14,6),(14,12),0.0688479 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.118144 # DEPENDENCYPART_SIBL
(14,6),(14,15),-0.00554762 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.0170452 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.0118213 # DEPENDENCYPART_SIBL
(14,6),(14,20),0.00847047 # DEPENDENCYPART_SIBL
(14,6),(14,21),-0.0288593 # DEPENDENCYPART_SIBL
(14,6),(14,22),0.00649277 # DEPENDENCYPART_SIBL
(14,6),(14,24),-0.00448787 # DEPENDENCYPART_SIBL
(14,6),(14,25),-0.0266135 # DEPENDENCYPART_SIBL
(14,6),(14,26),0.0379325 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.0128408 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.378003 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0136959 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.378003 # DEPENDENCYPART_SIBL
(14,7),(14,12),0.20909 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.0291269 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0702114 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.0197265 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.0796835 # DEPENDENCYPART_SIBL
(14,7),(14,20),0.00577075 # DEPENDENCYPART_SIBL
(14,7),(14,21),-0.0391122 # DEPENDENCYPART_SIBL
(14,7),(14,22),-0.0576175 # DEPENDENCYPART_SIBL
(14,7),(14,24),-0.00412014 # DEPENDENCYPART_SIBL
(14,7),(14,25),-0.0414571 # DEPENDENCYPART_SIBL
(14,7),(14,26),0.0113892 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.488472 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.731058 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.488472 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.0861987 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.123276 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0320578 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.0309899 # DEPENDENCYPART_SIBL
(14,8),(14,18),0.0192558 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.00558841 # DEPENDENCYPART_SIBL
(14,8),(14,21),-0.00796378 # DEPENDENCYPART_SIBL
(14,8),(14,22),0.0228821 # DEPENDENCYPART_SIBL
