# _root_ El president , que ha fet el_seu discurs en castellà i català , ha recordat un discurs que va fer a Cadaqués l' any_1980 i on exaltava la figura de Salvador_Dalí .
#goldHeads=2,15,6,6,6,2,8,6,6,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,20,27,20,29,27,29,30,15,
#predictedHeads=2,15,6,6,6,2,8,6,8,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,20,27,20,29,27,29,30,15,
(6,3),(6,20),0.00790028 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0309526 # DEPENDENCYPART_SIBL
(6,3),(6,24),0.0462301 # DEPENDENCYPART_SIBL
(6,3),(6,25),-0.0611588 # DEPENDENCYPART_SIBL
(6,3),(6,27),-0.000396839 # DEPENDENCYPART_SIBL
(6,3),(6,29),-0.00138852 # DEPENDENCYPART_SIBL
(6,3),(6,32),-0.460074 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.513043 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0532409 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.150464 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0200317 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0623235 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0756277 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0376686 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.125399 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0578912 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0532409 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.152056 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0368705 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0542902 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.15868 # DEPENDENCYPART_SIBL
(6,4),(6,25),-0.0623235 # DEPENDENCYPART_SIBL
(6,4),(6,27),-0.0349565 # DEPENDENCYPART_SIBL
(6,4),(6,29),-0.0152536 # DEPENDENCYPART_SIBL
(6,4),(6,32),-0.427318 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.079634 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0163094 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0605794 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00080834 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.108144 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.10947 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0726305 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0315502 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.079634 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.144801 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.00335199 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0553732 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.00264171 # DEPENDENCYPART_SIBL
(6,5),(6,25),-0.00080834 # DEPENDENCYPART_SIBL
(6,5),(6,27),-0.0310662 # DEPENDENCYPART_SIBL
(6,5),(6,29),0.0529527 # DEPENDENCYPART_SIBL
(6,5),(6,32),0.287504 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0836 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.27375 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0187668 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.271763 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0108555 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.087434 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0514473 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.242024 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.148881 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0433693 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.00510568 # DEPENDENCYPART_SIBL
(6,8),(6,24),-0.0251918 # DEPENDENCYPART_SIBL
(6,8),(6,25),-0.0187668 # DEPENDENCYPART_SIBL
(6,8),(6,27),-0.0690488 # DEPENDENCYPART_SIBL
(6,8),(6,29),-0.269249 # DEPENDENCYPART_SIBL
(6,8),(6,32),0.00241873 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0270203 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0281426 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0408708 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.035811 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.114086 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0390605 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0615427 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.125369 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.0696015 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.0433198 # DEPENDENCYPART_SIBL
(6,9),(6,24),0.00985052 # DEPENDENCYPART_SIBL
(6,9),(6,25),0.0281426 # DEPENDENCYPART_SIBL
(6,9),(6,27),-0.0546226 # DEPENDENCYPART_SIBL
(6,9),(6,29),0.0302988 # DEPENDENCYPART_SIBL
(6,9),(6,32),0.0488761 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0174515 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.26271 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.00960761 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0836886 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0477019 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.232969 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.145136 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0385017 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.00282346 # DEPENDENCYPART_SIBL
(6,10),(6,24),-0.0199393 # DEPENDENCYPART_SIBL
(6,10),(6,25),-0.0174515 # DEPENDENCYPART_SIBL
(6,10),(6,27),-0.0653034 # DEPENDENCYPART_SIBL
(6,10),(6,29),-0.260196 # DEPENDENCYPART_SIBL
(6,10),(6,32),0.0089957 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.156879 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0944002 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.368305 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.606639 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.205983 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.39309 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.472091 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.106392 # DEPENDENCYPART_SIBL
(6,11),(6,24),0.0651469 # DEPENDENCYPART_SIBL
(6,11),(6,25),-0.483088 # DEPENDENCYPART_SIBL
(6,11),(6,27),0.554565 # DEPENDENCYPART_SIBL
(6,11),(6,29),0.157371 # DEPENDENCYPART_SIBL
(6,11),(6,32),0.000119013 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0639249 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.100663 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0646764 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.241632 # DEPENDENCYPART_SIBL
(6,12),(6,19),-0.162117 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.0554768 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0261723 # DEPENDENCYPART_SIBL
(6,12),(6,24),-0.0365058 # DEPENDENCYPART_SIBL
(6,12),(6,25),-0.0150067 # DEPENDENCYPART_SIBL
(6,12),(6,27),-0.0822779 # DEPENDENCYPART_SIBL
(6,12),(6,29),-0.268858 # DEPENDENCYPART_SIBL
(6,12),(6,32),-0.0495513 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0415866 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0765349 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.000687026 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.062891 # DEPENDENCYPART_SIBL
(6,13),(6,20),0.0797964 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.162198 # DEPENDENCYPART_SIBL
(6,13),(6,24),-0.0404641 # DEPENDENCYPART_SIBL
(6,13),(6,25),0.209948 # DEPENDENCYPART_SIBL
(6,13),(6,27),0.0196824 # DEPENDENCYPART_SIBL
(6,13),(6,29),-0.0491269 # DEPENDENCYPART_SIBL
(6,13),(6,32),-0.0332055 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0485353 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.0359672 # DEPENDENCYPART_SIBL
(6,14),(6,19),-0.147653 # DEPENDENCYPART_SIBL
(6,14),(6,20),-0.0838493 # DEPENDENCYPART_SIBL
(6,14),(6,21),-0.00857345 # DEPENDENCYPART_SIBL
(6,14),(6,24),0.0046769 # DEPENDENCYPART_SIBL
(6,14),(6,25),-0.00781372 # DEPENDENCYPART_SIBL
(6,14),(6,27),-0.0875706 # DEPENDENCYPART_SIBL
(6,14),(6,29),-0.00554382 # DEPENDENCYPART_SIBL
(6,14),(6,32),-0.0138063 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.0687842 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.13264 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.0662769 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.00923281 # DEPENDENCYPART_SIBL
(6,15),(6,24),0.0166962 # DEPENDENCYPART_SIBL
(6,15),(6,25),0.0107805 # DEPENDENCYPART_SIBL
(6,15),(6,27),-0.0725575 # DEPENDENCYPART_SIBL
(6,15),(6,29),0.0269184 # DEPENDENCYPART_SIBL
(6,15),(6,32),0.0254181 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.148881 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.0433693 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.00510568 # DEPENDENCYPART_SIBL
(6,17),(6,24),-0.0251918 # DEPENDENCYPART_SIBL
(6,17),(6,25),-0.0187668 # DEPENDENCYPART_SIBL
(6,17),(6,27),-0.0690488 # DEPENDENCYPART_SIBL
(6,17),(6,29),-0.269249 # DEPENDENCYPART_SIBL
(6,17),(6,32),0.00241873 # DEPENDENCYPART_SIBL
(6,19),(6,20),-0.0980274 # DEPENDENCYPART_SIBL
(6,19),(6,21),-0.0350736 # DEPENDENCYPART_SIBL
(6,19),(6,24),-0.00749521 # DEPENDENCYPART_SIBL
(6,19),(6,25),-0.020141 # DEPENDENCYPART_SIBL
(6,19),(6,27),-0.101955 # DEPENDENCYPART_SIBL
(6,19),(6,29),-0.00648723 # DEPENDENCYPART_SIBL
(6,19),(6,32),-0.0615024 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.0164365 # DEPENDENCYPART_SIBL
(6,20),(6,24),0.00967047 # DEPENDENCYPART_SIBL
(6,20),(6,25),-0.0046035 # DEPENDENCYPART_SIBL
(6,20),(6,27),-0.060081 # DEPENDENCYPART_SIBL
(6,20),(6,29),-0.0113575 # DEPENDENCYPART_SIBL
(6,20),(6,32),0.0189951 # DEPENDENCYPART_SIBL
(6,21),(6,24),0.0454427 # DEPENDENCYPART_SIBL
(6,21),(6,25),0.0284356 # DEPENDENCYPART_SIBL
(6,21),(6,27),-0.0331772 # DEPENDENCYPART_SIBL
(6,21),(6,29),0.00844063 # DEPENDENCYPART_SIBL
(6,21),(6,32),0.0713496 # DEPENDENCYPART_SIBL
(6,24),(6,25),-0.00637245 # DEPENDENCYPART_SIBL
(6,24),(6,27),-0.0662503 # DEPENDENCYPART_SIBL
(6,24),(6,29),-0.0342551 # DEPENDENCYPART_SIBL
(6,24),(6,32),0.00816289 # DEPENDENCYPART_SIBL
(6,25),(6,27),0.554565 # DEPENDENCYPART_SIBL
(6,25),(6,29),0.157371 # DEPENDENCYPART_SIBL
(6,25),(6,32),0.000119013 # DEPENDENCYPART_SIBL
(6,27),(6,29),0.0262071 # DEPENDENCYPART_SIBL
(6,27),(6,32),0.00762449 # DEPENDENCYPART_SIBL
(6,29),(6,32),0.0196722 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.05657 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.179275 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0235027 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0309093 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.017014 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0415656 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0220597 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0283678 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.000879861 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0115561 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.0132248 # DEPENDENCYPART_SIBL
(8,2),(8,24),-0.00387938 # DEPENDENCYPART_SIBL
(8,2),(8,29),-0.00492082 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.346739 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.201454 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0327963 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0692981 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0322201 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0745665 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.314431 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.105029 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0686065 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.14064 # DEPENDENCYPART_SIBL
(8,3),(8,24),0.0401526 # DEPENDENCYPART_SIBL
(8,3),(8,29),-0.0397079 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.1899 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0769218 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0418462 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0206564 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0281041 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0821117 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.101247 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0447311 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0786561 # DEPENDENCYPART_SIBL
(8,6),(8,24),-0.0210676 # DEPENDENCYPART_SIBL
(8,6),(8,29),-0.0221049 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0715234 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0489358 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.116882 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0651398 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.100922 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0551624 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0427553 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.00704315 # DEPENDENCYPART_SIBL
(8,7),(8,24),0.036206 # DEPENDENCYPART_SIBL
(8,7),(8,29),0.0622568 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0351692 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0517053 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0641516 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0219471 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0147646 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0503835 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0399988 # DEPENDENCYPART_SIBL
(8,9),(8,24),0.0970739 # DEPENDENCYPART_SIBL
(8,9),(8,29),0.0570513 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0432033 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0109826 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.000631304 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.000955089 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.00323145 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0258632 # DEPENDENCYPART_SIBL
(8,10),(8,24),0.00927498 # DEPENDENCYPART_SIBL
(8,10),(8,29),0.0190418 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.606277 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0673308 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.110083 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.605955 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.00131606 # DEPENDENCYPART_SIBL
(8,11),(8,24),0.152256 # DEPENDENCYPART_SIBL
(8,11),(8,29),0.640223 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0409612 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0019161 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.024408 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.028735 # DEPENDENCYPART_SIBL
(8,12),(8,24),0.00486866 # DEPENDENCYPART_SIBL
(8,12),(8,29),0.0402184 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0461087 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.33903 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.0402668 # DEPENDENCYPART_SIBL
(8,13),(8,24),0.0246095 # DEPENDENCYPART_SIBL
(8,13),(8,29),0.347665 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.019794 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.0755158 # DEPENDENCYPART_SIBL
(8,15),(8,24),0.0484334 # DEPENDENCYPART_SIBL
(8,15),(8,29),0.034644 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.0331897 # DEPENDENCYPART_SIBL
(8,17),(8,24),0.00401113 # DEPENDENCYPART_SIBL
(8,17),(8,29),0.00671301 # DEPENDENCYPART_SIBL
(8,20),(8,24),0.0707394 # DEPENDENCYPART_SIBL
(8,20),(8,29),0.0440269 # DEPENDENCYPART_SIBL
(8,24),(8,29),0.00293837 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0921327 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0474037 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0862339 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0230154 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0710967 # DEPENDENCYPART_SIBL
(9,10),(9,12),-1.00562 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.00456718 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.192925 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0504832 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0371984 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0277088 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.106059 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.088001 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0640745 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.194433 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0582222 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0709261 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.00399518 # DEPENDENCYPART_SIBL
(10,7),(10,24),0.0436505 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0125145 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0105884 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.00469335 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.060207 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.00845762 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.00213341 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.00766424 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.000378335 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.607096 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0464852 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0352646 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.111874 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.612334 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.000474753 # DEPENDENCYPART_SIBL
(10,11),(10,24),0.146922 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.00945648 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0252768 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0117954 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0501965 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0150235 # DEPENDENCYPART_SIBL
(10,12),(10,24),0.0104873 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.00205902 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0109516 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.401184 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.00510968 # DEPENDENCYPART_SIBL
(10,13),(10,24),0.0515675 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0734154 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.00578279 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.0907562 # DEPENDENCYPART_SIBL
(10,14),(10,24),0.0357727 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0400766 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0660172 # DEPENDENCYPART_SIBL
(10,15),(10,24),0.0507522 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.0186235 # DEPENDENCYPART_SIBL
(10,17),(10,24),0.0100652 # DEPENDENCYPART_SIBL
(10,20),(10,24),0.0730582 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.460689 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.045144 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.00145099 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.00715273 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.013926 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0125059 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0886174 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.00975938 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.465588 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.0556203 # DEPENDENCYPART_SIBL
(14,2),(14,6),0.0113688 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.800614 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.0506906 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.0931995 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.812092 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.509978 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.0127239 # DEPENDENCYPART_SIBL
(14,2),(14,17),0.0424253 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.0282492 # DEPENDENCYPART_SIBL
(14,2),(14,21),-0.0843569 # DEPENDENCYPART_SIBL
(14,2),(14,25),-0.0281207 # DEPENDENCYPART_SIBL
(14,2),(14,27),-0.00883091 # DEPENDENCYPART_SIBL
(14,2),(14,32),0.0245186 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.0403101 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.137323 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.00735913 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.0537444 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.0961924 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.0398838 # DEPENDENCYPART_SIBL
(14,6),(14,17),0.160988 # DEPENDENCYPART_SIBL
(14,6),(14,20),0.0414773 # DEPENDENCYPART_SIBL
(14,6),(14,21),0.0706449 # DEPENDENCYPART_SIBL
(14,6),(14,25),0.103165 # DEPENDENCYPART_SIBL
(14,6),(14,27),0.0500814 # DEPENDENCYPART_SIBL
(14,6),(14,32),0.195242 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.0444132 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.0770446 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.773271 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.47739 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0179585 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.0449643 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.0294616 # DEPENDENCYPART_SIBL
(14,8),(14,21),-0.00371799 # DEPENDENCYPART_SIBL
(14,8),(14,25),0.0202923 # DEPENDENCYPART_SIBL
(14,8),(14,27),-0.0118832 # DEPENDENCYPART_SIBL
(14,8),(14,32),-0.00755187 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0183048 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0257686 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.315118 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0183504 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.122294 # DEPENDENCYPART_SIBL
(14,9),(14,20),0.0275817 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.0205258 # DEPENDENCYPART_SIBL
(14,9),(14,25),0.0559243 # DEPENDENCYPART_SIBL
(14,9),(14,27),0.0277131 # DEPENDENCYPART_SIBL
(14,9),(14,32),0.0881967 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.03351 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.218871 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0489815 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.0190601 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.00684091 # DEPENDENCYPART_SIBL
(14,11),(14,21),-0.0536979 # DEPENDENCYPART_SIBL
(14,11),(14,25),-0.0215425 # DEPENDENCYPART_SIBL
(14,11),(14,27),-0.0263532 # DEPENDENCYPART_SIBL
(14,11),(14,32),0.0736107 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.482391 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0404578 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0492346 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0519609 # DEPENDENCYPART_SIBL
(14,12),(14,21),0.00107285 # DEPENDENCYPART_SIBL
(14,12),(14,25),0.0237998 # DEPENDENCYPART_SIBL
(14,12),(14,27),-0.0343825 # DEPENDENCYPART_SIBL
(14,12),(14,32),-0.0243239 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0587875 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0249643 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.0498591 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.0229388 # DEPENDENCYPART_SIBL
(14,13),(14,25),-0.0250793 # DEPENDENCYPART_SIBL
(14,13),(14,27),-0.0405521 # DEPENDENCYPART_SIBL
(14,13),(14,32),-0.466158 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.029146 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.0363676 # DEPENDENCYPART_SIBL
(14,15),(14,21),0.00926775 # DEPENDENCYPART_SIBL
(14,15),(14,25),-0.0426377 # DEPENDENCYPART_SIBL
(14,15),(14,27),-0.0417286 # DEPENDENCYPART_SIBL
(14,15),(14,32),0.0326654 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.0509373 # DEPENDENCYPART_SIBL
(14,17),(14,21),0.0808359 # DEPENDENCYPART_SIBL
(14,17),(14,25),0.000395083 # DEPENDENCYPART_SIBL
(14,17),(14,27),0.0261596 # DEPENDENCYPART_SIBL
