# _root_ La manca d' aigua potable i d' electricitat que han provocat aquestes inundacions , accentuen la possibilitat d' aparició d' epidèmies , sobretot de còlera i de malària .
#goldHeads=2,15,2,3,4,3,3,7,11,11,2,13,11,2,0,17,15,17,18,19,20,24,24,21,24,24,24,27,15,
#predictedHeads=2,15,2,3,4,3,3,7,11,11,2,13,11,11,0,17,15,17,18,19,20,24,24,19,24,24,24,27,15,
(5,10),(5,14),0.0749791 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.101632 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0825956 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0318669 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.00565109 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.16881 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.247411 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.135554 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.125909 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0373079 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0537363 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.182115 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.058447 # DEPENDENCYPART_SIBL
(7,1),(7,27),0.103266 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.423174 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.112021 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0231551 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0573831 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0607598 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0738576 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0616053 # DEPENDENCYPART_SIBL
(7,5),(7,27),0.081882 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0913319 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.150122 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0306947 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0239262 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.108235 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0283172 # DEPENDENCYPART_SIBL
(7,6),(7,27),0.0261683 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.866922 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.451487 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.451239 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.080967 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.443183 # DEPENDENCYPART_SIBL
(7,8),(7,27),0.0726849 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.481726 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.479951 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.246843 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.479498 # DEPENDENCYPART_SIBL
(7,9),(7,27),-0.316953 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.350926 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0510241 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.35392 # DEPENDENCYPART_SIBL
(7,10),(7,27),0.0103967 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.031354 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.347895 # DEPENDENCYPART_SIBL
(7,11),(7,27),0.0297218 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.000236142 # DEPENDENCYPART_SIBL
(7,14),(7,27),0.592981 # DEPENDENCYPART_SIBL
(7,15),(7,27),0.0248263 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0354137 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.401435 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0459087 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0959682 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0537715 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0183913 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.00385532 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.000734737 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.013237 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0178317 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.00698822 # DEPENDENCYPART_SIBL
(8,2),(8,29),-0.0522999 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.237458 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.118814 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0924842 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0433776 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0111988 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.00913595 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.00436364 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.00453573 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.00417215 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0445176 # DEPENDENCYPART_SIBL
(8,5),(8,29),0.0170269 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0175818 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.107152 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0348185 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.00241304 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0850949 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.000390257 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.00167468 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0961181 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0206618 # DEPENDENCYPART_SIBL
(8,6),(8,29),0.100879 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0609004 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.052299 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0230136 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0218356 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.00613574 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.014993 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.00524325 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0173289 # DEPENDENCYPART_SIBL
(8,7),(8,29),0.0636812 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.134715 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.123763 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.203334 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0235747 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.123476 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.200303 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.14833 # DEPENDENCYPART_SIBL
(8,9),(8,29),-0.0872961 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0707685 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0139997 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.028376 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0761963 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.0166912 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.000651288 # DEPENDENCYPART_SIBL
(8,10),(8,29),-0.00478923 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0308267 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0593815 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0572279 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.0335181 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.0392483 # DEPENDENCYPART_SIBL
(8,11),(8,29),0.0342306 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.0318844 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.00742407 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0259286 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.0264173 # DEPENDENCYPART_SIBL
(8,13),(8,29),-0.00470562 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0437614 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.389608 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.0351484 # DEPENDENCYPART_SIBL
(8,14),(8,29),0.006744 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.0347942 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.0289946 # DEPENDENCYPART_SIBL
(8,15),(8,29),0.0432709 # DEPENDENCYPART_SIBL
(8,17),(8,18),0.0242011 # DEPENDENCYPART_SIBL
(8,17),(8,29),0.00766298 # DEPENDENCYPART_SIBL
(8,18),(8,29),0.0271969 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0340533 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.00312405 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.721009 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.00271904 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0466983 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0374663 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.000453498 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0427217 # DEPENDENCYPART_SIBL
(10,2),(10,29),0.00436603 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0208803 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.144777 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0493653 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.178629 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0392807 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0614571 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.168697 # DEPENDENCYPART_SIBL
(10,6),(10,29),-0.00881809 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.513301 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.00434124 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0150258 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0192759 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.00679542 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0154541 # DEPENDENCYPART_SIBL
(10,7),(10,29),-0.0015152 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0109545 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0300477 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0618607 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0105658 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.00213518 # DEPENDENCYPART_SIBL
(10,9),(10,29),-0.495634 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0181168 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.00974973 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0326129 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0169721 # DEPENDENCYPART_SIBL
(10,11),(10,29),-0.0160624 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0120822 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0249766 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.240793 # DEPENDENCYPART_SIBL
(10,13),(10,29),-0.02468 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0511168 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0266276 # DEPENDENCYPART_SIBL
(10,14),(10,29),-0.0703937 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0215762 # DEPENDENCYPART_SIBL
(10,15),(10,29),-0.00102146 # DEPENDENCYPART_SIBL
(10,17),(10,29),-0.0602036 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0401761 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0180723 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.0406694 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.00354359 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.115385 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0180723 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0341458 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.351998 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0418094 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.00450547 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0294555 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0292359 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.000965074 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.050677 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.050677 # DEPENDENCYPART_SIBL
(11,1),(11,22),-0.0294555 # DEPENDENCYPART_SIBL
(11,1),(11,23),-0.0647963 # DEPENDENCYPART_SIBL
(11,1),(11,25),0.00722106 # DEPENDENCYPART_SIBL
(11,1),(11,26),-0.0262057 # DEPENDENCYPART_SIBL
(11,1),(11,29),-0.0251483 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0144208 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.74303 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.177903 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0349441 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0144208 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.733765 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.705665 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0369875 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0461514 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0181028 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.00993426 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0421747 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.024253 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.024253 # DEPENDENCYPART_SIBL
(11,2),(11,22),-0.0181028 # DEPENDENCYPART_SIBL
(11,2),(11,23),-0.018722 # DEPENDENCYPART_SIBL
(11,2),(11,25),-0.0427278 # DEPENDENCYPART_SIBL
(11,2),(11,26),0.00283297 # DEPENDENCYPART_SIBL
(11,2),(11,29),0.041869 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0241714 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0826252 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.126141 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0499892 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0226223 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.502042 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0183491 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0294414 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0252936 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0156055 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0298695 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0333347 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.0333347 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.0252936 # DEPENDENCYPART_SIBL
(11,3),(11,23),-0.0094779 # DEPENDENCYPART_SIBL
(11,3),(11,25),-0.0277279 # DEPENDENCYPART_SIBL
(11,3),(11,26),-0.0240223 # DEPENDENCYPART_SIBL
(11,3),(11,29),0.00834003 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.174904 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0319248 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.00688388 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.730766 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.704685 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0453676 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0448944 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0288816 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0188645 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0409177 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0152687 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0152687 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.0288816 # DEPENDENCYPART_SIBL
(11,4),(11,23),-0.0226223 # DEPENDENCYPART_SIBL
(11,4),(11,25),-0.0414707 # DEPENDENCYPART_SIBL
(11,4),(11,26),0.0131114 # DEPENDENCYPART_SIBL
(11,4),(11,29),0.0202005 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.112924 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.00376178 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0263667 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.250124 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.00766694 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0439228 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.00295229 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0152624 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0385676 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0804938 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0804938 # DEPENDENCYPART_SIBL
(11,5),(11,22),-0.00295229 # DEPENDENCYPART_SIBL
(11,5),(11,23),-0.0428577 # DEPENDENCYPART_SIBL
(11,5),(11,25),-0.0412072 # DEPENDENCYPART_SIBL
(11,5),(11,26),-0.0239439 # DEPENDENCYPART_SIBL
(11,5),(11,29),0.0194602 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0142809 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.00237986 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.12307 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0133713 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.161041 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.00162868 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0519567 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.151109 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.108686 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.108686 # DEPENDENCYPART_SIBL
(11,6),(11,22),-0.00162868 # DEPENDENCYPART_SIBL
(11,6),(11,23),-0.0408945 # DEPENDENCYPART_SIBL
(11,6),(11,25),-0.158325 # DEPENDENCYPART_SIBL
(11,6),(11,26),-0.0892106 # DEPENDENCYPART_SIBL
(11,6),(11,29),0.0444821 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0226223 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.502042 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0183491 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0294414 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0252936 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0156055 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0298695 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0333347 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0333347 # DEPENDENCYPART_SIBL
(11,7),(11,22),-0.0252936 # DEPENDENCYPART_SIBL
(11,7),(11,23),-0.0094779 # DEPENDENCYPART_SIBL
(11,7),(11,25),-0.0277279 # DEPENDENCYPART_SIBL
(11,7),(11,26),-0.0240223 # DEPENDENCYPART_SIBL
(11,7),(11,29),0.00834003 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.704888 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0378917 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0336309 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0129264 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.00458117 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0296542 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0170402 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0170402 # DEPENDENCYPART_SIBL
(11,8),(11,22),-0.0129264 # DEPENDENCYPART_SIBL
(11,8),(11,23),-0.0136559 # DEPENDENCYPART_SIBL
(11,8),(11,25),-0.0302072 # DEPENDENCYPART_SIBL
(11,8),(11,26),0.00787372 # DEPENDENCYPART_SIBL
(11,8),(11,29),0.0471224 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.448513 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.00748536 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0233726 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.00281047 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.0246976 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.118618 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.118618 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.0233726 # DEPENDENCYPART_SIBL
(11,9),(11,23),-0.0329392 # DEPENDENCYPART_SIBL
(11,9),(11,25),-0.00476976 # DEPENDENCYPART_SIBL
(11,9),(11,26),-0.0271399 # DEPENDENCYPART_SIBL
(11,9),(11,29),-0.441368 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.14111 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0851971 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0553197 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.132232 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0395638 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0395638 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.0851971 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.00688497 # DEPENDENCYPART_SIBL
(11,10),(11,25),0.144444 # DEPENDENCYPART_SIBL
(11,10),(11,26),0.0274478 # DEPENDENCYPART_SIBL
(11,10),(11,29),0.15113 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.00143567 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0373898 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.238607 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0603822 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0603822 # DEPENDENCYPART_SIBL
(11,13),(11,22),-0.00143567 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.0526588 # DEPENDENCYPART_SIBL
(11,13),(11,25),-0.247423 # DEPENDENCYPART_SIBL
(11,13),(11,26),-0.0237101 # DEPENDENCYPART_SIBL
(11,13),(11,29),-0.00144725 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0539186 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.00320468 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.13425 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.13425 # DEPENDENCYPART_SIBL
(11,14),(11,22),-0.0626159 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.101129 # DEPENDENCYPART_SIBL
(11,14),(11,25),-0.0115412 # DEPENDENCYPART_SIBL
(11,14),(11,26),0.222268 # DEPENDENCYPART_SIBL
(11,14),(11,29),-0.0337445 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.0241625 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0268191 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0268191 # DEPENDENCYPART_SIBL
(11,15),(11,22),0.00867333 # DEPENDENCYPART_SIBL
(11,15),(11,23),-0.0260898 # DEPENDENCYPART_SIBL
(11,15),(11,25),0.0253151 # DEPENDENCYPART_SIBL
(11,15),(11,26),-0.000433345 # DEPENDENCYPART_SIBL
(11,15),(11,29),0.013453 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.108787 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.108787 # DEPENDENCYPART_SIBL
(11,17),(11,22),-0.0242229 # DEPENDENCYPART_SIBL
(11,17),(11,23),-0.0878853 # DEPENDENCYPART_SIBL
(11,17),(11,25),-0.276023 # DEPENDENCYPART_SIBL
(11,17),(11,26),-0.047638 # DEPENDENCYPART_SIBL
(11,17),(11,29),-0.0369709 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.25064 # DEPENDENCYPART_SIBL
(11,18),(11,22),-0.0424187 # DEPENDENCYPART_SIBL
(11,18),(11,23),-0.166502 # DEPENDENCYPART_SIBL
(11,18),(11,25),-0.0217138 # DEPENDENCYPART_SIBL
(11,18),(11,26),-0.0360997 # DEPENDENCYPART_SIBL
(11,18),(11,29),0.0232329 # DEPENDENCYPART_SIBL
(11,20),(11,22),-0.0424187 # DEPENDENCYPART_SIBL
(11,20),(11,23),-0.166502 # DEPENDENCYPART_SIBL
(11,20),(11,25),-0.0217138 # DEPENDENCYPART_SIBL
(11,20),(11,26),-0.0360997 # DEPENDENCYPART_SIBL
(11,20),(11,29),0.0232329 # DEPENDENCYPART_SIBL
(11,22),(11,23),-0.101129 # DEPENDENCYPART_SIBL
(11,22),(11,25),-0.0115412 # DEPENDENCYPART_SIBL
(11,22),(11,26),0.222268 # DEPENDENCYPART_SIBL
(11,22),(11,29),-0.0337445 # DEPENDENCYPART_SIBL
(11,23),(11,25),0.00752158 # DEPENDENCYPART_SIBL
(11,23),(11,26),-0.0390673 # DEPENDENCYPART_SIBL
(11,23),(11,29),0.0202452 # DEPENDENCYPART_SIBL
(11,25),(11,26),-0.0234018 # DEPENDENCYPART_SIBL
(11,25),(11,29),-9.38802e-05 # DEPENDENCYPART_SIBL
(11,26),(11,29),0.0246798 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0354137 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.401435 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.0459087 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.177605 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.172635 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.0331951 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.000734737 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0121011 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0181093 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.0100633 # DEPENDENCYPART_SIBL
(13,2),(13,20),0.0100633 # DEPENDENCYPART_SIBL
(13,2),(13,29),-0.0522999 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.237458 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.118814 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.0416652 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.0284097 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.328696 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.00436364 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.00339983 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.00444976 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.0414425 # DEPENDENCYPART_SIBL
(13,5),(13,20),-0.0414425 # DEPENDENCYPART_SIBL
(13,5),(13,29),0.0170269 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0175818 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0912038 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0962797 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0152372 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.000390257 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.00053878 # DEPENDENCYPART_SIBL
