# _root_ En l' obra s' hi pot veure un cert paral·lelisme amb la vida de l' autor , s' hi veu reflectida la_seva sensibilitat , les_seves inquietuds i els_seus dubtes .
#goldHeads=7,3,1,7,7,7,0,10,8,7,10,13,11,13,16,14,7,20,20,7,20,23,20,23,26,23,23,29,23,7,
#predictedHeads=7,3,1,7,7,7,0,10,8,7,10,13,11,13,16,14,20,20,20,13,20,23,20,23,26,23,23,29,23,7,
(6,21),(6,29),-0.0385666 # DEPENDENCYPART_SIBL
(6,21),(6,30),-0.0127479 # DEPENDENCYPART_SIBL
(6,23),(6,26),-0.249623 # DEPENDENCYPART_SIBL
(6,23),(6,27),-0.0152685 # DEPENDENCYPART_SIBL
(6,23),(6,29),-0.237535 # DEPENDENCYPART_SIBL
(6,23),(6,30),-0.0347326 # DEPENDENCYPART_SIBL
(6,26),(6,27),0.0116444 # DEPENDENCYPART_SIBL
(6,26),(6,29),-0.22674 # DEPENDENCYPART_SIBL
(6,26),(6,30),-0.0211155 # DEPENDENCYPART_SIBL
(6,27),(6,29),0.303532 # DEPENDENCYPART_SIBL
(6,27),(6,30),0.0706373 # DEPENDENCYPART_SIBL
(6,29),(6,30),-0.0191331 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0431546 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.00486742 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.359274 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.340147 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.198484 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0443635 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0914746 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0560573 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.00740599 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0420991 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0202983 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.0382381 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.0516792 # DEPENDENCYPART_SIBL
(7,1),(7,23),0.0338079 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.0202983 # DEPENDENCYPART_SIBL
(7,1),(7,26),0.0552349 # DEPENDENCYPART_SIBL
(7,1),(7,27),0.0145371 # DEPENDENCYPART_SIBL
(7,1),(7,29),0.0499726 # DEPENDENCYPART_SIBL
(7,1),(7,30),0.0327142 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.112417 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.162354 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.23995 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0538166 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0624862 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.112416 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0635219 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.123105 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0717245 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0729544 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0871406 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.0242113 # DEPENDENCYPART_SIBL
(7,2),(7,23),-0.0635641 # DEPENDENCYPART_SIBL
(7,2),(7,24),-0.0729544 # DEPENDENCYPART_SIBL
(7,2),(7,26),-0.0585933 # DEPENDENCYPART_SIBL
(7,2),(7,27),-0.183141 # DEPENDENCYPART_SIBL
(7,2),(7,29),-0.0573353 # DEPENDENCYPART_SIBL
(7,2),(7,30),-0.0483174 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0731798 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0241393 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0711618 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0168362 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0310165 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0294362 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0105638 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0160125 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0304544 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.012547 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.046382 # DEPENDENCYPART_SIBL
(7,3),(7,23),0.0149503 # DEPENDENCYPART_SIBL
(7,3),(7,24),0.0304544 # DEPENDENCYPART_SIBL
(7,3),(7,26),0.0211561 # DEPENDENCYPART_SIBL
(7,3),(7,27),0.0158438 # DEPENDENCYPART_SIBL
(7,3),(7,29),0.0198478 # DEPENDENCYPART_SIBL
(7,3),(7,30),0.0689584 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.409126 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.751277 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.111052 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0312932 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.12591 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0751569 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.101731 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0546697 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.0560975 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.0381921 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.113179 # DEPENDENCYPART_SIBL
(7,4),(7,24),0.0546697 # DEPENDENCYPART_SIBL
(7,4),(7,26),-0.105915 # DEPENDENCYPART_SIBL
(7,4),(7,27),0.130497 # DEPENDENCYPART_SIBL
(7,4),(7,29),-0.101822 # DEPENDENCYPART_SIBL
(7,4),(7,30),0.116728 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.324906 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0243783 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.124654 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.00948767 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0392538 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0331089 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0511452 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.000568164 # DEPENDENCYPART_SIBL
(7,5),(7,21),0.00680512 # DEPENDENCYPART_SIBL
(7,5),(7,23),0.0222521 # DEPENDENCYPART_SIBL
(7,5),(7,24),0.0511452 # DEPENDENCYPART_SIBL
(7,5),(7,26),0.0295151 # DEPENDENCYPART_SIBL
(7,5),(7,27),-0.00381513 # DEPENDENCYPART_SIBL
(7,5),(7,29),0.0349987 # DEPENDENCYPART_SIBL
(7,5),(7,30),0.133646 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0890585 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0199675 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0724071 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0187383 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0931843 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0272487 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.036938 # DEPENDENCYPART_SIBL
(7,6),(7,21),0.0912583 # DEPENDENCYPART_SIBL
(7,6),(7,23),0.0833807 # DEPENDENCYPART_SIBL
(7,6),(7,24),0.0272487 # DEPENDENCYPART_SIBL
(7,6),(7,26),0.0925123 # DEPENDENCYPART_SIBL
(7,6),(7,27),-0.0655998 # DEPENDENCYPART_SIBL
(7,6),(7,29),0.0931543 # DEPENDENCYPART_SIBL
(7,6),(7,30),0.146332 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0049395 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.264946 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0699426 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.264436 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.00868994 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.0478279 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.0184748 # DEPENDENCYPART_SIBL
(7,10),(7,23),-0.260203 # DEPENDENCYPART_SIBL
(7,10),(7,24),0.00868994 # DEPENDENCYPART_SIBL
(7,10),(7,26),-0.256048 # DEPENDENCYPART_SIBL
(7,10),(7,27),-0.011135 # DEPENDENCYPART_SIBL
(7,10),(7,29),-0.24396 # DEPENDENCYPART_SIBL
(7,10),(7,30),0.0211937 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0138452 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.177633 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0143629 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.00722178 # DEPENDENCYPART_SIBL
(7,11),(7,20),-0.0593261 # DEPENDENCYPART_SIBL
(7,11),(7,21),0.0211345 # DEPENDENCYPART_SIBL
(7,11),(7,23),-0.0146097 # DEPENDENCYPART_SIBL
(7,11),(7,24),0.00722178 # DEPENDENCYPART_SIBL
(7,11),(7,26),-0.00887152 # DEPENDENCYPART_SIBL
(7,11),(7,27),0.0324772 # DEPENDENCYPART_SIBL
(7,11),(7,29),-0.00138731 # DEPENDENCYPART_SIBL
(7,11),(7,30),0.016936 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0688764 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.248253 # DEPENDENCYPART_SIBL
(7,13),(7,17),5.11886e-05 # DEPENDENCYPART_SIBL
(7,13),(7,20),-0.0555151 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.0156845 # DEPENDENCYPART_SIBL
(7,13),(7,23),-0.244019 # DEPENDENCYPART_SIBL
(7,13),(7,24),5.11886e-05 # DEPENDENCYPART_SIBL
(7,13),(7,26),-0.239864 # DEPENDENCYPART_SIBL
(7,13),(7,27),-0.0479249 # DEPENDENCYPART_SIBL
(7,13),(7,29),-0.227776 # DEPENDENCYPART_SIBL
(7,13),(7,30),0.0148025 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0983861 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0669618 # DEPENDENCYPART_SIBL
(7,14),(7,20),-0.0695339 # DEPENDENCYPART_SIBL
(7,14),(7,21),-0.121976 # DEPENDENCYPART_SIBL
(7,14),(7,23),-0.0925919 # DEPENDENCYPART_SIBL
(7,14),(7,24),-0.0669618 # DEPENDENCYPART_SIBL
(7,14),(7,26),-0.0869171 # DEPENDENCYPART_SIBL
(7,14),(7,27),-0.0135721 # DEPENDENCYPART_SIBL
(7,14),(7,29),-0.0793586 # DEPENDENCYPART_SIBL
(7,14),(7,30),-0.0109945 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0104655 # DEPENDENCYPART_SIBL
(7,16),(7,20),-0.0465394 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.0166205 # DEPENDENCYPART_SIBL
(7,16),(7,23),-0.253362 # DEPENDENCYPART_SIBL
(7,16),(7,24),-0.0104655 # DEPENDENCYPART_SIBL
(7,16),(7,26),-0.249208 # DEPENDENCYPART_SIBL
(7,16),(7,27),-0.0132637 # DEPENDENCYPART_SIBL
(7,16),(7,29),-0.23712 # DEPENDENCYPART_SIBL
(7,16),(7,30),0.017179 # DEPENDENCYPART_SIBL
(7,17),(7,20),0.0665283 # DEPENDENCYPART_SIBL
(7,17),(7,21),0.0340654 # DEPENDENCYPART_SIBL
(7,17),(7,23),-0.0103541 # DEPENDENCYPART_SIBL
(7,17),(7,24),-0.0506493 # DEPENDENCYPART_SIBL
(7,17),(7,26),-0.00873285 # DEPENDENCYPART_SIBL
(7,17),(7,27),0.261549 # DEPENDENCYPART_SIBL
(7,17),(7,29),0.00720418 # DEPENDENCYPART_SIBL
(7,17),(7,30),0.000227354 # DEPENDENCYPART_SIBL
(7,20),(7,21),0.0182691 # DEPENDENCYPART_SIBL
(7,20),(7,23),0.0262006 # DEPENDENCYPART_SIBL
(7,20),(7,24),0.0358718 # DEPENDENCYPART_SIBL
(7,20),(7,26),0.0263357 # DEPENDENCYPART_SIBL
(7,20),(7,27),0.0180743 # DEPENDENCYPART_SIBL
(7,20),(7,29),0.0520808 # DEPENDENCYPART_SIBL
(7,20),(7,30),0.039293 # DEPENDENCYPART_SIBL
(7,21),(7,23),-0.0700832 # DEPENDENCYPART_SIBL
(7,21),(7,24),-0.0387852 # DEPENDENCYPART_SIBL
(7,21),(7,26),-0.0701948 # DEPENDENCYPART_SIBL
(7,21),(7,27),-0.0421901 # DEPENDENCYPART_SIBL
(7,21),(7,29),-0.0603532 # DEPENDENCYPART_SIBL
(7,21),(7,30),0.00408778 # DEPENDENCYPART_SIBL
(7,23),(7,24),-0.00827041 # DEPENDENCYPART_SIBL
(7,23),(7,26),-0.267046 # DEPENDENCYPART_SIBL
(7,23),(7,27),-0.021015 # DEPENDENCYPART_SIBL
(7,23),(7,29),-0.254958 # DEPENDENCYPART_SIBL
(7,23),(7,30),0.00746135 # DEPENDENCYPART_SIBL
(7,24),(7,26),-0.00873285 # DEPENDENCYPART_SIBL
(7,24),(7,27),0.261549 # DEPENDENCYPART_SIBL
(7,24),(7,29),0.00720418 # DEPENDENCYPART_SIBL
(7,24),(7,30),0.000227354 # DEPENDENCYPART_SIBL
(7,26),(7,27),0.00589789 # DEPENDENCYPART_SIBL
(7,26),(7,29),-0.244163 # DEPENDENCYPART_SIBL
(7,26),(7,30),0.0210785 # DEPENDENCYPART_SIBL
(7,27),(7,29),0.207184 # DEPENDENCYPART_SIBL
(7,27),(7,30),0.0130394 # DEPENDENCYPART_SIBL
(7,29),(7,30),0.0230608 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.00162848 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0478106 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.37424 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.295201 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.519021 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0104939 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.188622 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0573988 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0349245 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0364278 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0558906 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.00782796 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0799264 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.00696792 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.031049 # DEPENDENCYPART_SIBL
(10,1),(10,20),0.00240798 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.019963 # DEPENDENCYPART_SIBL
(10,1),(10,23),0.00324943 # DEPENDENCYPART_SIBL
(10,1),(10,24),0.031049 # DEPENDENCYPART_SIBL
(10,1),(10,26),0.00667942 # DEPENDENCYPART_SIBL
(10,1),(10,27),0.0264423 # DEPENDENCYPART_SIBL
(10,1),(10,29),0.003169 # DEPENDENCYPART_SIBL
(10,1),(10,30),0.0714649 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0697575 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0280438 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.108716 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.188105 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0614362 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.122032 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.056943 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0600068 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0725516 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.110525 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.048203 # DEPENDENCYPART_SIBL
(10,5),(10,24),-0.0600068 # DEPENDENCYPART_SIBL
(10,5),(10,26),-0.0518397 # DEPENDENCYPART_SIBL
(10,5),(10,27),-0.0473219 # DEPENDENCYPART_SIBL
(10,5),(10,29),-0.0497259 # DEPENDENCYPART_SIBL
(10,5),(10,30),-0.0111714 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.327111 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.21349 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.115138 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0584186 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0431243 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.055457 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.058729 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.102682 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.124204 # DEPENDENCYPART_SIBL
(10,7),(10,23),-0.0461925 # DEPENDENCYPART_SIBL
(10,7),(10,24),-0.058729 # DEPENDENCYPART_SIBL
(10,7),(10,26),-0.0488927 # DEPENDENCYPART_SIBL
(10,7),(10,27),-0.0340922 # DEPENDENCYPART_SIBL
(10,7),(10,29),-0.0491995 # DEPENDENCYPART_SIBL
(10,7),(10,30),-0.00915954 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.644217 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.144328 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0109954 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.121934 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0357923 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00862018 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.0962108 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.115141 # DEPENDENCYPART_SIBL
(10,8),(10,23),0.00116057 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.00862018 # DEPENDENCYPART_SIBL
(10,8),(10,26),-0.00680169 # DEPENDENCYPART_SIBL
(10,8),(10,27),0.0139814 # DEPENDENCYPART_SIBL
(10,8),(10,29),-0.00604789 # DEPENDENCYPART_SIBL
(10,8),(10,30),0.14421 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0746804 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0373865 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0618776 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0636029 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.00238386 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0380951 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0166226 # DEPENDENCYPART_SIBL
(10,9),(10,23),-0.0266835 # DEPENDENCYPART_SIBL
(10,9),(10,24),-0.00238386 # DEPENDENCYPART_SIBL
(10,9),(10,26),-0.0346458 # DEPENDENCYPART_SIBL
(10,9),(10,27),-0.0350142 # DEPENDENCYPART_SIBL
(10,9),(10,29),-0.033892 # DEPENDENCYPART_SIBL
(10,9),(10,30),0.0173401 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0153719 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0695392 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0150745 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0866169 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.0339907 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.110822 # DEPENDENCYPART_SIBL
(10,11),(10,23),0.0356712 # DEPENDENCYPART_SIBL
(10,11),(10,24),0.0866169 # DEPENDENCYPART_SIBL
(10,11),(10,26),0.0293784 # DEPENDENCYPART_SIBL
(10,11),(10,27),0.038236 # DEPENDENCYPART_SIBL
(10,11),(10,29),0.0331884 # DEPENDENCYPART_SIBL
(10,11),(10,30),0.143974 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0434711 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0257163 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0118185 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.00975431 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.0140219 # DEPENDENCYPART_SIBL
(10,13),(10,23),0.00730401 # DEPENDENCYPART_SIBL
(10,13),(10,24),0.0118185 # DEPENDENCYPART_SIBL
(10,13),(10,26),0.000466351 # DEPENDENCYPART_SIBL
(10,13),(10,27),0.013801 # DEPENDENCYPART_SIBL
(10,13),(10,29),0.00740702 # DEPENDENCYPART_SIBL
(10,13),(10,30),-0.0253491 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0137421 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0172311 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.0209666 # DEPENDENCYPART_SIBL
(10,14),(10,21),0.0697198 # DEPENDENCYPART_SIBL
(10,14),(10,23),0.0189384 # DEPENDENCYPART_SIBL
(10,14),(10,24),-0.0172311 # DEPENDENCYPART_SIBL
(10,14),(10,26),0.0125187 # DEPENDENCYPART_SIBL
(10,14),(10,27),0.0189411 # DEPENDENCYPART_SIBL
(10,14),(10,29),0.0164633 # DEPENDENCYPART_SIBL
(10,14),(10,30),0.00671668 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.0372969 # DEPENDENCYPART_SIBL
(10,16),(10,20),0.0172899 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.0452866 # DEPENDENCYPART_SIBL
(10,16),(10,23),0.0462917 # DEPENDENCYPART_SIBL
(10,16),(10,24),0.0372969 # DEPENDENCYPART_SIBL
(10,16),(10,26),0.039454 # DEPENDENCYPART_SIBL
(10,16),(10,27),0.057615 # DEPENDENCYPART_SIBL
(10,16),(10,29),0.0463947 # DEPENDENCYPART_SIBL
(10,16),(10,30),0.00795035 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.0387282 # DEPENDENCYPART_SIBL
(10,17),(10,21),0.000705283 # DEPENDENCYPART_SIBL
(10,17),(10,23),0.380921 # DEPENDENCYPART_SIBL
(10,17),(10,24),0.0373288 # DEPENDENCYPART_SIBL
(10,17),(10,26),0.37225 # DEPENDENCYPART_SIBL
(10,17),(10,27),0.272076 # DEPENDENCYPART_SIBL
(10,17),(10,29),0.387144 # DEPENDENCYPART_SIBL
(10,17),(10,30),0.006744 # DEPENDENCYPART_SIBL
(10,20),(10,21),0.00746353 # DEPENDENCYPART_SIBL
(10,20),(10,23),0.0271857 # DEPENDENCYPART_SIBL
(10,20),(10,24),0.078052 # DEPENDENCYPART_SIBL
(10,20),(10,26),0.0188368 # DEPENDENCYPART_SIBL
(10,20),(10,27),0.0650363 # DEPENDENCYPART_SIBL
(10,20),(10,29),0.0311002 # DEPENDENCYPART_SIBL
(10,20),(10,30),0.0427159 # DEPENDENCYPART_SIBL
(10,21),(10,23),0.0152709 # DEPENDENCYPART_SIBL
(10,21),(10,24),-0.0160894 # DEPENDENCYPART_SIBL
(10,21),(10,26),0.00313752 # DEPENDENCYPART_SIBL
(10,21),(10,27),0.00514268 # DEPENDENCYPART_SIBL
(10,21),(10,29),0.00779092 # DEPENDENCYPART_SIBL
(10,21),(10,30),-0.0187008 # DEPENDENCYPART_SIBL
(10,23),(10,24),0.028051 # DEPENDENCYPART_SIBL
(10,23),(10,26),0.0105472 # DEPENDENCYPART_SIBL
(10,23),(10,27),0.0445344 # DEPENDENCYPART_SIBL
(10,23),(10,29),0.0174878 # DEPENDENCYPART_SIBL
(10,23),(10,30),-0.00758993 # DEPENDENCYPART_SIBL
(10,24),(10,26),0.37225 # DEPENDENCYPART_SIBL
(10,24),(10,27),0.272076 # DEPENDENCYPART_SIBL
(10,24),(10,29),0.387144 # DEPENDENCYPART_SIBL
(10,24),(10,30),0.006744 # DEPENDENCYPART_SIBL
(10,26),(10,27),0.059946 # DEPENDENCYPART_SIBL
(10,26),(10,29),0.0170809 # DEPENDENCYPART_SIBL
(10,26),(10,30),-0.00535935 # DEPENDENCYPART_SIBL
(10,27),(10,29),0.623126 # DEPENDENCYPART_SIBL
(10,27),(10,30),-0.00689045 # DEPENDENCYPART_SIBL
(10,29),(10,30),-0.02536 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.121961 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.223581 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0149851 # DEPENDENCYPART_SIBL
(11,8),(11,13),2.76563e-05 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0346799 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.00358054 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.210144 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.0418482 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.22651 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0193388 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0336925 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.00900125 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0380141 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.168876 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.00364663 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0151218 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0544039 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0713615 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0570801 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0736294 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.00176188 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.181429 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.106555 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.179473 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0876087 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.0784456 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0509636 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.900812 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0870046 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.370624 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.150444 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0257734 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0373147 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.0124814 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.397931 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.0496835 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.116363 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.118888 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0176658 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.820114 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.579455 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.593409 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0306136 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0321276 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0832581 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.000293977 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.124924 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.100667 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0171495 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0104133 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0114836 # DEPENDENCYPART_SIBL
(13,1),(13,20),-0.00211868 # DEPENDENCYPART_SIBL
(13,1),(13,21),-0.0267663 # DEPENDENCYPART_SIBL
(13,1),(13,23),-0.00693218 # DEPENDENCYPART_SIBL
