# _root_ He de reconèixer que és difícil , amb un nacionalisme espanyol tan excloent com el que està fent el PP , mantenir aquesta política de pactes perquè de_vegades fan trontollar .
#goldHeads=3,3,0,5,3,5,8,5,10,8,10,13,10,18,18,18,18,13,20,18,8,5,24,22,24,25,29,29,5,29,3,
#predictedHeads=3,3,0,5,3,5,8,5,10,8,10,13,10,18,18,18,18,13,20,18,18,18,24,22,24,25,30,30,30,22,3,
(18,4),(18,8),0.147381 # DEPENDENCYPART_SIBL
(18,4),(18,10),0.209824 # DEPENDENCYPART_SIBL
(18,4),(18,11),0.0686397 # DEPENDENCYPART_SIBL
(18,4),(18,12),0.16275 # DEPENDENCYPART_SIBL
(18,4),(18,13),0.0696032 # DEPENDENCYPART_SIBL
(18,4),(18,14),-0.563034 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.109541 # DEPENDENCYPART_SIBL
(18,4),(18,16),-0.643507 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.356605 # DEPENDENCYPART_SIBL
(18,4),(18,20),0.0325137 # DEPENDENCYPART_SIBL
(18,4),(18,21),0.0132841 # DEPENDENCYPART_SIBL
(18,4),(18,22),0.0131798 # DEPENDENCYPART_SIBL
(18,4),(18,24),0.00323239 # DEPENDENCYPART_SIBL
(18,4),(18,25),-0.0484985 # DEPENDENCYPART_SIBL
(18,4),(18,26),0.045461 # DEPENDENCYPART_SIBL
(18,4),(18,27),-0.0553762 # DEPENDENCYPART_SIBL
(18,4),(18,28),-0.0353845 # DEPENDENCYPART_SIBL
(18,4),(18,29),0.0234118 # DEPENDENCYPART_SIBL
(18,4),(18,30),0.022808 # DEPENDENCYPART_SIBL
(18,4),(18,31),-0.523992 # DEPENDENCYPART_SIBL
(18,5),(18,6),-0.10113 # DEPENDENCYPART_SIBL
(18,5),(18,7),-0.160869 # DEPENDENCYPART_SIBL
(18,5),(18,8),-0.226343 # DEPENDENCYPART_SIBL
(18,5),(18,10),-0.0492555 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.101147 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.0444007 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.098762 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.143726 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.148481 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.336864 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.0686733 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.117311 # DEPENDENCYPART_SIBL
(18,5),(18,21),-0.0207059 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.070605 # DEPENDENCYPART_SIBL
(18,5),(18,24),-0.132118 # DEPENDENCYPART_SIBL
(18,5),(18,25),-0.114444 # DEPENDENCYPART_SIBL
(18,5),(18,26),-0.0994518 # DEPENDENCYPART_SIBL
(18,5),(18,27),-0.228458 # DEPENDENCYPART_SIBL
(18,5),(18,28),-0.102976 # DEPENDENCYPART_SIBL
(18,5),(18,29),-0.0435511 # DEPENDENCYPART_SIBL
(18,5),(18,30),-0.026974 # DEPENDENCYPART_SIBL
(18,5),(18,31),0.0455555 # DEPENDENCYPART_SIBL
(18,6),(18,7),-0.187095 # DEPENDENCYPART_SIBL
(18,6),(18,8),-0.0663065 # DEPENDENCYPART_SIBL
(18,6),(18,10),-0.0268779 # DEPENDENCYPART_SIBL
(18,6),(18,11),-0.0222076 # DEPENDENCYPART_SIBL
(18,6),(18,12),0.0195792 # DEPENDENCYPART_SIBL
(18,6),(18,13),-0.019951 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.00888753 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.215138 # DEPENDENCYPART_SIBL
(18,6),(18,16),-0.248889 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.0360663 # DEPENDENCYPART_SIBL
(18,6),(18,20),-0.0567683 # DEPENDENCYPART_SIBL
(18,6),(18,21),0.00836431 # DEPENDENCYPART_SIBL
(18,6),(18,22),-0.00359153 # DEPENDENCYPART_SIBL
(18,6),(18,24),-0.0518453 # DEPENDENCYPART_SIBL
(18,6),(18,25),-0.104264 # DEPENDENCYPART_SIBL
(18,6),(18,26),-0.043835 # DEPENDENCYPART_SIBL
(18,6),(18,27),-0.11697 # DEPENDENCYPART_SIBL
(18,6),(18,28),-0.0459677 # DEPENDENCYPART_SIBL
(18,6),(18,29),0.00564831 # DEPENDENCYPART_SIBL
(18,6),(18,30),0.0112963 # DEPENDENCYPART_SIBL
(18,6),(18,31),0.00700641 # DEPENDENCYPART_SIBL
(18,7),(18,8),0.0546589 # DEPENDENCYPART_SIBL
(18,7),(18,10),0.0180522 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0122593 # DEPENDENCYPART_SIBL
(18,7),(18,12),0.0376143 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.00586783 # DEPENDENCYPART_SIBL
(18,7),(18,14),0.578435 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.149735 # DEPENDENCYPART_SIBL
(18,7),(18,16),0.117396 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.00147421 # DEPENDENCYPART_SIBL
(18,7),(18,20),0.07602 # DEPENDENCYPART_SIBL
(18,7),(18,21),0.279492 # DEPENDENCYPART_SIBL
(18,7),(18,22),0.0527137 # DEPENDENCYPART_SIBL
(18,7),(18,24),0.0650859 # DEPENDENCYPART_SIBL
(18,7),(18,25),0.0493738 # DEPENDENCYPART_SIBL
(18,7),(18,26),0.0703158 # DEPENDENCYPART_SIBL
(18,7),(18,27),-0.0934845 # DEPENDENCYPART_SIBL
(18,7),(18,28),0.037386 # DEPENDENCYPART_SIBL
(18,7),(18,29),0.092404 # DEPENDENCYPART_SIBL
(18,7),(18,30),0.0985406 # DEPENDENCYPART_SIBL
(18,7),(18,31),-0.40937 # DEPENDENCYPART_SIBL
(18,8),(18,10),0.0162516 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.0275891 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.0468606 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.0246579 # DEPENDENCYPART_SIBL
(18,8),(18,14),0.00105165 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.16596 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.383176 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.0728059 # DEPENDENCYPART_SIBL
(18,8),(18,20),0.0019678 # DEPENDENCYPART_SIBL
(18,8),(18,21),-0.036119 # DEPENDENCYPART_SIBL
(18,8),(18,22),0.0692518 # DEPENDENCYPART_SIBL
(18,8),(18,24),0.00963058 # DEPENDENCYPART_SIBL
(18,8),(18,25),-0.0421734 # DEPENDENCYPART_SIBL
(18,8),(18,26),0.0307578 # DEPENDENCYPART_SIBL
(18,8),(18,27),-0.116148 # DEPENDENCYPART_SIBL
(18,8),(18,28),-0.0090898 # DEPENDENCYPART_SIBL
(18,8),(18,29),0.0617813 # DEPENDENCYPART_SIBL
(18,8),(18,30),0.0566775 # DEPENDENCYPART_SIBL
(18,8),(18,31),0.0272059 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.173909 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0371313 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.170267 # DEPENDENCYPART_SIBL
(18,10),(18,14),-0.0799053 # DEPENDENCYPART_SIBL
(18,10),(18,15),-0.187202 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.691746 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.114897 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.0518138 # DEPENDENCYPART_SIBL
(18,10),(18,21),-3.70223e-06 # DEPENDENCYPART_SIBL
(18,10),(18,22),-0.0376683 # DEPENDENCYPART_SIBL
(18,10),(18,24),-0.0571592 # DEPENDENCYPART_SIBL
(18,10),(18,25),-0.0564017 # DEPENDENCYPART_SIBL
(18,10),(18,26),-0.0430219 # DEPENDENCYPART_SIBL
(18,10),(18,27),-0.0968481 # DEPENDENCYPART_SIBL
(18,10),(18,28),-0.0223737 # DEPENDENCYPART_SIBL
(18,10),(18,29),0.00818053 # DEPENDENCYPART_SIBL
(18,10),(18,30),0.0223848 # DEPENDENCYPART_SIBL
(18,10),(18,31),0.0363916 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.0208107 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.0187059 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.00831147 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.214316 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.247161 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.0393522 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.0595589 # DEPENDENCYPART_SIBL
(18,11),(18,21),-0.000365379 # DEPENDENCYPART_SIBL
(18,11),(18,22),-0.00514167 # DEPENDENCYPART_SIBL
(18,11),(18,24),-0.0546359 # DEPENDENCYPART_SIBL
(18,11),(18,25),-0.111986 # DEPENDENCYPART_SIBL
(18,11),(18,26),-0.0466256 # DEPENDENCYPART_SIBL
(18,11),(18,27),-0.121155 # DEPENDENCYPART_SIBL
(18,11),(18,28),-0.0500859 # DEPENDENCYPART_SIBL
(18,11),(18,29),0.00409817 # DEPENDENCYPART_SIBL
(18,11),(18,30),0.00974612 # DEPENDENCYPART_SIBL
(18,11),(18,31),0.00149677 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.0359097 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.0313919 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0541936 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.265232 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.0587525 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.019827 # DEPENDENCYPART_SIBL
(18,12),(18,21),0.0186225 # DEPENDENCYPART_SIBL
(18,12),(18,22),0.025973 # DEPENDENCYPART_SIBL
(18,12),(18,24),-0.0223854 # DEPENDENCYPART_SIBL
(18,12),(18,25),-0.0570647 # DEPENDENCYPART_SIBL
(18,12),(18,26),-0.00110326 # DEPENDENCYPART_SIBL
(18,12),(18,27),-0.0596892 # DEPENDENCYPART_SIBL
(18,12),(18,28),-0.0553314 # DEPENDENCYPART_SIBL
(18,12),(18,29),0.0733747 # DEPENDENCYPART_SIBL
(18,12),(18,30),0.0690621 # DEPENDENCYPART_SIBL
(18,12),(18,31),0.0229406 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.00704632 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.213294 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.246558 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0406729 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0491925 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.0164936 # DEPENDENCYPART_SIBL
(18,13),(18,22),0.00339804 # DEPENDENCYPART_SIBL
(18,13),(18,24),-0.0442695 # DEPENDENCYPART_SIBL
(18,13),(18,25),-0.0935742 # DEPENDENCYPART_SIBL
(18,13),(18,26),-0.0362592 # DEPENDENCYPART_SIBL
(18,13),(18,27),-0.112387 # DEPENDENCYPART_SIBL
(18,13),(18,28),-0.0406176 # DEPENDENCYPART_SIBL
(18,13),(18,29),0.0126379 # DEPENDENCYPART_SIBL
(18,13),(18,30),0.0182858 # DEPENDENCYPART_SIBL
(18,13),(18,31),0.0157338 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.265206 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.427727 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.124687 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0129117 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.0993475 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.0477359 # DEPENDENCYPART_SIBL
(18,14),(18,24),0.00127209 # DEPENDENCYPART_SIBL
(18,14),(18,25),-0.0784395 # DEPENDENCYPART_SIBL
(18,14),(18,26),0.0258296 # DEPENDENCYPART_SIBL
(18,14),(18,27),-0.121166 # DEPENDENCYPART_SIBL
(18,14),(18,28),0.00223008 # DEPENDENCYPART_SIBL
(18,14),(18,29),-0.0229788 # DEPENDENCYPART_SIBL
(18,14),(18,30),-0.0199659 # DEPENDENCYPART_SIBL
(18,14),(18,31),-0.150013 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.67167 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.105726 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0273023 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.00631298 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0669145 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.04205 # DEPENDENCYPART_SIBL
(18,15),(18,25),0.0724531 # DEPENDENCYPART_SIBL
(18,15),(18,26),-0.00711908 # DEPENDENCYPART_SIBL
(18,15),(18,27),-0.212138 # DEPENDENCYPART_SIBL
(18,15),(18,28),-0.116805 # DEPENDENCYPART_SIBL
(18,15),(18,29),-0.0384371 # DEPENDENCYPART_SIBL
(18,15),(18,30),-0.0281476 # DEPENDENCYPART_SIBL
(18,15),(18,31),-0.091386 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.581138 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0301886 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0120707 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.0215651 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.0557628 # DEPENDENCYPART_SIBL
(18,16),(18,25),-0.0387917 # DEPENDENCYPART_SIBL
(18,16),(18,26),-0.0080132 # DEPENDENCYPART_SIBL
(18,16),(18,27),-0.130838 # DEPENDENCYPART_SIBL
(18,16),(18,28),-0.0175671 # DEPENDENCYPART_SIBL
(18,16),(18,29),0.0205938 # DEPENDENCYPART_SIBL
(18,16),(18,30),0.0205352 # DEPENDENCYPART_SIBL
(18,16),(18,31),-0.458859 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0328695 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.028974 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0304206 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.018196 # DEPENDENCYPART_SIBL
(18,17),(18,25),-0.073573 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.0508652 # DEPENDENCYPART_SIBL
(18,17),(18,27),-0.18497 # DEPENDENCYPART_SIBL
(18,17),(18,28),-0.0502857 # DEPENDENCYPART_SIBL
(18,17),(18,29),-0.00337837 # DEPENDENCYPART_SIBL
(18,17),(18,30),0.013209 # DEPENDENCYPART_SIBL
(18,17),(18,31),0.114319 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.123383 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0442579 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.298214 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.0865764 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.291058 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.169606 # DEPENDENCYPART_SIBL
(18,20),(18,28),-0.0329622 # DEPENDENCYPART_SIBL
(18,20),(18,29),-0.0164311 # DEPENDENCYPART_SIBL
(18,20),(18,30),-0.0307184 # DEPENDENCYPART_SIBL
(18,20),(18,31),-0.122317 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.0241081 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.0747792 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.116682 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.0610009 # DEPENDENCYPART_SIBL
(18,21),(18,27),-0.0502657 # DEPENDENCYPART_SIBL
(18,21),(18,28),-0.116481 # DEPENDENCYPART_SIBL
(18,21),(18,29),0.0892109 # DEPENDENCYPART_SIBL
(18,21),(18,30),0.0415048 # DEPENDENCYPART_SIBL
(18,21),(18,31),-0.12488 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.0388108 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.0198994 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.0444185 # DEPENDENCYPART_SIBL
(18,22),(18,27),-0.0428758 # DEPENDENCYPART_SIBL
(18,22),(18,28),0.0223002 # DEPENDENCYPART_SIBL
(18,22),(18,29),0.0716407 # DEPENDENCYPART_SIBL
(18,22),(18,30),0.054923 # DEPENDENCYPART_SIBL
(18,22),(18,31),0.00179459 # DEPENDENCYPART_SIBL
(18,24),(18,25),-0.0511949 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.229642 # DEPENDENCYPART_SIBL
(18,24),(18,27),-0.125418 # DEPENDENCYPART_SIBL
(18,24),(18,28),-0.00831397 # DEPENDENCYPART_SIBL
(18,24),(18,29),0.0358356 # DEPENDENCYPART_SIBL
(18,24),(18,30),0.0215482 # DEPENDENCYPART_SIBL
(18,24),(18,31),-0.0577811 # DEPENDENCYPART_SIBL
(18,25),(18,26),-0.06778 # DEPENDENCYPART_SIBL
(18,25),(18,27),-0.15324 # DEPENDENCYPART_SIBL
(18,25),(18,28),-0.128588 # DEPENDENCYPART_SIBL
(18,25),(18,29),0.0316051 # DEPENDENCYPART_SIBL
(18,25),(18,30),-0.0127848 # DEPENDENCYPART_SIBL
(18,25),(18,31),-0.0538673 # DEPENDENCYPART_SIBL
(18,26),(18,27),-0.136735 # DEPENDENCYPART_SIBL
(18,26),(18,28),-0.0114348 # DEPENDENCYPART_SIBL
(18,26),(18,29),0.0112078 # DEPENDENCYPART_SIBL
(18,26),(18,30),-0.00307954 # DEPENDENCYPART_SIBL
(18,26),(18,31),-0.0508498 # DEPENDENCYPART_SIBL
(18,27),(18,28),-0.0802078 # DEPENDENCYPART_SIBL
(18,27),(18,29),0.0265642 # DEPENDENCYPART_SIBL
(18,27),(18,30),0.00684087 # DEPENDENCYPART_SIBL
(18,27),(18,31),-0.170112 # DEPENDENCYPART_SIBL
(18,28),(18,29),0.0150337 # DEPENDENCYPART_SIBL
(18,28),(18,30),-0.000488908 # DEPENDENCYPART_SIBL
(18,28),(18,31),-0.0357799 # DEPENDENCYPART_SIBL
(18,29),(18,30),-0.000625729 # DEPENDENCYPART_SIBL
(18,29),(18,31),-0.00691506 # DEPENDENCYPART_SIBL
(18,30),(18,31),0.0201668 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.135204 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0185201 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.116207 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.035759 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.0632837 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.118949 # DEPENDENCYPART_SIBL
(20,18),(20,28),-0.034013 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0360979 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0504423 # DEPENDENCYPART_SIBL
(20,19),(20,24),0.315298 # DEPENDENCYPART_SIBL
(20,19),(20,25),0.325244 # DEPENDENCYPART_SIBL
(20,19),(20,27),-0.237591 # DEPENDENCYPART_SIBL
(20,19),(20,28),-0.0779957 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0689091 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.362688 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.0410387 # DEPENDENCYPART_SIBL
(20,21),(20,27),0.0239056 # DEPENDENCYPART_SIBL
(20,21),(20,28),-0.00362866 # DEPENDENCYPART_SIBL
(20,22),(20,24),0.0694392 # DEPENDENCYPART_SIBL
(20,22),(20,25),0.0800995 # DEPENDENCYPART_SIBL
(20,22),(20,27),0.0158675 # DEPENDENCYPART_SIBL
(20,22),(20,28),0.069553 # DEPENDENCYPART_SIBL
(20,24),(20,25),0.0794401 # DEPENDENCYPART_SIBL
(20,24),(20,27),-0.097122 # DEPENDENCYPART_SIBL
(20,24),(20,28),0.0335484 # DEPENDENCYPART_SIBL
(20,25),(20,27),-0.0715547 # DEPENDENCYPART_SIBL
(20,25),(20,28),-0.0307186 # DEPENDENCYPART_SIBL
(20,27),(20,28),0.0345542 # DEPENDENCYPART_SIBL
(22,1),(22,3),-0.0643882 # DEPENDENCYPART_SIBL
(22,1),(22,4),-0.293908 # DEPENDENCYPART_SIBL
(22,1),(22,5),-0.124255 # DEPENDENCYPART_SIBL
(22,1),(22,6),-0.0425319 # DEPENDENCYPART_SIBL
(22,1),(22,8),-0.131695 # DEPENDENCYPART_SIBL
(22,1),(22,10),-0.0103791 # DEPENDENCYPART_SIBL
(22,1),(22,11),-0.042549 # DEPENDENCYPART_SIBL
(22,1),(22,12),0.0134537 # DEPENDENCYPART_SIBL
(22,1),(22,13),-0.040164 # DEPENDENCYPART_SIBL
(22,1),(22,14),-0.0729089 # DEPENDENCYPART_SIBL
(22,1),(22,15),-0.0677138 # DEPENDENCYPART_SIBL
(22,1),(22,16),-0.253451 # DEPENDENCYPART_SIBL
(22,1),(22,17),-0.0307416 # DEPENDENCYPART_SIBL
(22,1),(22,18),-0.0584401 # DEPENDENCYPART_SIBL
(22,1),(22,19),-0.0677138 # DEPENDENCYPART_SIBL
(22,1),(22,20),-0.0365825 # DEPENDENCYPART_SIBL
(22,1),(22,21),-0.148205 # DEPENDENCYPART_SIBL
(22,1),(22,24),-0.0172324 # DEPENDENCYPART_SIBL
(22,1),(22,25),0.00779016 # DEPENDENCYPART_SIBL
(22,1),(22,26),0.0154317 # DEPENDENCYPART_SIBL
(22,1),(22,27),-0.0203192 # DEPENDENCYPART_SIBL
(22,1),(22,28),-0.0093719 # DEPENDENCYPART_SIBL
(22,1),(22,29),0.061926 # DEPENDENCYPART_SIBL
(22,1),(22,30),0.0784972 # DEPENDENCYPART_SIBL
(22,1),(22,31),0.100787 # DEPENDENCYPART_SIBL
(22,3),(22,4),-0.308795 # DEPENDENCYPART_SIBL
(22,3),(22,5),-0.145881 # DEPENDENCYPART_SIBL
(22,3),(22,6),-0.0559242 # DEPENDENCYPART_SIBL
(22,3),(22,8),-0.154339 # DEPENDENCYPART_SIBL
(22,3),(22,10),-0.0215013 # DEPENDENCYPART_SIBL
(22,3),(22,11),-0.0559413 # DEPENDENCYPART_SIBL
(22,3),(22,12),-0.00504017 # DEPENDENCYPART_SIBL
(22,3),(22,13),-0.0535563 # DEPENDENCYPART_SIBL
(22,3),(22,14),-0.0870274 # DEPENDENCYPART_SIBL
(22,3),(22,15),-0.0811082 # DEPENDENCYPART_SIBL
(22,3),(22,16),-0.269966 # DEPENDENCYPART_SIBL
(22,3),(22,17),-0.0523681 # DEPENDENCYPART_SIBL
(22,3),(22,18),-0.0800666 # DEPENDENCYPART_SIBL
(22,3),(22,19),-0.0811082 # DEPENDENCYPART_SIBL
(22,3),(22,20),-0.0477046 # DEPENDENCYPART_SIBL
(22,3),(22,21),-0.165071 # DEPENDENCYPART_SIBL
(22,3),(22,24),-0.0682882 # DEPENDENCYPART_SIBL
(22,3),(22,25),-0.0464253 # DEPENDENCYPART_SIBL
(22,3),(22,26),-0.0356241 # DEPENDENCYPART_SIBL
(22,3),(22,27),-0.0986507 # DEPENDENCYPART_SIBL
(22,3),(22,28),-0.0244001 # DEPENDENCYPART_SIBL
(22,3),(22,29),-0.0147824 # DEPENDENCYPART_SIBL
(22,3),(22,30),0.00178888 # DEPENDENCYPART_SIBL
(22,3),(22,31),-0.00903753 # DEPENDENCYPART_SIBL
(22,4),(22,5),0.050591 # DEPENDENCYPART_SIBL
(22,4),(22,6),-0.0194677 # DEPENDENCYPART_SIBL
(22,4),(22,8),0.0244884 # DEPENDENCYPART_SIBL
(22,4),(22,10),0.118492 # DEPENDENCYPART_SIBL
(22,4),(22,11),-0.013148 # DEPENDENCYPART_SIBL
(22,4),(22,12),0.08345 # DEPENDENCYPART_SIBL
(22,4),(22,13),-0.0121844 # DEPENDENCYPART_SIBL
(22,4),(22,14),-0.641583 # DEPENDENCYPART_SIBL
(22,4),(22,15),-0.174476 # DEPENDENCYPART_SIBL
(22,4),(22,16),-0.761501 # DEPENDENCYPART_SIBL
(22,4),(22,17),0.228117 # DEPENDENCYPART_SIBL
(22,4),(22,18),0.104435 # DEPENDENCYPART_SIBL
(22,4),(22,19),-0.174476 # DEPENDENCYPART_SIBL
(22,4),(22,20),0.0749922 # DEPENDENCYPART_SIBL
(22,4),(22,21),-0.607209 # DEPENDENCYPART_SIBL
(22,4),(22,24),-0.0121989 # DEPENDENCYPART_SIBL
(22,4),(22,25),-0.00599159 # DEPENDENCYPART_SIBL
(22,4),(22,26),0.0300297 # DEPENDENCYPART_SIBL
(22,4),(22,27),0.0410785 # DEPENDENCYPART_SIBL
(22,4),(22,28),-0.0212736 # DEPENDENCYPART_SIBL
(22,4),(22,29),0.0429103 # DEPENDENCYPART_SIBL
(22,4),(22,30),0.0423065 # DEPENDENCYPART_SIBL
(22,4),(22,31),-0.544543 # DEPENDENCYPART_SIBL
(22,5),(22,6),-0.0863815 # DEPENDENCYPART_SIBL
(22,5),(22,8),-0.228209 # DEPENDENCYPART_SIBL
(22,5),(22,10),-0.0352936 # DEPENDENCYPART_SIBL
(22,5),(22,11),-0.0863987 # DEPENDENCYPART_SIBL
(22,5),(22,12),-0.0294317 # DEPENDENCYPART_SIBL
(22,5),(22,13),-0.0840133 # DEPENDENCYPART_SIBL
(22,5),(22,14),-0.124987 # DEPENDENCYPART_SIBL
(22,5),(22,15),-0.117039 # DEPENDENCYPART_SIBL
(22,5),(22,16),-0.316962 # DEPENDENCYPART_SIBL
(22,5),(22,17),-0.0757018 # DEPENDENCYPART_SIBL
(22,5),(22,18),-0.100282 # DEPENDENCYPART_SIBL
(22,5),(22,19),-0.117039 # DEPENDENCYPART_SIBL
(22,5),(22,20),-0.060394 # DEPENDENCYPART_SIBL
(22,5),(22,21),-0.159004 # DEPENDENCYPART_SIBL
(22,5),(22,24),-0.113588 # DEPENDENCYPART_SIBL
(22,5),(22,25),-0.0564385 # DEPENDENCYPART_SIBL
(22,5),(22,26),-0.0809221 # DEPENDENCYPART_SIBL
(22,5),(22,27),-0.126365 # DEPENDENCYPART_SIBL
(22,5),(22,28),-0.0728528 # DEPENDENCYPART_SIBL
(22,5),(22,29),-0.0261327 # DEPENDENCYPART_SIBL
(22,5),(22,30),-0.00955559 # DEPENDENCYPART_SIBL
(22,5),(22,31),0.00408033 # DEPENDENCYPART_SIBL
(22,6),(22,8),-0.0790582 # DEPENDENCYPART_SIBL
(22,6),(22,10),-0.0299655 # DEPENDENCYPART_SIBL
(22,6),(22,11),-0.0220878 # DEPENDENCYPART_SIBL
(22,6),(22,12),0.020149 # DEPENDENCYPART_SIBL
(22,6),(22,13),-0.0198313 # DEPENDENCYPART_SIBL
(22,6),(22,14),-0.00551379 # DEPENDENCYPART_SIBL
(22,6),(22,15),-0.198323 # DEPENDENCYPART_SIBL
(22,6),(22,16),-0.255101 # DEPENDENCYPART_SIBL
(22,6),(22,17),0.00926672 # DEPENDENCYPART_SIBL
(22,6),(22,18),-0.0170412 # DEPENDENCYPART_SIBL
(22,6),(22,19),-0.198323 # DEPENDENCYPART_SIBL
(22,6),(22,20),-0.0499616 # DEPENDENCYPART_SIBL
(22,6),(22,21),-0.199118 # DEPENDENCYPART_SIBL
(22,6),(22,24),-0.0561133 # DEPENDENCYPART_SIBL
(22,6),(22,25),-0.0749137 # DEPENDENCYPART_SIBL
(22,6),(22,26),-0.048103 # DEPENDENCYPART_SIBL
(22,6),(22,27),-0.0527992 # DEPENDENCYPART_SIBL
(22,6),(22,28),-0.0411243 # DEPENDENCYPART_SIBL
