# _root_ Segons va explicar , les peces intervingudes tenen imatges d' inspiració mironiana , però " no reprodueixen dibuixos del pintor " .
#goldHeads=3,3,8,3,6,8,6,0,8,9,10,11,9,8,17,17,8,17,18,19,17,8,
#predictedHeads=3,3,8,3,6,8,6,0,8,9,10,11,8,8,17,17,8,17,18,19,17,8,
(6,12),(6,18),0.0155625 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0480259 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.0195583 # DEPENDENCYPART_SIBL
(6,12),(6,22),-0.00437536 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.280481 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0275554 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0412175 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.393039 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.00830995 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.0275554 # DEPENDENCYPART_SIBL
(6,13),(6,22),0.00591674 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0293664 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.186369 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.270675 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.0581499 # DEPENDENCYPART_SIBL
(6,14),(6,21),0.0293664 # DEPENDENCYPART_SIBL
(6,14),(6,22),0.0543373 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.0203887 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.0745743 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.152487 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.150173 # DEPENDENCYPART_SIBL
(6,15),(6,22),-0.0320587 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.0231891 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.00335454 # DEPENDENCYPART_SIBL
(6,17),(6,21),0.0771883 # DEPENDENCYPART_SIBL
(6,17),(6,22),0.0425644 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.00644533 # DEPENDENCYPART_SIBL
(6,18),(6,21),0.0305098 # DEPENDENCYPART_SIBL
(6,18),(6,22),-0.017056 # DEPENDENCYPART_SIBL
(6,19),(6,21),0.0202973 # DEPENDENCYPART_SIBL
(6,19),(6,22),0.0112981 # DEPENDENCYPART_SIBL
(6,21),(6,22),-0.0320587 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.226985 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.256026 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0521826 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.136594 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.103495 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00101474 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.645572 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0790057 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0646022 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0980482 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0875254 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0232015 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.200793 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0486108 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0688899 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.00586653 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.120428 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0286575 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0188481 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0108023 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0165986 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0751059 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0197339 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0225317 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0247699 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0197924 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.128867 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.092352 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0192106 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0922377 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0199734 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0912264 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.117584 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.00017348 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0336472 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.110515 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0238319 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0106501 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.00900019 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.058654 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0424538 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0454007 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.234733 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.00565279 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.365184 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0717975 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0374753 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.308886 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.119719 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0592051 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.00138508 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.00923239 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.154388 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0240408 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0322454 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.218902 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0157006 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0523398 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.101169 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0281711 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.0181231 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.151843 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.0523398 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.0784843 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0113771 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0957094 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.009268 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.00165552 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.00512451 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.00683402 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0971108 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.00261892 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.00531447 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0600108 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.221493 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0627338 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0577221 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.0304217 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0101786 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.139975 # DEPENDENCYPART_SIBL
(8,2),(8,21),-0.0627338 # DEPENDENCYPART_SIBL
(8,2),(8,22),0.28437 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.12442 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0502992 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0125902 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0372691 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00463207 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.113134 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.00888842 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0150158 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.012444 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0354102 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0154457 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0529123 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.00688629 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.00132876 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.152675 # DEPENDENCYPART_SIBL
(8,3),(8,21),0.0154457 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.0345554 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0761977 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0181515 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0278327 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0490237 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.131353 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0353728 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.00655225 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.211052 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0473781 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.14501 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.00874951 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0329599 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.0250754 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0715562 # DEPENDENCYPART_SIBL
(8,4),(8,21),-0.14501 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.483675 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.00164418 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0768661 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0520732 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0374449 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.050199 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.000952508 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0649091 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0293117 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0909613 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0552774 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0663403 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0530196 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0366922 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.0909613 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.100872 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.190893 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.00749531 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.10784 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.00239293 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0121515 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0139605 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0129534 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0235388 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.00476582 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.000887028 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0113193 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.120556 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.0235388 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.0147288 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0220956 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.139221 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0136739 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0241711 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.00218325 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0130017 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.00707583 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0335596 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.00140484 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.00775462 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.12748 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.00707583 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.0044547 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.11585 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.226229 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.05846 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0336339 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0418361 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.012994 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.00528652 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0479874 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.217646 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.135337 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.012994 # DEPENDENCYPART_SIBL
(8,9),(8,22),0.0491399 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.00980215 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0947071 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0764496 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0531481 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.044922 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.107604 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0531682 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0065605 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.28522 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.044922 # DEPENDENCYPART_SIBL
(8,10),(8,22),0.039903 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0440145 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.00937981 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0234194 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0036586 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.00876487 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0314886 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.21329 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0932539 # DEPENDENCYPART_SIBL
(8,11),(8,21),0.0036586 # DEPENDENCYPART_SIBL
(8,11),(8,22),0.034039 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0225392 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0496653 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.0454823 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.00921215 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.0168778 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0296114 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0770021 # DEPENDENCYPART_SIBL
(8,12),(8,21),0.0454823 # DEPENDENCYPART_SIBL
(8,12),(8,22),0.0806567 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.352789 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0400972 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.0294072 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.034318 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0224683 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.179755 # DEPENDENCYPART_SIBL
(8,13),(8,21),-0.0400972 # DEPENDENCYPART_SIBL
(8,13),(8,22),-0.0234675 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.11139 # DEPENDENCYPART_SIBL
(8,14),(8,16),0.155893 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.629848 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.143491 # DEPENDENCYPART_SIBL
(8,14),(8,19),0.0778941 # DEPENDENCYPART_SIBL
(8,14),(8,21),0.11139 # DEPENDENCYPART_SIBL
(8,14),(8,22),0.185615 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.0908653 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0282864 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.0743574 # DEPENDENCYPART_SIBL
(8,15),(8,19),0.0690714 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.0700691 # DEPENDENCYPART_SIBL
(8,15),(8,22),0.0112522 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0377887 # DEPENDENCYPART_SIBL
(8,16),(8,18),0.0376625 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0652039 # DEPENDENCYPART_SIBL
(8,16),(8,21),-0.0359672 # DEPENDENCYPART_SIBL
(8,16),(8,22),0.0329592 # DEPENDENCYPART_SIBL
(8,17),(8,18),0.0198488 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.0771855 # DEPENDENCYPART_SIBL
(8,17),(8,21),0.0183208 # DEPENDENCYPART_SIBL
(8,17),(8,22),0.0655018 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.115896 # DEPENDENCYPART_SIBL
(8,18),(8,21),-0.0172503 # DEPENDENCYPART_SIBL
(8,18),(8,22),0.00915644 # DEPENDENCYPART_SIBL
(8,19),(8,21),-0.0185018 # DEPENDENCYPART_SIBL
(8,19),(8,22),0.0210433 # DEPENDENCYPART_SIBL
(8,21),(8,22),0.0112522 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.287136 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.113282 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.170141 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.086498 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.163404 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0728077 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0339742 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.12761 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0391102 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0044137 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.00923703 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.105532 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0318021 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0507331 # DEPENDENCYPART_SIBL
(9,3),(9,21),-0.00923703 # DEPENDENCYPART_SIBL
(9,3),(9,22),0.0204078 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0144476 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.233929 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.162018 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.383947 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0170908 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0549437 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.000500804 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.319047 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0225463 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0400504 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.104632 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0569444 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.121741 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.0400504 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.3286 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0343079 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0807019 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0285624 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.126439 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0798976 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0121694 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0073079 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.00460225 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.118013 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.000721899 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0707087 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.269187 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.118013 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.0255898 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0352391 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.162785 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.000351375 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.000306038 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0364195 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.00654344 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0257505 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.00187609 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0133591 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.00179414 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.00713059 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.00187609 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.0572164 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0299414 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0499573 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.00898014 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.00639202 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.00110261 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0429318 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0790542 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.00431473 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0119717 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0640711 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.0790542 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.0132348 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0741988 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0355764 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.132481 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0336487 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.00441628 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.00138051 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.111763 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0334043 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0521278 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.00138051 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.010217 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.00717788 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0698161 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.00558646 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0250295 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.00132724 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.00239449 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.003708 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0603468 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.00132724 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.0123412 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0234774 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.00349527 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0442366 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0149848 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.00614299 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.00203732 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.0020302 # DEPENDENCYPART_SIBL
(9,11),(9,21),0.0149848 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.030446 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0307375 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0023964 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.00204414 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0192805 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.00110424 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.0565768 # DEPENDENCYPART_SIBL
(9,12),(9,21),-0.00204414 # DEPENDENCYPART_SIBL
(9,12),(9,22),-0.0257142 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.251197 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0549897 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0575723 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.372899 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0140301 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.0549897 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.0213852 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0181438 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.182318 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.272036 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.0629244 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.0181438 # DEPENDENCYPART_SIBL
(9,14),(9,22),0.0432471 # DEPENDENCYPART_SIBL
(9,15),(9,17),0.0104713 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.0634948 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.153538 # DEPENDENCYPART_SIBL
(9,15),(9,21),-0.168971 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.0507244 # DEPENDENCYPART_SIBL
(9,17),(9,18),0.0213234 # DEPENDENCYPART_SIBL
(9,17),(9,19),0.00465139 # DEPENDENCYPART_SIBL
(9,17),(9,21),0.0671675 # DEPENDENCYPART_SIBL
(9,17),(9,22),0.0326771 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.00491535 # DEPENDENCYPART_SIBL
(9,18),(9,21),0.0118854 # DEPENDENCYPART_SIBL
(9,18),(9,22),-0.0355492 # DEPENDENCYPART_SIBL
(9,19),(9,21),0.0116452 # DEPENDENCYPART_SIBL
(9,19),(9,22),0.00277835 # DEPENDENCYPART_SIBL
(9,21),(9,22),-0.0507244 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.21118 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0802282 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0358086 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.166055 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.122239 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.0445337 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.0901142 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.378354 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0808079 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.000161633 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0108607 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.445603 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.022307 # DEPENDENCYPART_SIBL
