# _root_ L' aparició del Teneighty , un esquí que disposa de la cua aixecada igual que l' espàtula , és la confirmació del fet que la firma francesa continua buscant noves fórmules dins de l' esquí .
#goldHeads=2,19,2,3,7,7,4,9,7,9,12,10,12,12,17,17,12,7,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
#predictedHeads=2,19,2,3,7,7,2,9,7,9,12,10,12,12,17,17,14,9,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
(14,21),(14,29),-0.0222735 # DEPENDENCYPART_SIBL
(14,21),(14,31),-0.11619 # DEPENDENCYPART_SIBL
(14,22),(14,26),0.00195501 # DEPENDENCYPART_SIBL
(14,22),(14,28),0.0120246 # DEPENDENCYPART_SIBL
(14,22),(14,29),0.0264222 # DEPENDENCYPART_SIBL
(14,22),(14,31),0.00263566 # DEPENDENCYPART_SIBL
(14,26),(14,28),-0.0275011 # DEPENDENCYPART_SIBL
(14,26),(14,29),-0.0243266 # DEPENDENCYPART_SIBL
(14,26),(14,31),-0.118465 # DEPENDENCYPART_SIBL
(14,28),(14,29),-0.114422 # DEPENDENCYPART_SIBL
(14,28),(14,31),-0.0330895 # DEPENDENCYPART_SIBL
(14,29),(14,31),-0.0334039 # DEPENDENCYPART_SIBL
(17,2),(17,5),0.0622914 # DEPENDENCYPART_SIBL
(17,2),(17,7),-0.188927 # DEPENDENCYPART_SIBL
(17,2),(17,9),0.169269 # DEPENDENCYPART_SIBL
(17,2),(17,10),0.0257009 # DEPENDENCYPART_SIBL
(17,2),(17,11),-0.013038 # DEPENDENCYPART_SIBL
(17,2),(17,13),0.0354144 # DEPENDENCYPART_SIBL
(17,2),(17,14),0.0415425 # DEPENDENCYPART_SIBL
(17,2),(17,15),-0.00448743 # DEPENDENCYPART_SIBL
(17,2),(17,16),-0.0719607 # DEPENDENCYPART_SIBL
(17,2),(17,18),-0.000689388 # DEPENDENCYPART_SIBL
(17,2),(17,19),-0.0514408 # DEPENDENCYPART_SIBL
(17,2),(17,21),0.000430525 # DEPENDENCYPART_SIBL
(17,2),(17,22),0.0141893 # DEPENDENCYPART_SIBL
(17,2),(17,24),-0.119337 # DEPENDENCYPART_SIBL
(17,2),(17,26),0.0053542 # DEPENDENCYPART_SIBL
(17,2),(17,27),-0.047263 # DEPENDENCYPART_SIBL
(17,2),(17,29),-0.00651554 # DEPENDENCYPART_SIBL
(17,5),(17,7),0.235032 # DEPENDENCYPART_SIBL
(17,5),(17,9),0.363054 # DEPENDENCYPART_SIBL
(17,5),(17,10),0.299212 # DEPENDENCYPART_SIBL
(17,5),(17,11),-0.0421193 # DEPENDENCYPART_SIBL
(17,5),(17,13),0.162767 # DEPENDENCYPART_SIBL
(17,5),(17,14),0.150821 # DEPENDENCYPART_SIBL
(17,5),(17,15),0.491972 # DEPENDENCYPART_SIBL
(17,5),(17,16),0.019171 # DEPENDENCYPART_SIBL
(17,5),(17,18),0.334721 # DEPENDENCYPART_SIBL
(17,5),(17,19),0.0794411 # DEPENDENCYPART_SIBL
(17,5),(17,21),-0.050021 # DEPENDENCYPART_SIBL
(17,5),(17,22),0.130889 # DEPENDENCYPART_SIBL
(17,5),(17,24),-0.142966 # DEPENDENCYPART_SIBL
(17,5),(17,26),-0.0421875 # DEPENDENCYPART_SIBL
(17,5),(17,27),-0.00907134 # DEPENDENCYPART_SIBL
(17,5),(17,29),0.119304 # DEPENDENCYPART_SIBL
(17,7),(17,9),0.169271 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.0257007 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.0130381 # DEPENDENCYPART_SIBL
(17,7),(17,13),0.0354143 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.0415424 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.00448593 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.0719609 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.000673802 # DEPENDENCYPART_SIBL
(17,7),(17,19),-0.0514297 # DEPENDENCYPART_SIBL
(17,7),(17,21),0.00043239 # DEPENDENCYPART_SIBL
(17,7),(17,22),0.0141865 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.119338 # DEPENDENCYPART_SIBL
(17,7),(17,26),0.00535607 # DEPENDENCYPART_SIBL
(17,7),(17,27),-0.047263 # DEPENDENCYPART_SIBL
(17,7),(17,29),-0.0065068 # DEPENDENCYPART_SIBL
(17,9),(17,10),0.113987 # DEPENDENCYPART_SIBL
(17,9),(17,11),0.239376 # DEPENDENCYPART_SIBL
(17,9),(17,13),0.086503 # DEPENDENCYPART_SIBL
(17,9),(17,14),0.0845303 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.287261 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.124057 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0469971 # DEPENDENCYPART_SIBL
(17,9),(17,19),-0.145163 # DEPENDENCYPART_SIBL
(17,9),(17,21),-0.0401073 # DEPENDENCYPART_SIBL
(17,9),(17,22),-0.0587577 # DEPENDENCYPART_SIBL
(17,9),(17,24),-0.152136 # DEPENDENCYPART_SIBL
(17,9),(17,26),-0.035572 # DEPENDENCYPART_SIBL
(17,9),(17,27),-0.135016 # DEPENDENCYPART_SIBL
(17,9),(17,29),-0.10311 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0206098 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.0746497 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.0702636 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.269721 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.0448958 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0452653 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.0517659 # DEPENDENCYPART_SIBL
(17,10),(17,21),-3.38963e-06 # DEPENDENCYPART_SIBL
(17,10),(17,22),0.0244069 # DEPENDENCYPART_SIBL
(17,10),(17,24),-0.155607 # DEPENDENCYPART_SIBL
(17,10),(17,26),0.00299167 # DEPENDENCYPART_SIBL
(17,10),(17,27),-0.0929164 # DEPENDENCYPART_SIBL
(17,10),(17,29),-0.0157112 # DEPENDENCYPART_SIBL
(17,11),(17,13),0.111722 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.110208 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.0762044 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.807945 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.0556942 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.0789428 # DEPENDENCYPART_SIBL
(17,11),(17,21),0.0710491 # DEPENDENCYPART_SIBL
(17,11),(17,22),0.225617 # DEPENDENCYPART_SIBL
(17,11),(17,24),-0.356183 # DEPENDENCYPART_SIBL
(17,11),(17,26),0.0818376 # DEPENDENCYPART_SIBL
(17,11),(17,27),-0.048891 # DEPENDENCYPART_SIBL
(17,11),(17,29),0.0589019 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0804361 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0300181 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.427308 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.00436364 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.0517883 # DEPENDENCYPART_SIBL
(17,13),(17,21),0.00913595 # DEPENDENCYPART_SIBL
(17,13),(17,22),0.0688938 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.100704 # DEPENDENCYPART_SIBL
(17,13),(17,26),0.0153892 # DEPENDENCYPART_SIBL
(17,13),(17,27),-0.00203692 # DEPENDENCYPART_SIBL
(17,13),(17,29),-0.0043261 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.055682 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.418525 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0242958 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0535645 # DEPENDENCYPART_SIBL
(17,14),(17,21),0.0200572 # DEPENDENCYPART_SIBL
(17,14),(17,22),0.0698005 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.100101 # DEPENDENCYPART_SIBL
(17,14),(17,26),0.0263104 # DEPENDENCYPART_SIBL
(17,14),(17,27),-0.00137263 # DEPENDENCYPART_SIBL
(17,14),(17,29),-0.00605941 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.220382 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0730614 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0664408 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.00923457 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.055519 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.0619253 # DEPENDENCYPART_SIBL
(17,15),(17,26),-0.00543332 # DEPENDENCYPART_SIBL
(17,15),(17,27),-0.00811135 # DEPENDENCYPART_SIBL
(17,15),(17,29),-0.0106615 # DEPENDENCYPART_SIBL
(17,16),(17,18),8.37452e-05 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0627736 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.175378 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.289136 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.325381 # DEPENDENCYPART_SIBL
(17,16),(17,26),0.193578 # DEPENDENCYPART_SIBL
(17,16),(17,27),0.00821429 # DEPENDENCYPART_SIBL
(17,16),(17,29),0.0405756 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0849589 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.375413 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.000409533 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.0155523 # DEPENDENCYPART_SIBL
(17,18),(17,26),0.363165 # DEPENDENCYPART_SIBL
(17,18),(17,27),-0.00100331 # DEPENDENCYPART_SIBL
(17,18),(17,29),-0.0504836 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0246666 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.00653037 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.000371296 # DEPENDENCYPART_SIBL
(17,19),(17,26),0.0229285 # DEPENDENCYPART_SIBL
(17,19),(17,27),-0.0122057 # DEPENDENCYPART_SIBL
(17,19),(17,29),-0.0646624 # DEPENDENCYPART_SIBL
(17,21),(17,22),0.00828562 # DEPENDENCYPART_SIBL
(17,21),(17,24),-0.154903 # DEPENDENCYPART_SIBL
(17,21),(17,26),0.0120531 # DEPENDENCYPART_SIBL
(17,21),(17,27),0.0213837 # DEPENDENCYPART_SIBL
(17,21),(17,29),0.00850265 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.0296454 # DEPENDENCYPART_SIBL
(17,22),(17,26),0.0166573 # DEPENDENCYPART_SIBL
(17,22),(17,27),-0.0382889 # DEPENDENCYPART_SIBL
(17,22),(17,29),-0.0355988 # DEPENDENCYPART_SIBL
(17,24),(17,26),0.0411547 # DEPENDENCYPART_SIBL
(17,24),(17,27),0.0109755 # DEPENDENCYPART_SIBL
(17,24),(17,29),-0.120359 # DEPENDENCYPART_SIBL
(17,26),(17,27),0.0198705 # DEPENDENCYPART_SIBL
(17,26),(17,29),0.00457993 # DEPENDENCYPART_SIBL
(17,27),(17,29),0.0178161 # DEPENDENCYPART_SIBL
(19,2),(19,5),-0.562939 # DEPENDENCYPART_SIBL
(19,2),(19,7),-0.85997 # DEPENDENCYPART_SIBL
(19,2),(19,8),-0.899634 # DEPENDENCYPART_SIBL
(19,2),(19,9),-0.123561 # DEPENDENCYPART_SIBL
(19,2),(19,10),-0.183973 # DEPENDENCYPART_SIBL
(19,2),(19,12),-0.859967 # DEPENDENCYPART_SIBL
(19,2),(19,13),-0.251508 # DEPENDENCYPART_SIBL
(19,2),(19,14),-0.223043 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.759739 # DEPENDENCYPART_SIBL
(19,2),(19,16),-0.239728 # DEPENDENCYPART_SIBL
(19,2),(19,17),-0.859967 # DEPENDENCYPART_SIBL
(19,2),(19,18),-0.562939 # DEPENDENCYPART_SIBL
(19,2),(19,21),-0.0270513 # DEPENDENCYPART_SIBL
(19,2),(19,22),-0.000592586 # DEPENDENCYPART_SIBL
(19,2),(19,23),0.00555579 # DEPENDENCYPART_SIBL
(19,2),(19,24),-0.119159 # DEPENDENCYPART_SIBL
(19,2),(19,26),-0.022845 # DEPENDENCYPART_SIBL
(19,2),(19,27),-0.00333668 # DEPENDENCYPART_SIBL
(19,2),(19,28),-0.0340732 # DEPENDENCYPART_SIBL
(19,2),(19,29),0.0322495 # DEPENDENCYPART_SIBL
(19,2),(19,30),-0.0248938 # DEPENDENCYPART_SIBL
(19,2),(19,31),-0.0357489 # DEPENDENCYPART_SIBL
(19,2),(19,32),-0.0328291 # DEPENDENCYPART_SIBL
(19,2),(19,35),-0.0315085 # DEPENDENCYPART_SIBL
(19,2),(19,36),0.0112524 # DEPENDENCYPART_SIBL
(19,5),(19,7),-0.00397217 # DEPENDENCYPART_SIBL
(19,5),(19,8),0.0483472 # DEPENDENCYPART_SIBL
(19,5),(19,9),0.114223 # DEPENDENCYPART_SIBL
(19,5),(19,10),-0.118814 # DEPENDENCYPART_SIBL
(19,5),(19,12),-0.00396073 # DEPENDENCYPART_SIBL
(19,5),(19,13),0.0439924 # DEPENDENCYPART_SIBL
(19,5),(19,14),0.0424672 # DEPENDENCYPART_SIBL
(19,5),(19,15),0.578967 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.0698105 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.00396073 # DEPENDENCYPART_SIBL
(19,5),(19,18),-0.338032 # DEPENDENCYPART_SIBL
(19,5),(19,21),0.00750058 # DEPENDENCYPART_SIBL
(19,5),(19,22),-0.00482438 # DEPENDENCYPART_SIBL
(19,5),(19,23),0.0178319 # DEPENDENCYPART_SIBL
(19,5),(19,24),-0.0820684 # DEPENDENCYPART_SIBL
(19,5),(19,26),0.0130128 # DEPENDENCYPART_SIBL
(19,5),(19,27),-0.0598036 # DEPENDENCYPART_SIBL
(19,5),(19,28),-0.0543887 # DEPENDENCYPART_SIBL
(19,5),(19,29),0.013178 # DEPENDENCYPART_SIBL
(19,5),(19,30),-0.0762974 # DEPENDENCYPART_SIBL
(19,5),(19,31),-9.13512e-06 # DEPENDENCYPART_SIBL
(19,5),(19,32),0.000446222 # DEPENDENCYPART_SIBL
(19,5),(19,35),0.00438098 # DEPENDENCYPART_SIBL
(19,5),(19,36),-0.503511 # DEPENDENCYPART_SIBL
(19,7),(19,8),-0.899631 # DEPENDENCYPART_SIBL
(19,7),(19,9),-0.123553 # DEPENDENCYPART_SIBL
(19,7),(19,10),-0.183969 # DEPENDENCYPART_SIBL
(19,7),(19,12),-0.859963 # DEPENDENCYPART_SIBL
(19,7),(19,13),-0.251504 # DEPENDENCYPART_SIBL
(19,7),(19,14),-0.223039 # DEPENDENCYPART_SIBL
(19,7),(19,15),-0.759732 # DEPENDENCYPART_SIBL
(19,7),(19,16),-0.239725 # DEPENDENCYPART_SIBL
(19,7),(19,17),-0.859963 # DEPENDENCYPART_SIBL
(19,7),(19,18),-0.562935 # DEPENDENCYPART_SIBL
(19,7),(19,21),-0.027031 # DEPENDENCYPART_SIBL
(19,7),(19,22),-0.000582637 # DEPENDENCYPART_SIBL
(19,7),(19,23),0.00557606 # DEPENDENCYPART_SIBL
(19,7),(19,24),-0.119146 # DEPENDENCYPART_SIBL
(19,7),(19,26),-0.0228248 # DEPENDENCYPART_SIBL
(19,7),(19,27),-0.00332122 # DEPENDENCYPART_SIBL
(19,7),(19,28),-0.0340403 # DEPENDENCYPART_SIBL
(19,7),(19,29),0.0322825 # DEPENDENCYPART_SIBL
(19,7),(19,30),-0.0248783 # DEPENDENCYPART_SIBL
(19,7),(19,31),-0.0357286 # DEPENDENCYPART_SIBL
(19,7),(19,32),-0.0328136 # DEPENDENCYPART_SIBL
(19,7),(19,35),-0.0314882 # DEPENDENCYPART_SIBL
(19,7),(19,36),0.011284 # DEPENDENCYPART_SIBL
(19,8),(19,9),-0.00897788 # DEPENDENCYPART_SIBL
(19,8),(19,10),0.265027 # DEPENDENCYPART_SIBL
(19,8),(19,12),-0.151622 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.0366415 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.0133728 # DEPENDENCYPART_SIBL
(19,8),(19,15),-1.30369 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.21751 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.151622 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.654763 # DEPENDENCYPART_SIBL
(19,8),(19,21),0.00482453 # DEPENDENCYPART_SIBL
(19,8),(19,22),-0.0780405 # DEPENDENCYPART_SIBL
(19,8),(19,23),0.0498829 # DEPENDENCYPART_SIBL
(19,8),(19,24),-0.0390222 # DEPENDENCYPART_SIBL
(19,8),(19,26),0.00738679 # DEPENDENCYPART_SIBL
(19,8),(19,27),0.0373035 # DEPENDENCYPART_SIBL
(19,8),(19,28),-0.0689771 # DEPENDENCYPART_SIBL
(19,8),(19,29),0.00169587 # DEPENDENCYPART_SIBL
(19,8),(19,30),0.00668013 # DEPENDENCYPART_SIBL
(19,8),(19,31),-0.0103689 # DEPENDENCYPART_SIBL
(19,8),(19,32),0.0367313 # DEPENDENCYPART_SIBL
(19,8),(19,35),0.00113998 # DEPENDENCYPART_SIBL
(19,8),(19,36),-0.490389 # DEPENDENCYPART_SIBL
(19,9),(19,10),0.0888568 # DEPENDENCYPART_SIBL
(19,9),(19,12),-0.057881 # DEPENDENCYPART_SIBL
(19,9),(19,13),-0.0570431 # DEPENDENCYPART_SIBL
(19,9),(19,14),-0.0445837 # DEPENDENCYPART_SIBL
(19,9),(19,15),-0.358035 # DEPENDENCYPART_SIBL
(19,9),(19,16),-0.0874606 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.057881 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.168741 # DEPENDENCYPART_SIBL
(19,9),(19,21),-0.0627402 # DEPENDENCYPART_SIBL
(19,9),(19,22),-0.162392 # DEPENDENCYPART_SIBL
(19,9),(19,23),-0.0461617 # DEPENDENCYPART_SIBL
(19,9),(19,24),-0.191917 # DEPENDENCYPART_SIBL
(19,9),(19,26),-0.05857 # DEPENDENCYPART_SIBL
(19,9),(19,27),-0.0611424 # DEPENDENCYPART_SIBL
(19,9),(19,28),-0.0577317 # DEPENDENCYPART_SIBL
(19,9),(19,29),0.0106983 # DEPENDENCYPART_SIBL
(19,9),(19,30),-0.0835048 # DEPENDENCYPART_SIBL
(19,9),(19,31),-0.0751512 # DEPENDENCYPART_SIBL
(19,9),(19,32),-0.101648 # DEPENDENCYPART_SIBL
(19,9),(19,35),-0.0663344 # DEPENDENCYPART_SIBL
(19,9),(19,36),-0.0260675 # DEPENDENCYPART_SIBL
(19,10),(19,12),-0.0514055 # DEPENDENCYPART_SIBL
(19,10),(19,13),-0.0593672 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.0343775 # DEPENDENCYPART_SIBL
(19,10),(19,15),-0.170715 # DEPENDENCYPART_SIBL
(19,10),(19,16),-0.10448 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.0514043 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.327386 # DEPENDENCYPART_SIBL
(19,10),(19,21),-0.119676 # DEPENDENCYPART_SIBL
(19,10),(19,22),-0.0540206 # DEPENDENCYPART_SIBL
(19,10),(19,23),-0.119019 # DEPENDENCYPART_SIBL
(19,10),(19,24),-0.113108 # DEPENDENCYPART_SIBL
(19,10),(19,26),-0.116552 # DEPENDENCYPART_SIBL
(19,10),(19,27),-0.0270161 # DEPENDENCYPART_SIBL
(19,10),(19,28),-0.022106 # DEPENDENCYPART_SIBL
(19,10),(19,29),0.0165298 # DEPENDENCYPART_SIBL
(19,10),(19,30),-0.0472261 # DEPENDENCYPART_SIBL
(19,10),(19,31),-0.133251 # DEPENDENCYPART_SIBL
(19,10),(19,32),-0.0627868 # DEPENDENCYPART_SIBL
(19,10),(19,35),-0.130153 # DEPENDENCYPART_SIBL
(19,10),(19,36),0.0143836 # DEPENDENCYPART_SIBL
(19,12),(19,13),-0.251505 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.22304 # DEPENDENCYPART_SIBL
(19,12),(19,15),-0.759734 # DEPENDENCYPART_SIBL
(19,12),(19,16),-0.239726 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.859964 # DEPENDENCYPART_SIBL
(19,12),(19,18),-0.562936 # DEPENDENCYPART_SIBL
(19,12),(19,21),-0.0270259 # DEPENDENCYPART_SIBL
(19,12),(19,22),-0.000573857 # DEPENDENCYPART_SIBL
(19,12),(19,23),0.00558116 # DEPENDENCYPART_SIBL
(19,12),(19,24),-0.119138 # DEPENDENCYPART_SIBL
(19,12),(19,26),-0.0228197 # DEPENDENCYPART_SIBL
(19,12),(19,27),-0.00332011 # DEPENDENCYPART_SIBL
(19,12),(19,28),-0.0340297 # DEPENDENCYPART_SIBL
(19,12),(19,29),0.0322931 # DEPENDENCYPART_SIBL
(19,12),(19,30),-0.0248772 # DEPENDENCYPART_SIBL
(19,12),(19,31),-0.0357235 # DEPENDENCYPART_SIBL
(19,12),(19,32),-0.0328083 # DEPENDENCYPART_SIBL
(19,12),(19,35),-0.0314831 # DEPENDENCYPART_SIBL
(19,12),(19,36),0.0112925 # DEPENDENCYPART_SIBL
(19,13),(19,14),-0.00553691 # DEPENDENCYPART_SIBL
(19,13),(19,15),-0.298258 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.202123 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.0670879 # DEPENDENCYPART_SIBL
(19,13),(19,18),-0.198229 # DEPENDENCYPART_SIBL
(19,13),(19,21),-0.0380615 # DEPENDENCYPART_SIBL
(19,13),(19,22),-0.101649 # DEPENDENCYPART_SIBL
(19,13),(19,23),-0.0273378 # DEPENDENCYPART_SIBL
(19,13),(19,24),-0.133991 # DEPENDENCYPART_SIBL
(19,13),(19,26),-0.0334653 # DEPENDENCYPART_SIBL
(19,13),(19,27),-0.0903494 # DEPENDENCYPART_SIBL
(19,13),(19,28),-0.0478607 # DEPENDENCYPART_SIBL
(19,13),(19,29),-0.00646865 # DEPENDENCYPART_SIBL
(19,13),(19,30),-0.108483 # DEPENDENCYPART_SIBL
(19,13),(19,31),-0.0455909 # DEPENDENCYPART_SIBL
(19,13),(19,32),-0.0777552 # DEPENDENCYPART_SIBL
(19,13),(19,35),-0.0411993 # DEPENDENCYPART_SIBL
(19,13),(19,36),-0.0312743 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.342079 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.195985 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.0581269 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.184446 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.0219077 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.067592 # DEPENDENCYPART_SIBL
(19,14),(19,23),0.0326002 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.0982254 # DEPENDENCYPART_SIBL
(19,14),(19,26),0.026504 # DEPENDENCYPART_SIBL
(19,14),(19,27),-0.058127 # DEPENDENCYPART_SIBL
(19,14),(19,28),-0.0202185 # DEPENDENCYPART_SIBL
(19,14),(19,29),0.0211735 # DEPENDENCYPART_SIBL
(19,14),(19,30),-0.0762605 # DEPENDENCYPART_SIBL
(19,14),(19,31),0.0143783 # DEPENDENCYPART_SIBL
(19,14),(19,32),-0.0474482 # DEPENDENCYPART_SIBL
(19,14),(19,35),0.01877 # DEPENDENCYPART_SIBL
(19,14),(19,36),0.0481191 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.168566 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.0531745 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.647476 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.0854896 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.0217463 # DEPENDENCYPART_SIBL
(19,15),(19,23),0.100766 # DEPENDENCYPART_SIBL
(19,15),(19,24),-0.0161852 # DEPENDENCYPART_SIBL
(19,15),(19,26),0.0882018 # DEPENDENCYPART_SIBL
(19,15),(19,27),0.066696 # DEPENDENCYPART_SIBL
(19,15),(19,28),0.0100553 # DEPENDENCYPART_SIBL
(19,15),(19,29),0.0635173 # DEPENDENCYPART_SIBL
(19,15),(19,30),0.026465 # DEPENDENCYPART_SIBL
(19,15),(19,31),0.063717 # DEPENDENCYPART_SIBL
(19,15),(19,32),-0.0528638 # DEPENDENCYPART_SIBL
(19,15),(19,35),0.082351 # DEPENDENCYPART_SIBL
(19,15),(19,36),-0.529001 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0819424 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.161738 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.0488456 # DEPENDENCYPART_SIBL
(19,16),(19,22),0.0230031 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0384447 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.308886 # DEPENDENCYPART_SIBL
(19,16),(19,26),-0.0384507 # DEPENDENCYPART_SIBL
(19,16),(19,27),-0.0571457 # DEPENDENCYPART_SIBL
(19,16),(19,28),-0.122359 # DEPENDENCYPART_SIBL
(19,16),(19,29),-0.0774563 # DEPENDENCYPART_SIBL
(19,16),(19,30),-0.0731321 # DEPENDENCYPART_SIBL
(19,16),(19,31),-0.0563751 # DEPENDENCYPART_SIBL
(19,16),(19,32),-0.107315 # DEPENDENCYPART_SIBL
(19,16),(19,35),-0.0513193 # DEPENDENCYPART_SIBL
(19,16),(19,36),-0.0479126 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.562935 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0270169 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.000562032 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.00559019 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.119129 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.0228106 # DEPENDENCYPART_SIBL
(19,17),(19,27),-0.00330816 # DEPENDENCYPART_SIBL
(19,17),(19,28),-0.0340199 # DEPENDENCYPART_SIBL
(19,17),(19,29),0.0323028 # DEPENDENCYPART_SIBL
(19,17),(19,30),-0.0248653 # DEPENDENCYPART_SIBL
(19,17),(19,31),-0.0357145 # DEPENDENCYPART_SIBL
(19,17),(19,32),-0.0328006 # DEPENDENCYPART_SIBL
(19,17),(19,35),-0.0314741 # DEPENDENCYPART_SIBL
(19,17),(19,36),0.0113086 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.00750058 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.00482438 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.0178319 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.0820684 # DEPENDENCYPART_SIBL
(19,18),(19,26),0.0130128 # DEPENDENCYPART_SIBL
(19,18),(19,27),-0.0598036 # DEPENDENCYPART_SIBL
(19,18),(19,28),-0.0543887 # DEPENDENCYPART_SIBL
(19,18),(19,29),0.013178 # DEPENDENCYPART_SIBL
(19,18),(19,30),-0.0762974 # DEPENDENCYPART_SIBL
(19,18),(19,31),-9.13512e-06 # DEPENDENCYPART_SIBL
(19,18),(19,32),0.000446222 # DEPENDENCYPART_SIBL
(19,18),(19,35),0.00438098 # DEPENDENCYPART_SIBL
(19,18),(19,36),-0.503511 # DEPENDENCYPART_SIBL
