# _root_ Per_tant , els que se sentin posseïts per aquesta tendència es mereixen tota la comprensió i el respecte , però l' han de dominar i no exercir -la en actes concrets .
#goldHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
#predictedHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
(6,23),(6,27),-0.0239554 # DEPENDENCYPART_SIBL
(6,23),(6,29),-0.159521 # DEPENDENCYPART_SIBL
(6,23),(6,32),-0.00469466 # DEPENDENCYPART_SIBL
(6,24),(6,25),0.0203319 # DEPENDENCYPART_SIBL
(6,24),(6,27),-0.0221789 # DEPENDENCYPART_SIBL
(6,24),(6,29),0.0329437 # DEPENDENCYPART_SIBL
(6,24),(6,32),0.0179071 # DEPENDENCYPART_SIBL
(6,25),(6,27),0.677138 # DEPENDENCYPART_SIBL
(6,25),(6,29),0.0185719 # DEPENDENCYPART_SIBL
(6,25),(6,32),0.0224112 # DEPENDENCYPART_SIBL
(6,27),(6,29),0.041538 # DEPENDENCYPART_SIBL
(6,27),(6,32),0.0341276 # DEPENDENCYPART_SIBL
(6,29),(6,32),0.0212357 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.00492934 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.121583 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.154588 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0275144 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0318088 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0280946 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0325926 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.0300761 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0370887 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.0322266 # DEPENDENCYPART_SIBL
(7,1),(7,23),0.00290142 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.0312563 # DEPENDENCYPART_SIBL
(7,1),(7,25),0.0325926 # DEPENDENCYPART_SIBL
(7,1),(7,27),-0.033649 # DEPENDENCYPART_SIBL
(7,1),(7,29),-0.0766303 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.101412 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.10907 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.138146 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0685028 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.131017 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.00768002 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.120339 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.643893 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.0790057 # DEPENDENCYPART_SIBL
(7,2),(7,23),0.189864 # DEPENDENCYPART_SIBL
(7,2),(7,24),0.0646026 # DEPENDENCYPART_SIBL
(7,2),(7,25),-0.00768002 # DEPENDENCYPART_SIBL
(7,2),(7,27),0.0701144 # DEPENDENCYPART_SIBL
(7,2),(7,29),0.10573 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0313273 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.12503 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.188187 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.124051 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.114724 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.129317 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.075733 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.0823591 # DEPENDENCYPART_SIBL
(7,3),(7,23),0.380634 # DEPENDENCYPART_SIBL
(7,3),(7,24),0.19118 # DEPENDENCYPART_SIBL
(7,3),(7,25),0.114724 # DEPENDENCYPART_SIBL
(7,3),(7,27),0.194812 # DEPENDENCYPART_SIBL
(7,3),(7,29),0.122353 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0297047 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0686353 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0323301 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.154141 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0403466 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.224296 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.13394 # DEPENDENCYPART_SIBL
(7,8),(7,23),-0.135643 # DEPENDENCYPART_SIBL
(7,8),(7,24),0.0709578 # DEPENDENCYPART_SIBL
(7,8),(7,25),0.154141 # DEPENDENCYPART_SIBL
(7,8),(7,27),0.0631309 # DEPENDENCYPART_SIBL
(7,8),(7,29),0.0445064 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0256085 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.133529 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.10142 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.139374 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.0949761 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.000264389 # DEPENDENCYPART_SIBL
(7,10),(7,23),0.0238258 # DEPENDENCYPART_SIBL
(7,10),(7,24),-0.0350576 # DEPENDENCYPART_SIBL
(7,10),(7,25),0.10142 # DEPENDENCYPART_SIBL
(7,10),(7,27),-0.031206 # DEPENDENCYPART_SIBL
(7,10),(7,29),0.105962 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0228518 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0919554 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0228604 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.0978851 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.00242576 # DEPENDENCYPART_SIBL
(7,12),(7,23),0.0298105 # DEPENDENCYPART_SIBL
(7,12),(7,24),-0.0970381 # DEPENDENCYPART_SIBL
(7,12),(7,25),0.0919554 # DEPENDENCYPART_SIBL
(7,12),(7,27),-0.0981482 # DEPENDENCYPART_SIBL
(7,12),(7,29),0.0685351 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.102088 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.137504 # DEPENDENCYPART_SIBL
(7,15),(7,19),0.0793114 # DEPENDENCYPART_SIBL
(7,15),(7,20),0.00287319 # DEPENDENCYPART_SIBL
(7,15),(7,23),0.0626325 # DEPENDENCYPART_SIBL
(7,15),(7,24),-0.0375476 # DEPENDENCYPART_SIBL
(7,15),(7,25),0.102088 # DEPENDENCYPART_SIBL
(7,15),(7,27),-0.0336959 # DEPENDENCYPART_SIBL
(7,15),(7,29),0.141413 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.331316 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.00211147 # DEPENDENCYPART_SIBL
(7,16),(7,20),-0.0889376 # DEPENDENCYPART_SIBL
(7,16),(7,23),0.632127 # DEPENDENCYPART_SIBL
(7,16),(7,24),0.386729 # DEPENDENCYPART_SIBL
(7,16),(7,25),-0.242227 # DEPENDENCYPART_SIBL
(7,16),(7,27),0.3934 # DEPENDENCYPART_SIBL
(7,16),(7,29),0.392698 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.0841711 # DEPENDENCYPART_SIBL
(7,18),(7,20),0.00271754 # DEPENDENCYPART_SIBL
(7,18),(7,23),0.0424652 # DEPENDENCYPART_SIBL
(7,18),(7,24),-0.035543 # DEPENDENCYPART_SIBL
(7,18),(7,25),0.106242 # DEPENDENCYPART_SIBL
(7,18),(7,27),-0.0316914 # DEPENDENCYPART_SIBL
(7,18),(7,29),0.125744 # DEPENDENCYPART_SIBL
(7,19),(7,20),0.234733 # DEPENDENCYPART_SIBL
(7,19),(7,23),0.0436897 # DEPENDENCYPART_SIBL
(7,19),(7,24),-0.00570493 # DEPENDENCYPART_SIBL
(7,19),(7,25),0.331727 # DEPENDENCYPART_SIBL
(7,19),(7,27),-0.0113226 # DEPENDENCYPART_SIBL
(7,19),(7,29),-0.00699155 # DEPENDENCYPART_SIBL
(7,20),(7,23),0.438807 # DEPENDENCYPART_SIBL
(7,20),(7,24),0.365184 # DEPENDENCYPART_SIBL
(7,20),(7,25),-0.0853851 # DEPENDENCYPART_SIBL
(7,20),(7,27),0.368475 # DEPENDENCYPART_SIBL
(7,20),(7,29),0.273671 # DEPENDENCYPART_SIBL
(7,23),(7,24),0.00335207 # DEPENDENCYPART_SIBL
(7,23),(7,25),0.0935846 # DEPENDENCYPART_SIBL
(7,23),(7,27),-0.00635313 # DEPENDENCYPART_SIBL
(7,23),(7,29),-0.121376 # DEPENDENCYPART_SIBL
(7,24),(7,25),0.0932553 # DEPENDENCYPART_SIBL
(7,24),(7,27),-0.0975587 # DEPENDENCYPART_SIBL
(7,24),(7,29),0.0685355 # DEPENDENCYPART_SIBL
(7,25),(7,27),0.3934 # DEPENDENCYPART_SIBL
(7,25),(7,29),0.392698 # DEPENDENCYPART_SIBL
(7,27),(7,29),0.0681188 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.15288 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.185676 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.121618 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0902716 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.120636 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.159668 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.147356 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.132601 # DEPENDENCYPART_SIBL
(8,3),(8,25),0.159668 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.138575 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.116488 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0090784 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.120164 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.00717064 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.0997707 # DEPENDENCYPART_SIBL
(8,6),(8,23),-0.029356 # DEPENDENCYPART_SIBL
(8,6),(8,25),0.00717064 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0906619 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0787019 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0927868 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0910667 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.164868 # DEPENDENCYPART_SIBL
(8,7),(8,23),0.0181128 # DEPENDENCYPART_SIBL
(8,7),(8,25),0.0910667 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.500741 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.867152 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.0838006 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.00825879 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.170151 # DEPENDENCYPART_SIBL
(8,10),(8,25),0.0838006 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.410007 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0272466 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.0405892 # DEPENDENCYPART_SIBL
(8,12),(8,23),-0.232639 # DEPENDENCYPART_SIBL
(8,12),(8,25),0.0272466 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.106436 # DEPENDENCYPART_SIBL
(8,15),(8,20),0.0168146 # DEPENDENCYPART_SIBL
(8,15),(8,23),-0.101558 # DEPENDENCYPART_SIBL
(8,15),(8,25),0.106436 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.0284824 # DEPENDENCYPART_SIBL
(8,16),(8,23),0.933048 # DEPENDENCYPART_SIBL
(8,16),(8,25),-0.314241 # DEPENDENCYPART_SIBL
(8,20),(8,23),0.56782 # DEPENDENCYPART_SIBL
(8,20),(8,25),-0.152903 # DEPENDENCYPART_SIBL
(8,23),(8,25),0.0119394 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.206173 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0310505 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0712186 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.104728 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0075665 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0398822 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0215231 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.046323 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0868444 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0402787 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.205822 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.111658 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0371815 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.04237 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0396376 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.08894 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.339295 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.00568405 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0047796 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.00564819 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.00924618 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0271583 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0110478 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0630794 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0471106 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.0683579 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.04966 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.119618 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0338522 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.105102 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0193713 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0550017 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.0207203 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0129322 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0160506 # DEPENDENCYPART_SIBL
(10,16),(10,18),0.574266 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.208525 # DEPENDENCYPART_SIBL
(12,1),(12,3),0.0149447 # DEPENDENCYPART_SIBL
(12,1),(12,4),-0.23729 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.0913104 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.00665349 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.00556637 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.00997699 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0416903 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.213488 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.0124894 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.0329509 # DEPENDENCYPART_SIBL
(12,1),(12,18),-0.0168132 # DEPENDENCYPART_SIBL
(12,1),(12,19),-0.0094555 # DEPENDENCYPART_SIBL
(12,1),(12,20),0.0963879 # DEPENDENCYPART_SIBL
(12,1),(12,21),0.0551684 # DEPENDENCYPART_SIBL
(12,1),(12,22),-0.00483685 # DEPENDENCYPART_SIBL
(12,1),(12,23),0.0367395 # DEPENDENCYPART_SIBL
(12,1),(12,24),0.04137 # DEPENDENCYPART_SIBL
(12,1),(12,25),0.0329509 # DEPENDENCYPART_SIBL
(12,1),(12,27),0.0498422 # DEPENDENCYPART_SIBL
(12,1),(12,29),0.0443106 # DEPENDENCYPART_SIBL
(12,1),(12,31),0.0345538 # DEPENDENCYPART_SIBL
(12,1),(12,32),0.0395718 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.0780185 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.157967 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.11006 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0181672 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.180955 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.010614 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0243817 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0919236 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.00330047 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.024356 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0264942 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.198496 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.0326156 # DEPENDENCYPART_SIBL
(12,2),(12,21),0.0124403 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.062198 # DEPENDENCYPART_SIBL
(12,2),(12,23),-0.0112482 # DEPENDENCYPART_SIBL
(12,2),(12,24),-0.0130216 # DEPENDENCYPART_SIBL
(12,2),(12,25),-0.024356 # DEPENDENCYPART_SIBL
(12,2),(12,27),0.00894774 # DEPENDENCYPART_SIBL
(12,2),(12,29),-0.0267866 # DEPENDENCYPART_SIBL
(12,2),(12,31),-0.017927 # DEPENDENCYPART_SIBL
(12,2),(12,32),-0.475344 # DEPENDENCYPART_SIBL
(12,3),(12,4),0.43443 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.0232684 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0542737 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0362464 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.32775 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0270122 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.303826 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0111721 # DEPENDENCYPART_SIBL
(12,3),(12,16),0.0477441 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.0138046 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.0973516 # DEPENDENCYPART_SIBL
(12,3),(12,20),0.0195147 # DEPENDENCYPART_SIBL
(12,3),(12,21),-0.0118019 # DEPENDENCYPART_SIBL
(12,3),(12,22),-0.0777761 # DEPENDENCYPART_SIBL
(12,3),(12,23),0.0687399 # DEPENDENCYPART_SIBL
(12,3),(12,24),-0.0122726 # DEPENDENCYPART_SIBL
(12,3),(12,25),0.0477441 # DEPENDENCYPART_SIBL
(12,3),(12,27),0.000934043 # DEPENDENCYPART_SIBL
(12,3),(12,29),-0.0443564 # DEPENDENCYPART_SIBL
(12,3),(12,31),-0.0351641 # DEPENDENCYPART_SIBL
(12,3),(12,32),-0.10711 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.248261 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.0964131 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.150121 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.0778793 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0507526 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.27426 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.000954974 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0123732 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.00548226 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.0617486 # DEPENDENCYPART_SIBL
(12,4),(12,20),-0.0593275 # DEPENDENCYPART_SIBL
(12,4),(12,21),-0.00383741 # DEPENDENCYPART_SIBL
(12,4),(12,22),-0.045403 # DEPENDENCYPART_SIBL
(12,4),(12,23),-0.022073 # DEPENDENCYPART_SIBL
(12,4),(12,24),0.0052449 # DEPENDENCYPART_SIBL
(12,4),(12,25),-0.0123732 # DEPENDENCYPART_SIBL
(12,4),(12,27),0.01899 # DEPENDENCYPART_SIBL
(12,4),(12,29),0.123211 # DEPENDENCYPART_SIBL
(12,4),(12,31),-0.0161418 # DEPENDENCYPART_SIBL
(12,4),(12,32),-0.482088 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.0471224 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.136795 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0546713 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.0194049 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.13065 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.0263952 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0223031 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.0487724 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.0580139 # DEPENDENCYPART_SIBL
(12,6),(12,20),0.0293971 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.0105712 # DEPENDENCYPART_SIBL
(12,6),(12,22),-0.072607 # DEPENDENCYPART_SIBL
(12,6),(12,23),-0.058917 # DEPENDENCYPART_SIBL
(12,6),(12,24),-0.0203014 # DEPENDENCYPART_SIBL
(12,6),(12,25),-0.0223031 # DEPENDENCYPART_SIBL
(12,6),(12,27),-0.00252 # DEPENDENCYPART_SIBL
(12,6),(12,29),0.00386477 # DEPENDENCYPART_SIBL
(12,6),(12,31),-0.0185513 # DEPENDENCYPART_SIBL
(12,6),(12,32),0.0230596 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0653097 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.184376 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.030275 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.111374 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.033027 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0110219 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.041599 # DEPENDENCYPART_SIBL
(12,7),(12,19),-0.0233214 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.00680122 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.0359281 # DEPENDENCYPART_SIBL
(12,7),(12,22),-0.0439379 # DEPENDENCYPART_SIBL
(12,7),(12,23),-0.0740294 # DEPENDENCYPART_SIBL
(12,7),(12,24),-0.00419639 # DEPENDENCYPART_SIBL
(12,7),(12,25),-0.0110219 # DEPENDENCYPART_SIBL
(12,7),(12,27),0.00538263 # DEPENDENCYPART_SIBL
(12,7),(12,29),-0.0292452 # DEPENDENCYPART_SIBL
(12,7),(12,31),-0.0498697 # DEPENDENCYPART_SIBL
(12,7),(12,32),-0.00642017 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0820849 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0109536 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.197081 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0309241 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.005337 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.0239646 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0370782 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.00770747 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.00328683 # DEPENDENCYPART_SIBL
(12,8),(12,22),-0.045096 # DEPENDENCYPART_SIBL
(12,8),(12,23),-0.0189059 # DEPENDENCYPART_SIBL
(12,8),(12,24),0.00113119 # DEPENDENCYPART_SIBL
(12,8),(12,25),-0.005337 # DEPENDENCYPART_SIBL
(12,8),(12,27),0.00896892 # DEPENDENCYPART_SIBL
(12,8),(12,29),-0.0752325 # DEPENDENCYPART_SIBL
(12,8),(12,31),-0.00468579 # DEPENDENCYPART_SIBL
(12,8),(12,32),0.00159327 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0153398 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.293639 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0751445 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0355588 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.077777 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.039246 # DEPENDENCYPART_SIBL
(12,9),(12,20),-0.0402236 # DEPENDENCYPART_SIBL
(12,9),(12,21),0.00363519 # DEPENDENCYPART_SIBL
(12,9),(12,22),-0.129677 # DEPENDENCYPART_SIBL
(12,9),(12,23),-0.0426765 # DEPENDENCYPART_SIBL
(12,9),(12,24),-0.073098 # DEPENDENCYPART_SIBL
(12,9),(12,25),-0.0355588 # DEPENDENCYPART_SIBL
(12,9),(12,27),-0.0594442 # DEPENDENCYPART_SIBL
(12,9),(12,29),-0.0903894 # DEPENDENCYPART_SIBL
(12,9),(12,31),-0.0186931 # DEPENDENCYPART_SIBL
(12,9),(12,32),-0.0495626 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.206121 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0226189 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.00695643 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0367794 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0398999 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.0358414 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.0207764 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.0528125 # DEPENDENCYPART_SIBL
(12,10),(12,23),-0.00836064 # DEPENDENCYPART_SIBL
(12,10),(12,24),0.00176524 # DEPENDENCYPART_SIBL
(12,10),(12,25),0.00695643 # DEPENDENCYPART_SIBL
(12,10),(12,27),0.0117985 # DEPENDENCYPART_SIBL
(12,10),(12,29),0.018734 # DEPENDENCYPART_SIBL
(12,10),(12,31),-0.0142803 # DEPENDENCYPART_SIBL
(12,10),(12,32),0.0112826 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.236969 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0406696 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.239222 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.03424 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.0401261 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.0593193 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.047053 # DEPENDENCYPART_SIBL
(12,11),(12,23),0.0538362 # DEPENDENCYPART_SIBL
(12,11),(12,24),-0.00240635 # DEPENDENCYPART_SIBL
(12,11),(12,25),0.0406696 # DEPENDENCYPART_SIBL
(12,11),(12,27),0.0066489 # DEPENDENCYPART_SIBL
(12,11),(12,29),0.0962254 # DEPENDENCYPART_SIBL
(12,11),(12,31),-0.0711502 # DEPENDENCYPART_SIBL
(12,11),(12,32),0.0846598 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0322415 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.27628 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0380836 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.0370144 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.14335 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.105855 # DEPENDENCYPART_SIBL
(12,15),(12,23),-0.0702292 # DEPENDENCYPART_SIBL
(12,15),(12,24),-0.0561056 # DEPENDENCYPART_SIBL
(12,15),(12,25),-0.0322415 # DEPENDENCYPART_SIBL
(12,15),(12,27),-0.0449024 # DEPENDENCYPART_SIBL
(12,15),(12,29),0.0555932 # DEPENDENCYPART_SIBL
(12,15),(12,31),-0.0525544 # DEPENDENCYPART_SIBL
(12,15),(12,32),-0.0405539 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.200882 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.0455435 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.199528 # DEPENDENCYPART_SIBL
(12,16),(12,21),0.25862 # DEPENDENCYPART_SIBL
