# _root_ Aquesta iniciativa , que analitzarà el directori de l' FMI , neix de l' experiència i dels resultats de les liberalitzacions totals .
#goldHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
#predictedHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
(8,6),(8,13),0.137842 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.00509551 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.162698 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.137842 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0470008 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.435797 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0655503 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.0549711 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.00439455 # DEPENDENCYPART_SIBL
(8,10),(8,19),0.0655503 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.021035 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.738547 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.161869 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.670343 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.738547 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.120658 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.178195 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.100156 # DEPENDENCYPART_SIBL
(8,12),(8,19),0.120658 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.184756 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.055052 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.0224586 # DEPENDENCYPART_SIBL
(8,16),(8,17),1.10126 # DEPENDENCYPART_SIBL
(8,16),(8,19),1.23827 # DEPENDENCYPART_SIBL
(8,17),(8,19),0.0393336 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.172339 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0906436 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0245982 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0744818 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.00506647 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.00200324 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0478908 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.0478908 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0891518 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.118336 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.121995 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0474903 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.105558 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0427216 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0427216 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.148172 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.874664 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0278478 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.00848908 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.3849 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.3849 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0474037 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0509081 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0135658 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0403866 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0403866 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0201596 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0404182 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.311496 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.311496 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.046348 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0421194 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0421194 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0464684 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.0464684 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.0364845 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.50784 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.725571 # DEPENDENCYPART_SIBL
(12,2),(12,5),-9.94523e-05 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.185033 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.753718 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0194955 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.151544 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.760915 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.50784 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0488246 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0547054 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0372368 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0431118 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0322923 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.0488246 # DEPENDENCYPART_SIBL
(12,2),(12,21),-0.0637154 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.0333437 # DEPENDENCYPART_SIBL
(12,2),(12,23),-0.0187881 # DEPENDENCYPART_SIBL
(12,3),(12,4),0.135611 # DEPENDENCYPART_SIBL
(12,3),(12,5),0.102848 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.0948311 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0165405 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.0038989 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.0627756 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.00391486 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.377912 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0232412 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.0149079 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0382019 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.0250967 # DEPENDENCYPART_SIBL
(12,3),(12,18),0.0306405 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.0232412 # DEPENDENCYPART_SIBL
(12,3),(12,21),-0.022228 # DEPENDENCYPART_SIBL
(12,3),(12,22),-0.0293555 # DEPENDENCYPART_SIBL
(12,3),(12,23),-0.517775 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.24959 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.014043 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.0387101 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.488034 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.048704 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0249641 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.49081 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0146175 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0110631 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.013533 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.0302773 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.0282306 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.0146175 # DEPENDENCYPART_SIBL
(12,4),(12,21),-0.00655235 # DEPENDENCYPART_SIBL
(12,4),(12,22),0.00406369 # DEPENDENCYPART_SIBL
(12,4),(12,23),-0.510792 # DEPENDENCYPART_SIBL
(12,5),(12,6),-0.0744857 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0216165 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.22282 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0474784 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.0288937 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.15323 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0461443 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0302386 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.0213104 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.0924144 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.0287927 # DEPENDENCYPART_SIBL
(12,5),(12,19),-0.0461443 # DEPENDENCYPART_SIBL
(12,5),(12,21),-0.028224 # DEPENDENCYPART_SIBL
(12,5),(12,22),-0.00545624 # DEPENDENCYPART_SIBL
(12,5),(12,23),0.0185403 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.0152628 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.0676333 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.364702 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.0224598 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0924931 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0971486 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.0128663 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0131183 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.0666661 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.0261183 # DEPENDENCYPART_SIBL
(12,6),(12,19),0.0971486 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.0102471 # DEPENDENCYPART_SIBL
(12,6),(12,22),0.0321088 # DEPENDENCYPART_SIBL
(12,6),(12,23),-0.130766 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0114396 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.145667 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.750154 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.505123 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0256283 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0420919 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.00104441 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.0197436 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.0196788 # DEPENDENCYPART_SIBL
(12,7),(12,19),-0.0256283 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.0511019 # DEPENDENCYPART_SIBL
(12,7),(12,22),-0.0258898 # DEPENDENCYPART_SIBL
(12,7),(12,23),-0.022357 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.085348 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.040984 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.348159 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0246088 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0829777 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.00935362 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.068002 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.0624234 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0246088 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.090142 # DEPENDENCYPART_SIBL
(12,8),(12,22),-0.0771231 # DEPENDENCYPART_SIBL
(12,8),(12,23),-0.0207901 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0813182 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.189527 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0720893 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0856482 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.165245 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.00712561 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0470648 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.0720893 # DEPENDENCYPART_SIBL
(12,9),(12,21),-0.0830589 # DEPENDENCYPART_SIBL
(12,9),(12,22),-0.0667776 # DEPENDENCYPART_SIBL
(12,9),(12,23),-0.102434 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.502772 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0230974 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0395535 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.00150103 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0172127 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0171405 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0230974 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.0485636 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.0233438 # DEPENDENCYPART_SIBL
(12,10),(12,23),-0.0170815 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0232412 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0149079 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0382019 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0250967 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.0306405 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0232412 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.022228 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.0293555 # DEPENDENCYPART_SIBL
(12,11),(12,23),-0.517775 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0809434 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0128655 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.289299 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0618811 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.221452 # DEPENDENCYPART_SIBL
(12,13),(12,21),-0.0839987 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.129586 # DEPENDENCYPART_SIBL
(12,13),(12,23),-0.0449899 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0621163 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0861993 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.243353 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.00341724 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.244774 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.0267898 # DEPENDENCYPART_SIBL
(12,15),(12,23),-0.00612393 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.0634029 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.209231 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.131887 # DEPENDENCYPART_SIBL
(12,16),(12,21),0.18964 # DEPENDENCYPART_SIBL
(12,16),(12,22),0.115848 # DEPENDENCYPART_SIBL
(12,16),(12,23),0.00285086 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.0538794 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.224966 # DEPENDENCYPART_SIBL
(12,17),(12,21),-0.0689687 # DEPENDENCYPART_SIBL
(12,17),(12,22),-0.105057 # DEPENDENCYPART_SIBL
(12,17),(12,23),-0.0977101 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.126515 # DEPENDENCYPART_SIBL
(12,18),(12,21),-0.287754 # DEPENDENCYPART_SIBL
(12,18),(12,22),-0.0684701 # DEPENDENCYPART_SIBL
(12,18),(12,23),-0.0776505 # DEPENDENCYPART_SIBL
(12,19),(12,21),-0.0839987 # DEPENDENCYPART_SIBL
(12,19),(12,22),-0.129586 # DEPENDENCYPART_SIBL
(12,19),(12,23),-0.0449899 # DEPENDENCYPART_SIBL
(12,21),(12,22),-0.0564232 # DEPENDENCYPART_SIBL
(12,21),(12,23),-0.0538858 # DEPENDENCYPART_SIBL
(12,22),(12,23),-0.0299052 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.142745 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.210891 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.23119 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.0912046 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0102891 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0242895 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.114965 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0205493 # DEPENDENCYPART_SIBL
(13,5),(13,23),0.15536 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.339891 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0546092 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.094116 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0687177 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0667136 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.10382 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0476881 # DEPENDENCYPART_SIBL
(13,11),(13,23),-0.153666 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.231173 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0882826 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0106266 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0263474 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.112043 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0241695 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.149728 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.150272 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0299498 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0502025 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.149529 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.052466 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.00893669 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.139094 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0594227 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.897043 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.140263 # DEPENDENCYPART_SIBL
(13,15),(13,23),0.0554986 # DEPENDENCYPART_SIBL
(13,16),(13,17),1.10126 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.251899 # DEPENDENCYPART_SIBL
(13,16),(13,19),1.23827 # DEPENDENCYPART_SIBL
(13,16),(13,23),0.0293292 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0374088 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0393336 # DEPENDENCYPART_SIBL
(13,17),(13,23),0.178735 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0173049 # DEPENDENCYPART_SIBL
(13,18),(13,23),-0.0237268 # DEPENDENCYPART_SIBL
(13,19),(13,23),0.165943 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0327375 # DEPENDENCYPART_SIBL
(15,2),(15,5),0.172238 # DEPENDENCYPART_SIBL
(15,2),(15,8),0.0244209 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.0736222 # DEPENDENCYPART_SIBL
(15,2),(15,11),0.0636305 # DEPENDENCYPART_SIBL
(15,2),(15,13),0.0244209 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.0736222 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.00779656 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.0151176 # DEPENDENCYPART_SIBL
(15,2),(15,18),0.00969562 # DEPENDENCYPART_SIBL
(15,2),(15,19),-0.0480984 # DEPENDENCYPART_SIBL
(15,2),(15,21),0.00395494 # DEPENDENCYPART_SIBL
(15,2),(15,22),-0.0376802 # DEPENDENCYPART_SIBL
(15,2),(15,23),-0.0470468 # DEPENDENCYPART_SIBL
(15,5),(15,8),0.118087 # DEPENDENCYPART_SIBL
(15,5),(15,9),0.122647 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.287484 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.118087 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.122647 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0167205 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.0900589 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.00728286 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.0429081 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.0258221 # DEPENDENCYPART_SIBL
(15,5),(15,22),-0.124672 # DEPENDENCYPART_SIBL
(15,5),(15,23),0.0217902 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0493857 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.131782 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.122587 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.0493857 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0110581 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.0133273 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.00308093 # DEPENDENCYPART_SIBL
(15,8),(15,19),-0.0455669 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.000793476 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0863221 # DEPENDENCYPART_SIBL
(15,8),(15,23),-0.0190496 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.010828 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.115724 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.797979 # DEPENDENCYPART_SIBL
(15,9),(15,16),0.0196086 # DEPENDENCYPART_SIBL
(15,9),(15,17),0.221365 # DEPENDENCYPART_SIBL
(15,9),(15,18),0.224532 # DEPENDENCYPART_SIBL
(15,9),(15,19),0.339247 # DEPENDENCYPART_SIBL
(15,9),(15,21),0.208248 # DEPENDENCYPART_SIBL
(15,9),(15,22),0.0473809 # DEPENDENCYPART_SIBL
(15,9),(15,23),0.0716458 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.320239 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0494718 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.00387761 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0582416 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0121795 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0418591 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0347633 # DEPENDENCYPART_SIBL
(15,11),(15,22),0.0168645 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.30743 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0493857 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0110581 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0133273 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.00308093 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0455669 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.000793476 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.0863221 # DEPENDENCYPART_SIBL
(15,13),(15,23),-0.0190496 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0196086 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.221365 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.224532 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.339247 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.208248 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.0473809 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.0716458 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.235836 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.725239 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.224278 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.699787 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.286108 # DEPENDENCYPART_SIBL
(15,16),(15,23),0.0475466 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0731475 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.105051 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.0509888 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.01621 # DEPENDENCYPART_SIBL
(15,17),(15,23),0.0503236 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.0161572 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.0292427 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0237992 # DEPENDENCYPART_SIBL
(15,18),(15,23),-0.00569645 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.053169 # DEPENDENCYPART_SIBL
(15,19),(15,22),0.079708 # DEPENDENCYPART_SIBL
(15,19),(15,23),0.0300214 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.0246042 # DEPENDENCYPART_SIBL
(15,21),(15,23),0.00122431 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.00348956 # DEPENDENCYPART_SIBL
(17,5),(17,16),0.537464 # DEPENDENCYPART_SIBL
(17,5),(17,18),0.0956331 # DEPENDENCYPART_SIBL
(17,5),(17,19),0.053919 # DEPENDENCYPART_SIBL
(17,5),(17,23),0.158913 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0644703 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0914277 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.151809 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.0466373 # DEPENDENCYPART_SIBL
(17,18),(17,23),0.0135231 # DEPENDENCYPART_SIBL
(17,19),(17,23),0.0922061 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.296255 # DEPENDENCYPART_SIBL
(18,11),(18,14),0.0117927 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.575866 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.346007 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.0223945 # DEPENDENCYPART_SIBL
(18,11),(18,21),-0.055637 # DEPENDENCYPART_SIBL
(18,11),(18,22),0.00554349 # DEPENDENCYPART_SIBL
(18,11),(18,23),-0.321647 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0464201 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.754757 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.0695967 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0360033 # DEPENDENCYPART_SIBL
(18,13),(18,21),-0.00441518 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.0814304 # DEPENDENCYPART_SIBL
(18,13),(18,23),-0.0178742 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.109019 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.0547565 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.335779 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.171104 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.0330902 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.0464152 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0371153 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.106368 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0851631 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0595589 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.0978217 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0915722 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.00424204 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0137861 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.0187629 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.0146602 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0608761 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0176672 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.0356064 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0061073 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0103944 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0401843 # DEPENDENCYPART_SIBL
