# _root_ S' esperen precipitacions al litoral i al Prelitoral nord , així_com al Pirineu i Prepirineu_Oriental a_partir_de la tarda , i seran en forma de neu o calabruix a qualsevol cota i localment d' intensitat moderada .
#goldHeads=2,0,2,2,4,4,4,7,8,4,4,4,12,13,13,12,18,16,12,2,2,21,22,23,24,25,25,22,30,28,22,33,22,33,34,2,
#predictedHeads=2,0,2,2,4,4,4,7,8,2,12,4,12,13,13,2,18,16,2,2,2,21,22,23,24,25,25,21,30,28,28,33,28,33,34,2,
(3,4),(3,5),0.023497 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0118568 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.133376 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0193737 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.018056 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0664139 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.175375 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.133376 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0194587 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0118568 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0196378 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0979193 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.00913003 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0664139 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0118568 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.00899192 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0393857 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0278345 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0142003 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0235179 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0234697 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.102174 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0278345 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0141977 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0393857 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0142008 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.00850071 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0154973 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0234697 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0393857 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.00812106 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0497617 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.603692 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.248288 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0423026 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.201126 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0497617 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.603854 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.306047 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.604002 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.116645 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.608483 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0423026 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.306047 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0717351 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0193737 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.018056 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0664139 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.175375 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.133376 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0194587 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0118568 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0196378 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0979193 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.00913003 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0664139 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0118568 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.00899192 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0248459 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0302801 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.103503 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0230865 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0128485 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0432453 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0128515 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0143234 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.014148 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0302801 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0432453 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.00672259 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0121716 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0802103 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0602007 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0133757 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0156535 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0133787 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0518833 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0259797 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0121716 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0156535 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0133834 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.324206 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.00299817 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.374708 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.272058 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.374711 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0525714 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.374781 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0368198 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.272058 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0594471 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0609169 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.143312 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.00694872 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.143315 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0907289 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.143712 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0737546 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.00694872 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.0587381 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0194587 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0118568 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0196378 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0979193 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.00913003 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0664139 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.0118568 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.00899192 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0455272 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0128172 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0120319 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0141137 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0294143 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.0455272 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.00691161 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.604002 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.116645 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.608483 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0423026 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.306047 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.0717351 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0144094 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0141531 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.031019 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.0437807 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.00671752 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0379002 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0605755 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.0258428 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.00761977 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.0309798 # DEPENDENCYPART_SIBL
(3,18),(3,20),0.0343655 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.00780371 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.272058 # DEPENDENCYPART_SIBL
(3,19),(3,21),-0.0594471 # DEPENDENCYPART_SIBL
(3,20),(3,21),0.0717351 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0637595 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0664458 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0426837 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0783252 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00914362 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.053235 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0402306 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0426837 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0319741 # DEPENDENCYPART_SIBL
(4,3),(4,28),-0.0352728 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.217976 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.126888 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.853117 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.341303 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0807224 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.15155 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.126888 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0135731 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.126251 # DEPENDENCYPART_SIBL
(4,6),(4,7),1.08128 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.277262 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.352114 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.000131988 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.320329 # DEPENDENCYPART_SIBL
(4,6),(4,12),1.08128 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.946147 # DEPENDENCYPART_SIBL
(4,6),(4,28),1.06309 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.181615 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0464594 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0179739 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0996406 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0932616 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0416848 # DEPENDENCYPART_SIBL
(4,7),(4,28),0.0724531 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.3415 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0876674 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.151743 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.128632 # DEPENDENCYPART_SIBL
(4,8),(4,22),0.0174668 # DEPENDENCYPART_SIBL
(4,8),(4,28),0.130144 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.168545 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0991296 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0657442 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.140928 # DEPENDENCYPART_SIBL
(4,9),(4,28),-0.109104 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.194606 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.304804 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.249423 # DEPENDENCYPART_SIBL
(4,10),(4,28),0.362376 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.102395 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.0276206 # DEPENDENCYPART_SIBL
(4,11),(4,28),0.108111 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0416848 # DEPENDENCYPART_SIBL
(4,12),(4,28),0.0724531 # DEPENDENCYPART_SIBL
(4,22),(4,28),0.0697116 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.022242 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0272026 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0373758 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0195606 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0310654 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.12011 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0272026 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0375003 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.022242 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0375823 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.014308 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0457409 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.600183 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.248276 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0473083 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.201298 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0457409 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.600344 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.306082 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.600493 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0717929 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00804789 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0121184 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0501614 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.169638 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.122036 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.00813296 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00589462 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.00831201 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0148594 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0252246 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0258852 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.104129 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0266259 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.00982828 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0435947 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.00983131 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.00624208 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0198858 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0777801 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0506731 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.00714497 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.01291 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.007148 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0107719 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.320842 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0105549 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.364142 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.268475 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.364145 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0629253 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0573174 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.140226 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.00722234 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.140229 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.0591128 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.00813296 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.00589462 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.00831201 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0148594 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0458765 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.00979697 # DEPENDENCYPART_SIBL
(5,13),(5,21),-0.00643109 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.600493 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.0717929 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.006237 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.100929 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0289488 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0837544 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0250595 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0484655 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0836531 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0118538 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0837544 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.0836531 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.0787728 # DEPENDENCYPART_SIBL
(7,6),(7,28),-0.0361265 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.3415 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0876674 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.151743 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.128632 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.218921 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0109069 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.0876674 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.218921 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.0174668 # DEPENDENCYPART_SIBL
(7,8),(7,28),0.130144 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.168545 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0991296 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0657442 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0582302 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.12554 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.168545 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0582302 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.140928 # DEPENDENCYPART_SIBL
(7,9),(7,28),-0.109104 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.194606 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.304804 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.138368 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.265707 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.374753 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.138368 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.249423 # DEPENDENCYPART_SIBL
(7,10),(7,28),0.362376 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.102395 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0641072 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0484616 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.0603203 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0641072 # DEPENDENCYPART_SIBL
(7,11),(7,22),0.0276206 # DEPENDENCYPART_SIBL
(7,11),(7,28),0.108111 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.22381 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0219606 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.0179739 # DEPENDENCYPART_SIBL
(7,12),(7,20),0.22381 # DEPENDENCYPART_SIBL
(7,12),(7,22),-0.0416848 # DEPENDENCYPART_SIBL
(7,12),(7,28),0.0724531 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.940906 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.000131988 # DEPENDENCYPART_SIBL
(7,14),(7,20),-0.218175 # DEPENDENCYPART_SIBL
(7,14),(7,22),0.946147 # DEPENDENCYPART_SIBL
(7,14),(7,28),1.06309 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.0327395 # DEPENDENCYPART_SIBL
(7,16),(7,20),0.15267 # DEPENDENCYPART_SIBL
(7,16),(7,22),-0.114954 # DEPENDENCYPART_SIBL
(7,16),(7,28),-0.00693932 # DEPENDENCYPART_SIBL
(7,19),(7,20),0.138368 # DEPENDENCYPART_SIBL
(7,19),(7,22),0.249423 # DEPENDENCYPART_SIBL
(7,19),(7,28),0.362376 # DEPENDENCYPART_SIBL
(7,20),(7,22),0.946147 # DEPENDENCYPART_SIBL
(7,20),(7,28),1.06309 # DEPENDENCYPART_SIBL
(7,22),(7,28),0.0697116 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0622474 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.000390257 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0513001 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.118149 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0851055 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0601381 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0850949 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0580716 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0776526 # DEPENDENCYPART_SIBL
(8,6),(8,26),0.0548587 # DEPENDENCYPART_SIBL
(8,6),(8,27),-0.0850949 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0128609 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0793205 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.056231 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0131204 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0144725 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0131234 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0479136 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.0257244 # DEPENDENCYPART_SIBL
(8,9),(8,26),0.045362 # DEPENDENCYPART_SIBL
(8,9),(8,27),0.0131234 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.324412 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.00421002 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.375429 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.272076 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.375432 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.0513596 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.375502 # DEPENDENCYPART_SIBL
(8,10),(8,26),0.374287 # DEPENDENCYPART_SIBL
(8,10),(8,27),0.375432 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0601025 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.144414 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.00725344 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.144417 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0899145 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.144814 # DEPENDENCYPART_SIBL
(8,11),(8,26),-0.00767357 # DEPENDENCYPART_SIBL
(8,11),(8,27),0.144417 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0207963 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.012289 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.0209753 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.097248 # DEPENDENCYPART_SIBL
(8,12),(8,18),0.0104676 # DEPENDENCYPART_SIBL
(8,12),(8,26),0.0524975 # DEPENDENCYPART_SIBL
(8,12),(8,27),0.0209753 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.0459284 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0139997 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.0112964 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.0152962 # DEPENDENCYPART_SIBL
(8,13),(8,26),0.0578331 # DEPENDENCYPART_SIBL
(8,13),(8,27),0.0139997 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.604707 # DEPENDENCYPART_SIBL
(8,14),(8,16),0.115425 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.609188 # DEPENDENCYPART_SIBL
(8,14),(8,26),-0.129264 # DEPENDENCYPART_SIBL
(8,14),(8,27),0.604707 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.013674 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.0153356 # DEPENDENCYPART_SIBL
(8,15),(8,26),0.0569827 # DEPENDENCYPART_SIBL
(8,15),(8,27),0.0140391 # DEPENDENCYPART_SIBL
(8,16),(8,18),0.0392377 # DEPENDENCYPART_SIBL
(8,16),(8,26),0.0486916 # DEPENDENCYPART_SIBL
(8,16),(8,27),0.0497453 # DEPENDENCYPART_SIBL
(8,18),(8,26),0.0513703 # DEPENDENCYPART_SIBL
(8,18),(8,27),0.021967 # DEPENDENCYPART_SIBL
(8,26),(8,27),0.542324 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.623921 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0266467 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0172145 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0174334 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.0146325 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.00752167 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0047341 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.0134037 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0812446 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.103727 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0198561 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0322335 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0438519 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.014662 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0176575 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.0410523 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.00260008 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0172145 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0174334 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0146325 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.00752167 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0047341 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.0134037 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.0812446 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.13043 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0567572 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.330888 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0234363 # DEPENDENCYPART_SIBL
