# _root_ A_través_d' aquest programa , que pretén promoure els intercanvis i la cooperació entre França i l' estat espanyol , les dues cambres de comerç volen fomentar l' intercanvi entre empreses catalanes i franceses .
#goldHeads=26,3,1,6,6,3,6,9,7,9,12,9,9,13,14,17,14,17,6,22,20,26,22,23,26,0,28,26,28,29,30,31,31,26,
#predictedHeads=25,3,1,6,6,3,6,9,7,9,12,9,12,13,14,17,14,17,1,22,20,25,22,23,0,25,28,26,28,29,30,31,31,25,
(17,1),(17,24),0.0372931 # DEPENDENCYPART_SIBL
(17,1),(17,25),-0.0335668 # DEPENDENCYPART_SIBL
(17,1),(17,26),-0.0242254 # DEPENDENCYPART_SIBL
(17,1),(17,28),0.0575992 # DEPENDENCYPART_SIBL
(17,1),(17,29),-0.0251458 # DEPENDENCYPART_SIBL
(17,1),(17,31),0.0584321 # DEPENDENCYPART_SIBL
(17,1),(17,33),0.0547849 # DEPENDENCYPART_SIBL
(17,7),(17,11),0.193233 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.00273165 # DEPENDENCYPART_SIBL
(17,7),(17,15),0.636647 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.0710376 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0334722 # DEPENDENCYPART_SIBL
(17,7),(17,19),-0.0217066 # DEPENDENCYPART_SIBL
(17,7),(17,22),-0.0392296 # DEPENDENCYPART_SIBL
(17,7),(17,23),-0.020867 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.0317433 # DEPENDENCYPART_SIBL
(17,7),(17,25),-0.12536 # DEPENDENCYPART_SIBL
(17,7),(17,26),-0.122288 # DEPENDENCYPART_SIBL
(17,7),(17,28),-0.0239062 # DEPENDENCYPART_SIBL
(17,7),(17,29),-0.0784264 # DEPENDENCYPART_SIBL
(17,7),(17,31),-0.0458422 # DEPENDENCYPART_SIBL
(17,7),(17,33),-0.0492162 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.0802104 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.0469822 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.824761 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.11846 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.00216667 # DEPENDENCYPART_SIBL
(17,11),(17,22),0.0802109 # DEPENDENCYPART_SIBL
(17,11),(17,23),0.160118 # DEPENDENCYPART_SIBL
(17,11),(17,24),0.0956524 # DEPENDENCYPART_SIBL
(17,11),(17,25),0.0569429 # DEPENDENCYPART_SIBL
(17,11),(17,26),0.0582988 # DEPENDENCYPART_SIBL
(17,11),(17,28),0.109011 # DEPENDENCYPART_SIBL
(17,11),(17,29),0.154422 # DEPENDENCYPART_SIBL
(17,11),(17,31),0.048449 # DEPENDENCYPART_SIBL
(17,11),(17,33),0.0459177 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.456173 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.0620179 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.0937924 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.0150391 # DEPENDENCYPART_SIBL
(17,13),(17,22),0.0958552 # DEPENDENCYPART_SIBL
(17,13),(17,23),-0.0138871 # DEPENDENCYPART_SIBL
(17,13),(17,24),0.101719 # DEPENDENCYPART_SIBL
(17,13),(17,25),0.0121504 # DEPENDENCYPART_SIBL
(17,13),(17,26),0.0214918 # DEPENDENCYPART_SIBL
(17,13),(17,28),0.132224 # DEPENDENCYPART_SIBL
(17,13),(17,29),-0.0328577 # DEPENDENCYPART_SIBL
(17,13),(17,31),0.0760009 # DEPENDENCYPART_SIBL
(17,13),(17,33),0.0724125 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0246431 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.109889 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.1266 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.00546522 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.198536 # DEPENDENCYPART_SIBL
(17,15),(17,24),0.0136023 # DEPENDENCYPART_SIBL
(17,15),(17,25),0.0779917 # DEPENDENCYPART_SIBL
(17,15),(17,26),0.0826717 # DEPENDENCYPART_SIBL
(17,15),(17,28),0.0187384 # DEPENDENCYPART_SIBL
(17,15),(17,29),-0.00475497 # DEPENDENCYPART_SIBL
(17,15),(17,31),0.0897934 # DEPENDENCYPART_SIBL
(17,15),(17,33),0.086096 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.190665 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0178347 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.170963 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.323233 # DEPENDENCYPART_SIBL
(17,16),(17,24),0.199152 # DEPENDENCYPART_SIBL
(17,16),(17,25),0.0223471 # DEPENDENCYPART_SIBL
(17,16),(17,26),0.0237692 # DEPENDENCYPART_SIBL
(17,16),(17,28),0.208837 # DEPENDENCYPART_SIBL
(17,16),(17,29),0.0712929 # DEPENDENCYPART_SIBL
(17,16),(17,31),0.113303 # DEPENDENCYPART_SIBL
(17,16),(17,33),0.101631 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.0158013 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.0548522 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.00628056 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.0546881 # DEPENDENCYPART_SIBL
(17,18),(17,25),0.0824394 # DEPENDENCYPART_SIBL
(17,18),(17,26),0.0844437 # DEPENDENCYPART_SIBL
(17,18),(17,28),0.0484679 # DEPENDENCYPART_SIBL
(17,18),(17,29),0.00864178 # DEPENDENCYPART_SIBL
(17,18),(17,31),0.000511876 # DEPENDENCYPART_SIBL
(17,18),(17,33),-0.0164258 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.362736 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.10927 # DEPENDENCYPART_SIBL
(17,19),(17,24),0.338974 # DEPENDENCYPART_SIBL
(17,19),(17,25),-0.0712396 # DEPENDENCYPART_SIBL
(17,19),(17,26),-0.0584265 # DEPENDENCYPART_SIBL
(17,19),(17,28),0.347567 # DEPENDENCYPART_SIBL
(17,19),(17,29),0.0635126 # DEPENDENCYPART_SIBL
(17,19),(17,31),-0.0244012 # DEPENDENCYPART_SIBL
(17,19),(17,33),-0.0400239 # DEPENDENCYPART_SIBL
(17,22),(17,23),0.0423778 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.0547567 # DEPENDENCYPART_SIBL
(17,22),(17,25),0.0600813 # DEPENDENCYPART_SIBL
(17,22),(17,26),0.063397 # DEPENDENCYPART_SIBL
(17,22),(17,28),0.0599479 # DEPENDENCYPART_SIBL
(17,22),(17,29),0.122497 # DEPENDENCYPART_SIBL
(17,22),(17,31),0.0960277 # DEPENDENCYPART_SIBL
(17,22),(17,33),0.0511297 # DEPENDENCYPART_SIBL
(17,23),(17,24),0.07283 # DEPENDENCYPART_SIBL
(17,23),(17,25),0.0486776 # DEPENDENCYPART_SIBL
(17,23),(17,26),0.0510186 # DEPENDENCYPART_SIBL
(17,23),(17,28),0.101161 # DEPENDENCYPART_SIBL
(17,23),(17,29),-0.00903089 # DEPENDENCYPART_SIBL
(17,23),(17,31),0.130542 # DEPENDENCYPART_SIBL
(17,23),(17,33),0.110845 # DEPENDENCYPART_SIBL
(17,24),(17,25),0.0634223 # DEPENDENCYPART_SIBL
(17,24),(17,26),0.0667379 # DEPENDENCYPART_SIBL
(17,24),(17,28),0.0705195 # DEPENDENCYPART_SIBL
(17,24),(17,29),0.125534 # DEPENDENCYPART_SIBL
(17,24),(17,31),0.0998944 # DEPENDENCYPART_SIBL
(17,24),(17,33),0.0549964 # DEPENDENCYPART_SIBL
(17,25),(17,26),-0.0398827 # DEPENDENCYPART_SIBL
(17,25),(17,28),0.0479482 # DEPENDENCYPART_SIBL
(17,25),(17,29),0.0910535 # DEPENDENCYPART_SIBL
(17,25),(17,31),0.034161 # DEPENDENCYPART_SIBL
(17,25),(17,33),0.0165385 # DEPENDENCYPART_SIBL
(17,26),(17,28),0.0507707 # DEPENDENCYPART_SIBL
(17,26),(17,29),0.0885171 # DEPENDENCYPART_SIBL
(17,26),(17,31),0.0341225 # DEPENDENCYPART_SIBL
(17,26),(17,33),0.0165001 # DEPENDENCYPART_SIBL
(17,28),(17,29),0.140395 # DEPENDENCYPART_SIBL
(17,28),(17,31),0.0962134 # DEPENDENCYPART_SIBL
(17,28),(17,33),0.0513154 # DEPENDENCYPART_SIBL
(17,29),(17,31),0.0798229 # DEPENDENCYPART_SIBL
(17,29),(17,33),0.0646453 # DEPENDENCYPART_SIBL
(17,31),(17,33),-0.0118382 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.149743 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0411911 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0122294 # DEPENDENCYPART_SIBL
(18,13),(18,22),0.0599427 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.0561914 # DEPENDENCYPART_SIBL
(18,13),(18,32),0.327477 # DEPENDENCYPART_SIBL
(18,13),(18,33),-0.0171193 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0491533 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.00071357 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.104364 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.345355 # DEPENDENCYPART_SIBL
(18,16),(18,32),-0.0960056 # DEPENDENCYPART_SIBL
(18,16),(18,33),0.0390664 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.035302 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0174187 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.109005 # DEPENDENCYPART_SIBL
(18,17),(18,32),0.0149452 # DEPENDENCYPART_SIBL
(18,17),(18,33),0.0296991 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0674396 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.0358915 # DEPENDENCYPART_SIBL
(18,19),(18,32),0.320132 # DEPENDENCYPART_SIBL
(18,19),(18,33),0.671414 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0427526 # DEPENDENCYPART_SIBL
(18,22),(18,32),0.098399 # DEPENDENCYPART_SIBL
(18,22),(18,33),0.0884794 # DEPENDENCYPART_SIBL
(18,23),(18,32),0.100633 # DEPENDENCYPART_SIBL
(18,23),(18,33),0.113913 # DEPENDENCYPART_SIBL
(18,32),(18,33),0.88546 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.151141 # DEPENDENCYPART_SIBL
(21,22),(21,23),0.520933 # DEPENDENCYPART_SIBL
(22,1),(22,6),0.00292486 # DEPENDENCYPART_SIBL
(22,1),(22,7),0.00526033 # DEPENDENCYPART_SIBL
(22,1),(22,16),-0.047515 # DEPENDENCYPART_SIBL
(22,1),(22,18),-0.0609245 # DEPENDENCYPART_SIBL
(22,1),(22,20),-0.0658281 # DEPENDENCYPART_SIBL
(22,1),(22,21),-0.0375029 # DEPENDENCYPART_SIBL
(22,1),(22,23),-0.00300899 # DEPENDENCYPART_SIBL
(22,1),(22,24),0.0474592 # DEPENDENCYPART_SIBL
(22,1),(22,25),-0.00308193 # DEPENDENCYPART_SIBL
(22,1),(22,26),0.00625944 # DEPENDENCYPART_SIBL
(22,1),(22,28),0.0677924 # DEPENDENCYPART_SIBL
(22,1),(22,29),0.0258222 # DEPENDENCYPART_SIBL
(22,1),(22,31),0.0108364 # DEPENDENCYPART_SIBL
(22,1),(22,33),0.00718914 # DEPENDENCYPART_SIBL
(22,6),(22,7),0.167136 # DEPENDENCYPART_SIBL
(22,6),(22,16),0.124273 # DEPENDENCYPART_SIBL
(22,6),(22,18),0.086191 # DEPENDENCYPART_SIBL
(22,6),(22,20),0.11568 # DEPENDENCYPART_SIBL
(22,6),(22,21),0.219475 # DEPENDENCYPART_SIBL
(22,6),(22,23),-0.0355139 # DEPENDENCYPART_SIBL
(22,6),(22,24),-0.052418 # DEPENDENCYPART_SIBL
(22,6),(22,25),-0.107488 # DEPENDENCYPART_SIBL
(22,6),(22,26),-0.104416 # DEPENDENCYPART_SIBL
(22,6),(22,28),-0.0445539 # DEPENDENCYPART_SIBL
(22,6),(22,29),-0.0755963 # DEPENDENCYPART_SIBL
(22,6),(22,31),-0.11676 # DEPENDENCYPART_SIBL
(22,6),(22,33),-0.120134 # DEPENDENCYPART_SIBL
(22,7),(22,16),0.123209 # DEPENDENCYPART_SIBL
(22,7),(22,18),0.0859512 # DEPENDENCYPART_SIBL
(22,7),(22,20),0.114618 # DEPENDENCYPART_SIBL
(22,7),(22,21),0.218412 # DEPENDENCYPART_SIBL
(22,7),(22,23),-0.0217737 # DEPENDENCYPART_SIBL
(22,7),(22,24),-0.0354454 # DEPENDENCYPART_SIBL
(22,7),(22,25),-0.117098 # DEPENDENCYPART_SIBL
(22,7),(22,26),-0.114026 # DEPENDENCYPART_SIBL
(22,7),(22,28),-0.0275813 # DEPENDENCYPART_SIBL
(22,7),(22,29),-0.0618138 # DEPENDENCYPART_SIBL
(22,7),(22,31),-0.117788 # DEPENDENCYPART_SIBL
(22,7),(22,33),-0.121162 # DEPENDENCYPART_SIBL
(22,16),(22,18),0.171084 # DEPENDENCYPART_SIBL
(22,16),(22,20),-0.781308 # DEPENDENCYPART_SIBL
(22,16),(22,21),-0.662192 # DEPENDENCYPART_SIBL
(22,16),(22,23),0.380116 # DEPENDENCYPART_SIBL
(22,16),(22,24),0.193015 # DEPENDENCYPART_SIBL
(22,16),(22,25),0.0434938 # DEPENDENCYPART_SIBL
(22,16),(22,26),0.044916 # DEPENDENCYPART_SIBL
(22,16),(22,28),0.202753 # DEPENDENCYPART_SIBL
(22,16),(22,29),0.124502 # DEPENDENCYPART_SIBL
(22,16),(22,31),0.0573487 # DEPENDENCYPART_SIBL
(22,16),(22,33),0.0456772 # DEPENDENCYPART_SIBL
(22,18),(22,20),-0.41656 # DEPENDENCYPART_SIBL
(22,18),(22,21),-0.341239 # DEPENDENCYPART_SIBL
(22,18),(22,23),0.00294045 # DEPENDENCYPART_SIBL
(22,18),(22,24),0.00798177 # DEPENDENCYPART_SIBL
(22,18),(22,25),-0.0121369 # DEPENDENCYPART_SIBL
(22,18),(22,26),-0.00897538 # DEPENDENCYPART_SIBL
(22,18),(22,28),0.00914411 # DEPENDENCYPART_SIBL
(22,18),(22,29),-0.113576 # DEPENDENCYPART_SIBL
(22,18),(22,31),0.0128553 # DEPENDENCYPART_SIBL
(22,18),(22,33),0.00936112 # DEPENDENCYPART_SIBL
(22,20),(22,21),-0.746442 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.212947 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.0476276 # DEPENDENCYPART_SIBL
(22,20),(22,25),0.0194486 # DEPENDENCYPART_SIBL
(22,20),(22,26),0.0241658 # DEPENDENCYPART_SIBL
(22,20),(22,28),-0.0432343 # DEPENDENCYPART_SIBL
(22,20),(22,29),0.186937 # DEPENDENCYPART_SIBL
(22,20),(22,31),0.0792612 # DEPENDENCYPART_SIBL
(22,20),(22,33),0.0565625 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.094563 # DEPENDENCYPART_SIBL
(22,21),(22,24),0.0634667 # DEPENDENCYPART_SIBL
(22,21),(22,25),0.00352289 # DEPENDENCYPART_SIBL
(22,21),(22,26),0.00820862 # DEPENDENCYPART_SIBL
(22,21),(22,28),0.0717759 # DEPENDENCYPART_SIBL
(22,21),(22,29),-0.0019032 # DEPENDENCYPART_SIBL
(22,21),(22,31),0.0500208 # DEPENDENCYPART_SIBL
(22,21),(22,33),0.0382565 # DEPENDENCYPART_SIBL
(22,23),(22,24),0.00185867 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.00276181 # DEPENDENCYPART_SIBL
(22,23),(22,26),-0.000420809 # DEPENDENCYPART_SIBL
(22,23),(22,28),0.0302437 # DEPENDENCYPART_SIBL
(22,23),(22,29),-0.00808344 # DEPENDENCYPART_SIBL
(22,23),(22,31),0.110183 # DEPENDENCYPART_SIBL
(22,23),(22,33),0.0904865 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.00220651 # DEPENDENCYPART_SIBL
(22,24),(22,26),0.00110915 # DEPENDENCYPART_SIBL
(22,24),(22,28),0.013583 # DEPENDENCYPART_SIBL
(22,24),(22,29),0.120494 # DEPENDENCYPART_SIBL
(22,24),(22,31),0.0734011 # DEPENDENCYPART_SIBL
(22,24),(22,33),0.0285031 # DEPENDENCYPART_SIBL
(22,25),(22,26),-0.06007 # DEPENDENCYPART_SIBL
(22,25),(22,28),0.029002 # DEPENDENCYPART_SIBL
(22,25),(22,29),0.106348 # DEPENDENCYPART_SIBL
(22,25),(22,31),0.033935 # DEPENDENCYPART_SIBL
(22,25),(22,33),0.0163126 # DEPENDENCYPART_SIBL
(22,26),(22,28),0.0318245 # DEPENDENCYPART_SIBL
(22,26),(22,29),0.103812 # DEPENDENCYPART_SIBL
(22,26),(22,31),0.0338965 # DEPENDENCYPART_SIBL
(22,26),(22,33),0.0162741 # DEPENDENCYPART_SIBL
(22,28),(22,29),0.13567 # DEPENDENCYPART_SIBL
(22,28),(22,31),0.0699801 # DEPENDENCYPART_SIBL
(22,28),(22,33),0.0250821 # DEPENDENCYPART_SIBL
(22,29),(22,31),0.0554415 # DEPENDENCYPART_SIBL
(22,29),(22,33),0.0402639 # DEPENDENCYPART_SIBL
(22,31),(22,33),-0.0313145 # DEPENDENCYPART_SIBL
(23,20),(23,21),-0.10699 # DEPENDENCYPART_SIBL
(23,20),(23,24),0.104401 # DEPENDENCYPART_SIBL
(23,20),(23,25),0.0953724 # DEPENDENCYPART_SIBL
(23,20),(23,26),0.0967651 # DEPENDENCYPART_SIBL
(23,21),(23,24),0.0874773 # DEPENDENCYPART_SIBL
(23,21),(23,25),0.023635 # DEPENDENCYPART_SIBL
(23,21),(23,26),0.0249962 # DEPENDENCYPART_SIBL
(23,24),(23,25),-0.492901 # DEPENDENCYPART_SIBL
(23,24),(23,26),-0.491541 # DEPENDENCYPART_SIBL
(23,25),(23,26),-0.272379 # DEPENDENCYPART_SIBL
(24,20),(24,21),-0.7471 # DEPENDENCYPART_SIBL
(24,20),(24,25),0.00371707 # DEPENDENCYPART_SIBL
(24,21),(24,25),-0.00503544 # DEPENDENCYPART_SIBL
(25,1),(25,4),-0.269596 # DEPENDENCYPART_SIBL
(25,1),(25,5),-0.341863 # DEPENDENCYPART_SIBL
(25,1),(25,6),-0.0146512 # DEPENDENCYPART_SIBL
(25,1),(25,7),0.0133059 # DEPENDENCYPART_SIBL
(25,1),(25,9),0.0248427 # DEPENDENCYPART_SIBL
(25,1),(25,10),0.170666 # DEPENDENCYPART_SIBL
(25,1),(25,12),0.0260836 # DEPENDENCYPART_SIBL
(25,1),(25,13),-0.022097 # DEPENDENCYPART_SIBL
(25,1),(25,14),0.0348249 # DEPENDENCYPART_SIBL
(25,1),(25,17),0.00267311 # DEPENDENCYPART_SIBL
(25,1),(25,18),-0.00851503 # DEPENDENCYPART_SIBL
(25,1),(25,19),-0.269596 # DEPENDENCYPART_SIBL
(25,1),(25,20),-0.0512483 # DEPENDENCYPART_SIBL
(25,1),(25,22),0.0251909 # DEPENDENCYPART_SIBL
(25,1),(25,23),0.00535821 # DEPENDENCYPART_SIBL
(25,1),(25,24),0.0260416 # DEPENDENCYPART_SIBL
(25,1),(25,26),0.106647 # DEPENDENCYPART_SIBL
(25,1),(25,28),0.0355313 # DEPENDENCYPART_SIBL
(25,1),(25,29),-0.0551851 # DEPENDENCYPART_SIBL
(25,1),(25,30),0.024757 # DEPENDENCYPART_SIBL
(25,1),(25,31),0.0168653 # DEPENDENCYPART_SIBL
(25,1),(25,32),0.082605 # DEPENDENCYPART_SIBL
(25,1),(25,33),0.0175923 # DEPENDENCYPART_SIBL
(25,1),(25,34),0.0790171 # DEPENDENCYPART_SIBL
(25,4),(25,5),0.0899551 # DEPENDENCYPART_SIBL
(25,4),(25,6),0.00439918 # DEPENDENCYPART_SIBL
(25,4),(25,7),0.0358354 # DEPENDENCYPART_SIBL
(25,4),(25,9),-0.0487606 # DEPENDENCYPART_SIBL
(25,4),(25,10),0.0437673 # DEPENDENCYPART_SIBL
(25,4),(25,12),-0.0406207 # DEPENDENCYPART_SIBL
(25,4),(25,13),0.288807 # DEPENDENCYPART_SIBL
(25,4),(25,14),-0.0433777 # DEPENDENCYPART_SIBL
(25,4),(25,17),-0.0042765 # DEPENDENCYPART_SIBL
(25,4),(25,18),-0.0488019 # DEPENDENCYPART_SIBL
(25,4),(25,19),-0.430275 # DEPENDENCYPART_SIBL
(25,4),(25,20),-0.0734124 # DEPENDENCYPART_SIBL
(25,4),(25,22),-0.0484418 # DEPENDENCYPART_SIBL
(25,4),(25,23),-0.0475847 # DEPENDENCYPART_SIBL
(25,4),(25,24),-0.0475971 # DEPENDENCYPART_SIBL
(25,4),(25,26),-0.0959165 # DEPENDENCYPART_SIBL
(25,4),(25,28),-0.105481 # DEPENDENCYPART_SIBL
(25,4),(25,29),-0.111784 # DEPENDENCYPART_SIBL
(25,4),(25,30),-0.0912087 # DEPENDENCYPART_SIBL
(25,4),(25,31),-0.105216 # DEPENDENCYPART_SIBL
(25,4),(25,32),-0.0967698 # DEPENDENCYPART_SIBL
(25,4),(25,33),-0.104054 # DEPENDENCYPART_SIBL
(25,4),(25,34),-0.541776 # DEPENDENCYPART_SIBL
(25,5),(25,6),0.163114 # DEPENDENCYPART_SIBL
(25,5),(25,7),0.234451 # DEPENDENCYPART_SIBL
(25,5),(25,9),0.0297315 # DEPENDENCYPART_SIBL
(25,5),(25,10),-0.395233 # DEPENDENCYPART_SIBL
(25,5),(25,12),0.0319096 # DEPENDENCYPART_SIBL
(25,5),(25,13),0.269198 # DEPENDENCYPART_SIBL
(25,5),(25,14),0.0404144 # DEPENDENCYPART_SIBL
(25,5),(25,17),0.188119 # DEPENDENCYPART_SIBL
(25,5),(25,18),0.089465 # DEPENDENCYPART_SIBL
(25,5),(25,19),-0.487218 # DEPENDENCYPART_SIBL
(25,5),(25,20),-0.0428791 # DEPENDENCYPART_SIBL
(25,5),(25,22),0.0291854 # DEPENDENCYPART_SIBL
(25,5),(25,23),0.492645 # DEPENDENCYPART_SIBL
(25,5),(25,24),0.0316509 # DEPENDENCYPART_SIBL
(25,5),(25,26),0.1128 # DEPENDENCYPART_SIBL
(25,5),(25,28),0.0149186 # DEPENDENCYPART_SIBL
(25,5),(25,29),0.0628683 # DEPENDENCYPART_SIBL
(25,5),(25,30),0.0344985 # DEPENDENCYPART_SIBL
(25,5),(25,31),0.0145271 # DEPENDENCYPART_SIBL
(25,5),(25,32),0.028499 # DEPENDENCYPART_SIBL
(25,5),(25,33),0.0155893 # DEPENDENCYPART_SIBL
(25,5),(25,34),-0.415692 # DEPENDENCYPART_SIBL
(25,6),(25,7),-0.0881143 # DEPENDENCYPART_SIBL
(25,6),(25,9),-0.0303697 # DEPENDENCYPART_SIBL
(25,6),(25,10),0.0371918 # DEPENDENCYPART_SIBL
(25,6),(25,12),-0.0291611 # DEPENDENCYPART_SIBL
(25,6),(25,13),-0.0623934 # DEPENDENCYPART_SIBL
(25,6),(25,14),-0.0262304 # DEPENDENCYPART_SIBL
(25,6),(25,17),0.041229 # DEPENDENCYPART_SIBL
(25,6),(25,18),-0.051962 # DEPENDENCYPART_SIBL
(25,6),(25,19),-0.150384 # DEPENDENCYPART_SIBL
(25,6),(25,20),-0.0468723 # DEPENDENCYPART_SIBL
(25,6),(25,22),-0.0300509 # DEPENDENCYPART_SIBL
(25,6),(25,23),0.225169 # DEPENDENCYPART_SIBL
(25,6),(25,24),-0.0291947 # DEPENDENCYPART_SIBL
(25,6),(25,26),-0.0261695 # DEPENDENCYPART_SIBL
(25,6),(25,28),-0.109289 # DEPENDENCYPART_SIBL
(25,6),(25,29),-0.0836989 # DEPENDENCYPART_SIBL
(25,6),(25,30),-0.105361 # DEPENDENCYPART_SIBL
(25,6),(25,31),-0.0601275 # DEPENDENCYPART_SIBL
(25,6),(25,32),-0.054802 # DEPENDENCYPART_SIBL
(25,6),(25,33),-0.0589956 # DEPENDENCYPART_SIBL
(25,6),(25,34),-0.00204479 # DEPENDENCYPART_SIBL
(25,7),(25,9),-0.0279673 # DEPENDENCYPART_SIBL
(25,7),(25,10),0.0383425 # DEPENDENCYPART_SIBL
(25,7),(25,12),-0.0267587 # DEPENDENCYPART_SIBL
(25,7),(25,13),-0.0608538 # DEPENDENCYPART_SIBL
(25,7),(25,14),-0.023828 # DEPENDENCYPART_SIBL
(25,7),(25,17),0.0439641 # DEPENDENCYPART_SIBL
(25,7),(25,18),-0.0507211 # DEPENDENCYPART_SIBL
(25,7),(25,19),-0.149027 # DEPENDENCYPART_SIBL
(25,7),(25,20),-0.0460903 # DEPENDENCYPART_SIBL
(25,7),(25,22),-0.0276485 # DEPENDENCYPART_SIBL
(25,7),(25,23),0.226704 # DEPENDENCYPART_SIBL
(25,7),(25,24),-0.0267923 # DEPENDENCYPART_SIBL
(25,7),(25,26),-0.0154154 # DEPENDENCYPART_SIBL
(25,7),(25,28),-0.0452323 # DEPENDENCYPART_SIBL
(25,7),(25,29),-0.02562 # DEPENDENCYPART_SIBL
(25,7),(25,30),-0.0413036 # DEPENDENCYPART_SIBL
(25,7),(25,31),-0.0314329 # DEPENDENCYPART_SIBL
(25,7),(25,32),-0.0252911 # DEPENDENCYPART_SIBL
(25,7),(25,33),-0.0303009 # DEPENDENCYPART_SIBL
(25,7),(25,34),0.0353395 # DEPENDENCYPART_SIBL
(25,9),(25,10),-0.0379642 # DEPENDENCYPART_SIBL
(25,9),(25,12),-0.730736 # DEPENDENCYPART_SIBL
(25,9),(25,13),-0.0330701 # DEPENDENCYPART_SIBL
(25,9),(25,14),-0.730633 # DEPENDENCYPART_SIBL
(25,9),(25,17),-0.693963 # DEPENDENCYPART_SIBL
(25,9),(25,18),-0.168362 # DEPENDENCYPART_SIBL
(25,9),(25,19),-0.480999 # DEPENDENCYPART_SIBL
(25,9),(25,20),-0.159967 # DEPENDENCYPART_SIBL
(25,9),(25,22),-0.735347 # DEPENDENCYPART_SIBL
(25,9),(25,23),0.0127744 # DEPENDENCYPART_SIBL
(25,9),(25,24),-0.734488 # DEPENDENCYPART_SIBL
(25,9),(25,26),0.0440817 # DEPENDENCYPART_SIBL
(25,9),(25,28),-0.0306303 # DEPENDENCYPART_SIBL
(25,9),(25,29),-0.0499294 # DEPENDENCYPART_SIBL
(25,9),(25,30),-0.0354975 # DEPENDENCYPART_SIBL
(25,9),(25,31),-0.0126438 # DEPENDENCYPART_SIBL
(25,9),(25,32),0.0340077 # DEPENDENCYPART_SIBL
(25,9),(25,33),-0.0115777 # DEPENDENCYPART_SIBL
(25,9),(25,34),0.0503676 # DEPENDENCYPART_SIBL
(25,10),(25,12),-0.00859703 # DEPENDENCYPART_SIBL
(25,10),(25,13),0.0429137 # DEPENDENCYPART_SIBL
(25,10),(25,14),9.71657e-06 # DEPENDENCYPART_SIBL
(25,10),(25,17),0.00163313 # DEPENDENCYPART_SIBL
(25,10),(25,18),0.0188461 # DEPENDENCYPART_SIBL
(25,10),(25,19),-0.326976 # DEPENDENCYPART_SIBL
(25,10),(25,20),-0.069754 # DEPENDENCYPART_SIBL
(25,10),(25,22),-0.0113234 # DEPENDENCYPART_SIBL
(25,10),(25,23),0.0384804 # DEPENDENCYPART_SIBL
(25,10),(25,24),-0.00862205 # DEPENDENCYPART_SIBL
(25,10),(25,26),-0.0454405 # DEPENDENCYPART_SIBL
(25,10),(25,28),-0.182466 # DEPENDENCYPART_SIBL
