# _root_ - La moció de censura , plantejada amb tant de temps , és un interrogant de com sortirà .
#goldHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,16,13,
#predictedHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,16,13,
(7,15),(7,16),0.0472915 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.032169 # DEPENDENCYPART_SIBL
(7,15),(7,19),0.0433126 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0091164 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.0531881 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.0416058 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0979399 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0307256 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.131317 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.112112 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.00363072 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0139462 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.248145 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0198161 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.00363072 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.0250375 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0418369 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.167681 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.00416985 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0545782 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0836528 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0431044 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.166502 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0464337 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0836528 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0355978 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0231519 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.176503 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0583914 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0860575 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.151689 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.439531 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0149006 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0860575 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0363125 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.226428 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0161606 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0135803 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0189779 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0376987 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0141776 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0135803 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0248353 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.119505 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0493868 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.371244 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.14978 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.177386 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0493868 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.19456 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.011865 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.129221 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0257734 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0539096 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.211265 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0431006 # DEPENDENCYPART_SIBL
(8,10),(8,19),0.126588 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0376915 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.382457 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.159177 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.402465 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.020327 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0538849 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.274456 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0536124 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0692702 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.110173 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.285371 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.0958795 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0431006 # DEPENDENCYPART_SIBL
(8,16),(8,19),0.126588 # DEPENDENCYPART_SIBL
(8,18),(8,19),0.0780489 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0927049 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.245858 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.277071 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.122767 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.562511 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0232684 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.277071 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0471742 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.140709 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0783551 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0613634 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0495205 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.00347074 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0109506 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0613634 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.02227 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0514655 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0999904 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0410543 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0546244 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0118179 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0999904 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.000993775 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.00259914 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.029056 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.183388 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0396319 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.12336 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0169002 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0577639 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.104369 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0876946 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0078918 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0832383 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.0135229 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.070892 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0218824 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0586163 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.093688 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.0433152 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0455477 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.181979 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0169002 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.0577639 # DEPENDENCYPART_SIBL
(9,18),(9,19),0.182148 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0982254 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.022366 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.121512 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.150755 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.14626 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.156214 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0502415 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.087911 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.124645 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.064275 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0816733 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0595006 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.135197 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0701422 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0712729 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.441639 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.595296 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.108415 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.602533 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0657797 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0476881 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0933134 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0369239 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.149006 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0658449 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0644595 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.310022 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0964944 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.132355 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.348923 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0189832 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.453059 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.00209457 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0117424 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.738547 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.112006 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.061485 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0338289 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0593835 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.121536 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0319502 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0238441 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0453879 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0577031 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0208312 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0453172 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.00408335 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.066656 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.152768 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.36117 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.338101 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.292106 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.317775 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.102859 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.138977 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0515491 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.017511 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.158211 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.328195 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0966976 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0736751 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.1411 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0285491 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0631222 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0678686 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0264195 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0419966 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.00718214 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0128628 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.050417 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.134854 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0616694 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.055855 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0899064 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.000245068 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0955967 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.00649485 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.00416677 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0473746 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0502579 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.10975 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.133742 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.420935 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.263807 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.142794 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.12562 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0678643 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0527479 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.102559 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0229417 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0534542 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.00212599 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0340181 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.102926 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0715017 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.401736 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0289409 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0509147 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0177907 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0815146 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0759983 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.127557 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0450572 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.0613048 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0350913 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0176954 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0341473 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.101139 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.0989951 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.000647714 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0286938 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.0308445 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.00283062 # DEPENDENCYPART_SIBL
(11,18),(11,19),0.0398875 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.105132 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.0171484 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.0396484 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0102883 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.369537 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.039515 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.0584466 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0927658 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.0396484 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0267248 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.369537 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.0207236 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0511548 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0961605 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0321145 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.00236802 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.0547046 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0875425 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.0508852 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.17278 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.012111 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.093971 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.0115563 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0875425 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0480495 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.17278 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0479053 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.0338599 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0267328 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.0199643 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0125914 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.165533 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.857044 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.560685 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.248093 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.266693 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.154304 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.165533 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.830986 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.560685 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.0277806 # DEPENDENCYPART_SIBL
(13,3),(13,16),0.0804006 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.0301755 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.0134595 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.0243776 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.0514441 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.327386 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.0594419 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.168092 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.155835 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.14392 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.0677829 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.327386 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.127081 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0619934 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.059164 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.000445192 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0143836 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.562954 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.251597 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.280368 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.157795 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.184 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.833963 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.562954 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0288446 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.0617383 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.0201686 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.00396676 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.0112538 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.0437319 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.012227 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.0916393 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.118814 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0161214 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.338032 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.00615398 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.00610396 # DEPENDENCYPART_SIBL
(13,6),(13,17),0.0649414 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0230837 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.503511 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.137842 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0173301 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0775567 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0642387 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.198229 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0396322 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0888109 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.0135012 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.0291645 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0317283 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.093508 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.117388 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0505364 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.281086 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0103627 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.0590406 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.0260468 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.0262795 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.0202612 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0726972 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.0262439 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.335211 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0747108 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0374225 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.190086 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0300752 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.103243 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0677829 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.327386 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.127081 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0619934 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.059164 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.000445192 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0143836 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.509224 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0651496 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0318705 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.00729019 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0508446 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0209296 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.00615398 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.00610396 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0649414 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0230837 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.503511 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.140826 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.117166 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0822616 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0232559 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.00222278 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.0227187 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.000347931 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.170786 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0880715 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.00953609 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.674918 # DEPENDENCYPART_SIBL
(15,3),(15,7),0.0353688 # DEPENDENCYPART_SIBL
(15,3),(15,8),0.0603597 # DEPENDENCYPART_SIBL
(15,3),(15,9),0.128677 # DEPENDENCYPART_SIBL
(15,3),(15,10),0.0331765 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.0616742 # DEPENDENCYPART_SIBL
(15,3),(15,13),0.159153 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.00932875 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.0306984 # DEPENDENCYPART_SIBL
(15,3),(15,18),0.00172349 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.0506336 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0957278 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0665441 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.13988 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.0135421 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.0333114 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.312483 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.00467427 # DEPENDENCYPART_SIBL
(15,7),(15,18),0.00400548 # DEPENDENCYPART_SIBL
(15,7),(15,19),0.0168269 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.040619 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.131125 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.0841323 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0165889 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.0872419 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0776158 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.00530012 # DEPENDENCYPART_SIBL
(15,8),(15,19),0.0237183 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.044718 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.00050511 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.173091 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.334124 # DEPENDENCYPART_SIBL
(15,9),(15,16),0.289123 # DEPENDENCYPART_SIBL
(15,9),(15,18),0.154766 # DEPENDENCYPART_SIBL
(15,9),(15,19),0.152465 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.130697 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0230389 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0574561 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0356901 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.00114397 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0147696 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.360514 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.433284 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.0265777 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.134793 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.316267 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.317547 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.016194 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0742702 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.0788628 # DEPENDENCYPART_SIBL
