# _root_ La d' aquest any serà la tercera edició del Festival_de_Cinema_Negre_de_Manresa , la cinquena si no es té_en_compte l' especialització , que el converteix en l' únic certamen de l' Estat dedicat a aquest gènere .
#goldHeads=2,5,4,2,0,8,8,5,8,9,5,13,5,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
#predictedHeads=2,5,4,2,0,8,8,5,8,9,13,13,8,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
(8,2),(8,19),-0.000477388 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.0242173 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.00419254 # DEPENDENCYPART_SIBL
(8,2),(8,27),-0.00342069 # DEPENDENCYPART_SIBL
(8,2),(8,35),0.0524383 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.250493 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.102891 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0334208 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0688005 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0531177 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.102251 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0708043 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0998929 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0688565 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0531177 # DEPENDENCYPART_SIBL
(8,5),(8,23),-0.0839473 # DEPENDENCYPART_SIBL
(8,5),(8,27),-0.0724947 # DEPENDENCYPART_SIBL
(8,5),(8,35),0.0358214 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.128834 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.200332 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.015866 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.102796 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0529443 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.159927 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0407094 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.0156192 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.102796 # DEPENDENCYPART_SIBL
(8,6),(8,23),0.0721357 # DEPENDENCYPART_SIBL
(8,6),(8,27),0.00479695 # DEPENDENCYPART_SIBL
(8,6),(8,35),-0.0612517 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0237283 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0826138 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0480205 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0101741 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0575004 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0434877 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0827091 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.0480205 # DEPENDENCYPART_SIBL
(8,7),(8,23),-0.0316609 # DEPENDENCYPART_SIBL
(8,7),(8,27),-0.0894969 # DEPENDENCYPART_SIBL
(8,7),(8,35),-0.0333791 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0477259 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.038617 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0540985 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.00685813 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0678372 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0479632 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.038617 # DEPENDENCYPART_SIBL
(8,9),(8,23),-0.0683103 # DEPENDENCYPART_SIBL
(8,9),(8,27),-0.0633085 # DEPENDENCYPART_SIBL
(8,9),(8,35),-0.039506 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.00175146 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0339782 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0667086 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.00482976 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0137535 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.00175146 # DEPENDENCYPART_SIBL
(8,10),(8,23),0.0179495 # DEPENDENCYPART_SIBL
(8,10),(8,27),-0.0332128 # DEPENDENCYPART_SIBL
(8,10),(8,35),-0.0358459 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.00747091 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0483686 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0613931 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.323721 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.00974519 # DEPENDENCYPART_SIBL
(8,11),(8,23),-0.0577513 # DEPENDENCYPART_SIBL
(8,11),(8,27),0.290516 # DEPENDENCYPART_SIBL
(8,11),(8,35),-0.0386766 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0437689 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0178309 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.0305617 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.051207 # DEPENDENCYPART_SIBL
(8,13),(8,23),0.020313 # DEPENDENCYPART_SIBL
(8,13),(8,27),-0.0431581 # DEPENDENCYPART_SIBL
(8,13),(8,35),-0.0485135 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0831628 # DEPENDENCYPART_SIBL
(8,14),(8,19),0.209246 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.0721046 # DEPENDENCYPART_SIBL
(8,14),(8,23),-0.0795897 # DEPENDENCYPART_SIBL
(8,14),(8,27),0.19576 # DEPENDENCYPART_SIBL
(8,14),(8,35),-0.0456335 # DEPENDENCYPART_SIBL
(8,17),(8,19),0.00497574 # DEPENDENCYPART_SIBL
(8,17),(8,20),0.040481 # DEPENDENCYPART_SIBL
(8,17),(8,23),-0.053398 # DEPENDENCYPART_SIBL
(8,17),(8,27),-0.00752744 # DEPENDENCYPART_SIBL
(8,17),(8,35),0.0165311 # DEPENDENCYPART_SIBL
(8,19),(8,20),-0.00370267 # DEPENDENCYPART_SIBL
(8,19),(8,23),0.0176996 # DEPENDENCYPART_SIBL
(8,19),(8,27),-0.0334541 # DEPENDENCYPART_SIBL
(8,19),(8,35),-0.0368981 # DEPENDENCYPART_SIBL
(8,20),(8,23),-0.0577513 # DEPENDENCYPART_SIBL
(8,20),(8,27),0.290516 # DEPENDENCYPART_SIBL
(8,20),(8,35),-0.0386766 # DEPENDENCYPART_SIBL
(8,23),(8,27),-0.00474734 # DEPENDENCYPART_SIBL
(8,23),(8,35),0.0256033 # DEPENDENCYPART_SIBL
(8,27),(8,35),-0.0404657 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.264863 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0980098 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.156974 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.0494145 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0840461 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0146283 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0418194 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0720609 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.0197784 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.018059 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.18501 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.47647 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.142263 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.106247 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0540325 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0166642 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.00613574 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0131199 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0520985 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0164814 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0213003 # DEPENDENCYPART_SIBL
(10,2),(10,23),-0.00371939 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0556942 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0502361 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.138851 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0540531 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0708374 # DEPENDENCYPART_SIBL
(10,6),(10,23),0.0854795 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00105115 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0798488 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0438522 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.375202 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.0402105 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0314721 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0189541 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.00508815 # DEPENDENCYPART_SIBL
(10,13),(10,23),0.0214362 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0919363 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.219121 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.0883632 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.0314242 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.0522444 # DEPENDENCYPART_SIBL
(10,19),(10,23),0.0222474 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0702578 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.146878 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.0743524 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.128973 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.643893 # DEPENDENCYPART_SIBL
(13,11),(13,23),0.0710807 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.156545 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.152272 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0182814 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.165382 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0230346 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.0944136 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.0971612 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.0808263 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.0268953 # DEPENDENCYPART_SIBL
(13,20),(13,23),-0.0063539 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.124229 # DEPENDENCYPART_SIBL
(17,2),(17,4),-0.010073 # DEPENDENCYPART_SIBL
(17,2),(17,5),-0.0588186 # DEPENDENCYPART_SIBL
(17,2),(17,7),-0.0784957 # DEPENDENCYPART_SIBL
(17,2),(17,8),-0.0161632 # DEPENDENCYPART_SIBL
(17,2),(17,9),-0.115348 # DEPENDENCYPART_SIBL
(17,2),(17,11),-0.378005 # DEPENDENCYPART_SIBL
(17,2),(17,12),-0.145558 # DEPENDENCYPART_SIBL
(17,2),(17,13),-0.076584 # DEPENDENCYPART_SIBL
(17,2),(17,14),-0.129406 # DEPENDENCYPART_SIBL
(17,2),(17,15),-0.100498 # DEPENDENCYPART_SIBL
(17,2),(17,16),0.109467 # DEPENDENCYPART_SIBL
(17,2),(17,19),-0.006817 # DEPENDENCYPART_SIBL
(17,2),(17,20),-0.0170416 # DEPENDENCYPART_SIBL
(17,2),(17,22),0.0438885 # DEPENDENCYPART_SIBL
(17,2),(17,23),0.00293626 # DEPENDENCYPART_SIBL
(17,2),(17,24),-0.122323 # DEPENDENCYPART_SIBL
(17,2),(17,27),-0.000248625 # DEPENDENCYPART_SIBL
(17,2),(17,28),-0.0582503 # DEPENDENCYPART_SIBL
(17,2),(17,30),-0.0233173 # DEPENDENCYPART_SIBL
(17,2),(17,31),-0.0472607 # DEPENDENCYPART_SIBL
(17,2),(17,32),-0.0835684 # DEPENDENCYPART_SIBL
(17,2),(17,34),-0.0140554 # DEPENDENCYPART_SIBL
(17,2),(17,35),0.0167396 # DEPENDENCYPART_SIBL
(17,4),(17,5),0.0151598 # DEPENDENCYPART_SIBL
(17,4),(17,7),-0.151258 # DEPENDENCYPART_SIBL
(17,4),(17,8),-0.645696 # DEPENDENCYPART_SIBL
(17,4),(17,9),-0.128017 # DEPENDENCYPART_SIBL
(17,4),(17,11),-0.472449 # DEPENDENCYPART_SIBL
(17,4),(17,12),-0.13761 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.149358 # DEPENDENCYPART_SIBL
(17,4),(17,14),-0.101547 # DEPENDENCYPART_SIBL
(17,4),(17,15),0.0994654 # DEPENDENCYPART_SIBL
(17,4),(17,16),0.252847 # DEPENDENCYPART_SIBL
(17,4),(17,19),-0.00715025 # DEPENDENCYPART_SIBL
(17,4),(17,20),-0.0449147 # DEPENDENCYPART_SIBL
(17,4),(17,22),0.0119841 # DEPENDENCYPART_SIBL
(17,4),(17,23),0.0285642 # DEPENDENCYPART_SIBL
(17,4),(17,24),-0.0252855 # DEPENDENCYPART_SIBL
(17,4),(17,27),-0.00424004 # DEPENDENCYPART_SIBL
(17,4),(17,28),-0.035845 # DEPENDENCYPART_SIBL
(17,4),(17,30),-0.0207835 # DEPENDENCYPART_SIBL
(17,4),(17,31),-0.0220861 # DEPENDENCYPART_SIBL
(17,4),(17,32),0.00600171 # DEPENDENCYPART_SIBL
(17,4),(17,34),-0.0142653 # DEPENDENCYPART_SIBL
(17,4),(17,35),0.0243149 # DEPENDENCYPART_SIBL
(17,5),(17,7),-0.0614161 # DEPENDENCYPART_SIBL
(17,5),(17,8),-0.0349106 # DEPENDENCYPART_SIBL
(17,5),(17,9),-0.14955 # DEPENDENCYPART_SIBL
(17,5),(17,11),-0.148151 # DEPENDENCYPART_SIBL
(17,5),(17,12),-0.0378965 # DEPENDENCYPART_SIBL
(17,5),(17,13),-0.0596149 # DEPENDENCYPART_SIBL
(17,5),(17,14),-0.126218 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.0130341 # DEPENDENCYPART_SIBL
(17,5),(17,16),0.113002 # DEPENDENCYPART_SIBL
(17,5),(17,19),-0.0530486 # DEPENDENCYPART_SIBL
(17,5),(17,20),-0.0440344 # DEPENDENCYPART_SIBL
(17,5),(17,22),-0.0111361 # DEPENDENCYPART_SIBL
(17,5),(17,23),-0.00876324 # DEPENDENCYPART_SIBL
(17,5),(17,24),0.0119246 # DEPENDENCYPART_SIBL
(17,5),(17,27),-0.0478896 # DEPENDENCYPART_SIBL
(17,5),(17,28),-0.0400009 # DEPENDENCYPART_SIBL
(17,5),(17,30),-0.044294 # DEPENDENCYPART_SIBL
(17,5),(17,31),-0.00303355 # DEPENDENCYPART_SIBL
(17,5),(17,32),0.0101312 # DEPENDENCYPART_SIBL
(17,5),(17,34),-0.0639761 # DEPENDENCYPART_SIBL
(17,5),(17,35),0.0776039 # DEPENDENCYPART_SIBL
(17,7),(17,8),-0.0333077 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.103112 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.192827 # DEPENDENCYPART_SIBL
(17,7),(17,12),-0.206717 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.024692 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.0672218 # DEPENDENCYPART_SIBL
(17,7),(17,15),0.113284 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.100442 # DEPENDENCYPART_SIBL
(17,7),(17,19),-0.0477197 # DEPENDENCYPART_SIBL
(17,7),(17,20),-0.0103714 # DEPENDENCYPART_SIBL
(17,7),(17,22),-0.0389644 # DEPENDENCYPART_SIBL
(17,7),(17,23),-0.0083311 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.0403493 # DEPENDENCYPART_SIBL
(17,7),(17,27),-0.044609 # DEPENDENCYPART_SIBL
(17,7),(17,28),-0.0664712 # DEPENDENCYPART_SIBL
(17,7),(17,30),-0.0638527 # DEPENDENCYPART_SIBL
(17,7),(17,31),-0.045441 # DEPENDENCYPART_SIBL
(17,7),(17,32),-0.0520955 # DEPENDENCYPART_SIBL
(17,7),(17,34),-0.0541689 # DEPENDENCYPART_SIBL
(17,7),(17,35),0.00735435 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.15417 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.491159 # DEPENDENCYPART_SIBL
(17,8),(17,12),-0.165785 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.178272 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.139465 # DEPENDENCYPART_SIBL
(17,8),(17,15),0.0836828 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.205618 # DEPENDENCYPART_SIBL
(17,8),(17,19),0.00539109 # DEPENDENCYPART_SIBL
(17,8),(17,20),0.000166846 # DEPENDENCYPART_SIBL
(17,8),(17,22),0.0113811 # DEPENDENCYPART_SIBL
(17,8),(17,23),0.0323946 # DEPENDENCYPART_SIBL
(17,8),(17,24),-0.0104659 # DEPENDENCYPART_SIBL
(17,8),(17,27),0.0083013 # DEPENDENCYPART_SIBL
(17,8),(17,28),-0.025058 # DEPENDENCYPART_SIBL
(17,8),(17,30),-0.00795841 # DEPENDENCYPART_SIBL
(17,8),(17,31),0.0153593 # DEPENDENCYPART_SIBL
(17,8),(17,32),0.00192152 # DEPENDENCYPART_SIBL
(17,8),(17,34),-0.00172398 # DEPENDENCYPART_SIBL
(17,8),(17,35),0.0677307 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.346111 # DEPENDENCYPART_SIBL
(17,9),(17,12),-0.160701 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.10241 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.156148 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0403096 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.140506 # DEPENDENCYPART_SIBL
(17,9),(17,19),-0.14592 # DEPENDENCYPART_SIBL
(17,9),(17,20),-0.0941802 # DEPENDENCYPART_SIBL
(17,9),(17,22),-0.0562 # DEPENDENCYPART_SIBL
(17,9),(17,23),-0.0533388 # DEPENDENCYPART_SIBL
(17,9),(17,24),-0.107925 # DEPENDENCYPART_SIBL
(17,9),(17,27),-0.136819 # DEPENDENCYPART_SIBL
(17,9),(17,28),-0.0602427 # DEPENDENCYPART_SIBL
(17,9),(17,30),-0.166565 # DEPENDENCYPART_SIBL
(17,9),(17,31),-0.0746939 # DEPENDENCYPART_SIBL
(17,9),(17,32),-0.0246269 # DEPENDENCYPART_SIBL
(17,9),(17,34),-0.153158 # DEPENDENCYPART_SIBL
(17,9),(17,35),-0.0479331 # DEPENDENCYPART_SIBL
(17,11),(17,12),-0.111809 # DEPENDENCYPART_SIBL
(17,11),(17,13),0.0167651 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.337241 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.0155256 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.093347 # DEPENDENCYPART_SIBL
(17,11),(17,19),0.000741672 # DEPENDENCYPART_SIBL
(17,11),(17,20),0.207125 # DEPENDENCYPART_SIBL
(17,11),(17,22),0.0070446 # DEPENDENCYPART_SIBL
(17,11),(17,23),-0.013361 # DEPENDENCYPART_SIBL
(17,11),(17,24),-0.0606377 # DEPENDENCYPART_SIBL
(17,11),(17,27),0.00860418 # DEPENDENCYPART_SIBL
(17,11),(17,28),-0.0283899 # DEPENDENCYPART_SIBL
(17,11),(17,30),0.0396382 # DEPENDENCYPART_SIBL
(17,11),(17,31),-0.029672 # DEPENDENCYPART_SIBL
(17,11),(17,32),-0.0203147 # DEPENDENCYPART_SIBL
(17,11),(17,34),-0.00845955 # DEPENDENCYPART_SIBL
(17,11),(17,35),-0.462847 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.00356385 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.169845 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.0230131 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.234067 # DEPENDENCYPART_SIBL
(17,12),(17,19),0.0188565 # DEPENDENCYPART_SIBL
(17,12),(17,20),-0.0395206 # DEPENDENCYPART_SIBL
(17,12),(17,22),-0.010645 # DEPENDENCYPART_SIBL
(17,12),(17,23),-0.0130464 # DEPENDENCYPART_SIBL
(17,12),(17,24),-0.00568538 # DEPENDENCYPART_SIBL
(17,12),(17,27),0.0200149 # DEPENDENCYPART_SIBL
(17,12),(17,28),0.00815154 # DEPENDENCYPART_SIBL
(17,12),(17,30),-0.0112665 # DEPENDENCYPART_SIBL
(17,12),(17,31),-0.0225639 # DEPENDENCYPART_SIBL
(17,12),(17,32),0.0467888 # DEPENDENCYPART_SIBL
(17,12),(17,34),0.012413 # DEPENDENCYPART_SIBL
(17,12),(17,35),-0.0370003 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0605167 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.120015 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.115391 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.0293275 # DEPENDENCYPART_SIBL
(17,13),(17,20),-0.0129174 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.0370541 # DEPENDENCYPART_SIBL
(17,13),(17,23),-0.00641969 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.0596611 # DEPENDENCYPART_SIBL
(17,13),(17,27),-0.0262056 # DEPENDENCYPART_SIBL
(17,13),(17,28),-0.0900974 # DEPENDENCYPART_SIBL
(17,13),(17,30),-0.0454511 # DEPENDENCYPART_SIBL
(17,13),(17,31),-0.0511193 # DEPENDENCYPART_SIBL
(17,13),(17,32),-0.0584403 # DEPENDENCYPART_SIBL
(17,13),(17,34),-0.0357684 # DEPENDENCYPART_SIBL
(17,13),(17,35),0.00780064 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.133559 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.497743 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.0560951 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.473238 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.0208156 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.0374114 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.0532773 # DEPENDENCYPART_SIBL
(17,14),(17,27),0.0598693 # DEPENDENCYPART_SIBL
(17,14),(17,28),-0.0644541 # DEPENDENCYPART_SIBL
(17,14),(17,30),0.0653877 # DEPENDENCYPART_SIBL
(17,14),(17,31),0.0459924 # DEPENDENCYPART_SIBL
(17,14),(17,32),-0.0536795 # DEPENDENCYPART_SIBL
(17,14),(17,34),0.0454483 # DEPENDENCYPART_SIBL
(17,14),(17,35),-0.213659 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.402346 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.0875761 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.108093 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.0727594 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.0996462 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.00168684 # DEPENDENCYPART_SIBL
(17,15),(17,27),0.0912635 # DEPENDENCYPART_SIBL
(17,15),(17,28),0.0306043 # DEPENDENCYPART_SIBL
(17,15),(17,30),0.0560083 # DEPENDENCYPART_SIBL
(17,15),(17,31),0.0475396 # DEPENDENCYPART_SIBL
(17,15),(17,32),-0.0518707 # DEPENDENCYPART_SIBL
(17,15),(17,34),0.0811401 # DEPENDENCYPART_SIBL
(17,15),(17,35),0.0335379 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.232502 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.0435903 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.0531452 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.00309756 # DEPENDENCYPART_SIBL
(17,16),(17,24),0.0737106 # DEPENDENCYPART_SIBL
(17,16),(17,27),-0.225153 # DEPENDENCYPART_SIBL
(17,16),(17,28),0.0445902 # DEPENDENCYPART_SIBL
(17,16),(17,30),-0.270955 # DEPENDENCYPART_SIBL
(17,16),(17,31),-0.0727723 # DEPENDENCYPART_SIBL
(17,16),(17,32),0.0589075 # DEPENDENCYPART_SIBL
(17,16),(17,34),-0.23894 # DEPENDENCYPART_SIBL
(17,16),(17,35),0.0982218 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0262434 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.145355 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0284052 # DEPENDENCYPART_SIBL
(17,19),(17,24),0.0427518 # DEPENDENCYPART_SIBL
(17,19),(17,27),-0.258194 # DEPENDENCYPART_SIBL
(17,19),(17,28),-0.0812271 # DEPENDENCYPART_SIBL
(17,19),(17,30),-0.26433 # DEPENDENCYPART_SIBL
(17,19),(17,31),-0.0504762 # DEPENDENCYPART_SIBL
(17,19),(17,32),0.0156472 # DEPENDENCYPART_SIBL
(17,19),(17,34),-0.253565 # DEPENDENCYPART_SIBL
(17,19),(17,35),-0.0240023 # DEPENDENCYPART_SIBL
(17,20),(17,22),0.00990947 # DEPENDENCYPART_SIBL
(17,20),(17,23),0.0605494 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.137561 # DEPENDENCYPART_SIBL
(17,20),(17,27),-0.0356716 # DEPENDENCYPART_SIBL
(17,20),(17,28),-0.0876955 # DEPENDENCYPART_SIBL
(17,20),(17,30),-0.0566333 # DEPENDENCYPART_SIBL
(17,20),(17,31),0.00107175 # DEPENDENCYPART_SIBL
(17,20),(17,32),-0.19881 # DEPENDENCYPART_SIBL
(17,20),(17,34),-0.0241689 # DEPENDENCYPART_SIBL
(17,20),(17,35),-0.0506361 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0241497 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.00723222 # DEPENDENCYPART_SIBL
(17,22),(17,27),0.00980056 # DEPENDENCYPART_SIBL
(17,22),(17,28),-0.00507991 # DEPENDENCYPART_SIBL
(17,22),(17,30),0.0037638 # DEPENDENCYPART_SIBL
(17,22),(17,31),0.0563809 # DEPENDENCYPART_SIBL
(17,22),(17,32),-0.00407108 # DEPENDENCYPART_SIBL
(17,22),(17,34),0.0108982 # DEPENDENCYPART_SIBL
(17,22),(17,35),-0.021037 # DEPENDENCYPART_SIBL
(17,23),(17,24),0.00603483 # DEPENDENCYPART_SIBL
(17,23),(17,27),0.020986 # DEPENDENCYPART_SIBL
(17,23),(17,28),-0.0163218 # DEPENDENCYPART_SIBL
(17,23),(17,30),-0.013765 # DEPENDENCYPART_SIBL
(17,23),(17,31),-0.00669561 # DEPENDENCYPART_SIBL
(17,23),(17,32),-0.00791818 # DEPENDENCYPART_SIBL
(17,23),(17,34),0.0222108 # DEPENDENCYPART_SIBL
(17,23),(17,35),0.00322929 # DEPENDENCYPART_SIBL
(17,24),(17,27),0.00568774 # DEPENDENCYPART_SIBL
(17,24),(17,28),-0.164283 # DEPENDENCYPART_SIBL
(17,24),(17,30),0.0312451 # DEPENDENCYPART_SIBL
(17,24),(17,31),-0.0602009 # DEPENDENCYPART_SIBL
(17,24),(17,32),-0.109773 # DEPENDENCYPART_SIBL
(17,24),(17,34),0.00663592 # DEPENDENCYPART_SIBL
(17,24),(17,35),-0.0433696 # DEPENDENCYPART_SIBL
(17,27),(17,28),-0.0793876 # DEPENDENCYPART_SIBL
