# _root_ La crisi de la companyia es va produir després que Dynegy anunciés , dimecres passat , que renunciava a adquirir l' empresa .
#goldHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,14,18,12,18,19,22,20,8,
#predictedHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,18,18,12,18,19,22,20,8,
(8,2),(8,9),0.0943039 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.123365 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0559731 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00649436 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0185469 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0695099 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0410465 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0185469 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.123365 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0055202 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0153757 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.0246093 # DEPENDENCYPART_SIBL
(8,2),(8,22),-0.0785435 # DEPENDENCYPART_SIBL
(8,2),(8,23),0.0463456 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.131919 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0265856 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.110915 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0552805 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0361731 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.157507 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0983615 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0352689 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.00159665 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0161113 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.067843 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.00159665 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.157507 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0346687 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.00155264 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0156715 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.131324 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.0247616 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0416051 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.219208 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0910304 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0629603 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.224099 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.00715422 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0425613 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0061922 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0773839 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0108332 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0061922 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.224099 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0411438 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.0421788 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.0195541 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.0524892 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.0166891 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.228054 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.203121 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.128421 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0921401 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0236212 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0392121 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0907937 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.114537 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.00125321 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0907937 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0921401 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.0401862 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0747665 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0703157 # DEPENDENCYPART_SIBL
(8,5),(8,22),0.00105074 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.1544 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.479555 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.257912 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00198311 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.278043 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0401072 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.104434 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0172595 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0636784 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.104434 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.00198311 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0396232 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.0135425 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.00873286 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.304194 # DEPENDENCYPART_SIBL
(8,6),(8,23),0.143363 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0945066 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.110297 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0693192 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.00414129 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.100045 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.320063 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0328982 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.100045 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.110297 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.00510312 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.00869778 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0637897 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.105253 # DEPENDENCYPART_SIBL
(8,7),(8,23),0.335155 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0427472 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.00455099 # DEPENDENCYPART_SIBL
(8,9),(8,12),5.05075e-05 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0321223 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0303505 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0335935 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0321223 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0427472 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.00189439 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.0608997 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.0135982 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.0189953 # DEPENDENCYPART_SIBL
(8,9),(8,23),0.0548675 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.122626 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0370883 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.130485 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0692503 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0551093 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.130485 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.240858 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0362167 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.203604 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0354065 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.134717 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.132931 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0401313 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0414782 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0423168 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0478284 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0414782 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.160395 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0387434 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.0430119 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0316388 # DEPENDENCYPART_SIBL
(8,11),(8,22),-0.281371 # DEPENDENCYPART_SIBL
(8,11),(8,23),-0.0517716 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.00558522 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.00506159 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0181812 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.00558522 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0485135 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0285512 # DEPENDENCYPART_SIBL
(8,12),(8,19),0.0190839 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.0306286 # DEPENDENCYPART_SIBL
(8,12),(8,22),-0.0017382 # DEPENDENCYPART_SIBL
(8,12),(8,23),0.0119159 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0552294 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0208739 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0937512 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0438906 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.0516241 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.18544 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.0601626 # DEPENDENCYPART_SIBL
(8,13),(8,22),-0.0716916 # DEPENDENCYPART_SIBL
(8,13),(8,23),-0.0556823 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0815869 # DEPENDENCYPART_SIBL
(8,14),(8,16),0.0242273 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0263764 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.00778193 # DEPENDENCYPART_SIBL
(8,14),(8,19),0.0579251 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.00719015 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.0090846 # DEPENDENCYPART_SIBL
(8,14),(8,23),0.0572897 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.000461001 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0926289 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.0294227 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.144385 # DEPENDENCYPART_SIBL
(8,15),(8,20),0.0246787 # DEPENDENCYPART_SIBL
(8,15),(8,22),-0.0787251 # DEPENDENCYPART_SIBL
(8,15),(8,23),-0.0285855 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.0438906 # DEPENDENCYPART_SIBL
(8,16),(8,18),0.0516241 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.18544 # DEPENDENCYPART_SIBL
(8,16),(8,20),0.0601626 # DEPENDENCYPART_SIBL
(8,16),(8,22),-0.0716916 # DEPENDENCYPART_SIBL
(8,16),(8,23),-0.0556823 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0362167 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.203604 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.0354065 # DEPENDENCYPART_SIBL
(8,17),(8,22),-0.134717 # DEPENDENCYPART_SIBL
(8,17),(8,23),-0.132931 # DEPENDENCYPART_SIBL
(8,18),(8,19),0.019937 # DEPENDENCYPART_SIBL
(8,18),(8,20),-0.0301808 # DEPENDENCYPART_SIBL
(8,18),(8,22),-0.0012745 # DEPENDENCYPART_SIBL
(8,18),(8,23),0.0138371 # DEPENDENCYPART_SIBL
(8,19),(8,20),0.0491647 # DEPENDENCYPART_SIBL
(8,19),(8,22),-0.00915907 # DEPENDENCYPART_SIBL
(8,19),(8,23),0.0302294 # DEPENDENCYPART_SIBL
(8,20),(8,22),-0.00277142 # DEPENDENCYPART_SIBL
(8,20),(8,23),0.0349034 # DEPENDENCYPART_SIBL
(8,22),(8,23),-0.0369457 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.034292 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.102408 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0122636 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0530603 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0530603 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0193949 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0635296 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.0308191 # DEPENDENCYPART_SIBL
(9,8),(9,23),0.0536742 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.00595402 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0104098 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.105977 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.105977 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.0107496 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0396683 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.00950374 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.00148373 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.114209 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0262935 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0262935 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.11361 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.0313623 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.111982 # DEPENDENCYPART_SIBL
(9,11),(9,23),-0.0708062 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.118339 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.118339 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0718438 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.0355559 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0730736 # DEPENDENCYPART_SIBL
(9,12),(9,23),0.0926593 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.247609 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0672917 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0546928 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.0594714 # DEPENDENCYPART_SIBL
(9,13),(9,23),-0.129067 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0672917 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0546928 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.0594714 # DEPENDENCYPART_SIBL
(9,16),(9,23),-0.129067 # DEPENDENCYPART_SIBL
(9,18),(9,19),0.0367529 # DEPENDENCYPART_SIBL
(9,18),(9,20),-0.0720833 # DEPENDENCYPART_SIBL
(9,18),(9,23),0.0955993 # DEPENDENCYPART_SIBL
(9,19),(9,20),-0.0711915 # DEPENDENCYPART_SIBL
(9,19),(9,23),0.0531434 # DEPENDENCYPART_SIBL
(9,20),(9,23),0.105376 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.00252115 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.12178 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0258604 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.13916 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.28653 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.106354 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.00720287 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.164881 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.022069 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0478651 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0511151 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0726009 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0163938 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0324689 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0397986 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.04208 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0238599 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0849647 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.0303728 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.0124705 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.0339826 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.0728944 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.00424218 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0198814 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0769892 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0337286 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.0434447 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.0591877 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.00142457 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.0434447 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.205786 # DEPENDENCYPART_SIBL
(12,1),(12,18),-0.0173073 # DEPENDENCYPART_SIBL
(12,1),(12,19),0.0650134 # DEPENDENCYPART_SIBL
(12,1),(12,20),0.00428235 # DEPENDENCYPART_SIBL
(12,1),(12,22),-0.0337204 # DEPENDENCYPART_SIBL
(12,1),(12,23),-0.0466771 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.015543 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.736748 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.133477 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0128968 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.101601 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.672786 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.734475 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0318893 # DEPENDENCYPART_SIBL
(12,2),(12,14),0.0423729 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0338168 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0318893 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.108588 # DEPENDENCYPART_SIBL
(12,2),(12,18),0.0156448 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.00522217 # DEPENDENCYPART_SIBL
(12,2),(12,20),0.0457742 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.0512257 # DEPENDENCYPART_SIBL
(12,2),(12,23),0.0109482 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.0221333 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.0789262 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.0409206 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.145649 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.160129 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0197194 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0274098 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0365706 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0583114 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0274098 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.127943 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.00823298 # DEPENDENCYPART_SIBL
(12,3),(12,19),0.016801 # DEPENDENCYPART_SIBL
(12,3),(12,20),0.0107642 # DEPENDENCYPART_SIBL
(12,3),(12,22),-0.119422 # DEPENDENCYPART_SIBL
(12,3),(12,23),0.00199527 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.180974 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.0271025 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0841795 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.6543 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.725305 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0403574 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.0873998 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.00848289 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.0403574 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.0773637 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.0613512 # DEPENDENCYPART_SIBL
(12,5),(12,19),0.0849201 # DEPENDENCYPART_SIBL
(12,5),(12,20),0.0914807 # DEPENDENCYPART_SIBL
(12,5),(12,22),0.0283686 # DEPENDENCYPART_SIBL
(12,5),(12,23),0.119003 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0124892 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0112404 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.277155 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.00642563 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.0527827 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.301407 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0172168 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.0527827 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.0876691 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.0368087 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.00862502 # DEPENDENCYPART_SIBL
(12,7),(12,20),0.0954953 # DEPENDENCYPART_SIBL
(12,7),(12,22),-0.0645437 # DEPENDENCYPART_SIBL
(12,7),(12,23),0.297868 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0515447 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.307753 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.019787 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.054788 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0738501 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.00457493 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.054788 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.170189 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.0155389 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.00217771 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.0307924 # DEPENDENCYPART_SIBL
(12,8),(12,22),-0.0608098 # DEPENDENCYPART_SIBL
(12,8),(12,23),0.0254627 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.394152 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0153731 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0304405 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0558663 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0622253 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0304405 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.092044 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.00447451 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.00953223 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.0191622 # DEPENDENCYPART_SIBL
(12,9),(12,22),-0.0472914 # DEPENDENCYPART_SIBL
(12,9),(12,23),0.0196992 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.169278 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.00093269 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.110196 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0599545 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.00093269 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0373694 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0178726 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.0287164 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.0646602 # DEPENDENCYPART_SIBL
(12,10),(12,22),0.0198058 # DEPENDENCYPART_SIBL
(12,10),(12,23),-0.519347 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0328967 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0473184 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0288318 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0328967 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.103546 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.0117364 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0225651 # DEPENDENCYPART_SIBL
(12,11),(12,20),0.0418658 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.0463415 # DEPENDENCYPART_SIBL
(12,11),(12,23),0.0200536 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0593636 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.019039 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.091858 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.0440699 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.0495038 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.204359 # DEPENDENCYPART_SIBL
(12,13),(12,20),0.0580423 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.0565937 # DEPENDENCYPART_SIBL
(12,13),(12,23),-0.0645188 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0806213 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.0299314 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0228875 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0157337 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.0297843 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.015142 # DEPENDENCYPART_SIBL
(12,14),(12,22),0.0083389 # DEPENDENCYPART_SIBL
(12,14),(12,23),0.0546439 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0147911 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0862274 # DEPENDENCYPART_SIBL
(12,15),(12,18),0.0292745 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.165824 # DEPENDENCYPART_SIBL
(12,15),(12,20),0.0245305 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.0608514 # DEPENDENCYPART_SIBL
(12,15),(12,23),-0.0205096 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.0440699 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.0495038 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.204359 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.0580423 # DEPENDENCYPART_SIBL
(12,16),(12,22),-0.0565937 # DEPENDENCYPART_SIBL
(12,16),(12,23),-0.0645188 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.026941 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.220887 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.0261307 # DEPENDENCYPART_SIBL
(12,17),(12,22),-0.111743 # DEPENDENCYPART_SIBL
(12,17),(12,23),-0.126083 # DEPENDENCYPART_SIBL
(12,18),(12,19),0.00280956 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.0271509 # DEPENDENCYPART_SIBL
(12,18),(12,22),0.0194768 # DEPENDENCYPART_SIBL
(12,18),(12,23),0.0152207 # DEPENDENCYPART_SIBL
(12,19),(12,20),0.0121552 # DEPENDENCYPART_SIBL
(12,19),(12,22),-0.00926161 # DEPENDENCYPART_SIBL
