# _root_ La dona va aparcar i va mirar d' agafar un taxi , moment en el qual l' acusat ' la va agafar pels cabells , va iniciar un forcejament i una persecució fins a introduir -la de_nou en el cotxe ' .
#goldHeads=2,4,4,0,4,9,9,9,4,11,9,13,9,22,16,14,18,22,22,22,22,13,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,22,4,
#predictedHeads=2,4,4,0,4,9,9,9,4,11,9,13,11,9,16,14,18,14,22,22,22,18,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,35,4,
(22,4),(22,29),-0.0194698 # DEPENDENCYPART_SIBL
(22,4),(22,30),0.0257062 # DEPENDENCYPART_SIBL
(22,4),(22,32),-0.0195537 # DEPENDENCYPART_SIBL
(22,4),(22,33),0.0067474 # DEPENDENCYPART_SIBL
(22,4),(22,34),0.00991058 # DEPENDENCYPART_SIBL
(22,4),(22,35),-0.00267019 # DEPENDENCYPART_SIBL
(22,4),(22,38),0.0286147 # DEPENDENCYPART_SIBL
(22,4),(22,41),-0.0204822 # DEPENDENCYPART_SIBL
(22,4),(22,42),0.044258 # DEPENDENCYPART_SIBL
(22,5),(22,6),-0.0462552 # DEPENDENCYPART_SIBL
(22,5),(22,7),-0.00937575 # DEPENDENCYPART_SIBL
(22,5),(22,8),0.0406023 # DEPENDENCYPART_SIBL
(22,5),(22,9),-0.00781926 # DEPENDENCYPART_SIBL
(22,5),(22,11),0.0291774 # DEPENDENCYPART_SIBL
(22,5),(22,12),-0.30181 # DEPENDENCYPART_SIBL
(22,5),(22,13),0.0241089 # DEPENDENCYPART_SIBL
(22,5),(22,14),0.0642263 # DEPENDENCYPART_SIBL
(22,5),(22,15),-0.177555 # DEPENDENCYPART_SIBL
(22,5),(22,17),-0.0704909 # DEPENDENCYPART_SIBL
(22,5),(22,18),0.028648 # DEPENDENCYPART_SIBL
(22,5),(22,19),0.0501081 # DEPENDENCYPART_SIBL
(22,5),(22,20),0.172392 # DEPENDENCYPART_SIBL
(22,5),(22,21),-0.0462552 # DEPENDENCYPART_SIBL
(22,5),(22,23),0.0285961 # DEPENDENCYPART_SIBL
(22,5),(22,24),-0.126403 # DEPENDENCYPART_SIBL
(22,5),(22,25),-0.0137367 # DEPENDENCYPART_SIBL
(22,5),(22,26),-0.117953 # DEPENDENCYPART_SIBL
(22,5),(22,27),-0.0373689 # DEPENDENCYPART_SIBL
(22,5),(22,29),-0.129129 # DEPENDENCYPART_SIBL
(22,5),(22,30),-0.0287512 # DEPENDENCYPART_SIBL
(22,5),(22,32),-0.129205 # DEPENDENCYPART_SIBL
(22,5),(22,33),-0.025323 # DEPENDENCYPART_SIBL
(22,5),(22,34),-0.0520752 # DEPENDENCYPART_SIBL
(22,5),(22,35),-0.026735 # DEPENDENCYPART_SIBL
(22,5),(22,38),0.0530504 # DEPENDENCYPART_SIBL
(22,5),(22,41),0.00918874 # DEPENDENCYPART_SIBL
(22,5),(22,42),0.0530732 # DEPENDENCYPART_SIBL
(22,6),(22,7),0.0245571 # DEPENDENCYPART_SIBL
(22,6),(22,8),0.246525 # DEPENDENCYPART_SIBL
(22,6),(22,9),0.0103356 # DEPENDENCYPART_SIBL
(22,6),(22,11),0.00115584 # DEPENDENCYPART_SIBL
(22,6),(22,12),-0.118139 # DEPENDENCYPART_SIBL
(22,6),(22,13),-0.00259054 # DEPENDENCYPART_SIBL
(22,6),(22,14),-0.0801929 # DEPENDENCYPART_SIBL
(22,6),(22,15),-0.0371609 # DEPENDENCYPART_SIBL
(22,6),(22,17),-0.00778455 # DEPENDENCYPART_SIBL
(22,6),(22,18),-0.0161482 # DEPENDENCYPART_SIBL
(22,6),(22,19),0.0381758 # DEPENDENCYPART_SIBL
(22,6),(22,20),0.0851089 # DEPENDENCYPART_SIBL
(22,6),(22,21),-0.0351432 # DEPENDENCYPART_SIBL
(22,6),(22,23),0.205221 # DEPENDENCYPART_SIBL
(22,6),(22,24),0.000398638 # DEPENDENCYPART_SIBL
(22,6),(22,25),0.0528922 # DEPENDENCYPART_SIBL
(22,6),(22,26),-0.0993968 # DEPENDENCYPART_SIBL
(22,6),(22,27),0.043323 # DEPENDENCYPART_SIBL
(22,6),(22,29),-0.00558845 # DEPENDENCYPART_SIBL
(22,6),(22,30),0.177673 # DEPENDENCYPART_SIBL
(22,6),(22,32),-0.00569037 # DEPENDENCYPART_SIBL
(22,6),(22,33),0.0860009 # DEPENDENCYPART_SIBL
(22,6),(22,34),0.0327126 # DEPENDENCYPART_SIBL
(22,6),(22,35),0.0648819 # DEPENDENCYPART_SIBL
(22,6),(22,38),0.0774391 # DEPENDENCYPART_SIBL
(22,6),(22,41),0.070383 # DEPENDENCYPART_SIBL
(22,6),(22,42),0.326908 # DEPENDENCYPART_SIBL
(22,7),(22,8),0.20689 # DEPENDENCYPART_SIBL
(22,7),(22,9),-0.0587959 # DEPENDENCYPART_SIBL
(22,7),(22,11),0.0141591 # DEPENDENCYPART_SIBL
(22,7),(22,12),-0.120866 # DEPENDENCYPART_SIBL
(22,7),(22,13),0.0104123 # DEPENDENCYPART_SIBL
(22,7),(22,14),-0.113797 # DEPENDENCYPART_SIBL
(22,7),(22,15),-0.0507928 # DEPENDENCYPART_SIBL
(22,7),(22,17),-0.0225063 # DEPENDENCYPART_SIBL
(22,7),(22,18),-0.0012527 # DEPENDENCYPART_SIBL
(22,7),(22,19),0.0253628 # DEPENDENCYPART_SIBL
(22,7),(22,20),0.0628412 # DEPENDENCYPART_SIBL
(22,7),(22,21),-0.0121402 # DEPENDENCYPART_SIBL
(22,7),(22,23),0.138462 # DEPENDENCYPART_SIBL
(22,7),(22,24),0.00379213 # DEPENDENCYPART_SIBL
(22,7),(22,25),-0.0557665 # DEPENDENCYPART_SIBL
(22,7),(22,26),-0.101974 # DEPENDENCYPART_SIBL
(22,7),(22,27),0.00366651 # DEPENDENCYPART_SIBL
(22,7),(22,29),-0.00222771 # DEPENDENCYPART_SIBL
(22,7),(22,30),0.035323 # DEPENDENCYPART_SIBL
(22,7),(22,32),-0.00231155 # DEPENDENCYPART_SIBL
(22,7),(22,33),0.0300396 # DEPENDENCYPART_SIBL
(22,7),(22,34),0.0331199 # DEPENDENCYPART_SIBL
(22,7),(22,35),0.0270026 # DEPENDENCYPART_SIBL
(22,7),(22,38),0.0517552 # DEPENDENCYPART_SIBL
(22,7),(22,41),-0.0109263 # DEPENDENCYPART_SIBL
(22,7),(22,42),0.0537388 # DEPENDENCYPART_SIBL
(22,8),(22,9),-0.068016 # DEPENDENCYPART_SIBL
(22,8),(22,11),-0.0217914 # DEPENDENCYPART_SIBL
(22,8),(22,12),-0.388296 # DEPENDENCYPART_SIBL
(22,8),(22,13),-0.0279525 # DEPENDENCYPART_SIBL
(22,8),(22,14),-0.0887234 # DEPENDENCYPART_SIBL
(22,8),(22,15),-0.202324 # DEPENDENCYPART_SIBL
(22,8),(22,17),-0.137386 # DEPENDENCYPART_SIBL
(22,8),(22,18),-0.0106041 # DEPENDENCYPART_SIBL
(22,8),(22,19),-0.0803659 # DEPENDENCYPART_SIBL
(22,8),(22,20),-0.0368534 # DEPENDENCYPART_SIBL
(22,8),(22,21),-0.0462275 # DEPENDENCYPART_SIBL
(22,8),(22,23),-0.0043092 # DEPENDENCYPART_SIBL
(22,8),(22,24),-0.0222494 # DEPENDENCYPART_SIBL
(22,8),(22,25),-0.0527448 # DEPENDENCYPART_SIBL
(22,8),(22,26),-0.0987073 # DEPENDENCYPART_SIBL
(22,8),(22,27),-0.0186442 # DEPENDENCYPART_SIBL
(22,8),(22,29),-0.0243894 # DEPENDENCYPART_SIBL
(22,8),(22,30),0.0198596 # DEPENDENCYPART_SIBL
(22,8),(22,32),-0.0244496 # DEPENDENCYPART_SIBL
(22,8),(22,33),-0.032593 # DEPENDENCYPART_SIBL
(22,8),(22,34),-0.0693442 # DEPENDENCYPART_SIBL
(22,8),(22,35),-0.00047811 # DEPENDENCYPART_SIBL
(22,8),(22,38),-0.0863848 # DEPENDENCYPART_SIBL
(22,8),(22,41),-0.0424382 # DEPENDENCYPART_SIBL
(22,8),(22,42),-0.00791507 # DEPENDENCYPART_SIBL
(22,9),(22,11),-0.00824068 # DEPENDENCYPART_SIBL
(22,9),(22,12),-0.142127 # DEPENDENCYPART_SIBL
(22,9),(22,13),-0.0119873 # DEPENDENCYPART_SIBL
(22,9),(22,14),-0.166768 # DEPENDENCYPART_SIBL
(22,9),(22,15),-0.0720028 # DEPENDENCYPART_SIBL
(22,9),(22,17),-0.0436501 # DEPENDENCYPART_SIBL
(22,9),(22,18),-0.0236523 # DEPENDENCYPART_SIBL
(22,9),(22,19),0.00393069 # DEPENDENCYPART_SIBL
(22,9),(22,20),0.0316351 # DEPENDENCYPART_SIBL
(22,9),(22,21),-0.0333161 # DEPENDENCYPART_SIBL
(22,9),(22,23),0.1133 # DEPENDENCYPART_SIBL
(22,9),(22,24),-0.0149541 # DEPENDENCYPART_SIBL
(22,9),(22,25),-0.0650154 # DEPENDENCYPART_SIBL
(22,9),(22,26),-0.133506 # DEPENDENCYPART_SIBL
(22,9),(22,27),-0.027865 # DEPENDENCYPART_SIBL
(22,9),(22,29),-0.0209739 # DEPENDENCYPART_SIBL
(22,9),(22,30),0.0251919 # DEPENDENCYPART_SIBL
(22,9),(22,32),-0.0210577 # DEPENDENCYPART_SIBL
(22,9),(22,33),0.00486583 # DEPENDENCYPART_SIBL
(22,9),(22,34),0.00803005 # DEPENDENCYPART_SIBL
(22,9),(22,35),-0.00452892 # DEPENDENCYPART_SIBL
(22,9),(22,38),0.0267443 # DEPENDENCYPART_SIBL
(22,9),(22,41),-0.0230585 # DEPENDENCYPART_SIBL
(22,9),(22,42),0.0414376 # DEPENDENCYPART_SIBL
(22,11),(22,12),-0.490438 # DEPENDENCYPART_SIBL
(22,11),(22,13),-0.734681 # DEPENDENCYPART_SIBL
(22,11),(22,14),-0.084807 # DEPENDENCYPART_SIBL
(22,11),(22,15),-0.175577 # DEPENDENCYPART_SIBL
(22,11),(22,17),-0.141719 # DEPENDENCYPART_SIBL
(22,11),(22,18),-0.725058 # DEPENDENCYPART_SIBL
(22,11),(22,19),-0.0199867 # DEPENDENCYPART_SIBL
(22,11),(22,20),-0.0184538 # DEPENDENCYPART_SIBL
(22,11),(22,21),0.137815 # DEPENDENCYPART_SIBL
(22,11),(22,23),0.0506072 # DEPENDENCYPART_SIBL
(22,11),(22,24),-0.0112743 # DEPENDENCYPART_SIBL
(22,11),(22,25),-0.0302466 # DEPENDENCYPART_SIBL
(22,11),(22,26),-0.0591102 # DEPENDENCYPART_SIBL
(22,11),(22,27),0.0199836 # DEPENDENCYPART_SIBL
(22,11),(22,29),-0.0113846 # DEPENDENCYPART_SIBL
(22,11),(22,30),0.0808585 # DEPENDENCYPART_SIBL
(22,11),(22,32),-0.0114399 # DEPENDENCYPART_SIBL
(22,11),(22,33),0.0300085 # DEPENDENCYPART_SIBL
(22,11),(22,34),0.0383331 # DEPENDENCYPART_SIBL
(22,11),(22,35),0.0356397 # DEPENDENCYPART_SIBL
(22,11),(22,38),0.04058 # DEPENDENCYPART_SIBL
(22,11),(22,41),-0.00688703 # DEPENDENCYPART_SIBL
(22,11),(22,42),0.0434668 # DEPENDENCYPART_SIBL
(22,12),(22,13),0.0214751 # DEPENDENCYPART_SIBL
(22,12),(22,14),0.108049 # DEPENDENCYPART_SIBL
(22,12),(22,15),-0.0950637 # DEPENDENCYPART_SIBL
(22,12),(22,17),-0.0638383 # DEPENDENCYPART_SIBL
(22,12),(22,18),0.0508132 # DEPENDENCYPART_SIBL
(22,12),(22,19),0.164818 # DEPENDENCYPART_SIBL
(22,12),(22,20),-0.109773 # DEPENDENCYPART_SIBL
(22,12),(22,21),0.12092 # DEPENDENCYPART_SIBL
(22,12),(22,23),0.0957369 # DEPENDENCYPART_SIBL
(22,12),(22,24),-0.0367316 # DEPENDENCYPART_SIBL
(22,12),(22,25),0.167089 # DEPENDENCYPART_SIBL
(22,12),(22,26),-0.158586 # DEPENDENCYPART_SIBL
(22,12),(22,27),-0.0553347 # DEPENDENCYPART_SIBL
(22,12),(22,29),-0.0253146 # DEPENDENCYPART_SIBL
(22,12),(22,30),-0.0047672 # DEPENDENCYPART_SIBL
(22,12),(22,32),-0.0253751 # DEPENDENCYPART_SIBL
(22,12),(22,33),0.0537374 # DEPENDENCYPART_SIBL
(22,12),(22,34),-0.0034839 # DEPENDENCYPART_SIBL
(22,12),(22,35),-0.0280716 # DEPENDENCYPART_SIBL
(22,12),(22,38),-0.0214347 # DEPENDENCYPART_SIBL
(22,12),(22,41),-0.0887627 # DEPENDENCYPART_SIBL
(22,12),(22,42),-0.488087 # DEPENDENCYPART_SIBL
(22,13),(22,14),-0.0880527 # DEPENDENCYPART_SIBL
(22,13),(22,15),-0.173555 # DEPENDENCYPART_SIBL
(22,13),(22,17),-0.139698 # DEPENDENCYPART_SIBL
(22,13),(22,18),-0.723036 # DEPENDENCYPART_SIBL
(22,13),(22,19),-0.0186524 # DEPENDENCYPART_SIBL
(22,13),(22,20),-0.0131372 # DEPENDENCYPART_SIBL
(22,13),(22,21),0.152175 # DEPENDENCYPART_SIBL
(22,13),(22,23),0.0459859 # DEPENDENCYPART_SIBL
(22,13),(22,24),-0.018053 # DEPENDENCYPART_SIBL
(22,13),(22,25),-0.043647 # DEPENDENCYPART_SIBL
(22,13),(22,26),-0.061595 # DEPENDENCYPART_SIBL
(22,13),(22,27),0.0174988 # DEPENDENCYPART_SIBL
(22,13),(22,29),-0.0181633 # DEPENDENCYPART_SIBL
(22,13),(22,30),0.0757886 # DEPENDENCYPART_SIBL
(22,13),(22,32),-0.0182186 # DEPENDENCYPART_SIBL
(22,13),(22,33),0.025439 # DEPENDENCYPART_SIBL
(22,13),(22,34),0.0333516 # DEPENDENCYPART_SIBL
(22,13),(22,35),0.0331549 # DEPENDENCYPART_SIBL
(22,13),(22,38),0.0357284 # DEPENDENCYPART_SIBL
(22,13),(22,41),-0.0184802 # DEPENDENCYPART_SIBL
(22,13),(22,42),0.0283941 # DEPENDENCYPART_SIBL
(22,14),(22,15),-0.154209 # DEPENDENCYPART_SIBL
(22,14),(22,17),-0.086537 # DEPENDENCYPART_SIBL
(22,14),(22,18),0.0194541 # DEPENDENCYPART_SIBL
(22,14),(22,19),-0.0356187 # DEPENDENCYPART_SIBL
(22,14),(22,20),0.0720113 # DEPENDENCYPART_SIBL
(22,14),(22,21),0.00810418 # DEPENDENCYPART_SIBL
(22,14),(22,23),0.00141294 # DEPENDENCYPART_SIBL
(22,14),(22,24),-0.0137869 # DEPENDENCYPART_SIBL
(22,14),(22,25),-0.0621643 # DEPENDENCYPART_SIBL
(22,14),(22,26),-0.0930614 # DEPENDENCYPART_SIBL
(22,14),(22,27),-0.0142157 # DEPENDENCYPART_SIBL
(22,14),(22,29),-0.0159269 # DEPENDENCYPART_SIBL
(22,14),(22,30),0.0474177 # DEPENDENCYPART_SIBL
(22,14),(22,32),-0.0159923 # DEPENDENCYPART_SIBL
(22,14),(22,33),0.0115136 # DEPENDENCYPART_SIBL
(22,14),(22,34),-0.0177813 # DEPENDENCYPART_SIBL
(22,14),(22,35),0.00433019 # DEPENDENCYPART_SIBL
(22,14),(22,38),-0.0866845 # DEPENDENCYPART_SIBL
(22,14),(22,41),-0.0627409 # DEPENDENCYPART_SIBL
(22,14),(22,42),-0.00826696 # DEPENDENCYPART_SIBL
(22,15),(22,17),-0.366209 # DEPENDENCYPART_SIBL
(22,15),(22,18),-0.01092 # DEPENDENCYPART_SIBL
(22,15),(22,19),0.262858 # DEPENDENCYPART_SIBL
(22,15),(22,20),0.292447 # DEPENDENCYPART_SIBL
(22,15),(22,21),0.0713473 # DEPENDENCYPART_SIBL
(22,15),(22,23),0.0485046 # DEPENDENCYPART_SIBL
(22,15),(22,24),-0.00438749 # DEPENDENCYPART_SIBL
(22,15),(22,25),-0.0546804 # DEPENDENCYPART_SIBL
(22,15),(22,26),-0.183591 # DEPENDENCYPART_SIBL
(22,15),(22,27),-0.0586406 # DEPENDENCYPART_SIBL
(22,15),(22,29),-0.00926693 # DEPENDENCYPART_SIBL
(22,15),(22,30),0.0186931 # DEPENDENCYPART_SIBL
(22,15),(22,32),-0.00723916 # DEPENDENCYPART_SIBL
(22,15),(22,33),-0.049364 # DEPENDENCYPART_SIBL
(22,15),(22,34),0.0527657 # DEPENDENCYPART_SIBL
(22,15),(22,35),-0.0497277 # DEPENDENCYPART_SIBL
(22,15),(22,38),-0.0297012 # DEPENDENCYPART_SIBL
(22,15),(22,41),-0.107593 # DEPENDENCYPART_SIBL
(22,15),(22,42),-0.10514 # DEPENDENCYPART_SIBL
(22,17),(22,18),-0.0689483 # DEPENDENCYPART_SIBL
(22,17),(22,19),0.175824 # DEPENDENCYPART_SIBL
(22,17),(22,20),0.0866195 # DEPENDENCYPART_SIBL
(22,17),(22,21),-0.00165856 # DEPENDENCYPART_SIBL
(22,17),(22,23),0.0108405 # DEPENDENCYPART_SIBL
(22,17),(22,24),-0.0781305 # DEPENDENCYPART_SIBL
(22,17),(22,25),-0.0925276 # DEPENDENCYPART_SIBL
(22,17),(22,26),-0.230095 # DEPENDENCYPART_SIBL
(22,17),(22,27),-0.101656 # DEPENDENCYPART_SIBL
(22,17),(22,29),-0.0826349 # DEPENDENCYPART_SIBL
(22,17),(22,30),-0.134406 # DEPENDENCYPART_SIBL
(22,17),(22,32),-0.0806044 # DEPENDENCYPART_SIBL
(22,17),(22,33),-0.029035 # DEPENDENCYPART_SIBL
(22,17),(22,34),0.0617008 # DEPENDENCYPART_SIBL
(22,17),(22,35),-0.0909093 # DEPENDENCYPART_SIBL
(22,17),(22,38),-0.0244723 # DEPENDENCYPART_SIBL
(22,17),(22,41),-0.0903643 # DEPENDENCYPART_SIBL
(22,17),(22,42),-0.0767004 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.0228068 # DEPENDENCYPART_SIBL
(22,18),(22,20),-0.00961288 # DEPENDENCYPART_SIBL
(22,18),(22,21),0.146861 # DEPENDENCYPART_SIBL
(22,18),(22,23),0.0892341 # DEPENDENCYPART_SIBL
(22,18),(22,24),0.0216788 # DEPENDENCYPART_SIBL
(22,18),(22,25),-0.0214232 # DEPENDENCYPART_SIBL
(22,18),(22,26),0.0234735 # DEPENDENCYPART_SIBL
(22,18),(22,27),0.104135 # DEPENDENCYPART_SIBL
(22,18),(22,29),0.0215685 # DEPENDENCYPART_SIBL
(22,18),(22,30),0.145517 # DEPENDENCYPART_SIBL
(22,18),(22,32),0.0215133 # DEPENDENCYPART_SIBL
(22,18),(22,33),0.0745219 # DEPENDENCYPART_SIBL
(22,18),(22,34),0.0747368 # DEPENDENCYPART_SIBL
(22,18),(22,35),0.119791 # DEPENDENCYPART_SIBL
(22,18),(22,38),0.073353 # DEPENDENCYPART_SIBL
(22,18),(22,41),0.0234037 # DEPENDENCYPART_SIBL
(22,18),(22,42),0.0947595 # DEPENDENCYPART_SIBL
(22,19),(22,20),-0.00103315 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.0659283 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.107724 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.00152673 # DEPENDENCYPART_SIBL
(22,19),(22,25),-0.0426074 # DEPENDENCYPART_SIBL
(22,19),(22,26),-0.0874705 # DEPENDENCYPART_SIBL
(22,19),(22,27),0.00766097 # DEPENDENCYPART_SIBL
(22,19),(22,29),0.00380467 # DEPENDENCYPART_SIBL
(22,19),(22,30),0.0476177 # DEPENDENCYPART_SIBL
(22,19),(22,32),0.00374479 # DEPENDENCYPART_SIBL
(22,19),(22,33),0.0043955 # DEPENDENCYPART_SIBL
(22,19),(22,34),-0.0766943 # DEPENDENCYPART_SIBL
(22,19),(22,35),0.0263127 # DEPENDENCYPART_SIBL
(22,19),(22,38),-0.0231634 # DEPENDENCYPART_SIBL
(22,19),(22,41),0.773138 # DEPENDENCYPART_SIBL
(22,19),(22,42),-0.0335745 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.306741 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.0939703 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.0143071 # DEPENDENCYPART_SIBL
(22,20),(22,25),0.0876009 # DEPENDENCYPART_SIBL
(22,20),(22,26),-0.0736071 # DEPENDENCYPART_SIBL
(22,20),(22,27),0.0329517 # DEPENDENCYPART_SIBL
(22,20),(22,29),-0.0195505 # DEPENDENCYPART_SIBL
(22,20),(22,30),0.102227 # DEPENDENCYPART_SIBL
(22,20),(22,32),-0.0175505 # DEPENDENCYPART_SIBL
(22,20),(22,33),0.0323907 # DEPENDENCYPART_SIBL
(22,20),(22,34),0.127929 # DEPENDENCYPART_SIBL
(22,20),(22,35),0.0566303 # DEPENDENCYPART_SIBL
(22,20),(22,38),0.0573067 # DEPENDENCYPART_SIBL
(22,20),(22,41),0.0110792 # DEPENDENCYPART_SIBL
(22,20),(22,42),0.00915507 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.205221 # DEPENDENCYPART_SIBL
(22,21),(22,24),0.000398638 # DEPENDENCYPART_SIBL
(22,21),(22,25),0.0528922 # DEPENDENCYPART_SIBL
(22,21),(22,26),-0.0993968 # DEPENDENCYPART_SIBL
(22,21),(22,27),0.043323 # DEPENDENCYPART_SIBL
(22,21),(22,29),-0.00558845 # DEPENDENCYPART_SIBL
(22,21),(22,30),0.177673 # DEPENDENCYPART_SIBL
(22,21),(22,32),-0.00569037 # DEPENDENCYPART_SIBL
(22,21),(22,33),0.0860009 # DEPENDENCYPART_SIBL
(22,21),(22,34),0.0327126 # DEPENDENCYPART_SIBL
(22,21),(22,35),0.0648819 # DEPENDENCYPART_SIBL
(22,21),(22,38),0.0774391 # DEPENDENCYPART_SIBL
(22,21),(22,41),0.070383 # DEPENDENCYPART_SIBL
(22,21),(22,42),0.326908 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.00597711 # DEPENDENCYPART_SIBL
(22,23),(22,25),0.00225502 # DEPENDENCYPART_SIBL
(22,23),(22,26),-0.0558202 # DEPENDENCYPART_SIBL
(22,23),(22,27),0.0355967 # DEPENDENCYPART_SIBL
(22,23),(22,29),-0.0059241 # DEPENDENCYPART_SIBL
(22,23),(22,30),0.0133447 # DEPENDENCYPART_SIBL
(22,23),(22,32),-0.00802045 # DEPENDENCYPART_SIBL
(22,23),(22,33),0.012495 # DEPENDENCYPART_SIBL
(22,23),(22,34),-0.0729291 # DEPENDENCYPART_SIBL
(22,23),(22,35),0.016349 # DEPENDENCYPART_SIBL
(22,23),(22,38),-0.0771208 # DEPENDENCYPART_SIBL
(22,23),(22,41),-0.0200747 # DEPENDENCYPART_SIBL
(22,23),(22,42),0.00197467 # DEPENDENCYPART_SIBL
(22,24),(22,25),0.0178843 # DEPENDENCYPART_SIBL
(22,24),(22,26),-0.0668413 # DEPENDENCYPART_SIBL
(22,24),(22,27),0.0382769 # DEPENDENCYPART_SIBL
(22,24),(22,29),-0.21417 # DEPENDENCYPART_SIBL
(22,24),(22,30),0.0549839 # DEPENDENCYPART_SIBL
(22,24),(22,32),-0.214187 # DEPENDENCYPART_SIBL
(22,24),(22,33),0.0757213 # DEPENDENCYPART_SIBL
(22,24),(22,34),0.0974234 # DEPENDENCYPART_SIBL
(22,24),(22,35),0.0175706 # DEPENDENCYPART_SIBL
(22,24),(22,38),0.137945 # DEPENDENCYPART_SIBL
(22,24),(22,41),0.0179577 # DEPENDENCYPART_SIBL
(22,24),(22,42),0.0490897 # DEPENDENCYPART_SIBL
(22,25),(22,26),-0.0570131 # DEPENDENCYPART_SIBL
(22,25),(22,27),0.0619001 # DEPENDENCYPART_SIBL
(22,25),(22,29),-0.0499239 # DEPENDENCYPART_SIBL
(22,25),(22,30),0.205598 # DEPENDENCYPART_SIBL
(22,25),(22,32),-0.0499399 # DEPENDENCYPART_SIBL
(22,25),(22,33),-0.137392 # DEPENDENCYPART_SIBL
(22,25),(22,34),-0.216364 # DEPENDENCYPART_SIBL
(22,25),(22,35),0.0241889 # DEPENDENCYPART_SIBL
(22,25),(22,38),-0.147966 # DEPENDENCYPART_SIBL
(22,25),(22,41),-0.0708748 # DEPENDENCYPART_SIBL
(22,25),(22,42),-0.0620485 # DEPENDENCYPART_SIBL
(22,26),(22,27),-0.0417694 # DEPENDENCYPART_SIBL
(22,26),(22,29),-0.00374072 # DEPENDENCYPART_SIBL
(22,26),(22,30),-0.00364676 # DEPENDENCYPART_SIBL
(22,26),(22,32),-0.00374975 # DEPENDENCYPART_SIBL
(22,26),(22,33),-0.0142634 # DEPENDENCYPART_SIBL
(22,26),(22,34),-0.0366596 # DEPENDENCYPART_SIBL
(22,26),(22,35),-0.0421204 # DEPENDENCYPART_SIBL
(22,26),(22,38),-0.0138633 # DEPENDENCYPART_SIBL
(22,26),(22,41),-0.0483128 # DEPENDENCYPART_SIBL
(22,26),(22,42),-0.0243705 # DEPENDENCYPART_SIBL
(22,27),(22,29),0.0202558 # DEPENDENCYPART_SIBL
(22,27),(22,30),0.00630376 # DEPENDENCYPART_SIBL
(22,27),(22,32),0.0202468 # DEPENDENCYPART_SIBL
(22,27),(22,33),0.0269377 # DEPENDENCYPART_SIBL
(22,27),(22,34),0.0067744 # DEPENDENCYPART_SIBL
(22,27),(22,35),-0.0204939 # DEPENDENCYPART_SIBL
(22,27),(22,38),0.0282574 # DEPENDENCYPART_SIBL
(22,27),(22,41),0.0065953 # DEPENDENCYPART_SIBL
(22,27),(22,42),0.0371388 # DEPENDENCYPART_SIBL
(22,29),(22,30),0.0414082 # DEPENDENCYPART_SIBL
(22,29),(22,32),-0.226547 # DEPENDENCYPART_SIBL
(22,29),(22,33),0.0469538 # DEPENDENCYPART_SIBL
(22,29),(22,34),0.0684782 # DEPENDENCYPART_SIBL
(22,29),(22,35),0.00352758 # DEPENDENCYPART_SIBL
(22,29),(22,38),0.112654 # DEPENDENCYPART_SIBL
(22,29),(22,41),0.00173576 # DEPENDENCYPART_SIBL
(22,29),(22,42),0.0283149 # DEPENDENCYPART_SIBL
(22,30),(22,32),0.214991 # DEPENDENCYPART_SIBL
(22,30),(22,33),0.0247572 # DEPENDENCYPART_SIBL
(22,30),(22,34),-0.080356 # DEPENDENCYPART_SIBL
(22,30),(22,35),0.686207 # DEPENDENCYPART_SIBL
(22,30),(22,38),0.0225305 # DEPENDENCYPART_SIBL
(22,30),(22,41),-0.0015007 # DEPENDENCYPART_SIBL
(22,30),(22,42),0.0730838 # DEPENDENCYPART_SIBL
(22,32),(22,33),0.0737472 # DEPENDENCYPART_SIBL
(22,32),(22,34),0.0956707 # DEPENDENCYPART_SIBL
(22,32),(22,35),0.0138367 # DEPENDENCYPART_SIBL
(22,32),(22,38),0.126579 # DEPENDENCYPART_SIBL
(22,32),(22,41),0.00925251 # DEPENDENCYPART_SIBL
(22,32),(22,42),0.0353183 # DEPENDENCYPART_SIBL
(22,33),(22,34),-0.14663 # DEPENDENCYPART_SIBL
(22,33),(22,35),-0.0445581 # DEPENDENCYPART_SIBL
(22,33),(22,38),-0.109087 # DEPENDENCYPART_SIBL
(22,33),(22,41),-0.0317547 # DEPENDENCYPART_SIBL
(22,33),(22,42),-0.0101374 # DEPENDENCYPART_SIBL
(22,34),(22,35),0.0054638 # DEPENDENCYPART_SIBL
(22,34),(22,38),-0.0443129 # DEPENDENCYPART_SIBL
(22,34),(22,41),-0.0326614 # DEPENDENCYPART_SIBL
(22,34),(22,42),0.0225302 # DEPENDENCYPART_SIBL
(22,35),(22,38),0.0271995 # DEPENDENCYPART_SIBL
(22,35),(22,41),0.0120068 # DEPENDENCYPART_SIBL
(22,35),(22,42),0.0435769 # DEPENDENCYPART_SIBL
