# _root_ Dins l' àmbit del Barri_Antic , el consistori també ha anunciat l' inici de la renovació del paviment del carrer Sobrerroca , que començarà el dia_10_de_juny .
#goldHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,16,26,24,11,
#predictedHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,18,26,24,11,
(8,6),(8,24),0.0949018 # DEPENDENCYPART_SIBL
(8,6),(8,27),-0.319556 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.16268 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.164972 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0206275 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.3059 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.348341 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.307307 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.307307 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.299632 # DEPENDENCYPART_SIBL
(8,7),(8,24),-0.0358737 # DEPENDENCYPART_SIBL
(8,7),(8,27),-0.0272976 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0252448 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0124994 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0252228 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0157383 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0212544 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0212544 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.0261582 # DEPENDENCYPART_SIBL
(8,9),(8,24),-0.0411957 # DEPENDENCYPART_SIBL
(8,9),(8,27),0.0452919 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0605422 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.00447111 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0130777 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0159574 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0159574 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.00356744 # DEPENDENCYPART_SIBL
(8,10),(8,24),-0.0881043 # DEPENDENCYPART_SIBL
(8,10),(8,27),0.0145576 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0300924 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0467125 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.00191185 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.00191185 # DEPENDENCYPART_SIBL
(8,11),(8,21),0.0309961 # DEPENDENCYPART_SIBL
(8,11),(8,24),-0.062246 # DEPENDENCYPART_SIBL
(8,11),(8,27),0.047409 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.049161 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.00982909 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.00982909 # DEPENDENCYPART_SIBL
(8,13),(8,21),0.012633 # DEPENDENCYPART_SIBL
(8,13),(8,24),0.0042171 # DEPENDENCYPART_SIBL
(8,13),(8,27),0.00568869 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.0397308 # DEPENDENCYPART_SIBL
(8,14),(8,19),0.0397308 # DEPENDENCYPART_SIBL
(8,14),(8,21),0.0135772 # DEPENDENCYPART_SIBL
(8,14),(8,24),-0.0124688 # DEPENDENCYPART_SIBL
(8,14),(8,27),0.00781297 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.0328614 # DEPENDENCYPART_SIBL
(8,17),(8,21),0.0190808 # DEPENDENCYPART_SIBL
(8,17),(8,24),-0.0492701 # DEPENDENCYPART_SIBL
(8,17),(8,27),0.020062 # DEPENDENCYPART_SIBL
(8,19),(8,21),0.0190808 # DEPENDENCYPART_SIBL
(8,19),(8,24),-0.0492701 # DEPENDENCYPART_SIBL
(8,19),(8,27),0.020062 # DEPENDENCYPART_SIBL
(8,21),(8,24),0.00470296 # DEPENDENCYPART_SIBL
(8,21),(8,27),-0.00443539 # DEPENDENCYPART_SIBL
(8,24),(8,27),0.0313848 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0501695 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.00015442 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.110982 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.150962 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.00279418 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.00954543 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.121989 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.144624 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.000790091 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.199925 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.241822 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0663516 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.105777 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0634234 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0309843 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.00712454 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0586207 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.235109 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0135704 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0693285 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0112783 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.131132 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0823198 # DEPENDENCYPART_SIBL
(10,1),(10,22),-0.0724121 # DEPENDENCYPART_SIBL
(10,1),(10,24),-0.0103009 # DEPENDENCYPART_SIBL
(10,1),(10,27),0.0600838 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.117809 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.480379 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.749845 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0587294 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0235063 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0460195 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0691422 # DEPENDENCYPART_SIBL
(10,3),(10,22),-0.09229 # DEPENDENCYPART_SIBL
(10,3),(10,24),-0.0232018 # DEPENDENCYPART_SIBL
(10,3),(10,27),-0.00960331 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.307334 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.068454 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.00969552 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0396501 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0106818 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0567216 # DEPENDENCYPART_SIBL
(10,4),(10,22),-0.103999 # DEPENDENCYPART_SIBL
(10,4),(10,24),-0.0386727 # DEPENDENCYPART_SIBL
(10,4),(10,27),0.0221417 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.075632 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0494332 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0627214 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0496078 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0592223 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.153723 # DEPENDENCYPART_SIBL
(10,6),(10,24),-0.0503911 # DEPENDENCYPART_SIBL
(10,6),(10,27),-0.466158 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0598648 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0338917 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0482035 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0689983 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.114239 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0335872 # DEPENDENCYPART_SIBL
(10,8),(10,27),-0.00211142 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0593993 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.101685 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.128932 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.119578 # DEPENDENCYPART_SIBL
(10,9),(10,24),0.059631 # DEPENDENCYPART_SIBL
(10,9),(10,27),0.1675 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0046645 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.00210173 # DEPENDENCYPART_SIBL
(10,11),(10,22),0.00813621 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.0385138 # DEPENDENCYPART_SIBL
(10,11),(10,27),0.0242434 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0102215 # DEPENDENCYPART_SIBL
(10,13),(10,22),0.106082 # DEPENDENCYPART_SIBL
(10,13),(10,24),0.0344972 # DEPENDENCYPART_SIBL
(10,13),(10,27),0.0946212 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.0165322 # DEPENDENCYPART_SIBL
(10,14),(10,24),0.0220276 # DEPENDENCYPART_SIBL
(10,14),(10,27),0.0301869 # DEPENDENCYPART_SIBL
(10,22),(10,24),0.0962572 # DEPENDENCYPART_SIBL
(10,22),(10,27),-0.0309568 # DEPENDENCYPART_SIBL
(10,24),(10,27),-0.000243662 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.00233531 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.117402 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.00812333 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.287287 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.126483 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0183626 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0105781 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0948494 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.00581527 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.117252 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0386419 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.179547 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.039379 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.179547 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0440896 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0406287 # DEPENDENCYPART_SIBL
(11,1),(11,22),-0.0759734 # DEPENDENCYPART_SIBL
(11,1),(11,24),-0.0199098 # DEPENDENCYPART_SIBL
(11,1),(11,26),-0.0595196 # DEPENDENCYPART_SIBL
(11,1),(11,27),-0.0249459 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.154663 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.730619 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.490109 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.175431 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.720672 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.034392 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.123142 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0152524 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0502545 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0291205 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0784715 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0309462 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0784715 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.0270687 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0317135 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.0335279 # DEPENDENCYPART_SIBL
(11,3),(11,24),0.0153706 # DEPENDENCYPART_SIBL
(11,3),(11,26),-0.033294 # DEPENDENCYPART_SIBL
(11,3),(11,27),0.0274683 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0681473 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.351148 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.17426 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.057912 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0608507 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.033807 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.127752 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0944644 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.160579 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.173733 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.161316 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.173733 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.166029 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.162565 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.112645 # DEPENDENCYPART_SIBL
(11,4),(11,24),-0.0512222 # DEPENDENCYPART_SIBL
(11,4),(11,26),-0.0447321 # DEPENDENCYPART_SIBL
(11,4),(11,27),-0.0679731 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.489732 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.175054 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.720295 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0347763 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.123829 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0129126 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0482499 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0267806 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0764963 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0286064 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0764963 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0247289 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.0293737 # DEPENDENCYPART_SIBL
(11,5),(11,22),-0.0312453 # DEPENDENCYPART_SIBL
(11,5),(11,24),0.0171529 # DEPENDENCYPART_SIBL
(11,5),(11,26),-0.0318759 # DEPENDENCYPART_SIBL
(11,5),(11,27),0.0300196 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0757599 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0538128 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0409079 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.256117 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0163349 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0727726 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.00113737 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0638974 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0274939 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0638974 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0257872 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0287448 # DEPENDENCYPART_SIBL
(11,6),(11,22),0.171245 # DEPENDENCYPART_SIBL
(11,6),(11,24),-0.0253241 # DEPENDENCYPART_SIBL
(11,6),(11,26),-0.0110417 # DEPENDENCYPART_SIBL
(11,6),(11,27),-0.4992 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0059358 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.151517 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0749667 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0156932 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0668994 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.00167318 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0443535 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.00678012 # DEPENDENCYPART_SIBL
(11,7),(11,19),0.0443535 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0154452 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.00802836 # DEPENDENCYPART_SIBL
(11,7),(11,22),-0.0396115 # DEPENDENCYPART_SIBL
(11,7),(11,24),-0.0468981 # DEPENDENCYPART_SIBL
(11,7),(11,26),0.00725738 # DEPENDENCYPART_SIBL
(11,7),(11,27),-0.103694 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0355288 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.128575 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0130802 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.050118 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0269483 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0826133 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.028774 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0826133 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0248965 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0295413 # DEPENDENCYPART_SIBL
(11,8),(11,22),-0.0554871 # DEPENDENCYPART_SIBL
(11,8),(11,24),0.00498001 # DEPENDENCYPART_SIBL
(11,8),(11,26),-0.0380743 # DEPENDENCYPART_SIBL
(11,8),(11,27),0.0349505 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.202523 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0391529 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.182066 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0536461 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.256793 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0530345 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.256793 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0554164 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.0542829 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.168204 # DEPENDENCYPART_SIBL
(11,9),(11,24),0.0397413 # DEPENDENCYPART_SIBL
(11,9),(11,26),-0.135137 # DEPENDENCYPART_SIBL
(11,9),(11,27),0.0679798 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0445582 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.13479 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0209633 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.243962 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0219565 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.243962 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.0264902 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.0175846 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.0130823 # DEPENDENCYPART_SIBL
(11,10),(11,24),0.0134321 # DEPENDENCYPART_SIBL
(11,10),(11,26),-0.0766834 # DEPENDENCYPART_SIBL
(11,10),(11,27),0.234521 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0893016 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.238977 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.101695 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.249264 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.101695 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.246061 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.249255 # DEPENDENCYPART_SIBL
(11,13),(11,22),-0.0162746 # DEPENDENCYPART_SIBL
(11,13),(11,24),-0.0246092 # DEPENDENCYPART_SIBL
(11,13),(11,26),-0.0414624 # DEPENDENCYPART_SIBL
(11,13),(11,27),-0.0341384 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0536234 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.246575 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0590689 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.246575 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0375657 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0590523 # DEPENDENCYPART_SIBL
(11,14),(11,22),-0.0727233 # DEPENDENCYPART_SIBL
(11,14),(11,24),-0.0323903 # DEPENDENCYPART_SIBL
(11,14),(11,26),-0.0616598 # DEPENDENCYPART_SIBL
(11,14),(11,27),-0.0551026 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0960202 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.246886 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.0960202 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.243683 # DEPENDENCYPART_SIBL
(11,16),(11,21),-0.246877 # DEPENDENCYPART_SIBL
(11,16),(11,22),-0.0229416 # DEPENDENCYPART_SIBL
(11,16),(11,24),-0.025217 # DEPENDENCYPART_SIBL
(11,16),(11,26),-0.0416387 # DEPENDENCYPART_SIBL
(11,16),(11,27),-0.0459077 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0813273 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.269185 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.065853 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.0813086 # DEPENDENCYPART_SIBL
(11,17),(11,22),-0.0307947 # DEPENDENCYPART_SIBL
(11,17),(11,24),-0.0162259 # DEPENDENCYPART_SIBL
(11,17),(11,26),-0.0841629 # DEPENDENCYPART_SIBL
(11,17),(11,27),-0.0768433 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.0803507 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.217626 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.220819 # DEPENDENCYPART_SIBL
(11,18),(11,22),-0.0138165 # DEPENDENCYPART_SIBL
(11,18),(11,24),-0.019071 # DEPENDENCYPART_SIBL
(11,18),(11,26),-0.0283274 # DEPENDENCYPART_SIBL
(11,18),(11,27),-0.0333595 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.065853 # DEPENDENCYPART_SIBL
(11,19),(11,21),-0.0813086 # DEPENDENCYPART_SIBL
(11,19),(11,22),-0.0307947 # DEPENDENCYPART_SIBL
(11,19),(11,24),-0.0162259 # DEPENDENCYPART_SIBL
(11,19),(11,26),-0.0841629 # DEPENDENCYPART_SIBL
(11,19),(11,27),-0.0768433 # DEPENDENCYPART_SIBL
(11,20),(11,21),-0.263872 # DEPENDENCYPART_SIBL
(11,20),(11,22),-0.0363265 # DEPENDENCYPART_SIBL
(11,20),(11,24),-0.0412237 # DEPENDENCYPART_SIBL
(11,20),(11,26),-0.0469773 # DEPENDENCYPART_SIBL
(11,20),(11,27),-0.0324961 # DEPENDENCYPART_SIBL
(11,21),(11,22),-0.0196708 # DEPENDENCYPART_SIBL
(11,21),(11,24),-0.0234837 # DEPENDENCYPART_SIBL
(11,21),(11,26),-0.0408755 # DEPENDENCYPART_SIBL
(11,21),(11,27),-0.041582 # DEPENDENCYPART_SIBL
(11,22),(11,24),0.0582746 # DEPENDENCYPART_SIBL
(11,22),(11,26),-0.0527728 # DEPENDENCYPART_SIBL
(11,22),(11,27),-0.0791354 # DEPENDENCYPART_SIBL
(11,24),(11,26),-0.0107073 # DEPENDENCYPART_SIBL
(11,24),(11,27),-0.0389631 # DEPENDENCYPART_SIBL
(11,26),(11,27),-0.0317154 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0783798 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0152763 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.369975 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.0559525 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.0578844 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.106416 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0374019 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0485357 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0227663 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.00632032 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0539697 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0264554 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0469037 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0286357 # DEPENDENCYPART_SIBL
(13,1),(13,18),0.0470217 # DEPENDENCYPART_SIBL
(13,1),(13,19),0.0286357 # DEPENDENCYPART_SIBL
(13,1),(13,20),0.0362692 # DEPENDENCYPART_SIBL
(13,1),(13,21),0.0470291 # DEPENDENCYPART_SIBL
(13,1),(13,22),-0.0130694 # DEPENDENCYPART_SIBL
(13,1),(13,24),-0.0071241 # DEPENDENCYPART_SIBL
(13,1),(13,26),0.0871099 # DEPENDENCYPART_SIBL
(13,1),(13,27),0.0367169 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0644822 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.0770601 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.0367928 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.0429068 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0102933 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.028648 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0432431 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0130503 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.00279137 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.0470101 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.00267344 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0470101 # DEPENDENCYPART_SIBL
(13,4),(13,20),-0.0134304 # DEPENDENCYPART_SIBL
(13,4),(13,21),-0.002666 # DEPENDENCYPART_SIBL
(13,4),(13,22),-0.0355732 # DEPENDENCYPART_SIBL
(13,4),(13,24),-0.0154419 # DEPENDENCYPART_SIBL
(13,4),(13,26),0.131249 # DEPENDENCYPART_SIBL
(13,4),(13,27),0.00567588 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.0135689 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.226279 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.325244 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.3896 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.358877 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.011257 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.00486502 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.0529157 # DEPENDENCYPART_SIBL
(13,6),(13,17),0.088256 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.06691 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.088256 # DEPENDENCYPART_SIBL
(13,6),(13,20),-0.0683551 # DEPENDENCYPART_SIBL
(13,6),(13,21),-0.0669051 # DEPENDENCYPART_SIBL
(13,6),(13,22),0.293946 # DEPENDENCYPART_SIBL
(13,6),(13,24),0.0768552 # DEPENDENCYPART_SIBL
(13,6),(13,26),0.0263913 # DEPENDENCYPART_SIBL
(13,6),(13,27),-0.356646 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0402166 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.0645297 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0221156 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.00970958 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.881143 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.425361 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.307358 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.340118 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.310604 # DEPENDENCYPART_SIBL
