# _root_ La manca de personal , segons Lozano , no permet " de_moment " mantenir oberta la Biblioteca durant tot el dia .
#goldHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
#predictedHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
(6,7),(6,9),-0.159278 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.350761 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0478334 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.202104 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0478334 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.354758 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0442196 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0791934 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.35793 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.082411 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.35793 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0963154 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.135042 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0655364 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0619098 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0655364 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.14138 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0978538 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0466522 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0978538 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.221287 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0394858 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.135913 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.012333 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0765094 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.135166 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.012333 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0622551 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0757733 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.000734737 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0156423 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0103552 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0111737 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0103552 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0313031 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0296902 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.00625697 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.0522999 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.568238 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.334721 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.155082 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0277168 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0591368 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0277168 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0977857 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0241786 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0584408 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.316267 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.000699792 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00425388 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.00801225 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0991861 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.00801225 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0155333 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00396095 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0359793 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.027145 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0262576 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0268606 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.00915473 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0268606 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0528297 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.00825078 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.37725 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.006744 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.101522 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0468467 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.101522 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0531555 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.020556 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0238268 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.0547332 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.00607064 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.149561 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0136527 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0247549 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.0706506 # DEPENDENCYPART_SIBL
(7,11),(7,22),-0.0313149 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0274386 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0200395 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0348552 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0172873 # DEPENDENCYPART_SIBL
(7,12),(7,22),0.0866378 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0136527 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0247549 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.0706506 # DEPENDENCYPART_SIBL
(7,13),(7,22),-0.0313149 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.0438886 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.0503804 # DEPENDENCYPART_SIBL
(7,14),(7,22),0.0732892 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.0292804 # DEPENDENCYPART_SIBL
(7,15),(7,22),-0.000147164 # DEPENDENCYPART_SIBL
(7,17),(7,22),-0.00256839 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0445421 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0207242 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0406624 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.189606 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0540561 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0384776 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.189606 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.035253 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0750801 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.045724 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0750801 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0147863 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0128646 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.00491664 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0137834 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.0628716 # DEPENDENCYPART_SIBL
(10,1),(10,22),-0.0620748 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0194846 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.7359 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.487034 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0172257 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.734692 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.487034 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.12578 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0466208 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0183777 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0466208 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0188122 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0103049 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0579961 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.0267649 # DEPENDENCYPART_SIBL
(10,2),(10,21),-0.0943011 # DEPENDENCYPART_SIBL
(10,2),(10,22),0.00172924 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0433316 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.345336 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0592454 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0413718 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.345336 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.105614 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0179918 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0686492 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0179918 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.00826836 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.10869 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.123947 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.00899572 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.145976 # DEPENDENCYPART_SIBL
(10,3),(10,22),-0.0570856 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.48819 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0167904 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.735915 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.48819 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.12133 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0479133 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0179623 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0479133 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0186144 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0107484 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0521701 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.0256313 # DEPENDENCYPART_SIBL
(10,4),(10,21),-0.0884752 # DEPENDENCYPART_SIBL
(10,4),(10,22),-0.000173085 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.554369 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0446803 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.354126 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0455286 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.185579 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0177663 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.185579 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.00387706 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.00920124 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0430686 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.049577 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.0610423 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.50376 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.00677432 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.212733 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0968698 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0340819 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.035911 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0340819 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.013579 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0128778 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.00764204 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.00779626 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0401889 # DEPENDENCYPART_SIBL
(10,6),(10,22),-0.0224614 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.486305 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.126438 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0414052 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0132873 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0414052 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0134193 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.00506129 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0454511 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.0340044 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0817562 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.00704091 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0455286 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.185579 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0177663 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.185579 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.00387706 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.00920124 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0430686 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.049577 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.0610423 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.50376 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0573755 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.00972807 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0573755 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.13603 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.082697 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.0853173 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0635554 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.0518471 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.0462257 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0186635 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0865835 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0332091 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0238154 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0344818 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.118852 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.0273376 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.0678609 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0560559 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.00280406 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.03768 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0234453 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.0176806 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.01836 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.029068 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0332091 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0238154 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0344818 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.118852 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.0273376 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.0678609 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.000811458 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.00859328 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.0381 # DEPENDENCYPART_SIBL
(10,14),(10,21),0.0382707 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.000801948 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0395347 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0262164 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0390393 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.0131123 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.00194177 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.278876 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.0699436 # DEPENDENCYPART_SIBL
(10,18),(10,21),0.0376878 # DEPENDENCYPART_SIBL
(10,18),(10,22),0.0144473 # DEPENDENCYPART_SIBL
(10,21),(10,22),-0.0376033 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.0224987 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.046046 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.0224987 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.0451939 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.00326188 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.00277193 # DEPENDENCYPART_SIBL
(12,3),(12,17),0.0119075 # DEPENDENCYPART_SIBL
(12,3),(12,18),0.0229844 # DEPENDENCYPART_SIBL
(12,3),(12,22),-0.0180063 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.459963 # DEPENDENCYPART_SIBL
(12,5),(12,8),-0.106015 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.139831 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0790493 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.0766295 # DEPENDENCYPART_SIBL
(12,5),(12,17),0.137587 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.141469 # DEPENDENCYPART_SIBL
(12,5),(12,22),-0.0981861 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.0238109 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0943233 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0109663 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0164258 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.0635793 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.0383098 # DEPENDENCYPART_SIBL
(12,6),(12,22),0.0185742 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.139831 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0790493 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0766295 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.137587 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.141469 # DEPENDENCYPART_SIBL
(12,8),(12,22),-0.0981861 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.595237 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0578666 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0461082 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0454899 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.0417075 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.039139 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0628794 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.112 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.0341874 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0467835 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0918986 # DEPENDENCYPART_SIBL
(12,14),(12,22),0.159917 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.0286011 # DEPENDENCYPART_SIBL
(12,17),(12,22),-0.0125199 # DEPENDENCYPART_SIBL
(12,18),(12,22),0.119136 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.0327185 # DEPENDENCYPART_SIBL
(14,1),(14,4),-0.0288388 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.190562 # DEPENDENCYPART_SIBL
(14,1),(14,6),0.0623835 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.026654 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.190562 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.0265743 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.0305348 # DEPENDENCYPART_SIBL
(14,1),(14,11),0.155986 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.0279366 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.155986 # DEPENDENCYPART_SIBL
(14,1),(14,15),0.0101593 # DEPENDENCYPART_SIBL
(14,1),(14,17),0.022258 # DEPENDENCYPART_SIBL
(14,1),(14,18),0.0483901 # DEPENDENCYPART_SIBL
(14,1),(14,21),-0.0356969 # DEPENDENCYPART_SIBL
(14,1),(14,22),-0.0554402 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.704415 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.482381 # DEPENDENCYPART_SIBL
(14,2),(14,6),0.0378351 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.703206 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.482381 # DEPENDENCYPART_SIBL
(14,2),(14,9),0.118174 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.0470094 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.00882798 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.00611962 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.00882798 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0259156 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.0381139 # DEPENDENCYPART_SIBL
(14,2),(14,18),0.0918959 # DEPENDENCYPART_SIBL
(14,2),(14,21),-0.074419 # DEPENDENCYPART_SIBL
(14,2),(14,22),0.015024 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.483538 # DEPENDENCYPART_SIBL
(14,4),(14,6),0.0373998 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.704429 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.483538 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.113725 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.047998 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.00998235 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.00895851 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.00998235 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.0254721 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.032288 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0907623 # DEPENDENCYPART_SIBL
(14,4),(14,21),-0.068593 # DEPENDENCYPART_SIBL
(14,4),(14,22),0.0131216 # DEPENDENCYPART_SIBL
(14,5),(14,6),0.543466 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.0265651 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.380658 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.0156909 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.0288805 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.187723 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.149263 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.187723 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0269478 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.0332106 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.0723552 # DEPENDENCYPART_SIBL
(14,5),(14,21),-0.0511843 # DEPENDENCYPART_SIBL
(14,5),(14,22),-0.539678 # DEPENDENCYPART_SIBL
(14,6),(14,7),0.00606382 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.241501 # DEPENDENCYPART_SIBL
(14,6),(14,9),0.077472 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.0277348 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.133876 # DEPENDENCYPART_SIBL
(14,6),(14,12),0.00917702 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.133876 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.00732543 # DEPENDENCYPART_SIBL
(14,6),(14,17),0.00561192 # DEPENDENCYPART_SIBL
(14,6),(14,18),0.027028 # DEPENDENCYPART_SIBL
(14,6),(14,21),-0.0269349 # DEPENDENCYPART_SIBL
(14,6),(14,22),-0.0072477 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.481652 # DEPENDENCYPART_SIBL
(14,7),(14,9),0.118833 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0460669 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.00809889 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.00546121 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.00809889 # DEPENDENCYPART_SIBL
(14,7),(14,15),0.0311592 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.025569 # DEPENDENCYPART_SIBL
(14,7),(14,18),0.0991354 # DEPENDENCYPART_SIBL
(14,7),(14,21),-0.061874 # DEPENDENCYPART_SIBL
(14,7),(14,22),0.0203356 # DEPENDENCYPART_SIBL
(14,8),(14,9),0.0156909 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.0288805 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.187723 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.149263 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.187723 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0269478 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.0332106 # DEPENDENCYPART_SIBL
(14,8),(14,18),0.0723552 # DEPENDENCYPART_SIBL
(14,8),(14,21),-0.0511843 # DEPENDENCYPART_SIBL
(14,8),(14,22),-0.539678 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.0709066 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0357606 # DEPENDENCYPART_SIBL
(14,9),(14,12),0.055856 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.0357606 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0665536 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.0776215 # DEPENDENCYPART_SIBL
(14,9),(14,18),0.0791196 # DEPENDENCYPART_SIBL
(14,9),(14,21),0.0441513 # DEPENDENCYPART_SIBL
(14,9),(14,22),-0.0115543 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0259991 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.0202344 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0259991 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0239261 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0828769 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.0882907 # DEPENDENCYPART_SIBL
(14,10),(14,21),-0.104212 # DEPENDENCYPART_SIBL
(14,10),(14,22),-0.0543938 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.172082 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.252725 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.053211 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.00347075 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.107117 # DEPENDENCYPART_SIBL
(14,11),(14,21),-0.0141778 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.0709109 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0264471 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0385545 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.011549 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.0153081 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.0447023 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.00505914 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.053211 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.00347075 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.107117 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.0141778 # DEPENDENCYPART_SIBL
