# _root_ Hi poden optar tots els músics , en solitari o en formació , que no disposin d' obra editada comercialment .
#goldHeads=3,3,0,5,6,3,8,6,8,8,8,11,8,16,16,6,16,17,18,19,3,
#predictedHeads=3,3,0,5,6,3,8,3,8,8,8,11,16,16,16,6,16,17,18,19,3,
(6,7),(6,12),0.352908 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0366901 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.049292 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.00123924 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.00762514 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.00328553 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0918692 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.100466 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.121501 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0294802 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0695987 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0153888 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.0947603 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.0863476 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.181793 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0381586 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.00664329 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0314987 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.00906583 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.016787 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0331744 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0162537 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.013035 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.111593 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.499476 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0283899 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.172166 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.156591 # DEPENDENCYPART_SIBL
(6,10),(6,20),0.167265 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.011141 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0294802 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0695987 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0153888 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.0947603 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.0863476 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.181793 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.00277429 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0160907 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0255573 # DEPENDENCYPART_SIBL
(6,12),(6,20),0.0125041 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0327063 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.049292 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.00123924 # DEPENDENCYPART_SIBL
(6,13),(6,20),0.00762514 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.00328553 # DEPENDENCYPART_SIBL
(6,16),(6,19),0.0171944 # DEPENDENCYPART_SIBL
(6,16),(6,20),0.0469329 # DEPENDENCYPART_SIBL
(6,16),(6,21),0.0367039 # DEPENDENCYPART_SIBL
(6,19),(6,20),0.0264206 # DEPENDENCYPART_SIBL
(6,19),(6,21),-0.00303215 # DEPENDENCYPART_SIBL
(6,20),(6,21),0.0856362 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.279107 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.257237 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.325474 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.131591 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0107214 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0421421 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0705781 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0188769 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0301375 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0697777 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.00911698 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0513109 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0481474 # DEPENDENCYPART_SIBL
(8,3),(8,21),0.130442 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.252191 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.222352 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.018122 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0225502 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0358564 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0939864 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0488849 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0680815 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0903476 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.00452732 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.113072 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.0666773 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.0410169 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.212795 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.00986297 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0136738 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.140567 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.112072 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00591541 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0821031 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0966874 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0434906 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.201111 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.072355 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.0525553 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0482686 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.00494054 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0496615 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0634306 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0765096 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0182412 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0630971 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.00540944 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0840049 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.06195 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.0059231 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.037984 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0112714 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0367664 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.110856 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.664737 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0528834 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.142135 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0752588 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.0243142 # DEPENDENCYPART_SIBL
(8,7),(8,21),-0.0985359 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0176063 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0496362 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.548036 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.222898 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.114573 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.216623 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.182484 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.148118 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.0838978 # DEPENDENCYPART_SIBL
(8,10),(8,11),1.05638 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.119999 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0175692 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.309884 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.22656 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.784652 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.253194 # DEPENDENCYPART_SIBL
(8,10),(8,21),0.127732 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.145308 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.183458 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.126958 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0168288 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.0531901 # DEPENDENCYPART_SIBL
(8,11),(8,20),0.0923174 # DEPENDENCYPART_SIBL
(8,11),(8,21),0.245363 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0192902 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.312118 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.475042 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.097512 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.312009 # DEPENDENCYPART_SIBL
(8,12),(8,21),-0.0512647 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0114671 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0916147 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.337137 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.0896744 # DEPENDENCYPART_SIBL
(8,13),(8,21),-0.189612 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.244432 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0556633 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.147543 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.0257175 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0203854 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.0177513 # DEPENDENCYPART_SIBL
(8,16),(8,21),0.09836 # DEPENDENCYPART_SIBL
(8,17),(8,20),0.0072658 # DEPENDENCYPART_SIBL
(8,17),(8,21),0.123883 # DEPENDENCYPART_SIBL
(8,20),(8,21),-0.0204842 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0740461 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0863298 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.174538 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.165205 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.111423 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.108808 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0722959 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.18762 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.245767 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.0932297 # DEPENDENCYPART_SIBL
(9,5),(9,20),0.0509981 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0175519 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.198395 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0555181 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0247804 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0162486 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0776431 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0190448 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.0180849 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.0153046 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.00922298 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.480654 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.163245 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.10158 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.11224 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.643085 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0646033 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.100867 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.00688406 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.0906222 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0486214 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0477479 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.036382 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0677996 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0114015 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.0381779 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0114176 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.0286034 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.333797 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.237429 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.00382496 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.223269 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.35172 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.535951 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.150068 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.00564216 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.129389 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.00368872 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0304196 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.134198 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.0492067 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0596778 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0367094 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0321699 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.0965372 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0040837 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.00613927 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0138793 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.675664 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.023735 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.00405085 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.133974 # DEPENDENCYPART_SIBL
(9,16),(9,20),0.00854753 # DEPENDENCYPART_SIBL
(9,17),(9,19),0.112981 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.0353227 # DEPENDENCYPART_SIBL
(9,19),(9,20),0.026898 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.00986297 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.167962 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.159855 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.169744 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.00591541 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0821031 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0966874 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0434906 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.201111 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.478786 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.154417 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.388316 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.110856 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.664737 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0528834 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.142135 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0752588 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.00293511 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.246769 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0010382 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0494179 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0482264 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0164618 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.101581 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.260165 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.079561 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.101152 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0667992 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.114326 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.167529 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0972181 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0592242 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0190091 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0327085 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0567445 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0192902 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.312118 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.475042 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.097512 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0114671 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0916147 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.337137 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.244432 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0556633 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0203854 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.413837 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.152516 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.475055 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.413837 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.300037 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.141883 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.00765538 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.00176806 # DEPENDENCYPART_SIBL
(12,7),(12,20),0.060134 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.340132 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.038923 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.253638 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0128531 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.00995104 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.0229084 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0125557 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0248119 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.0503372 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.0575783 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.0755122 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0959119 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.00355001 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0305297 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0237467 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.0187508 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.0590999 # DEPENDENCYPART_SIBL
(12,9),(12,21),0.0154313 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0606961 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0501086 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.00942447 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0874488 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.058559 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.0107587 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.0231502 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.00995104 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0229084 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0125557 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0248119 # DEPENDENCYPART_SIBL
(12,11),(12,20),0.0503372 # DEPENDENCYPART_SIBL
(12,11),(12,21),0.0575783 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0279807 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.0679104 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.0183007 # DEPENDENCYPART_SIBL
(12,13),(12,20),0.0284181 # DEPENDENCYPART_SIBL
(12,13),(12,21),0.0190024 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.04514 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.0206879 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.0571498 # DEPENDENCYPART_SIBL
(12,16),(12,21),0.0447454 # DEPENDENCYPART_SIBL
(12,17),(12,19),0.0218066 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.0326205 # DEPENDENCYPART_SIBL
(12,17),(12,21),-0.00124713 # DEPENDENCYPART_SIBL
(12,19),(12,20),0.0213116 # DEPENDENCYPART_SIBL
(12,19),(12,21),-0.0212938 # DEPENDENCYPART_SIBL
(12,20),(12,21),0.0766112 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.0572429 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.126259 # DEPENDENCYPART_SIBL
(16,1),(16,2),0.168557 # DEPENDENCYPART_SIBL
(16,1),(16,3),0.0514178 # DEPENDENCYPART_SIBL
(16,1),(16,5),-0.12758 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.0804312 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.34739 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.0861789 # DEPENDENCYPART_SIBL
(16,1),(16,9),0.00381199 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.130352 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.0861789 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.0863959 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.34739 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.516412 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.131845 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.178721 # DEPENDENCYPART_SIBL
(16,1),(16,18),-0.00101794 # DEPENDENCYPART_SIBL
(16,1),(16,19),-0.0541729 # DEPENDENCYPART_SIBL
(16,1),(16,20),0.0832831 # DEPENDENCYPART_SIBL
(16,1),(16,21),0.125559 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.0350686 # DEPENDENCYPART_SIBL
(16,2),(16,5),-0.0619918 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.00308698 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.125239 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.141459 # DEPENDENCYPART_SIBL
(16,2),(16,9),-0.0273175 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.011367 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.141459 # DEPENDENCYPART_SIBL
(16,2),(16,12),0.000305847 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.125239 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.236573 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.0337003 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.0119172 # DEPENDENCYPART_SIBL
(16,2),(16,18),0.0519866 # DEPENDENCYPART_SIBL
(16,2),(16,19),0.0732729 # DEPENDENCYPART_SIBL
(16,2),(16,20),0.0872877 # DEPENDENCYPART_SIBL
(16,2),(16,21),0.142472 # DEPENDENCYPART_SIBL
(16,3),(16,5),-0.081634 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.015509 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.144474 # DEPENDENCYPART_SIBL
(16,3),(16,8),-0.171319 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.0471102 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.0312716 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.171319 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.0182915 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.144474 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.255011 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.00521147 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0759395 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0465402 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.0242015 # DEPENDENCYPART_SIBL
(16,3),(16,20),-0.027021 # DEPENDENCYPART_SIBL
(16,3),(16,21),0.0204131 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.023169 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.12302 # DEPENDENCYPART_SIBL
(16,5),(16,8),0.0509466 # DEPENDENCYPART_SIBL
(16,5),(16,9),0.0549604 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.0453298 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.0509466 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.0240773 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.12302 # DEPENDENCYPART_SIBL
(16,5),(16,14),0.432917 # DEPENDENCYPART_SIBL
(16,5),(16,15),0.111097 # DEPENDENCYPART_SIBL
(16,5),(16,17),0.0569956 # DEPENDENCYPART_SIBL
(16,5),(16,18),-0.0238997 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.0388023 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.0535041 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.100813 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.489922 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.0809993 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.175713 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.0523572 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.0809993 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.734416 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.489922 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.700966 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.0985104 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.010016 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.0352098 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.00666717 # DEPENDENCYPART_SIBL
(16,6),(16,20),0.0108141 # DEPENDENCYPART_SIBL
(16,6),(16,21),0.0303035 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.124438 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.0174129 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.344834 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.124438 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.0147065 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.361012 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.15412 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.0137417 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0487073 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.00975863 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.025674 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.00844264 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.472048 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.0558084 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.0637315 # DEPENDENCYPART_SIBL
