# _root_ Mentre viu a sota de les branques o de les pedres dels jardins públics , com passa al Palau_de_Pedralbes de Barcelona , no hi ha tantes queixes : " Els problemes comencen a aparèixer quan s' acosten a les cases " .
#goldHeads=2,25,2,3,4,7,5,5,5,11,9,5,12,13,17,17,2,17,18,19,20,2,25,25,0,27,25,34,34,31,34,34,34,25,37,37,34,37,40,38,34,25,
#predictedHeads=2,0,2,3,4,7,5,5,5,11,9,11,12,13,17,17,2,17,18,19,20,17,25,25,17,27,25,34,34,31,34,34,34,27,37,37,34,37,40,38,34,2,
(17,22),(17,41),0.0146007 # DEPENDENCYPART_SIBL
(17,22),(17,42),-0.0368597 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.0403054 # DEPENDENCYPART_SIBL
(17,23),(17,25),-0.0941423 # DEPENDENCYPART_SIBL
(17,23),(17,27),-0.0226938 # DEPENDENCYPART_SIBL
(17,23),(17,28),-0.122449 # DEPENDENCYPART_SIBL
(17,23),(17,29),-0.0784025 # DEPENDENCYPART_SIBL
(17,23),(17,31),-0.00527389 # DEPENDENCYPART_SIBL
(17,23),(17,32),-0.0555397 # DEPENDENCYPART_SIBL
(17,23),(17,33),0.00419428 # DEPENDENCYPART_SIBL
(17,23),(17,34),-0.0369526 # DEPENDENCYPART_SIBL
(17,23),(17,35),-0.109775 # DEPENDENCYPART_SIBL
(17,23),(17,37),-0.0506424 # DEPENDENCYPART_SIBL
(17,23),(17,38),0.00419428 # DEPENDENCYPART_SIBL
(17,23),(17,41),-0.0784025 # DEPENDENCYPART_SIBL
(17,23),(17,42),-0.0744008 # DEPENDENCYPART_SIBL
(17,24),(17,25),-0.0385189 # DEPENDENCYPART_SIBL
(17,24),(17,27),0.00733234 # DEPENDENCYPART_SIBL
(17,24),(17,28),-0.07767 # DEPENDENCYPART_SIBL
(17,24),(17,29),0.0263544 # DEPENDENCYPART_SIBL
(17,24),(17,31),0.0245199 # DEPENDENCYPART_SIBL
(17,24),(17,32),-0.00464256 # DEPENDENCYPART_SIBL
(17,24),(17,33),0.0507643 # DEPENDENCYPART_SIBL
(17,24),(17,34),0.0176843 # DEPENDENCYPART_SIBL
(17,24),(17,35),-0.0731662 # DEPENDENCYPART_SIBL
(17,24),(17,37),-0.000146495 # DEPENDENCYPART_SIBL
(17,24),(17,38),0.0507643 # DEPENDENCYPART_SIBL
(17,24),(17,41),0.0263544 # DEPENDENCYPART_SIBL
(17,24),(17,42),-0.0170431 # DEPENDENCYPART_SIBL
(17,25),(17,27),-0.0019051 # DEPENDENCYPART_SIBL
(17,25),(17,28),-0.0185019 # DEPENDENCYPART_SIBL
(17,25),(17,29),0.0415468 # DEPENDENCYPART_SIBL
(17,25),(17,31),0.0374222 # DEPENDENCYPART_SIBL
(17,25),(17,32),-0.0188584 # DEPENDENCYPART_SIBL
(17,25),(17,33),0.0192218 # DEPENDENCYPART_SIBL
(17,25),(17,34),0.00154159 # DEPENDENCYPART_SIBL
(17,25),(17,35),-0.0904444 # DEPENDENCYPART_SIBL
(17,25),(17,37),-0.0140261 # DEPENDENCYPART_SIBL
(17,25),(17,38),0.0192218 # DEPENDENCYPART_SIBL
(17,25),(17,41),0.0415468 # DEPENDENCYPART_SIBL
(17,25),(17,42),0.0201014 # DEPENDENCYPART_SIBL
(17,27),(17,28),-0.0770301 # DEPENDENCYPART_SIBL
(17,27),(17,29),0.0366863 # DEPENDENCYPART_SIBL
(17,27),(17,31),-0.237808 # DEPENDENCYPART_SIBL
(17,27),(17,32),-0.00166137 # DEPENDENCYPART_SIBL
(17,27),(17,33),0.0865758 # DEPENDENCYPART_SIBL
(17,27),(17,34),0.0404245 # DEPENDENCYPART_SIBL
(17,27),(17,35),-0.116816 # DEPENDENCYPART_SIBL
(17,27),(17,37),0.00876165 # DEPENDENCYPART_SIBL
(17,27),(17,38),0.0865758 # DEPENDENCYPART_SIBL
(17,27),(17,41),0.0366863 # DEPENDENCYPART_SIBL
(17,27),(17,42),0.00968266 # DEPENDENCYPART_SIBL
(17,28),(17,29),-0.0159584 # DEPENDENCYPART_SIBL
(17,28),(17,31),-0.012651 # DEPENDENCYPART_SIBL
(17,28),(17,32),0.0300742 # DEPENDENCYPART_SIBL
(17,28),(17,33),-0.0593242 # DEPENDENCYPART_SIBL
(17,28),(17,34),0.0685056 # DEPENDENCYPART_SIBL
(17,28),(17,35),-0.138851 # DEPENDENCYPART_SIBL
(17,28),(17,37),0.0363468 # DEPENDENCYPART_SIBL
(17,28),(17,38),-0.0593242 # DEPENDENCYPART_SIBL
(17,28),(17,41),-0.0159584 # DEPENDENCYPART_SIBL
(17,28),(17,42),-0.0505977 # DEPENDENCYPART_SIBL
(17,29),(17,31),0.0653967 # DEPENDENCYPART_SIBL
(17,29),(17,32),-0.00405044 # DEPENDENCYPART_SIBL
(17,29),(17,33),0.0934308 # DEPENDENCYPART_SIBL
(17,29),(17,34),0.0342527 # DEPENDENCYPART_SIBL
(17,29),(17,35),-0.143959 # DEPENDENCYPART_SIBL
(17,29),(17,37),0.00209397 # DEPENDENCYPART_SIBL
(17,29),(17,38),0.0934308 # DEPENDENCYPART_SIBL
(17,29),(17,41),-0.0399061 # DEPENDENCYPART_SIBL
(17,29),(17,42),-0.0266748 # DEPENDENCYPART_SIBL
(17,31),(17,32),-0.0203504 # DEPENDENCYPART_SIBL
(17,31),(17,33),0.054179 # DEPENDENCYPART_SIBL
(17,31),(17,34),0.0217355 # DEPENDENCYPART_SIBL
(17,31),(17,35),-0.127912 # DEPENDENCYPART_SIBL
(17,31),(17,37),-0.00992734 # DEPENDENCYPART_SIBL
(17,31),(17,38),0.054179 # DEPENDENCYPART_SIBL
(17,31),(17,41),0.0170658 # DEPENDENCYPART_SIBL
(17,31),(17,42),-0.012639 # DEPENDENCYPART_SIBL
(17,32),(17,33),0.0278185 # DEPENDENCYPART_SIBL
(17,32),(17,34),0.0134757 # DEPENDENCYPART_SIBL
(17,32),(17,35),-0.0754382 # DEPENDENCYPART_SIBL
(17,32),(17,37),-0.00209198 # DEPENDENCYPART_SIBL
(17,32),(17,38),0.0278185 # DEPENDENCYPART_SIBL
(17,32),(17,41),0.0388576 # DEPENDENCYPART_SIBL
(17,32),(17,42),0.0182223 # DEPENDENCYPART_SIBL
(17,33),(17,34),0.0259264 # DEPENDENCYPART_SIBL
(17,33),(17,35),-0.11145 # DEPENDENCYPART_SIBL
(17,33),(17,37),0.0212463 # DEPENDENCYPART_SIBL
(17,33),(17,38),-0.0318991 # DEPENDENCYPART_SIBL
(17,33),(17,41),-0.0260881 # DEPENDENCYPART_SIBL
(17,33),(17,42),0.0200299 # DEPENDENCYPART_SIBL
(17,34),(17,35),-0.0756533 # DEPENDENCYPART_SIBL
(17,34),(17,37),-0.00223608 # DEPENDENCYPART_SIBL
(17,34),(17,38),0.0296056 # DEPENDENCYPART_SIBL
(17,34),(17,41),0.0493501 # DEPENDENCYPART_SIBL
(17,34),(17,42),0.0336904 # DEPENDENCYPART_SIBL
(17,35),(17,37),0.0103523 # DEPENDENCYPART_SIBL
(17,35),(17,38),-0.074574 # DEPENDENCYPART_SIBL
(17,35),(17,41),-0.0947103 # DEPENDENCYPART_SIBL
(17,35),(17,42),-0.138378 # DEPENDENCYPART_SIBL
(17,37),(17,38),0.0353041 # DEPENDENCYPART_SIBL
(17,37),(17,41),0.0518346 # DEPENDENCYPART_SIBL
(17,37),(17,42),0.0339458 # DEPENDENCYPART_SIBL
(17,38),(17,41),-0.0260881 # DEPENDENCYPART_SIBL
(17,38),(17,42),0.0200299 # DEPENDENCYPART_SIBL
(17,41),(17,42),-0.0266748 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0222667 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.866384 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0896409 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.25314 # DEPENDENCYPART_SIBL
(18,19),(18,33),0.13077 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.157872 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0168553 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.000997543 # DEPENDENCYPART_SIBL
(18,20),(18,33),-0.060857 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.140115 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.232774 # DEPENDENCYPART_SIBL
(18,21),(18,33),0.184851 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.000282667 # DEPENDENCYPART_SIBL
(18,22),(18,33),0.362376 # DEPENDENCYPART_SIBL
(18,23),(18,33),0.0524278 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0591069 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0172311 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.0128692 # DEPENDENCYPART_SIBL
(19,20),(19,27),0.0160648 # DEPENDENCYPART_SIBL
(19,20),(19,31),0.0106779 # DEPENDENCYPART_SIBL
(19,20),(19,32),-0.00541534 # DEPENDENCYPART_SIBL
(19,20),(19,34),-0.00716495 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0321182 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.0166821 # DEPENDENCYPART_SIBL
(19,21),(19,27),-0.00552017 # DEPENDENCYPART_SIBL
(19,21),(19,31),-0.0385146 # DEPENDENCYPART_SIBL
(19,21),(19,32),-0.00392348 # DEPENDENCYPART_SIBL
(19,21),(19,34),0.0173539 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0170604 # DEPENDENCYPART_SIBL
(19,22),(19,27),0.375404 # DEPENDENCYPART_SIBL
(19,22),(19,31),0.333971 # DEPENDENCYPART_SIBL
(19,22),(19,32),-0.0447321 # DEPENDENCYPART_SIBL
(19,22),(19,34),-0.0245228 # DEPENDENCYPART_SIBL
(19,25),(19,27),-0.00357708 # DEPENDENCYPART_SIBL
(19,25),(19,31),-0.00640221 # DEPENDENCYPART_SIBL
(19,25),(19,32),-0.0830873 # DEPENDENCYPART_SIBL
(19,25),(19,34),-0.0765376 # DEPENDENCYPART_SIBL
(19,27),(19,31),-0.0190141 # DEPENDENCYPART_SIBL
(19,27),(19,32),0.00927451 # DEPENDENCYPART_SIBL
(19,27),(19,34),0.0305519 # DEPENDENCYPART_SIBL
(19,31),(19,32),0.00995833 # DEPENDENCYPART_SIBL
(19,31),(19,34),0.0312357 # DEPENDENCYPART_SIBL
(19,32),(19,34),-0.0501767 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.106962 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.301451 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.419813 # DEPENDENCYPART_SIBL
(20,22),(20,23),0.129335 # DEPENDENCYPART_SIBL
(20,22),(20,25),0.0107729 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.211751 # DEPENDENCYPART_SIBL
(21,25),(21,27),0.0238415 # DEPENDENCYPART_SIBL
(21,25),(21,32),-0.0890238 # DEPENDENCYPART_SIBL
(21,25),(21,34),-0.0824741 # DEPENDENCYPART_SIBL
(21,27),(21,32),0.0261118 # DEPENDENCYPART_SIBL
(21,27),(21,34),0.0473892 # DEPENDENCYPART_SIBL
(21,32),(21,34),-0.0561132 # DEPENDENCYPART_SIBL
(24,22),(24,23),0.227596 # DEPENDENCYPART_SIBL
(24,22),(24,27),0.115958 # DEPENDENCYPART_SIBL
(24,23),(24,27),0.142619 # DEPENDENCYPART_SIBL
(25,1),(25,3),0.126208 # DEPENDENCYPART_SIBL
(25,1),(25,8),-0.210411 # DEPENDENCYPART_SIBL
(25,1),(25,9),0.0728121 # DEPENDENCYPART_SIBL
(25,1),(25,11),0.115662 # DEPENDENCYPART_SIBL
(25,1),(25,15),-0.271853 # DEPENDENCYPART_SIBL
(25,1),(25,16),-0.242997 # DEPENDENCYPART_SIBL
(25,1),(25,17),0.156903 # DEPENDENCYPART_SIBL
(25,1),(25,18),0.0822654 # DEPENDENCYPART_SIBL
(25,1),(25,20),0.0728121 # DEPENDENCYPART_SIBL
(25,1),(25,22),-0.271853 # DEPENDENCYPART_SIBL
(25,1),(25,23),0.26035 # DEPENDENCYPART_SIBL
(25,1),(25,24),0.718263 # DEPENDENCYPART_SIBL
(25,1),(25,26),0.0455045 # DEPENDENCYPART_SIBL
(25,1),(25,27),0.166407 # DEPENDENCYPART_SIBL
(25,1),(25,29),0.135645 # DEPENDENCYPART_SIBL
(25,1),(25,31),0.140546 # DEPENDENCYPART_SIBL
(25,1),(25,32),-0.0234913 # DEPENDENCYPART_SIBL
(25,1),(25,33),0.112261 # DEPENDENCYPART_SIBL
(25,1),(25,34),0.00557051 # DEPENDENCYPART_SIBL
(25,1),(25,35),0.00437013 # DEPENDENCYPART_SIBL
(25,1),(25,37),-0.0157027 # DEPENDENCYPART_SIBL
(25,1),(25,38),0.112261 # DEPENDENCYPART_SIBL
(25,1),(25,41),0.135645 # DEPENDENCYPART_SIBL
(25,1),(25,42),-0.0141859 # DEPENDENCYPART_SIBL
(25,3),(25,8),-0.0460829 # DEPENDENCYPART_SIBL
(25,3),(25,9),-0.00804235 # DEPENDENCYPART_SIBL
(25,3),(25,11),0.00858523 # DEPENDENCYPART_SIBL
(25,3),(25,15),-0.238679 # DEPENDENCYPART_SIBL
(25,3),(25,16),-0.0790563 # DEPENDENCYPART_SIBL
(25,3),(25,17),0.0779117 # DEPENDENCYPART_SIBL
(25,3),(25,18),0.00935297 # DEPENDENCYPART_SIBL
(25,3),(25,20),-0.00804235 # DEPENDENCYPART_SIBL
(25,3),(25,22),-0.238679 # DEPENDENCYPART_SIBL
(25,3),(25,23),0.0914895 # DEPENDENCYPART_SIBL
(25,3),(25,24),0.832798 # DEPENDENCYPART_SIBL
(25,3),(25,26),-0.027252 # DEPENDENCYPART_SIBL
(25,3),(25,27),0.10371 # DEPENDENCYPART_SIBL
(25,3),(25,29),0.0309353 # DEPENDENCYPART_SIBL
(25,3),(25,31),0.0802385 # DEPENDENCYPART_SIBL
(25,3),(25,32),-0.0094364 # DEPENDENCYPART_SIBL
(25,3),(25,33),-0.0657926 # DEPENDENCYPART_SIBL
(25,3),(25,34),0.0262903 # DEPENDENCYPART_SIBL
(25,3),(25,35),-0.0907876 # DEPENDENCYPART_SIBL
(25,3),(25,37),0.00165078 # DEPENDENCYPART_SIBL
(25,3),(25,38),-0.0657926 # DEPENDENCYPART_SIBL
(25,3),(25,41),0.0309353 # DEPENDENCYPART_SIBL
(25,3),(25,42),0.0732225 # DEPENDENCYPART_SIBL
(25,8),(25,9),-0.124745 # DEPENDENCYPART_SIBL
(25,8),(25,11),-0.0597821 # DEPENDENCYPART_SIBL
(25,8),(25,15),-0.41448 # DEPENDENCYPART_SIBL
(25,8),(25,16),-0.382761 # DEPENDENCYPART_SIBL
(25,8),(25,17),-0.0102274 # DEPENDENCYPART_SIBL
(25,8),(25,18),-0.102635 # DEPENDENCYPART_SIBL
(25,8),(25,20),-0.124745 # DEPENDENCYPART_SIBL
(25,8),(25,22),-0.41448 # DEPENDENCYPART_SIBL
(25,8),(25,23),-0.0476007 # DEPENDENCYPART_SIBL
(25,8),(25,24),0.466195 # DEPENDENCYPART_SIBL
(25,8),(25,26),-0.0438211 # DEPENDENCYPART_SIBL
(25,8),(25,27),-0.0307126 # DEPENDENCYPART_SIBL
(25,8),(25,29),0.0339029 # DEPENDENCYPART_SIBL
(25,8),(25,31),-0.0565731 # DEPENDENCYPART_SIBL
(25,8),(25,32),-0.0309083 # DEPENDENCYPART_SIBL
(25,8),(25,33),-0.156303 # DEPENDENCYPART_SIBL
(25,8),(25,34),-0.00186576 # DEPENDENCYPART_SIBL
(25,8),(25,35),-0.0430702 # DEPENDENCYPART_SIBL
(25,8),(25,37),-0.0231196 # DEPENDENCYPART_SIBL
(25,8),(25,38),-0.156303 # DEPENDENCYPART_SIBL
(25,8),(25,41),0.0339029 # DEPENDENCYPART_SIBL
(25,8),(25,42),-0.0721463 # DEPENDENCYPART_SIBL
(25,9),(25,11),-0.0260035 # DEPENDENCYPART_SIBL
(25,9),(25,15),-0.293483 # DEPENDENCYPART_SIBL
(25,9),(25,16),0.14739 # DEPENDENCYPART_SIBL
(25,9),(25,17),0.0412411 # DEPENDENCYPART_SIBL
(25,9),(25,18),-0.0398427 # DEPENDENCYPART_SIBL
(25,9),(25,20),-0.0248865 # DEPENDENCYPART_SIBL
(25,9),(25,22),-0.293483 # DEPENDENCYPART_SIBL
(25,9),(25,23),-0.0129296 # DEPENDENCYPART_SIBL
(25,9),(25,24),0.64757 # DEPENDENCYPART_SIBL
(25,9),(25,26),-0.0392313 # DEPENDENCYPART_SIBL
(25,9),(25,27),0.0448124 # DEPENDENCYPART_SIBL
(25,9),(25,29),0.130972 # DEPENDENCYPART_SIBL
(25,9),(25,31),0.0310754 # DEPENDENCYPART_SIBL
(25,9),(25,32),-0.0162898 # DEPENDENCYPART_SIBL
(25,9),(25,33),-0.00945533 # DEPENDENCYPART_SIBL
(25,9),(25,34),0.0117956 # DEPENDENCYPART_SIBL
(25,9),(25,35),-0.118461 # DEPENDENCYPART_SIBL
(25,9),(25,37),-0.00520251 # DEPENDENCYPART_SIBL
(25,9),(25,38),-0.00945533 # DEPENDENCYPART_SIBL
(25,9),(25,41),0.130972 # DEPENDENCYPART_SIBL
(25,9),(25,42),0.0735165 # DEPENDENCYPART_SIBL
(25,11),(25,15),-0.480002 # DEPENDENCYPART_SIBL
(25,11),(25,16),-0.122676 # DEPENDENCYPART_SIBL
(25,11),(25,17),0.08135 # DEPENDENCYPART_SIBL
(25,11),(25,18),-0.0768678 # DEPENDENCYPART_SIBL
(25,11),(25,20),0.0163017 # DEPENDENCYPART_SIBL
(25,11),(25,22),-0.480002 # DEPENDENCYPART_SIBL
(25,11),(25,23),0.148209 # DEPENDENCYPART_SIBL
(25,11),(25,24),0.361415 # DEPENDENCYPART_SIBL
(25,11),(25,26),-0.0301281 # DEPENDENCYPART_SIBL
(25,11),(25,27),0.0471028 # DEPENDENCYPART_SIBL
(25,11),(25,29),-0.0209222 # DEPENDENCYPART_SIBL
(25,11),(25,31),0.0236074 # DEPENDENCYPART_SIBL
(25,11),(25,32),-0.030475 # DEPENDENCYPART_SIBL
(25,11),(25,33),0.0026636 # DEPENDENCYPART_SIBL
(25,11),(25,34),-0.00819646 # DEPENDENCYPART_SIBL
(25,11),(25,35),-0.123535 # DEPENDENCYPART_SIBL
(25,11),(25,37),-0.018934 # DEPENDENCYPART_SIBL
(25,11),(25,38),0.0026636 # DEPENDENCYPART_SIBL
(25,11),(25,41),-0.0209222 # DEPENDENCYPART_SIBL
(25,11),(25,42),-0.00704133 # DEPENDENCYPART_SIBL
(25,15),(25,16),0.605905 # DEPENDENCYPART_SIBL
(25,15),(25,17),0.260795 # DEPENDENCYPART_SIBL
(25,15),(25,18),0.203004 # DEPENDENCYPART_SIBL
(25,15),(25,20),0.123041 # DEPENDENCYPART_SIBL
(25,15),(25,22),-0.280082 # DEPENDENCYPART_SIBL
(25,15),(25,23),0.143555 # DEPENDENCYPART_SIBL
(25,15),(25,24),0.320175 # DEPENDENCYPART_SIBL
(25,15),(25,26),-0.10467 # DEPENDENCYPART_SIBL
(25,15),(25,27),0.0592587 # DEPENDENCYPART_SIBL
(25,15),(25,29),-0.110181 # DEPENDENCYPART_SIBL
(25,15),(25,31),-0.0084552 # DEPENDENCYPART_SIBL
(25,15),(25,32),-0.0473696 # DEPENDENCYPART_SIBL
(25,15),(25,33),-0.0229388 # DEPENDENCYPART_SIBL
(25,15),(25,34),-0.0248835 # DEPENDENCYPART_SIBL
(25,15),(25,35),-0.147078 # DEPENDENCYPART_SIBL
(25,15),(25,37),-0.0405521 # DEPENDENCYPART_SIBL
(25,15),(25,38),-0.0229388 # DEPENDENCYPART_SIBL
(25,15),(25,41),-0.110181 # DEPENDENCYPART_SIBL
(25,15),(25,42),-0.466158 # DEPENDENCYPART_SIBL
(25,16),(25,17),0.208595 # DEPENDENCYPART_SIBL
(25,16),(25,18),0.0170243 # DEPENDENCYPART_SIBL
(25,16),(25,20),0.0105175 # DEPENDENCYPART_SIBL
(25,16),(25,22),-0.338502 # DEPENDENCYPART_SIBL
(25,16),(25,23),0.146312 # DEPENDENCYPART_SIBL
(25,16),(25,24),0.664627 # DEPENDENCYPART_SIBL
(25,16),(25,26),0.0145552 # DEPENDENCYPART_SIBL
(25,16),(25,27),0.205592 # DEPENDENCYPART_SIBL
(25,16),(25,29),0.0319879 # DEPENDENCYPART_SIBL
(25,16),(25,31),0.179622 # DEPENDENCYPART_SIBL
(25,16),(25,32),-0.0270287 # DEPENDENCYPART_SIBL
(25,16),(25,33),-0.0396125 # DEPENDENCYPART_SIBL
(25,16),(25,34),0.00203313 # DEPENDENCYPART_SIBL
(25,16),(25,35),-0.0782372 # DEPENDENCYPART_SIBL
(25,16),(25,37),-0.01924 # DEPENDENCYPART_SIBL
(25,16),(25,38),-0.0396125 # DEPENDENCYPART_SIBL
(25,16),(25,41),0.0319879 # DEPENDENCYPART_SIBL
(25,16),(25,42),-0.0978117 # DEPENDENCYPART_SIBL
(25,17),(25,18),-0.0403109 # DEPENDENCYPART_SIBL
(25,17),(25,20),0.307235 # DEPENDENCYPART_SIBL
(25,17),(25,22),-0.094653 # DEPENDENCYPART_SIBL
(25,17),(25,23),0.0810193 # DEPENDENCYPART_SIBL
(25,17),(25,24),0.514851 # DEPENDENCYPART_SIBL
(25,17),(25,26),0.0867818 # DEPENDENCYPART_SIBL
(25,17),(25,27),0.172258 # DEPENDENCYPART_SIBL
(25,17),(25,29),0.141674 # DEPENDENCYPART_SIBL
(25,17),(25,31),0.143289 # DEPENDENCYPART_SIBL
(25,17),(25,32),0.00873095 # DEPENDENCYPART_SIBL
(25,17),(25,33),0.0737934 # DEPENDENCYPART_SIBL
(25,17),(25,34),0.0276965 # DEPENDENCYPART_SIBL
(25,17),(25,35),-0.105552 # DEPENDENCYPART_SIBL
(25,17),(25,37),0.0157412 # DEPENDENCYPART_SIBL
(25,17),(25,38),0.0737934 # DEPENDENCYPART_SIBL
(25,17),(25,41),0.141674 # DEPENDENCYPART_SIBL
(25,17),(25,42),0.172619 # DEPENDENCYPART_SIBL
(25,18),(25,20),-0.0265745 # DEPENDENCYPART_SIBL
(25,18),(25,22),-0.294653 # DEPENDENCYPART_SIBL
(25,18),(25,23),0.135677 # DEPENDENCYPART_SIBL
(25,18),(25,24),0.770891 # DEPENDENCYPART_SIBL
(25,18),(25,26),0.00743119 # DEPENDENCYPART_SIBL
(25,18),(25,27),0.12196 # DEPENDENCYPART_SIBL
(25,18),(25,29),0.0730472 # DEPENDENCYPART_SIBL
(25,18),(25,31),0.1054 # DEPENDENCYPART_SIBL
(25,18),(25,32),0.0290618 # DEPENDENCYPART_SIBL
(25,18),(25,33),-0.0225003 # DEPENDENCYPART_SIBL
(25,18),(25,34),0.0572489 # DEPENDENCYPART_SIBL
(25,18),(25,35),-0.0703732 # DEPENDENCYPART_SIBL
(25,18),(25,37),0.040149 # DEPENDENCYPART_SIBL
(25,18),(25,38),-0.0225003 # DEPENDENCYPART_SIBL
(25,18),(25,41),0.0730472 # DEPENDENCYPART_SIBL
(25,18),(25,42),0.0875723 # DEPENDENCYPART_SIBL
(25,20),(25,22),-0.293483 # DEPENDENCYPART_SIBL
(25,20),(25,23),-0.0129296 # DEPENDENCYPART_SIBL
(25,20),(25,24),0.64757 # DEPENDENCYPART_SIBL
(25,20),(25,26),-0.0392313 # DEPENDENCYPART_SIBL
(25,20),(25,27),0.0448124 # DEPENDENCYPART_SIBL
(25,20),(25,29),0.130972 # DEPENDENCYPART_SIBL
(25,20),(25,31),0.0310754 # DEPENDENCYPART_SIBL
(25,20),(25,32),-0.0162898 # DEPENDENCYPART_SIBL
(25,20),(25,33),-0.00945533 # DEPENDENCYPART_SIBL
(25,20),(25,34),0.0117956 # DEPENDENCYPART_SIBL
(25,20),(25,35),-0.118461 # DEPENDENCYPART_SIBL
(25,20),(25,37),-0.00520251 # DEPENDENCYPART_SIBL
(25,20),(25,38),-0.00945533 # DEPENDENCYPART_SIBL
(25,20),(25,41),0.130972 # DEPENDENCYPART_SIBL
(25,20),(25,42),0.0735165 # DEPENDENCYPART_SIBL
(25,22),(25,23),0.143555 # DEPENDENCYPART_SIBL
(25,22),(25,24),0.320175 # DEPENDENCYPART_SIBL
(25,22),(25,26),-0.10467 # DEPENDENCYPART_SIBL
(25,22),(25,27),0.0592587 # DEPENDENCYPART_SIBL
(25,22),(25,29),-0.110181 # DEPENDENCYPART_SIBL
(25,22),(25,31),-0.0084552 # DEPENDENCYPART_SIBL
(25,22),(25,32),-0.0473696 # DEPENDENCYPART_SIBL
(25,22),(25,33),-0.0229388 # DEPENDENCYPART_SIBL
(25,22),(25,34),-0.0248835 # DEPENDENCYPART_SIBL
(25,22),(25,35),-0.147078 # DEPENDENCYPART_SIBL
(25,22),(25,37),-0.0405521 # DEPENDENCYPART_SIBL
(25,22),(25,38),-0.0229388 # DEPENDENCYPART_SIBL
(25,22),(25,41),-0.110181 # DEPENDENCYPART_SIBL
(25,22),(25,42),-0.466158 # DEPENDENCYPART_SIBL
(25,23),(25,24),0.960703 # DEPENDENCYPART_SIBL
(25,23),(25,26),0.166757 # DEPENDENCYPART_SIBL
(25,23),(25,27),0.237728 # DEPENDENCYPART_SIBL
(25,23),(25,29),0.164771 # DEPENDENCYPART_SIBL
(25,23),(25,31),0.218506 # DEPENDENCYPART_SIBL
(25,23),(25,32),0.159914 # DEPENDENCYPART_SIBL
(25,23),(25,33),0.0554257 # DEPENDENCYPART_SIBL
(25,23),(25,34),0.183964 # DEPENDENCYPART_SIBL
(25,23),(25,35),0.212131 # DEPENDENCYPART_SIBL
(25,23),(25,37),0.166286 # DEPENDENCYPART_SIBL
(25,23),(25,38),0.0554257 # DEPENDENCYPART_SIBL
(25,23),(25,41),0.164771 # DEPENDENCYPART_SIBL
(25,23),(25,42),0.147585 # DEPENDENCYPART_SIBL
(25,24),(25,26),0.369747 # DEPENDENCYPART_SIBL
(25,24),(25,27),0.588153 # DEPENDENCYPART_SIBL
(25,24),(25,29),0.733801 # DEPENDENCYPART_SIBL
(25,24),(25,31),0.57421 # DEPENDENCYPART_SIBL
(25,24),(25,32),0.407872 # DEPENDENCYPART_SIBL
(25,24),(25,33),0.554743 # DEPENDENCYPART_SIBL
(25,24),(25,34),0.425477 # DEPENDENCYPART_SIBL
(25,24),(25,35),0.362095 # DEPENDENCYPART_SIBL
(25,24),(25,37),0.414826 # DEPENDENCYPART_SIBL
(25,24),(25,38),0.554743 # DEPENDENCYPART_SIBL
(25,24),(25,41),0.733801 # DEPENDENCYPART_SIBL
(25,24),(25,42),0.7123 # DEPENDENCYPART_SIBL
(25,26),(25,27),0.0127073 # DEPENDENCYPART_SIBL
(25,26),(25,29),0.00914218 # DEPENDENCYPART_SIBL
(25,26),(25,31),0.0299562 # DEPENDENCYPART_SIBL
(25,26),(25,32),0.0619163 # DEPENDENCYPART_SIBL
(25,26),(25,33),-0.0329299 # DEPENDENCYPART_SIBL
(25,26),(25,34),0.0811451 # DEPENDENCYPART_SIBL
(25,26),(25,35),-0.059202 # DEPENDENCYPART_SIBL
(25,26),(25,37),0.0664123 # DEPENDENCYPART_SIBL
(25,26),(25,38),-0.0329299 # DEPENDENCYPART_SIBL
(25,26),(25,41),0.00914218 # DEPENDENCYPART_SIBL
(25,26),(25,42),-0.0122561 # DEPENDENCYPART_SIBL
(25,27),(25,29),0.118066 # DEPENDENCYPART_SIBL
(25,27),(25,31),-0.234168 # DEPENDENCYPART_SIBL
(25,27),(25,32),0.0436314 # DEPENDENCYPART_SIBL
(25,27),(25,33),0.119687 # DEPENDENCYPART_SIBL
