# _root_ Un_cop llicenciat , es va dedicar durant molts anys a l' ensenyament de la llengua i la literatura a Barcelona , Vila-real -Fpa- Plana_Baixa -Fpt- i Terrassa .
#goldHeads=2,6,2,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,6,19,20,20,24,22,24,20,20,6,
#predictedHeads=2,6,2,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,18,19,20,20,24,22,24,20,20,6,
(6,16),(6,27),0.204127 # DEPENDENCYPART_SIBL
(6,16),(6,28),0.0243605 # DEPENDENCYPART_SIBL
(6,18),(6,19),0.103534 # DEPENDENCYPART_SIBL
(6,18),(6,21),-0.00187689 # DEPENDENCYPART_SIBL
(6,18),(6,22),-0.230077 # DEPENDENCYPART_SIBL
(6,18),(6,24),-0.230077 # DEPENDENCYPART_SIBL
(6,18),(6,25),0.0355533 # DEPENDENCYPART_SIBL
(6,18),(6,26),0.015961 # DEPENDENCYPART_SIBL
(6,18),(6,27),-0.217625 # DEPENDENCYPART_SIBL
(6,18),(6,28),0.00300179 # DEPENDENCYPART_SIBL
(6,19),(6,21),0.00911144 # DEPENDENCYPART_SIBL
(6,19),(6,22),0.0248959 # DEPENDENCYPART_SIBL
(6,19),(6,24),0.0248959 # DEPENDENCYPART_SIBL
(6,19),(6,25),0.00904833 # DEPENDENCYPART_SIBL
(6,19),(6,26),0.0132489 # DEPENDENCYPART_SIBL
(6,19),(6,27),0.0259611 # DEPENDENCYPART_SIBL
(6,19),(6,28),0.0371026 # DEPENDENCYPART_SIBL
(6,21),(6,22),-0.0460366 # DEPENDENCYPART_SIBL
(6,21),(6,24),-0.0460366 # DEPENDENCYPART_SIBL
(6,21),(6,25),-0.0688478 # DEPENDENCYPART_SIBL
(6,21),(6,26),0.186705 # DEPENDENCYPART_SIBL
(6,21),(6,27),-0.024671 # DEPENDENCYPART_SIBL
(6,21),(6,28),-0.0835039 # DEPENDENCYPART_SIBL
(6,22),(6,24),-0.233078 # DEPENDENCYPART_SIBL
(6,22),(6,25),0.0336134 # DEPENDENCYPART_SIBL
(6,22),(6,26),-0.00409737 # DEPENDENCYPART_SIBL
(6,22),(6,27),-0.220627 # DEPENDENCYPART_SIBL
(6,22),(6,28),-0.00016877 # DEPENDENCYPART_SIBL
(6,24),(6,25),0.0336134 # DEPENDENCYPART_SIBL
(6,24),(6,26),-0.00409737 # DEPENDENCYPART_SIBL
(6,24),(6,27),-0.220627 # DEPENDENCYPART_SIBL
(6,24),(6,28),-0.00016877 # DEPENDENCYPART_SIBL
(6,25),(6,26),-0.161205 # DEPENDENCYPART_SIBL
(6,25),(6,27),-0.0557266 # DEPENDENCYPART_SIBL
(6,25),(6,28),-0.208858 # DEPENDENCYPART_SIBL
(6,26),(6,27),0.204127 # DEPENDENCYPART_SIBL
(6,26),(6,28),0.0243605 # DEPENDENCYPART_SIBL
(6,27),(6,28),-0.00415328 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00107695 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.311344 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00256975 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.166817 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0398169 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0109524 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.00256975 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.648033 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0392461 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0315586 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.136079 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.00681267 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.00635228 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0315586 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0552485 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.050966 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.725638 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.000346934 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.100542 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.050966 # DEPENDENCYPART_SIBL
(7,9),(7,21),0.167495 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.135025 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.12923 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0503035 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.130649 # DEPENDENCYPART_SIBL
(7,10),(7,21),6.18592e-05 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0301024 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0472821 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.0687486 # DEPENDENCYPART_SIBL
(7,12),(7,21),0.0271268 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0725049 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.135708 # DEPENDENCYPART_SIBL
(7,13),(7,21),0.0148469 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.826022 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.0426281 # DEPENDENCYPART_SIBL
(7,19),(7,21),6.18592e-05 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0882067 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.17247 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.143485 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.265882 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.49706 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0609597 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0252451 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.00894351 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0221385 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.16578 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0891335 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0297535 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0218839 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0316945 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0181105 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.0125389 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.0891335 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.0315991 # DEPENDENCYPART_SIBL
(9,1),(9,24),-0.0315991 # DEPENDENCYPART_SIBL
(9,1),(9,26),-0.0181105 # DEPENDENCYPART_SIBL
(9,1),(9,27),-0.0364522 # DEPENDENCYPART_SIBL
(9,1),(9,28),0.00786445 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0147264 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.147553 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.312804 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.121319 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0686158 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0874029 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0723733 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0452406 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0499293 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.121319 # DEPENDENCYPART_SIBL
(9,2),(9,22),-0.0691114 # DEPENDENCYPART_SIBL
(9,2),(9,24),-0.0691114 # DEPENDENCYPART_SIBL
(9,2),(9,26),-0.0452406 # DEPENDENCYPART_SIBL
(9,2),(9,27),-0.0739795 # DEPENDENCYPART_SIBL
(9,2),(9,28),-0.0282291 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.333946 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.274133 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0414191 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0906539 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0218567 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.10001 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0358367 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0404327 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0414191 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.0903823 # DEPENDENCYPART_SIBL
(9,3),(9,24),-0.0903823 # DEPENDENCYPART_SIBL
(9,3),(9,26),-0.0358367 # DEPENDENCYPART_SIBL
(9,3),(9,27),-0.110325 # DEPENDENCYPART_SIBL
(9,3),(9,28),-0.318507 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0529607 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0015912 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0163046 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0306935 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0254671 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.014322 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.00652115 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0015912 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.0219561 # DEPENDENCYPART_SIBL
(9,7),(9,24),-0.0219561 # DEPENDENCYPART_SIBL
(9,7),(9,26),0.014322 # DEPENDENCYPART_SIBL
(9,7),(9,27),-0.0271159 # DEPENDENCYPART_SIBL
(9,7),(9,28),0.00599518 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.122836 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.00542414 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.134638 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.00827512 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.113917 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.027006 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.122836 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.000871697 # DEPENDENCYPART_SIBL
(9,8),(9,24),0.000871697 # DEPENDENCYPART_SIBL
(9,8),(9,26),0.113917 # DEPENDENCYPART_SIBL
(9,8),(9,27),-0.0121199 # DEPENDENCYPART_SIBL
(9,8),(9,28),0.0673171 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.117372 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0833476 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.101919 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.138868 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.119046 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.103882 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.1183 # DEPENDENCYPART_SIBL
(9,10),(9,24),0.1183 # DEPENDENCYPART_SIBL
(9,10),(9,26),0.138868 # DEPENDENCYPART_SIBL
(9,10),(9,27),0.0970896 # DEPENDENCYPART_SIBL
(9,10),(9,28),0.229222 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0652744 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0280747 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.0548334 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.00434482 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0301501 # DEPENDENCYPART_SIBL
(9,12),(9,22),-0.0124646 # DEPENDENCYPART_SIBL
(9,12),(9,24),-0.0124646 # DEPENDENCYPART_SIBL
(9,12),(9,26),0.0548334 # DEPENDENCYPART_SIBL
(9,12),(9,27),-0.0212494 # DEPENDENCYPART_SIBL
(9,12),(9,28),-0.0502773 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0478823 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.136591 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.0660016 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.141516 # DEPENDENCYPART_SIBL
(9,13),(9,22),0.0676877 # DEPENDENCYPART_SIBL
(9,13),(9,24),0.0676877 # DEPENDENCYPART_SIBL
(9,13),(9,26),0.136591 # DEPENDENCYPART_SIBL
(9,13),(9,27),0.0385061 # DEPENDENCYPART_SIBL
(9,13),(9,28),0.0399699 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0516148 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0152456 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.0421791 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.0228513 # DEPENDENCYPART_SIBL
(9,15),(9,24),-0.0228513 # DEPENDENCYPART_SIBL
(9,15),(9,26),0.0516148 # DEPENDENCYPART_SIBL
(9,15),(9,27),-0.0316362 # DEPENDENCYPART_SIBL
(9,15),(9,28),-0.0618246 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.673564 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.112652 # DEPENDENCYPART_SIBL
(9,16),(9,22),0.65225 # DEPENDENCYPART_SIBL
(9,16),(9,24),0.65225 # DEPENDENCYPART_SIBL
(9,16),(9,26),-0.22957 # DEPENDENCYPART_SIBL
(9,16),(9,27),0.633787 # DEPENDENCYPART_SIBL
(9,16),(9,28),0.027221 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.01729 # DEPENDENCYPART_SIBL
(9,18),(9,22),0.00364761 # DEPENDENCYPART_SIBL
(9,18),(9,24),0.00364761 # DEPENDENCYPART_SIBL
(9,18),(9,26),0.0902022 # DEPENDENCYPART_SIBL
(9,18),(9,27),-0.00513725 # DEPENDENCYPART_SIBL
(9,18),(9,28),-0.0274505 # DEPENDENCYPART_SIBL
(9,19),(9,22),0.1183 # DEPENDENCYPART_SIBL
(9,19),(9,24),0.1183 # DEPENDENCYPART_SIBL
(9,19),(9,26),0.138868 # DEPENDENCYPART_SIBL
(9,19),(9,27),0.0970896 # DEPENDENCYPART_SIBL
(9,19),(9,28),0.229222 # DEPENDENCYPART_SIBL
(9,22),(9,24),-0.0118077 # DEPENDENCYPART_SIBL
(9,22),(9,26),0.0560779 # DEPENDENCYPART_SIBL
(9,22),(9,27),-0.0205926 # DEPENDENCYPART_SIBL
(9,22),(9,28),-0.044471 # DEPENDENCYPART_SIBL
(9,24),(9,26),0.0560779 # DEPENDENCYPART_SIBL
(9,24),(9,27),-0.0205926 # DEPENDENCYPART_SIBL
(9,24),(9,28),-0.044471 # DEPENDENCYPART_SIBL
(9,26),(9,27),0.633787 # DEPENDENCYPART_SIBL
(9,26),(9,28),0.027221 # DEPENDENCYPART_SIBL
(9,27),(9,28),-0.0624781 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0219466 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0372013 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0570091 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0338076 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.00219548 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.0320868 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.12215 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.171692 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.122172 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0113744 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.115228 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.301354 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.940291 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.00595143 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.0318084 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0878735 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0682905 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0394193 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.00899094 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.0119615 # DEPENDENCYPART_SIBL
(10,16),(10,19),1.16502 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.146593 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.028283 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.369975 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.00651623 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.0215815 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0596228 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0221369 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.059655 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.00814617 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.0199973 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.00853617 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.039224 # DEPENDENCYPART_SIBL
(12,1),(12,19),-0.03404 # DEPENDENCYPART_SIBL
(12,1),(12,20),-0.00202461 # DEPENDENCYPART_SIBL
(12,1),(12,21),0.00915691 # DEPENDENCYPART_SIBL
(12,1),(12,22),0.0201638 # DEPENDENCYPART_SIBL
(12,1),(12,23),-0.00321213 # DEPENDENCYPART_SIBL
(12,1),(12,24),0.0201638 # DEPENDENCYPART_SIBL
(12,1),(12,25),0.0895397 # DEPENDENCYPART_SIBL
(12,1),(12,26),0.00853617 # DEPENDENCYPART_SIBL
(12,1),(12,27),0.0153107 # DEPENDENCYPART_SIBL
(12,1),(12,28),0.0116263 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.0954116 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.319363 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.114072 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.414817 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.00605259 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.0145097 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.0215047 # DEPENDENCYPART_SIBL
(12,2),(12,18),0.0370273 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.0174005 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.0141857 # DEPENDENCYPART_SIBL
(12,2),(12,21),-0.00250684 # DEPENDENCYPART_SIBL
(12,2),(12,22),0.0178451 # DEPENDENCYPART_SIBL
(12,2),(12,23),0.0193919 # DEPENDENCYPART_SIBL
(12,2),(12,24),0.0178451 # DEPENDENCYPART_SIBL
(12,2),(12,25),0.0690883 # DEPENDENCYPART_SIBL
(12,2),(12,26),0.0215047 # DEPENDENCYPART_SIBL
(12,2),(12,27),0.0129771 # DEPENDENCYPART_SIBL
(12,2),(12,28),0.0108066 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0336304 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0662316 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0349299 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.00101464 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0668938 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.0912436 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.0989874 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.0920858 # DEPENDENCYPART_SIBL
(12,7),(12,20),0.0333551 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.0229467 # DEPENDENCYPART_SIBL
(12,7),(12,22),0.0705102 # DEPENDENCYPART_SIBL
(12,7),(12,23),-0.00898715 # DEPENDENCYPART_SIBL
(12,7),(12,24),0.0705102 # DEPENDENCYPART_SIBL
(12,7),(12,25),0.0143824 # DEPENDENCYPART_SIBL
(12,7),(12,26),0.0912436 # DEPENDENCYPART_SIBL
(12,7),(12,27),0.0653503 # DEPENDENCYPART_SIBL
(12,7),(12,28),0.044435 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0854702 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.77458 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.141455 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.043226 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.0918093 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.0786125 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.011003 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.00886219 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.0411763 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.0524783 # DEPENDENCYPART_SIBL
(12,8),(12,23),0.0477384 # DEPENDENCYPART_SIBL
(12,8),(12,24),0.0524783 # DEPENDENCYPART_SIBL
(12,8),(12,25),0.0499956 # DEPENDENCYPART_SIBL
(12,8),(12,26),0.0918093 # DEPENDENCYPART_SIBL
(12,8),(12,27),0.0394867 # DEPENDENCYPART_SIBL
(12,8),(12,28),0.0655634 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0757262 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0690213 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0552335 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.108581 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0873186 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.0225617 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.0187048 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.0226265 # DEPENDENCYPART_SIBL
(12,10),(12,22),0.0588757 # DEPENDENCYPART_SIBL
(12,10),(12,23),-0.0178075 # DEPENDENCYPART_SIBL
(12,10),(12,24),0.0588757 # DEPENDENCYPART_SIBL
(12,10),(12,25),0.0190024 # DEPENDENCYPART_SIBL
(12,10),(12,26),0.108581 # DEPENDENCYPART_SIBL
(12,10),(12,27),0.0537159 # DEPENDENCYPART_SIBL
(12,10),(12,28),0.0666027 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.387362 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.195135 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.00849768 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.236591 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.195041 # DEPENDENCYPART_SIBL
(12,11),(12,20),0.159845 # DEPENDENCYPART_SIBL
(12,11),(12,21),0.0124749 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.210467 # DEPENDENCYPART_SIBL
(12,11),(12,23),0.0384784 # DEPENDENCYPART_SIBL
(12,11),(12,24),0.210467 # DEPENDENCYPART_SIBL
(12,11),(12,25),0.0140518 # DEPENDENCYPART_SIBL
(12,11),(12,26),0.00849768 # DEPENDENCYPART_SIBL
(12,11),(12,27),0.194113 # DEPENDENCYPART_SIBL
(12,11),(12,28),0.0645301 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0495005 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0524813 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0313023 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.126908 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.102145 # DEPENDENCYPART_SIBL
(12,13),(12,21),-0.0590642 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.0296163 # DEPENDENCYPART_SIBL
(12,13),(12,23),-0.0715625 # DEPENDENCYPART_SIBL
(12,13),(12,24),-0.0296163 # DEPENDENCYPART_SIBL
(12,13),(12,25),0.0391678 # DEPENDENCYPART_SIBL
(12,13),(12,26),-0.0524813 # DEPENDENCYPART_SIBL
(12,13),(12,27),-0.0587978 # DEPENDENCYPART_SIBL
(12,13),(12,28),-0.0403716 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0107901 # DEPENDENCYPART_SIBL
(12,15),(12,18),0.0342359 # DEPENDENCYPART_SIBL
(12,15),(12,19),0.0170527 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.00342558 # DEPENDENCYPART_SIBL
(12,15),(12,21),0.0633211 # DEPENDENCYPART_SIBL
(12,15),(12,22),0.0266302 # DEPENDENCYPART_SIBL
(12,15),(12,23),0.0612692 # DEPENDENCYPART_SIBL
(12,15),(12,24),0.0266302 # DEPENDENCYPART_SIBL
(12,15),(12,25),0.177066 # DEPENDENCYPART_SIBL
(12,15),(12,26),-0.0107901 # DEPENDENCYPART_SIBL
(12,15),(12,27),0.0178453 # DEPENDENCYPART_SIBL
(12,15),(12,28),0.0123311 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.648903 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.0909072 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.605578 # DEPENDENCYPART_SIBL
(12,16),(12,21),-0.0161729 # DEPENDENCYPART_SIBL
(12,16),(12,22),0.627589 # DEPENDENCYPART_SIBL
(12,16),(12,23),0.0998495 # DEPENDENCYPART_SIBL
(12,16),(12,24),0.627589 # DEPENDENCYPART_SIBL
(12,16),(12,25),0.171814 # DEPENDENCYPART_SIBL
(12,16),(12,26),-0.330929 # DEPENDENCYPART_SIBL
(12,16),(12,27),0.609125 # DEPENDENCYPART_SIBL
(12,16),(12,28),0.0080316 # DEPENDENCYPART_SIBL
(12,18),(12,19),0.042417 # DEPENDENCYPART_SIBL
(12,18),(12,20),0.0234728 # DEPENDENCYPART_SIBL
(12,18),(12,21),0.116557 # DEPENDENCYPART_SIBL
(12,18),(12,22),0.0535285 # DEPENDENCYPART_SIBL
(12,18),(12,23),0.0957933 # DEPENDENCYPART_SIBL
(12,18),(12,24),0.0535285 # DEPENDENCYPART_SIBL
(12,18),(12,25),0.210504 # DEPENDENCYPART_SIBL
(12,18),(12,26),0.0281412 # DEPENDENCYPART_SIBL
(12,18),(12,27),0.0447437 # DEPENDENCYPART_SIBL
(12,18),(12,28),0.047066 # DEPENDENCYPART_SIBL
(12,19),(12,20),-0.00106246 # DEPENDENCYPART_SIBL
(12,19),(12,21),0.0125707 # DEPENDENCYPART_SIBL
(12,19),(12,22),0.0604393 # DEPENDENCYPART_SIBL
(12,19),(12,23),0.0703835 # DEPENDENCYPART_SIBL
(12,19),(12,24),0.0604393 # DEPENDENCYPART_SIBL
(12,19),(12,25),0.114407 # DEPENDENCYPART_SIBL
(12,19),(12,26),-0.0151008 # DEPENDENCYPART_SIBL
(12,19),(12,27),0.0392289 # DEPENDENCYPART_SIBL
(12,19),(12,28),0.203118 # DEPENDENCYPART_SIBL
(12,20),(12,21),0.0902675 # DEPENDENCYPART_SIBL
(12,20),(12,22),0.0185213 # DEPENDENCYPART_SIBL
(12,20),(12,23),0.0750007 # DEPENDENCYPART_SIBL
(12,20),(12,24),0.0185213 # DEPENDENCYPART_SIBL
(12,20),(12,25),0.201427 # DEPENDENCYPART_SIBL
(12,20),(12,26),0.0184681 # DEPENDENCYPART_SIBL
(12,20),(12,27),0.00973642 # DEPENDENCYPART_SIBL
(12,20),(12,28),0.0354836 # DEPENDENCYPART_SIBL
(12,21),(12,22),0.419711 # DEPENDENCYPART_SIBL
(12,21),(12,23),0.0728152 # DEPENDENCYPART_SIBL
(12,21),(12,24),0.419711 # DEPENDENCYPART_SIBL
(12,21),(12,25),0.168607 # DEPENDENCYPART_SIBL
(12,21),(12,26),0.219632 # DEPENDENCYPART_SIBL
(12,21),(12,27),0.428033 # DEPENDENCYPART_SIBL
(12,21),(12,28),0.0683111 # DEPENDENCYPART_SIBL
(12,22),(12,23),0.0789806 # DEPENDENCYPART_SIBL
(12,22),(12,24),0.0380732 # DEPENDENCYPART_SIBL
(12,22),(12,25),0.194739 # DEPENDENCYPART_SIBL
(12,22),(12,26),-0.00598317 # DEPENDENCYPART_SIBL
(12,22),(12,27),0.0292884 # DEPENDENCYPART_SIBL
(12,22),(12,28),0.0300456 # DEPENDENCYPART_SIBL
(12,23),(12,24),-0.040802 # DEPENDENCYPART_SIBL
