# _root_ Una persona va morir a Barcelona i una altra a Tarragona , sense que hagi transcendit en quin hospital , perquè encara no s' ha formalitzat la denúncia .
#goldHeads=2,4,4,0,4,5,4,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,16,28,26,4,
#predictedHeads=2,4,4,0,4,5,4,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,16,28,26,4,
(4,22),(4,28),-0.0712667 # DEPENDENCYPART_SIBL
(4,22),(4,29),0.00130098 # DEPENDENCYPART_SIBL
(4,25),(4,26),-0.0451322 # DEPENDENCYPART_SIBL
(4,25),(4,28),-0.0282791 # DEPENDENCYPART_SIBL
(4,25),(4,29),0.0284539 # DEPENDENCYPART_SIBL
(4,26),(4,28),0.00184616 # DEPENDENCYPART_SIBL
(4,26),(4,29),0.0477158 # DEPENDENCYPART_SIBL
(4,28),(4,29),0.0453373 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0810607 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0836284 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.118225 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0127351 # DEPENDENCYPART_SIBL
(5,7),(5,10),1.16502 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0667578 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.976374 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0535277 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0757944 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.459627 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0422538 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0110414 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00755454 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00500745 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.068187 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0557835 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0610447 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0442564 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.00285432 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.707299 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0082913 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.60803 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0489931 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.115922 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0512932 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.074974 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0998014 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0157046 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0151959 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0674634 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0295489 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0437098 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0386339 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.0355471 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0748751 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0398697 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0864742 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0209249 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.00484262 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.0629161 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0931344 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0562635 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.00612258 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0162378 # DEPENDENCYPART_SIBL
(6,11),(6,22),0.0423895 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.104043 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.00792654 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0227166 # DEPENDENCYPART_SIBL
(6,12),(6,22),0.0819189 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0299202 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0150384 # DEPENDENCYPART_SIBL
(6,13),(6,22),0.0346626 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.066022 # DEPENDENCYPART_SIBL
(6,15),(6,22),0.0413857 # DEPENDENCYPART_SIBL
(6,16),(6,22),0.0448686 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.00347664 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0277456 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0339122 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0882547 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.310794 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0155535 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0215429 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0022434 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0148203 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.00810444 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0045416 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0105618 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.00773486 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0321702 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.00385609 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0148203 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.0112163 # DEPENDENCYPART_SIBL
(9,5),(9,26),-0.00687285 # DEPENDENCYPART_SIBL
(9,5),(9,28),0.0081444 # DEPENDENCYPART_SIBL
(9,5),(9,29),0.0461995 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.190998 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0513096 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0651927 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0353694 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.00203968 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0364864 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0352586 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.018623 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0127932 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0708634 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0343574 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.00203968 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.0122915 # DEPENDENCYPART_SIBL
(9,6),(9,26),-0.0127802 # DEPENDENCYPART_SIBL
(9,6),(9,28),-0.0301717 # DEPENDENCYPART_SIBL
(9,6),(9,29),-0.00330541 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0646944 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.024857 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0417546 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0174008 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.017924 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.000784983 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0414613 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0458312 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.00216865 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.0406499 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.0174008 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.025492 # DEPENDENCYPART_SIBL
(9,7),(9,26),0.0458312 # DEPENDENCYPART_SIBL
(9,7),(9,28),-0.0400449 # DEPENDENCYPART_SIBL
(9,7),(9,29),0.157905 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0107891 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0343505 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.000600055 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0771049 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.149047 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.040171 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0498415 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.028902 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0335026 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.000600055 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.105866 # DEPENDENCYPART_SIBL
(9,8),(9,26),0.0506942 # DEPENDENCYPART_SIBL
(9,8),(9,28),-0.0300284 # DEPENDENCYPART_SIBL
(9,8),(9,29),0.0551549 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0421525 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0265839 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0145463 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0326312 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0551474 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0474509 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0713677 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0504757 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.0265839 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.0211067 # DEPENDENCYPART_SIBL
(9,10),(9,26),-0.0467851 # DEPENDENCYPART_SIBL
(9,10),(9,28),0.0538745 # DEPENDENCYPART_SIBL
(9,10),(9,29),0.0926241 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0639176 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0331896 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0813608 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0564889 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0513336 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0222175 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.132636 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.0639176 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.0327361 # DEPENDENCYPART_SIBL
(9,11),(9,26),-0.0508048 # DEPENDENCYPART_SIBL
(9,11),(9,28),-0.132767 # DEPENDENCYPART_SIBL
(9,11),(9,29),0.0552913 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0524421 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.00895307 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0858757 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0762121 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.137225 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.00291904 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.148913 # DEPENDENCYPART_SIBL
(9,12),(9,21),-0.00886998 # DEPENDENCYPART_SIBL
(9,12),(9,26),-0.0762117 # DEPENDENCYPART_SIBL
(9,12),(9,28),-0.00992955 # DEPENDENCYPART_SIBL
(9,12),(9,29),-0.0153103 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0189425 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0343783 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0278835 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0442025 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.096699 # DEPENDENCYPART_SIBL
(9,13),(9,20),0.109498 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.0105909 # DEPENDENCYPART_SIBL
(9,13),(9,26),-0.0272274 # DEPENDENCYPART_SIBL
(9,13),(9,28),0.0998449 # DEPENDENCYPART_SIBL
(9,13),(9,29),0.123213 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.00824184 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.0050731 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.064688 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.117105 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.0308377 # DEPENDENCYPART_SIBL
(9,14),(9,21),-0.0512522 # DEPENDENCYPART_SIBL
(9,14),(9,26),0.0050731 # DEPENDENCYPART_SIBL
(9,14),(9,28),0.112712 # DEPENDENCYPART_SIBL
(9,14),(9,29),0.0491265 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.127431 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0684645 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.00383155 # DEPENDENCYPART_SIBL
(9,15),(9,20),0.0491127 # DEPENDENCYPART_SIBL
(9,15),(9,21),0.00389748 # DEPENDENCYPART_SIBL
(9,15),(9,26),-0.127431 # DEPENDENCYPART_SIBL
(9,15),(9,28),0.00264771 # DEPENDENCYPART_SIBL
(9,15),(9,29),0.0400563 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0636657 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.000951359 # DEPENDENCYPART_SIBL
(9,16),(9,20),0.0593734 # DEPENDENCYPART_SIBL
(9,16),(9,21),0.00570976 # DEPENDENCYPART_SIBL
(9,16),(9,26),-0.12726 # DEPENDENCYPART_SIBL
(9,16),(9,28),-0.000231401 # DEPENDENCYPART_SIBL
(9,16),(9,29),0.0493306 # DEPENDENCYPART_SIBL
(9,17),(9,19),0.0605478 # DEPENDENCYPART_SIBL
(9,17),(9,20),0.0958723 # DEPENDENCYPART_SIBL
(9,17),(9,21),-0.0160895 # DEPENDENCYPART_SIBL
(9,17),(9,26),-0.0432059 # DEPENDENCYPART_SIBL
(9,17),(9,28),0.0637171 # DEPENDENCYPART_SIBL
(9,17),(9,29),0.0993576 # DEPENDENCYPART_SIBL
(9,19),(9,20),0.057945 # DEPENDENCYPART_SIBL
(9,19),(9,21),-0.0146299 # DEPENDENCYPART_SIBL
(9,19),(9,26),-0.050259 # DEPENDENCYPART_SIBL
(9,19),(9,28),-0.127039 # DEPENDENCYPART_SIBL
(9,19),(9,29),0.0546522 # DEPENDENCYPART_SIBL
(9,20),(9,21),-0.00886998 # DEPENDENCYPART_SIBL
(9,20),(9,26),-0.0762117 # DEPENDENCYPART_SIBL
(9,20),(9,28),-0.00992955 # DEPENDENCYPART_SIBL
(9,20),(9,29),-0.0153103 # DEPENDENCYPART_SIBL
(9,21),(9,26),0.00922246 # DEPENDENCYPART_SIBL
(9,21),(9,28),0.16742 # DEPENDENCYPART_SIBL
(9,21),(9,29),0.0495223 # DEPENDENCYPART_SIBL
(9,26),(9,28),-0.000186358 # DEPENDENCYPART_SIBL
(9,26),(9,29),0.0493933 # DEPENDENCYPART_SIBL
(9,28),(9,29),0.0686738 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.617473 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.290423 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.221152 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0540282 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0428325 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.111512 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0301217 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.00541723 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.000765834 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.1283 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.117968 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0908069 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.00548833 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.103444 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.117889 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0577828 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0626511 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.140269 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.135029 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.176366 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0901126 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.123502 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0202896 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0305125 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.169675 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0923157 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0346363 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0214652 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0376458 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0412956 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0899141 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0550203 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.453656 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.546494 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.540965 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.459627 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0310374 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0578429 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0479761 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0757853 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0864057 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0797211 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.164391 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.150887 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.31244 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0472588 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0525122 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.104191 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0419368 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0251486 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0937862 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.124027 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0076781 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0224682 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.045802 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0223253 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.00744351 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.136231 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.117495 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0601398 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.549975 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.237581 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.136071 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.0188979 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0237547 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0299415 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.101131 # DEPENDENCYPART_SIBL
(13,4),(13,20),-0.0845828 # DEPENDENCYPART_SIBL
(13,4),(13,21),0.028507 # DEPENDENCYPART_SIBL
(13,4),(13,22),-0.0207123 # DEPENDENCYPART_SIBL
(13,4),(13,23),-0.0264884 # DEPENDENCYPART_SIBL
(13,4),(13,26),0.0300523 # DEPENDENCYPART_SIBL
(13,4),(13,29),0.153769 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.136353 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0912614 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0483214 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.0214092 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.0262827 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.0918103 # DEPENDENCYPART_SIBL
(13,7),(13,20),-0.135632 # DEPENDENCYPART_SIBL
(13,7),(13,21),0.0771499 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.0326396 # DEPENDENCYPART_SIBL
(13,7),(13,23),-0.0204803 # DEPENDENCYPART_SIBL
(13,7),(13,26),0.0262984 # DEPENDENCYPART_SIBL
(13,7),(13,29),0.142449 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.087778 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.019729 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0139061 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0105922 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.00935553 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.194673 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.000145857 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.0704558 # DEPENDENCYPART_SIBL
(13,10),(13,23),-0.0816061 # DEPENDENCYPART_SIBL
(13,10),(13,26),-0.00971444 # DEPENDENCYPART_SIBL
(13,10),(13,29),0.00210224 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0529908 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.187249 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.171345 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.135552 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.487154 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.0404956 # DEPENDENCYPART_SIBL
(13,12),(13,22),0.0185284 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.0152521 # DEPENDENCYPART_SIBL
(13,12),(13,26),0.171538 # DEPENDENCYPART_SIBL
(13,12),(13,29),-0.137633 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.107419 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0939128 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.224955 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.115341 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.154603 # DEPENDENCYPART_SIBL
(13,14),(13,22),0.00720178 # DEPENDENCYPART_SIBL
(13,14),(13,23),0.0282423 # DEPENDENCYPART_SIBL
(13,14),(13,26),-0.0939127 # DEPENDENCYPART_SIBL
(13,14),(13,29),-0.0135582 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.298249 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0145475 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.0389066 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.0141956 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.0278889 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.00438069 # DEPENDENCYPART_SIBL
(13,15),(13,26),-0.298249 # DEPENDENCYPART_SIBL
(13,15),(13,29),0.0848129 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.00920738 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.0501102 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.0119058 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.0274584 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.00395021 # DEPENDENCYPART_SIBL
(13,16),(13,26),-0.297652 # DEPENDENCYPART_SIBL
(13,16),(13,29),0.0947718 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.162667 # DEPENDENCYPART_SIBL
(13,17),(13,21),0.0971712 # DEPENDENCYPART_SIBL
(13,17),(13,22),0.071649 # DEPENDENCYPART_SIBL
(13,17),(13,23),0.115909 # DEPENDENCYPART_SIBL
(13,17),(13,26),-0.039471 # DEPENDENCYPART_SIBL
(13,17),(13,29),0.22695 # DEPENDENCYPART_SIBL
(13,20),(13,21),0.0411208 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.00925413 # DEPENDENCYPART_SIBL
(13,20),(13,23),0.0728408 # DEPENDENCYPART_SIBL
(13,20),(13,26),-0.0330068 # DEPENDENCYPART_SIBL
(13,20),(13,29),-0.0138337 # DEPENDENCYPART_SIBL
(13,21),(13,22),0.0884597 # DEPENDENCYPART_SIBL
(13,21),(13,23),0.118926 # DEPENDENCYPART_SIBL
(13,21),(13,26),-0.0418189 # DEPENDENCYPART_SIBL
(13,21),(13,29),0.0399735 # DEPENDENCYPART_SIBL
(13,22),(13,23),-0.0858389 # DEPENDENCYPART_SIBL
(13,22),(13,26),-0.198385 # DEPENDENCYPART_SIBL
(13,22),(13,29),0.0420374 # DEPENDENCYPART_SIBL
(13,23),(13,26),-0.213711 # DEPENDENCYPART_SIBL
(13,23),(13,29),0.0411647 # DEPENDENCYPART_SIBL
(13,26),(13,29),0.0948592 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.000831424 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.510534 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.00769719 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0105216 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.119413 # DEPENDENCYPART_SIBL
(15,12),(15,25),0.025123 # DEPENDENCYPART_SIBL
(15,12),(15,26),-0.00744841 # DEPENDENCYPART_SIBL
(15,12),(15,29),-0.439508 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0406456 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.19785 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.0105823 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.00470368 # DEPENDENCYPART_SIBL
(15,14),(15,26),0.0407415 # DEPENDENCYPART_SIBL
(15,14),(15,29),-0.475993 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0361162 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.0775889 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.0502589 # DEPENDENCYPART_SIBL
(15,16),(15,26),-0.0236074 # DEPENDENCYPART_SIBL
(15,16),(15,29),0.0113098 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.103868 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.0483042 # DEPENDENCYPART_SIBL
(15,17),(15,26),0.0105858 # DEPENDENCYPART_SIBL
(15,17),(15,29),0.00438142 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.129835 # DEPENDENCYPART_SIBL
(15,21),(15,26),-0.00590835 # DEPENDENCYPART_SIBL
(15,21),(15,29),-0.146 # DEPENDENCYPART_SIBL
(15,25),(15,26),-0.0423036 # DEPENDENCYPART_SIBL
(15,25),(15,29),-0.00779186 # DEPENDENCYPART_SIBL
(15,26),(15,29),0.01147 # DEPENDENCYPART_SIBL
(16,2),(16,3),0.136063 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.022683 # DEPENDENCYPART_SIBL
(16,2),(16,5),-0.0255287 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.0349282 # DEPENDENCYPART_SIBL
(16,2),(16,9),-0.0940171 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.0255287 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.741477 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.49271 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.139029 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.673843 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.0303838 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.0929626 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.00484844 # DEPENDENCYPART_SIBL
(16,2),(16,20),0.0340424 # DEPENDENCYPART_SIBL
(16,2),(16,21),-0.0134821 # DEPENDENCYPART_SIBL
(16,2),(16,22),-0.0190376 # DEPENDENCYPART_SIBL
