# _root_ A_més_del catàleg , coincidint amb el lliurament dels premis , el dia_6_de_juny s' inaugurarà a Igualada l' exposició que reunirà les obres seleccionades .
#goldHeads=14,1,4,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
#predictedHeads=14,1,1,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
(7,4),(7,14),-0.106351 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.105004 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0136024 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.103584 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.0173476 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.126233 # DEPENDENCYPART_SIBL
(7,4),(7,24),0.039417 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.165044 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0630772 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0326757 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0394415 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0451767 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0204023 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0194601 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0245002 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0179335 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.0257872 # DEPENDENCYPART_SIBL
(7,5),(7,23),-0.052499 # DEPENDENCYPART_SIBL
(7,5),(7,24),0.0233397 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.290669 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.32928 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0214717 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.113609 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.00299108 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.079009 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.307166 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.00362126 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.323079 # DEPENDENCYPART_SIBL
(7,6),(7,23),0.0557217 # DEPENDENCYPART_SIBL
(7,6),(7,24),-0.0176502 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.00556839 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0320778 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0105418 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.122525 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.166981 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.024634 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.121821 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.0600744 # DEPENDENCYPART_SIBL
(7,8),(7,23),-0.0462557 # DEPENDENCYPART_SIBL
(7,8),(7,24),0.0131795 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0385767 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00273736 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.000219354 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0219707 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.00998204 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.00974531 # DEPENDENCYPART_SIBL
(7,9),(7,22),0.0348055 # DEPENDENCYPART_SIBL
(7,9),(7,23),0.0187084 # DEPENDENCYPART_SIBL
(7,9),(7,24),-0.000466526 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0362179 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0486528 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0367491 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.390336 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.0484135 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.467191 # DEPENDENCYPART_SIBL
(7,10),(7,23),-0.00236639 # DEPENDENCYPART_SIBL
(7,10),(7,24),0.00613211 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.029763 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.058775 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.00937842 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.0271682 # DEPENDENCYPART_SIBL
(7,12),(7,22),0.0446728 # DEPENDENCYPART_SIBL
(7,12),(7,23),-0.0206981 # DEPENDENCYPART_SIBL
(7,12),(7,24),0.0824754 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.0608927 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0329631 # DEPENDENCYPART_SIBL
(7,14),(7,20),-0.061184 # DEPENDENCYPART_SIBL
(7,14),(7,22),0.0868842 # DEPENDENCYPART_SIBL
(7,14),(7,23),0.00477075 # DEPENDENCYPART_SIBL
(7,14),(7,24),0.0250212 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.0941386 # DEPENDENCYPART_SIBL
(7,15),(7,20),-0.0172021 # DEPENDENCYPART_SIBL
(7,15),(7,22),0.135402 # DEPENDENCYPART_SIBL
(7,15),(7,23),0.0420008 # DEPENDENCYPART_SIBL
(7,15),(7,24),0.211307 # DEPENDENCYPART_SIBL
(7,18),(7,20),0.0211555 # DEPENDENCYPART_SIBL
(7,18),(7,22),0.0667169 # DEPENDENCYPART_SIBL
(7,18),(7,23),0.0392826 # DEPENDENCYPART_SIBL
(7,18),(7,24),0.0355469 # DEPENDENCYPART_SIBL
(7,20),(7,22),0.0898679 # DEPENDENCYPART_SIBL
(7,20),(7,23),0.00782763 # DEPENDENCYPART_SIBL
(7,20),(7,24),0.0401337 # DEPENDENCYPART_SIBL
(7,22),(7,23),0.0368906 # DEPENDENCYPART_SIBL
(7,22),(7,24),0.00140452 # DEPENDENCYPART_SIBL
(7,23),(7,24),-0.00888465 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0957885 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0255351 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.148994 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.12592 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0184342 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0871934 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.158204 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0964787 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.15451 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0992361 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.185185 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0725182 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.386173 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.419762 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0842878 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.018007 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.000349153 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.356681 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.208091 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.113753 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.00569352 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.100765 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.01665 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0666262 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0027135 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.052218 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.0327536 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.000244717 # DEPENDENCYPART_SIBL
(9,1),(9,22),0.0330786 # DEPENDENCYPART_SIBL
(9,1),(9,24),0.0390423 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0484363 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0858171 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0177974 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0562684 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.266956 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0184276 # DEPENDENCYPART_SIBL
(9,6),(9,22),0.282869 # DEPENDENCYPART_SIBL
(9,6),(9,24),-0.0417817 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0214057 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0573497 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0199955 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.338002 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.0571104 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.414857 # DEPENDENCYPART_SIBL
(9,10),(9,24),0.00456912 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0272465 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0525587 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0162499 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0246517 # DEPENDENCYPART_SIBL
(9,12),(9,22),0.0190445 # DEPENDENCYPART_SIBL
(9,12),(9,24),0.0794537 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0560157 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.00822149 # DEPENDENCYPART_SIBL
(9,14),(9,20),-0.0580045 # DEPENDENCYPART_SIBL
(9,14),(9,22),0.0621427 # DEPENDENCYPART_SIBL
(9,14),(9,24),0.0225305 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.056979 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.0186639 # DEPENDENCYPART_SIBL
(9,15),(9,22),0.0982425 # DEPENDENCYPART_SIBL
(9,15),(9,24),0.196271 # DEPENDENCYPART_SIBL
(9,18),(9,20),0.0312513 # DEPENDENCYPART_SIBL
(9,18),(9,22),0.057093 # DEPENDENCYPART_SIBL
(9,18),(9,24),0.0386666 # DEPENDENCYPART_SIBL
(9,20),(9,22),0.0651263 # DEPENDENCYPART_SIBL
(9,20),(9,24),0.037643 # DEPENDENCYPART_SIBL
(9,22),(9,24),0.00452426 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0865746 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0102604 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.154095 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0192466 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0880117 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.0245676 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.0180227 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.347011 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.00970264 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0262901 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0263398 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.0202708 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0664683 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0130635 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.0299874 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.0682852 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0419811 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0368342 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0872542 # DEPENDENCYPART_SIBL
(12,15),(12,18),0.0456312 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.0364421 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.0656518 # DEPENDENCYPART_SIBL
(14,1),(14,3),-0.278811 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.0282371 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.074623 # DEPENDENCYPART_SIBL
(14,1),(14,7),0.0317861 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.0785598 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.0262401 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.278811 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.110485 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.00241645 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.311057 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.0360713 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.0261658 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.0136856 # DEPENDENCYPART_SIBL
(14,1),(14,20),-0.000558108 # DEPENDENCYPART_SIBL
(14,1),(14,22),-0.0881282 # DEPENDENCYPART_SIBL
(14,1),(14,23),-0.0295994 # DEPENDENCYPART_SIBL
(14,1),(14,24),0.0129299 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.128389 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.0790491 # DEPENDENCYPART_SIBL
(14,3),(14,7),0.0435501 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.0418644 # DEPENDENCYPART_SIBL
(14,3),(14,9),0.0374783 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.354943 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.0776058 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.0385811 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.117564 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.00552731 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.00994355 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0139485 # DEPENDENCYPART_SIBL
(14,3),(14,20),-0.00168438 # DEPENDENCYPART_SIBL
(14,3),(14,22),-0.0582255 # DEPENDENCYPART_SIBL
(14,3),(14,23),-0.0161145 # DEPENDENCYPART_SIBL
(14,3),(14,24),-0.440646 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.10815 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.0209565 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.0832665 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.017484 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.118122 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.047479 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.00641441 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.0525006 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.0253319 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.0131591 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0241956 # DEPENDENCYPART_SIBL
(14,4),(14,20),0.00602768 # DEPENDENCYPART_SIBL
(14,4),(14,22),-0.0370372 # DEPENDENCYPART_SIBL
(14,4),(14,23),0.0102689 # DEPENDENCYPART_SIBL
(14,4),(14,24),0.0986692 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.0061303 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.1071 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.000584232 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.286868 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.159131 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.0104199 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.347202 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.00209859 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.013822 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.0268219 # DEPENDENCYPART_SIBL
(14,5),(14,20),0.00760382 # DEPENDENCYPART_SIBL
(14,5),(14,22),-0.0455748 # DEPENDENCYPART_SIBL
(14,5),(14,23),-0.0405217 # DEPENDENCYPART_SIBL
(14,5),(14,24),0.00904315 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.113656 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.741479 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.492272 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.17778 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.189746 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.0855241 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0263192 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.04762 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.047603 # DEPENDENCYPART_SIBL
(14,7),(14,20),0.00388316 # DEPENDENCYPART_SIBL
(14,7),(14,22),-0.0792325 # DEPENDENCYPART_SIBL
(14,7),(14,23),-0.0166886 # DEPENDENCYPART_SIBL
(14,7),(14,24),0.0217445 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.0566011 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.334206 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.127591 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0418714 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.285739 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.084958 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0785181 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.0660382 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.0252677 # DEPENDENCYPART_SIBL
(14,8),(14,22),-0.140493 # DEPENDENCYPART_SIBL
(14,8),(14,23),-0.0647684 # DEPENDENCYPART_SIBL
(14,8),(14,24),0.0015753 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.495206 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.180705 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.19267 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.0850043 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0750466 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0828523 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0828352 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0401809 # DEPENDENCYPART_SIBL
(14,9),(14,22),-0.114465 # DEPENDENCYPART_SIBL
(14,9),(14,23),-0.0689084 # DEPENDENCYPART_SIBL
(14,9),(14,24),-0.0407053 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0776058 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.0385811 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.117564 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.00552731 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.00994355 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0139485 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.00168438 # DEPENDENCYPART_SIBL
(14,10),(14,22),-0.0582255 # DEPENDENCYPART_SIBL
(14,10),(14,23),-0.0161145 # DEPENDENCYPART_SIBL
(14,10),(14,24),-0.440646 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.013096 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.438013 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.031101 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0116858 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0124609 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.051243 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.0450233 # DEPENDENCYPART_SIBL
(14,11),(14,23),0.028181 # DEPENDENCYPART_SIBL
(14,11),(14,24),-0.0904916 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.228389 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.00685732 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0127191 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.0269559 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.0128523 # DEPENDENCYPART_SIBL
(14,12),(14,22),-0.0195419 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.0309542 # DEPENDENCYPART_SIBL
(14,12),(14,24),0.00906324 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.167303 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.101541 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0920654 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0580288 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.13264 # DEPENDENCYPART_SIBL
(14,13),(14,23),-0.00396809 # DEPENDENCYPART_SIBL
(14,13),(14,24),0.158863 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.054748 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0465914 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.0547354 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.0244046 # DEPENDENCYPART_SIBL
(14,15),(14,23),0.0267199 # DEPENDENCYPART_SIBL
(14,15),(14,24),-0.0253694 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.258668 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0208141 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.26728 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.0358299 # DEPENDENCYPART_SIBL
(14,16),(14,24),0.000762322 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.0133524 # DEPENDENCYPART_SIBL
(14,18),(14,22),-0.252061 # DEPENDENCYPART_SIBL
(14,18),(14,23),-0.0232052 # DEPENDENCYPART_SIBL
(14,18),(14,24),0.0650359 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.0251312 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.00698478 # DEPENDENCYPART_SIBL
(14,20),(14,24),0.0234214 # DEPENDENCYPART_SIBL
(14,22),(14,23),-0.01174 # DEPENDENCYPART_SIBL
(14,22),(14,24),0.00577191 # DEPENDENCYPART_SIBL
(14,23),(14,24),0.0232343 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.282611 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.180947 # DEPENDENCYPART_SIBL
(15,4),(15,16),0.0892996 # DEPENDENCYPART_SIBL
(15,4),(15,18),0.0851049 # DEPENDENCYPART_SIBL
(15,4),(15,20),0.00842224 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0478193 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0124906 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.00189698 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.014968 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.051525 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.0516541 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.0226755 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.962705 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.549753 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.553331 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0208132 # DEPENDENCYPART_SIBL
(18,1),(18,4),0.0120495 # DEPENDENCYPART_SIBL
(18,1),(18,8),-0.0522885 # DEPENDENCYPART_SIBL
(18,1),(18,14),0.00853467 # DEPENDENCYPART_SIBL
(18,1),(18,15),-0.0586306 # DEPENDENCYPART_SIBL
(18,1),(18,17),-0.0662465 # DEPENDENCYPART_SIBL
(18,1),(18,19),-0.0608757 # DEPENDENCYPART_SIBL
(18,1),(18,20),0.00807553 # DEPENDENCYPART_SIBL
(18,1),(18,22),0.0346852 # DEPENDENCYPART_SIBL
(18,1),(18,23),0.0202388 # DEPENDENCYPART_SIBL
(18,1),(18,24),0.058117 # DEPENDENCYPART_SIBL
(18,4),(18,8),0.0441806 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.182235 # DEPENDENCYPART_SIBL
(18,4),(18,15),0.119665 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.103738 # DEPENDENCYPART_SIBL
(18,4),(18,19),-0.104767 # DEPENDENCYPART_SIBL
(18,4),(18,20),-0.0965347 # DEPENDENCYPART_SIBL
(18,4),(18,22),-0.0290658 # DEPENDENCYPART_SIBL
(18,4),(18,23),-0.101985 # DEPENDENCYPART_SIBL
(18,4),(18,24),0.0514859 # DEPENDENCYPART_SIBL
(18,8),(18,14),0.0165616 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.0264643 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.0140203 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.0880542 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.0159769 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.00217232 # DEPENDENCYPART_SIBL
(18,8),(18,23),0.0056291 # DEPENDENCYPART_SIBL
(18,8),(18,24),0.033484 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.116111 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.103745 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.104651 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.100384 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.0446074 # DEPENDENCYPART_SIBL
(18,14),(18,23),-0.10182 # DEPENDENCYPART_SIBL
(18,14),(18,24),0.0331754 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.13058 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0779739 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0138689 # DEPENDENCYPART_SIBL
(18,15),(18,22),0.0146215 # DEPENDENCYPART_SIBL
(18,15),(18,23),0.00904473 # DEPENDENCYPART_SIBL
(18,15),(18,24),0.0671946 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0680585 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0598177 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.178925 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.0693061 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.0665567 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.126536 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.163119 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0556388 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0764966 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.0815749 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.0254096 # DEPENDENCYPART_SIBL
(18,20),(18,24),0.0356037 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0409236 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.00549184 # DEPENDENCYPART_SIBL
(18,23),(18,24),0.0356284 # DEPENDENCYPART_SIBL
(20,1),(20,3),-0.282813 # DEPENDENCYPART_SIBL
(20,1),(20,4),0.0234057 # DEPENDENCYPART_SIBL
(20,1),(20,5),-0.0798052 # DEPENDENCYPART_SIBL
(20,1),(20,8),-0.0834765 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.282813 # DEPENDENCYPART_SIBL
(20,1),(20,11),-0.114483 # DEPENDENCYPART_SIBL
(20,1),(20,12),-0.00948759 # DEPENDENCYPART_SIBL
(20,1),(20,14),0.00695131 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.0249624 # DEPENDENCYPART_SIBL
(20,1),(20,16),0.0351918 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.053677 # DEPENDENCYPART_SIBL
(20,1),(20,18),0.0306351 # DEPENDENCYPART_SIBL
(20,1),(20,19),-0.394371 # DEPENDENCYPART_SIBL
(20,1),(20,22),-0.0817208 # DEPENDENCYPART_SIBL
(20,1),(20,23),-0.027572 # DEPENDENCYPART_SIBL
(20,1),(20,24),-0.00572857 # DEPENDENCYPART_SIBL
(20,3),(20,4),0.132656 # DEPENDENCYPART_SIBL
(20,3),(20,5),0.0939108 # DEPENDENCYPART_SIBL
(20,3),(20,8),0.0526029 # DEPENDENCYPART_SIBL
