# _root_ I és que , si l' antiga estratègia de l' Acord_d'_Ajuria_Enea va néixer del consens i de la concertació , aquesta d' ara ha vist la llum sota el signe de la confrontació entre les majories i les minories .
#goldHeads=2,0,25,13,13,8,8,13,8,11,9,13,25,13,14,14,14,19,17,13,25,21,22,25,2,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
#predictedHeads=2,0,13,13,13,8,8,13,8,11,9,13,2,13,14,14,14,19,17,25,25,21,22,25,19,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
(13,24),(13,30),-0.0349812 # DEPENDENCYPART_SIBL
(13,24),(13,33),-0.0267811 # DEPENDENCYPART_SIBL
(13,24),(13,34),-0.0132203 # DEPENDENCYPART_SIBL
(13,24),(13,36),-0.0265828 # DEPENDENCYPART_SIBL
(13,24),(13,37),-0.0446071 # DEPENDENCYPART_SIBL
(13,24),(13,39),-0.026661 # DEPENDENCYPART_SIBL
(13,24),(13,40),-0.0391255 # DEPENDENCYPART_SIBL
(13,25),(13,27),0.0036606 # DEPENDENCYPART_SIBL
(13,25),(13,28),-0.00418025 # DEPENDENCYPART_SIBL
(13,25),(13,30),-0.00396558 # DEPENDENCYPART_SIBL
(13,25),(13,33),0.00423457 # DEPENDENCYPART_SIBL
(13,25),(13,34),-0.0122122 # DEPENDENCYPART_SIBL
(13,25),(13,36),0.00443291 # DEPENDENCYPART_SIBL
(13,25),(13,37),-0.0162918 # DEPENDENCYPART_SIBL
(13,25),(13,39),0.00435469 # DEPENDENCYPART_SIBL
(13,25),(13,40),-0.0112028 # DEPENDENCYPART_SIBL
(13,27),(13,28),0.0597186 # DEPENDENCYPART_SIBL
(13,27),(13,30),-0.250548 # DEPENDENCYPART_SIBL
(13,27),(13,33),-0.242309 # DEPENDENCYPART_SIBL
(13,27),(13,34),0.104169 # DEPENDENCYPART_SIBL
(13,27),(13,36),-0.236432 # DEPENDENCYPART_SIBL
(13,27),(13,37),-0.000996671 # DEPENDENCYPART_SIBL
(13,27),(13,39),-0.242211 # DEPENDENCYPART_SIBL
(13,27),(13,40),0.00814503 # DEPENDENCYPART_SIBL
(13,28),(13,30),-0.0375943 # DEPENDENCYPART_SIBL
(13,28),(13,33),-0.0246315 # DEPENDENCYPART_SIBL
(13,28),(13,34),-0.0685361 # DEPENDENCYPART_SIBL
(13,28),(13,36),-0.0243529 # DEPENDENCYPART_SIBL
(13,28),(13,37),-0.0163525 # DEPENDENCYPART_SIBL
(13,28),(13,39),-0.0243662 # DEPENDENCYPART_SIBL
(13,28),(13,40),-0.0177038 # DEPENDENCYPART_SIBL
(13,30),(13,33),-0.265226 # DEPENDENCYPART_SIBL
(13,30),(13,34),0.0720477 # DEPENDENCYPART_SIBL
(13,30),(13,36),-0.259348 # DEPENDENCYPART_SIBL
(13,30),(13,37),-0.0398383 # DEPENDENCYPART_SIBL
(13,30),(13,39),-0.265128 # DEPENDENCYPART_SIBL
(13,30),(13,40),-0.0324452 # DEPENDENCYPART_SIBL
(13,33),(13,34),0.0748536 # DEPENDENCYPART_SIBL
(13,33),(13,36),-0.261662 # DEPENDENCYPART_SIBL
(13,33),(13,37),-0.0369097 # DEPENDENCYPART_SIBL
(13,33),(13,39),-0.267441 # DEPENDENCYPART_SIBL
(13,33),(13,40),-0.0421868 # DEPENDENCYPART_SIBL
(13,34),(13,36),-0.0849796 # DEPENDENCYPART_SIBL
(13,34),(13,37),-0.253955 # DEPENDENCYPART_SIBL
(13,34),(13,39),-0.0849929 # DEPENDENCYPART_SIBL
(13,34),(13,40),-0.0851851 # DEPENDENCYPART_SIBL
(13,36),(13,37),-0.0194434 # DEPENDENCYPART_SIBL
(13,36),(13,39),-0.261964 # DEPENDENCYPART_SIBL
(13,36),(13,40),-0.0443698 # DEPENDENCYPART_SIBL
(13,37),(13,39),0.179688 # DEPENDENCYPART_SIBL
(13,37),(13,40),-0.00103489 # DEPENDENCYPART_SIBL
(13,39),(13,40),-0.0407562 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0052659 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0910881 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.0137814 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.0334119 # DEPENDENCYPART_SIBL
(14,15),(14,31),0.0910881 # DEPENDENCYPART_SIBL
(14,16),(14,17),1.1787 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0178798 # DEPENDENCYPART_SIBL
(14,16),(14,22),0.987091 # DEPENDENCYPART_SIBL
(14,16),(14,31),1.1787 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.178613 # DEPENDENCYPART_SIBL
(14,17),(14,22),0.0204251 # DEPENDENCYPART_SIBL
(14,17),(14,31),0.0710947 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.67665 # DEPENDENCYPART_SIBL
(14,20),(14,31),0.834674 # DEPENDENCYPART_SIBL
(14,22),(14,31),7.89261e-05 # DEPENDENCYPART_SIBL
(15,2),(15,10),0.119869 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.0296717 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.00286302 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.0142719 # DEPENDENCYPART_SIBL
(15,2),(15,19),-0.0218658 # DEPENDENCYPART_SIBL
(15,2),(15,21),-0.0130326 # DEPENDENCYPART_SIBL
(15,2),(15,22),-0.0535483 # DEPENDENCYPART_SIBL
(15,2),(15,23),-0.0658532 # DEPENDENCYPART_SIBL
(15,2),(15,24),-0.133963 # DEPENDENCYPART_SIBL
(15,2),(15,25),-0.0773887 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0579247 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0358055 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.340315 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.175278 # DEPENDENCYPART_SIBL
(15,10),(15,21),0.148489 # DEPENDENCYPART_SIBL
(15,10),(15,22),0.235565 # DEPENDENCYPART_SIBL
(15,10),(15,23),-0.00192393 # DEPENDENCYPART_SIBL
(15,10),(15,24),-0.103565 # DEPENDENCYPART_SIBL
(15,10),(15,25),0.0680892 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.00697709 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0317383 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0189193 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.0106756 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.0432106 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.0546953 # DEPENDENCYPART_SIBL
(15,14),(15,24),-0.0513167 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.00560938 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.242062 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.602144 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.651835 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.228978 # DEPENDENCYPART_SIBL
(15,16),(15,23),0.101924 # DEPENDENCYPART_SIBL
(15,16),(15,24),0.0388919 # DEPENDENCYPART_SIBL
(15,16),(15,25),0.0914818 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.00229331 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.0432058 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.103276 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.0545494 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0226253 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.0386188 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.00127921 # DEPENDENCYPART_SIBL
(15,19),(15,22),0.0228848 # DEPENDENCYPART_SIBL
(15,19),(15,23),0.0200552 # DEPENDENCYPART_SIBL
(15,19),(15,24),0.0245815 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.000265015 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.0173972 # DEPENDENCYPART_SIBL
(15,21),(15,23),0.0356111 # DEPENDENCYPART_SIBL
(15,21),(15,24),0.00206287 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.0195191 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.0362043 # DEPENDENCYPART_SIBL
(15,22),(15,24),0.00487316 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.0239124 # DEPENDENCYPART_SIBL
(15,23),(15,24),-0.0287649 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.0469759 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.080236 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0898866 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0640261 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.00199255 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0540692 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.0131303 # DEPENDENCYPART_SIBL
(17,16),(17,25),0.0275466 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.104397 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0160813 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.0604256 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0447407 # DEPENDENCYPART_SIBL
(17,18),(17,25),-0.0860339 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.032174 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.026143 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.334141 # DEPENDENCYPART_SIBL
(17,19),(17,25),-0.449383 # DEPENDENCYPART_SIBL
(17,20),(17,22),0.682728 # DEPENDENCYPART_SIBL
(17,20),(17,23),0.0400787 # DEPENDENCYPART_SIBL
(17,20),(17,25),0.0175665 # DEPENDENCYPART_SIBL
(17,22),(17,23),0.040946 # DEPENDENCYPART_SIBL
(17,22),(17,25),0.0273207 # DEPENDENCYPART_SIBL
(17,23),(17,25),-0.227638 # DEPENDENCYPART_SIBL
(19,1),(19,2),0.0878809 # DEPENDENCYPART_SIBL
(19,1),(19,8),0.0727803 # DEPENDENCYPART_SIBL
(19,1),(19,13),0.0948305 # DEPENDENCYPART_SIBL
(19,1),(19,14),0.0396181 # DEPENDENCYPART_SIBL
(19,1),(19,16),0.261177 # DEPENDENCYPART_SIBL
(19,1),(19,17),-0.0402415 # DEPENDENCYPART_SIBL
(19,1),(19,18),0.0373318 # DEPENDENCYPART_SIBL
(19,1),(19,20),-0.000485126 # DEPENDENCYPART_SIBL
(19,1),(19,21),-0.00939014 # DEPENDENCYPART_SIBL
(19,1),(19,22),-0.0206661 # DEPENDENCYPART_SIBL
(19,1),(19,23),0.0234729 # DEPENDENCYPART_SIBL
(19,1),(19,24),-0.0444962 # DEPENDENCYPART_SIBL
(19,1),(19,25),0.00229357 # DEPENDENCYPART_SIBL
(19,1),(19,27),-0.0867758 # DEPENDENCYPART_SIBL
(19,1),(19,28),-0.0370067 # DEPENDENCYPART_SIBL
(19,1),(19,37),-0.060186 # DEPENDENCYPART_SIBL
(19,1),(19,39),-0.0851605 # DEPENDENCYPART_SIBL
(19,2),(19,8),0.185244 # DEPENDENCYPART_SIBL
(19,2),(19,13),0.177668 # DEPENDENCYPART_SIBL
(19,2),(19,14),0.0300802 # DEPENDENCYPART_SIBL
(19,2),(19,16),0.667328 # DEPENDENCYPART_SIBL
(19,2),(19,17),0.0823525 # DEPENDENCYPART_SIBL
(19,2),(19,18),0.231832 # DEPENDENCYPART_SIBL
(19,2),(19,20),-0.00293708 # DEPENDENCYPART_SIBL
(19,2),(19,21),-0.0121763 # DEPENDENCYPART_SIBL
(19,2),(19,22),-0.0559659 # DEPENDENCYPART_SIBL
(19,2),(19,23),-0.0658518 # DEPENDENCYPART_SIBL
(19,2),(19,24),-0.139591 # DEPENDENCYPART_SIBL
(19,2),(19,25),-0.0830173 # DEPENDENCYPART_SIBL
(19,2),(19,27),-0.0175176 # DEPENDENCYPART_SIBL
(19,2),(19,28),-0.0453106 # DEPENDENCYPART_SIBL
(19,2),(19,37),-0.00219459 # DEPENDENCYPART_SIBL
(19,2),(19,39),-0.0208956 # DEPENDENCYPART_SIBL
(19,8),(19,13),0.171911 # DEPENDENCYPART_SIBL
(19,8),(19,14),0.045864 # DEPENDENCYPART_SIBL
(19,8),(19,16),0.401444 # DEPENDENCYPART_SIBL
(19,8),(19,17),0.0257127 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.0130604 # DEPENDENCYPART_SIBL
(19,8),(19,20),0.00615783 # DEPENDENCYPART_SIBL
(19,8),(19,21),-0.00428067 # DEPENDENCYPART_SIBL
(19,8),(19,22),0.00472999 # DEPENDENCYPART_SIBL
(19,8),(19,23),0.0226708 # DEPENDENCYPART_SIBL
(19,8),(19,24),-0.0550628 # DEPENDENCYPART_SIBL
(19,8),(19,25),0.000985466 # DEPENDENCYPART_SIBL
(19,8),(19,27),0.000312571 # DEPENDENCYPART_SIBL
(19,8),(19,28),-0.0271456 # DEPENDENCYPART_SIBL
(19,8),(19,37),0.000230913 # DEPENDENCYPART_SIBL
(19,8),(19,39),-0.00259546 # DEPENDENCYPART_SIBL
(19,13),(19,14),0.0473539 # DEPENDENCYPART_SIBL
(19,13),(19,16),0.668904 # DEPENDENCYPART_SIBL
(19,13),(19,17),0.1166 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.239092 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.037678 # DEPENDENCYPART_SIBL
(19,13),(19,21),-0.0202397 # DEPENDENCYPART_SIBL
(19,13),(19,22),-0.0779695 # DEPENDENCYPART_SIBL
(19,13),(19,23),-0.0740303 # DEPENDENCYPART_SIBL
(19,13),(19,24),-0.158425 # DEPENDENCYPART_SIBL
(19,13),(19,25),-0.102806 # DEPENDENCYPART_SIBL
(19,13),(19,27),-0.0336278 # DEPENDENCYPART_SIBL
(19,13),(19,28),-0.069445 # DEPENDENCYPART_SIBL
(19,13),(19,37),-0.0309578 # DEPENDENCYPART_SIBL
(19,13),(19,39),-0.0370058 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.448541 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.107751 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.026879 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.028435 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.0124334 # DEPENDENCYPART_SIBL
(19,14),(19,22),0.0417034 # DEPENDENCYPART_SIBL
(19,14),(19,23),0.0555983 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.0552491 # DEPENDENCYPART_SIBL
(19,14),(19,25),-0.00954177 # DEPENDENCYPART_SIBL
(19,14),(19,27),-0.0138056 # DEPENDENCYPART_SIBL
(19,14),(19,28),0.0195108 # DEPENDENCYPART_SIBL
(19,14),(19,37),-0.00540716 # DEPENDENCYPART_SIBL
(19,14),(19,39),-0.0172563 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0402415 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.0373318 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.000485126 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.00939014 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.0206661 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.0234729 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.0444962 # DEPENDENCYPART_SIBL
(19,16),(19,25),0.00229357 # DEPENDENCYPART_SIBL
(19,16),(19,27),-0.0867758 # DEPENDENCYPART_SIBL
(19,16),(19,28),-0.0370067 # DEPENDENCYPART_SIBL
(19,16),(19,37),-0.060186 # DEPENDENCYPART_SIBL
(19,16),(19,39),-0.0851605 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.020632 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0453601 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0358399 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0668424 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.0114598 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0583091 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.0104315 # DEPENDENCYPART_SIBL
(19,17),(19,27),0.000358645 # DEPENDENCYPART_SIBL
(19,17),(19,28),0.0102584 # DEPENDENCYPART_SIBL
(19,17),(19,37),-0.021974 # DEPENDENCYPART_SIBL
(19,17),(19,39),-0.00308628 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0558615 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0326293 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.16094 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.0802925 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.13075 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.069701 # DEPENDENCYPART_SIBL
(19,18),(19,27),0.0664458 # DEPENDENCYPART_SIBL
(19,18),(19,28),0.0443156 # DEPENDENCYPART_SIBL
(19,18),(19,37),-0.0257641 # DEPENDENCYPART_SIBL
(19,18),(19,39),0.0709146 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0969618 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.0340806 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.00571979 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0172033 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.0527876 # DEPENDENCYPART_SIBL
(19,20),(19,27),0.359212 # DEPENDENCYPART_SIBL
(19,20),(19,28),0.0554232 # DEPENDENCYPART_SIBL
(19,20),(19,37),0.271817 # DEPENDENCYPART_SIBL
(19,20),(19,39),0.375118 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0190899 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0356128 # DEPENDENCYPART_SIBL
(19,21),(19,24),0.00190618 # DEPENDENCYPART_SIBL
(19,21),(19,25),-0.0196758 # DEPENDENCYPART_SIBL
(19,21),(19,27),-0.00651211 # DEPENDENCYPART_SIBL
(19,21),(19,28),-0.00168081 # DEPENDENCYPART_SIBL
(19,21),(19,37),0.00706273 # DEPENDENCYPART_SIBL
(19,21),(19,39),0.00175141 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0287284 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.012418 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0163676 # DEPENDENCYPART_SIBL
(19,22),(19,27),-0.000707884 # DEPENDENCYPART_SIBL
(19,22),(19,28),0.127463 # DEPENDENCYPART_SIBL
(19,22),(19,37),-0.0243572 # DEPENDENCYPART_SIBL
(19,22),(19,39),0.0110622 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0289233 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.0471344 # DEPENDENCYPART_SIBL
(19,23),(19,27),-0.01089 # DEPENDENCYPART_SIBL
(19,23),(19,28),0.035595 # DEPENDENCYPART_SIBL
(19,23),(19,37),-0.0376959 # DEPENDENCYPART_SIBL
(19,23),(19,39),-0.00262456 # DEPENDENCYPART_SIBL
(19,24),(19,25),-0.089604 # DEPENDENCYPART_SIBL
(19,24),(19,27),-0.011634 # DEPENDENCYPART_SIBL
(19,24),(19,28),0.0658763 # DEPENDENCYPART_SIBL
(19,24),(19,37),0.0418976 # DEPENDENCYPART_SIBL
(19,24),(19,39),-0.00317385 # DEPENDENCYPART_SIBL
(19,25),(19,27),0.0183653 # DEPENDENCYPART_SIBL
(19,25),(19,28),0.061193 # DEPENDENCYPART_SIBL
(19,25),(19,37),0.0683843 # DEPENDENCYPART_SIBL
(19,25),(19,39),0.0268254 # DEPENDENCYPART_SIBL
(19,27),(19,28),0.0405535 # DEPENDENCYPART_SIBL
(19,27),(19,37),0.0538942 # DEPENDENCYPART_SIBL
(19,27),(19,39),0.012796 # DEPENDENCYPART_SIBL
(19,28),(19,37),0.0362936 # DEPENDENCYPART_SIBL
(19,28),(19,39),0.0599899 # DEPENDENCYPART_SIBL
(19,37),(19,39),0.604499 # DEPENDENCYPART_SIBL
(21,14),(21,17),0.0113879 # DEPENDENCYPART_SIBL
(21,14),(21,20),-0.0309745 # DEPENDENCYPART_SIBL
(21,14),(21,22),0.105317 # DEPENDENCYPART_SIBL
(21,14),(21,25),5.02891e-05 # DEPENDENCYPART_SIBL
(21,14),(21,27),-0.0131403 # DEPENDENCYPART_SIBL
(21,14),(21,28),0.0761511 # DEPENDENCYPART_SIBL
(21,14),(21,30),-0.0184213 # DEPENDENCYPART_SIBL
(21,17),(21,20),-0.0395631 # DEPENDENCYPART_SIBL
(21,17),(21,22),0.0626515 # DEPENDENCYPART_SIBL
(21,17),(21,25),-0.0158736 # DEPENDENCYPART_SIBL
(21,17),(21,27),-0.0143785 # DEPENDENCYPART_SIBL
(21,17),(21,28),0.0245954 # DEPENDENCYPART_SIBL
(21,17),(21,30),-0.0196541 # DEPENDENCYPART_SIBL
(21,20),(21,22),0.103521 # DEPENDENCYPART_SIBL
(21,20),(21,25),0.14619 # DEPENDENCYPART_SIBL
(21,20),(21,27),0.107839 # DEPENDENCYPART_SIBL
(21,20),(21,28),0.0979246 # DEPENDENCYPART_SIBL
(21,20),(21,30),0.109324 # DEPENDENCYPART_SIBL
(21,22),(21,25),-0.039737 # DEPENDENCYPART_SIBL
(21,22),(21,27),0.0769084 # DEPENDENCYPART_SIBL
(21,22),(21,28),-0.0343321 # DEPENDENCYPART_SIBL
(21,22),(21,30),0.0764147 # DEPENDENCYPART_SIBL
(21,25),(21,27),0.0120538 # DEPENDENCYPART_SIBL
(21,25),(21,28),-0.0344678 # DEPENDENCYPART_SIBL
(21,25),(21,30),0.0121138 # DEPENDENCYPART_SIBL
(21,27),(21,28),-0.00349857 # DEPENDENCYPART_SIBL
(21,27),(21,30),-0.11652 # DEPENDENCYPART_SIBL
(21,28),(21,30),0.0775791 # DEPENDENCYPART_SIBL
(22,13),(22,20),0.181716 # DEPENDENCYPART_SIBL
(22,13),(22,23),0.0472307 # DEPENDENCYPART_SIBL
(22,13),(22,24),0.035311 # DEPENDENCYPART_SIBL
(22,13),(22,25),0.0435341 # DEPENDENCYPART_SIBL
(22,13),(22,27),0.210638 # DEPENDENCYPART_SIBL
(22,13),(22,28),0.136342 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.0268222 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.0208339 # DEPENDENCYPART_SIBL
(22,20),(22,25),-0.0291457 # DEPENDENCYPART_SIBL
(22,20),(22,27),0.100684 # DEPENDENCYPART_SIBL
(22,20),(22,28),0.00227947 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.294125 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.289071 # DEPENDENCYPART_SIBL
(22,23),(22,27),-0.432361 # DEPENDENCYPART_SIBL
(22,23),(22,28),-0.0801657 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.359019 # DEPENDENCYPART_SIBL
(22,24),(22,27),-0.352782 # DEPENDENCYPART_SIBL
(22,24),(22,28),-0.0135087 # DEPENDENCYPART_SIBL
(22,25),(22,27),-0.336978 # DEPENDENCYPART_SIBL
(22,25),(22,28),-0.0191506 # DEPENDENCYPART_SIBL
(22,27),(22,28),-0.020169 # DEPENDENCYPART_SIBL
(23,20),(23,22),0.176404 # DEPENDENCYPART_SIBL
(23,20),(23,24),0.0811045 # DEPENDENCYPART_SIBL
(23,22),(23,24),-0.00418712 # DEPENDENCYPART_SIBL
(24,2),(24,3),-0.401035 # DEPENDENCYPART_SIBL
(24,2),(24,4),-0.113898 # DEPENDENCYPART_SIBL
(24,2),(24,5),-0.200462 # DEPENDENCYPART_SIBL
(24,2),(24,13),-0.090284 # DEPENDENCYPART_SIBL
(24,2),(24,20),-0.113898 # DEPENDENCYPART_SIBL
(24,2),(24,22),0.0841224 # DEPENDENCYPART_SIBL
(24,2),(24,23),0.0215465 # DEPENDENCYPART_SIBL
(24,2),(24,25),-0.038908 # DEPENDENCYPART_SIBL
(24,2),(24,27),0.047898 # DEPENDENCYPART_SIBL
(24,2),(24,28),0.00345501 # DEPENDENCYPART_SIBL
(24,2),(24,40),0.134671 # DEPENDENCYPART_SIBL
(24,3),(24,4),-0.449061 # DEPENDENCYPART_SIBL
(24,3),(24,5),-0.805864 # DEPENDENCYPART_SIBL
(24,3),(24,13),0.229143 # DEPENDENCYPART_SIBL
(24,3),(24,20),-0.449061 # DEPENDENCYPART_SIBL
(24,3),(24,22),0.198424 # DEPENDENCYPART_SIBL
(24,3),(24,23),0.165135 # DEPENDENCYPART_SIBL
(24,3),(24,25),-0.0143047 # DEPENDENCYPART_SIBL
(24,3),(24,27),0.195662 # DEPENDENCYPART_SIBL
(24,3),(24,28),0.0469716 # DEPENDENCYPART_SIBL
(24,3),(24,40),-0.520748 # DEPENDENCYPART_SIBL
(24,4),(24,5),0.334288 # DEPENDENCYPART_SIBL
(24,4),(24,13),0.171921 # DEPENDENCYPART_SIBL
(24,4),(24,20),-0.280082 # DEPENDENCYPART_SIBL
(24,4),(24,22),0.148885 # DEPENDENCYPART_SIBL
(24,4),(24,23),0.180058 # DEPENDENCYPART_SIBL
(24,4),(24,25),-0.0657969 # DEPENDENCYPART_SIBL
(24,4),(24,27),0.0359872 # DEPENDENCYPART_SIBL
(24,4),(24,28),-0.0300385 # DEPENDENCYPART_SIBL
(24,4),(24,40),-0.466158 # DEPENDENCYPART_SIBL
(24,5),(24,13),0.0762494 # DEPENDENCYPART_SIBL
(24,5),(24,20),-0.249617 # DEPENDENCYPART_SIBL
(24,5),(24,22),0.102585 # DEPENDENCYPART_SIBL
(24,5),(24,23),0.113084 # DEPENDENCYPART_SIBL
(24,5),(24,25),-0.0392933 # DEPENDENCYPART_SIBL
(24,5),(24,27),0.222483 # DEPENDENCYPART_SIBL
(24,5),(24,28),-0.00251626 # DEPENDENCYPART_SIBL
(24,5),(24,40),-0.151067 # DEPENDENCYPART_SIBL
(24,13),(24,20),-0.113745 # DEPENDENCYPART_SIBL
(24,13),(24,22),0.174296 # DEPENDENCYPART_SIBL
(24,13),(24,23),0.0532728 # DEPENDENCYPART_SIBL
(24,13),(24,25),-0.00770099 # DEPENDENCYPART_SIBL
(24,13),(24,27),0.105395 # DEPENDENCYPART_SIBL
(24,13),(24,28),0.0188397 # DEPENDENCYPART_SIBL
(24,13),(24,40),0.13591 # DEPENDENCYPART_SIBL
(24,20),(24,22),0.148885 # DEPENDENCYPART_SIBL
(24,20),(24,23),0.180058 # DEPENDENCYPART_SIBL
(24,20),(24,25),-0.0657969 # DEPENDENCYPART_SIBL
(24,20),(24,27),0.0359872 # DEPENDENCYPART_SIBL
(24,20),(24,28),-0.0300385 # DEPENDENCYPART_SIBL
(24,20),(24,40),-0.466158 # DEPENDENCYPART_SIBL
(24,22),(24,23),-0.101824 # DEPENDENCYPART_SIBL
(24,22),(24,25),0.0102901 # DEPENDENCYPART_SIBL
(24,22),(24,27),0.126923 # DEPENDENCYPART_SIBL
(24,22),(24,28),-0.0967808 # DEPENDENCYPART_SIBL
(24,22),(24,40),0.0878168 # DEPENDENCYPART_SIBL
(24,23),(24,25),0.0760154 # DEPENDENCYPART_SIBL
(24,23),(24,27),0.0643163 # DEPENDENCYPART_SIBL
(24,23),(24,28),0.0600189 # DEPENDENCYPART_SIBL
(24,23),(24,40),0.160144 # DEPENDENCYPART_SIBL
(24,25),(24,27),-0.00738959 # DEPENDENCYPART_SIBL
(24,25),(24,28),0.0135177 # DEPENDENCYPART_SIBL
(24,25),(24,40),0.0235529 # DEPENDENCYPART_SIBL
(24,27),(24,28),0.114755 # DEPENDENCYPART_SIBL
(24,27),(24,40),0.136073 # DEPENDENCYPART_SIBL
