# _root_ A_més_a_més , el 40% de la població de Rússia viu en la pobresa , en_especial després de l' última crisi .
#goldHeads=10,1,4,10,4,7,5,4,8,0,10,13,11,16,16,10,16,20,20,17,10,
#predictedHeads=10,1,4,10,4,7,5,7,8,0,10,13,11,16,16,10,16,20,20,17,10,
(10,2),(10,21),-0.481815 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0583077 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0622753 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.393493 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0160735 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0622753 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.00875992 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0444067 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0202397 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.00168833 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.101927 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0105434 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.0923722 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.0174303 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.0137572 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.112431 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.00161304 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.176729 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.127646 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.00161304 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.120317 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.00202175 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0577691 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0602926 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0485583 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0768466 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0027527 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.00943373 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0508465 # DEPENDENCYPART_SIBL
(10,4),(10,21),-0.0297033 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.135426 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0281995 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0780166 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0150533 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0486947 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.104482 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.00818036 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0313069 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0474114 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0331166 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0944813 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.096696 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.00484492 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0419542 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0177325 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0345856 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0177314 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.00141931 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.00621659 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0376132 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.05716 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0185682 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0289518 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.00502469 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0507224 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0107226 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.730674 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0198583 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0248447 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0200965 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.00488025 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0924425 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.00311198 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.0160208 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0164151 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.021104 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0150533 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0486947 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.104482 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.00818036 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0313069 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0474114 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0331166 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0944813 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.096696 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.00484492 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.00608903 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0381733 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.026659 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.00366285 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0838994 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0150051 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.020626 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0297436 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.0182172 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0377096 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0244843 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0405593 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0133717 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.146033 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0346585 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.0232214 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.0273216 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0338694 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.00446418 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0220102 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.06407 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.021757 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.23636 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.0152839 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0857209 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.167313 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.091957 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.00195967 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.0237228 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0756462 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0202734 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0285937 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0295423 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0068401 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0291016 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0196556 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0338124 # DEPENDENCYPART_SIBL
(10,16),(10,20),0.0107292 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.0259821 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.112528 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.0699818 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0423418 # DEPENDENCYPART_SIBL
(10,19),(10,20),-0.0534918 # DEPENDENCYPART_SIBL
(10,19),(10,21),-0.0202056 # DEPENDENCYPART_SIBL
(10,20),(10,21),-0.0202534 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0124337 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.103303 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0969417 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.052009 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0692001 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0299587 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.106095 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.185246 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.101446 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.031472 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0341715 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0801384 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.185257 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0366465 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.300815 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.295192 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.135499 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.988481 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0915609 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.136144 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.333229 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.275694 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.119951 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0739225 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.450978 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.117623 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.456582 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.163925 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0163077 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0163077 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0678043 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0580854 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0456761 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.00387185 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0101805 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.0312705 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0445743 # DEPENDENCYPART_SIBL
(13,1),(13,20),0.0196118 # DEPENDENCYPART_SIBL
(13,1),(13,21),0.0462956 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.121514 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.0388583 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0206515 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0454654 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.042491 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.0319402 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0482944 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0840661 # DEPENDENCYPART_SIBL
(13,5),(13,20),-0.00130522 # DEPENDENCYPART_SIBL
(13,5),(13,21),-0.0148807 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0388583 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0206515 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0454654 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.042491 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.0319402 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0482944 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0840661 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.00130522 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0148807 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.132216 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0308416 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0679184 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0615925 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0925434 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0228027 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.00580987 # DEPENDENCYPART_SIBL
(13,11),(13,21),0.0713465 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0616113 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0318951 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0665198 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.117185 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0594129 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.0691027 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0308149 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.00233433 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0578177 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0441383 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.000747382 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.388652 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.0063977 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0141491 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0198223 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0507403 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.0165517 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.0783279 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0641664 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0496618 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.0146596 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.132689 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0591082 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.0111686 # DEPENDENCYPART_SIBL
(13,17),(13,21),0.00325705 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.00636965 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0195507 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.00499849 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.170542 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0163963 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0617602 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.126748 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.0815693 # DEPENDENCYPART_SIBL
(15,11),(15,21),0.0740324 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0158127 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0296035 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0402237 # DEPENDENCYPART_SIBL
(15,13),(15,20),0.0378137 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.00219948 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0594332 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.331134 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.190022 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.0546139 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.000633388 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0177402 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.0965586 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.0269111 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.0538728 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.00688829 # DEPENDENCYPART_SIBL
(16,5),(16,8),0.0208173 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.0582377 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.165606 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.0334827 # DEPENDENCYPART_SIBL
(16,5),(16,15),0.0673624 # DEPENDENCYPART_SIBL
(16,5),(16,17),0.112828 # DEPENDENCYPART_SIBL
(16,5),(16,20),0.0179772 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.0220579 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.0582377 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.165606 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0334827 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.0673624 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.112828 # DEPENDENCYPART_SIBL
(16,8),(16,20),0.0179772 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.0220579 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.197671 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.020573 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.142214 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.202584 # DEPENDENCYPART_SIBL
(16,11),(16,20),0.113488 # DEPENDENCYPART_SIBL
(16,11),(16,21),0.101618 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0326332 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.15672 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0403486 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0519501 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.00943537 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.262636 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.263487 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.0657242 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.307714 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0671912 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0267247 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.00945777 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.0113241 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.0832305 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0728528 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.557358 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.414723 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.0546092 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0847629 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.0546939 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.153666 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.218031 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.203508 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.112979 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0339771 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.175464 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0930772 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.00676353 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.162691 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.0626845 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.104715 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.149528 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.00893669 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.437859 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.0270329 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.0249206 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.199528 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.671969 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.0430273 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.604638 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.0341769 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.000244778 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.0894952 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0145245 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.0583707 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.118984 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.035669 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0412522 # DEPENDENCYPART_SIBL
(20,2),(20,5),0.294114 # DEPENDENCYPART_SIBL
(20,2),(20,8),0.294114 # DEPENDENCYPART_SIBL
(20,2),(20,11),0.418905 # DEPENDENCYPART_SIBL
(20,2),(20,14),-0.0014132 # DEPENDENCYPART_SIBL
(20,2),(20,15),0.309727 # DEPENDENCYPART_SIBL
(20,2),(20,16),0.279391 # DEPENDENCYPART_SIBL
(20,2),(20,17),0.294114 # DEPENDENCYPART_SIBL
(20,2),(20,18),0.00646245 # DEPENDENCYPART_SIBL
(20,2),(20,19),0.130008 # DEPENDENCYPART_SIBL
(20,2),(20,21),-0.324406 # DEPENDENCYPART_SIBL
(20,5),(20,8),-0.121533 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.0388911 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.130721 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.0415039 # DEPENDENCYPART_SIBL
(20,5),(20,16),-0.0461389 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.121533 # DEPENDENCYPART_SIBL
(20,5),(20,18),-0.047569 # DEPENDENCYPART_SIBL
(20,5),(20,19),-0.0862184 # DEPENDENCYPART_SIBL
(20,5),(20,21),-0.0155095 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.0388911 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.130721 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.0415039 # DEPENDENCYPART_SIBL
(20,8),(20,16),-0.0461389 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.121533 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.047569 # DEPENDENCYPART_SIBL
(20,8),(20,19),-0.0862184 # DEPENDENCYPART_SIBL
(20,8),(20,21),-0.0155095 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.0125598 # DEPENDENCYPART_SIBL
(20,11),(20,15),0.0675052 # DEPENDENCYPART_SIBL
(20,11),(20,16),0.0582794 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.0634485 # DEPENDENCYPART_SIBL
(20,11),(20,18),0.0237836 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.0483484 # DEPENDENCYPART_SIBL
(20,11),(20,21),0.0707185 # DEPENDENCYPART_SIBL
(20,14),(20,15),0.309727 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.279391 # DEPENDENCYPART_SIBL
(20,14),(20,17),0.294114 # DEPENDENCYPART_SIBL
(20,14),(20,18),0.00646245 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.130008 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.324406 # DEPENDENCYPART_SIBL
(20,15),(20,16),0.0426521 # DEPENDENCYPART_SIBL
(20,15),(20,17),0.007905 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.0589325 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.00667803 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.0280174 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.0514361 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.0806833 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.0147927 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.0372341 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.047569 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.0862184 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0155095 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.165579 # DEPENDENCYPART_SIBL
(20,18),(20,21),0.0478012 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0013118 # DEPENDENCYPART_SIBL
(0,1),(1,2),-0.035221 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),-0.0951366 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),-0.0663498 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),-0.111416 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),0.694007 # DEPENDENCYPART_GRANDPAR
(0,1),(1,14),-0.321723 # DEPENDENCYPART_GRANDPAR
(0,1),(1,21),2.01534 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),1.51754 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),-0.00725073 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),0.166529 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.110103 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.397356 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),0.0993003 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),-0.0975309 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),-0.0317312 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),0.746818 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-0.299497 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),0.0754281 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),0.122707 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),-0.0818009 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),1.20591 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),-0.315781 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),-0.413199 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),-0.123984 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),-0.0735904 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.525486 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),0.221488 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.118657 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),0.0805414 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),0.22451 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),0.233943 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),-0.26398 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),0.113658 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),0.314314 # DEPENDENCYPART_GRANDPAR
(0,10),(10,17),0.0456628 # DEPENDENCYPART_GRANDPAR
(0,10),(10,19),0.0454414 # DEPENDENCYPART_GRANDPAR
(0,10),(10,20),0.0771945 # DEPENDENCYPART_GRANDPAR
(0,10),(10,21),2.50557 # DEPENDENCYPART_GRANDPAR
(1,4),(4,2),-0.0584405 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),-0.218687 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.309185 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.396984 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.364817 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),-0.238181 # DEPENDENCYPART_GRANDPAR
(1,4),(4,11),-0.485081 # DEPENDENCYPART_GRANDPAR
(1,4),(4,13),-0.710685 # DEPENDENCYPART_GRANDPAR
(1,4),(4,14),-0.389208 # DEPENDENCYPART_GRANDPAR
(1,4),(4,21),-0.618304 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-0.829728 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),-0.0626669 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),-0.324064 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),-0.284574 # DEPENDENCYPART_GRANDPAR
