# _root_ " antidemokratiko " eta " baztertzailetzat " jo zuen udalbiltza erakundea , eta haren xedeak lurraldetasuna , subiranotasuna eta eraikuntza nazionala direla azpimarratu zuen .
#goldHeads=0,4,2,8,4,4,6,13,8,11,8,11,0,15,22,19,16,19,22,19,20,23,13,23,24,
#predictedHeads=0,4,2,0,4,8,6,13,8,11,8,11,0,15,22,13,16,19,22,19,20,23,0,23,24,
(20,25),-0.920006 # DEPENDENCYPART_ARC
(21,1),-1.60771 # DEPENDENCYPART_ARC
(21,2),-1.84851 # DEPENDENCYPART_ARC
(21,3),-1.60363 # DEPENDENCYPART_ARC
(21,4),-1.60406 # DEPENDENCYPART_ARC
(21,5),-1.63812 # DEPENDENCYPART_ARC
(21,6),-1.77159 # DEPENDENCYPART_ARC
(21,7),-1.58952 # DEPENDENCYPART_ARC
(21,8),-1.67333 # DEPENDENCYPART_ARC
(21,9),-2.1084 # DEPENDENCYPART_ARC
(21,10),-1.28012 # DEPENDENCYPART_ARC
(21,11),-2.21971 # DEPENDENCYPART_ARC
(21,12),-1.38595 # DEPENDENCYPART_ARC
(21,13),-1.15102 # DEPENDENCYPART_ARC
(21,14),-1.6425 # DEPENDENCYPART_ARC
(21,15),-1.63559 # DEPENDENCYPART_ARC
(21,16),-1.38739 # DEPENDENCYPART_ARC
(21,17),-1.0124 # DEPENDENCYPART_ARC
(21,18),-0.660378 # DEPENDENCYPART_ARC
(21,19),-0.28565 # DEPENDENCYPART_ARC
(21,20),0.373246 # DEPENDENCYPART_ARC
(21,22),-0.998662 # DEPENDENCYPART_ARC
(21,23),-1.83803 # DEPENDENCYPART_ARC
(21,24),-1.83802 # DEPENDENCYPART_ARC
(21,25),-0.42713 # DEPENDENCYPART_ARC
(22,1),-1.712 # DEPENDENCYPART_ARC
(22,2),-1.36192 # DEPENDENCYPART_ARC
(22,3),-1.47033 # DEPENDENCYPART_ARC
(22,4),-0.0976187 # DEPENDENCYPART_ARC
(22,5),-1.46144 # DEPENDENCYPART_ARC
(22,6),-0.603322 # DEPENDENCYPART_ARC
(22,7),-1.38697 # DEPENDENCYPART_ARC
(22,8),-0.7763 # DEPENDENCYPART_ARC
(22,9),-0.91464 # DEPENDENCYPART_ARC
(22,10),-1.28349 # DEPENDENCYPART_ARC
(22,11),0.479808 # DEPENDENCYPART_ARC
(22,12),-1.05863 # DEPENDENCYPART_ARC
(22,13),0.291895 # DEPENDENCYPART_ARC
(22,14),-1.49971 # DEPENDENCYPART_ARC
(22,15),1.16267 # DEPENDENCYPART_ARC
(22,16),0.702123 # DEPENDENCYPART_ARC
(22,17),-0.826586 # DEPENDENCYPART_ARC
(22,18),1.12128 # DEPENDENCYPART_ARC
(22,19),0.817338 # DEPENDENCYPART_ARC
(22,20),1.84075 # DEPENDENCYPART_ARC
(22,21),2.12499 # DEPENDENCYPART_ARC
(22,23),-0.44083 # DEPENDENCYPART_ARC
(22,24),-0.0108966 # DEPENDENCYPART_ARC
(22,25),-0.0856322 # DEPENDENCYPART_ARC
(23,1),-1.88333 # DEPENDENCYPART_ARC
(23,2),-1.39007 # DEPENDENCYPART_ARC
(23,3),-1.70657 # DEPENDENCYPART_ARC
(23,4),-0.501249 # DEPENDENCYPART_ARC
(23,5),-1.69451 # DEPENDENCYPART_ARC
(23,6),-0.507167 # DEPENDENCYPART_ARC
(23,7),-1.8262 # DEPENDENCYPART_ARC
(23,8),-1.09222 # DEPENDENCYPART_ARC
(23,9),-0.650724 # DEPENDENCYPART_ARC
(23,10),-0.333616 # DEPENDENCYPART_ARC
(23,11),0.146356 # DEPENDENCYPART_ARC
(23,12),-1.83862 # DEPENDENCYPART_ARC
(23,13),-0.391408 # DEPENDENCYPART_ARC
(23,14),-1.3066 # DEPENDENCYPART_ARC
(23,15),0.845769 # DEPENDENCYPART_ARC
(23,16),0.383425 # DEPENDENCYPART_ARC
(23,17),-1.32128 # DEPENDENCYPART_ARC
(23,18),0.511464 # DEPENDENCYPART_ARC
(23,19),0.294428 # DEPENDENCYPART_ARC
(23,20),0.377775 # DEPENDENCYPART_ARC
(23,21),-0.264129 # DEPENDENCYPART_ARC
(23,22),1.8132 # DEPENDENCYPART_ARC
(23,24),2.21039 # DEPENDENCYPART_ARC
(23,25),0.318596 # DEPENDENCYPART_ARC
(24,1),-2.37975 # DEPENDENCYPART_ARC
(24,2),-2.6822 # DEPENDENCYPART_ARC
(24,3),-2.37112 # DEPENDENCYPART_ARC
(24,4),-1.90858 # DEPENDENCYPART_ARC
(24,5),-2.15245 # DEPENDENCYPART_ARC
(24,6),-2.83815 # DEPENDENCYPART_ARC
(24,7),-2.08218 # DEPENDENCYPART_ARC
(24,8),-2.8109 # DEPENDENCYPART_ARC
(24,9),-1.60678 # DEPENDENCYPART_ARC
(24,10),-1.53985 # DEPENDENCYPART_ARC
(24,11),-1.59789 # DEPENDENCYPART_ARC
(24,12),-2.0586 # DEPENDENCYPART_ARC
(24,13),-1.97288 # DEPENDENCYPART_ARC
(24,14),-1.47861 # DEPENDENCYPART_ARC
(24,15),-1.48653 # DEPENDENCYPART_ARC
(24,16),-1.30426 # DEPENDENCYPART_ARC
(24,17),-1.758 # DEPENDENCYPART_ARC
(24,18),-1.1679 # DEPENDENCYPART_ARC
(24,19),-1.58396 # DEPENDENCYPART_ARC
(24,20),-0.528388 # DEPENDENCYPART_ARC
(24,21),-1.898 # DEPENDENCYPART_ARC
(24,22),-0.897711 # DEPENDENCYPART_ARC
(24,23),-1.80737 # DEPENDENCYPART_ARC
(24,25),1.83754 # DEPENDENCYPART_ARC
(25,1),-1.89757 # DEPENDENCYPART_ARC
(25,2),-1.99627 # DEPENDENCYPART_ARC
(25,3),-1.90208 # DEPENDENCYPART_ARC
(25,4),-1.59777 # DEPENDENCYPART_ARC
(25,5),-1.59916 # DEPENDENCYPART_ARC
(25,6),-1.83412 # DEPENDENCYPART_ARC
(25,7),-1.57361 # DEPENDENCYPART_ARC
(25,8),-1.64388 # DEPENDENCYPART_ARC
(25,9),-1.19521 # DEPENDENCYPART_ARC
(25,10),-1.36881 # DEPENDENCYPART_ARC
(25,11),-1.58204 # DEPENDENCYPART_ARC
(25,12),-1.43649 # DEPENDENCYPART_ARC
(25,13),-1.04819 # DEPENDENCYPART_ARC
(25,14),-1.88095 # DEPENDENCYPART_ARC
(25,15),-1.16384 # DEPENDENCYPART_ARC
(25,16),-1.29929 # DEPENDENCYPART_ARC
(25,17),-1.34052 # DEPENDENCYPART_ARC
(25,18),-1.04021 # DEPENDENCYPART_ARC
(25,19),-0.824296 # DEPENDENCYPART_ARC
(25,20),-0.898629 # DEPENDENCYPART_ARC
(25,21),-1.1355 # DEPENDENCYPART_ARC
(25,22),-0.609436 # DEPENDENCYPART_ARC
(25,23),-0.70912 # DEPENDENCYPART_ARC
(25,24),-0.0476261 # DEPENDENCYPART_ARC
