# _root_ erresistentzia talde tipitan antolatzen zen han_hemenka , baina gure jendeak ez zuen apenas harmarik enperadoreari aurre_egiteko , eta bere harmada handiak bere larderia ezarri zuen nahinon .
#goldHeads=4,4,2,8,4,4,6,0,10,12,12,18,12,12,16,12,16,8,20,24,20,23,24,18,24,24,26,
#predictedHeads=4,4,2,8,4,4,6,0,10,12,12,8,12,12,16,18,16,0,20,24,20,23,24,18,24,24,26,
(19,9),-2.48799 # DEPENDENCYPART_ARC
(19,10),-3.26062 # DEPENDENCYPART_ARC
(19,11),-1.74192 # DEPENDENCYPART_ARC
(19,12),-3.47812 # DEPENDENCYPART_ARC
(19,13),-1.82588 # DEPENDENCYPART_ARC
(19,14),-2.28837 # DEPENDENCYPART_ARC
(19,15),-2.21734 # DEPENDENCYPART_ARC
(19,16),-2.61044 # DEPENDENCYPART_ARC
(19,17),-1.73609 # DEPENDENCYPART_ARC
(19,18),-0.77974 # DEPENDENCYPART_ARC
(19,20),-0.254885 # DEPENDENCYPART_ARC
(19,21),-1.40629 # DEPENDENCYPART_ARC
(19,22),-0.934006 # DEPENDENCYPART_ARC
(19,23),-1.1803 # DEPENDENCYPART_ARC
(19,24),-1.62888 # DEPENDENCYPART_ARC
(19,25),-1.37614 # DEPENDENCYPART_ARC
(19,26),-1.07587 # DEPENDENCYPART_ARC
(19,27),-0.980809 # DEPENDENCYPART_ARC
(20,1),-3.11983 # DEPENDENCYPART_ARC
(20,2),-1.6968 # DEPENDENCYPART_ARC
(20,3),-2.03239 # DEPENDENCYPART_ARC
(20,4),-1.55876 # DEPENDENCYPART_ARC
(20,5),-1.45544 # DEPENDENCYPART_ARC
(20,6),-0.876183 # DEPENDENCYPART_ARC
(20,7),-1.64461 # DEPENDENCYPART_ARC
(20,8),-1.52955 # DEPENDENCYPART_ARC
(20,9),-1.0966 # DEPENDENCYPART_ARC
(20,10),-2.14946 # DEPENDENCYPART_ARC
(20,11),-0.795807 # DEPENDENCYPART_ARC
(20,12),-1.93247 # DEPENDENCYPART_ARC
(20,13),-0.863943 # DEPENDENCYPART_ARC
(20,14),-1.20387 # DEPENDENCYPART_ARC
(20,15),-1.46015 # DEPENDENCYPART_ARC
(20,16),-1.72232 # DEPENDENCYPART_ARC
(20,17),-1.02477 # DEPENDENCYPART_ARC
(20,18),-0.323983 # DEPENDENCYPART_ARC
(20,19),1.59124 # DEPENDENCYPART_ARC
(20,21),2.54194 # DEPENDENCYPART_ARC
(20,22),1.03349 # DEPENDENCYPART_ARC
(20,23),-0.306541 # DEPENDENCYPART_ARC
(20,24),-0.99235 # DEPENDENCYPART_ARC
(20,25),-0.837 # DEPENDENCYPART_ARC
(20,26),-0.665869 # DEPENDENCYPART_ARC
(20,27),-0.465927 # DEPENDENCYPART_ARC
(21,1),-2.54301 # DEPENDENCYPART_ARC
(21,2),-2.17298 # DEPENDENCYPART_ARC
(21,3),-1.70897 # DEPENDENCYPART_ARC
(21,4),-2.19197 # DEPENDENCYPART_ARC
(21,5),-1.94566 # DEPENDENCYPART_ARC
(21,6),-0.895238 # DEPENDENCYPART_ARC
(21,7),-1.66279 # DEPENDENCYPART_ARC
(21,8),-1.48392 # DEPENDENCYPART_ARC
(21,9),-1.94558 # DEPENDENCYPART_ARC
(21,10),-2.01063 # DEPENDENCYPART_ARC
(21,11),-1.13576 # DEPENDENCYPART_ARC
(21,12),-2.43709 # DEPENDENCYPART_ARC
(21,13),-0.550248 # DEPENDENCYPART_ARC
(21,14),-1.70531 # DEPENDENCYPART_ARC
(21,15),-2.31845 # DEPENDENCYPART_ARC
(21,16),-2.36248 # DEPENDENCYPART_ARC
(21,17),-1.19444 # DEPENDENCYPART_ARC
(21,18),-0.42358 # DEPENDENCYPART_ARC
(21,19),0.182946 # DEPENDENCYPART_ARC
(21,20),0.22985 # DEPENDENCYPART_ARC
(21,22),-0.338756 # DEPENDENCYPART_ARC
(21,23),-1.97813 # DEPENDENCYPART_ARC
(21,24),-2.2328 # DEPENDENCYPART_ARC
(21,25),-2.63229 # DEPENDENCYPART_ARC
(21,26),-1.20942 # DEPENDENCYPART_ARC
(21,27),-0.823377 # DEPENDENCYPART_ARC
(22,1),-2.64074 # DEPENDENCYPART_ARC
(22,2),-2.50027 # DEPENDENCYPART_ARC
(22,3),-2.58426 # DEPENDENCYPART_ARC
(22,4),-2.19679 # DEPENDENCYPART_ARC
(22,5),-1.96263 # DEPENDENCYPART_ARC
(22,6),-1.22078 # DEPENDENCYPART_ARC
(22,7),-1.8097 # DEPENDENCYPART_ARC
(22,8),-1.60779 # DEPENDENCYPART_ARC
(22,9),-1.7464 # DEPENDENCYPART_ARC
(22,10),-2.63472 # DEPENDENCYPART_ARC
(22,11),-0.965216 # DEPENDENCYPART_ARC
(22,12),-2.76136 # DEPENDENCYPART_ARC
(22,13),-1.05033 # DEPENDENCYPART_ARC
(22,14),-1.69746 # DEPENDENCYPART_ARC
(22,15),-1.74853 # DEPENDENCYPART_ARC
(22,16),-2.29792 # DEPENDENCYPART_ARC
(22,17),-1.4084 # DEPENDENCYPART_ARC
(22,18),-0.878894 # DEPENDENCYPART_ARC
(22,19),-1.12678 # DEPENDENCYPART_ARC
(22,20),-1.05689 # DEPENDENCYPART_ARC
(22,21),-1.23511 # DEPENDENCYPART_ARC
(22,23),0.0229465 # DEPENDENCYPART_ARC
(22,24),-1.46643 # DEPENDENCYPART_ARC
(22,25),-1.09491 # DEPENDENCYPART_ARC
(22,26),-0.982939 # DEPENDENCYPART_ARC
(22,27),-0.809266 # DEPENDENCYPART_ARC
(23,1),-3.98709 # DEPENDENCYPART_ARC
(23,2),-1.6849 # DEPENDENCYPART_ARC
(23,3),-2.41781 # DEPENDENCYPART_ARC
(23,4),-1.5558 # DEPENDENCYPART_ARC
(23,5),-1.62962 # DEPENDENCYPART_ARC
(23,6),-0.671802 # DEPENDENCYPART_ARC
(23,7),-1.62382 # DEPENDENCYPART_ARC
(23,8),-1.50961 # DEPENDENCYPART_ARC
(23,9),-0.633869 # DEPENDENCYPART_ARC
(23,10),-3.28936 # DEPENDENCYPART_ARC
(23,11),-0.839689 # DEPENDENCYPART_ARC
(23,12),-2.39482 # DEPENDENCYPART_ARC
(23,13),-0.623295 # DEPENDENCYPART_ARC
(23,14),-1.62208 # DEPENDENCYPART_ARC
(23,15),-3.30267 # DEPENDENCYPART_ARC
(23,16),-1.47781 # DEPENDENCYPART_ARC
(23,17),-1.31301 # DEPENDENCYPART_ARC
(23,18),-0.807753 # DEPENDENCYPART_ARC
(23,19),0.140397 # DEPENDENCYPART_ARC
(23,20),0.641608 # DEPENDENCYPART_ARC
(23,21),-1.57109 # DEPENDENCYPART_ARC
(23,22),1.78118 # DEPENDENCYPART_ARC
(23,24),-1.30263 # DEPENDENCYPART_ARC
(23,25),-0.713555 # DEPENDENCYPART_ARC
(23,26),-0.923794 # DEPENDENCYPART_ARC
(23,27),-0.814541 # DEPENDENCYPART_ARC
(24,1),0.708635 # DEPENDENCYPART_ARC
(24,2),-0.224898 # DEPENDENCYPART_ARC
(24,3),-0.846237 # DEPENDENCYPART_ARC
(24,4),-0.736012 # DEPENDENCYPART_ARC
(24,5),-0.0578454 # DEPENDENCYPART_ARC
(24,6),-0.589074 # DEPENDENCYPART_ARC
(24,7),-1.91878 # DEPENDENCYPART_ARC
(24,8),-0.782372 # DEPENDENCYPART_ARC
(24,9),-1.31115 # DEPENDENCYPART_ARC
(24,10),1.25838 # DEPENDENCYPART_ARC
(24,11),-0.668872 # DEPENDENCYPART_ARC
(24,12),-1.3749 # DEPENDENCYPART_ARC
(24,13),0.00388649 # DEPENDENCYPART_ARC
(24,14),0.00184067 # DEPENDENCYPART_ARC
(24,15),1.06177 # DEPENDENCYPART_ARC
(24,16),0.228451 # DEPENDENCYPART_ARC
(24,17),-1.22472 # DEPENDENCYPART_ARC
(24,18),-0.0298048 # DEPENDENCYPART_ARC
(24,19),-0.74227 # DEPENDENCYPART_ARC
(24,20),0.981563 # DEPENDENCYPART_ARC
(24,21),0.292115 # DEPENDENCYPART_ARC
(24,22),-0.497458 # DEPENDENCYPART_ARC
(24,23),2.57427 # DEPENDENCYPART_ARC
(24,25),2.02099 # DEPENDENCYPART_ARC
(24,26),1.19511 # DEPENDENCYPART_ARC
(24,27),-0.0570963 # DEPENDENCYPART_ARC
(25,1),-1.9132 # DEPENDENCYPART_ARC
(25,2),-1.53069 # DEPENDENCYPART_ARC
(25,3),-3.10365 # DEPENDENCYPART_ARC
(25,4),-2.96853 # DEPENDENCYPART_ARC
(25,5),-1.65634 # DEPENDENCYPART_ARC
(25,6),-1.50927 # DEPENDENCYPART_ARC
(25,7),-2.0901 # DEPENDENCYPART_ARC
(25,8),-1.90773 # DEPENDENCYPART_ARC
(25,9),-1.56983 # DEPENDENCYPART_ARC
(25,10),-1.83349 # DEPENDENCYPART_ARC
(25,11),-1.607 # DEPENDENCYPART_ARC
(25,12),-1.75319 # DEPENDENCYPART_ARC
(25,13),-1.43406 # DEPENDENCYPART_ARC
(25,14),-1.84303 # DEPENDENCYPART_ARC
(25,15),-1.86343 # DEPENDENCYPART_ARC
(25,16),-2.66803 # DEPENDENCYPART_ARC
(25,17),-1.75663 # DEPENDENCYPART_ARC
(25,18),-1.66501 # DEPENDENCYPART_ARC
(25,19),-1.47882 # DEPENDENCYPART_ARC
(25,20),-0.87722 # DEPENDENCYPART_ARC
(25,21),-1.84107 # DEPENDENCYPART_ARC
(25,22),-1.09393 # DEPENDENCYPART_ARC
(25,23),-0.833125 # DEPENDENCYPART_ARC
(25,24),-1.8232 # DEPENDENCYPART_ARC
(25,26),0.0175687 # DEPENDENCYPART_ARC
(25,27),-0.503385 # DEPENDENCYPART_ARC
(26,1),-1.40066 # DEPENDENCYPART_ARC
(26,2),-1.34819 # DEPENDENCYPART_ARC
(26,3),-2.10822 # DEPENDENCYPART_ARC
(26,4),-1.68644 # DEPENDENCYPART_ARC
(26,5),-1.86934 # DEPENDENCYPART_ARC
(26,6),-1.25772 # DEPENDENCYPART_ARC
(26,7),-1.89289 # DEPENDENCYPART_ARC
(26,8),-0.854876 # DEPENDENCYPART_ARC
(26,9),-1.63793 # DEPENDENCYPART_ARC
(26,10),-1.15681 # DEPENDENCYPART_ARC
(26,11),-1.51055 # DEPENDENCYPART_ARC
(26,12),-1.74003 # DEPENDENCYPART_ARC
(26,13),-1.10969 # DEPENDENCYPART_ARC
(26,14),-1.31469 # DEPENDENCYPART_ARC
(26,15),-1.33177 # DEPENDENCYPART_ARC
(26,16),-1.41912 # DEPENDENCYPART_ARC
(26,17),-1.50766 # DEPENDENCYPART_ARC
(26,18),-0.849875 # DEPENDENCYPART_ARC
(26,19),-1.23447 # DEPENDENCYPART_ARC
(26,20),-1.22925 # DEPENDENCYPART_ARC
(26,21),-1.50989 # DEPENDENCYPART_ARC
(26,22),-1.01203 # DEPENDENCYPART_ARC
(26,23),-0.802585 # DEPENDENCYPART_ARC
(26,24),-0.54138 # DEPENDENCYPART_ARC
(26,25),-0.249441 # DEPENDENCYPART_ARC
(26,27),2.01385 # DEPENDENCYPART_ARC
(27,1),-2.23424 # DEPENDENCYPART_ARC
(27,2),-2.18288 # DEPENDENCYPART_ARC
(27,3),-2.27582 # DEPENDENCYPART_ARC
(27,4),-2.33808 # DEPENDENCYPART_ARC
(27,5),-2.11916 # DEPENDENCYPART_ARC
(27,6),-2.21475 # DEPENDENCYPART_ARC
(27,7),-1.76058 # DEPENDENCYPART_ARC
(27,8),-1.53392 # DEPENDENCYPART_ARC
(27,9),-1.97535 # DEPENDENCYPART_ARC
(27,10),-1.85829 # DEPENDENCYPART_ARC
(27,11),-1.98367 # DEPENDENCYPART_ARC
(27,12),-1.45717 # DEPENDENCYPART_ARC
(27,13),-1.80407 # DEPENDENCYPART_ARC
(27,14),-1.63857 # DEPENDENCYPART_ARC
(27,15),-1.58117 # DEPENDENCYPART_ARC
(27,16),-2.12992 # DEPENDENCYPART_ARC
(27,17),-1.75062 # DEPENDENCYPART_ARC
(27,18),-1.07683 # DEPENDENCYPART_ARC
(27,19),-1.99318 # DEPENDENCYPART_ARC
(27,20),-1.42391 # DEPENDENCYPART_ARC
(27,21),-1.74975 # DEPENDENCYPART_ARC
(27,22),-1.93224 # DEPENDENCYPART_ARC
(27,23),-1.01369 # DEPENDENCYPART_ARC
(27,24),-1.28558 # DEPENDENCYPART_ARC
(27,25),-1.18373 # DEPENDENCYPART_ARC
(27,26),-0.858852 # DEPENDENCYPART_ARC
