# _root_ honi oxidazio-prozesu bat eta , ondoren kondentsazioko beste bat jarraikitzen bazaio , hortik konposatu kimiko edo eraldaketaren produktu mugatu bat sortuko da .
#goldHeads=10,10,2,21,4,10,10,9,10,4,10,11,21,16,14,21,18,16,18,18,0,21,22,
#predictedHeads=10,10,2,0,4,10,10,7,10,4,10,11,21,16,14,10,16,16,18,18,19,21,22,
(22,21),-0.940391 # DEPENDENCYPART_ARC
(22,23),1.65965 # DEPENDENCYPART_ARC
(23,1),-2.3841 # DEPENDENCYPART_ARC
(23,2),-1.90618 # DEPENDENCYPART_ARC
(23,3),-2.12508 # DEPENDENCYPART_ARC
(23,4),-1.22764 # DEPENDENCYPART_ARC
(23,5),-1.61683 # DEPENDENCYPART_ARC
(23,6),-1.60902 # DEPENDENCYPART_ARC
(23,7),-1.52711 # DEPENDENCYPART_ARC
(23,8),-2.07649 # DEPENDENCYPART_ARC
(23,9),-2.08253 # DEPENDENCYPART_ARC
(23,10),-1.64424 # DEPENDENCYPART_ARC
(23,11),-1.48716 # DEPENDENCYPART_ARC
(23,12),-1.68034 # DEPENDENCYPART_ARC
(23,13),-1.49935 # DEPENDENCYPART_ARC
(23,14),-1.36246 # DEPENDENCYPART_ARC
(23,15),-1.63121 # DEPENDENCYPART_ARC
(23,16),-1.04012 # DEPENDENCYPART_ARC
(23,17),-0.998218 # DEPENDENCYPART_ARC
(23,18),-0.700334 # DEPENDENCYPART_ARC
(23,19),-1.31459 # DEPENDENCYPART_ARC
(23,20),-1.42079 # DEPENDENCYPART_ARC
(23,21),-0.871733 # DEPENDENCYPART_ARC
(23,22),-0.261166 # DEPENDENCYPART_ARC
