# _root_ berrogei urte hor_nonbait kalkulatu zizkion , gizonak gaztaroa aspaldi utzi eta heldutasunaren goi_mailara heltzen direneko adina , nahiz_eta arintasun fisikoa jadanik gain_behera joan .
#goldHeads=2,4,4,0,4,5,10,10,10,11,16,13,14,11,14,2,16,0,23,19,23,23,4,23,
#predictedHeads=2,4,4,0,4,5,10,10,10,11,4,13,14,11,14,14,16,0,23,19,23,23,11,23,
(21,20),-0.317215 # DEPENDENCYPART_ARC
(21,22),0.198325 # DEPENDENCYPART_ARC
(21,23),-1.11126 # DEPENDENCYPART_ARC
(21,24),-0.406273 # DEPENDENCYPART_ARC
(22,1),-1.77885 # DEPENDENCYPART_ARC
(22,2),-1.31428 # DEPENDENCYPART_ARC
(22,3),-1.2327 # DEPENDENCYPART_ARC
(22,4),-1.11344 # DEPENDENCYPART_ARC
(22,5),-1.54675 # DEPENDENCYPART_ARC
(22,6),-2.05362 # DEPENDENCYPART_ARC
(22,7),-1.07896 # DEPENDENCYPART_ARC
(22,8),-1.21323 # DEPENDENCYPART_ARC
(22,9),-0.999672 # DEPENDENCYPART_ARC
(22,10),-1.35176 # DEPENDENCYPART_ARC
(22,11),-0.701201 # DEPENDENCYPART_ARC
(22,12),-1.08939 # DEPENDENCYPART_ARC
(22,13),-1.14466 # DEPENDENCYPART_ARC
(22,14),-0.876343 # DEPENDENCYPART_ARC
(22,15),-1.30685 # DEPENDENCYPART_ARC
(22,16),-1.05942 # DEPENDENCYPART_ARC
(22,17),-1.26625 # DEPENDENCYPART_ARC
(22,18),-0.65587 # DEPENDENCYPART_ARC
(22,19),-0.770287 # DEPENDENCYPART_ARC
(22,20),-0.545344 # DEPENDENCYPART_ARC
(22,21),0.401825 # DEPENDENCYPART_ARC
(22,23),-0.129329 # DEPENDENCYPART_ARC
(22,24),0.0614697 # DEPENDENCYPART_ARC
(23,1),-0.915093 # DEPENDENCYPART_ARC
(23,2),-1.34922 # DEPENDENCYPART_ARC
(23,3),-0.262365 # DEPENDENCYPART_ARC
(23,4),-0.834393 # DEPENDENCYPART_ARC
(23,5),-0.669784 # DEPENDENCYPART_ARC
(23,6),-2.1704 # DEPENDENCYPART_ARC
(23,7),-0.221387 # DEPENDENCYPART_ARC
(23,8),0.146877 # DEPENDENCYPART_ARC
(23,9),-0.107259 # DEPENDENCYPART_ARC
(23,10),-0.903957 # DEPENDENCYPART_ARC
(23,11),0.111423 # DEPENDENCYPART_ARC
(23,12),-0.818997 # DEPENDENCYPART_ARC
(23,13),0.177856 # DEPENDENCYPART_ARC
(23,14),-0.142234 # DEPENDENCYPART_ARC
(23,15),-0.308919 # DEPENDENCYPART_ARC
(23,16),0.287743 # DEPENDENCYPART_ARC
(23,17),-1.14579 # DEPENDENCYPART_ARC
(23,18),0.894849 # DEPENDENCYPART_ARC
(23,19),0.792901 # DEPENDENCYPART_ARC
(23,20),0.35645 # DEPENDENCYPART_ARC
(23,21),0.845177 # DEPENDENCYPART_ARC
(23,22),1.43545 # DEPENDENCYPART_ARC
(23,24),2.21525 # DEPENDENCYPART_ARC
(24,1),-2.57353 # DEPENDENCYPART_ARC
(24,2),-2.11426 # DEPENDENCYPART_ARC
(24,3),-2.0518 # DEPENDENCYPART_ARC
(24,4),-2.02121 # DEPENDENCYPART_ARC
(24,5),-1.77979 # DEPENDENCYPART_ARC
(24,6),-1.68394 # DEPENDENCYPART_ARC
(24,7),-1.80998 # DEPENDENCYPART_ARC
(24,8),-1.7982 # DEPENDENCYPART_ARC
(24,9),-1.78296 # DEPENDENCYPART_ARC
(24,10),-1.96821 # DEPENDENCYPART_ARC
(24,11),-1.28985 # DEPENDENCYPART_ARC
(24,12),-1.71639 # DEPENDENCYPART_ARC
(24,13),-1.56341 # DEPENDENCYPART_ARC
(24,14),-1.92462 # DEPENDENCYPART_ARC
(24,15),-1.53498 # DEPENDENCYPART_ARC
(24,16),-1.81897 # DEPENDENCYPART_ARC
(24,17),-1.61704 # DEPENDENCYPART_ARC
(24,18),-1.07943 # DEPENDENCYPART_ARC
(24,19),-1.42296 # DEPENDENCYPART_ARC
(24,20),-1.54729 # DEPENDENCYPART_ARC
(24,21),-1.33309 # DEPENDENCYPART_ARC
(24,22),-1.4157 # DEPENDENCYPART_ARC
(24,23),-0.556949 # DEPENDENCYPART_ARC
