# _root_ " ekintza guztietan material asko kendu digute , telefono mobilak , mendiko materiala ... portugalen kendu zizkiguten hiru furgonetak ez dizkigute itzuli " .
#goldHeads=0,6,2,6,4,8,6,0,11,9,4,13,11,13,16,19,16,19,22,22,22,8,22,23,
#predictedHeads=0,6,2,6,4,0,6,7,22,9,10,13,16,13,16,22,16,19,22,22,22,6,22,23,
(21,23),-0.0872966 # DEPENDENCYPART_ARC
(21,24),-0.58162 # DEPENDENCYPART_ARC
(22,1),-1.60614 # DEPENDENCYPART_ARC
(22,2),-0.535706 # DEPENDENCYPART_ARC
(22,3),-0.0231962 # DEPENDENCYPART_ARC
(22,4),-0.446162 # DEPENDENCYPART_ARC
(22,5),-0.636886 # DEPENDENCYPART_ARC
(22,6),0.251239 # DEPENDENCYPART_ARC
(22,7),-0.11658 # DEPENDENCYPART_ARC
(22,8),-1.02606 # DEPENDENCYPART_ARC
(22,9),0.0371848 # DEPENDENCYPART_ARC
(22,10),-0.350076 # DEPENDENCYPART_ARC
(22,11),-1.13396 # DEPENDENCYPART_ARC
(22,12),-0.955728 # DEPENDENCYPART_ARC
(22,13),0.232083 # DEPENDENCYPART_ARC
(22,14),-0.650458 # DEPENDENCYPART_ARC
(22,15),1.10214 # DEPENDENCYPART_ARC
(22,16),1.06714 # DEPENDENCYPART_ARC
(22,17),0.250255 # DEPENDENCYPART_ARC
(22,18),0.635348 # DEPENDENCYPART_ARC
(22,19),1.69998 # DEPENDENCYPART_ARC
(22,20),1.9113 # DEPENDENCYPART_ARC
(22,21),1.62401 # DEPENDENCYPART_ARC
(22,23),2.17842 # DEPENDENCYPART_ARC
(22,24),0.550725 # DEPENDENCYPART_ARC
(23,1),-2.69507 # DEPENDENCYPART_ARC
(23,2),-1.91889 # DEPENDENCYPART_ARC
(23,3),-2.51472 # DEPENDENCYPART_ARC
(23,4),-1.75952 # DEPENDENCYPART_ARC
(23,5),-2.48676 # DEPENDENCYPART_ARC
(23,6),-1.86575 # DEPENDENCYPART_ARC
(23,7),-1.92858 # DEPENDENCYPART_ARC
(23,8),-2.37313 # DEPENDENCYPART_ARC
(23,9),-1.788 # DEPENDENCYPART_ARC
(23,10),-2.24809 # DEPENDENCYPART_ARC
(23,11),-2.36883 # DEPENDENCYPART_ARC
(23,12),-1.746 # DEPENDENCYPART_ARC
(23,13),-1.92917 # DEPENDENCYPART_ARC
(23,14),-2.07972 # DEPENDENCYPART_ARC
(23,15),-1.6441 # DEPENDENCYPART_ARC
(23,16),-1.73194 # DEPENDENCYPART_ARC
(23,17),-1.60181 # DEPENDENCYPART_ARC
(23,18),-2.16514 # DEPENDENCYPART_ARC
(23,19),-1.54078 # DEPENDENCYPART_ARC
(23,20),-1.4619 # DEPENDENCYPART_ARC
(23,21),-1.41221 # DEPENDENCYPART_ARC
(23,22),-0.702868 # DEPENDENCYPART_ARC
(23,24),2.10042 # DEPENDENCYPART_ARC
(24,1),-1.87658 # DEPENDENCYPART_ARC
(24,2),-1.81051 # DEPENDENCYPART_ARC
(24,3),-2.15788 # DEPENDENCYPART_ARC
(24,4),-1.48303 # DEPENDENCYPART_ARC
(24,5),-1.96305 # DEPENDENCYPART_ARC
(24,6),-1.83533 # DEPENDENCYPART_ARC
(24,7),-1.28031 # DEPENDENCYPART_ARC
(24,8),-1.54 # DEPENDENCYPART_ARC
(24,9),-1.45446 # DEPENDENCYPART_ARC
(24,10),-1.66009 # DEPENDENCYPART_ARC
(24,11),-1.43027 # DEPENDENCYPART_ARC
(24,12),-1.23852 # DEPENDENCYPART_ARC
(24,13),-1.406 # DEPENDENCYPART_ARC
(24,14),-1.39255 # DEPENDENCYPART_ARC
(24,15),-0.959069 # DEPENDENCYPART_ARC
(24,16),-1.52774 # DEPENDENCYPART_ARC
(24,17),-1.00954 # DEPENDENCYPART_ARC
(24,18),-1.57646 # DEPENDENCYPART_ARC
(24,19),-0.908829 # DEPENDENCYPART_ARC
(24,20),-1.10922 # DEPENDENCYPART_ARC
(24,21),-0.652212 # DEPENDENCYPART_ARC
(24,22),-0.923583 # DEPENDENCYPART_ARC
(24,23),-0.442692 # DEPENDENCYPART_ARC
