# _root_ jeltzaleen jarrerari_buruz mintzatu zen eta , adierazi zuenez , " konturatu behar_dute haien apustuak kale_egin duela eta estatutuaren bidera itzuli beharko dute " .
#goldHeads=2,3,5,3,0,5,17,7,8,9,17,11,14,15,11,15,0,19,20,17,20,21,22,23,
#predictedHeads=2,3,5,3,0,5,5,7,8,9,12,17,14,15,17,15,0,19,20,21,17,21,22,23,
(21,24),-0.380622 # DEPENDENCYPART_ARC
(22,1),-1.28867 # DEPENDENCYPART_ARC
(22,2),-1.54735 # DEPENDENCYPART_ARC
(22,3),-1.87924 # DEPENDENCYPART_ARC
(22,4),-1.22787 # DEPENDENCYPART_ARC
(22,5),-1.12716 # DEPENDENCYPART_ARC
(22,6),-1.74504 # DEPENDENCYPART_ARC
(22,7),-1.68293 # DEPENDENCYPART_ARC
(22,8),-1.09139 # DEPENDENCYPART_ARC
(22,9),-1.58775 # DEPENDENCYPART_ARC
(22,10),-1.60415 # DEPENDENCYPART_ARC
(22,11),-1.52461 # DEPENDENCYPART_ARC
(22,12),-1.44257 # DEPENDENCYPART_ARC
(22,13),-0.973575 # DEPENDENCYPART_ARC
(22,14),-0.251595 # DEPENDENCYPART_ARC
(22,15),-1.93121 # DEPENDENCYPART_ARC
(22,16),-0.924236 # DEPENDENCYPART_ARC
(22,17),-1.10056 # DEPENDENCYPART_ARC
(22,18),-0.275126 # DEPENDENCYPART_ARC
(22,19),-0.39409 # DEPENDENCYPART_ARC
(22,20),-1.14759 # DEPENDENCYPART_ARC
(22,21),-0.163351 # DEPENDENCYPART_ARC
(22,23),1.70528 # DEPENDENCYPART_ARC
(22,24),-0.0752777 # DEPENDENCYPART_ARC
(23,1),-1.8125 # DEPENDENCYPART_ARC
(23,2),-1.71922 # DEPENDENCYPART_ARC
(23,3),-1.75743 # DEPENDENCYPART_ARC
(23,4),-1.92828 # DEPENDENCYPART_ARC
(23,5),-1.64999 # DEPENDENCYPART_ARC
(23,6),-2.3878 # DEPENDENCYPART_ARC
(23,7),-1.63919 # DEPENDENCYPART_ARC
(23,8),-1.64229 # DEPENDENCYPART_ARC
(23,9),-2.30395 # DEPENDENCYPART_ARC
(23,10),-2.09257 # DEPENDENCYPART_ARC
(23,11),-1.56417 # DEPENDENCYPART_ARC
(23,12),-1.65822 # DEPENDENCYPART_ARC
(23,13),-2.14282 # DEPENDENCYPART_ARC
(23,14),-1.5041 # DEPENDENCYPART_ARC
(23,15),-1.43124 # DEPENDENCYPART_ARC
(23,16),-1.49619 # DEPENDENCYPART_ARC
(23,17),-1.26182 # DEPENDENCYPART_ARC
(23,18),-1.38159 # DEPENDENCYPART_ARC
(23,19),-1.20775 # DEPENDENCYPART_ARC
(23,20),-1.18953 # DEPENDENCYPART_ARC
(23,21),-1.02581 # DEPENDENCYPART_ARC
(23,22),-0.49877 # DEPENDENCYPART_ARC
(23,24),2.04841 # DEPENDENCYPART_ARC
(24,1),-1.52215 # DEPENDENCYPART_ARC
(24,2),-1.34934 # DEPENDENCYPART_ARC
(24,3),-2.25638 # DEPENDENCYPART_ARC
(24,4),-1.47542 # DEPENDENCYPART_ARC
(24,5),-1.09634 # DEPENDENCYPART_ARC
(24,6),-1.59268 # DEPENDENCYPART_ARC
(24,7),-1.87333 # DEPENDENCYPART_ARC
(24,8),-1.30348 # DEPENDENCYPART_ARC
(24,9),-1.56918 # DEPENDENCYPART_ARC
(24,10),-1.58581 # DEPENDENCYPART_ARC
(24,11),-1.56498 # DEPENDENCYPART_ARC
(24,12),-1.72026 # DEPENDENCYPART_ARC
(24,13),-1.90694 # DEPENDENCYPART_ARC
(24,14),-0.992121 # DEPENDENCYPART_ARC
(24,15),-1.59783 # DEPENDENCYPART_ARC
(24,16),-1.10565 # DEPENDENCYPART_ARC
(24,17),-0.795137 # DEPENDENCYPART_ARC
(24,18),-0.966389 # DEPENDENCYPART_ARC
(24,19),-0.780329 # DEPENDENCYPART_ARC
(24,20),-1.28547 # DEPENDENCYPART_ARC
(24,21),-1.09092 # DEPENDENCYPART_ARC
(24,22),-0.807767 # DEPENDENCYPART_ARC
(24,23),-0.461833 # DEPENDENCYPART_ARC
