# _root_ eh abstenitu egin zen , eta beste idazki bat aurkeztu zuen , " politikoa den arazoak behingoz irtenbide politikoa " behar_duela argudiatuz .
#goldHeads=2,6,2,2,4,0,8,10,8,6,10,10,11,15,16,21,21,21,18,18,22,10,22,
#predictedHeads=2,6,2,2,4,0,8,10,8,6,10,11,12,15,21,21,21,21,18,19,10,21,22,
(23,1),-1.9763 # DEPENDENCYPART_ARC
(23,2),-2.50856 # DEPENDENCYPART_ARC
(23,3),-2.35355 # DEPENDENCYPART_ARC
(23,4),-1.84427 # DEPENDENCYPART_ARC
(23,5),-1.84984 # DEPENDENCYPART_ARC
(23,6),-1.29778 # DEPENDENCYPART_ARC
(23,7),-2.2395 # DEPENDENCYPART_ARC
(23,8),-1.67412 # DEPENDENCYPART_ARC
(23,9),-2.19994 # DEPENDENCYPART_ARC
(23,10),-1.94612 # DEPENDENCYPART_ARC
(23,11),-1.53627 # DEPENDENCYPART_ARC
(23,12),-1.80819 # DEPENDENCYPART_ARC
(23,13),-1.72922 # DEPENDENCYPART_ARC
(23,14),-1.90842 # DEPENDENCYPART_ARC
(23,15),-1.38331 # DEPENDENCYPART_ARC
(23,16),-1.46642 # DEPENDENCYPART_ARC
(23,17),-1.54395 # DEPENDENCYPART_ARC
(23,18),-1.39464 # DEPENDENCYPART_ARC
(23,19),-1.46088 # DEPENDENCYPART_ARC
(23,20),-1.3313 # DEPENDENCYPART_ARC
(23,21),-1.08808 # DEPENDENCYPART_ARC
(23,22),-0.639343 # DEPENDENCYPART_ARC
