# _root_ bestalde , donostiako manifestaldian izan zen " batasuna " azpimarratu zuen elortzak , eta " demokraten batasun hori berriz eskuratu " behar dela uste_du .
#goldHeads=0,3,4,5,8,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,24,22,14,24,
#predictedHeads=0,3,4,5,0,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,23,24,14,24,
(23,2),-1.78638 # DEPENDENCYPART_ARC
(23,3),-3.05885 # DEPENDENCYPART_ARC
(23,4),-1.13308 # DEPENDENCYPART_ARC
(23,5),-1.69183 # DEPENDENCYPART_ARC
(23,6),-0.938805 # DEPENDENCYPART_ARC
(23,7),-1.72006 # DEPENDENCYPART_ARC
(23,8),-0.145658 # DEPENDENCYPART_ARC
(23,9),-1.69078 # DEPENDENCYPART_ARC
(23,10),-1.29869 # DEPENDENCYPART_ARC
(23,11),-0.853325 # DEPENDENCYPART_ARC
(23,12),-0.686425 # DEPENDENCYPART_ARC
(23,13),-1.26107 # DEPENDENCYPART_ARC
(23,14),-0.553143 # DEPENDENCYPART_ARC
(23,15),-1.40836 # DEPENDENCYPART_ARC
(23,16),-0.966553 # DEPENDENCYPART_ARC
(23,17),0.241497 # DEPENDENCYPART_ARC
(23,18),-0.0217694 # DEPENDENCYPART_ARC
(23,19),0.170294 # DEPENDENCYPART_ARC
(23,20),0.247064 # DEPENDENCYPART_ARC
(23,21),-0.613563 # DEPENDENCYPART_ARC
(23,22),1.6683 # DEPENDENCYPART_ARC
(23,24),-1.07769 # DEPENDENCYPART_ARC
(23,25),-0.227296 # DEPENDENCYPART_ARC
(24,1),-1.65538 # DEPENDENCYPART_ARC
(24,2),-1.87782 # DEPENDENCYPART_ARC
(24,3),-4.31703 # DEPENDENCYPART_ARC
(24,4),-1.59045 # DEPENDENCYPART_ARC
(24,5),-0.633522 # DEPENDENCYPART_ARC
(24,6),-0.801762 # DEPENDENCYPART_ARC
(24,7),-1.34853 # DEPENDENCYPART_ARC
(24,8),-1.38989 # DEPENDENCYPART_ARC
(24,9),-1.40552 # DEPENDENCYPART_ARC
(24,10),-0.879404 # DEPENDENCYPART_ARC
(24,11),-1.00429 # DEPENDENCYPART_ARC
(24,12),0.0096978 # DEPENDENCYPART_ARC
(24,13),-1.09626 # DEPENDENCYPART_ARC
(24,14),-0.599284 # DEPENDENCYPART_ARC
(24,15),-1.40782 # DEPENDENCYPART_ARC
(24,16),-1.43248 # DEPENDENCYPART_ARC
(24,17),-0.518996 # DEPENDENCYPART_ARC
(24,18),-0.0100166 # DEPENDENCYPART_ARC
(24,19),-0.213375 # DEPENDENCYPART_ARC
(24,20),0.29811 # DEPENDENCYPART_ARC
(24,21),-0.645242 # DEPENDENCYPART_ARC
(24,22),0.820514 # DEPENDENCYPART_ARC
(24,23),2.70318 # DEPENDENCYPART_ARC
(24,25),2.44186 # DEPENDENCYPART_ARC
(25,2),-2.14333 # DEPENDENCYPART_ARC
(25,3),-2.32786 # DEPENDENCYPART_ARC
(25,4),-2.17499 # DEPENDENCYPART_ARC
(25,5),-2.50631 # DEPENDENCYPART_ARC
(25,7),-1.88138 # DEPENDENCYPART_ARC
(25,8),-2.29251 # DEPENDENCYPART_ARC
(25,9),-1.90673 # DEPENDENCYPART_ARC
(25,10),-2.17391 # DEPENDENCYPART_ARC
(25,12),-2.09961 # DEPENDENCYPART_ARC
(25,13),-1.80181 # DEPENDENCYPART_ARC
(25,14),-1.29782 # DEPENDENCYPART_ARC
(25,15),-1.66756 # DEPENDENCYPART_ARC
(25,16),-1.60651 # DEPENDENCYPART_ARC
(25,17),-1.49119 # DEPENDENCYPART_ARC
(25,20),-1.70646 # DEPENDENCYPART_ARC
(25,21),-1.46872 # DEPENDENCYPART_ARC
