# _root_ gogoan_dut beste batzuetan nola barneratzen ninduzun itsasoan txalupa koskor - niretzat , intxaur azal txikitxo - batean , atsegin bait zenuen nire izu-ikara zentzugabearen_aurrean zure segurtasun babeslea agertzea .
#goldHeads=0,3,5,5,1,5,5,5,8,9,14,11,14,8,14,15,8,17,0,21,19,23,28,23,26,28,26,21,28,
#predictedHeads=0,3,5,5,8,5,5,28,8,9,5,11,14,28,14,15,14,17,0,19,20,23,28,23,26,28,26,21,28,
(17,26),-1.30569 # DEPENDENCYPART_ARC
(17,27),-2.19902 # DEPENDENCYPART_ARC
(17,28),-1.69527 # DEPENDENCYPART_ARC
(17,29),-0.636306 # DEPENDENCYPART_ARC
(18,1),-1.18731 # DEPENDENCYPART_ARC
(18,2),-1.71431 # DEPENDENCYPART_ARC
(18,3),-1.64446 # DEPENDENCYPART_ARC
(18,4),-1.11325 # DEPENDENCYPART_ARC
(18,5),-1.03317 # DEPENDENCYPART_ARC
(18,6),-0.998455 # DEPENDENCYPART_ARC
(18,7),-1.0755 # DEPENDENCYPART_ARC
(18,8),-1.08932 # DEPENDENCYPART_ARC
(18,9),-1.12881 # DEPENDENCYPART_ARC
(18,10),-1.10672 # DEPENDENCYPART_ARC
(18,11),-1.01202 # DEPENDENCYPART_ARC
(18,12),-1.1487 # DEPENDENCYPART_ARC
(18,13),-0.694395 # DEPENDENCYPART_ARC
(18,14),-0.632389 # DEPENDENCYPART_ARC
(18,15),-0.53102 # DEPENDENCYPART_ARC
(18,16),-0.823306 # DEPENDENCYPART_ARC
(18,17),-0.354002 # DEPENDENCYPART_ARC
(18,19),0.0336017 # DEPENDENCYPART_ARC
(18,20),-0.564483 # DEPENDENCYPART_ARC
(18,21),-0.286657 # DEPENDENCYPART_ARC
(18,22),-0.995188 # DEPENDENCYPART_ARC
(18,23),-0.907352 # DEPENDENCYPART_ARC
(18,24),-1.00046 # DEPENDENCYPART_ARC
(18,25),-1.15057 # DEPENDENCYPART_ARC
(18,26),-1.1319 # DEPENDENCYPART_ARC
(18,27),-1.00933 # DEPENDENCYPART_ARC
(18,28),-1.03025 # DEPENDENCYPART_ARC
(18,29),-0.654668 # DEPENDENCYPART_ARC
(19,1),-1.36308 # DEPENDENCYPART_ARC
(19,2),-1.23122 # DEPENDENCYPART_ARC
(19,3),0.0592949 # DEPENDENCYPART_ARC
(19,4),-0.192978 # DEPENDENCYPART_ARC
(19,5),-1.19482 # DEPENDENCYPART_ARC
(19,6),-0.140691 # DEPENDENCYPART_ARC
(19,7),0.308669 # DEPENDENCYPART_ARC
(19,8),-0.455941 # DEPENDENCYPART_ARC
(19,9),-0.479363 # DEPENDENCYPART_ARC
(19,10),-0.609437 # DEPENDENCYPART_ARC
(19,11),0.0506388 # DEPENDENCYPART_ARC
(19,12),-0.627912 # DEPENDENCYPART_ARC
(19,13),0.330714 # DEPENDENCYPART_ARC
(19,14),0.171779 # DEPENDENCYPART_ARC
(19,15),0.0103207 # DEPENDENCYPART_ARC
(19,16),-0.154619 # DEPENDENCYPART_ARC
(19,17),0.4018 # DEPENDENCYPART_ARC
(19,18),0.338334 # DEPENDENCYPART_ARC
(19,20),1.55619 # DEPENDENCYPART_ARC
(19,21),1.36392 # DEPENDENCYPART_ARC
(19,22),0.324636 # DEPENDENCYPART_ARC
(19,23),0.350497 # DEPENDENCYPART_ARC
(19,24),-1.15165 # DEPENDENCYPART_ARC
(19,25),-0.119403 # DEPENDENCYPART_ARC
(19,26),-0.235034 # DEPENDENCYPART_ARC
(19,27),-1.45345 # DEPENDENCYPART_ARC
(19,28),0.688521 # DEPENDENCYPART_ARC
(19,29),-0.169178 # DEPENDENCYPART_ARC
(20,1),-0.43641 # DEPENDENCYPART_ARC
(20,2),-0.820202 # DEPENDENCYPART_ARC
(20,3),-0.905465 # DEPENDENCYPART_ARC
(20,4),-0.55324 # DEPENDENCYPART_ARC
(20,5),-0.920823 # DEPENDENCYPART_ARC
(20,6),1.1566 # DEPENDENCYPART_ARC
(20,7),-0.677426 # DEPENDENCYPART_ARC
(20,8),-0.752487 # DEPENDENCYPART_ARC
(20,9),-0.975517 # DEPENDENCYPART_ARC
(20,10),-0.713375 # DEPENDENCYPART_ARC
(20,11),-0.688654 # DEPENDENCYPART_ARC
(20,12),-0.631473 # DEPENDENCYPART_ARC
(20,13),-0.526975 # DEPENDENCYPART_ARC
(20,14),-0.488123 # DEPENDENCYPART_ARC
(20,15),-0.584339 # DEPENDENCYPART_ARC
(20,16),-0.454066 # DEPENDENCYPART_ARC
(20,17),-0.215947 # DEPENDENCYPART_ARC
(20,18),-0.200654 # DEPENDENCYPART_ARC
(20,19),0.652119 # DEPENDENCYPART_ARC
(20,21),2.56074 # DEPENDENCYPART_ARC
(20,22),-0.0642221 # DEPENDENCYPART_ARC
(20,23),-0.130599 # DEPENDENCYPART_ARC
(20,24),-0.384504 # DEPENDENCYPART_ARC
(20,25),-0.400894 # DEPENDENCYPART_ARC
(20,26),-0.395801 # DEPENDENCYPART_ARC
(20,27),-0.43634 # DEPENDENCYPART_ARC
(20,28),-0.175526 # DEPENDENCYPART_ARC
(20,29),-0.219112 # DEPENDENCYPART_ARC
(21,1),-2.24839 # DEPENDENCYPART_ARC
(21,2),-1.80786 # DEPENDENCYPART_ARC
(21,3),-0.682244 # DEPENDENCYPART_ARC
(21,4),-0.817398 # DEPENDENCYPART_ARC
(21,5),-1.59467 # DEPENDENCYPART_ARC
(21,6),-1.93212 # DEPENDENCYPART_ARC
(21,7),-0.66546 # DEPENDENCYPART_ARC
(21,8),-1.08602 # DEPENDENCYPART_ARC
(21,9),-1.80433 # DEPENDENCYPART_ARC
(21,10),-1.48363 # DEPENDENCYPART_ARC
(21,11),0.329124 # DEPENDENCYPART_ARC
(21,12),-1.30077 # DEPENDENCYPART_ARC
(21,13),-0.764604 # DEPENDENCYPART_ARC
(21,14),-0.617031 # DEPENDENCYPART_ARC
(21,15),-1.18687 # DEPENDENCYPART_ARC
(21,16),-1.15943 # DEPENDENCYPART_ARC
(21,17),-0.336115 # DEPENDENCYPART_ARC
(21,18),-0.905424 # DEPENDENCYPART_ARC
(21,19),0.0319625 # DEPENDENCYPART_ARC
(21,20),-0.0128979 # DEPENDENCYPART_ARC
(21,22),0.389666 # DEPENDENCYPART_ARC
(21,23),0.50321 # DEPENDENCYPART_ARC
(21,24),-1.03155 # DEPENDENCYPART_ARC
(21,25),-1.19099 # DEPENDENCYPART_ARC
(21,26),0.126617 # DEPENDENCYPART_ARC
(21,27),-0.54829 # DEPENDENCYPART_ARC
(21,28),0.727326 # DEPENDENCYPART_ARC
(21,29),-0.547203 # DEPENDENCYPART_ARC
(22,1),-3.27301 # DEPENDENCYPART_ARC
(22,2),-1.56737 # DEPENDENCYPART_ARC
(22,3),-2.2875 # DEPENDENCYPART_ARC
(22,4),-1.3084 # DEPENDENCYPART_ARC
(22,5),-1.85336 # DEPENDENCYPART_ARC
(22,6),-2.01348 # DEPENDENCYPART_ARC
(22,7),-2.81433 # DEPENDENCYPART_ARC
(22,8),-1.67626 # DEPENDENCYPART_ARC
(22,9),-1.6859 # DEPENDENCYPART_ARC
(22,10),-1.56984 # DEPENDENCYPART_ARC
(22,11),-2.1169 # DEPENDENCYPART_ARC
(22,12),-1.42202 # DEPENDENCYPART_ARC
(22,13),-1.62402 # DEPENDENCYPART_ARC
(22,14),-1.51081 # DEPENDENCYPART_ARC
(22,15),-1.5343 # DEPENDENCYPART_ARC
(22,16),-1.34406 # DEPENDENCYPART_ARC
(22,17),-1.62082 # DEPENDENCYPART_ARC
(22,18),-1.17335 # DEPENDENCYPART_ARC
(22,19),-1.30305 # DEPENDENCYPART_ARC
(22,20),-0.598243 # DEPENDENCYPART_ARC
(22,21),-1.1755 # DEPENDENCYPART_ARC
(22,23),-0.39187 # DEPENDENCYPART_ARC
(22,24),-0.934216 # DEPENDENCYPART_ARC
(22,25),-0.509262 # DEPENDENCYPART_ARC
(22,26),-1.3919 # DEPENDENCYPART_ARC
(22,27),-0.885258 # DEPENDENCYPART_ARC
(22,28),-1.54634 # DEPENDENCYPART_ARC
(22,29),-0.568368 # DEPENDENCYPART_ARC
(23,1),-4.70343 # DEPENDENCYPART_ARC
(23,2),-1.18296 # DEPENDENCYPART_ARC
(23,3),-2.2072 # DEPENDENCYPART_ARC
(23,4),-1.16443 # DEPENDENCYPART_ARC
(23,5),-2.28803 # DEPENDENCYPART_ARC
(23,6),-1.98788 # DEPENDENCYPART_ARC
(23,7),-3.77776 # DEPENDENCYPART_ARC
(23,8),-2.07814 # DEPENDENCYPART_ARC
(23,9),-1.48332 # DEPENDENCYPART_ARC
(23,10),-1.80282 # DEPENDENCYPART_ARC
(23,11),-2.15687 # DEPENDENCYPART_ARC
(23,12),-1.90559 # DEPENDENCYPART_ARC
(23,13),-1.35207 # DEPENDENCYPART_ARC
(23,14),-1.41988 # DEPENDENCYPART_ARC
(23,15),-1.20912 # DEPENDENCYPART_ARC
(23,16),-1.60184 # DEPENDENCYPART_ARC
(23,17),-2.09081 # DEPENDENCYPART_ARC
(23,18),-1.40493 # DEPENDENCYPART_ARC
(23,19),-0.828009 # DEPENDENCYPART_ARC
(23,20),-0.547871 # DEPENDENCYPART_ARC
(23,21),-1.36518 # DEPENDENCYPART_ARC
(23,22),1.62466 # DEPENDENCYPART_ARC
(23,24),1.09732 # DEPENDENCYPART_ARC
(23,25),0.245642 # DEPENDENCYPART_ARC
(23,26),-0.672707 # DEPENDENCYPART_ARC
(23,27),-0.0593342 # DEPENDENCYPART_ARC
(23,28),-0.659026 # DEPENDENCYPART_ARC
(23,29),-0.557572 # DEPENDENCYPART_ARC
(24,1),-3.2691 # DEPENDENCYPART_ARC
(24,2),-1.33073 # DEPENDENCYPART_ARC
(24,3),-2.31294 # DEPENDENCYPART_ARC
(24,4),-0.682485 # DEPENDENCYPART_ARC
(24,5),-1.92841 # DEPENDENCYPART_ARC
(24,6),-1.48957 # DEPENDENCYPART_ARC
(24,7),-1.22275 # DEPENDENCYPART_ARC
(24,8),-1.55934 # DEPENDENCYPART_ARC
(24,9),-1.56583 # DEPENDENCYPART_ARC
(24,10),-1.39213 # DEPENDENCYPART_ARC
(24,11),-2.02538 # DEPENDENCYPART_ARC
(24,12),-1.50072 # DEPENDENCYPART_ARC
(24,13),-1.23521 # DEPENDENCYPART_ARC
(24,14),-1.11647 # DEPENDENCYPART_ARC
(24,15),-1.54147 # DEPENDENCYPART_ARC
(24,16),-1.16331 # DEPENDENCYPART_ARC
(24,17),-2.41761 # DEPENDENCYPART_ARC
(24,18),-1.16264 # DEPENDENCYPART_ARC
(24,19),-0.790111 # DEPENDENCYPART_ARC
(24,20),-0.541136 # DEPENDENCYPART_ARC
(24,21),-1.28453 # DEPENDENCYPART_ARC
(24,22),-0.672293 # DEPENDENCYPART_ARC
(24,23),1.09475 # DEPENDENCYPART_ARC
(24,25),-0.744761 # DEPENDENCYPART_ARC
(24,26),-1.58804 # DEPENDENCYPART_ARC
(24,27),-1.27217 # DEPENDENCYPART_ARC
(24,28),-2.21758 # DEPENDENCYPART_ARC
(24,29),-0.679883 # DEPENDENCYPART_ARC
(25,1),-2.95833 # DEPENDENCYPART_ARC
(25,2),-1.67344 # DEPENDENCYPART_ARC
(25,3),-2.33711 # DEPENDENCYPART_ARC
(25,4),-1.45127 # DEPENDENCYPART_ARC
(25,5),-1.64953 # DEPENDENCYPART_ARC
(25,6),-1.92215 # DEPENDENCYPART_ARC
(25,7),-2.6686 # DEPENDENCYPART_ARC
(25,8),-1.53507 # DEPENDENCYPART_ARC
(25,9),-1.67748 # DEPENDENCYPART_ARC
(25,10),-1.39454 # DEPENDENCYPART_ARC
(25,11),-1.984 # DEPENDENCYPART_ARC
(25,12),-1.28872 # DEPENDENCYPART_ARC
(25,13),-1.57053 # DEPENDENCYPART_ARC
(25,14),-1.5181 # DEPENDENCYPART_ARC
(25,15),-1.49804 # DEPENDENCYPART_ARC
(25,16),-1.3231 # DEPENDENCYPART_ARC
(25,17),-1.59659 # DEPENDENCYPART_ARC
(25,18),-1.18998 # DEPENDENCYPART_ARC
(25,19),-1.54534 # DEPENDENCYPART_ARC
(25,20),-0.965293 # DEPENDENCYPART_ARC
(25,21),-2.09117 # DEPENDENCYPART_ARC
(25,22),-1.06298 # DEPENDENCYPART_ARC
(25,23),-0.656485 # DEPENDENCYPART_ARC
(25,24),-0.206753 # DEPENDENCYPART_ARC
(25,26),-0.283794 # DEPENDENCYPART_ARC
(25,27),-0.0927296 # DEPENDENCYPART_ARC
(25,28),-1.24623 # DEPENDENCYPART_ARC
(25,29),-0.467105 # DEPENDENCYPART_ARC
(26,1),-4.49728 # DEPENDENCYPART_ARC
(26,2),-1.13667 # DEPENDENCYPART_ARC
(26,3),-2.63029 # DEPENDENCYPART_ARC
(26,4),-1.15683 # DEPENDENCYPART_ARC
(26,5),-2.64365 # DEPENDENCYPART_ARC
(26,6),-1.81412 # DEPENDENCYPART_ARC
(26,7),-3.19999 # DEPENDENCYPART_ARC
(26,8),-2.07726 # DEPENDENCYPART_ARC
(26,9),-1.44222 # DEPENDENCYPART_ARC
(26,10),-1.86626 # DEPENDENCYPART_ARC
(26,11),-1.88399 # DEPENDENCYPART_ARC
(26,12),-1.86901 # DEPENDENCYPART_ARC
(26,13),-1.37332 # DEPENDENCYPART_ARC
(26,14),-1.52556 # DEPENDENCYPART_ARC
(26,15),-1.37524 # DEPENDENCYPART_ARC
(26,16),-1.63745 # DEPENDENCYPART_ARC
(26,17),-2.13594 # DEPENDENCYPART_ARC
(26,18),-1.48435 # DEPENDENCYPART_ARC
(26,19),-1.05517 # DEPENDENCYPART_ARC
(26,20),-0.904879 # DEPENDENCYPART_ARC
(26,21),-1.65912 # DEPENDENCYPART_ARC
(26,22),0.0190268 # DEPENDENCYPART_ARC
(26,23),-0.254709 # DEPENDENCYPART_ARC
(26,24),-0.165334 # DEPENDENCYPART_ARC
(26,25),1.65445 # DEPENDENCYPART_ARC
(26,27),2.69984 # DEPENDENCYPART_ARC
(26,28),-0.447191 # DEPENDENCYPART_ARC
(26,29),-0.502269 # DEPENDENCYPART_ARC
(27,1),-3.00558 # DEPENDENCYPART_ARC
(27,2),-1.31673 # DEPENDENCYPART_ARC
(27,3),-2.21886 # DEPENDENCYPART_ARC
(27,4),-0.836214 # DEPENDENCYPART_ARC
(27,5),-1.9026 # DEPENDENCYPART_ARC
(27,6),-1.95947 # DEPENDENCYPART_ARC
(27,7),-1.96924 # DEPENDENCYPART_ARC
(27,8),-2.03719 # DEPENDENCYPART_ARC
(27,9),-1.53849 # DEPENDENCYPART_ARC
(27,10),-1.33013 # DEPENDENCYPART_ARC
(27,11),-2.44692 # DEPENDENCYPART_ARC
(27,12),-1.38583 # DEPENDENCYPART_ARC
(27,13),-1.63288 # DEPENDENCYPART_ARC
(27,14),-1.59297 # DEPENDENCYPART_ARC
(27,15),-1.64476 # DEPENDENCYPART_ARC
(27,16),-1.2658 # DEPENDENCYPART_ARC
(27,17),-2.25279 # DEPENDENCYPART_ARC
(27,18),-1.20369 # DEPENDENCYPART_ARC
(27,19),-0.828333 # DEPENDENCYPART_ARC
(27,20),-0.679234 # DEPENDENCYPART_ARC
(27,21),-2.03628 # DEPENDENCYPART_ARC
(27,22),-1.61063 # DEPENDENCYPART_ARC
(27,23),-0.782109 # DEPENDENCYPART_ARC
(27,24),-1.90329 # DEPENDENCYPART_ARC
(27,25),-1.10122 # DEPENDENCYPART_ARC
(27,26),0.566982 # DEPENDENCYPART_ARC
(27,28),-1.1139 # DEPENDENCYPART_ARC
(27,29),-0.202995 # DEPENDENCYPART_ARC
(28,1),-3.39653 # DEPENDENCYPART_ARC
(28,2),-1.4244 # DEPENDENCYPART_ARC
(28,3),-0.0735563 # DEPENDENCYPART_ARC
(28,4),-0.409785 # DEPENDENCYPART_ARC
(28,5),-2.13179 # DEPENDENCYPART_ARC
(28,6),-1.32489 # DEPENDENCYPART_ARC
(28,7),0.207296 # DEPENDENCYPART_ARC
(28,8),0.202376 # DEPENDENCYPART_ARC
(28,9),-0.846265 # DEPENDENCYPART_ARC
(28,10),-0.799735 # DEPENDENCYPART_ARC
(28,11),-0.502583 # DEPENDENCYPART_ARC
(28,12),-1.18914 # DEPENDENCYPART_ARC
(28,13),0.233843 # DEPENDENCYPART_ARC
(28,14),0.376264 # DEPENDENCYPART_ARC
(28,15),-0.686866 # DEPENDENCYPART_ARC
(28,16),-0.900328 # DEPENDENCYPART_ARC
(28,17),-0.418098 # DEPENDENCYPART_ARC
(28,18),-1.12214 # DEPENDENCYPART_ARC
(28,19),-0.752795 # DEPENDENCYPART_ARC
(28,20),0.10519 # DEPENDENCYPART_ARC
(28,21),-1.20967 # DEPENDENCYPART_ARC
(28,22),-0.502435 # DEPENDENCYPART_ARC
(28,23),1.30224 # DEPENDENCYPART_ARC
(28,24),0.256944 # DEPENDENCYPART_ARC
(28,25),0.239142 # DEPENDENCYPART_ARC
(28,26),1.92008 # DEPENDENCYPART_ARC
(28,27),0.857633 # DEPENDENCYPART_ARC
(28,29),1.8855 # DEPENDENCYPART_ARC
(29,1),-2.28747 # DEPENDENCYPART_ARC
(29,2),-2.47663 # DEPENDENCYPART_ARC
(29,3),-2.46098 # DEPENDENCYPART_ARC
(29,4),-2.00148 # DEPENDENCYPART_ARC
(29,5),-2.24214 # DEPENDENCYPART_ARC
(29,6),-1.86716 # DEPENDENCYPART_ARC
(29,7),-2.39894 # DEPENDENCYPART_ARC
(29,8),-2.4133 # DEPENDENCYPART_ARC
(29,9),-2.02364 # DEPENDENCYPART_ARC
(29,10),-1.94265 # DEPENDENCYPART_ARC
(29,11),-1.95005 # DEPENDENCYPART_ARC
(29,12),-1.86355 # DEPENDENCYPART_ARC
(29,13),-1.89369 # DEPENDENCYPART_ARC
(29,14),-1.81889 # DEPENDENCYPART_ARC
(29,15),-1.97881 # DEPENDENCYPART_ARC
(29,16),-1.78873 # DEPENDENCYPART_ARC
(29,17),-2.25728 # DEPENDENCYPART_ARC
(29,18),-1.82464 # DEPENDENCYPART_ARC
(29,19),-1.63991 # DEPENDENCYPART_ARC
(29,20),-1.56512 # DEPENDENCYPART_ARC
(29,21),-1.35116 # DEPENDENCYPART_ARC
(29,22),-1.66604 # DEPENDENCYPART_ARC
(29,23),-1.44471 # DEPENDENCYPART_ARC
(29,24),-1.59599 # DEPENDENCYPART_ARC
(29,25),-1.43456 # DEPENDENCYPART_ARC
(29,26),-0.957859 # DEPENDENCYPART_ARC
(29,27),-1.1521 # DEPENDENCYPART_ARC
(29,28),-0.592659 # DEPENDENCYPART_ARC
