# _root_ ybarra eta gonzalezen_arabera , bbvak banku bakar bezala egingo du lan bere unitate eta negozio guztietan , " espainiako merkatuan jada ezagunenetakoa den marka bakarrarekin " .
#goldHeads=2,9,2,3,9,9,6,7,0,9,9,13,2,9,2,15,16,17,20,23,23,23,24,9,24,25,26,
#predictedHeads=2,9,2,3,9,9,6,7,0,9,9,13,14,9,14,15,16,17,20,23,23,21,24,9,24,25,26,
(19,9),-3.62429 # DEPENDENCYPART_ARC
(19,10),-3.16916 # DEPENDENCYPART_ARC
(19,11),-4.61695 # DEPENDENCYPART_ARC
(19,12),-1.5248 # DEPENDENCYPART_ARC
(19,13),-2.49743 # DEPENDENCYPART_ARC
(19,14),-1.32292 # DEPENDENCYPART_ARC
(19,15),-1.83689 # DEPENDENCYPART_ARC
(19,16),-3.89235 # DEPENDENCYPART_ARC
(19,17),-1.2876 # DEPENDENCYPART_ARC
(19,18),-0.485963 # DEPENDENCYPART_ARC
(19,20),0.521173 # DEPENDENCYPART_ARC
(19,21),-0.966595 # DEPENDENCYPART_ARC
(19,22),-0.959088 # DEPENDENCYPART_ARC
(19,23),-2.85118 # DEPENDENCYPART_ARC
(19,24),-2.66585 # DEPENDENCYPART_ARC
(19,25),-4.70272 # DEPENDENCYPART_ARC
(19,26),-1.6338 # DEPENDENCYPART_ARC
(19,27),-1.57035 # DEPENDENCYPART_ARC
(20,1),-1.76224 # DEPENDENCYPART_ARC
(20,2),-1.43933 # DEPENDENCYPART_ARC
(20,3),-2.78199 # DEPENDENCYPART_ARC
(20,4),-2.27263 # DEPENDENCYPART_ARC
(20,5),-2.56669 # DEPENDENCYPART_ARC
(20,6),-1.62909 # DEPENDENCYPART_ARC
(20,7),-2.5354 # DEPENDENCYPART_ARC
(20,8),-1.07287 # DEPENDENCYPART_ARC
(20,9),-1.91981 # DEPENDENCYPART_ARC
(20,10),-1.85366 # DEPENDENCYPART_ARC
(20,11),-2.25026 # DEPENDENCYPART_ARC
(20,12),-0.746335 # DEPENDENCYPART_ARC
(20,13),-1.10371 # DEPENDENCYPART_ARC
(20,14),-0.823606 # DEPENDENCYPART_ARC
(20,15),-0.683138 # DEPENDENCYPART_ARC
(20,16),-2.16283 # DEPENDENCYPART_ARC
(20,17),-1.26071 # DEPENDENCYPART_ARC
(20,18),-1.21106 # DEPENDENCYPART_ARC
(20,19),2.46267 # DEPENDENCYPART_ARC
(20,21),0.26899 # DEPENDENCYPART_ARC
(20,22),-0.0969709 # DEPENDENCYPART_ARC
(20,23),-1.86421 # DEPENDENCYPART_ARC
(20,24),-1.62335 # DEPENDENCYPART_ARC
(20,25),-2.2327 # DEPENDENCYPART_ARC
(20,26),-1.0787 # DEPENDENCYPART_ARC
(20,27),-1.12617 # DEPENDENCYPART_ARC
(21,1),-1.22498 # DEPENDENCYPART_ARC
(21,2),-0.614832 # DEPENDENCYPART_ARC
(21,3),-1.18941 # DEPENDENCYPART_ARC
(21,4),-2.02671 # DEPENDENCYPART_ARC
(21,5),-1.17811 # DEPENDENCYPART_ARC
(21,6),-1.22736 # DEPENDENCYPART_ARC
(21,7),-1.87759 # DEPENDENCYPART_ARC
(21,8),-1.10175 # DEPENDENCYPART_ARC
(21,9),-1.45026 # DEPENDENCYPART_ARC
(21,10),-1.51117 # DEPENDENCYPART_ARC
(21,11),-1.13988 # DEPENDENCYPART_ARC
(21,12),-1.30104 # DEPENDENCYPART_ARC
(21,13),-1.16364 # DEPENDENCYPART_ARC
(21,14),-0.71885 # DEPENDENCYPART_ARC
(21,15),-1.1263 # DEPENDENCYPART_ARC
(21,16),-1.18569 # DEPENDENCYPART_ARC
(21,17),-1.17782 # DEPENDENCYPART_ARC
(21,18),-0.996819 # DEPENDENCYPART_ARC
(21,19),-0.497244 # DEPENDENCYPART_ARC
(21,20),0.0146926 # DEPENDENCYPART_ARC
(21,22),0.512917 # DEPENDENCYPART_ARC
(21,23),-0.379035 # DEPENDENCYPART_ARC
(21,24),-0.679871 # DEPENDENCYPART_ARC
(21,25),-1.12296 # DEPENDENCYPART_ARC
(21,26),-0.0617316 # DEPENDENCYPART_ARC
(21,27),-0.08813 # DEPENDENCYPART_ARC
(22,1),-1.62993 # DEPENDENCYPART_ARC
(22,2),-0.985811 # DEPENDENCYPART_ARC
(22,3),-1.7654 # DEPENDENCYPART_ARC
(22,4),-1.25176 # DEPENDENCYPART_ARC
(22,5),-1.71186 # DEPENDENCYPART_ARC
(22,6),-1.58701 # DEPENDENCYPART_ARC
(22,7),-1.1469 # DEPENDENCYPART_ARC
(22,8),-0.932915 # DEPENDENCYPART_ARC
(22,9),-1.20929 # DEPENDENCYPART_ARC
(22,10),-1.19886 # DEPENDENCYPART_ARC
(22,11),-1.91664 # DEPENDENCYPART_ARC
(22,12),-0.874241 # DEPENDENCYPART_ARC
(22,13),-1.38645 # DEPENDENCYPART_ARC
(22,14),-0.693176 # DEPENDENCYPART_ARC
(22,15),-1.28768 # DEPENDENCYPART_ARC
(22,16),-0.845866 # DEPENDENCYPART_ARC
(22,17),-0.999573 # DEPENDENCYPART_ARC
(22,18),-0.860815 # DEPENDENCYPART_ARC
(22,19),-0.817821 # DEPENDENCYPART_ARC
(22,20),0.440404 # DEPENDENCYPART_ARC
(22,21),0.459297 # DEPENDENCYPART_ARC
(22,23),-0.218431 # DEPENDENCYPART_ARC
(22,24),-0.766093 # DEPENDENCYPART_ARC
(22,25),-1.2653 # DEPENDENCYPART_ARC
(22,26),-0.558733 # DEPENDENCYPART_ARC
(22,27),-0.622337 # DEPENDENCYPART_ARC
(23,1),-3.48537 # DEPENDENCYPART_ARC
(23,2),-0.942743 # DEPENDENCYPART_ARC
(23,3),-2.22981 # DEPENDENCYPART_ARC
(23,4),-1.56799 # DEPENDENCYPART_ARC
(23,5),-1.71466 # DEPENDENCYPART_ARC
(23,6),-1.64181 # DEPENDENCYPART_ARC
(23,7),-1.24625 # DEPENDENCYPART_ARC
(23,8),-0.80949 # DEPENDENCYPART_ARC
(23,9),-1.74282 # DEPENDENCYPART_ARC
(23,10),-1.47256 # DEPENDENCYPART_ARC
(23,11),-1.08983 # DEPENDENCYPART_ARC
(23,12),-2.09833 # DEPENDENCYPART_ARC
(23,13),-1.34281 # DEPENDENCYPART_ARC
(23,14),-0.504048 # DEPENDENCYPART_ARC
(23,15),-0.622011 # DEPENDENCYPART_ARC
(23,16),-1.11928 # DEPENDENCYPART_ARC
(23,17),-1.27095 # DEPENDENCYPART_ARC
(23,18),-1.33089 # DEPENDENCYPART_ARC
(23,19),-1.12022 # DEPENDENCYPART_ARC
(23,20),1.64027 # DEPENDENCYPART_ARC
(23,21),0.472735 # DEPENDENCYPART_ARC
(23,22),0.249031 # DEPENDENCYPART_ARC
(23,24),0.272453 # DEPENDENCYPART_ARC
(23,25),-0.444016 # DEPENDENCYPART_ARC
(23,26),-0.286801 # DEPENDENCYPART_ARC
(23,27),-0.485812 # DEPENDENCYPART_ARC
(24,1),-2.23587 # DEPENDENCYPART_ARC
(24,2),-1.71555 # DEPENDENCYPART_ARC
(24,3),-2.8603 # DEPENDENCYPART_ARC
(24,4),-1.74102 # DEPENDENCYPART_ARC
(24,5),-2.49507 # DEPENDENCYPART_ARC
(24,6),-1.7572 # DEPENDENCYPART_ARC
(24,7),-1.91849 # DEPENDENCYPART_ARC
(24,8),-0.685425 # DEPENDENCYPART_ARC
(24,9),-1.49669 # DEPENDENCYPART_ARC
(24,10),-1.52288 # DEPENDENCYPART_ARC
(24,11),-2.36796 # DEPENDENCYPART_ARC
(24,12),-1.24692 # DEPENDENCYPART_ARC
(24,13),-1.34147 # DEPENDENCYPART_ARC
(24,14),-0.92281 # DEPENDENCYPART_ARC
(24,15),-0.988664 # DEPENDENCYPART_ARC
(24,16),-1.87395 # DEPENDENCYPART_ARC
(24,17),-1.32014 # DEPENDENCYPART_ARC
(24,18),-1.43845 # DEPENDENCYPART_ARC
(24,19),-0.442724 # DEPENDENCYPART_ARC
(24,20),-1.45462 # DEPENDENCYPART_ARC
(24,21),-0.290572 # DEPENDENCYPART_ARC
(24,22),0.229695 # DEPENDENCYPART_ARC
(24,23),1.60097 # DEPENDENCYPART_ARC
(24,25),2.48049 # DEPENDENCYPART_ARC
(24,26),0.0734049 # DEPENDENCYPART_ARC
(24,27),-0.474506 # DEPENDENCYPART_ARC
(25,1),-2.27567 # DEPENDENCYPART_ARC
(25,2),-1.88462 # DEPENDENCYPART_ARC
(25,3),-2.79159 # DEPENDENCYPART_ARC
(25,4),-2.16863 # DEPENDENCYPART_ARC
(25,5),-2.98353 # DEPENDENCYPART_ARC
(25,6),-2.67816 # DEPENDENCYPART_ARC
(25,7),-1.81207 # DEPENDENCYPART_ARC
(25,8),-0.722811 # DEPENDENCYPART_ARC
(25,9),-2.19961 # DEPENDENCYPART_ARC
(25,10),-2.00165 # DEPENDENCYPART_ARC
(25,11),-2.33795 # DEPENDENCYPART_ARC
(25,12),-0.852436 # DEPENDENCYPART_ARC
(25,13),-2.31302 # DEPENDENCYPART_ARC
(25,14),-1.27349 # DEPENDENCYPART_ARC
(25,15),-1.99761 # DEPENDENCYPART_ARC
(25,16),-1.94052 # DEPENDENCYPART_ARC
(25,17),-1.47858 # DEPENDENCYPART_ARC
(25,18),-1.48344 # DEPENDENCYPART_ARC
(25,19),-0.878636 # DEPENDENCYPART_ARC
(25,20),-1.44268 # DEPENDENCYPART_ARC
(25,21),-0.143858 # DEPENDENCYPART_ARC
(25,22),-0.524227 # DEPENDENCYPART_ARC
(25,23),-0.866837 # DEPENDENCYPART_ARC
(25,24),-0.0316943 # DEPENDENCYPART_ARC
(25,26),1.69105 # DEPENDENCYPART_ARC
(25,27),0.156306 # DEPENDENCYPART_ARC
(26,1),-1.83841 # DEPENDENCYPART_ARC
(26,2),-2.0544 # DEPENDENCYPART_ARC
(26,3),-1.91793 # DEPENDENCYPART_ARC
(26,4),-2.3853 # DEPENDENCYPART_ARC
(26,5),-1.73675 # DEPENDENCYPART_ARC
(26,6),-1.57232 # DEPENDENCYPART_ARC
(26,7),-2.13849 # DEPENDENCYPART_ARC
(26,8),-1.77998 # DEPENDENCYPART_ARC
(26,9),-1.65579 # DEPENDENCYPART_ARC
(26,10),-1.57726 # DEPENDENCYPART_ARC
(26,11),-1.5798 # DEPENDENCYPART_ARC
(26,12),-2.28591 # DEPENDENCYPART_ARC
(26,13),-1.58723 # DEPENDENCYPART_ARC
(26,14),-1.78105 # DEPENDENCYPART_ARC
(26,15),-1.73035 # DEPENDENCYPART_ARC
(26,16),-2.17334 # DEPENDENCYPART_ARC
(26,17),-1.80566 # DEPENDENCYPART_ARC
(26,18),-1.75239 # DEPENDENCYPART_ARC
(26,19),-1.5296 # DEPENDENCYPART_ARC
(26,20),-1.46305 # DEPENDENCYPART_ARC
(26,21),-1.67447 # DEPENDENCYPART_ARC
(26,22),-1.38042 # DEPENDENCYPART_ARC
(26,23),-0.775178 # DEPENDENCYPART_ARC
(26,24),-1.21978 # DEPENDENCYPART_ARC
(26,25),-0.491922 # DEPENDENCYPART_ARC
(26,27),2.04241 # DEPENDENCYPART_ARC
(27,1),-2.31933 # DEPENDENCYPART_ARC
(27,2),-1.58658 # DEPENDENCYPART_ARC
(27,3),-2.40667 # DEPENDENCYPART_ARC
(27,4),-1.58923 # DEPENDENCYPART_ARC
(27,5),-2.01732 # DEPENDENCYPART_ARC
(27,6),-2.00002 # DEPENDENCYPART_ARC
(27,7),-1.71598 # DEPENDENCYPART_ARC
(27,8),-1.45339 # DEPENDENCYPART_ARC
(27,9),-1.79598 # DEPENDENCYPART_ARC
(27,10),-1.15467 # DEPENDENCYPART_ARC
(27,11),-1.84071 # DEPENDENCYPART_ARC
(27,12),-1.87279 # DEPENDENCYPART_ARC
(27,13),-1.72863 # DEPENDENCYPART_ARC
(27,14),-1.28568 # DEPENDENCYPART_ARC
(27,15),-1.71694 # DEPENDENCYPART_ARC
(27,16),-1.94675 # DEPENDENCYPART_ARC
(27,17),-1.27312 # DEPENDENCYPART_ARC
(27,18),-1.36081 # DEPENDENCYPART_ARC
(27,19),-1.23763 # DEPENDENCYPART_ARC
(27,20),-0.938578 # DEPENDENCYPART_ARC
(27,21),-1.2589 # DEPENDENCYPART_ARC
(27,22),-1.13331 # DEPENDENCYPART_ARC
(27,23),-0.695794 # DEPENDENCYPART_ARC
(27,24),-0.778553 # DEPENDENCYPART_ARC
(27,25),-0.846254 # DEPENDENCYPART_ARC
(27,26),-0.452119 # DEPENDENCYPART_ARC
