# _root_ hura ikustean arkitektoa izan behar_nuen burutazioa sartu zitzaion aitari , etxetxoak ganbarara bazterreratu eta traste_artean zapuztu , potortu eta hautsatu ziren arte .
#goldHeads=2,7,4,5,6,7,0,7,7,9,13,13,14,7,16,14,16,14,7,14,20,21,22,
#predictedHeads=2,3,4,5,6,7,14,7,7,9,13,13,14,18,16,14,16,19,0,19,20,20,22,
(23,11),-1.71495 # DEPENDENCYPART_ARC
(23,12),-1.63258 # DEPENDENCYPART_ARC
(23,13),-1.77828 # DEPENDENCYPART_ARC
(23,14),-1.13074 # DEPENDENCYPART_ARC
(23,15),-1.46161 # DEPENDENCYPART_ARC
(23,16),-1.78271 # DEPENDENCYPART_ARC
(23,17),-1.47973 # DEPENDENCYPART_ARC
(23,18),-1.48006 # DEPENDENCYPART_ARC
(23,19),-0.971471 # DEPENDENCYPART_ARC
(23,20),-1.06656 # DEPENDENCYPART_ARC
(23,22),-0.657972 # DEPENDENCYPART_ARC
