# _root_ ehiztariek oihu_egin ziguten , otsoarengandik apartatzeko esanaz , eta eztarriek ez zieten bere belarriei gure lasaitzeko eta ez tiratzeko hitzik entzuten utzi .
#goldHeads=2,9,2,3,6,7,2,7,0,22,22,22,14,22,20,17,20,19,17,21,22,9,22,
#predictedHeads=2,9,2,3,6,7,9,7,0,9,22,22,14,16,16,17,22,19,20,21,22,4,22,
(22,21),2.31332 # DEPENDENCYPART_ARC
(22,23),2.56566 # DEPENDENCYPART_ARC
(23,1),-1.82076 # DEPENDENCYPART_ARC
(23,2),-2.2948 # DEPENDENCYPART_ARC
(23,3),-1.60321 # DEPENDENCYPART_ARC
(23,4),-1.98434 # DEPENDENCYPART_ARC
(23,5),-1.44245 # DEPENDENCYPART_ARC
(23,6),-2.00654 # DEPENDENCYPART_ARC
(23,7),-2.17731 # DEPENDENCYPART_ARC
(23,8),-1.86426 # DEPENDENCYPART_ARC
(23,9),-0.796513 # DEPENDENCYPART_ARC
(23,10),-1.40694 # DEPENDENCYPART_ARC
(23,11),-1.89583 # DEPENDENCYPART_ARC
(23,12),-1.63429 # DEPENDENCYPART_ARC
(23,13),-2.02834 # DEPENDENCYPART_ARC
(23,14),-1.38819 # DEPENDENCYPART_ARC
(23,15),-1.6739 # DEPENDENCYPART_ARC
(23,16),-1.50466 # DEPENDENCYPART_ARC
(23,17),-0.825181 # DEPENDENCYPART_ARC
(23,18),-1.56664 # DEPENDENCYPART_ARC
(23,19),-1.26541 # DEPENDENCYPART_ARC
(23,20),-0.739211 # DEPENDENCYPART_ARC
(23,21),-1.13857 # DEPENDENCYPART_ARC
(23,22),-0.641798 # DEPENDENCYPART_ARC
