# _root_ horren berri zuzena eta zehatza izateko asmoak bultzatuta , karrantzako_udaleko ordezkaritza bat langraizko kartzelan fernando_diezekin biltzen ahaleginduko da , eta horretarako egin dute eskaera .
#goldHeads=2,6,4,2,4,7,8,20,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
#predictedHeads=2,6,4,2,4,7,8,17,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
(22,4),0.00889949 # DEPENDENCYPART_ARC
(22,5),-1.6179 # DEPENDENCYPART_ARC
(22,6),-1.13696 # DEPENDENCYPART_ARC
(22,7),-0.597581 # DEPENDENCYPART_ARC
(22,8),-0.348524 # DEPENDENCYPART_ARC
(22,9),-1.92966 # DEPENDENCYPART_ARC
(22,10),-0.746194 # DEPENDENCYPART_ARC
(22,11),-1.03352 # DEPENDENCYPART_ARC
(22,12),-1.5453 # DEPENDENCYPART_ARC
(22,13),-1.96238 # DEPENDENCYPART_ARC
(22,14),-0.074454 # DEPENDENCYPART_ARC
(22,15),-0.460051 # DEPENDENCYPART_ARC
(22,16),-1.24485 # DEPENDENCYPART_ARC
(22,17),0.00442936 # DEPENDENCYPART_ARC
(22,18),-0.41683 # DEPENDENCYPART_ARC
(22,19),-0.616535 # DEPENDENCYPART_ARC
(22,20),0.197755 # DEPENDENCYPART_ARC
(22,21),1.33114 # DEPENDENCYPART_ARC
(22,23),1.86455 # DEPENDENCYPART_ARC
(22,24),1.84212 # DEPENDENCYPART_ARC
(22,25),-0.108805 # DEPENDENCYPART_ARC
(23,1),-1.85257 # DEPENDENCYPART_ARC
(23,2),-1.43242 # DEPENDENCYPART_ARC
(23,3),-2.5448 # DEPENDENCYPART_ARC
(23,4),-1.1978 # DEPENDENCYPART_ARC
(23,5),-2.53477 # DEPENDENCYPART_ARC
(23,6),-0.832175 # DEPENDENCYPART_ARC
(23,7),-1.16629 # DEPENDENCYPART_ARC
(23,8),-1.81963 # DEPENDENCYPART_ARC
(23,9),-1.94502 # DEPENDENCYPART_ARC
(23,10),-0.996182 # DEPENDENCYPART_ARC
(23,11),-1.16846 # DEPENDENCYPART_ARC
(23,12),-1.53099 # DEPENDENCYPART_ARC
(23,13),-1.61977 # DEPENDENCYPART_ARC
(23,14),-1.4742 # DEPENDENCYPART_ARC
(23,15),-1.11397 # DEPENDENCYPART_ARC
(23,16),-2.21748 # DEPENDENCYPART_ARC
(23,17),-2.55465 # DEPENDENCYPART_ARC
(23,18),-1.27925 # DEPENDENCYPART_ARC
(23,19),-1.41774 # DEPENDENCYPART_ARC
(23,20),-1.18097 # DEPENDENCYPART_ARC
(23,21),-0.248305 # DEPENDENCYPART_ARC
(23,22),-1.1184 # DEPENDENCYPART_ARC
(23,24),-1.89659 # DEPENDENCYPART_ARC
(23,25),-0.66685 # DEPENDENCYPART_ARC
(24,1),-2.40265 # DEPENDENCYPART_ARC
(24,2),-2.82055 # DEPENDENCYPART_ARC
(24,3),-3.68151 # DEPENDENCYPART_ARC
(24,4),-0.881571 # DEPENDENCYPART_ARC
(24,5),-3.50227 # DEPENDENCYPART_ARC
(24,6),-1.49332 # DEPENDENCYPART_ARC
(24,7),-5.2737 # DEPENDENCYPART_ARC
(24,8),-2.53358 # DEPENDENCYPART_ARC
(24,9),-2.01029 # DEPENDENCYPART_ARC
(24,10),-1.07583 # DEPENDENCYPART_ARC
(24,11),-1.86146 # DEPENDENCYPART_ARC
(24,12),-2.93053 # DEPENDENCYPART_ARC
(24,13),-1.37475 # DEPENDENCYPART_ARC
(24,14),-3.71695 # DEPENDENCYPART_ARC
(24,15),-2.71282 # DEPENDENCYPART_ARC
(24,16),-1.22068 # DEPENDENCYPART_ARC
(24,17),-1.38411 # DEPENDENCYPART_ARC
(24,18),-2.79453 # DEPENDENCYPART_ARC
(24,19),-1.52992 # DEPENDENCYPART_ARC
(24,20),-0.759632 # DEPENDENCYPART_ARC
(24,21),-1.80499 # DEPENDENCYPART_ARC
(24,22),-0.163209 # DEPENDENCYPART_ARC
(24,23),-1.58112 # DEPENDENCYPART_ARC
(24,25),1.85807 # DEPENDENCYPART_ARC
(25,2),-2.15606 # DEPENDENCYPART_ARC
(25,4),-1.25772 # DEPENDENCYPART_ARC
(25,6),-1.81648 # DEPENDENCYPART_ARC
(25,7),-1.57613 # DEPENDENCYPART_ARC
(25,8),-2.01503 # DEPENDENCYPART_ARC
(25,9),-1.63777 # DEPENDENCYPART_ARC
(25,10),-1.54187 # DEPENDENCYPART_ARC
(25,11),-1.57888 # DEPENDENCYPART_ARC
(25,13),-1.40471 # DEPENDENCYPART_ARC
(25,14),-1.34718 # DEPENDENCYPART_ARC
(25,15),-1.23713 # DEPENDENCYPART_ARC
(25,16),-1.65726 # DEPENDENCYPART_ARC
(25,17),-1.51464 # DEPENDENCYPART_ARC
(25,19),-1.30045 # DEPENDENCYPART_ARC
(25,20),-0.734099 # DEPENDENCYPART_ARC
(25,22),-0.831821 # DEPENDENCYPART_ARC
(25,24),-0.460627 # DEPENDENCYPART_ARC
