# _root_ plangintzak lan arloan dauden arazoei ez die aurre_egiten , ugtko kidearen ustez , eta ppk estatu mailan duen plangintza jarraitzen duela gehitu zuen .
#goldHeads=8,3,4,5,8,8,8,14,8,11,12,8,12,0,20,17,18,19,20,22,20,14,22,23,
#predictedHeads=8,3,4,5,8,8,8,14,8,11,12,14,12,0,18,17,18,19,20,22,20,14,22,23,
(21,24),-0.0850385 # DEPENDENCYPART_ARC
(22,1),-0.494325 # DEPENDENCYPART_ARC
(22,2),-2.22223 # DEPENDENCYPART_ARC
(22,3),-0.769859 # DEPENDENCYPART_ARC
(22,4),-1.41502 # DEPENDENCYPART_ARC
(22,5),-0.869226 # DEPENDENCYPART_ARC
(22,6),-0.622923 # DEPENDENCYPART_ARC
(22,7),-0.681577 # DEPENDENCYPART_ARC
(22,8),-0.871047 # DEPENDENCYPART_ARC
(22,9),-1.87669 # DEPENDENCYPART_ARC
(22,10),-1.93006 # DEPENDENCYPART_ARC
(22,11),-1.95036 # DEPENDENCYPART_ARC
(22,12),-0.311984 # DEPENDENCYPART_ARC
(22,13),-1.65545 # DEPENDENCYPART_ARC
(22,14),-0.211946 # DEPENDENCYPART_ARC
(22,15),0.83105 # DEPENDENCYPART_ARC
(22,16),-0.592151 # DEPENDENCYPART_ARC
(22,17),0.423939 # DEPENDENCYPART_ARC
(22,18),-0.741393 # DEPENDENCYPART_ARC
(22,19),0.561548 # DEPENDENCYPART_ARC
(22,20),1.34076 # DEPENDENCYPART_ARC
(22,21),0.236799 # DEPENDENCYPART_ARC
(22,23),1.92014 # DEPENDENCYPART_ARC
(22,24),0.185194 # DEPENDENCYPART_ARC
(23,1),-1.14287 # DEPENDENCYPART_ARC
(23,2),-1.4606 # DEPENDENCYPART_ARC
(23,3),-1.69923 # DEPENDENCYPART_ARC
(23,4),-1.94425 # DEPENDENCYPART_ARC
(23,5),-1.65421 # DEPENDENCYPART_ARC
(23,6),-1.6305 # DEPENDENCYPART_ARC
(23,7),-1.6447 # DEPENDENCYPART_ARC
(23,8),-2.80424 # DEPENDENCYPART_ARC
(23,9),-2.13021 # DEPENDENCYPART_ARC
(23,10),-1.59455 # DEPENDENCYPART_ARC
(23,11),-1.55167 # DEPENDENCYPART_ARC
(23,12),-1.7727 # DEPENDENCYPART_ARC
(23,13),-1.89406 # DEPENDENCYPART_ARC
(23,14),-1.59487 # DEPENDENCYPART_ARC
(23,15),-0.785516 # DEPENDENCYPART_ARC
(23,16),-1.12069 # DEPENDENCYPART_ARC
(23,17),-1.39384 # DEPENDENCYPART_ARC
(23,18),-1.53403 # DEPENDENCYPART_ARC
(23,19),-1.14133 # DEPENDENCYPART_ARC
(23,20),-2.47434 # DEPENDENCYPART_ARC
(23,21),-0.933614 # DEPENDENCYPART_ARC
(23,22),-1.72618 # DEPENDENCYPART_ARC
(23,24),1.77055 # DEPENDENCYPART_ARC
(24,1),-1.70229 # DEPENDENCYPART_ARC
(24,2),-1.41232 # DEPENDENCYPART_ARC
(24,3),-1.50219 # DEPENDENCYPART_ARC
(24,4),-1.62319 # DEPENDENCYPART_ARC
(24,5),-1.43335 # DEPENDENCYPART_ARC
(24,6),-1.56894 # DEPENDENCYPART_ARC
(24,7),-1.3453 # DEPENDENCYPART_ARC
(24,8),-1.5666 # DEPENDENCYPART_ARC
(24,9),-1.39326 # DEPENDENCYPART_ARC
(24,10),-1.22615 # DEPENDENCYPART_ARC
(24,11),-0.919371 # DEPENDENCYPART_ARC
(24,12),-1.36209 # DEPENDENCYPART_ARC
(24,13),-1.46659 # DEPENDENCYPART_ARC
(24,14),-0.728461 # DEPENDENCYPART_ARC
(24,15),-0.914397 # DEPENDENCYPART_ARC
(24,16),-0.594324 # DEPENDENCYPART_ARC
(24,17),-0.658994 # DEPENDENCYPART_ARC
(24,18),-1.02042 # DEPENDENCYPART_ARC
(24,19),-0.603059 # DEPENDENCYPART_ARC
(24,20),-1.08882 # DEPENDENCYPART_ARC
(24,21),-0.67993 # DEPENDENCYPART_ARC
(24,22),-0.623808 # DEPENDENCYPART_ARC
(24,23),-0.0476261 # DEPENDENCYPART_ARC
