# _root_ The builders like the subsidies , but at the same time they tend to be fiscal conservatives in terms of major issues , such as the balanced-budget amendment . ''
#goldHeads=2,3,0,5,3,3,3,13,11,11,8,13,7,13,14,17,15,15,18,19,22,20,22,25,22,28,28,25,3,3,
#predictedHeads=2,3,0,5,3,3,3,13,11,11,8,13,7,13,14,17,15,17,18,19,22,20,22,25,22,28,28,25,3,3,
(3,19),(3,20),-0.00458071 # DEPENDENCYPART_SIBL
(3,19),(3,23),0.0712344 # DEPENDENCYPART_SIBL
(3,19),(3,25),0.060427 # DEPENDENCYPART_SIBL
(3,19),(3,29),0.0639719 # DEPENDENCYPART_SIBL
(3,19),(3,30),0.0465841 # DEPENDENCYPART_SIBL
(3,20),(3,23),0.00289885 # DEPENDENCYPART_SIBL
(3,20),(3,25),-0.0332747 # DEPENDENCYPART_SIBL
(3,20),(3,29),-0.0423196 # DEPENDENCYPART_SIBL
(3,20),(3,30),-0.156546 # DEPENDENCYPART_SIBL
(3,23),(3,25),0.34432 # DEPENDENCYPART_SIBL
(3,23),(3,29),-0.00931286 # DEPENDENCYPART_SIBL
(3,23),(3,30),0.125254 # DEPENDENCYPART_SIBL
(3,25),(3,29),0.0406354 # DEPENDENCYPART_SIBL
(3,25),(3,30),0.00326666 # DEPENDENCYPART_SIBL
(3,29),(3,30),1.0689 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.625618 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.136961 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.015121 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0572535 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0299733 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.65561 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.021561 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0896049 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0184507 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0063902 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0211134 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.298467 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.140187 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.06858 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0813619 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.406192 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.021561 # DEPENDENCYPART_SIBL
(5,1),(5,25),-0.253429 # DEPENDENCYPART_SIBL
(5,1),(5,29),-0.11044 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0762788 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.202565 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00300024 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0159311 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0423987 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0438931 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0272785 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00305911 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0412152 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0310005 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0405011 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0576857 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.00300024 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0116288 # DEPENDENCYPART_SIBL
(5,2),(5,29),0.000604668 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.187954 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0776115 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0241594 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0737627 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0289663 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0575494 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0233821 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.109613 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0575994 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0589609 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0101886 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0776115 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.068914 # DEPENDENCYPART_SIBL
(5,3),(5,29),0.0867641 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.021561 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0896049 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0184507 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0063902 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0211134 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.298467 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.140187 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.06858 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0813619 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.406192 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.021561 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.253429 # DEPENDENCYPART_SIBL
(5,4),(5,29),-0.11044 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.667049 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.169244 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.356824 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.551285 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.573236 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.147746 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.694766 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.207433 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.115237 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.11544 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.657989 # DEPENDENCYPART_SIBL
(5,6),(5,29),0.0233482 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.150838 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0539093 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.102974 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0962258 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.127638 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0317708 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0753941 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0268277 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.0442944 # DEPENDENCYPART_SIBL
(5,7),(5,25),-0.130704 # DEPENDENCYPART_SIBL
(5,7),(5,29),0.151808 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0446103 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0195762 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0594956 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.00323346 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0772229 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0533385 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.087582 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.0855011 # DEPENDENCYPART_SIBL
(5,8),(5,25),-0.0586272 # DEPENDENCYPART_SIBL
(5,8),(5,29),-0.034409 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0418063 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0350648 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0194721 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0010545 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0733951 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0728397 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.117576 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.03506 # DEPENDENCYPART_SIBL
(5,10),(5,29),0.0366023 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0477956 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.146766 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.130582 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0324686 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0169518 # DEPENDENCYPART_SIBL
(5,11),(5,23),0.0667103 # DEPENDENCYPART_SIBL
(5,11),(5,25),0.0153934 # DEPENDENCYPART_SIBL
(5,11),(5,29),0.0629088 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.000721837 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0629871 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.00188613 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.0301404 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.323104 # DEPENDENCYPART_SIBL
(5,13),(5,25),0.00851858 # DEPENDENCYPART_SIBL
(5,13),(5,29),0.0394027 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.145594 # DEPENDENCYPART_SIBL
(5,14),(5,18),0.119588 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.0446195 # DEPENDENCYPART_SIBL
(5,14),(5,23),0.0219811 # DEPENDENCYPART_SIBL
(5,14),(5,25),0.114752 # DEPENDENCYPART_SIBL
(5,14),(5,29),0.174487 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.0475593 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.0642721 # DEPENDENCYPART_SIBL
(5,17),(5,23),-0.00811963 # DEPENDENCYPART_SIBL
(5,17),(5,25),-0.0345263 # DEPENDENCYPART_SIBL
(5,17),(5,29),0.014946 # DEPENDENCYPART_SIBL
(5,18),(5,20),-0.0807142 # DEPENDENCYPART_SIBL
(5,18),(5,23),0.0476567 # DEPENDENCYPART_SIBL
(5,18),(5,25),0.102852 # DEPENDENCYPART_SIBL
(5,18),(5,29),0.0256633 # DEPENDENCYPART_SIBL
(5,20),(5,23),-0.00905401 # DEPENDENCYPART_SIBL
(5,20),(5,25),-0.00138052 # DEPENDENCYPART_SIBL
(5,20),(5,29),-0.0312218 # DEPENDENCYPART_SIBL
(5,23),(5,25),0.657989 # DEPENDENCYPART_SIBL
(5,23),(5,29),0.0233482 # DEPENDENCYPART_SIBL
(5,25),(5,29),0.100326 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0264093 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.00304831 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.047993 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0366457 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0204823 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0524869 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.00558781 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0464994 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0520502 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0644421 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.058401 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0200655 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0331147 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0557608 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0527223 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0990774 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0816072 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.226432 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0374387 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0756644 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.208604 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.293444 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0685226 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.332957 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.358755 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0843981 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.407799 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.174031 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.144573 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.383233 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0281652 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0405456 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0549365 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0967652 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0487041 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0399874 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.00461599 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0365702 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0208953 # DEPENDENCYPART_SIBL
(8,6),(8,29),0.0699155 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0645985 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0221959 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0603317 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0542025 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0283521 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0114088 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0118272 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0339763 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0343641 # DEPENDENCYPART_SIBL
(8,7),(8,29),0.249314 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0653243 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.513114 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.158196 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.395014 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.303467 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.271639 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.344571 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.037495 # DEPENDENCYPART_SIBL
(8,9),(8,29),-0.192732 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.505767 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.191498 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.415052 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.250302 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.274395 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.48198 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.0582641 # DEPENDENCYPART_SIBL
(8,10),(8,29),-0.0909674 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.323479 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.550995 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.482372 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.464697 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.880856 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.00964416 # DEPENDENCYPART_SIBL
(8,11),(8,29),-0.0607397 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.440218 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.390671 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.242227 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.574106 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.123095 # DEPENDENCYPART_SIBL
(8,12),(8,29),-0.243909 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.260702 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.263909 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.412512 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.0462202 # DEPENDENCYPART_SIBL
(8,13),(8,29),0.0698967 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.285408 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.360427 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.109234 # DEPENDENCYPART_SIBL
(8,14),(8,29),-0.0410726 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.323357 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.0863297 # DEPENDENCYPART_SIBL
(8,15),(8,29),0.0490635 # DEPENDENCYPART_SIBL
(8,17),(8,18),0.0462819 # DEPENDENCYPART_SIBL
(8,17),(8,29),-0.102368 # DEPENDENCYPART_SIBL
(8,18),(8,29),-0.0852005 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.197513 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.121271 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0897965 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.042277 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.1007 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.246318 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0071559 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0691278 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.036867 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0627609 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.312338 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0725385 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0462374 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.00839658 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0100224 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0864304 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.038381 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0372416 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.229999 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0502904 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0478103 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0298101 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.225214 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.000496258 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.00305714 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0413215 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0430021 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0401991 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0535439 # DEPENDENCYPART_SIBL
(11,5),(11,24),-0.015085 # DEPENDENCYPART_SIBL
(11,5),(11,25),-0.0137384 # DEPENDENCYPART_SIBL
(11,5),(11,28),-0.0236263 # DEPENDENCYPART_SIBL
(11,5),(11,29),0.101019 # DEPENDENCYPART_SIBL
(11,5),(11,30),0.036654 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.183896 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0830319 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0589752 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.183885 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0247969 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.101113 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0968527 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.00412624 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.11431 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0376199 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.062838 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.0584557 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.007084 # DEPENDENCYPART_SIBL
(11,6),(11,24),0.0927614 # DEPENDENCYPART_SIBL
(11,6),(11,25),0.021213 # DEPENDENCYPART_SIBL
(11,6),(11,28),0.118963 # DEPENDENCYPART_SIBL
(11,6),(11,29),0.143379 # DEPENDENCYPART_SIBL
(11,6),(11,30),0.092969 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0890006 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0328982 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0121004 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0851776 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.00615832 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.222124 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.107618 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.036596 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.104041 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.173847 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.105485 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.122084 # DEPENDENCYPART_SIBL
(11,7),(11,24),-0.0392996 # DEPENDENCYPART_SIBL
(11,7),(11,25),-0.0618528 # DEPENDENCYPART_SIBL
(11,7),(11,28),-0.0948275 # DEPENDENCYPART_SIBL
(11,7),(11,29),0.0884067 # DEPENDENCYPART_SIBL
(11,7),(11,30),-0.0363886 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.115392 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0677884 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0397073 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0290027 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.257587 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0825169 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0391786 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.0140816 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.00772932 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.0140604 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.11009 # DEPENDENCYPART_SIBL
(11,8),(11,24),0.0216141 # DEPENDENCYPART_SIBL
(11,8),(11,25),0.0491358 # DEPENDENCYPART_SIBL
(11,8),(11,28),0.039084 # DEPENDENCYPART_SIBL
(11,8),(11,29),0.0814172 # DEPENDENCYPART_SIBL
(11,8),(11,30),0.0532717 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.310325 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.137684 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.525853 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0951265 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0729114 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.101565 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.0627344 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.158378 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.0608182 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.477633 # DEPENDENCYPART_SIBL
(11,9),(11,24),0.0756283 # DEPENDENCYPART_SIBL
(11,9),(11,25),0.0646916 # DEPENDENCYPART_SIBL
(11,9),(11,28),0.0994456 # DEPENDENCYPART_SIBL
(11,9),(11,29),-0.000371914 # DEPENDENCYPART_SIBL
(11,9),(11,30),0.21586 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.177506 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0363634 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.332497 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.193047 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.138581 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.152908 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0530578 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.154485 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0998964 # DEPENDENCYPART_SIBL
(11,10),(11,24),-0.171626 # DEPENDENCYPART_SIBL
(11,10),(11,25),0.287341 # DEPENDENCYPART_SIBL
(11,10),(11,28),-0.126665 # DEPENDENCYPART_SIBL
(11,10),(11,29),-0.129422 # DEPENDENCYPART_SIBL
(11,10),(11,30),-0.046366 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0479112 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0185349 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.101555 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0611954 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.00153113 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0326123 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.00373131 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.0206292 # DEPENDENCYPART_SIBL
(11,12),(11,24),0.0503058 # DEPENDENCYPART_SIBL
(11,12),(11,25),-0.0553307 # DEPENDENCYPART_SIBL
(11,12),(11,28),0.02392 # DEPENDENCYPART_SIBL
(11,12),(11,29),-0.121999 # DEPENDENCYPART_SIBL
(11,12),(11,30),-0.0865907 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0400401 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0212375 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0317826 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0829669 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.038972 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.0823548 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.00793011 # DEPENDENCYPART_SIBL
(11,13),(11,24),0.0204754 # DEPENDENCYPART_SIBL
(11,13),(11,25),-0.0127903 # DEPENDENCYPART_SIBL
(11,13),(11,28),0.0361907 # DEPENDENCYPART_SIBL
(11,13),(11,29),0.0943224 # DEPENDENCYPART_SIBL
(11,13),(11,30),0.0519422 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0654666 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0926633 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.00171552 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.0766123 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.011777 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.124606 # DEPENDENCYPART_SIBL
(11,14),(11,24),-0.105217 # DEPENDENCYPART_SIBL
(11,14),(11,25),-0.0483671 # DEPENDENCYPART_SIBL
(11,14),(11,28),0.0286181 # DEPENDENCYPART_SIBL
(11,14),(11,29),-0.068871 # DEPENDENCYPART_SIBL
(11,14),(11,30),-0.0647745 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0873128 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.0191254 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.00723089 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.0185782 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0311985 # DEPENDENCYPART_SIBL
(11,15),(11,24),-0.0986019 # DEPENDENCYPART_SIBL
(11,15),(11,25),-0.0302083 # DEPENDENCYPART_SIBL
(11,15),(11,28),-0.0948896 # DEPENDENCYPART_SIBL
(11,15),(11,29),-0.0051565 # DEPENDENCYPART_SIBL
(11,15),(11,30),0.0725544 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0248923 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.049048 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.025548 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0483978 # DEPENDENCYPART_SIBL
(11,16),(11,24),-0.088235 # DEPENDENCYPART_SIBL
(11,16),(11,25),-0.040229 # DEPENDENCYPART_SIBL
(11,16),(11,28),-0.0398203 # DEPENDENCYPART_SIBL
