# _root_ Among these are the company 's Australian brewing assets , in the books at A$ 950 million but actually worth A$ 2.5 billion , he said .
#goldHeads=3,1,26,5,9,5,9,9,18,18,18,13,11,11,14,15,15,3,18,18,20,21,21,26,26,0,26,
#predictedHeads=3,1,26,5,9,5,9,9,3,9,18,13,11,13,14,15,15,9,20,18,20,21,21,26,26,0,26,
(8,15),(15,19),(15,23),-0.0425683 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,19),(15,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,19),(15,26),-0.0420056 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,19),(15,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,19),(15,28),-0.0679911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,20),(15,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,20),(15,22),-0.0433921 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,20),(15,23),-0.0434537 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,20),(15,24),-0.0332092 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,20),(15,26),-0.0425213 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,20),(15,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,20),(15,28),-0.0584243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,21),(15,22),-0.0423554 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,21),(15,23),-0.0423554 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,21),(15,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,21),(15,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,21),(15,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,21),(15,28),-0.024956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,22),(15,23),-0.0420526 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,22),(15,24),-0.0465079 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,22),(15,26),-0.045899 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,22),(15,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,22),(15,28),-0.0509868 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,23),(15,24),-0.0477458 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,23),(15,26),-0.0462035 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,23),(15,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,23),(15,28),-0.0502113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,24),(15,26),-0.0338257 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,24),(15,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,24),(15,28),-0.0414391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,26),(15,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,26),(15,28),-0.0200137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,27),(15,28),-0.0441924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,15),(15,14),0.121617 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,12),0.118455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,11),0.122563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,-1),-0.222685 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,14),(15,12),0.118397 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,11),0.119128 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,-1),-0.164582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,12),(15,11),0.119164 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,12),(15,-1),-0.133338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,11),(15,-1),-0.168341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,1),(1,2),0.148575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,3),0.119331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,5),0.0569208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,7),0.136417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,8),0.0574901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,9),-0.144321 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,1),(1,1),(1,10),-0.127012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,28),-0.0749336 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,1),(1,2),(1,3),0.119159 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,5),0.14268 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,7),0.122736 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,8),0.142684 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,2),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,28),-0.141802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,3),(1,5),0.119141 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,7),0.119156 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,8),0.119141 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,3),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,28),-0.123034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,5),(1,7),0.118834 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,5),(1,8),0.118906 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,5),(1,9),-0.125348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,5),(1,10),-0.124921 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,5),(1,28),-0.146534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,7),(1,8),0.117099 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,7),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,7),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,7),(1,28),-0.163762 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,8),(1,9),-0.125348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,8),(1,10),-0.124921 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,8),(1,28),-0.145606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,9),(1,10),-0.124921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,9),(1,28),-0.145605 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,1),(1,10),(1,28),-0.107186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,1),(1,-1),-0.362464 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,2),(2,3),0.130849 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,28),0.0483316 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,3),(2,28),-0.116178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,2),(2,1),-0.0466478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,-1),0.11249 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,1),(2,-1),-0.0541707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,4),(4,28),0.141364 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,4),(4,-1),0.204918 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,5),(5,6),0.23571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,7),0.091439 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,8),0.155175 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,9),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,5),(5,10),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,11),-0.144064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,13),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,24),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,27),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,28),0.0179719 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,6),(5,7),0.112587 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,8),0.112201 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,9),-0.124913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,6),(5,10),-0.125425 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,11),-0.125424 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,13),-0.124913 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,24),-0.125425 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,28),0.0767487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,7),(5,8),0.136475 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,7),(5,9),-0.124914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,7),(5,10),-0.125225 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,7),(5,11),-0.124894 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,7),(5,13),-0.124914 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,7),(5,24),-0.125225 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,7),(5,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,7),(5,28),-0.157798 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,8),(5,9),-0.125498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,8),(5,10),-0.126785 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,8),(5,11),-0.125035 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,8),(5,13),-0.125498 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,8),(5,24),-0.126785 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,8),(5,27),-0.125194 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,8),(5,28),-0.142527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,9),(5,10),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,9),(5,11),-0.125035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,9),(5,13),-0.125498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,9),(5,24),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,9),(5,27),-0.125194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,9),(5,28),-0.141941 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,10),(5,11),-0.125395 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,10),(5,13),-0.129532 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,10),(5,24),-0.125325 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,10),(5,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,10),(5,28),-0.00497015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,11),(5,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,11),(5,24),-0.124891 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,11),(5,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,11),(5,28),-0.0836781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,13),(5,24),-0.126785 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,13),(5,27),-0.125194 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,13),(5,28),-0.141993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,24),(5,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,24),(5,28),-0.00497015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,27),(5,28),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,5),(5,4),-0.0345556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,3),0.0591666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,2),-0.0461418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,1),-0.035217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,-1),0.100987 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,4),(5,3),-0.0420477 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,4),(5,2),-0.044261 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,4),(5,1),-0.0444759 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,4),(5,-1),0.00465228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,3),(5,2),-0.0364274 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,3),(5,1),-0.0518816 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,3),(5,-1),-0.0021435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,2),(5,1),-0.0433264 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,2),(5,-1),-0.0363015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,1),(5,-1),-0.0706622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,6),(6,28),-0.0294152 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,6),(6,-1),0.0993455 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,7),(7,8),0.123633 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,9),-0.126863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,7),(7,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,28),-0.00282612 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,8),(7,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,8),(7,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,28),-0.121303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,9),(7,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,28),-0.121303 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,10),(7,28),-0.111979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,7),(7,6),-0.0706385 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,5),-0.0441218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,1),0.0483636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,-1),0.0274052 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,6),(7,5),-0.0423436 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,1),-0.043965 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,-1),-0.0700412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,5),(7,1),-0.0486102 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,5),(7,-1),0.00210672 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,1),(7,-1),0.0360141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,9),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,8),(8,10),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,11),-0.144064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,13),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,15),-0.124889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,28),0.0267759 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,9),(8,10),-0.126791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,11),-0.125035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,13),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,28),-0.142903 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,10),(8,11),-0.125395 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,13),-0.129532 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,28),-0.00359921 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,11),(8,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,28),-0.0820579 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,13),(8,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,13),(8,28),-0.142954 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,15),(8,28),-0.127674 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,7),-0.0652308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,6),-0.0614418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,5),-0.185407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,4),-0.0394855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,3),0.0515803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,2),-0.0510717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,-1),0.103024 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,7),(8,6),-0.0426325 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,5),-0.0612815 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,4),-0.0628089 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,3),-0.0395049 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,2),-0.0550847 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,-1),-0.0497593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,6),(8,5),-0.044664 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,4),-0.0420124 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,3),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,2),-0.0420069 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,-1),-0.0687468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,5),(8,4),-0.0165987 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,3),-0.0433001 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,2),-0.0385962 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,-1),-0.00815617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,4),(8,3),-0.0420477 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,4),(8,2),-0.0440462 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,4),(8,-1),-0.0115139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,3),(8,2),-0.03643 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,3),(8,-1),-0.00956723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,2),(8,-1),-0.0524676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,28),0.00158128 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,10),(10,-1),-0.0832864 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,11),(11,12),-0.0489721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,13),0.074342 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,14),-0.0777663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,15),-0.000216821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,16),-0.0073594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,17),-0.00779449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,18),0.0234044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,19),-0.0790379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,28),-0.363178 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,12),(11,13),-0.0483873 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,14),-0.034435 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,15),-0.0420036 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,16),-0.0444516 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,17),-0.0444516 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,18),-0.0421923 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,19),-0.0426214 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,28),-0.0160259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,13),(11,14),-0.0493654 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,15),-0.0424463 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,16),-0.0387123 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,17),-0.0387123 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,18),-0.0552863 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,19),-0.0547632 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,28),0.0262236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,14),(11,15),-0.0425108 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,16),-0.0370548 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,17),-0.0371093 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,18),-0.042459 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,19),-0.043527 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,28),-0.114003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,15),(11,16),-0.0437118 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,17),-0.0444126 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,18),-0.0433191 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,19),-0.0454925 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,28),0.021491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,16),(11,17),-0.0587282 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,16),(11,18),-0.0374736 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,16),(11,19),-0.0112643 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,16),(11,28),-0.0400365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,17),(11,18),-0.0374739 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,19),-0.0119437 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,28),-0.0444052 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,18),(11,19),0.161133 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,28),0.011756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,19),(11,28),-0.0221926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,11),(11,10),0.105855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,9),0.0612361 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,11),(11,-1),-0.0820181 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,10),(11,9),0.116221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,10),(11,-1),-0.11174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,9),(11,-1),-0.141668 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,13),(13,14),-0.0301033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,15),-0.0452715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,16),-0.147147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,17),-0.1575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,18),-0.0426815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,19),-0.0717604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,20),-0.065565 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,22),-0.149122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,23),-0.15026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,26),0.0488436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
