# _root_ As a U.S.-based company , Blue Arrow would have to amortize the good will over as many as 40 years , creating a continuing drag on reported earnings .
#goldHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,9,9,25,25,22,25,28,26,8,
#predictedHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,11,11,25,25,22,25,28,26,8,
(8,2),(8,5),-0.00614969 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.211296 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.219625 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0083474 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0324808 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.127065 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0724913 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0295065 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.161244 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.122819 # DEPENDENCYPART_SIBL
(8,2),(8,21),-0.0805409 # DEPENDENCYPART_SIBL
(8,2),(8,22),0.0355003 # DEPENDENCYPART_SIBL
(8,2),(8,29),-0.0426545 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.129004 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0863495 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0817002 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0732774 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0440034 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0102037 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0462277 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.00662186 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0666782 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0229555 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.043649 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0264952 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.0212613 # DEPENDENCYPART_SIBL
(8,3),(8,29),0.0202781 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.187774 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.497854 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.503639 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0624469 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.105046 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0685261 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0521962 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0692793 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0989127 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0295684 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.0478969 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.129039 # DEPENDENCYPART_SIBL
(8,4),(8,29),0.0104872 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0044292 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.00567565 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.098696 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0213968 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0187182 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0622486 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0414375 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.00932832 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0321285 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.0188018 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.042258 # DEPENDENCYPART_SIBL
(8,5),(8,29),0.0457747 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.296042 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.184058 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0719343 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0133817 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.000699804 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0633422 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0490236 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0630936 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.0176224 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.0590424 # DEPENDENCYPART_SIBL
(8,6),(8,29),-0.0188969 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.184058 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0712392 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0133817 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.00208164 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0639277 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0490236 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0559849 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.0138478 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.059042 # DEPENDENCYPART_SIBL
(8,7),(8,29),-0.0180019 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.269598 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.869025 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.275045 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.15005 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.306166 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.153528 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.0613196 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.286804 # DEPENDENCYPART_SIBL
(8,9),(8,29),-0.0453765 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.170063 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0977288 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0326452 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.061337 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.00577563 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.0773816 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.130353 # DEPENDENCYPART_SIBL
(8,10),(8,29),-0.0748424 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.299379 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.165939 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.331986 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.173395 # DEPENDENCYPART_SIBL
(8,11),(8,21),-0.0551736 # DEPENDENCYPART_SIBL
(8,11),(8,22),-0.318904 # DEPENDENCYPART_SIBL
(8,11),(8,29),-0.0849274 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.080134 # DEPENDENCYPART_SIBL
(8,14),(8,16),0.0482497 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.102166 # DEPENDENCYPART_SIBL
(8,14),(8,21),0.0433437 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.0216089 # DEPENDENCYPART_SIBL
(8,14),(8,29),0.0471282 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0186046 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0534524 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.0234548 # DEPENDENCYPART_SIBL
(8,15),(8,22),-0.0447039 # DEPENDENCYPART_SIBL
(8,15),(8,29),-0.067101 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.152787 # DEPENDENCYPART_SIBL
(8,16),(8,21),-0.0685087 # DEPENDENCYPART_SIBL
(8,16),(8,22),-0.104268 # DEPENDENCYPART_SIBL
(8,16),(8,29),-0.019908 # DEPENDENCYPART_SIBL
(8,18),(8,21),0.00126277 # DEPENDENCYPART_SIBL
(8,18),(8,22),-0.0514043 # DEPENDENCYPART_SIBL
(8,18),(8,29),0.00461108 # DEPENDENCYPART_SIBL
(8,21),(8,22),0.460612 # DEPENDENCYPART_SIBL
(8,21),(8,29),-0.00797503 # DEPENDENCYPART_SIBL
(8,22),(8,29),-0.0416141 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.000120315 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.351805 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0555617 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0555613 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0355819 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0794899 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0894111 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.113991 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.168405 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0453415 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.147004 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0656482 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.214502 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.148353 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.123066 # DEPENDENCYPART_SIBL
(9,1),(9,24),-0.123338 # DEPENDENCYPART_SIBL
(9,1),(9,26),-0.00763621 # DEPENDENCYPART_SIBL
(9,1),(9,29),0.0392861 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0279607 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.102995 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.108779 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0255188 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.056437 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0167184 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.056544 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0292696 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0380462 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.00476947 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0680427 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.0551044 # DEPENDENCYPART_SIBL
(9,4),(9,21),0.0727693 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0350335 # DEPENDENCYPART_SIBL
(9,4),(9,24),-0.035465 # DEPENDENCYPART_SIBL
(9,4),(9,26),0.211906 # DEPENDENCYPART_SIBL
(9,4),(9,29),0.0908795 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0323043 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0335509 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.00698618 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0297848 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0617295 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0683697 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.176009 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0497814 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0685164 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0903184 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0599079 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.0118455 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.0683859 # DEPENDENCYPART_SIBL
(9,5),(9,24),-0.0732893 # DEPENDENCYPART_SIBL
(9,5),(9,26),0.0459996 # DEPENDENCYPART_SIBL
(9,5),(9,29),0.211616 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.066607 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.048156 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.095329 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0146067 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0768529 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0176783 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0142537 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0188245 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0720502 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0244902 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.0525826 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.0383966 # DEPENDENCYPART_SIBL
(9,6),(9,24),-0.0421432 # DEPENDENCYPART_SIBL
(9,6),(9,26),0.0982631 # DEPENDENCYPART_SIBL
(9,6),(9,29),0.0872928 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0481572 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0946338 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0146067 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0768529 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0162964 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0148393 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0188245 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0720502 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0173815 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.048808 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.0383962 # DEPENDENCYPART_SIBL
(9,7),(9,24),-0.0421427 # DEPENDENCYPART_SIBL
(9,7),(9,26),0.105372 # DEPENDENCYPART_SIBL
(9,7),(9,29),0.0881879 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.197818 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.165497 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.139588 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.223801 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.147998 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.118139 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.136739 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.176953 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.0755033 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.162815 # DEPENDENCYPART_SIBL
(9,8),(9,24),-0.164154 # DEPENDENCYPART_SIBL
(9,8),(9,26),-0.0457231 # DEPENDENCYPART_SIBL
(9,8),(9,29),-0.0786961 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0934624 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.156998 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.315065 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0262479 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0233556 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.164937 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.0374984 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.0435954 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.021234 # DEPENDENCYPART_SIBL
(9,10),(9,24),-0.0546813 # DEPENDENCYPART_SIBL
(9,10),(9,26),0.00068406 # DEPENDENCYPART_SIBL
(9,10),(9,29),-0.0698196 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.196984 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.328017 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.097174 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0616875 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.189334 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0798487 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.0142011 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.0389599 # DEPENDENCYPART_SIBL
(9,11),(9,24),-0.0836788 # DEPENDENCYPART_SIBL
(9,11),(9,26),-0.0967776 # DEPENDENCYPART_SIBL
(9,11),(9,29),-0.0381062 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.350675 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.194193 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.117942 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.258711 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.156178 # DEPENDENCYPART_SIBL
(9,13),(9,21),0.00752744 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.0456971 # DEPENDENCYPART_SIBL
(9,13),(9,24),-0.0915729 # DEPENDENCYPART_SIBL
(9,13),(9,26),-0.123904 # DEPENDENCYPART_SIBL
(9,13),(9,29),-0.0925889 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0448932 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.00234794 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.109983 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.0355936 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.000999584 # DEPENDENCYPART_SIBL
(9,14),(9,22),0.0591076 # DEPENDENCYPART_SIBL
(9,14),(9,24),-0.0015336 # DEPENDENCYPART_SIBL
(9,14),(9,26),-0.00721809 # DEPENDENCYPART_SIBL
(9,14),(9,29),-0.0587839 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0258677 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0947532 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.101082 # DEPENDENCYPART_SIBL
(9,15),(9,21),0.0549967 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.00969016 # DEPENDENCYPART_SIBL
(9,15),(9,24),-0.0608896 # DEPENDENCYPART_SIBL
(9,15),(9,26),-0.0522227 # DEPENDENCYPART_SIBL
(9,15),(9,29),-0.102877 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0758074 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.281285 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.00209167 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.00622688 # DEPENDENCYPART_SIBL
(9,16),(9,24),-0.0551663 # DEPENDENCYPART_SIBL
(9,16),(9,26),-0.0261938 # DEPENDENCYPART_SIBL
(9,16),(9,29),-0.0602202 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.229691 # DEPENDENCYPART_SIBL
(9,17),(9,21),-0.0981621 # DEPENDENCYPART_SIBL
(9,17),(9,22),-0.0664038 # DEPENDENCYPART_SIBL
(9,17),(9,24),-0.11228 # DEPENDENCYPART_SIBL
(9,17),(9,26),-0.179028 # DEPENDENCYPART_SIBL
(9,17),(9,29),-0.123037 # DEPENDENCYPART_SIBL
(9,18),(9,21),0.0364829 # DEPENDENCYPART_SIBL
(9,18),(9,22),-0.040725 # DEPENDENCYPART_SIBL
(9,18),(9,24),-0.0919225 # DEPENDENCYPART_SIBL
(9,18),(9,26),-0.0444798 # DEPENDENCYPART_SIBL
(9,18),(9,29),-0.105123 # DEPENDENCYPART_SIBL
(9,21),(9,22),0.87259 # DEPENDENCYPART_SIBL
(9,21),(9,24),0.745681 # DEPENDENCYPART_SIBL
(9,21),(9,26),0.288092 # DEPENDENCYPART_SIBL
(9,21),(9,29),0.0403305 # DEPENDENCYPART_SIBL
(9,22),(9,24),-0.211085 # DEPENDENCYPART_SIBL
(9,22),(9,26),-0.146737 # DEPENDENCYPART_SIBL
(9,22),(9,29),-0.087641 # DEPENDENCYPART_SIBL
(9,24),(9,26),-0.152954 # DEPENDENCYPART_SIBL
(9,24),(9,29),-0.101325 # DEPENDENCYPART_SIBL
(9,26),(9,29),-0.0560675 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0165958 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.779743 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0299767 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.117176 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.00134389 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0433878 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.105675 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.265555 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.059184 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.265394 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.122712 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.11999 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0117229 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0797558 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0327816 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0263564 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0926678 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.133609 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.00904369 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00819576 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0119522 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0170461 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.087148 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.300279 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0130825 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0677391 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.006595 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0638562 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0886174 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0257209 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.308964 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.71708 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0853157 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0915392 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.154963 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.396909 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.00651285 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.158491 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.020072 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0764513 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0239203 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0229967 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.166985 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.00235693 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.00245269 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.00218504 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.371353 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0416623 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.116144 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0523336 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0879218 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.00972697 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.196655 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.00550527 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.248297 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0844787 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.140832 # DEPENDENCYPART_SIBL
(11,1),(11,22),-0.0725326 # DEPENDENCYPART_SIBL
(11,1),(11,24),-0.0728052 # DEPENDENCYPART_SIBL
(11,1),(11,25),-0.101013 # DEPENDENCYPART_SIBL
(11,1),(11,26),0.00788033 # DEPENDENCYPART_SIBL
(11,1),(11,27),-0.0902681 # DEPENDENCYPART_SIBL
(11,1),(11,28),-0.0698674 # DEPENDENCYPART_SIBL
(11,1),(11,29),0.092539 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0830366 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0508329 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0875714 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0498915 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0280183 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.00582279 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0250318 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.062905 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.00504199 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.019792 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.0326307 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.0562275 # DEPENDENCYPART_SIBL
(11,4),(11,24),-0.056659 # DEPENDENCYPART_SIBL
(11,4),(11,25),0.0322417 # DEPENDENCYPART_SIBL
(11,4),(11,26),0.126586 # DEPENDENCYPART_SIBL
(11,4),(11,27),0.00673862 # DEPENDENCYPART_SIBL
(11,4),(11,28),0.0026456 # DEPENDENCYPART_SIBL
(11,4),(11,29),0.0500298 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0384557 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0626581 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0280128 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0663364 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0150954 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0403806 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0514763 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0522391 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0487979 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.0271105 # DEPENDENCYPART_SIBL
(11,5),(11,22),-0.0261656 # DEPENDENCYPART_SIBL
(11,5),(11,24),-0.031069 # DEPENDENCYPART_SIBL
(11,5),(11,25),-0.0402351 # DEPENDENCYPART_SIBL
(11,5),(11,26),0.0429236 # DEPENDENCYPART_SIBL
(11,5),(11,27),0.103968 # DEPENDENCYPART_SIBL
(11,5),(11,28),-0.0813049 # DEPENDENCYPART_SIBL
(11,5),(11,29),0.205332 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0678576 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0593525 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0198616 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.025802 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0171102 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0560646 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0466848 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0491499 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.00374803 # DEPENDENCYPART_SIBL
(11,7),(11,22),-0.0469606 # DEPENDENCYPART_SIBL
(11,7),(11,24),-0.0507072 # DEPENDENCYPART_SIBL
(11,7),(11,25),0.0290167 # DEPENDENCYPART_SIBL
(11,7),(11,26),0.06124 # DEPENDENCYPART_SIBL
(11,7),(11,27),0.00238198 # DEPENDENCYPART_SIBL
(11,7),(11,28),-0.0390635 # DEPENDENCYPART_SIBL
(11,7),(11,29),0.0628176 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0737777 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.272092 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0892836 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0236616 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0742749 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0485487 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.167325 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.051323 # DEPENDENCYPART_SIBL
(11,12),(11,22),-0.0702676 # DEPENDENCYPART_SIBL
(11,12),(11,24),-0.115857 # DEPENDENCYPART_SIBL
