# _root_ `` It does n't replace pitching in the majors , but it proves to me that I would have been able to play if I 'd stayed healthy , '' he says .
#goldHeads=32,3,11,3,3,5,6,9,7,11,32,13,11,13,14,18,18,13,18,19,20,23,21,26,26,20,26,27,32,32,32,0,32,
#predictedHeads=32,3,11,3,3,5,6,9,7,11,32,13,11,13,14,18,18,13,18,19,20,23,21,26,26,23,26,27,32,32,32,0,32,
(6,13),(13,14),(13,27),-0.0138998 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,14),(13,29),0.00218742 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,14),(13,30),-0.0253643 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,14),(13,32),-0.00991147 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,14),(13,33),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,14),(13,34),-0.0260395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,16),(13,18),-0.0235314 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,19),-0.0245601 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,20),-0.0289157 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,21),-0.0293546 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,22),-0.04751 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,23),-0.0282551 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,26),-0.0208276 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,27),-0.0282551 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,29),0.0510898 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,30),-0.0200642 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,32),-0.0295542 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,33),-0.0302553 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,16),(13,34),0.036177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,18),(13,19),-0.0160902 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,18),(13,20),-0.0160895 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,18),(13,21),-0.0194507 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,18),(13,22),-0.0194731 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,18),(13,23),-0.0160893 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,18),(13,26),-0.0207242 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,18),(13,27),-0.0160893 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,18),(13,29),-0.0319249 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,18),(13,30),-0.0219709 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,18),(13,32),-0.0160893 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,18),(13,33),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,18),(13,34),-0.0191362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,19),(13,20),0.00309011 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,19),(13,21),-0.0229142 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,19),(13,22),-0.0221906 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,19),(13,23),0.00343465 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,19),(13,26),-0.0200862 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,19),(13,27),0.00343465 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,19),(13,29),0.000196626 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,19),(13,30),-0.0135437 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,19),(13,32),0.00338912 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,19),(13,33),-0.00266793 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,19),(13,34),-0.0482287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,20),(13,21),-0.0229142 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,20),(13,22),-0.0221843 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,20),(13,23),0.00441607 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,20),(13,26),-0.0200656 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,20),(13,27),0.00441607 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,20),(13,29),-0.0053205 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,20),(13,30),-0.0136561 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,20),(13,32),0.00437053 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,20),(13,33),0.00046432 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,20),(13,34),-0.0486964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,21),(13,22),-0.0284743 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,21),(13,23),-0.0239641 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,21),(13,26),-0.0173827 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,21),(13,27),-0.0239641 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,21),(13,29),0.00369511 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,21),(13,30),-0.031954 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,21),(13,32),-0.0239879 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,21),(13,33),-0.0198773 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,21),(13,34),0.000227087 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,22),(13,23),-0.0138998 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,22),(13,26),-0.017449 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,22),(13,27),-0.0138998 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,22),(13,29),0.00218742 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,22),(13,30),-0.0253643 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,22),(13,32),-0.00991147 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,22),(13,33),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,22),(13,34),-0.0260395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,23),(13,26),-0.0200656 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,23),(13,27),0.00511672 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,23),(13,29),-0.00709009 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,23),(13,30),-0.0132542 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,23),(13,32),0.00507119 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,23),(13,33),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,23),(13,34),-0.0412388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,26),(13,27),-0.0158915 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,26),(13,29),-0.0302722 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,26),(13,30),-0.0214484 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,26),(13,32),-0.0158915 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,26),(13,33),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,26),(13,34),-0.025718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,27),(13,29),-0.00696774 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,27),(13,30),-0.0132525 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,27),(13,32),0.00509063 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,27),(13,33),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,27),(13,34),-0.0420361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,29),(13,30),-0.0134911 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,29),(13,32),0.0506199 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,29),(13,33),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,29),(13,34),0.107585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,30),(13,32),0.0160056 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,30),(13,33),-0.0195097 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,30),(13,34),-0.049896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,32),(13,33),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,32),(13,34),-0.0479614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,33),(13,34),-0.0327537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,13),(13,12),0.0945546 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,11),0.0365394 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,10),0.112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,9),0.152269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,8),0.0769339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,7),-0.0437149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,6),0.138962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,5),-0.135038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,4),-0.148897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,3),-0.135053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,2),-0.161264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,1),-0.144714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,13),(13,-1),-0.240824 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,13),(13,12),(13,11),0.0995879 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,12),(13,10),0.11592 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,12),(13,9),0.0923174 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,12),(13,8),0.107017 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,12),(13,7),0.145472 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,12),(13,6),0.113216 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,12),(13,5),-0.145421 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,12),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,12),(13,3),-0.145467 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,12),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,12),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,12),(13,-1),-0.128122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,11),(13,10),0.0785255 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,11),(13,9),0.115572 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,11),(13,8),0.368604 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,11),(13,7),0.397306 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,11),(13,6),0.225909 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,11),(13,5),-0.023825 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,11),(13,4),0.00324217 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,11),(13,3),-0.0698812 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,11),(13,2),-0.0341654 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,11),(13,1),-0.0932509 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,11),(13,-1),-0.206858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,10),(13,9),0.120038 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,10),(13,8),0.107178 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,10),(13,7),0.0671125 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,10),(13,6),0.136635 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,10),(13,5),-0.160163 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,10),(13,4),-0.145044 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,10),(13,3),-0.160164 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,10),(13,2),-0.144716 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,10),(13,1),-0.14564 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,10),(13,-1),-0.118072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,9),(13,8),0.136005 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,9),(13,7),0.204186 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,9),(13,6),0.104629 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,9),(13,5),-0.143839 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,9),(13,4),-0.145272 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,9),(13,3),-0.14409 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,9),(13,2),-0.145122 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,9),(13,1),-0.14531 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,9),(13,-1),-0.162463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,8),(13,7),0.120528 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,8),(13,6),0.107363 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,8),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,8),(13,4),-0.144762 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,8),(13,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,8),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,8),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,8),(13,-1),-0.141024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,7),(13,6),0.10806 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,7),(13,5),-0.146593 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,7),(13,4),-0.145178 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,7),(13,3),-0.146593 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,7),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,7),(13,1),-0.144762 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,7),(13,-1),-0.134966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,6),(13,5),-0.145075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,6),(13,4),-0.144838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,6),(13,3),-0.145075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,6),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,6),(13,1),-0.146529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,13),(13,6),(13,-1),-0.142265 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,13),(13,5),(13,4),-0.144838 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,5),(13,3),-0.145075 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,5),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,5),(13,1),-0.146529 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,5),(13,-1),-0.143213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,4),(13,3),-0.145131 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,4),(13,2),-0.145136 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,4),(13,1),-0.144846 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,4),(13,-1),-0.182781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,3),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,3),(13,1),-0.146529 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,3),(13,-1),-0.142651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,2),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,13),(13,2),(13,-1),-0.128122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,13),(13,1),(13,-1),-0.105741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,14),(14,15),0.0304194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,16),-0.0178757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,22),-0.0223615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,14),(14,14),(14,34),-0.10671 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,14),(14,15),(14,16),-0.0203631 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,15),(14,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,15),(14,34),0.0339346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,16),(14,22),-0.0196652 # DEPENDENCYPART_GRANDSIBL
(6,14),(14,16),(14,34),-0.0371771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,22),(14,34),-0.0314328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,14),(14,14),(14,-1),0.129783 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,18),(18,18),(18,19),-0.0273441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,20),-0.0232998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,23),-0.0218809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,24),-0.0399547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,26),-0.0277385 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,29),-0.0370277 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,30),-0.0202978 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,33),-0.0226114 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,34),-0.102246 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,18),(18,19),(18,20),-0.0235323 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,19),(18,23),-0.0233035 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,19),(18,24),-0.0131491 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,19),(18,26),-0.0205629 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,19),(18,29),-0.0416665 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,19),(18,30),-0.0223961 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,19),(18,33),-0.0235956 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,19),(18,34),0.0473204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,20),(18,23),-0.0229158 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,20),(18,24),-0.0130883 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,20),(18,26),-0.0205624 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,20),(18,29),-0.0396342 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,20),(18,30),-0.022396 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,20),(18,33),-0.0235939 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,20),(18,34),0.0511263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,23),(18,24),-0.0130883 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,23),(18,26),-0.0205624 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,23),(18,29),-0.039743 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,23),(18,30),-0.022396 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,23),(18,33),-0.0235939 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,23),(18,34),0.0528791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,24),(18,26),-0.0154107 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,24),(18,29),-0.0171792 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,24),(18,30),-0.0199997 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,24),(18,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,24),(18,34),-0.0255029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,26),(18,29),-0.0194995 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,26),(18,30),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,26),(18,33),-0.0194459 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,26),(18,34),-0.0207315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,29),(18,30),-0.0132336 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,29),(18,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,29),(18,34),-0.030166 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,30),(18,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,30),(18,34),-0.0128804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,33),(18,34),-0.0186236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,18),(18,17),0.182276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,16),0.0179508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,15),0.172756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,13),0.107935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,11),0.112594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,10),0.0726929 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,9),0.174403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,8),0.122271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,7),0.029717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,6),0.107935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,5),-0.153077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,4),-0.145798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,3),-0.153077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,18),(18,18),(18,-1),-0.319016 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,18),(18,17),(18,16),0.126592 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,15),0.103054 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,13),0.107087 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,11),0.104338 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,10),0.089444 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,9),0.105295 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,8),0.109536 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,7),0.127451 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,6),0.107087 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,5),-0.144932 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,3),-0.144932 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,17),(18,-1),-0.0989363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,16),(18,15),0.106712 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,13),0.105474 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,11),0.108657 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,10),0.0732196 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,9),0.0937607 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,8),0.112102 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,7),0.132366 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,6),0.105474 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,16),(18,-1),-0.00876406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,15),(18,13),0.106684 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,15),(18,11),0.104753 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,15),(18,10),0.0892274 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,15),(18,9),0.105328 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,15),(18,8),0.109536 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,15),(18,7),0.126758 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,15),(18,6),0.106684 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,15),(18,5),-0.144932 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,15),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,15),(18,3),-0.144932 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,15),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,15),(18,-1),-0.0993787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,18),(18,13),(18,11),0.11315 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,13),(18,10),0.153632 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,13),(18,9),0.0998389 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,13),(18,8),0.103733 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,13),(18,7),0.11722 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,13),(18,6),0.102822 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,13),(18,5),-0.144713 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,13),(18,4),-0.144797 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,13),(18,3),-0.144713 # DEPENDENCYPART_GRANDSIBL
(6,18),(18,13),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
