# _root_ With no petroleum-related news or changes in the fundamentals to dictate price moves , `` technicians are wanting to sell this stuff , '' said Eric Bolling of Edge Trading Corp .
#goldHeads=17,4,4,5,1,5,6,9,7,11,5,13,11,17,17,17,25,17,20,18,22,20,25,25,0,27,25,27,31,31,28,25,
#predictedHeads=17,5,5,5,1,5,6,9,7,11,9,13,11,17,17,17,25,17,20,18,22,20,25,25,0,27,25,27,31,31,28,25,
(25,11),(25,29),0.0311358 # DEPENDENCYPART_SIBL
(25,11),(25,30),0.024758 # DEPENDENCYPART_SIBL
(25,11),(25,31),0.0277666 # DEPENDENCYPART_SIBL
(25,11),(25,32),0.0246532 # DEPENDENCYPART_SIBL
(25,13),(25,14),-0.0119762 # DEPENDENCYPART_SIBL
(25,13),(25,15),-0.0325368 # DEPENDENCYPART_SIBL
(25,13),(25,16),-0.134403 # DEPENDENCYPART_SIBL
(25,13),(25,17),-0.0177719 # DEPENDENCYPART_SIBL
(25,13),(25,18),-0.0129881 # DEPENDENCYPART_SIBL
(25,13),(25,19),-0.0118868 # DEPENDENCYPART_SIBL
(25,13),(25,20),-0.0197802 # DEPENDENCYPART_SIBL
(25,13),(25,21),-0.123746 # DEPENDENCYPART_SIBL
(25,13),(25,22),-0.135373 # DEPENDENCYPART_SIBL
(25,13),(25,23),-0.0119762 # DEPENDENCYPART_SIBL
(25,13),(25,24),-0.072729 # DEPENDENCYPART_SIBL
(25,13),(25,26),-0.117985 # DEPENDENCYPART_SIBL
(25,13),(25,27),-0.117982 # DEPENDENCYPART_SIBL
(25,13),(25,28),0.00905053 # DEPENDENCYPART_SIBL
(25,13),(25,29),-0.115401 # DEPENDENCYPART_SIBL
(25,13),(25,30),-0.114159 # DEPENDENCYPART_SIBL
(25,13),(25,31),-0.125101 # DEPENDENCYPART_SIBL
(25,13),(25,32),0.0349227 # DEPENDENCYPART_SIBL
(25,14),(25,15),-0.0113432 # DEPENDENCYPART_SIBL
(25,14),(25,16),0.00396329 # DEPENDENCYPART_SIBL
(25,14),(25,17),-0.00624914 # DEPENDENCYPART_SIBL
(25,14),(25,18),0.0108788 # DEPENDENCYPART_SIBL
(25,14),(25,19),-0.0547726 # DEPENDENCYPART_SIBL
(25,14),(25,20),0.0195548 # DEPENDENCYPART_SIBL
(25,14),(25,21),0.0354524 # DEPENDENCYPART_SIBL
(25,14),(25,22),0.00299666 # DEPENDENCYPART_SIBL
(25,14),(25,23),-0.0351173 # DEPENDENCYPART_SIBL
(25,14),(25,24),0.0525921 # DEPENDENCYPART_SIBL
(25,14),(25,26),0.0214372 # DEPENDENCYPART_SIBL
(25,14),(25,27),0.0214372 # DEPENDENCYPART_SIBL
(25,14),(25,28),-0.0244597 # DEPENDENCYPART_SIBL
(25,14),(25,29),0.0190979 # DEPENDENCYPART_SIBL
(25,14),(25,30),0.0102196 # DEPENDENCYPART_SIBL
(25,14),(25,31),0.0127006 # DEPENDENCYPART_SIBL
(25,14),(25,32),0.0325208 # DEPENDENCYPART_SIBL
(25,15),(25,16),-0.0353836 # DEPENDENCYPART_SIBL
(25,15),(25,17),0.048006 # DEPENDENCYPART_SIBL
(25,15),(25,18),0.0068165 # DEPENDENCYPART_SIBL
(25,15),(25,19),-0.0218995 # DEPENDENCYPART_SIBL
(25,15),(25,20),-0.00230784 # DEPENDENCYPART_SIBL
(25,15),(25,21),-0.0525051 # DEPENDENCYPART_SIBL
(25,15),(25,22),-0.0363522 # DEPENDENCYPART_SIBL
(25,15),(25,23),0.0723889 # DEPENDENCYPART_SIBL
(25,15),(25,24),0.454982 # DEPENDENCYPART_SIBL
(25,15),(25,26),-0.00934286 # DEPENDENCYPART_SIBL
(25,15),(25,27),-0.00934286 # DEPENDENCYPART_SIBL
(25,15),(25,28),0.0733133 # DEPENDENCYPART_SIBL
(25,15),(25,29),-0.00784027 # DEPENDENCYPART_SIBL
(25,15),(25,30),-0.0142602 # DEPENDENCYPART_SIBL
(25,15),(25,31),-0.0113154 # DEPENDENCYPART_SIBL
(25,15),(25,32),0.0275365 # DEPENDENCYPART_SIBL
(25,16),(25,17),-0.0172332 # DEPENDENCYPART_SIBL
(25,16),(25,18),-0.0124474 # DEPENDENCYPART_SIBL
(25,16),(25,19),-0.00824911 # DEPENDENCYPART_SIBL
(25,16),(25,20),-0.0192394 # DEPENDENCYPART_SIBL
(25,16),(25,21),-0.123499 # DEPENDENCYPART_SIBL
(25,16),(25,22),-0.134819 # DEPENDENCYPART_SIBL
(25,16),(25,23),-0.0101712 # DEPENDENCYPART_SIBL
(25,16),(25,24),-0.0724827 # DEPENDENCYPART_SIBL
(25,16),(25,26),-0.129593 # DEPENDENCYPART_SIBL
(25,16),(25,27),-0.12959 # DEPENDENCYPART_SIBL
(25,16),(25,28),-0.0124787 # DEPENDENCYPART_SIBL
(25,16),(25,29),-0.127009 # DEPENDENCYPART_SIBL
(25,16),(25,30),-0.125766 # DEPENDENCYPART_SIBL
(25,16),(25,31),-0.136709 # DEPENDENCYPART_SIBL
(25,16),(25,32),0.022475 # DEPENDENCYPART_SIBL
(25,17),(25,18),-0.0748907 # DEPENDENCYPART_SIBL
(25,17),(25,19),-0.0121958 # DEPENDENCYPART_SIBL
(25,17),(25,20),-0.0739742 # DEPENDENCYPART_SIBL
(25,17),(25,21),-0.0422508 # DEPENDENCYPART_SIBL
(25,17),(25,22),-0.0275896 # DEPENDENCYPART_SIBL
(25,17),(25,23),0.0454045 # DEPENDENCYPART_SIBL
(25,17),(25,24),0.00175152 # DEPENDENCYPART_SIBL
(25,17),(25,26),0.0433934 # DEPENDENCYPART_SIBL
(25,17),(25,27),0.0433933 # DEPENDENCYPART_SIBL
(25,17),(25,28),-0.00208541 # DEPENDENCYPART_SIBL
(25,17),(25,29),0.0438621 # DEPENDENCYPART_SIBL
(25,17),(25,30),0.0354784 # DEPENDENCYPART_SIBL
(25,17),(25,31),0.0404687 # DEPENDENCYPART_SIBL
(25,17),(25,32),0.0827037 # DEPENDENCYPART_SIBL
(25,18),(25,19),-0.029626 # DEPENDENCYPART_SIBL
(25,18),(25,20),-0.0887153 # DEPENDENCYPART_SIBL
(25,18),(25,21),-0.0634555 # DEPENDENCYPART_SIBL
(25,18),(25,22),-0.0344115 # DEPENDENCYPART_SIBL
(25,18),(25,23),0.00464785 # DEPENDENCYPART_SIBL
(25,18),(25,24),-0.0296108 # DEPENDENCYPART_SIBL
(25,18),(25,26),0.0306648 # DEPENDENCYPART_SIBL
(25,18),(25,27),0.0306648 # DEPENDENCYPART_SIBL
(25,18),(25,28),0.0240488 # DEPENDENCYPART_SIBL
(25,18),(25,29),0.0311358 # DEPENDENCYPART_SIBL
(25,18),(25,30),0.024758 # DEPENDENCYPART_SIBL
(25,18),(25,31),0.0277666 # DEPENDENCYPART_SIBL
(25,18),(25,32),0.0210296 # DEPENDENCYPART_SIBL
(25,19),(25,20),-0.0376575 # DEPENDENCYPART_SIBL
(25,19),(25,21),-0.0278947 # DEPENDENCYPART_SIBL
(25,19),(25,22),-0.0338502 # DEPENDENCYPART_SIBL
(25,19),(25,23),0.0340735 # DEPENDENCYPART_SIBL
(25,19),(25,24),-0.0227259 # DEPENDENCYPART_SIBL
(25,19),(25,26),0.00448 # DEPENDENCYPART_SIBL
(25,19),(25,27),0.00448 # DEPENDENCYPART_SIBL
(25,19),(25,28),-0.0326211 # DEPENDENCYPART_SIBL
(25,19),(25,29),0.00589233 # DEPENDENCYPART_SIBL
(25,19),(25,30),0.000588907 # DEPENDENCYPART_SIBL
(25,19),(25,31),0.00182366 # DEPENDENCYPART_SIBL
(25,19),(25,32),-0.260916 # DEPENDENCYPART_SIBL
(25,20),(25,21),-0.0768098 # DEPENDENCYPART_SIBL
(25,20),(25,22),-0.0512115 # DEPENDENCYPART_SIBL
(25,20),(25,23),-0.0274738 # DEPENDENCYPART_SIBL
(25,20),(25,24),-0.048003 # DEPENDENCYPART_SIBL
(25,20),(25,26),0.0100581 # DEPENDENCYPART_SIBL
(25,20),(25,27),0.010058 # DEPENDENCYPART_SIBL
(25,20),(25,28),0.00217332 # DEPENDENCYPART_SIBL
(25,20),(25,29),0.0105291 # DEPENDENCYPART_SIBL
(25,20),(25,30),0.00415072 # DEPENDENCYPART_SIBL
(25,20),(25,31),0.00715983 # DEPENDENCYPART_SIBL
(25,20),(25,32),-0.00724658 # DEPENDENCYPART_SIBL
(25,21),(25,22),-0.0739423 # DEPENDENCYPART_SIBL
(25,21),(25,23),-0.149136 # DEPENDENCYPART_SIBL
(25,21),(25,24),-0.0761128 # DEPENDENCYPART_SIBL
(25,21),(25,26),0.0131156 # DEPENDENCYPART_SIBL
(25,21),(25,27),0.0131156 # DEPENDENCYPART_SIBL
(25,21),(25,28),0.10248 # DEPENDENCYPART_SIBL
(25,21),(25,29),0.0146181 # DEPENDENCYPART_SIBL
(25,21),(25,30),0.0100479 # DEPENDENCYPART_SIBL
(25,21),(25,31),0.0101339 # DEPENDENCYPART_SIBL
(25,21),(25,32),0.0910173 # DEPENDENCYPART_SIBL
(25,22),(25,23),-0.00979633 # DEPENDENCYPART_SIBL
(25,22),(25,24),-0.0721497 # DEPENDENCYPART_SIBL
(25,22),(25,26),-0.133624 # DEPENDENCYPART_SIBL
(25,22),(25,27),-0.133621 # DEPENDENCYPART_SIBL
(25,22),(25,28),-0.0198194 # DEPENDENCYPART_SIBL
(25,22),(25,29),-0.13104 # DEPENDENCYPART_SIBL
(25,22),(25,30),-0.129797 # DEPENDENCYPART_SIBL
(25,22),(25,31),-0.14074 # DEPENDENCYPART_SIBL
(25,22),(25,32),0.0166535 # DEPENDENCYPART_SIBL
(25,23),(25,24),0.0525921 # DEPENDENCYPART_SIBL
(25,23),(25,26),0.0214372 # DEPENDENCYPART_SIBL
(25,23),(25,27),0.0214372 # DEPENDENCYPART_SIBL
(25,23),(25,28),-0.0244597 # DEPENDENCYPART_SIBL
(25,23),(25,29),0.0190979 # DEPENDENCYPART_SIBL
(25,23),(25,30),0.0102196 # DEPENDENCYPART_SIBL
(25,23),(25,31),0.0127006 # DEPENDENCYPART_SIBL
(25,23),(25,32),0.0325208 # DEPENDENCYPART_SIBL
(25,24),(25,26),0.0674428 # DEPENDENCYPART_SIBL
(25,24),(25,27),0.0674428 # DEPENDENCYPART_SIBL
(25,24),(25,28),0.0772666 # DEPENDENCYPART_SIBL
(25,24),(25,29),0.0689454 # DEPENDENCYPART_SIBL
(25,24),(25,30),0.0724636 # DEPENDENCYPART_SIBL
(25,24),(25,31),0.0654725 # DEPENDENCYPART_SIBL
(25,24),(25,32),0.067513 # DEPENDENCYPART_SIBL
(25,26),(25,27),-0.065323 # DEPENDENCYPART_SIBL
(25,26),(25,28),-0.0569943 # DEPENDENCYPART_SIBL
(25,26),(25,29),-0.0630931 # DEPENDENCYPART_SIBL
(25,26),(25,30),-0.0901926 # DEPENDENCYPART_SIBL
(25,26),(25,31),-0.0739715 # DEPENDENCYPART_SIBL
(25,26),(25,32),-0.0435331 # DEPENDENCYPART_SIBL
(25,27),(25,28),-0.0569921 # DEPENDENCYPART_SIBL
(25,27),(25,29),-0.0630905 # DEPENDENCYPART_SIBL
(25,27),(25,30),-0.0901899 # DEPENDENCYPART_SIBL
(25,27),(25,31),-0.0739689 # DEPENDENCYPART_SIBL
(25,27),(25,32),-0.0435331 # DEPENDENCYPART_SIBL
(25,28),(25,29),-0.00874308 # DEPENDENCYPART_SIBL
(25,28),(25,30),-0.0360215 # DEPENDENCYPART_SIBL
(25,28),(25,31),-0.0133315 # DEPENDENCYPART_SIBL
(25,28),(25,32),-0.0471328 # DEPENDENCYPART_SIBL
(25,29),(25,30),-0.0883967 # DEPENDENCYPART_SIBL
(25,29),(25,31),-0.0721757 # DEPENDENCYPART_SIBL
(25,29),(25,32),-0.0418149 # DEPENDENCYPART_SIBL
(25,30),(25,31),-0.0628196 # DEPENDENCYPART_SIBL
(25,30),(25,32),-0.0437572 # DEPENDENCYPART_SIBL
(25,31),(25,32),-0.0511308 # DEPENDENCYPART_SIBL
(26,27),(26,28),-0.00391977 # DEPENDENCYPART_SIBL
(26,27),(26,31),-0.0258195 # DEPENDENCYPART_SIBL
(26,28),(26,31),0.0128093 # DEPENDENCYPART_SIBL
(27,21),(27,22),-0.109269 # DEPENDENCYPART_SIBL
(27,21),(27,24),0.158669 # DEPENDENCYPART_SIBL
(27,21),(27,25),0.0356591 # DEPENDENCYPART_SIBL
(27,21),(27,26),-0.108564 # DEPENDENCYPART_SIBL
(27,21),(27,28),-0.0687406 # DEPENDENCYPART_SIBL
(27,21),(27,29),-0.114233 # DEPENDENCYPART_SIBL
(27,21),(27,30),-0.141077 # DEPENDENCYPART_SIBL
(27,21),(27,31),-0.131221 # DEPENDENCYPART_SIBL
(27,21),(27,32),-0.0869284 # DEPENDENCYPART_SIBL
(27,22),(27,24),0.188188 # DEPENDENCYPART_SIBL
(27,22),(27,25),0.0320633 # DEPENDENCYPART_SIBL
(27,22),(27,26),0.0204825 # DEPENDENCYPART_SIBL
(27,22),(27,28),0.00993494 # DEPENDENCYPART_SIBL
(27,22),(27,29),0.0161719 # DEPENDENCYPART_SIBL
(27,22),(27,30),0.0227439 # DEPENDENCYPART_SIBL
(27,22),(27,31),-0.0146188 # DEPENDENCYPART_SIBL
(27,22),(27,32),0.0142311 # DEPENDENCYPART_SIBL
(27,24),(27,25),-0.00944665 # DEPENDENCYPART_SIBL
(27,24),(27,26),-0.00996617 # DEPENDENCYPART_SIBL
(27,24),(27,28),-0.0160198 # DEPENDENCYPART_SIBL
(27,24),(27,29),-0.00309931 # DEPENDENCYPART_SIBL
(27,24),(27,30),-0.00477281 # DEPENDENCYPART_SIBL
(27,24),(27,31),-0.0180695 # DEPENDENCYPART_SIBL
(27,24),(27,32),0.0294659 # DEPENDENCYPART_SIBL
(27,25),(27,26),-0.012446 # DEPENDENCYPART_SIBL
(27,25),(27,28),-0.0194848 # DEPENDENCYPART_SIBL
(27,25),(27,29),-0.0163048 # DEPENDENCYPART_SIBL
(27,25),(27,30),-0.0278284 # DEPENDENCYPART_SIBL
(27,25),(27,31),-0.030741 # DEPENDENCYPART_SIBL
(27,25),(27,32),0.0533309 # DEPENDENCYPART_SIBL
(27,26),(27,28),0.0121502 # DEPENDENCYPART_SIBL
(27,26),(27,29),0.0157022 # DEPENDENCYPART_SIBL
(27,26),(27,30),0.0222743 # DEPENDENCYPART_SIBL
(27,26),(27,31),-0.0150884 # DEPENDENCYPART_SIBL
(27,26),(27,32),0.0151357 # DEPENDENCYPART_SIBL
(27,28),(27,29),0.0241616 # DEPENDENCYPART_SIBL
(27,28),(27,30),0.0156078 # DEPENDENCYPART_SIBL
(27,28),(27,31),0.0128093 # DEPENDENCYPART_SIBL
(27,28),(27,32),-0.0331566 # DEPENDENCYPART_SIBL
(27,29),(27,30),-0.0178621 # DEPENDENCYPART_SIBL
(27,29),(27,31),-0.025821 # DEPENDENCYPART_SIBL
(27,29),(27,32),0.0254315 # DEPENDENCYPART_SIBL
(27,30),(27,31),-0.00580905 # DEPENDENCYPART_SIBL
(27,30),(27,32),0.0602414 # DEPENDENCYPART_SIBL
(27,31),(27,32),0.00831521 # DEPENDENCYPART_SIBL
(28,29),(28,30),-0.115521 # DEPENDENCYPART_SIBL
(28,29),(28,31),-0.125888 # DEPENDENCYPART_SIBL
(28,30),(28,31),-0.130446 # DEPENDENCYPART_SIBL
(29,30),(29,31),-0.00580913 # DEPENDENCYPART_SIBL
(30,26),(30,29),0.0420526 # DEPENDENCYPART_SIBL
(30,26),(30,31),-0.0596026 # DEPENDENCYPART_SIBL
(30,29),(30,31),-0.0553138 # DEPENDENCYPART_SIBL
(31,22),(31,26),0.0118788 # DEPENDENCYPART_SIBL
(31,22),(31,27),0.00923634 # DEPENDENCYPART_SIBL
(31,22),(31,29),0.00988584 # DEPENDENCYPART_SIBL
(31,22),(31,30),-0.00902284 # DEPENDENCYPART_SIBL
(31,22),(31,32),0.0589618 # DEPENDENCYPART_SIBL
(31,26),(31,27),0.0110136 # DEPENDENCYPART_SIBL
(31,26),(31,29),0.0116631 # DEPENDENCYPART_SIBL
(31,26),(31,30),-0.00724556 # DEPENDENCYPART_SIBL
(31,26),(31,32),0.0598664 # DEPENDENCYPART_SIBL
(31,27),(31,29),0.00989102 # DEPENDENCYPART_SIBL
(31,27),(31,30),-0.00901766 # DEPENDENCYPART_SIBL
(31,27),(31,32),0.0604859 # DEPENDENCYPART_SIBL
(31,29),(31,30),-0.00918206 # DEPENDENCYPART_SIBL
(31,29),(31,32),0.0639566 # DEPENDENCYPART_SIBL
(31,30),(31,32),0.0390585 # DEPENDENCYPART_SIBL
(32,27),(32,31),0.0180153 # DEPENDENCYPART_SIBL
(0,0),(0,5),-0.237446 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,17),0.316084 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,25),0.888203 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,33),-0.8895 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,5),(0,17),-1.28758 # DEPENDENCYPART_NEXTSIBL
(0,5),(0,25),-1.38247 # DEPENDENCYPART_NEXTSIBL
(0,5),(0,33),-1.28077 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,17),(0,25),-0.88215 # DEPENDENCYPART_NEXTSIBL
(0,17),(0,33),-0.205908 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,25),(0,33),-0.400708 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.36849 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.568071 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.416395 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,4),-0.0480189 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,5),0.0175013 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,6),-0.0538109 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,7),-0.422564 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,9),-0.223116 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,10),-0.326214 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,13),-0.277937 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,17),-0.0103221 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,18),0.223592 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,25),0.479046 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,33),-0.735615 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-1.0289 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,4),-1.07946 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,5),-1.0913 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,6),-1.07743 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,7),-1.18097 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,9),-1.1008 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,10),-0.9904 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,13),-1.20311 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,17),-1.27562 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,18),-1.26185 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,25),-1.28661 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,33),-0.883041 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,3),(1,4),-0.901513 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,5),-0.922737 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,6),-1.14252 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,7),-0.942908 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,9),-1.14995 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,10),-0.669364 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,13),-1.30848 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,17),-0.750671 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,18),-0.701964 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,25),-0.534611 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,33),-0.866393 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,4),(1,5),-1.3195 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,6),-1.2774 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,7),-0.579691 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,9),-1.30158 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,10),-0.757893 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,13),-1.50719 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,17),-1.22022 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,18),-1.17939 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,25),-1.08866 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,33),-0.609318 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,5),(1,6),-1.16644 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,7),-0.845354 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,9),-1.10634 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,10),-0.726725 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,13),-1.09832 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,17),-1.15882 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,18),-1.10142 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,25),-1.28933 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,33),-1.06281 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,6),(1,7),-0.423926 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,9),-1.01127 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,10),-0.535784 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,13),-1.15433 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,17),-0.800742 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,18),-0.741667 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,25),-0.589455 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,33),-0.537293 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,7),(1,9),-0.765813 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,10),-0.629795 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,13),-0.680633 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,17),-0.740829 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,18),-0.937431 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,25),-1.01978 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,33),-0.991042 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,9),(1,10),-0.644847 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,13),-1.29979 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,17),-0.993104 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,18),-0.928733 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,25),-0.865698 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,33),-0.785178 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,10),(1,13),-0.929262 # DEPENDENCYPART_NEXTSIBL
(1,10),(1,17),-1.03096 # DEPENDENCYPART_NEXTSIBL
(1,10),(1,18),-0.939085 # DEPENDENCYPART_NEXTSIBL
(1,10),(1,25),-0.806486 # DEPENDENCYPART_NEXTSIBL
(1,10),(1,33),-0.696837 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,13),(1,17),-0.959834 # DEPENDENCYPART_NEXTSIBL
(1,13),(1,18),-0.990473 # DEPENDENCYPART_NEXTSIBL
(1,13),(1,25),-0.781577 # DEPENDENCYPART_NEXTSIBL
(1,13),(1,33),-0.419353 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,17),(1,18),-0.87858 # DEPENDENCYPART_NEXTSIBL
(1,17),(1,25),-0.858387 # DEPENDENCYPART_NEXTSIBL
(1,17),(1,33),-0.55622 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,18),(1,25),-1.09313 # DEPENDENCYPART_NEXTSIBL
(1,18),(1,33),-0.552281 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,25),(1,33),-0.860395 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.18022 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.438656 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,4),-0.201794 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,33),-0.358888 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,3),(2,4),-0.902613 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,33),-0.86084 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,4),(2,33),-0.791271 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.980902 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.268532 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.349834 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.18594 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,6),-0.185231 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,7),-0.250061 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,33),-0.322308 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,6),-1.23002 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,7),-0.569878 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,33),-0.802488 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,6),(3,7),-0.415343 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,33),-0.728568 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,7),(3,33),-0.834731 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-0.444041 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-0.954423 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-0.330488 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.606219 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.756179 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),-0.281234 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,5),-0.180718 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,6),-0.250738 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,7),-0.185225 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,9),-0.416931 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,10),-0.307763 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,11),-0.0299843 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,33),-0.326418 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,6),-1.13832 # DEPENDENCYPART_NEXTSIBL
