# _root_ `` We 've started trying just about anything to keep sales moving in the stores , '' says Kim Renk , a Swank vice president .
#goldHeads=18,3,18,3,4,8,8,5,10,5,12,10,12,15,13,18,18,0,20,18,20,25,25,25,20,18,
#predictedHeads=18,3,18,3,4,7,5,7,10,8,12,10,12,15,13,18,18,0,20,18,20,25,25,25,20,18,
(6,11),(11,13),-0.210784 # DEPENDENCYPART_GRANDPAR
(6,11),(11,15),-0.371651 # DEPENDENCYPART_GRANDPAR
(6,11),(11,16),-0.150651 # DEPENDENCYPART_GRANDPAR
(6,11),(11,20),-0.585303 # DEPENDENCYPART_GRANDPAR
(6,11),(11,21),-0.368144 # DEPENDENCYPART_GRANDPAR
(6,11),(11,25),-0.737387 # DEPENDENCYPART_GRANDPAR
(6,13),(13,9),0.142809 # DEPENDENCYPART_GRANDPAR
(6,13),(13,11),-0.223394 # DEPENDENCYPART_GRANDPAR
(6,13),(13,12),-0.24622 # DEPENDENCYPART_GRANDPAR
(6,13),(13,14),-0.305735 # DEPENDENCYPART_GRANDPAR
(6,13),(13,15),-0.371902 # DEPENDENCYPART_GRANDPAR
(6,13),(13,16),-0.165181 # DEPENDENCYPART_GRANDPAR
(6,13),(13,17),-0.331459 # DEPENDENCYPART_GRANDPAR
(6,13),(13,18),-0.438273 # DEPENDENCYPART_GRANDPAR
(6,13),(13,20),-0.588008 # DEPENDENCYPART_GRANDPAR
(6,13),(13,25),-0.770682 # DEPENDENCYPART_GRANDPAR
(6,15),(15,6),-0.849849 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,15),(15,14),-0.142581 # DEPENDENCYPART_GRANDPAR
(6,15),(15,16),-0.150849 # DEPENDENCYPART_GRANDPAR
(6,15),(15,17),-0.272125 # DEPENDENCYPART_GRANDPAR
(6,15),(15,18),-0.370837 # DEPENDENCYPART_GRANDPAR
(6,15),(15,20),-0.575731 # DEPENDENCYPART_GRANDPAR
(6,15),(15,21),-0.368342 # DEPENDENCYPART_GRANDPAR
(6,15),(15,25),-0.727816 # DEPENDENCYPART_GRANDPAR
(6,15),(15,26),-0.599931 # DEPENDENCYPART_GRANDPAR
(6,18),(18,1),-0.36621 # DEPENDENCYPART_GRANDPAR
(6,18),(18,3),-0.370903 # DEPENDENCYPART_GRANDPAR
(6,18),(18,4),-0.377028 # DEPENDENCYPART_GRANDPAR
(6,18),(18,5),-0.287571 # DEPENDENCYPART_GRANDPAR
(6,18),(18,6),-0.85776 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,18),(18,7),0.105217 # DEPENDENCYPART_GRANDPAR
(6,18),(18,8),0.135189 # DEPENDENCYPART_GRANDPAR
(6,18),(18,9),0.34722 # DEPENDENCYPART_GRANDPAR
(6,18),(18,10),-0.0323201 # DEPENDENCYPART_GRANDPAR
(6,18),(18,11),-0.0904956 # DEPENDENCYPART_GRANDPAR
(6,18),(18,12),-0.184017 # DEPENDENCYPART_GRANDPAR
(6,18),(18,13),0.0697258 # DEPENDENCYPART_GRANDPAR
(6,18),(18,14),-0.255989 # DEPENDENCYPART_GRANDPAR
(6,18),(18,15),-0.296266 # DEPENDENCYPART_GRANDPAR
(6,18),(18,16),-0.0686962 # DEPENDENCYPART_GRANDPAR
(6,18),(18,17),-0.323921 # DEPENDENCYPART_GRANDPAR
(6,18),(18,19),-0.705658 # DEPENDENCYPART_GRANDPAR
(6,18),(18,20),-0.671755 # DEPENDENCYPART_GRANDPAR
(6,18),(18,21),-0.361126 # DEPENDENCYPART_GRANDPAR
(6,18),(18,23),-0.717138 # DEPENDENCYPART_GRANDPAR
(6,18),(18,24),-0.761327 # DEPENDENCYPART_GRANDPAR
(6,18),(18,25),-0.856797 # DEPENDENCYPART_GRANDPAR
(6,18),(18,26),-0.655871 # DEPENDENCYPART_GRANDPAR
(7,5),(5,2),-0.28091 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.21179 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),-0.267547 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),0.0768313 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-1.15534 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,8),0.0121095 # DEPENDENCYPART_GRANDPAR
(7,5),(5,9),-0.164446 # DEPENDENCYPART_GRANDPAR
(7,5),(5,10),-0.431137 # DEPENDENCYPART_GRANDPAR
(7,5),(5,11),-0.745441 # DEPENDENCYPART_GRANDPAR
(7,5),(5,12),-0.446892 # DEPENDENCYPART_GRANDPAR
(7,5),(5,13),-0.377665 # DEPENDENCYPART_GRANDPAR
(7,5),(5,15),-0.968646 # DEPENDENCYPART_GRANDPAR
(7,5),(5,16),-0.459198 # DEPENDENCYPART_GRANDPAR
(7,5),(5,17),-0.515418 # DEPENDENCYPART_GRANDPAR
(7,5),(5,18),-0.670133 # DEPENDENCYPART_GRANDPAR
(7,5),(5,21),-0.556361 # DEPENDENCYPART_GRANDPAR
(7,5),(5,26),-1.12166 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.282352 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.12532 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),0.0200332 # DEPENDENCYPART_GRANDPAR
(7,6),(6,9),-0.151581 # DEPENDENCYPART_GRANDPAR
(7,6),(6,10),-0.40993 # DEPENDENCYPART_GRANDPAR
(7,6),(6,11),-0.738153 # DEPENDENCYPART_GRANDPAR
(7,6),(6,13),-0.374864 # DEPENDENCYPART_GRANDPAR
(7,6),(6,15),-0.960779 # DEPENDENCYPART_GRANDPAR
(7,6),(6,18),-0.648105 # DEPENDENCYPART_GRANDPAR
(7,8),(8,1),-0.748536 # DEPENDENCYPART_GRANDPAR
(7,8),(8,3),-0.664664 # DEPENDENCYPART_GRANDPAR
(7,8),(8,4),-0.718095 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-0.73728 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.365014 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.773151 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),0.394167 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.0795189 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),-0.264391 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),0.0615366 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),0.233121 # DEPENDENCYPART_GRANDPAR
(7,8),(8,15),-0.461001 # DEPENDENCYPART_GRANDPAR
(7,8),(8,16),0.125105 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),0.00764058 # DEPENDENCYPART_GRANDPAR
(7,8),(8,18),-0.156937 # DEPENDENCYPART_GRANDPAR
(7,8),(8,20),-0.758472 # DEPENDENCYPART_GRANDPAR
(7,8),(8,21),0.0279414 # DEPENDENCYPART_GRANDPAR
(7,8),(8,25),-1.26255 # DEPENDENCYPART_GRANDPAR
(7,8),(8,26),-0.671726 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.763632 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),0.464562 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),-0.0734276 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),-0.23602 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),-0.0795973 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),0.0626942 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),-0.442092 # DEPENDENCYPART_GRANDPAR
(7,10),(10,3),-0.629597 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-0.332027 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-0.770153 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,8),0.447241 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),0.39922 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),-0.158943 # DEPENDENCYPART_GRANDPAR
(7,10),(10,12),-0.0146704 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),0.230501 # DEPENDENCYPART_GRANDPAR
(7,10),(10,15),-0.376444 # DEPENDENCYPART_GRANDPAR
(7,10),(10,16),-0.0459569 # DEPENDENCYPART_GRANDPAR
(7,10),(10,17),-0.00753845 # DEPENDENCYPART_GRANDPAR
(7,10),(10,18),-0.257615 # DEPENDENCYPART_GRANDPAR
(7,10),(10,20),-0.672899 # DEPENDENCYPART_GRANDPAR
(7,10),(10,25),-1.20621 # DEPENDENCYPART_GRANDPAR
(7,10),(10,26),-0.75154 # DEPENDENCYPART_GRANDPAR
(7,11),(11,5),-0.738389 # DEPENDENCYPART_GRANDPAR
(7,11),(11,6),-0.365446 # DEPENDENCYPART_GRANDPAR
(7,11),(11,7),-0.757516 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,11),(11,8),0.504467 # DEPENDENCYPART_GRANDPAR
(7,11),(11,9),0.114102 # DEPENDENCYPART_GRANDPAR
(7,11),(11,10),0.140116 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),0.0352335 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),0.203743 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),-0.487964 # DEPENDENCYPART_GRANDPAR
(7,11),(11,16),0.101431 # DEPENDENCYPART_GRANDPAR
(7,11),(11,20),-0.785436 # DEPENDENCYPART_GRANDPAR
(7,11),(11,21),0.00426745 # DEPENDENCYPART_GRANDPAR
(7,11),(11,25),-1.28951 # DEPENDENCYPART_GRANDPAR
(7,12),(12,3),-0.629516 # DEPENDENCYPART_GRANDPAR
(7,12),(12,7),-0.771511 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,12),(12,8),0.46038 # DEPENDENCYPART_GRANDPAR
(7,12),(12,11),-0.288858 # DEPENDENCYPART_GRANDPAR
(7,12),(12,13),0.233799 # DEPENDENCYPART_GRANDPAR
(7,12),(12,14),-0.514561 # DEPENDENCYPART_GRANDPAR
(7,12),(12,15),-0.343273 # DEPENDENCYPART_GRANDPAR
(7,12),(12,16),-0.0314386 # DEPENDENCYPART_GRANDPAR
(7,12),(12,17),-0.00279489 # DEPENDENCYPART_GRANDPAR
(7,12),(12,18),-0.265364 # DEPENDENCYPART_GRANDPAR
(7,12),(12,20),-0.639728 # DEPENDENCYPART_GRANDPAR
(7,12),(12,21),-0.128602 # DEPENDENCYPART_GRANDPAR
(7,12),(12,26),-0.748727 # DEPENDENCYPART_GRANDPAR
(8,3),(3,1),-0.138783 # DEPENDENCYPART_GRANDPAR
(8,3),(3,2),-0.297861 # DEPENDENCYPART_GRANDPAR
(8,3),(3,4),-0.116174 # DEPENDENCYPART_GRANDPAR
(8,3),(3,5),-0.117617 # DEPENDENCYPART_GRANDPAR
(8,3),(3,6),0.100876 # DEPENDENCYPART_GRANDPAR
(8,3),(3,7),-0.0205322 # DEPENDENCYPART_GRANDPAR
(8,3),(3,8),-1.16616 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,3),(3,9),0.14292 # DEPENDENCYPART_GRANDPAR
(8,3),(3,10),-0.355804 # DEPENDENCYPART_GRANDPAR
(8,3),(3,12),-0.198691 # DEPENDENCYPART_GRANDPAR
(8,3),(3,13),-0.428895 # DEPENDENCYPART_GRANDPAR
(8,3),(3,16),-0.397476 # DEPENDENCYPART_GRANDPAR
(8,3),(3,17),-0.403434 # DEPENDENCYPART_GRANDPAR
(8,3),(3,18),-0.608796 # DEPENDENCYPART_GRANDPAR
(8,3),(3,21),-0.604384 # DEPENDENCYPART_GRANDPAR
(8,3),(3,26),-1.1325 # DEPENDENCYPART_GRANDPAR
(8,4),(4,3),-0.220047 # DEPENDENCYPART_GRANDPAR
(8,4),(4,5),-0.125489 # DEPENDENCYPART_GRANDPAR
(8,4),(4,6),0.104409 # DEPENDENCYPART_GRANDPAR
(8,4),(4,7),-0.0343691 # DEPENDENCYPART_GRANDPAR
(8,4),(4,8),-1.16519 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,4),(4,9),0.14292 # DEPENDENCYPART_GRANDPAR
(8,4),(4,10),-0.355865 # DEPENDENCYPART_GRANDPAR
(8,4),(4,11),-0.286077 # DEPENDENCYPART_GRANDPAR
(8,4),(4,12),-0.198752 # DEPENDENCYPART_GRANDPAR
(8,4),(4,13),-0.428857 # DEPENDENCYPART_GRANDPAR
(8,4),(4,16),-0.397476 # DEPENDENCYPART_GRANDPAR
(8,4),(4,17),-0.403434 # DEPENDENCYPART_GRANDPAR
(8,4),(4,18),-0.608863 # DEPENDENCYPART_GRANDPAR
(8,4),(4,21),-0.604384 # DEPENDENCYPART_GRANDPAR
(8,4),(4,26),-1.1325 # DEPENDENCYPART_GRANDPAR
(8,5),(5,2),-0.314305 # DEPENDENCYPART_GRANDPAR
(8,5),(5,3),-0.239833 # DEPENDENCYPART_GRANDPAR
(8,5),(5,4),-0.203853 # DEPENDENCYPART_GRANDPAR
(8,5),(5,6),0.10456 # DEPENDENCYPART_GRANDPAR
(8,5),(5,7),-0.00983472 # DEPENDENCYPART_GRANDPAR
(8,5),(5,8),-1.16519 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,5),(5,9),0.14292 # DEPENDENCYPART_GRANDPAR
(8,5),(5,10),-0.355721 # DEPENDENCYPART_GRANDPAR
(8,5),(5,11),-0.286077 # DEPENDENCYPART_GRANDPAR
(8,5),(5,12),-0.198608 # DEPENDENCYPART_GRANDPAR
(8,5),(5,13),-0.428868 # DEPENDENCYPART_GRANDPAR
(8,5),(5,15),-0.596828 # DEPENDENCYPART_GRANDPAR
(8,5),(5,16),-0.397476 # DEPENDENCYPART_GRANDPAR
(8,5),(5,17),-0.403434 # DEPENDENCYPART_GRANDPAR
(8,5),(5,18),-0.608714 # DEPENDENCYPART_GRANDPAR
(8,5),(5,21),-0.604384 # DEPENDENCYPART_GRANDPAR
(8,5),(5,26),-1.1325 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),-0.159947 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),0.0772559 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-1.02386 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,6),(6,9),0.280244 # DEPENDENCYPART_GRANDPAR
(8,6),(6,10),-0.190073 # DEPENDENCYPART_GRANDPAR
(8,6),(6,11),-0.145379 # DEPENDENCYPART_GRANDPAR
(8,6),(6,13),-0.299661 # DEPENDENCYPART_GRANDPAR
(8,6),(6,15),-0.45555 # DEPENDENCYPART_GRANDPAR
(8,6),(6,18),-0.442032 # DEPENDENCYPART_GRANDPAR
(8,7),(7,5),-0.142202 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),0.166528 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-1.06927 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,7),(7,9),0.259369 # DEPENDENCYPART_GRANDPAR
(8,7),(7,10),-0.214544 # DEPENDENCYPART_GRANDPAR
(8,7),(7,11),-0.190179 # DEPENDENCYPART_GRANDPAR
(8,7),(7,12),-0.0574269 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),-0.426714 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.689808 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),0.258071 # DEPENDENCYPART_GRANDPAR
(8,9),(9,11),0.471388 # DEPENDENCYPART_GRANDPAR
(8,9),(9,12),0.41937 # DEPENDENCYPART_GRANDPAR
(8,9),(9,13),0.168897 # DEPENDENCYPART_GRANDPAR
(8,9),(9,15),0.164847 # DEPENDENCYPART_GRANDPAR
(8,10),(10,3),-0.818972 # DEPENDENCYPART_GRANDPAR
(8,10),(10,6),-0.409353 # DEPENDENCYPART_GRANDPAR
(8,10),(10,7),-0.577232 # DEPENDENCYPART_GRANDPAR
(8,10),(10,8),-0.601797 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,10),(10,9),0.924913 # DEPENDENCYPART_GRANDPAR
(8,10),(10,11),0.438488 # DEPENDENCYPART_GRANDPAR
(8,10),(10,12),0.417509 # DEPENDENCYPART_GRANDPAR
(8,10),(10,13),0.27123 # DEPENDENCYPART_GRANDPAR
(8,10),(10,15),0.127045 # DEPENDENCYPART_GRANDPAR
(8,10),(10,16),0.136587 # DEPENDENCYPART_GRANDPAR
(8,10),(10,17),0.202552 # DEPENDENCYPART_GRANDPAR
(8,10),(10,18),-0.00755227 # DEPENDENCYPART_GRANDPAR
(8,10),(10,20),-0.108501 # DEPENDENCYPART_GRANDPAR
(8,10),(10,25),0.110171 # DEPENDENCYPART_GRANDPAR
(8,10),(10,26),-0.661341 # DEPENDENCYPART_GRANDPAR
(8,11),(11,5),-0.716804 # DEPENDENCYPART_GRANDPAR
(8,11),(11,6),-0.345148 # DEPENDENCYPART_GRANDPAR
(8,11),(11,7),-0.422936 # DEPENDENCYPART_GRANDPAR
(8,11),(11,8),-0.496397 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,11),(11,9),0.756443 # DEPENDENCYPART_GRANDPAR
(8,11),(11,10),0.377298 # DEPENDENCYPART_GRANDPAR
(8,11),(11,12),0.363862 # DEPENDENCYPART_GRANDPAR
(8,11),(11,13),0.0320243 # DEPENDENCYPART_GRANDPAR
(8,11),(11,15),0.0901609 # DEPENDENCYPART_GRANDPAR
(8,11),(11,16),0.228076 # DEPENDENCYPART_GRANDPAR
(8,11),(11,20),-0.146569 # DEPENDENCYPART_GRANDPAR
(8,11),(11,21),0.0211678 # DEPENDENCYPART_GRANDPAR
(8,11),(11,25),0.097946 # DEPENDENCYPART_GRANDPAR
(8,12),(12,3),-0.81889 # DEPENDENCYPART_GRANDPAR
(8,12),(12,7),-0.57737 # DEPENDENCYPART_GRANDPAR
(8,12),(12,8),-0.59155 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,12),(12,11),0.288695 # DEPENDENCYPART_GRANDPAR
(8,12),(12,13),0.274394 # DEPENDENCYPART_GRANDPAR
(8,12),(12,14),0.0763459 # DEPENDENCYPART_GRANDPAR
(8,12),(12,15),0.155496 # DEPENDENCYPART_GRANDPAR
(8,12),(12,16),0.146662 # DEPENDENCYPART_GRANDPAR
(8,12),(12,17),0.20139 # DEPENDENCYPART_GRANDPAR
(8,12),(12,18),-0.022545 # DEPENDENCYPART_GRANDPAR
(8,12),(12,20),-0.0800495 # DEPENDENCYPART_GRANDPAR
(8,12),(12,21),-0.0602461 # DEPENDENCYPART_GRANDPAR
(8,12),(12,26),-0.664434 # DEPENDENCYPART_GRANDPAR
(8,13),(13,9),0.867373 # DEPENDENCYPART_GRANDPAR
(8,13),(13,11),0.330858 # DEPENDENCYPART_GRANDPAR
(8,13),(13,12),0.507782 # DEPENDENCYPART_GRANDPAR
(8,13),(13,14),0.0765684 # DEPENDENCYPART_GRANDPAR
(8,13),(13,15),0.169602 # DEPENDENCYPART_GRANDPAR
(8,13),(13,16),0.172002 # DEPENDENCYPART_GRANDPAR
(8,13),(13,17),0.177537 # DEPENDENCYPART_GRANDPAR
(8,13),(13,18),-0.00575453 # DEPENDENCYPART_GRANDPAR
(8,13),(13,20),-0.073342 # DEPENDENCYPART_GRANDPAR
(8,13),(13,25),0.143919 # DEPENDENCYPART_GRANDPAR
(8,15),(15,6),-0.345098 # DEPENDENCYPART_GRANDPAR
(8,15),(15,14),0.307822 # DEPENDENCYPART_GRANDPAR
(8,15),(15,16),0.237161 # DEPENDENCYPART_GRANDPAR
(8,15),(15,17),0.161502 # DEPENDENCYPART_GRANDPAR
(8,15),(15,18),-0.036733 # DEPENDENCYPART_GRANDPAR
(8,15),(15,20),-0.128486 # DEPENDENCYPART_GRANDPAR
(8,15),(15,21),0.030253 # DEPENDENCYPART_GRANDPAR
(8,15),(15,25),0.116029 # DEPENDENCYPART_GRANDPAR
(8,15),(15,26),-0.534717 # DEPENDENCYPART_GRANDPAR
(8,18),(18,1),-0.749026 # DEPENDENCYPART_GRANDPAR
(8,18),(18,3),-0.824146 # DEPENDENCYPART_GRANDPAR
(8,18),(18,4),-0.792812 # DEPENDENCYPART_GRANDPAR
(8,18),(18,5),-0.802532 # DEPENDENCYPART_GRANDPAR
(8,18),(18,6),-0.411195 # DEPENDENCYPART_GRANDPAR
(8,18),(18,7),-0.579158 # DEPENDENCYPART_GRANDPAR
(8,18),(18,8),-0.584442 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,18),(18,9),0.919545 # DEPENDENCYPART_GRANDPAR
(8,18),(18,10),0.320153 # DEPENDENCYPART_GRANDPAR
(8,18),(18,11),0.295821 # DEPENDENCYPART_GRANDPAR
(8,18),(18,12),0.469484 # DEPENDENCYPART_GRANDPAR
(8,18),(18,13),0.178093 # DEPENDENCYPART_GRANDPAR
(8,18),(18,14),0.0912716 # DEPENDENCYPART_GRANDPAR
(8,18),(18,15),-0.00230301 # DEPENDENCYPART_GRANDPAR
(8,18),(18,16),0.197861 # DEPENDENCYPART_GRANDPAR
(8,18),(18,17),0.0354491 # DEPENDENCYPART_GRANDPAR
(8,18),(18,19),-0.277102 # DEPENDENCYPART_GRANDPAR
(8,18),(18,20),-0.143806 # DEPENDENCYPART_GRANDPAR
(8,18),(18,21),0.0276159 # DEPENDENCYPART_GRANDPAR
(8,18),(18,23),-0.322593 # DEPENDENCYPART_GRANDPAR
(8,18),(18,24),-0.288579 # DEPENDENCYPART_GRANDPAR
(8,18),(18,25),0.0702432 # DEPENDENCYPART_GRANDPAR
(8,18),(18,26),-0.603283 # DEPENDENCYPART_GRANDPAR
(8,20),(20,14),0.307681 # DEPENDENCYPART_GRANDPAR
(8,20),(20,15),0.078065 # DEPENDENCYPART_GRANDPAR
(8,20),(20,17),0.0490726 # DEPENDENCYPART_GRANDPAR
(8,20),(20,19),-0.295436 # DEPENDENCYPART_GRANDPAR
(8,20),(20,21),0.0435033 # DEPENDENCYPART_GRANDPAR
(8,20),(20,23),-0.300938 # DEPENDENCYPART_GRANDPAR
(8,20),(20,24),-0.268275 # DEPENDENCYPART_GRANDPAR
(8,20),(20,25),0.122493 # DEPENDENCYPART_GRANDPAR
(8,20),(20,26),-0.5306 # DEPENDENCYPART_GRANDPAR
(8,25),(25,14),0.322044 # DEPENDENCYPART_GRANDPAR
(8,25),(25,19),-0.265771 # DEPENDENCYPART_GRANDPAR
(8,25),(25,20),-0.132475 # DEPENDENCYPART_GRANDPAR
(8,25),(25,21),0.00937168 # DEPENDENCYPART_GRANDPAR
(8,25),(25,22),0.414033 # DEPENDENCYPART_GRANDPAR
(8,25),(25,23),-0.310354 # DEPENDENCYPART_GRANDPAR
(8,25),(25,24),-0.188071 # DEPENDENCYPART_GRANDPAR
(8,25),(25,26),-0.514003 # DEPENDENCYPART_GRANDPAR
(8,26),(26,25),-0.0227563 # DEPENDENCYPART_GRANDPAR
(9,7),(7,5),-0.271664 # DEPENDENCYPART_GRANDPAR
(9,7),(7,6),-0.253441 # DEPENDENCYPART_GRANDPAR
(9,7),(7,8),-0.199382 # DEPENDENCYPART_GRANDPAR
(9,7),(7,9),-1.24597 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,7),(7,10),0.0598612 # DEPENDENCYPART_GRANDPAR
(9,7),(7,11),-0.158136 # DEPENDENCYPART_GRANDPAR
(9,7),(7,12),-0.311087 # DEPENDENCYPART_GRANDPAR
(9,8),(8,1),-0.306837 # DEPENDENCYPART_GRANDPAR
(9,8),(8,3),-0.248708 # DEPENDENCYPART_GRANDPAR
(9,8),(8,4),-0.235668 # DEPENDENCYPART_GRANDPAR
(9,8),(8,5),-0.177092 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),-0.18229 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),-0.195867 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-1.26512 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,10),0.0285206 # DEPENDENCYPART_GRANDPAR
(9,8),(8,11),-0.0902116 # DEPENDENCYPART_GRANDPAR
(9,8),(8,12),-0.342358 # DEPENDENCYPART_GRANDPAR
(9,8),(8,13),-0.175041 # DEPENDENCYPART_GRANDPAR
(9,8),(8,15),-0.475496 # DEPENDENCYPART_GRANDPAR
(9,8),(8,16),-0.377136 # DEPENDENCYPART_GRANDPAR
(9,8),(8,17),-0.227017 # DEPENDENCYPART_GRANDPAR
(9,8),(8,18),-0.544739 # DEPENDENCYPART_GRANDPAR
(9,8),(8,20),-0.729132 # DEPENDENCYPART_GRANDPAR
(9,8),(8,21),-0.675342 # DEPENDENCYPART_GRANDPAR
(9,8),(8,25),-1.0101 # DEPENDENCYPART_GRANDPAR
(9,8),(8,26),-0.785189 # DEPENDENCYPART_GRANDPAR
(9,10),(10,3),-0.76561 # DEPENDENCYPART_GRANDPAR
(9,10),(10,6),-0.613456 # DEPENDENCYPART_GRANDPAR
(9,10),(10,7),-0.612756 # DEPENDENCYPART_GRANDPAR
(9,10),(10,8),-0.605254 # DEPENDENCYPART_GRANDPAR
(9,10),(10,9),-0.848599 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,10),(10,11),0.262635 # DEPENDENCYPART_GRANDPAR
(9,10),(10,12),0.0495583 # DEPENDENCYPART_GRANDPAR
(9,10),(10,13),0.162146 # DEPENDENCYPART_GRANDPAR
(9,10),(10,15),-0.118972 # DEPENDENCYPART_GRANDPAR
(9,10),(10,16),-0.0185475 # DEPENDENCYPART_GRANDPAR
(9,10),(10,17),0.148709 # DEPENDENCYPART_GRANDPAR
(9,10),(10,18),-0.157827 # DEPENDENCYPART_GRANDPAR
(9,10),(10,20),-0.364962 # DEPENDENCYPART_GRANDPAR
(9,10),(10,25),-0.634448 # DEPENDENCYPART_GRANDPAR
(9,10),(10,26),-0.474866 # DEPENDENCYPART_GRANDPAR
(9,11),(11,5),-0.691914 # DEPENDENCYPART_GRANDPAR
(9,11),(11,6),-0.623575 # DEPENDENCYPART_GRANDPAR
(9,11),(11,7),-0.54033 # DEPENDENCYPART_GRANDPAR
(9,11),(11,8),-0.551762 # DEPENDENCYPART_GRANDPAR
(9,11),(11,9),-0.944713 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,11),(11,10),0.52496 # DEPENDENCYPART_GRANDPAR
(9,11),(11,12),0.163273 # DEPENDENCYPART_GRANDPAR
(9,11),(11,13),0.237812 # DEPENDENCYPART_GRANDPAR
(9,11),(11,15),-0.0711786 # DEPENDENCYPART_GRANDPAR
(9,11),(11,16),0.127467 # DEPENDENCYPART_GRANDPAR
(9,11),(11,20),-0.318056 # DEPENDENCYPART_GRANDPAR
(9,11),(11,21),-0.170739 # DEPENDENCYPART_GRANDPAR
(9,11),(11,25),-0.568605 # DEPENDENCYPART_GRANDPAR
(9,12),(12,3),-0.765529 # DEPENDENCYPART_GRANDPAR
(9,12),(12,7),-0.612893 # DEPENDENCYPART_GRANDPAR
(9,12),(12,8),-0.605254 # DEPENDENCYPART_GRANDPAR
(9,12),(12,11),0.254709 # DEPENDENCYPART_GRANDPAR
(9,12),(12,13),0.159209 # DEPENDENCYPART_GRANDPAR
(9,12),(12,14),-0.563645 # DEPENDENCYPART_GRANDPAR
(9,12),(12,15),-0.0902484 # DEPENDENCYPART_GRANDPAR
(9,12),(12,16),-0.00665628 # DEPENDENCYPART_GRANDPAR
(9,12),(12,17),0.149395 # DEPENDENCYPART_GRANDPAR
(9,12),(12,18),-0.168524 # DEPENDENCYPART_GRANDPAR
(9,12),(12,20),-0.336238 # DEPENDENCYPART_GRANDPAR
