# _root_ From 1974 to 1984 , prices for the best yearlings at the summer sales rose 918 % to an average of $ 544,681 .
#goldHeads=15,1,1,3,15,15,6,10,10,7,15,14,14,11,0,17,15,15,20,18,20,23,21,15,
#predictedHeads=15,1,1,3,15,15,6,10,10,7,10,14,14,11,0,17,15,15,20,18,20,23,21,15,
(0,6),(6,8),(6,17),-0.0194927 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,24),-0.0207132 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,25),-0.0197649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,9),(6,10),-0.0200324 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,11),-0.0195531 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,13),-0.0200324 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,14),-0.0200324 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,15),-0.0205997 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,17),-0.0200324 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,24),-0.0128806 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,25),-0.0303285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,10),(6,11),-0.0238729 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,13),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,14),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,15),-0.0264581 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,17),0.00275471 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,24),0.0669066 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,25),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,11),(6,13),-0.0186972 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,14),-0.0186974 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,15),-0.0273129 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,17),-0.0187544 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,24),0.00568429 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,25),-0.0767134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,13),(6,14),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,13),(6,15),-0.0264581 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,13),(6,17),0.00275471 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,13),(6,24),0.0669066 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,13),(6,25),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,14),(6,15),-0.0264581 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,17),0.00275471 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,24),0.0669059 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,25),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,15),(6,17),-0.0214115 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,15),(6,24),-0.138962 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,15),(6,25),-0.034272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,17),(6,24),0.075123 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,17),(6,25),-0.0256033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,24),(6,25),-0.0114465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,5),0.0397361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,4),0.0988968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,3),0.10894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,2),0.0988968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,1),0.100715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,-1),-0.278234 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,5),(6,4),0.109348 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,3),0.109537 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,2),0.109348 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,1),0.136203 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,-1),-0.146361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,4),(6,3),0.109536 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,4),(6,2),0.108802 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,4),(6,1),0.107008 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,4),(6,-1),-0.1416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,3),(6,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,3),(6,1),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,3),(6,-1),-0.144721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,2),(6,1),0.107008 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,2),(6,-1),-0.1416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,1),(6,-1),-0.157651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,10),(10,11),-0.0579886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,12),-0.0195531 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,13),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,14),-0.0203689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,15),-0.0881954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,16),-0.0111794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,17),-0.0158197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,18),0.00996867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,20),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,21),-0.0740156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,24),0.00810306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,25),-0.0458627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,10),(10,11),(10,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,13),-0.0186972 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,14),-0.0186974 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,15),-0.0271894 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,16),-0.0132042 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,17),-0.0187544 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,18),-0.00348927 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,20),-0.0187063 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,21),0.00312413 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,24),0.00668541 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,25),-0.0754365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,12),(10,13),-0.0194913 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,14),-0.0194913 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,15),-0.0194432 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,16),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,17),-0.0194927 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,20),-0.0194913 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,21),-0.0194432 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,24),-0.0207132 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,25),-0.0197649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,13),(10,14),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,15),-0.0264581 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,16),-0.0139939 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,17),0.00275471 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,18),-0.019827 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,20),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,21),-0.0244263 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,24),0.0669074 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,25),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,14),(10,15),-0.0264581 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,14),(10,16),-0.0139939 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,14),(10,17),0.00275471 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,14),(10,18),-0.019827 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,14),(10,20),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,14),(10,21),-0.0244263 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,14),(10,24),0.0669067 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,14),(10,25),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,15),(10,16),-0.0195154 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,17),-0.0214107 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,18),-0.0194899 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,20),-0.0214099 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,21),-0.0157131 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,24),-0.138706 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,25),-0.034265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,16),(10,17),-0.0212434 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,16),(10,18),-0.0194447 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,16),(10,20),-0.0210238 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,16),(10,21),-0.00511768 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,16),(10,24),-0.00468477 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,16),(10,25),-0.0160198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,17),(10,18),-0.0199538 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,17),(10,20),0.00308123 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,17),(10,21),-0.0244265 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,17),(10,24),0.0751238 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,17),(10,25),-0.0256033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,18),(10,20),-0.0196247 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,18),(10,21),-0.00326112 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,18),(10,24),-0.0104427 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,18),(10,25),-0.0206796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,20),(10,21),-0.0244263 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,20),(10,24),0.0668981 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,20),(10,25),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,21),(10,24),-0.00214034 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,21),(10,25),-0.0834648 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,24),(10,25),-0.0134956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,10),(10,9),0.0825942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,8),0.181599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,7),0.0993476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,6),0.232114 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,5),0.0398463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,4),0.0988968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,2),0.0988968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,1),0.100715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,-1),-0.275735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,10),(10,9),(10,8),0.0994003 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,7),0.107417 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,6),0.100867 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,5),0.104717 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,4),0.10378 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,2),0.10378 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,1),0.10742 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,9),(10,-1),-0.168805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,8),(10,7),0.108224 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,6),0.109516 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,5),0.12609 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,4),0.109017 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,2),0.109017 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,1),0.108224 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,8),(10,-1),-0.198008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,7),(10,6),0.107062 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,7),(10,5),0.123461 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,7),(10,4),0.109504 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,7),(10,2),0.109504 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,7),(10,1),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,7),(10,-1),-0.156563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,6),(10,5),0.137875 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,6),(10,4),0.109749 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,6),(10,2),0.109749 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,6),(10,1),0.101963 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,6),(10,-1),-0.111277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,5),(10,4),0.109348 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,5),(10,2),0.109348 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,5),(10,1),0.136203 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,5),(10,-1),-0.146361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,4),(10,2),0.108802 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,4),(10,1),0.107008 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,4),(10,-1),-0.1416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,2),(10,1),0.107008 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,2),(10,-1),-0.1416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,1),(10,-1),-0.157651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,15),(15,16),0.0414022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,17),-0.0214665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,18),-0.0824673 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,20),-0.0204496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,21),-0.175367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,22),-0.00946841 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,24),-0.111259 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,25),-0.195809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,15),(15,16),(15,17),-0.0161015 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,18),0.0214097 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,20),-0.015695 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,21),-0.0209639 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,22),-0.0195693 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,24),-0.00643798 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,25),-0.0286992 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,17),(15,18),-0.0278603 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,17),(15,20),0.0239074 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,17),(15,21),0.0649974 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,17),(15,22),-0.0142867 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,17),(15,24),0.0354512 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,17),(15,25),-0.0753406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,18),(15,20),0.00280144 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,21),-0.0226274 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,22),-0.0206254 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,24),0.0244666 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,25),-0.051534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,20),(15,21),0.0636534 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,22),-0.0142653 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,24),0.0418525 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,25),-0.0753363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,21),(15,22),-0.0255609 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,21),(15,24),0.114262 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,21),(15,25),-0.0578866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,22),(15,24),-0.0568989 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,22),(15,25),-0.020442 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,24),(15,25),0.169927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,15),(15,14),0.326736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,13),0.321668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,12),0.231522 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,11),0.177406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,10),0.322726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,9),0.220937 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,8),0.231522 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,7),0.170599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,6),0.303446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,5),0.115048 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,4),0.184538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,3),-0.0552013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,2),0.184601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,1),0.165974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,-1),-0.633935 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,15),(15,14),(15,13),0.105703 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,12),0.0802403 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,11),-0.0821417 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,10),0.105703 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,9),0.0903046 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,8),0.0802403 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,7),-0.0812703 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,6),0.105703 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,5),0.290333 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,4),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,3),0.106581 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,2),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,1),-0.0795731 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,-1),0.0752781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,13),(15,12),0.0802403 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,11),-0.0772749 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,10),0.105703 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,9),0.0903048 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,8),0.0802403 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,7),-0.0764036 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,6),0.105703 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,5),0.28428 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,4),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,3),0.106581 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,2),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,1),-0.0747064 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,-1),0.0742875 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,12),(15,11),0.0974212 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,10),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,9),0.107412 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,8),0.107611 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,7),0.0986726 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,6),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,5),0.143836 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,1),0.0986801 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,-1),-0.129852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,11),(15,10),0.165026 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,9),0.103439 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,8),0.109269 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,7),0.122625 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,6),0.165012 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,5),0.111846 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,4),0.105492 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,3),0.10953 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,2),0.105492 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,1),0.119038 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,-1),-0.222778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,10),(15,9),0.0903048 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,10),(15,8),0.0802403 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,10),(15,7),-0.0761354 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,10),(15,6),0.105703 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,10),(15,5),0.28428 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,10),(15,4),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,10),(15,3),0.106581 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,10),(15,2),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,10),(15,1),-0.0744382 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,10),(15,-1),0.071681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,9),(15,8),0.106852 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,7),0.105868 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,6),0.0991483 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,5),0.138326 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,4),0.109098 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,2),0.109098 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,1),0.106206 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,-1),-0.0645471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,8),(15,7),0.0986726 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,6),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,5),0.143836 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,2),0.10954 # DEPENDENCYPART_GRANDSIBL
