# _root_ That puts the real strategic decisions in the hands of others : bean counters , budgeteers , and pork-barrelers .
#goldHeads=2,0,6,6,6,2,2,9,7,9,10,11,14,18,18,18,18,11,18,2,
#predictedHeads=2,0,6,6,6,2,2,9,7,9,10,11,14,18,18,18,18,11,18,2,
(18,2),(2,17),-0.0219812 # DEPENDENCYPART_GRANDPAR
(18,2),(2,18),-1.39406 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,2),(2,20),-0.451131 # DEPENDENCYPART_GRANDPAR
(18,3),(3,4),-0.204738 # DEPENDENCYPART_GRANDPAR
(18,3),(3,5),-0.241844 # DEPENDENCYPART_GRANDPAR
(18,3),(3,7),-0.156156 # DEPENDENCYPART_GRANDPAR
(18,4),(4,1),-0.721623 # DEPENDENCYPART_GRANDPAR
(18,4),(4,3),-0.262517 # DEPENDENCYPART_GRANDPAR
(18,4),(4,5),-0.108373 # DEPENDENCYPART_GRANDPAR
(18,4),(4,6),-0.121107 # DEPENDENCYPART_GRANDPAR
(18,4),(4,7),-0.0431508 # DEPENDENCYPART_GRANDPAR
(18,4),(4,9),0.256207 # DEPENDENCYPART_GRANDPAR
(18,4),(4,10),-0.163728 # DEPENDENCYPART_GRANDPAR
(18,4),(4,15),0.0784898 # DEPENDENCYPART_GRANDPAR
(18,4),(4,18),-1.16929 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,4),(4,20),-0.328861 # DEPENDENCYPART_GRANDPAR
(18,5),(5,1),-0.714752 # DEPENDENCYPART_GRANDPAR
(18,5),(5,3),-0.255437 # DEPENDENCYPART_GRANDPAR
(18,5),(5,4),-0.0681503 # DEPENDENCYPART_GRANDPAR
(18,5),(5,7),-0.0413719 # DEPENDENCYPART_GRANDPAR
(18,5),(5,9),0.258372 # DEPENDENCYPART_GRANDPAR
(18,6),(6,1),-0.758485 # DEPENDENCYPART_GRANDPAR
(18,6),(6,3),-0.252379 # DEPENDENCYPART_GRANDPAR
(18,6),(6,4),0.0300025 # DEPENDENCYPART_GRANDPAR
(18,6),(6,5),-0.00548952 # DEPENDENCYPART_GRANDPAR
(18,6),(6,7),-0.0553376 # DEPENDENCYPART_GRANDPAR
(18,6),(6,9),0.432802 # DEPENDENCYPART_GRANDPAR
(18,6),(6,10),-0.204035 # DEPENDENCYPART_GRANDPAR
(18,6),(6,11),0.230919 # DEPENDENCYPART_GRANDPAR
(18,6),(6,12),-0.159291 # DEPENDENCYPART_GRANDPAR
(18,6),(6,13),0.447047 # DEPENDENCYPART_GRANDPAR
(18,6),(6,14),0.298989 # DEPENDENCYPART_GRANDPAR
(18,6),(6,15),0.309861 # DEPENDENCYPART_GRANDPAR
(18,6),(6,16),0.23661 # DEPENDENCYPART_GRANDPAR
(18,6),(6,17),0.271735 # DEPENDENCYPART_GRANDPAR
(18,6),(6,18),-1.22283 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,6),(6,19),0.575124 # DEPENDENCYPART_GRANDPAR
(18,6),(6,20),-0.334139 # DEPENDENCYPART_GRANDPAR
(18,7),(7,5),-0.0497266 # DEPENDENCYPART_GRANDPAR
(18,7),(7,6),0.0914341 # DEPENDENCYPART_GRANDPAR
(18,7),(7,8),-0.555992 # DEPENDENCYPART_GRANDPAR
(18,7),(7,9),0.141504 # DEPENDENCYPART_GRANDPAR
(18,7),(7,10),-0.344244 # DEPENDENCYPART_GRANDPAR
(18,7),(7,11),-0.0572727 # DEPENDENCYPART_GRANDPAR
(18,7),(7,12),-0.253384 # DEPENDENCYPART_GRANDPAR
(18,7),(7,13),0.155282 # DEPENDENCYPART_GRANDPAR
(18,7),(7,14),0.00722446 # DEPENDENCYPART_GRANDPAR
(18,7),(7,15),0.0610097 # DEPENDENCYPART_GRANDPAR
(18,7),(7,16),-0.0551539 # DEPENDENCYPART_GRANDPAR
(18,7),(7,17),0.0228838 # DEPENDENCYPART_GRANDPAR
(18,7),(7,18),-1.20197 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,7),(7,19),0.547224 # DEPENDENCYPART_GRANDPAR
(18,8),(8,10),-0.358896 # DEPENDENCYPART_GRANDPAR
(18,9),(9,3),-0.248168 # DEPENDENCYPART_GRANDPAR
(18,9),(9,4),0.0400032 # DEPENDENCYPART_GRANDPAR
(18,9),(9,5),0.00451118 # DEPENDENCYPART_GRANDPAR
(18,9),(9,6),0.1112 # DEPENDENCYPART_GRANDPAR
(18,9),(9,7),-0.15296 # DEPENDENCYPART_GRANDPAR
(18,9),(9,8),-0.227543 # DEPENDENCYPART_GRANDPAR
(18,9),(9,10),-0.207383 # DEPENDENCYPART_GRANDPAR
(18,9),(9,11),0.219778 # DEPENDENCYPART_GRANDPAR
(18,9),(9,12),-0.160655 # DEPENDENCYPART_GRANDPAR
(18,9),(9,13),0.435906 # DEPENDENCYPART_GRANDPAR
(18,9),(9,14),0.287848 # DEPENDENCYPART_GRANDPAR
(18,9),(9,15),0.311771 # DEPENDENCYPART_GRANDPAR
(18,9),(9,16),0.22547 # DEPENDENCYPART_GRANDPAR
(18,9),(9,17),0.273645 # DEPENDENCYPART_GRANDPAR
(18,9),(9,18),-1.22283 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,9),(9,19),0.574899 # DEPENDENCYPART_GRANDPAR
(18,9),(9,20),-0.334139 # DEPENDENCYPART_GRANDPAR
(18,10),(10,6),0.21382 # DEPENDENCYPART_GRANDPAR
(18,10),(10,8),-0.253396 # DEPENDENCYPART_GRANDPAR
(18,10),(10,9),0.579739 # DEPENDENCYPART_GRANDPAR
(18,10),(10,11),-0.0898995 # DEPENDENCYPART_GRANDPAR
(18,10),(10,12),-0.275531 # DEPENDENCYPART_GRANDPAR
(18,10),(10,13),0.122654 # DEPENDENCYPART_GRANDPAR
(18,10),(10,14),-0.0254035 # DEPENDENCYPART_GRANDPAR
(18,10),(10,16),-0.0877819 # DEPENDENCYPART_GRANDPAR
(18,10),(10,18),-1.21589 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,10),(10,19),0.511713 # DEPENDENCYPART_GRANDPAR
(18,11),(11,7),-0.148129 # DEPENDENCYPART_GRANDPAR
(18,11),(11,8),-0.234521 # DEPENDENCYPART_GRANDPAR
(18,11),(11,9),0.468371 # DEPENDENCYPART_GRANDPAR
(18,11),(11,10),-0.393887 # DEPENDENCYPART_GRANDPAR
(18,11),(11,12),-0.176947 # DEPENDENCYPART_GRANDPAR
(18,11),(11,13),0.418426 # DEPENDENCYPART_GRANDPAR
(18,11),(11,14),0.270368 # DEPENDENCYPART_GRANDPAR
(18,11),(11,15),0.302582 # DEPENDENCYPART_GRANDPAR
(18,11),(11,16),0.20799 # DEPENDENCYPART_GRANDPAR
(18,11),(11,17),0.264456 # DEPENDENCYPART_GRANDPAR
(18,11),(11,18),-1.21447 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,11),(11,19),0.575075 # DEPENDENCYPART_GRANDPAR
(18,11),(11,20),-0.334141 # DEPENDENCYPART_GRANDPAR
(18,12),(12,7),-0.155052 # DEPENDENCYPART_GRANDPAR
(18,12),(12,10),-0.365947 # DEPENDENCYPART_GRANDPAR
(18,12),(12,13),0.25911 # DEPENDENCYPART_GRANDPAR
(18,12),(12,20),-0.330164 # DEPENDENCYPART_GRANDPAR
(18,13),(13,11),0.29903 # DEPENDENCYPART_GRANDPAR
(18,13),(13,12),-0.0445424 # DEPENDENCYPART_GRANDPAR
(18,13),(13,14),0.291162 # DEPENDENCYPART_GRANDPAR
(18,13),(13,15),0.308374 # DEPENDENCYPART_GRANDPAR
(18,13),(13,16),0.228784 # DEPENDENCYPART_GRANDPAR
(18,13),(13,17),0.270248 # DEPENDENCYPART_GRANDPAR
(18,13),(13,19),0.575124 # DEPENDENCYPART_GRANDPAR
(18,14),(14,5),-0.000932555 # DEPENDENCYPART_GRANDPAR
(18,14),(14,7),-0.141338 # DEPENDENCYPART_GRANDPAR
(18,14),(14,8),-0.229122 # DEPENDENCYPART_GRANDPAR
(18,14),(14,9),0.472445 # DEPENDENCYPART_GRANDPAR
(18,14),(14,10),-0.388067 # DEPENDENCYPART_GRANDPAR
(18,14),(14,11),0.297653 # DEPENDENCYPART_GRANDPAR
(18,14),(14,12),-0.0445424 # DEPENDENCYPART_GRANDPAR
(18,14),(14,13),0.500023 # DEPENDENCYPART_GRANDPAR
(18,14),(14,15),0.308374 # DEPENDENCYPART_GRANDPAR
(18,14),(14,16),0.230269 # DEPENDENCYPART_GRANDPAR
(18,14),(14,17),0.270248 # DEPENDENCYPART_GRANDPAR
(18,14),(14,18),-1.22283 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,14),(14,19),0.575124 # DEPENDENCYPART_GRANDPAR
(18,14),(14,20),-0.334139 # DEPENDENCYPART_GRANDPAR
(18,16),(16,8),-0.229122 # DEPENDENCYPART_GRANDPAR
(18,16),(16,9),0.473822 # DEPENDENCYPART_GRANDPAR
(18,16),(16,11),0.29903 # DEPENDENCYPART_GRANDPAR
(18,16),(16,12),-0.0445424 # DEPENDENCYPART_GRANDPAR
(18,16),(16,13),0.5014 # DEPENDENCYPART_GRANDPAR
(18,16),(16,14),0.353343 # DEPENDENCYPART_GRANDPAR
(18,16),(16,15),0.342542 # DEPENDENCYPART_GRANDPAR
(18,16),(16,17),0.270248 # DEPENDENCYPART_GRANDPAR
(18,16),(16,18),-1.22283 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,16),(16,19),0.575124 # DEPENDENCYPART_GRANDPAR
(18,16),(16,20),-0.334139 # DEPENDENCYPART_GRANDPAR
(18,19),(19,14),-0.214284 # DEPENDENCYPART_GRANDPAR
(18,19),(19,16),-0.276663 # DEPENDENCYPART_GRANDPAR
(18,19),(19,17),-0.646516 # DEPENDENCYPART_GRANDPAR
(18,19),(19,20),0.223837 # DEPENDENCYPART_GRANDPAR
(19,14),(14,5),-0.892929 # DEPENDENCYPART_GRANDPAR
(19,14),(14,7),-0.918348 # DEPENDENCYPART_GRANDPAR
(19,14),(14,8),-0.664766 # DEPENDENCYPART_GRANDPAR
(19,14),(14,9),-0.630713 # DEPENDENCYPART_GRANDPAR
(19,14),(14,10),-0.564271 # DEPENDENCYPART_GRANDPAR
(19,14),(14,11),-0.496439 # DEPENDENCYPART_GRANDPAR
(19,14),(14,12),-0.541489 # DEPENDENCYPART_GRANDPAR
(19,14),(14,13),-0.495906 # DEPENDENCYPART_GRANDPAR
(19,14),(14,15),0.0517144 # DEPENDENCYPART_GRANDPAR
(19,14),(14,16),-0.664726 # DEPENDENCYPART_GRANDPAR
(19,14),(14,17),-0.181355 # DEPENDENCYPART_GRANDPAR
(19,14),(14,18),-0.330287 # DEPENDENCYPART_GRANDPAR
(19,14),(14,19),-1.05243 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,14),(14,20),-0.010996 # DEPENDENCYPART_GRANDPAR
(19,16),(16,8),-0.664766 # DEPENDENCYPART_GRANDPAR
(19,16),(16,9),-0.629336 # DEPENDENCYPART_GRANDPAR
(19,16),(16,11),-0.495062 # DEPENDENCYPART_GRANDPAR
(19,16),(16,12),-0.541489 # DEPENDENCYPART_GRANDPAR
(19,16),(16,13),-0.494529 # DEPENDENCYPART_GRANDPAR
(19,16),(16,14),-0.573809 # DEPENDENCYPART_GRANDPAR
(19,16),(16,15),0.0719075 # DEPENDENCYPART_GRANDPAR
(19,16),(16,17),-0.181355 # DEPENDENCYPART_GRANDPAR
(19,16),(16,18),-0.330287 # DEPENDENCYPART_GRANDPAR
(19,16),(16,19),-1.05243 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,16),(16,20),-0.010996 # DEPENDENCYPART_GRANDPAR
(0,1),(1,1),(1,2),-0.0556013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,21),-0.0489728 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,1),(1,2),(1,21),-0.0501082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,1),(1,-1),-0.15931 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,2),(2,3),-0.00389328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,4),0.0162315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,5),0.016235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,6),-0.0611018 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,7),-0.213223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,9),-0.0629489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,10),-0.214878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,11),-0.0644628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,12),-0.0234364 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,13),-0.0629235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,15),-0.0367839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,17),-0.0367839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,18),0.0573898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,20),-0.144976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,21),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,3),(2,4),-0.0489025 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,5),-0.0489025 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,6),-0.0101156 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,7),-0.0491739 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,9),-0.0101156 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,10),-0.0417774 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,11),-0.0101156 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,12),-0.0574317 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,13),-0.0101156 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,15),-0.0576488 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,17),-0.0576488 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,18),-0.0486408 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,20),-0.0395205 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,21),-0.0341643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,4),(2,5),-0.0462092 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,6),-0.0351019 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,7),-0.0265105 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,9),-0.0351019 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,10),-0.0272666 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,11),-0.0351364 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,12),-0.0291715 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,13),-0.0351019 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,15),-0.0656892 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,17),-0.0656892 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,18),-0.0703152 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,20),0.0239543 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,21),-0.0553705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,5),(2,6),-0.0351019 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,7),-0.0265105 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,9),-0.0351019 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,10),-0.0272666 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,11),-0.0351364 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,12),-0.0291715 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,13),-0.0351019 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,15),-0.0656892 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,17),-0.0656892 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,18),-0.0703152 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,20),0.0239808 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,21),-0.0553705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,6),(2,7),0.0811887 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,9),-0.00698491 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,10),0.0584362 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,11),-0.00701835 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,12),-0.0463841 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,13),-0.00698491 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,15),-0.0594102 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,17),-0.0594102 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,18),-0.0310065 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,20),0.0305042 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,21),-0.13786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,7),(2,9),-0.0323939 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,10),-0.0923165 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,11),-0.0323939 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,12),-0.0444112 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,13),-0.0323939 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,15),0.0161703 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,17),0.0161703 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,18),-0.0422788 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,20),0.0813264 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,21),-0.0980845 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,9),(2,10),0.0593693 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,11),-0.00701835 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,12),-0.0464026 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,13),-0.00698491 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,15),-0.0594104 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,17),-0.0594104 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,18),-0.0310065 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,20),0.0249132 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,21),-0.13786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,10),(2,11),-0.0397583 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,12),-0.0449921 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,13),-0.0397583 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,15),0.0118867 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,17),0.0118867 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,18),-0.0443514 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,20),0.0910557 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,21),-0.0918789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,11),(2,12),-0.0463841 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,13),-0.00698491 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,15),-0.0594102 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,17),-0.0594102 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,18),-0.0310065 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,20),0.02704 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,21),-0.137963 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,12),(2,13),-0.12416 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,15),-0.0562095 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,17),-0.0562095 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,18),-0.0262202 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,20),-0.0772239 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,21),0.0195629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,13),(2,15),-0.0594102 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,13),(2,17),-0.0594102 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,13),(2,18),-0.0310065 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,13),(2,20),0.0274298 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,13),(2,21),-0.13786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,15),(2,17),-0.0148542 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,15),(2,18),-0.0145838 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,15),(2,20),-0.00172918 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,15),(2,21),-0.0762482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,17),(2,18),-0.0145838 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,17),(2,20),-0.00172918 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,17),(2,21),-0.0762482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,18),(2,20),0.707604 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,18),(2,21),-0.153705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,20),(2,21),0.140454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,2),(2,1),0.279447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,-1),-0.643998 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,1),(2,-1),-0.121694 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,7),-0.0871137 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,9),-0.0472312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,10),-0.0998762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,11),-0.0472309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,12),0.0317976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,13),-0.0472309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,14),-0.0472309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,15),-0.0997809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,16),-0.0472309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,17),-0.0997809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,18),-0.0669009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,19),-0.0472309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,20),-0.0181231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,21),-0.0864733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,7),(6,9),-0.0401698 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,10),-0.0190297 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,11),-0.0401698 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,12),-0.0315706 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,13),-0.0401698 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,14),-0.0401698 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,15),-0.0336746 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,16),-0.0401698 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,17),-0.0336746 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,18),-0.05112 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,19),-0.0401698 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,20),0.0215354 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,21),-0.0979397 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,9),(6,10),-0.0483041 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,11),-0.00931707 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,12),0.00551949 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,13),-0.00931707 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,14),-0.00931707 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,15),0.000135468 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,16),-0.00931707 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,17),0.000135468 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,18),-0.0468461 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,19),-0.00931707 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,20),0.0524303 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,21),-0.0837654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,10),(6,11),-0.0371178 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,12),-0.0283792 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,13),-0.0371178 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,14),-0.0371178 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,15),-0.0341228 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,16),-0.0371178 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,17),-0.0341228 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,18),-0.0521351 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,19),-0.0371178 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,20),0.0103482 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,21),-0.106302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,11),(6,12),0.00551949 # DEPENDENCYPART_GRANDSIBL
