# _root_ Kellogg is based in Battle Creek , Mich. , a city that calls itself the breakfast capital of the world .
#goldHeads=2,0,2,3,6,4,6,6,6,11,6,13,11,17,17,17,13,17,20,18,2,
#predictedHeads=2,0,2,3,6,4,6,6,8,11,8,13,11,17,17,17,13,17,20,18,2,
(17,11),(17,10),-0.425487 # DEPENDENCYPART_NEXTSIBL
(17,11),(17,7),-0.936282 # DEPENDENCYPART_NEXTSIBL
(17,11),(17,-1),-0.324876 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,10),(17,7),-0.782057 # DEPENDENCYPART_NEXTSIBL
(17,10),(17,-1),-0.186996 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,7),(17,-1),-1.33485 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,19),-1.34401 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,20),-0.306112 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,21),-0.924564 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,22),-0.933787 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,19),(18,20),-1.0452 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,21),-1.27276 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,22),-0.831062 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,20),(18,21),-0.737604 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,22),-0.298416 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,21),(18,22),-1.31862 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,17),0.0055955 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,16),-0.469097 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.279649 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,17),(18,16),-0.703579 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,-1),-0.760632 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,16),(18,-1),-1.07705 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,22),-0.262076 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,19),(19,-1),-0.325826 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,20),(20,21),-0.705138 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,22),-0.396505 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,22),-1.12649 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,19),-0.892106 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,18),-0.12552 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,17),0.0792827 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,16),-0.402025 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,15),-0.704699 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,11),-0.557188 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-0.495233 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,19),(20,18),-0.606174 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,17),-0.942286 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,16),-1.00255 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,15),-1.04675 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,11),-0.993153 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,-1),-0.087173 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,18),(20,17),-0.649549 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,16),-0.935842 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,15),-1.08215 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,11),-1.14947 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,-1),-0.3817 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,17),(20,16),-0.520483 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,15),-0.501291 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,11),-1.0666 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,-1),-0.651445 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,16),(20,15),-0.438768 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,11),-1.1604 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,-1),-0.955013 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,15),(20,11),-1.01668 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,-1),-0.182001 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,11),(20,-1),-0.332754 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,22),-0.496779 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,21),(21,20),-0.584253 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,18),-0.189119 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-0.153215 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,18),-0.69033 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,-1),-0.642154 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,18),(21,-1),-0.505521 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,1),(1,2),0.727955 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.2072 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.0323251 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.284684 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),-0.0489998 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),-0.0202597 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),-0.425786 # DEPENDENCYPART_GRANDPAR
(0,1),(1,11),0.224218 # DEPENDENCYPART_GRANDPAR
(0,1),(1,13),-0.318188 # DEPENDENCYPART_GRANDPAR
(0,1),(1,17),-0.383453 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.359996 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.375859 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.311354 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.179979 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),0.478404 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),0.139259 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.168568 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),-0.237526 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),0.412834 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),-0.104664 # DEPENDENCYPART_GRANDPAR
(0,2),(2,21),2.20538 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.41209 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.622547 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.186279 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),-0.0673766 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.231048 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),-0.0681859 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),-0.0787887 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),-0.444972 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),0.165483 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),-0.31582 # DEPENDENCYPART_GRANDPAR
(0,3),(3,17),-0.423243 # DEPENDENCYPART_GRANDPAR
(0,3),(3,21),1.80164 # DEPENDENCYPART_GRANDPAR
(0,13),(13,1),0.479544 # DEPENDENCYPART_GRANDPAR
(0,13),(13,2),0.654599 # DEPENDENCYPART_GRANDPAR
(0,13),(13,4),-0.245654 # DEPENDENCYPART_GRANDPAR
(0,13),(13,5),-0.390872 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),-0.0793639 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),0.219789 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),-0.397592 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),-0.156997 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),-0.591714 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.145563 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),-0.89086 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.178298 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.327901 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),-0.232328 # DEPENDENCYPART_GRANDPAR
(0,13),(13,17),-0.387024 # DEPENDENCYPART_GRANDPAR
(0,13),(13,18),-0.426629 # DEPENDENCYPART_GRANDPAR
(0,13),(13,20),-0.632298 # DEPENDENCYPART_GRANDPAR
(0,13),(13,21),1.90356 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.974784 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.343075 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),0.140937 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.294237 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-0.282136 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.249612 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),-0.229431 # DEPENDENCYPART_GRANDPAR
(1,2),(2,9),-0.34812 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-0.441353 # DEPENDENCYPART_GRANDPAR
(1,2),(2,13),-0.484795 # DEPENDENCYPART_GRANDPAR
(1,2),(2,21),-1.04413 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.01676 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),-0.170224 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),0.223121 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.289513 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.277412 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.233194 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.224707 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.331703 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.436625 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.458074 # DEPENDENCYPART_GRANDPAR
(1,3),(3,17),-0.741555 # DEPENDENCYPART_GRANDPAR
(1,3),(3,21),-1.09022 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.284266 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.27727 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.199076 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.222198 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),-0.297584 # DEPENDENCYPART_GRANDPAR
(1,4),(4,11),-0.436023 # DEPENDENCYPART_GRANDPAR
(1,4),(4,13),-0.434035 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-0.877036 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,4),0.0692901 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.372431 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.119188 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.245345 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),-0.217696 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.478187 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),-0.469927 # DEPENDENCYPART_GRANDPAR
(1,6),(6,17),-0.801311 # DEPENDENCYPART_GRANDPAR
(1,6),(6,18),-0.680758 # DEPENDENCYPART_GRANDPAR
(1,6),(6,20),-0.858929 # DEPENDENCYPART_GRANDPAR
(1,6),(6,21),-0.948436 # DEPENDENCYPART_GRANDPAR
(1,8),(8,5),-0.382049 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),-0.367814 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),-0.12265 # DEPENDENCYPART_GRANDPAR
(1,8),(8,9),-0.159055 # DEPENDENCYPART_GRANDPAR
(1,8),(8,11),-0.426275 # DEPENDENCYPART_GRANDPAR
(1,8),(8,13),-0.446793 # DEPENDENCYPART_GRANDPAR
(1,8),(8,17),-0.749394 # DEPENDENCYPART_GRANDPAR
(1,8),(8,18),-0.657717 # DEPENDENCYPART_GRANDPAR
(1,8),(8,20),-0.807011 # DEPENDENCYPART_GRANDPAR
(1,8),(8,21),-0.925285 # DEPENDENCYPART_GRANDPAR
(1,11),(11,5),-0.392227 # DEPENDENCYPART_GRANDPAR
(1,11),(11,6),-0.377993 # DEPENDENCYPART_GRANDPAR
(1,11),(11,7),-0.16319 # DEPENDENCYPART_GRANDPAR
(1,11),(11,8),-0.348238 # DEPENDENCYPART_GRANDPAR
(1,11),(11,9),-0.261698 # DEPENDENCYPART_GRANDPAR
(1,11),(11,10),0.191104 # DEPENDENCYPART_GRANDPAR
(1,11),(11,12),-0.100005 # DEPENDENCYPART_GRANDPAR
(1,11),(11,13),-0.445494 # DEPENDENCYPART_GRANDPAR
(1,11),(11,15),-0.282481 # DEPENDENCYPART_GRANDPAR
(1,11),(11,16),-0.756597 # DEPENDENCYPART_GRANDPAR
(1,11),(11,17),-0.77559 # DEPENDENCYPART_GRANDPAR
(1,11),(11,18),-0.658685 # DEPENDENCYPART_GRANDPAR
(1,11),(11,20),-0.833207 # DEPENDENCYPART_GRANDPAR
(1,11),(11,21),-0.932433 # DEPENDENCYPART_GRANDPAR
(1,13),(13,1),-0.995292 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,13),(13,2),-0.174276 # DEPENDENCYPART_GRANDPAR
(1,13),(13,4),0.0359762 # DEPENDENCYPART_GRANDPAR
(1,13),(13,5),-0.486083 # DEPENDENCYPART_GRANDPAR
(1,13),(13,6),-0.476066 # DEPENDENCYPART_GRANDPAR
(1,13),(13,7),-0.286333 # DEPENDENCYPART_GRANDPAR
(1,13),(13,8),-0.446366 # DEPENDENCYPART_GRANDPAR
(1,13),(13,9),-0.384841 # DEPENDENCYPART_GRANDPAR
(1,13),(13,10),-0.128399 # DEPENDENCYPART_GRANDPAR
(1,13),(13,11),-0.635949 # DEPENDENCYPART_GRANDPAR
(1,13),(13,12),0.177799 # DEPENDENCYPART_GRANDPAR
(1,13),(13,14),-0.483322 # DEPENDENCYPART_GRANDPAR
(1,13),(13,15),-0.373045 # DEPENDENCYPART_GRANDPAR
(1,13),(13,16),-0.770797 # DEPENDENCYPART_GRANDPAR
(1,13),(13,17),-0.770371 # DEPENDENCYPART_GRANDPAR
(1,13),(13,18),-0.641299 # DEPENDENCYPART_GRANDPAR
(1,13),(13,20),-0.843737 # DEPENDENCYPART_GRANDPAR
(1,13),(13,21),-1.09278 # DEPENDENCYPART_GRANDPAR
(1,17),(17,7),-0.153958 # DEPENDENCYPART_GRANDPAR
(1,17),(17,10),0.185768 # DEPENDENCYPART_GRANDPAR
(1,17),(17,11),-0.493383 # DEPENDENCYPART_GRANDPAR
(1,17),(17,12),0.0480768 # DEPENDENCYPART_GRANDPAR
(1,17),(17,14),-0.423392 # DEPENDENCYPART_GRANDPAR
(1,17),(17,15),-0.13406 # DEPENDENCYPART_GRANDPAR
(1,17),(17,16),-0.822849 # DEPENDENCYPART_GRANDPAR
(1,17),(17,18),-0.685658 # DEPENDENCYPART_GRANDPAR
(1,17),(17,19),-0.502919 # DEPENDENCYPART_GRANDPAR
(1,17),(17,20),-0.868391 # DEPENDENCYPART_GRANDPAR
(1,17),(17,21),-0.950617 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-0.898017 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),0.319366 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),0.18535 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.0160687 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),0.0781996 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-0.286166 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.00564744 # DEPENDENCYPART_GRANDPAR
(2,1),(1,11),0.0179954 # DEPENDENCYPART_GRANDPAR
(2,1),(1,13),0.0360409 # DEPENDENCYPART_GRANDPAR
(2,1),(1,17),-0.457195 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.235763 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.534593 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),0.36318 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),0.174614 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),0.351119 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),0.71357 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),0.0765831 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),0.629723 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),0.34307 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),0.35219 # DEPENDENCYPART_GRANDPAR
(2,3),(3,17),-0.0840288 # DEPENDENCYPART_GRANDPAR
(2,3),(3,21),-0.165285 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),0.116184 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),0.296968 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),0.60892 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),0.0139651 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),0.525073 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),0.294631 # DEPENDENCYPART_GRANDPAR
(2,4),(4,13),0.279927 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),0.310328 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),0.595706 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),0.040541 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),0.511859 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),0.300995 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),0.412705 # DEPENDENCYPART_GRANDPAR
(2,5),(5,17),-0.14031 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-0.0702996 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),0.142254 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),0.0854174 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),0.579304 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),0.0241088 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),0.495457 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),0.284563 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),0.403267 # DEPENDENCYPART_GRANDPAR
(2,6),(6,17),-0.156742 # DEPENDENCYPART_GRANDPAR
(2,6),(6,18),0.021543 # DEPENDENCYPART_GRANDPAR
(2,6),(6,20),0.0120649 # DEPENDENCYPART_GRANDPAR
(2,6),(6,21),-0.100878 # DEPENDENCYPART_GRANDPAR
(2,8),(8,5),0.0715444 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),0.229703 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),0.666674 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),0.50859 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),0.295713 # DEPENDENCYPART_GRANDPAR
(2,8),(8,13),0.401685 # DEPENDENCYPART_GRANDPAR
(2,8),(8,17),-0.145589 # DEPENDENCYPART_GRANDPAR
(2,8),(8,18),0.0199365 # DEPENDENCYPART_GRANDPAR
(2,8),(8,20),0.0232184 # DEPENDENCYPART_GRANDPAR
(2,8),(8,21),-0.10243 # DEPENDENCYPART_GRANDPAR
(2,11),(11,5),0.0804118 # DEPENDENCYPART_GRANDPAR
(2,11),(11,6),0.23857 # DEPENDENCYPART_GRANDPAR
(2,11),(11,7),0.667198 # DEPENDENCYPART_GRANDPAR
(2,11),(11,8),-0.0351646 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),0.583351 # DEPENDENCYPART_GRANDPAR
(2,11),(11,10),0.340934 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.370322 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),0.402485 # DEPENDENCYPART_GRANDPAR
(2,11),(11,15),0.314862 # DEPENDENCYPART_GRANDPAR
(2,11),(11,16),-0.0608717 # DEPENDENCYPART_GRANDPAR
(2,11),(11,17),-0.160576 # DEPENDENCYPART_GRANDPAR
(2,11),(11,18),0.0038898 # DEPENDENCYPART_GRANDPAR
(2,11),(11,20),0.00823081 # DEPENDENCYPART_GRANDPAR
(2,11),(11,21),-0.110078 # DEPENDENCYPART_GRANDPAR
(2,13),(13,1),-0.245386 # DEPENDENCYPART_GRANDPAR
(2,13),(13,2),-0.52417 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,13),(13,4),0.144807 # DEPENDENCYPART_GRANDPAR
(2,13),(13,5),0.0331726 # DEPENDENCYPART_GRANDPAR
(2,13),(13,6),0.186318 # DEPENDENCYPART_GRANDPAR
(2,13),(13,7),0.494178 # DEPENDENCYPART_GRANDPAR
(2,13),(13,8),-0.0887095 # DEPENDENCYPART_GRANDPAR
(2,13),(13,9),0.410331 # DEPENDENCYPART_GRANDPAR
(2,13),(13,10),0.00225013 # DEPENDENCYPART_GRANDPAR
(2,13),(13,11),0.196834 # DEPENDENCYPART_GRANDPAR
(2,13),(13,12),-0.505476 # DEPENDENCYPART_GRANDPAR
(2,13),(13,14),0.264384 # DEPENDENCYPART_GRANDPAR
(2,13),(13,15),0.225213 # DEPENDENCYPART_GRANDPAR
(2,13),(13,16),0.00483657 # DEPENDENCYPART_GRANDPAR
(2,13),(13,17),-0.0811455 # DEPENDENCYPART_GRANDPAR
(2,13),(13,18),0.0379165 # DEPENDENCYPART_GRANDPAR
(2,13),(13,20),0.0735241 # DEPENDENCYPART_GRANDPAR
(2,13),(13,21),-0.128711 # DEPENDENCYPART_GRANDPAR
(2,21),(21,18),-0.100746 # DEPENDENCYPART_GRANDPAR
(2,21),(21,20),-0.135721 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),0.195448 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-0.949884 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),0.185835 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.412312 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.338567 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-0.528033 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-0.412893 # DEPENDENCYPART_GRANDPAR
(3,1),(1,11),-0.310006 # DEPENDENCYPART_GRANDPAR
(3,1),(1,13),-0.207248 # DEPENDENCYPART_GRANDPAR
(3,1),(1,17),-0.660379 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.0879671 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.08097 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.0111543 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.539743 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),-0.654829 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.367039 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.770552 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-0.441365 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-0.567719 # DEPENDENCYPART_GRANDPAR
(3,2),(2,13),-0.339356 # DEPENDENCYPART_GRANDPAR
(3,2),(2,21),-0.951239 # DEPENDENCYPART_GRANDPAR
(3,4),(4,5),0.125742 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.0316427 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),0.297579 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.0969843 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),0.223253 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),0.097643 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),0.131147 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.063241 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),0.202208 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.178652 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),0.127882 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.0041405 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),0.11817 # DEPENDENCYPART_GRANDPAR
(3,5),(5,17),-0.322283 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.353945 # DEPENDENCYPART_GRANDPAR
(3,6),(6,4),0.237121 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.0179788 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.185804 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.195086 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),0.111478 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.0205752 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),0.108728 # DEPENDENCYPART_GRANDPAR
(3,6),(6,17),-0.338717 # DEPENDENCYPART_GRANDPAR
(3,6),(6,18),-0.345595 # DEPENDENCYPART_GRANDPAR
(3,6),(6,20),-0.61677 # DEPENDENCYPART_GRANDPAR
(3,6),(6,21),-0.494126 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),-0.0318508 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),-0.1504 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.268266 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),0.124611 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),-0.00942556 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),0.107147 # DEPENDENCYPART_GRANDPAR
(3,8),(8,17),-0.327564 # DEPENDENCYPART_GRANDPAR
(3,8),(8,18),-0.347201 # DEPENDENCYPART_GRANDPAR
(3,8),(8,20),-0.605616 # DEPENDENCYPART_GRANDPAR
(3,8),(8,21),-0.495677 # DEPENDENCYPART_GRANDPAR
(3,11),(11,5),-0.0229578 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),-0.141507 # DEPENDENCYPART_GRANDPAR
(3,11),(11,7),0.268835 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),-0.260713 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),0.194509 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),-0.0896545 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-0.829787 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),0.107964 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),-0.321642 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),-0.421049 # DEPENDENCYPART_GRANDPAR
(3,11),(11,17),-0.342533 # DEPENDENCYPART_GRANDPAR
(3,11),(11,18),-0.363231 # DEPENDENCYPART_GRANDPAR
(3,11),(11,20),-0.620585 # DEPENDENCYPART_GRANDPAR
(3,11),(11,21),-0.503308 # DEPENDENCYPART_GRANDPAR
(3,13),(13,1),-0.528723 # DEPENDENCYPART_GRANDPAR
