# _root_ Still , for those with a long-term eye on the vast U.S. retail market , this is a tempting time to look for bargains .
#goldHeads=17,17,17,3,4,8,8,5,8,14,14,14,14,9,17,17,0,20,20,17,22,20,22,23,17,
#predictedHeads=17,17,17,3,4,8,8,5,8,14,14,14,14,9,17,17,0,20,20,17,22,20,22,23,17,
(20,11),(20,21),-0.0486551 # DEPENDENCYPART_SIBL
(20,11),(20,22),0.0210202 # DEPENDENCYPART_SIBL
(20,11),(20,23),-0.0115436 # DEPENDENCYPART_SIBL
(20,11),(20,24),-0.00589493 # DEPENDENCYPART_SIBL
(20,11),(20,25),-0.0162956 # DEPENDENCYPART_SIBL
(20,13),(20,16),-0.0713139 # DEPENDENCYPART_SIBL
(20,13),(20,18),-0.0579526 # DEPENDENCYPART_SIBL
(20,13),(20,19),0.0272788 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.0451707 # DEPENDENCYPART_SIBL
(20,13),(20,22),0.0319977 # DEPENDENCYPART_SIBL
(20,13),(20,23),-0.0109848 # DEPENDENCYPART_SIBL
(20,13),(20,24),-0.0112087 # DEPENDENCYPART_SIBL
(20,13),(20,25),-0.0128767 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.224122 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0465539 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.0214864 # DEPENDENCYPART_SIBL
(20,16),(20,22),0.0700043 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.0824536 # DEPENDENCYPART_SIBL
(20,16),(20,24),-0.0118753 # DEPENDENCYPART_SIBL
(20,16),(20,25),-0.0241495 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0916109 # DEPENDENCYPART_SIBL
(20,18),(20,21),0.178939 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.308857 # DEPENDENCYPART_SIBL
(20,18),(20,23),0.161674 # DEPENDENCYPART_SIBL
(20,18),(20,24),0.0065636 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.00477223 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0468257 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.0243269 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.00936104 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.00406562 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.0144664 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.00648669 # DEPENDENCYPART_SIBL
(20,21),(20,23),0.0259178 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.00668476 # DEPENDENCYPART_SIBL
(20,21),(20,25),0.0644468 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.00638125 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.00660599 # DEPENDENCYPART_SIBL
(20,22),(20,25),0.0144331 # DEPENDENCYPART_SIBL
(20,23),(20,24),0.0450629 # DEPENDENCYPART_SIBL
(20,23),(20,25),0.0559504 # DEPENDENCYPART_SIBL
(20,24),(20,25),0.0339509 # DEPENDENCYPART_SIBL
(21,20),(21,22),-0.0338808 # DEPENDENCYPART_SIBL
(21,20),(21,23),-0.0174618 # DEPENDENCYPART_SIBL
(21,20),(21,24),0.0353271 # DEPENDENCYPART_SIBL
(21,20),(21,25),0.0382694 # DEPENDENCYPART_SIBL
(21,22),(21,23),0.00571536 # DEPENDENCYPART_SIBL
(21,22),(21,24),-0.0287405 # DEPENDENCYPART_SIBL
(21,22),(21,25),0.0392709 # DEPENDENCYPART_SIBL
(21,23),(21,24),-0.00058793 # DEPENDENCYPART_SIBL
(21,23),(21,25),0.0293194 # DEPENDENCYPART_SIBL
(21,24),(21,25),0.00187655 # DEPENDENCYPART_SIBL
(22,5),(22,8),0.0155197 # DEPENDENCYPART_SIBL
(22,5),(22,9),-0.0213181 # DEPENDENCYPART_SIBL
(22,5),(22,12),0.00759263 # DEPENDENCYPART_SIBL
(22,5),(22,14),0.0172618 # DEPENDENCYPART_SIBL
(22,5),(22,15),0.0242926 # DEPENDENCYPART_SIBL
(22,5),(22,17),-0.0362673 # DEPENDENCYPART_SIBL
(22,5),(22,18),-0.00778646 # DEPENDENCYPART_SIBL
(22,5),(22,19),0.00644627 # DEPENDENCYPART_SIBL
(22,5),(22,20),0.0141595 # DEPENDENCYPART_SIBL
(22,5),(22,21),0.00184751 # DEPENDENCYPART_SIBL
(22,5),(22,23),0.012005 # DEPENDENCYPART_SIBL
(22,5),(22,24),0.0304118 # DEPENDENCYPART_SIBL
(22,5),(22,25),0.0110094 # DEPENDENCYPART_SIBL
(22,8),(22,9),0.000480332 # DEPENDENCYPART_SIBL
(22,8),(22,12),-0.109876 # DEPENDENCYPART_SIBL
(22,8),(22,14),-0.0939547 # DEPENDENCYPART_SIBL
(22,8),(22,15),-0.0116782 # DEPENDENCYPART_SIBL
(22,8),(22,17),-0.031324 # DEPENDENCYPART_SIBL
(22,8),(22,18),-0.0640716 # DEPENDENCYPART_SIBL
(22,8),(22,19),-0.027624 # DEPENDENCYPART_SIBL
(22,8),(22,20),-0.0923243 # DEPENDENCYPART_SIBL
(22,8),(22,21),0.0140481 # DEPENDENCYPART_SIBL
(22,8),(22,23),0.00352717 # DEPENDENCYPART_SIBL
(22,8),(22,24),-0.00999942 # DEPENDENCYPART_SIBL
(22,8),(22,25),0.0375947 # DEPENDENCYPART_SIBL
(22,9),(22,12),-0.00236327 # DEPENDENCYPART_SIBL
(22,9),(22,14),0.000345903 # DEPENDENCYPART_SIBL
(22,9),(22,15),0.143018 # DEPENDENCYPART_SIBL
(22,9),(22,17),-0.0108509 # DEPENDENCYPART_SIBL
(22,9),(22,18),0.00749586 # DEPENDENCYPART_SIBL
(22,9),(22,19),0.0103187 # DEPENDENCYPART_SIBL
(22,9),(22,20),0.00524294 # DEPENDENCYPART_SIBL
(22,9),(22,21),0.0268613 # DEPENDENCYPART_SIBL
(22,9),(22,23),0.0271016 # DEPENDENCYPART_SIBL
(22,9),(22,24),-0.0119995 # DEPENDENCYPART_SIBL
(22,9),(22,25),0.0665313 # DEPENDENCYPART_SIBL
(22,12),(22,14),-0.0824152 # DEPENDENCYPART_SIBL
(22,12),(22,15),0.000210173 # DEPENDENCYPART_SIBL
(22,12),(22,17),-0.0470342 # DEPENDENCYPART_SIBL
(22,12),(22,18),-0.0666643 # DEPENDENCYPART_SIBL
(22,12),(22,19),-0.000684423 # DEPENDENCYPART_SIBL
(22,12),(22,20),-0.0827849 # DEPENDENCYPART_SIBL
(22,12),(22,21),0.000710273 # DEPENDENCYPART_SIBL
(22,12),(22,23),1.73146e-05 # DEPENDENCYPART_SIBL
(22,12),(22,24),-0.0420195 # DEPENDENCYPART_SIBL
(22,12),(22,25),0.00645798 # DEPENDENCYPART_SIBL
(22,14),(22,15),-0.0170422 # DEPENDENCYPART_SIBL
(22,14),(22,17),-0.0344708 # DEPENDENCYPART_SIBL
(22,14),(22,18),-0.0673525 # DEPENDENCYPART_SIBL
(22,14),(22,19),-0.0262164 # DEPENDENCYPART_SIBL
(22,14),(22,20),-0.100209 # DEPENDENCYPART_SIBL
(22,14),(22,21),0.00725883 # DEPENDENCYPART_SIBL
(22,14),(22,23),-0.000771965 # DEPENDENCYPART_SIBL
(22,14),(22,24),-0.0150958 # DEPENDENCYPART_SIBL
(22,14),(22,25),0.0339846 # DEPENDENCYPART_SIBL
(22,15),(22,17),-0.0336722 # DEPENDENCYPART_SIBL
(22,15),(22,18),-0.0173648 # DEPENDENCYPART_SIBL
(22,15),(22,19),-0.0100893 # DEPENDENCYPART_SIBL
(22,15),(22,20),0.0278721 # DEPENDENCYPART_SIBL
(22,15),(22,21),-0.059856 # DEPENDENCYPART_SIBL
(22,15),(22,23),-0.0499655 # DEPENDENCYPART_SIBL
(22,15),(22,24),-0.0115416 # DEPENDENCYPART_SIBL
(22,15),(22,25),0.052317 # DEPENDENCYPART_SIBL
(22,17),(22,18),0.00739144 # DEPENDENCYPART_SIBL
(22,17),(22,19),-0.0154587 # DEPENDENCYPART_SIBL
(22,17),(22,20),0.0112555 # DEPENDENCYPART_SIBL
(22,17),(22,21),0.0118515 # DEPENDENCYPART_SIBL
(22,17),(22,23),-0.0230429 # DEPENDENCYPART_SIBL
(22,17),(22,24),-0.0175836 # DEPENDENCYPART_SIBL
(22,17),(22,25),0.0367326 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.0347918 # DEPENDENCYPART_SIBL
(22,18),(22,20),-0.048971 # DEPENDENCYPART_SIBL
(22,18),(22,21),-0.0612976 # DEPENDENCYPART_SIBL
(22,18),(22,23),0.155942 # DEPENDENCYPART_SIBL
(22,18),(22,24),-0.052108 # DEPENDENCYPART_SIBL
(22,18),(22,25),-0.0152222 # DEPENDENCYPART_SIBL
(22,19),(22,20),-0.0113147 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.026515 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.0054511 # DEPENDENCYPART_SIBL
(22,19),(22,24),0.00459941 # DEPENDENCYPART_SIBL
(22,19),(22,25),0.0232199 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.0166412 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.0115722 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.0111632 # DEPENDENCYPART_SIBL
(22,20),(22,25),0.0774452 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.141925 # DEPENDENCYPART_SIBL
(22,21),(22,24),0.07386 # DEPENDENCYPART_SIBL
(22,21),(22,25),-0.222147 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0294452 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.022746 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.0113567 # DEPENDENCYPART_SIBL
(23,20),(23,21),-0.0026058 # DEPENDENCYPART_SIBL
(23,20),(23,22),0.0190246 # DEPENDENCYPART_SIBL
(23,20),(23,24),-0.0373243 # DEPENDENCYPART_SIBL
(23,20),(23,25),-0.0246529 # DEPENDENCYPART_SIBL
(23,21),(23,22),0.014053 # DEPENDENCYPART_SIBL
(23,21),(23,24),0.00897416 # DEPENDENCYPART_SIBL
(23,21),(23,25),-0.144865 # DEPENDENCYPART_SIBL
(23,22),(23,24),-0.0652011 # DEPENDENCYPART_SIBL
(23,22),(23,25),0.00394954 # DEPENDENCYPART_SIBL
(23,24),(23,25),-0.0120182 # DEPENDENCYPART_SIBL
(24,16),(24,18),-0.236973 # DEPENDENCYPART_SIBL
(24,16),(24,19),0.0107753 # DEPENDENCYPART_SIBL
(24,16),(24,21),-0.0681656 # DEPENDENCYPART_SIBL
(24,16),(24,22),0.0620268 # DEPENDENCYPART_SIBL
(24,16),(24,23),-0.0195001 # DEPENDENCYPART_SIBL
(24,16),(24,25),-0.0846845 # DEPENDENCYPART_SIBL
(24,18),(24,19),0.0424722 # DEPENDENCYPART_SIBL
(24,18),(24,21),-0.0355698 # DEPENDENCYPART_SIBL
(24,18),(24,22),0.143796 # DEPENDENCYPART_SIBL
(24,18),(24,23),0.0263952 # DEPENDENCYPART_SIBL
(24,18),(24,25),-0.0355171 # DEPENDENCYPART_SIBL
(24,19),(24,21),-0.0155545 # DEPENDENCYPART_SIBL
(24,19),(24,22),0.0728315 # DEPENDENCYPART_SIBL
(24,19),(24,23),0.00718977 # DEPENDENCYPART_SIBL
(24,19),(24,25),-0.0226873 # DEPENDENCYPART_SIBL
(24,21),(24,22),-0.00242256 # DEPENDENCYPART_SIBL
(24,21),(24,23),-0.0155292 # DEPENDENCYPART_SIBL
(24,21),(24,25),-0.0844985 # DEPENDENCYPART_SIBL
(24,22),(24,23),0.0126936 # DEPENDENCYPART_SIBL
(24,22),(24,25),0.0419344 # DEPENDENCYPART_SIBL
(24,23),(24,25),0.0279163 # DEPENDENCYPART_SIBL
(0,0),(0,1),-0.401626 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,3),-0.733886 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,17),0.618149 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,22),-0.137309 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,26),-0.774876 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(0,3),-0.763731 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,17),-0.510519 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,22),-0.77831 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,26),-0.449002 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,3),(0,17),-0.495023 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,22),-0.587711 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,26),-0.912444 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,17),(0,22),-0.914126 # DEPENDENCYPART_NEXTSIBL
(0,17),(0,26),0.320355 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,22),(0,26),0.126091 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.300008 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-1.06969 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.594859 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,5),-0.251523 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,8),-0.20466 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,9),-0.232934 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,26),-0.0498006 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.67633 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,5),-0.621963 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,8),-0.723994 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,9),-0.829544 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,26),-0.8089 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,3),(1,5),-0.535384 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,8),-0.328532 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,9),-0.484961 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,26),-0.837176 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,5),(1,8),-0.64905 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,9),-0.443954 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,26),-0.63164 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,8),(1,9),-0.620512 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,26),-0.726552 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,9),(1,26),-0.600428 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.226656 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.677927 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,26),-0.0493409 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,3),(2,26),-0.8814 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.591562 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.141805 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.500438 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.167482 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,5),-0.344031 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,7),-0.158242 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,8),0.00734632 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,9),-0.318916 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,12),-0.294697 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,14),-0.0253097 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,15),-1.15697 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,26),-0.61749 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),-0.814243 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,7),-0.850624 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,8),-0.793678 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,9),-0.766393 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,12),-0.837089 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,14),-0.84084 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,15),-0.910604 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,26),-0.796816 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,7),-0.863941 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,8),-0.627475 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,9),-0.493269 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,12),-0.596238 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,14),-0.454737 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,15),-0.496636 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,26),-0.704465 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,7),(3,8),-1.00646 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,9),-1.11221 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,12),-1.1979 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,14),-1.30778 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,15),-0.875021 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,26),-0.802264 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,8),(3,9),-0.535438 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,12),-1.0308 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,14),-1.04931 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,15),-0.589161 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,26),-0.504977 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,9),(3,12),-0.692728 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,14),-0.635785 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,15),-0.348797 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,26),-0.603785 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,12),(3,14),-1.12698 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,15),-0.847072 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,26),-0.475116 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,14),(3,15),-0.630398 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,26),-0.349608 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,15),(3,26),-0.512478 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-1.12831 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-0.407777 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-0.0989737 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.338039 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.790334 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),-0.336238 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,5),-0.160519 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,9),-0.145069 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,15),-1.13476 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,26),-0.426108 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,9),-0.41584 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,15),-0.494978 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,26),-0.514824 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,9),(4,15),-0.363475 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,26),-0.460113 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,15),(4,26),-0.683988 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,3),-0.579169 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,2),-1.25091 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.184925 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,3),(4,2),-0.174653 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,-1),-0.778993 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,2),(4,-1),-0.972191 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,6),-0.593107 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,7),-0.118348 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,8),-0.130644 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,9),-0.302716 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,11),-0.179619 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,12),-0.435823 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,14),-0.175857 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,15),-1.18153 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,17),0.210528 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,26),-0.628837 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,7),-0.967405 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,8),-0.857873 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,9),-1.02725 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,11),-1.04623 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,12),-0.990186 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,14),-0.997499 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,15),-1.06689 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,17),-0.991526 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,26),-1.09535 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,7),(5,8),-1.02662 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,9),-1.10427 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,11),-1.13207 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,12),-1.21963 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,14),-1.33422 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,15),-0.882234 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,17),-0.932089 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,26),-0.76109 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,8),(5,9),-0.600782 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,11),-0.862039 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,12),-1.09887 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,14),-1.12209 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,15),-0.665168 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,17),-0.794443 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,26),-0.542539 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,9),(5,11),-0.840843 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,12),-0.733672 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,14),-0.681432 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,15),-0.3851 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,17),-0.563463 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,26),-0.619085 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,11),(5,12),-1.00709 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,14),-1.21835 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,15),-0.851023 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,17),-0.917873 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,26),-0.634507 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,12),(5,14),-1.20133 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,15),-0.924647 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,17),-1.08051 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,26),-0.515785 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,14),(5,15),-0.712681 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,17),-0.981906 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,26),-0.399721 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,15),(5,17),-0.179017 # DEPENDENCYPART_NEXTSIBL
(5,15),(5,26),-0.580363 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,17),(5,26),-0.114147 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-0.283829 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-0.560692 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.101003 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.63313 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-0.948341 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,-1),-0.788497 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.217191 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),-0.194511 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,26),-0.131005 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,9),-1.11749 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,26),-0.825324 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,26),-0.515497 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,5),-0.383143 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.187677 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,5),(6,-1),-0.66762 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,9),-0.13249 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,11),-0.202356 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,12),-0.532662 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,14),-0.305664 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,26),-0.240603 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,9),(7,11),-0.791283 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,12),-0.710924 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,14),-0.669947 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,26),-0.473793 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,11),(7,12),-0.996495 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,14),-1.21806 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,26),-0.610471 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,12),(7,14),-1.12629 # DEPENDENCYPART_NEXTSIBL
