# _root_ The notes , which are noncallable , were priced at a spread of 45 basis points above the Treasury 's 10-year note .
#goldHeads=2,8,2,5,2,5,2,0,8,9,12,17,12,16,16,13,10,19,22,19,22,17,8,
#predictedHeads=2,8,2,5,2,5,2,0,8,9,12,17,12,16,16,13,10,19,22,19,22,17,8,
(2,9),(9,3),0.237606 # DEPENDENCYPART_GRANDPAR
(2,9),(9,4),0.732658 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),0.0727634 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),0.143711 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),0.475719 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),0.254938 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),-0.0143136 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),0.0978617 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),0.0296626 # DEPENDENCYPART_GRANDPAR
(2,9),(9,14),-0.0017659 # DEPENDENCYPART_GRANDPAR
(2,9),(9,15),0.0528816 # DEPENDENCYPART_GRANDPAR
(2,9),(9,16),0.220201 # DEPENDENCYPART_GRANDPAR
(2,9),(9,17),0.162172 # DEPENDENCYPART_GRANDPAR
(2,9),(9,22),-0.0865545 # DEPENDENCYPART_GRANDPAR
(2,9),(9,23),-0.642639 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),0.428699 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),0.00852104 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),0.0394843 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),-0.0469388 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),0.00871168 # DEPENDENCYPART_GRANDPAR
(2,10),(10,15),0.00258306 # DEPENDENCYPART_GRANDPAR
(2,10),(10,16),0.166128 # DEPENDENCYPART_GRANDPAR
(2,10),(10,17),0.00901442 # DEPENDENCYPART_GRANDPAR
(2,10),(10,22),-0.143393 # DEPENDENCYPART_GRANDPAR
(2,12),(12,5),0.726812 # DEPENDENCYPART_GRANDPAR
(2,12),(12,6),0.213102 # DEPENDENCYPART_GRANDPAR
(2,12),(12,7),0.238037 # DEPENDENCYPART_GRANDPAR
(2,12),(12,8),0.525451 # DEPENDENCYPART_GRANDPAR
(2,12),(12,10),0.000723536 # DEPENDENCYPART_GRANDPAR
(2,12),(12,11),0.31327 # DEPENDENCYPART_GRANDPAR
(2,12),(12,13),-0.0921304 # DEPENDENCYPART_GRANDPAR
(2,12),(12,14),-0.00415952 # DEPENDENCYPART_GRANDPAR
(2,12),(12,15),0.0276176 # DEPENDENCYPART_GRANDPAR
(2,12),(12,16),0.180142 # DEPENDENCYPART_GRANDPAR
(2,12),(12,17),-0.0372667 # DEPENDENCYPART_GRANDPAR
(2,12),(12,18),-0.0771046 # DEPENDENCYPART_GRANDPAR
(2,12),(12,19),0.0372568 # DEPENDENCYPART_GRANDPAR
(2,12),(12,21),-0.201422 # DEPENDENCYPART_GRANDPAR
(2,12),(12,22),-0.118272 # DEPENDENCYPART_GRANDPAR
(2,12),(12,23),-0.506024 # DEPENDENCYPART_GRANDPAR
(2,13),(13,10),-0.0260303 # DEPENDENCYPART_GRANDPAR
(2,13),(13,11),0.190825 # DEPENDENCYPART_GRANDPAR
(2,13),(13,12),-0.118461 # DEPENDENCYPART_GRANDPAR
(2,13),(13,14),0.153184 # DEPENDENCYPART_GRANDPAR
(2,13),(13,15),0.135857 # DEPENDENCYPART_GRANDPAR
(2,13),(13,16),0.303436 # DEPENDENCYPART_GRANDPAR
(2,13),(13,17),0.129356 # DEPENDENCYPART_GRANDPAR
(2,13),(13,19),0.158419 # DEPENDENCYPART_GRANDPAR
(2,13),(13,22),-0.00743392 # DEPENDENCYPART_GRANDPAR
(2,16),(16,7),0.240511 # DEPENDENCYPART_GRANDPAR
(2,16),(16,10),-0.0109753 # DEPENDENCYPART_GRANDPAR
(2,16),(16,11),0.322129 # DEPENDENCYPART_GRANDPAR
(2,16),(16,12),-0.0379557 # DEPENDENCYPART_GRANDPAR
(2,16),(16,13),-0.000268568 # DEPENDENCYPART_GRANDPAR
(2,16),(16,14),-0.118498 # DEPENDENCYPART_GRANDPAR
(2,16),(16,15),-0.0771926 # DEPENDENCYPART_GRANDPAR
(2,16),(16,17),-0.0630826 # DEPENDENCYPART_GRANDPAR
(2,16),(16,18),-0.0887001 # DEPENDENCYPART_GRANDPAR
(2,16),(16,19),0.0366081 # DEPENDENCYPART_GRANDPAR
(2,16),(16,21),-0.212009 # DEPENDENCYPART_GRANDPAR
(2,16),(16,22),-0.117903 # DEPENDENCYPART_GRANDPAR
(2,16),(16,23),-0.50694 # DEPENDENCYPART_GRANDPAR
(2,17),(17,12),-0.0201887 # DEPENDENCYPART_GRANDPAR
(2,17),(17,13),-0.0302281 # DEPENDENCYPART_GRANDPAR
(2,17),(17,15),-0.0775384 # DEPENDENCYPART_GRANDPAR
(2,17),(17,16),0.106453 # DEPENDENCYPART_GRANDPAR
(2,17),(17,18),-0.103189 # DEPENDENCYPART_GRANDPAR
(2,17),(17,19),0.025969 # DEPENDENCYPART_GRANDPAR
(2,17),(17,21),-0.121179 # DEPENDENCYPART_GRANDPAR
(2,17),(17,22),-0.138525 # DEPENDENCYPART_GRANDPAR
(2,17),(17,23),-0.642129 # DEPENDENCYPART_GRANDPAR
(2,22),(22,11),0.33284 # DEPENDENCYPART_GRANDPAR
(2,22),(22,12),-0.0266605 # DEPENDENCYPART_GRANDPAR
(2,22),(22,13),-0.0015559 # DEPENDENCYPART_GRANDPAR
(2,22),(22,14),-0.13545 # DEPENDENCYPART_GRANDPAR
(2,22),(22,15),-0.0673387 # DEPENDENCYPART_GRANDPAR
(2,22),(22,17),-0.0330319 # DEPENDENCYPART_GRANDPAR
(2,22),(22,18),0.0784243 # DEPENDENCYPART_GRANDPAR
(2,22),(22,19),-0.0488617 # DEPENDENCYPART_GRANDPAR
(2,22),(22,20),-0.401686 # DEPENDENCYPART_GRANDPAR
(2,22),(22,21),-0.0564126 # DEPENDENCYPART_GRANDPAR
(2,22),(22,23),-0.494572 # DEPENDENCYPART_GRANDPAR
(2,23),(23,22),-0.313314 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.130955 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),-0.0433445 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-0.897672 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,6),0.266169 # DEPENDENCYPART_GRANDPAR
(5,2),(2,7),-0.193296 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),-0.251116 # DEPENDENCYPART_GRANDPAR
(5,2),(2,9),-0.281553 # DEPENDENCYPART_GRANDPAR
(5,2),(2,10),-0.0414088 # DEPENDENCYPART_GRANDPAR
(5,2),(2,12),-0.46916 # DEPENDENCYPART_GRANDPAR
(5,2),(2,13),-0.180347 # DEPENDENCYPART_GRANDPAR
(5,2),(2,16),-0.498246 # DEPENDENCYPART_GRANDPAR
(5,2),(2,17),0.0141017 # DEPENDENCYPART_GRANDPAR
(5,2),(2,22),-0.642804 # DEPENDENCYPART_GRANDPAR
(5,2),(2,23),-0.869436 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),-0.75112 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-0.470023 # DEPENDENCYPART_GRANDPAR
(5,6),(6,7),0.370001 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),0.0998912 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.0995347 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),-0.00781381 # DEPENDENCYPART_GRANDPAR
(5,6),(6,12),-0.24449 # DEPENDENCYPART_GRANDPAR
(5,8),(8,1),-0.664889 # DEPENDENCYPART_GRANDPAR
(5,8),(8,2),-0.862576 # DEPENDENCYPART_GRANDPAR
(5,8),(8,3),-0.562452 # DEPENDENCYPART_GRANDPAR
(5,8),(8,4),0.0160352 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),-0.667721 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,6),0.495795 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),0.0316102 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),0.017951 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),0.0725213 # DEPENDENCYPART_GRANDPAR
(5,8),(8,12),-0.193164 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),-0.101376 # DEPENDENCYPART_GRANDPAR
(5,8),(8,16),-0.19152 # DEPENDENCYPART_GRANDPAR
(5,8),(8,17),0.144705 # DEPENDENCYPART_GRANDPAR
(5,8),(8,23),-0.59797 # DEPENDENCYPART_GRANDPAR
(5,9),(9,2),-0.857662 # DEPENDENCYPART_GRANDPAR
(5,9),(9,3),-0.563662 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-0.0122597 # DEPENDENCYPART_GRANDPAR
(5,9),(9,6),0.476838 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),0.152481 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),-0.0208056 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),0.129111 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),-0.413308 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),-0.17537 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),-0.0573293 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),-0.173253 # DEPENDENCYPART_GRANDPAR
(5,9),(9,15),-0.0713513 # DEPENDENCYPART_GRANDPAR
(5,9),(9,16),-0.17788 # DEPENDENCYPART_GRANDPAR
(5,9),(9,17),0.186394 # DEPENDENCYPART_GRANDPAR
(5,9),(9,22),-0.337088 # DEPENDENCYPART_GRANDPAR
(5,9),(9,23),-0.607309 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),0.0118368 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),-0.361575 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),-0.237239 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),0.0271672 # DEPENDENCYPART_GRANDPAR
(5,10),(10,14),-0.14398 # DEPENDENCYPART_GRANDPAR
(5,10),(10,15),-0.0855329 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),-0.218876 # DEPENDENCYPART_GRANDPAR
(5,10),(10,17),0.138888 # DEPENDENCYPART_GRANDPAR
(5,10),(10,22),-0.375066 # DEPENDENCYPART_GRANDPAR
(5,23),(23,22),-0.536603 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),0.00983113 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),0.00509726 # DEPENDENCYPART_GRANDPAR
(6,2),(2,5),0.0493132 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-1.17645 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,7),0.0116816 # DEPENDENCYPART_GRANDPAR
(6,2),(2,8),-0.13314 # DEPENDENCYPART_GRANDPAR
(6,2),(2,9),-0.297646 # DEPENDENCYPART_GRANDPAR
(6,2),(2,10),-0.232833 # DEPENDENCYPART_GRANDPAR
(6,2),(2,12),-0.672771 # DEPENDENCYPART_GRANDPAR
(6,2),(2,13),-0.330136 # DEPENDENCYPART_GRANDPAR
(6,2),(2,16),-0.659023 # DEPENDENCYPART_GRANDPAR
(6,2),(2,17),-0.395118 # DEPENDENCYPART_GRANDPAR
(6,2),(2,22),-0.823133 # DEPENDENCYPART_GRANDPAR
(6,2),(2,23),-0.743506 # DEPENDENCYPART_GRANDPAR
(6,8),(8,1),-0.400771 # DEPENDENCYPART_GRANDPAR
(6,8),(8,2),-0.471741 # DEPENDENCYPART_GRANDPAR
(6,8),(8,3),-0.429858 # DEPENDENCYPART_GRANDPAR
(6,8),(8,4),0.167912 # DEPENDENCYPART_GRANDPAR
(6,8),(8,5),-0.40738 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-0.786565 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.367435 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),0.0674244 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),0.157239 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),-0.293139 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),-0.022374 # DEPENDENCYPART_GRANDPAR
(6,8),(8,16),-0.254929 # DEPENDENCYPART_GRANDPAR
(6,8),(8,17),-0.0137447 # DEPENDENCYPART_GRANDPAR
(6,8),(8,23),-0.366056 # DEPENDENCYPART_GRANDPAR
(6,9),(9,2),-0.468346 # DEPENDENCYPART_GRANDPAR
(6,9),(9,3),-0.429706 # DEPENDENCYPART_GRANDPAR
(6,9),(9,4),0.154634 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-0.814558 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.426156 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),0.293252 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),0.196884 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),-0.0868544 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),-0.283788 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),0.00623671 # DEPENDENCYPART_GRANDPAR
(6,9),(9,14),0.0417907 # DEPENDENCYPART_GRANDPAR
(6,9),(9,15),-0.375822 # DEPENDENCYPART_GRANDPAR
(6,9),(9,16),-0.247653 # DEPENDENCYPART_GRANDPAR
(6,9),(9,17),0.0161024 # DEPENDENCYPART_GRANDPAR
(6,9),(9,22),-0.430093 # DEPENDENCYPART_GRANDPAR
(6,9),(9,23),-0.388194 # DEPENDENCYPART_GRANDPAR
(6,10),(10,9),0.117606 # DEPENDENCYPART_GRANDPAR
(6,10),(10,11),-0.0345802 # DEPENDENCYPART_GRANDPAR
(6,10),(10,12),-0.284671 # DEPENDENCYPART_GRANDPAR
(6,10),(10,13),0.0163962 # DEPENDENCYPART_GRANDPAR
(6,10),(10,14),0.05619 # DEPENDENCYPART_GRANDPAR
(6,10),(10,15),-0.358418 # DEPENDENCYPART_GRANDPAR
(6,10),(10,16),-0.239535 # DEPENDENCYPART_GRANDPAR
(6,10),(10,17),-0.0362245 # DEPENDENCYPART_GRANDPAR
(6,10),(10,22),-0.418111 # DEPENDENCYPART_GRANDPAR
(6,12),(12,5),-0.417296 # DEPENDENCYPART_GRANDPAR
(6,12),(12,6),-0.75124 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,12),(12,7),0.487851 # DEPENDENCYPART_GRANDPAR
(6,12),(12,8),0.329569 # DEPENDENCYPART_GRANDPAR
(6,12),(12,10),0.0698572 # DEPENDENCYPART_GRANDPAR
(6,12),(12,11),0.0269582 # DEPENDENCYPART_GRANDPAR
(6,12),(12,13),-0.0543709 # DEPENDENCYPART_GRANDPAR
(6,12),(12,14),0.0579726 # DEPENDENCYPART_GRANDPAR
(6,12),(12,15),-0.43703 # DEPENDENCYPART_GRANDPAR
(6,12),(12,16),-0.323864 # DEPENDENCYPART_GRANDPAR
(6,12),(12,17),-0.125321 # DEPENDENCYPART_GRANDPAR
(6,12),(12,18),-0.2166 # DEPENDENCYPART_GRANDPAR
(6,12),(12,19),-0.603718 # DEPENDENCYPART_GRANDPAR
(6,12),(12,21),-0.362788 # DEPENDENCYPART_GRANDPAR
(6,12),(12,22),-0.493357 # DEPENDENCYPART_GRANDPAR
(6,12),(12,23),-0.336845 # DEPENDENCYPART_GRANDPAR
(8,1),(1,3),0.668308 # DEPENDENCYPART_GRANDPAR
(8,1),(1,5),0.805634 # DEPENDENCYPART_GRANDPAR
(8,1),(1,7),0.822527 # DEPENDENCYPART_GRANDPAR
(8,2),(2,1),0.919213 # DEPENDENCYPART_GRANDPAR
(8,2),(2,3),0.77534 # DEPENDENCYPART_GRANDPAR
(8,2),(2,5),0.881463 # DEPENDENCYPART_GRANDPAR
(8,2),(2,6),0.263259 # DEPENDENCYPART_GRANDPAR
(8,2),(2,7),0.929558 # DEPENDENCYPART_GRANDPAR
(8,2),(2,8),-0.654073 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,2),(2,9),0.286728 # DEPENDENCYPART_GRANDPAR
(8,2),(2,10),0.229859 # DEPENDENCYPART_GRANDPAR
(8,2),(2,12),-0.0239757 # DEPENDENCYPART_GRANDPAR
(8,2),(2,13),0.0657291 # DEPENDENCYPART_GRANDPAR
(8,2),(2,16),-0.167113 # DEPENDENCYPART_GRANDPAR
(8,2),(2,17),0.306198 # DEPENDENCYPART_GRANDPAR
(8,2),(2,22),-0.359949 # DEPENDENCYPART_GRANDPAR
(8,2),(2,23),-0.61247 # DEPENDENCYPART_GRANDPAR
(8,5),(5,2),0.192713 # DEPENDENCYPART_GRANDPAR
(8,5),(5,3),0.773989 # DEPENDENCYPART_GRANDPAR
(8,5),(5,4),0.459815 # DEPENDENCYPART_GRANDPAR
(8,5),(5,6),0.158472 # DEPENDENCYPART_GRANDPAR
(8,5),(5,7),0.746472 # DEPENDENCYPART_GRANDPAR
(8,5),(5,8),-0.765206 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,5),(5,9),0.174799 # DEPENDENCYPART_GRANDPAR
(8,5),(5,10),0.0128802 # DEPENDENCYPART_GRANDPAR
(8,5),(5,23),-0.691203 # DEPENDENCYPART_GRANDPAR
(8,6),(6,2),0.144425 # DEPENDENCYPART_GRANDPAR
(8,6),(6,3),0.675426 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),0.764452 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-0.626935 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,6),(6,9),0.311426 # DEPENDENCYPART_GRANDPAR
(8,6),(6,10),0.181996 # DEPENDENCYPART_GRANDPAR
(8,6),(6,12),-0.134027 # DEPENDENCYPART_GRANDPAR
(8,9),(9,2),-0.368592 # DEPENDENCYPART_GRANDPAR
(8,9),(9,3),0.137749 # DEPENDENCYPART_GRANDPAR
(8,9),(9,4),0.3267 # DEPENDENCYPART_GRANDPAR
(8,9),(9,6),-0.0957652 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),0.291967 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.409956 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),0.376405 # DEPENDENCYPART_GRANDPAR
(8,9),(9,11),-0.237714 # DEPENDENCYPART_GRANDPAR
(8,9),(9,12),0.341811 # DEPENDENCYPART_GRANDPAR
(8,9),(9,13),0.165189 # DEPENDENCYPART_GRANDPAR
(8,9),(9,14),0.0336127 # DEPENDENCYPART_GRANDPAR
(8,9),(9,15),0.296238 # DEPENDENCYPART_GRANDPAR
(8,9),(9,16),0.219737 # DEPENDENCYPART_GRANDPAR
(8,9),(9,17),0.457201 # DEPENDENCYPART_GRANDPAR
(8,9),(9,22),0.0159191 # DEPENDENCYPART_GRANDPAR
(8,9),(9,23),-0.327648 # DEPENDENCYPART_GRANDPAR
(8,10),(10,9),0.602502 # DEPENDENCYPART_GRANDPAR
(8,10),(10,11),-0.175748 # DEPENDENCYPART_GRANDPAR
(8,10),(10,12),0.296723 # DEPENDENCYPART_GRANDPAR
(8,10),(10,13),0.280916 # DEPENDENCYPART_GRANDPAR
(8,10),(10,14),0.0719627 # DEPENDENCYPART_GRANDPAR
(8,10),(10,15),0.298837 # DEPENDENCYPART_GRANDPAR
(8,10),(10,16),0.198581 # DEPENDENCYPART_GRANDPAR
(8,10),(10,17),0.44739 # DEPENDENCYPART_GRANDPAR
(8,10),(10,22),-0.00434341 # DEPENDENCYPART_GRANDPAR
(8,12),(12,5),0.424825 # DEPENDENCYPART_GRANDPAR
(8,12),(12,6),-0.0647642 # DEPENDENCYPART_GRANDPAR
(8,12),(12,7),0.284727 # DEPENDENCYPART_GRANDPAR
(8,12),(12,8),-0.194884 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,12),(12,10),0.225269 # DEPENDENCYPART_GRANDPAR
(8,12),(12,11),-0.0359722 # DEPENDENCYPART_GRANDPAR
(8,12),(12,13),0.10988 # DEPENDENCYPART_GRANDPAR
(8,12),(12,14),0.0763088 # DEPENDENCYPART_GRANDPAR
(8,12),(12,15),0.198569 # DEPENDENCYPART_GRANDPAR
(8,12),(12,16),0.11048 # DEPENDENCYPART_GRANDPAR
(8,12),(12,17),0.267509 # DEPENDENCYPART_GRANDPAR
(8,12),(12,18),-0.207309 # DEPENDENCYPART_GRANDPAR
(8,12),(12,19),0.0227451 # DEPENDENCYPART_GRANDPAR
(8,12),(12,21),-0.0883487 # DEPENDENCYPART_GRANDPAR
(8,12),(12,22),-0.0839139 # DEPENDENCYPART_GRANDPAR
(8,12),(12,23),-0.258175 # DEPENDENCYPART_GRANDPAR
(8,13),(13,10),0.19503 # DEPENDENCYPART_GRANDPAR
(8,13),(13,11),-0.271181 # DEPENDENCYPART_GRANDPAR
(8,13),(13,12),0.164945 # DEPENDENCYPART_GRANDPAR
(8,13),(13,14),0.0443932 # DEPENDENCYPART_GRANDPAR
(8,13),(13,15),0.239166 # DEPENDENCYPART_GRANDPAR
(8,13),(13,16),0.137736 # DEPENDENCYPART_GRANDPAR
(8,13),(13,17),0.386587 # DEPENDENCYPART_GRANDPAR
(8,13),(13,19),0.0292013 # DEPENDENCYPART_GRANDPAR
(8,13),(13,22),-0.0627096 # DEPENDENCYPART_GRANDPAR
(8,16),(16,7),0.28465 # DEPENDENCYPART_GRANDPAR
(8,16),(16,10),0.207125 # DEPENDENCYPART_GRANDPAR
(8,16),(16,11),-0.0316427 # DEPENDENCYPART_GRANDPAR
(8,16),(16,12),0.212088 # DEPENDENCYPART_GRANDPAR
(8,16),(16,13),0.0606214 # DEPENDENCYPART_GRANDPAR
(8,16),(16,14),-0.0446769 # DEPENDENCYPART_GRANDPAR
(8,16),(16,15),0.141124 # DEPENDENCYPART_GRANDPAR
(8,16),(16,17),0.233152 # DEPENDENCYPART_GRANDPAR
(8,16),(16,18),-0.226615 # DEPENDENCYPART_GRANDPAR
(8,16),(16,19),0.0221994 # DEPENDENCYPART_GRANDPAR
(8,16),(16,21),-0.10371 # DEPENDENCYPART_GRANDPAR
(8,16),(16,22),-0.0834484 # DEPENDENCYPART_GRANDPAR
(8,16),(16,23),-0.261162 # DEPENDENCYPART_GRANDPAR
(8,17),(17,12),0.203649 # DEPENDENCYPART_GRANDPAR
(8,17),(17,13),0.0665686 # DEPENDENCYPART_GRANDPAR
(8,17),(17,15),0.117894 # DEPENDENCYPART_GRANDPAR
(8,17),(17,16),0.0597358 # DEPENDENCYPART_GRANDPAR
(8,17),(17,18),-0.234779 # DEPENDENCYPART_GRANDPAR
(8,17),(17,19),0.108988 # DEPENDENCYPART_GRANDPAR
(8,17),(17,21),-0.0875601 # DEPENDENCYPART_GRANDPAR
(8,17),(17,22),0.0162041 # DEPENDENCYPART_GRANDPAR
(8,17),(17,23),-0.31153 # DEPENDENCYPART_GRANDPAR
(8,23),(23,22),-0.24158 # DEPENDENCYPART_GRANDPAR
(9,2),(2,1),0.484336 # DEPENDENCYPART_GRANDPAR
(9,2),(2,3),-0.0354505 # DEPENDENCYPART_GRANDPAR
(9,2),(2,5),0.276723 # DEPENDENCYPART_GRANDPAR
(9,2),(2,6),-0.223081 # DEPENDENCYPART_GRANDPAR
(9,2),(2,7),0.0629507 # DEPENDENCYPART_GRANDPAR
(9,2),(2,8),-0.0137964 # DEPENDENCYPART_GRANDPAR
(9,2),(2,9),-0.913942 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,2),(2,10),0.284582 # DEPENDENCYPART_GRANDPAR
(9,2),(2,12),-0.276726 # DEPENDENCYPART_GRANDPAR
(9,2),(2,13),0.0720816 # DEPENDENCYPART_GRANDPAR
(9,2),(2,16),-0.3978 # DEPENDENCYPART_GRANDPAR
(9,2),(2,17),0.423763 # DEPENDENCYPART_GRANDPAR
(9,2),(2,22),-0.784168 # DEPENDENCYPART_GRANDPAR
(9,2),(2,23),-0.61953 # DEPENDENCYPART_GRANDPAR
(9,6),(6,2),-0.360217 # DEPENDENCYPART_GRANDPAR
(9,6),(6,3),-0.134486 # DEPENDENCYPART_GRANDPAR
(9,6),(6,7),-0.0559614 # DEPENDENCYPART_GRANDPAR
(9,6),(6,8),-0.0994501 # DEPENDENCYPART_GRANDPAR
(9,6),(6,9),-0.881083 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,6),(6,10),0.253861 # DEPENDENCYPART_GRANDPAR
(9,6),(6,12),-0.362151 # DEPENDENCYPART_GRANDPAR
(9,8),(8,1),0.419999 # DEPENDENCYPART_GRANDPAR
(9,8),(8,2),-0.25474 # DEPENDENCYPART_GRANDPAR
(9,8),(8,3),0.0241159 # DEPENDENCYPART_GRANDPAR
(9,8),(8,4),0.137931 # DEPENDENCYPART_GRANDPAR
(9,8),(8,5),0.110069 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),-0.157834 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),0.122517 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-0.975925 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,10),0.109555 # DEPENDENCYPART_GRANDPAR
(9,8),(8,12),-0.454357 # DEPENDENCYPART_GRANDPAR
(9,8),(8,13),-0.11274 # DEPENDENCYPART_GRANDPAR
(9,8),(8,16),-0.574669 # DEPENDENCYPART_GRANDPAR
(9,8),(8,17),0.252002 # DEPENDENCYPART_GRANDPAR
(9,8),(8,23),-0.661063 # DEPENDENCYPART_GRANDPAR
(9,10),(10,9),-0.565157 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,10),(10,11),-0.186229 # DEPENDENCYPART_GRANDPAR
(9,10),(10,12),0.114678 # DEPENDENCYPART_GRANDPAR
(9,10),(10,13),0.378951 # DEPENDENCYPART_GRANDPAR
(9,10),(10,14),0.137238 # DEPENDENCYPART_GRANDPAR
(9,10),(10,15),0.28476 # DEPENDENCYPART_GRANDPAR
(9,10),(10,16),0.0588101 # DEPENDENCYPART_GRANDPAR
(9,10),(10,17),0.678446 # DEPENDENCYPART_GRANDPAR
(9,10),(10,22),-0.349796 # DEPENDENCYPART_GRANDPAR
(9,11),(11,13),0.254958 # DEPENDENCYPART_GRANDPAR
(9,12),(12,5),-0.175816 # DEPENDENCYPART_GRANDPAR
(9,12),(12,6),-0.588125 # DEPENDENCYPART_GRANDPAR
(9,12),(12,7),-0.528274 # DEPENDENCYPART_GRANDPAR
(9,12),(12,8),-0.464492 # DEPENDENCYPART_GRANDPAR
(9,12),(12,10),0.286566 # DEPENDENCYPART_GRANDPAR
(9,12),(12,11),-0.100307 # DEPENDENCYPART_GRANDPAR
(9,12),(12,13),0.181199 # DEPENDENCYPART_GRANDPAR
(9,12),(12,14),0.0796332 # DEPENDENCYPART_GRANDPAR
(9,12),(12,15),0.150788 # DEPENDENCYPART_GRANDPAR
(9,12),(12,16),-0.0639986 # DEPENDENCYPART_GRANDPAR
(9,12),(12,17),0.464292 # DEPENDENCYPART_GRANDPAR
(9,12),(12,18),-0.413404 # DEPENDENCYPART_GRANDPAR
(9,12),(12,19),-0.326131 # DEPENDENCYPART_GRANDPAR
(9,12),(12,21),-0.349511 # DEPENDENCYPART_GRANDPAR
(9,12),(12,22),-0.45943 # DEPENDENCYPART_GRANDPAR
(9,12),(12,23),-0.255089 # DEPENDENCYPART_GRANDPAR
(9,13),(13,10),0.301331 # DEPENDENCYPART_GRANDPAR
