# _root_ George M. Salem , analyst at Prudential-Bache Securities Inc. , called the results `` mildly disappointing . ''
#goldHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
#predictedHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
(5,3),(5,15),-0.0356653 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0335811 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0179761 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0210842 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0364751 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0524774 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0811216 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.116054 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0096085 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0926633 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0361097 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0499111 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0427235 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0203783 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.059684 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.00713431 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0352472 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0316639 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0563183 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0111114 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00681221 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0187827 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.021902 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0252844 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0392566 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0484658 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0776328 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.170645 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.154633 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0137257 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0179614 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.060035 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0610486 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0706211 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0371722 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0535611 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0115867 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.165478 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0117859 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0246509 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0776071 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0676822 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0751628 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0483482 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0416857 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0274513 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0581687 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0809404 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.074854 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.108656 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.114477 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0817087 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0411204 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0534669 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.597699 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.639662 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.318804 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.314317 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.386742 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0176021 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.353105 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.102035 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0530617 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0397283 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.034657 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.138252 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.146628 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0633412 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0166389 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.00511506 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.00559506 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0140638 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0330305 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.126696 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0895435 # DEPENDENCYPART_SIBL
(5,14),(5,18),0.361272 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.00584001 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0413823 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.0625019 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0361704 # DEPENDENCYPART_SIBL
(5,16),(5,18),0.0084208 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.760954 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.097249 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0513413 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0243618 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0296063 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.627415 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.000219192 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0307404 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0495629 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0469557 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0315884 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0699155 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0641857 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0466502 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0439869 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0401791 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0820844 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0076733 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.090028 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0777752 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0899408 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0387713 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00628156 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0819032 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.732218 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.725017 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0807994 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.625383 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.711608 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.283279 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.156549 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.303113 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.174721 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.104565 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.74769 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0931012 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.64069 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.742342 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.298519 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.160983 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.322892 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.172344 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.129047 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0919475 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.661832 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.699896 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.304354 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.173874 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.321117 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.133429 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.119912 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.138881 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0862954 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.218568 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.500753 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.14238 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0214683 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0474248 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.409892 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0998908 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.00343264 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.155751 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.209211 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0360653 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.226211 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0516595 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.253481 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0976403 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.0815832 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.10106 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0817146 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.156027 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.305256 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0983365 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.0472786 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.0668831 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.104437 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0550345 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.906662 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.187918 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.00474863 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0620615 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.322347 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.228668 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.615034 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.605239 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.27604 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.223855 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.317299 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0773107 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0329021 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0517913 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0220274 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0621236 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.00746791 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0238898 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.0159558 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.0189999 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.199712 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.607144 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.593515 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.265824 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.194899 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.364657 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.180569 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0648572 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0107582 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0603922 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0198339 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0413836 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.00667784 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.0492335 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.0556387 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.625047 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.605129 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.274885 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.219028 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.3077 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0140433 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0129252 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0554679 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0193631 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0645424 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.00261525 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0380323 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0162011 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.012421 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.21677 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.00741772 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0684296 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0602658 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0545084 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0704432 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.102881 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0880759 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.142101 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.110478 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0880534 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.149686 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0687916 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0982982 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.188419 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0654805 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.152079 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0123933 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.118963 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0708465 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.102157 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0925947 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.058653 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.141797 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0298479 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0533011 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0307089 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0934211 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0345856 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0951867 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0464535 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.128736 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0491851 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0148356 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0928183 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.000831285 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.336127 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0192352 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0043842 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0634228 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0119323 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0810625 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.00480581 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0454529 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.00637015 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.00362242 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.000855397 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.181547 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0945927 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0292572 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0862954 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0948202 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0995935 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.03855 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0467666 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.530217 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.118833 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.456029 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.409331 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.432854 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.392576 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.0606633 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.262502 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0507293 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0105371 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0222344 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0292416 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.043896 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.0429248 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.0639312 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0770879 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0467053 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.030886 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.148396 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0555079 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0567604 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.047717 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.00462614 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.00898492 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0873188 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0230698 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.0441201 # DEPENDENCYPART_SIBL
(8,14),(8,16),0.0978522 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.245562 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.310205 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.00983836 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.00781428 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.00728681 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.0320053 # DEPENDENCYPART_SIBL
(8,16),(8,18),0.0120016 # DEPENDENCYPART_SIBL
(8,17),(8,18),0.689604 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.355401 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.538665 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.532304 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.260953 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.353482 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.588262 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.447503 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.247042 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.206688 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.556568 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.543918 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.270014 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.377611 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.612392 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.280977 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.19511 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.165659 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.177576 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.000432115 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.137515 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.176032 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.00880325 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.118647 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0742794 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.113282 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.282454 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.350098 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0330791 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0620186 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0403467 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0452269 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.10537 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0583365 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0128884 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0488698 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.59007 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.236076 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.174339 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.146003 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.438388 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.274947 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.234022 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.415154 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.294754 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0106686 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.417463 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.450258 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.0144608 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.126471 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0272341 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.451515 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.41549 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.518047 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0144608 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0498121 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0653655 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.104161 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0440732 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0290094 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.00951102 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.0513767 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.454223 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.00902467 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.12495 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0243566 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.45548 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.419455 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.522013 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.00902467 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0450063 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0682991 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0985343 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0429019 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0285938 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.00890542 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.054388 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.00286881 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.122445 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0235768 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.445191 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.409166 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.511724 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.00286881 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0337402 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0819895 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0872674 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0278979 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0398596 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0409856 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.0664198 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0853746 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0453208 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0720708 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0164286 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0105702 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.020548 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.021612 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0795218 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.103073 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0846621 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0396742 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.0775541 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0132747 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0553984 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.365173 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.403686 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.399774 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0730123 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.113437 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0543754 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.100908 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0959869 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0246867 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.00730548 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0235164 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0381745 # DEPENDENCYPART_SIBL
(11,6),(11,8),3.1066e-05 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0144891 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.267385 # DEPENDENCYPART_SIBL
