# _root_ If these conditions are met , he said , the ANC would be prepared to discuss suspending its guerrilla activities .
#goldHeads=4,3,4,12,4,7,12,7,7,11,12,0,12,13,16,14,16,20,20,17,12,
#predictedHeads=4,3,4,12,4,8,8,12,8,11,12,0,12,13,16,14,16,20,20,17,12,
(1,12),(12,14),(12,21),-0.0207128 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,14),(12,22),-0.0369777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,16),(12,21),-0.0207128 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,16),(12,22),-0.0369777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,21),(12,22),-0.0213489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,12),(12,11),0.104375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,12),(12,12),(12,10),0.108806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,12),(12,12),(12,9),0.106993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,12),(12,12),(12,8),0.109358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,12),(12,12),(12,7),0.100121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,12),(12,12),(12,6),0.106993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,12),(12,12),(12,5),0.109358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,12),(12,12),(12,4),0.109358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,12),(12,12),(12,3),0.104375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,12),(12,12),(12,2),0.108807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,12),(12,12),(12,1),0.108014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,12),(12,12),(12,-1),-0.159392 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,12),(12,11),(12,10),0.106369 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,11),(12,9),0.107557 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,11),(12,8),0.109504 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,11),(12,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,11),(12,6),0.107557 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,11),(12,5),0.109504 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,11),(12,4),0.109504 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,11),(12,3),0.107726 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,11),(12,2),0.107438 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,11),(12,1),0.107629 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,11),(12,-1),-0.144837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,10),(12,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,10),(12,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,10),(12,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,10),(12,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,10),(12,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,10),(12,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,10),(12,3),0.109528 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,10),(12,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,10),(12,1),0.109455 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,10),(12,-1),-0.154964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,9),(12,8),0.109184 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,9),(12,7),0.108701 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,9),(12,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,9),(12,5),0.109184 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,9),(12,4),0.109184 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,9),(12,3),0.10351 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,9),(12,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,9),(12,1),0.113499 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,9),(12,-1),-0.136634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,8),(12,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,8),(12,6),0.10952 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,8),(12,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,8),(12,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,8),(12,3),0.109373 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,8),(12,2),0.10949 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,8),(12,1),0.109536 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,8),(12,-1),-0.144986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,7),(12,6),0.114024 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,7),(12,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,7),(12,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,7),(12,3),0.109535 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,7),(12,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,7),(12,1),0.107603 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,7),(12,-1),-0.155055 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,6),(12,5),0.109184 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,6),(12,4),0.109184 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,6),(12,3),0.10351 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,6),(12,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,6),(12,1),0.113499 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,6),(12,-1),-0.136634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,5),(12,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,5),(12,3),0.109373 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,5),(12,2),0.10949 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,5),(12,1),0.109536 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,5),(12,-1),-0.144986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,4),(12,3),0.109373 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,4),(12,2),0.10949 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,4),(12,1),0.109536 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,4),(12,-1),-0.144986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,3),(12,2),0.107438 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,3),(12,1),0.107629 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,3),(12,-1),-0.144837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,2),(12,1),0.109481 # DEPENDENCYPART_GRANDSIBL
(1,12),(12,2),(12,-1),-0.152199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,12),(12,1),(12,-1),-0.15941 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,3),-0.14786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,4),-0.146076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,8),-0.146076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,12),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,22),-0.125407 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,22),-0.147691 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,22),-0.148323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,4),(1,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,22),-0.146122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,6),(1,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,22),-0.145996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,8),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,8),(1,22),-0.146122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,12),(1,22),-0.144704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),-0.0711177 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,4),(4,5),-0.00124253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,6),-0.020134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,8),-0.00219293 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,9),-0.020134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,12),-0.017745 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,13),-0.00127006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,14),-0.00124253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,16),-0.00124253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,17),-0.00124253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,20),-0.0573557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,22),0.0175966 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,5),(4,6),-0.0244283 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,8),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,9),-0.0244283 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,13),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,14),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,16),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,17),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,20),-0.0196493 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,21),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,22),0.00164909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,6),(4,8),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,13),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,14),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,16),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,17),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,20),-0.019452 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,22),-0.0196635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,8),(4,9),-0.0244283 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,13),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,14),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,16),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,17),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,20),-0.0196493 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,21),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,22),0.00068723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,9),(4,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,13),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,14),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,16),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,17),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,20),-0.019452 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,22),-0.0196635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,12),(4,13),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,14),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,16),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,17),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,22),-0.0180905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,13),(4,14),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,16),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,17),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,20),-0.0196493 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,21),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,22),0.00162157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,14),(4,16),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,17),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,20),-0.0196493 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,21),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,22),0.00164909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,16),(4,17),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,16),(4,20),-0.0196493 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,16),(4,21),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,16),(4,22),0.00164815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,17),(4,20),-0.0196493 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,17),(4,21),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,17),(4,22),0.00164909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,20),(4,21),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,20),(4,22),-0.0376695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,21),(4,22),-0.0216096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,3),0.104227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,2),0.104952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,-1),-0.19684 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,3),(4,2),0.109539 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,3),(4,1),-0.145181 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,3),(4,-1),-0.147549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,2),(4,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,2),(4,-1),-0.148216 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,1),(4,-1),-0.150094 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,6),-0.020134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,7),-0.0198592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,8),-0.00450064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,9),-0.020134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,11),-0.0573543 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,12),-0.017745 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,13),-0.00357776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,14),-0.00355024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,15),-0.0226498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,16),-0.00355024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,17),-0.00355024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,22),0.0175973 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,6),(5,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,8),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,11),-0.019452 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,13),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,14),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,16),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,17),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,22),-0.0196635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,7),(5,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,11),-0.0195002 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,22),-0.0195994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,8),(5,9),-0.0244283 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,11),-0.0196493 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,13),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,14),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,16),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,17),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,21),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,22),-0.00193039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,9),(5,11),-0.019452 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,13),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,14),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,16),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,17),-0.0204379 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,22),-0.0196635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,11),(5,12),-0.0196829 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,13),-0.0200616 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,14),-0.0200616 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,16),-0.0200616 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,17),-0.0200616 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,21),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,22),-0.0376632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,12),(5,13),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,14),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,16),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,17),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,22),-0.0180905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,13),(5,14),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,16),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,17),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,21),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,22),-0.000996052 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,14),(5,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,16),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,17),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,21),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,22),-0.000968525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,15),(5,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,22),-0.0355938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,16),(5,17),-0.0195882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,16),(5,21),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,16),(5,22),-0.000969472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,17),(5,21),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,17),(5,22),-0.000968525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,21),(5,22),-0.0216082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,4),0.108324 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,3),0.104774 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,2),0.104952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,-1),-0.195747 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,4),(5,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,2),0.109354 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,1),-0.144723 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,-1),-0.145773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,2),0.109539 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,1),-0.145181 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,-1),-0.146941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,2),(5,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
