# _root_ They began uncovering a confusing variety of genetic deletions , some existing only in benign polyps , others in malignant cells and many in both polyps and malignant cells .
#goldHeads=2,0,2,6,6,3,6,9,7,9,22,11,12,12,16,14,22,22,18,21,19,9,22,23,27,27,24,29,27,2,
#predictedHeads=2,0,2,6,6,3,6,9,7,9,12,9,14,12,16,14,16,16,18,21,22,19,22,23,27,27,24,29,27,2,
(19,21),(21,20),0.913811 # DEPENDENCYPART_GRANDPAR
(19,21),(21,23),0.166657 # DEPENDENCYPART_GRANDPAR
(19,21),(21,24),0.149398 # DEPENDENCYPART_GRANDPAR
(19,21),(21,29),0.420369 # DEPENDENCYPART_GRANDPAR
(19,22),(22,1),-0.99664 # DEPENDENCYPART_GRANDPAR
(19,22),(22,2),-0.832048 # DEPENDENCYPART_GRANDPAR
(19,22),(22,3),-0.882781 # DEPENDENCYPART_GRANDPAR
(19,22),(22,4),-0.495857 # DEPENDENCYPART_GRANDPAR
(19,22),(22,5),-0.901109 # DEPENDENCYPART_GRANDPAR
(19,22),(22,6),-1.33868 # DEPENDENCYPART_GRANDPAR
(19,22),(22,7),-0.664781 # DEPENDENCYPART_GRANDPAR
(19,22),(22,8),-0.769441 # DEPENDENCYPART_GRANDPAR
(19,22),(22,9),-1.21818 # DEPENDENCYPART_GRANDPAR
(19,22),(22,10),-0.887198 # DEPENDENCYPART_GRANDPAR
(19,22),(22,11),-0.729918 # DEPENDENCYPART_GRANDPAR
(19,22),(22,12),-0.794188 # DEPENDENCYPART_GRANDPAR
(19,22),(22,13),-0.459719 # DEPENDENCYPART_GRANDPAR
(19,22),(22,14),-0.652845 # DEPENDENCYPART_GRANDPAR
(19,22),(22,15),-0.617185 # DEPENDENCYPART_GRANDPAR
(19,22),(22,16),-1.03867 # DEPENDENCYPART_GRANDPAR
(19,22),(22,17),-0.637051 # DEPENDENCYPART_GRANDPAR
(19,22),(22,18),-0.869369 # DEPENDENCYPART_GRANDPAR
(19,22),(22,19),-0.965795 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,22),(22,20),0.629465 # DEPENDENCYPART_GRANDPAR
(19,22),(22,21),1.01487 # DEPENDENCYPART_GRANDPAR
(19,22),(22,23),0.317461 # DEPENDENCYPART_GRANDPAR
(19,22),(22,24),0.19743 # DEPENDENCYPART_GRANDPAR
(19,22),(22,25),0.284438 # DEPENDENCYPART_GRANDPAR
(19,22),(22,26),0.593706 # DEPENDENCYPART_GRANDPAR
(19,22),(22,27),0.615712 # DEPENDENCYPART_GRANDPAR
(19,22),(22,28),0.243044 # DEPENDENCYPART_GRANDPAR
(19,22),(22,29),0.755269 # DEPENDENCYPART_GRANDPAR
(19,22),(22,30),-0.0244641 # DEPENDENCYPART_GRANDPAR
(19,23),(23,20),0.855905 # DEPENDENCYPART_GRANDPAR
(19,23),(23,21),1.05479 # DEPENDENCYPART_GRANDPAR
(19,23),(23,24),0.218416 # DEPENDENCYPART_GRANDPAR
(19,23),(23,26),0.412116 # DEPENDENCYPART_GRANDPAR
(19,23),(23,27),0.597603 # DEPENDENCYPART_GRANDPAR
(19,23),(23,28),0.127005 # DEPENDENCYPART_GRANDPAR
(19,23),(23,29),0.602555 # DEPENDENCYPART_GRANDPAR
(19,24),(24,21),1.07516 # DEPENDENCYPART_GRANDPAR
(19,24),(24,23),0.0990684 # DEPENDENCYPART_GRANDPAR
(19,24),(24,25),0.129666 # DEPENDENCYPART_GRANDPAR
(19,24),(24,26),0.357554 # DEPENDENCYPART_GRANDPAR
(19,24),(24,27),0.577886 # DEPENDENCYPART_GRANDPAR
(19,24),(24,28),0.111788 # DEPENDENCYPART_GRANDPAR
(19,24),(24,29),0.489443 # DEPENDENCYPART_GRANDPAR
(19,26),(26,23),0.224919 # DEPENDENCYPART_GRANDPAR
(19,26),(26,25),0.0391781 # DEPENDENCYPART_GRANDPAR
(19,26),(26,28),0.0641264 # DEPENDENCYPART_GRANDPAR
(19,26),(26,29),0.419798 # DEPENDENCYPART_GRANDPAR
(19,27),(27,1),-0.99664 # DEPENDENCYPART_GRANDPAR
(19,27),(27,2),-0.832048 # DEPENDENCYPART_GRANDPAR
(19,27),(27,3),-0.882781 # DEPENDENCYPART_GRANDPAR
(19,27),(27,6),-1.33868 # DEPENDENCYPART_GRANDPAR
(19,27),(27,8),-0.769441 # DEPENDENCYPART_GRANDPAR
(19,27),(27,9),-1.21818 # DEPENDENCYPART_GRANDPAR
(19,27),(27,10),-0.887198 # DEPENDENCYPART_GRANDPAR
(19,27),(27,11),-0.729918 # DEPENDENCYPART_GRANDPAR
(19,27),(27,12),-0.794188 # DEPENDENCYPART_GRANDPAR
(19,27),(27,13),-0.459719 # DEPENDENCYPART_GRANDPAR
(19,27),(27,14),-0.652845 # DEPENDENCYPART_GRANDPAR
(19,27),(27,15),-0.617185 # DEPENDENCYPART_GRANDPAR
(19,27),(27,16),-1.03867 # DEPENDENCYPART_GRANDPAR
(19,27),(27,17),-0.637051 # DEPENDENCYPART_GRANDPAR
(19,27),(27,18),-0.869369 # DEPENDENCYPART_GRANDPAR
(19,27),(27,19),-0.965795 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,27),(27,20),0.629465 # DEPENDENCYPART_GRANDPAR
(19,27),(27,21),1.01487 # DEPENDENCYPART_GRANDPAR
(19,27),(27,22),0.696185 # DEPENDENCYPART_GRANDPAR
(19,27),(27,23),-0.0118801 # DEPENDENCYPART_GRANDPAR
(19,27),(27,24),-0.0909087 # DEPENDENCYPART_GRANDPAR
(19,27),(27,25),-0.109401 # DEPENDENCYPART_GRANDPAR
(19,27),(27,26),0.16995 # DEPENDENCYPART_GRANDPAR
(19,27),(27,28),0.243044 # DEPENDENCYPART_GRANDPAR
(19,27),(27,29),0.755269 # DEPENDENCYPART_GRANDPAR
(19,27),(27,30),-0.0244641 # DEPENDENCYPART_GRANDPAR
(19,29),(29,20),0.913811 # DEPENDENCYPART_GRANDPAR
(19,29),(29,25),0.0220589 # DEPENDENCYPART_GRANDPAR
(19,29),(29,26),0.265916 # DEPENDENCYPART_GRANDPAR
(19,29),(29,27),0.81954 # DEPENDENCYPART_GRANDPAR
(19,29),(29,28),0.146508 # DEPENDENCYPART_GRANDPAR
(19,29),(29,30),-0.0861833 # DEPENDENCYPART_GRANDPAR
(20,21),(21,15),-0.68058 # DEPENDENCYPART_GRANDPAR
(20,21),(21,16),-0.925901 # DEPENDENCYPART_GRANDPAR
(20,21),(21,18),-0.800793 # DEPENDENCYPART_GRANDPAR
(20,21),(21,19),-0.610625 # DEPENDENCYPART_GRANDPAR
(20,21),(21,20),-1.18271 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,21),(21,23),-0.314252 # DEPENDENCYPART_GRANDPAR
(20,21),(21,24),-0.20666 # DEPENDENCYPART_GRANDPAR
(20,21),(21,29),-0.382402 # DEPENDENCYPART_GRANDPAR
(20,23),(23,20),-1.18736 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,23),(23,21),0.0930709 # DEPENDENCYPART_GRANDPAR
(20,23),(23,24),-0.127014 # DEPENDENCYPART_GRANDPAR
(20,23),(23,26),-0.285032 # DEPENDENCYPART_GRANDPAR
(20,23),(23,27),-0.10242 # DEPENDENCYPART_GRANDPAR
(20,23),(23,28),-0.487956 # DEPENDENCYPART_GRANDPAR
(20,23),(23,29),-0.362526 # DEPENDENCYPART_GRANDPAR
(20,28),(28,25),-0.360929 # DEPENDENCYPART_GRANDPAR
(20,28),(28,26),-0.393871 # DEPENDENCYPART_GRANDPAR
(20,28),(28,29),-0.363591 # DEPENDENCYPART_GRANDPAR
(21,15),(15,11),-0.428659 # DEPENDENCYPART_GRANDPAR
(21,15),(15,13),-0.285284 # DEPENDENCYPART_GRANDPAR
(21,15),(15,16),-0.336762 # DEPENDENCYPART_GRANDPAR
(21,16),(16,11),-0.537696 # DEPENDENCYPART_GRANDPAR
(21,16),(16,13),-0.371111 # DEPENDENCYPART_GRANDPAR
(21,16),(16,14),-0.510075 # DEPENDENCYPART_GRANDPAR
(21,16),(16,15),-0.136345 # DEPENDENCYPART_GRANDPAR
(21,16),(16,17),0.181589 # DEPENDENCYPART_GRANDPAR
(21,16),(16,18),0.043517 # DEPENDENCYPART_GRANDPAR
(21,16),(16,19),-0.150654 # DEPENDENCYPART_GRANDPAR
(21,16),(16,20),0.465428 # DEPENDENCYPART_GRANDPAR
(21,16),(16,21),-1.37082 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,16),(16,22),-0.033908 # DEPENDENCYPART_GRANDPAR
(21,16),(16,23),-0.631333 # DEPENDENCYPART_GRANDPAR
(21,16),(16,24),-0.364035 # DEPENDENCYPART_GRANDPAR
(21,16),(16,25),-0.578403 # DEPENDENCYPART_GRANDPAR
(21,16),(16,26),-0.625253 # DEPENDENCYPART_GRANDPAR
(21,16),(16,27),-0.364193 # DEPENDENCYPART_GRANDPAR
(21,16),(16,28),-0.934359 # DEPENDENCYPART_GRANDPAR
(21,16),(16,29),-0.71606 # DEPENDENCYPART_GRANDPAR
(21,16),(16,30),-0.903459 # DEPENDENCYPART_GRANDPAR
(21,18),(18,11),-0.543951 # DEPENDENCYPART_GRANDPAR
(21,18),(18,12),-0.479487 # DEPENDENCYPART_GRANDPAR
(21,18),(18,13),-0.368674 # DEPENDENCYPART_GRANDPAR
(21,18),(18,14),-0.516704 # DEPENDENCYPART_GRANDPAR
(21,18),(18,15),-0.140118 # DEPENDENCYPART_GRANDPAR
(21,18),(18,16),-0.223012 # DEPENDENCYPART_GRANDPAR
(21,18),(18,17),0.190373 # DEPENDENCYPART_GRANDPAR
(21,18),(18,19),-0.158011 # DEPENDENCYPART_GRANDPAR
(21,18),(18,20),0.46251 # DEPENDENCYPART_GRANDPAR
(21,18),(18,21),-1.37091 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,18),(18,23),-0.63138 # DEPENDENCYPART_GRANDPAR
(21,18),(18,24),-0.365278 # DEPENDENCYPART_GRANDPAR
(21,18),(18,25),-0.578451 # DEPENDENCYPART_GRANDPAR
(21,18),(18,26),-0.625345 # DEPENDENCYPART_GRANDPAR
(21,18),(18,27),-0.355879 # DEPENDENCYPART_GRANDPAR
(21,18),(18,28),-0.934406 # DEPENDENCYPART_GRANDPAR
(21,18),(18,29),-0.716152 # DEPENDENCYPART_GRANDPAR
(21,18),(18,30),-0.903506 # DEPENDENCYPART_GRANDPAR
(21,19),(19,18),0.080655 # DEPENDENCYPART_GRANDPAR
(21,19),(19,20),0.348119 # DEPENDENCYPART_GRANDPAR
(21,19),(19,21),-1.42001 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,19),(19,22),0.01671 # DEPENDENCYPART_GRANDPAR
(21,19),(19,23),-0.576713 # DEPENDENCYPART_GRANDPAR
(21,19),(19,24),-0.307354 # DEPENDENCYPART_GRANDPAR
(21,19),(19,26),-0.674443 # DEPENDENCYPART_GRANDPAR
(21,19),(19,27),-0.313575 # DEPENDENCYPART_GRANDPAR
(21,19),(19,29),-0.76525 # DEPENDENCYPART_GRANDPAR
(21,20),(20,21),-1.37424 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,20),(20,23),-0.552935 # DEPENDENCYPART_GRANDPAR
(21,20),(20,28),-0.856627 # DEPENDENCYPART_GRANDPAR
(21,23),(23,20),-0.158505 # DEPENDENCYPART_GRANDPAR
(21,23),(23,21),-0.835934 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,23),(23,24),0.379737 # DEPENDENCYPART_GRANDPAR
(21,23),(23,26),0.146462 # DEPENDENCYPART_GRANDPAR
(21,23),(23,27),0.410369 # DEPENDENCYPART_GRANDPAR
(21,23),(23,28),-0.276054 # DEPENDENCYPART_GRANDPAR
(21,23),(23,29),0.0613313 # DEPENDENCYPART_GRANDPAR
(21,24),(24,21),-0.779879 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,24),(24,23),-0.037428 # DEPENDENCYPART_GRANDPAR
(21,24),(24,25),-0.021563 # DEPENDENCYPART_GRANDPAR
(21,24),(24,26),0.0451041 # DEPENDENCYPART_GRANDPAR
(21,24),(24,27),0.421235 # DEPENDENCYPART_GRANDPAR
(21,24),(24,28),-0.326603 # DEPENDENCYPART_GRANDPAR
(21,24),(24,29),-0.0721707 # DEPENDENCYPART_GRANDPAR
(21,29),(29,20),-0.235623 # DEPENDENCYPART_GRANDPAR
(21,29),(29,25),0.114063 # DEPENDENCYPART_GRANDPAR
(21,29),(29,26),-0.00478176 # DEPENDENCYPART_GRANDPAR
(21,29),(29,27),0.369813 # DEPENDENCYPART_GRANDPAR
(21,29),(29,28),-0.246994 # DEPENDENCYPART_GRANDPAR
(21,29),(29,30),-0.252406 # DEPENDENCYPART_GRANDPAR
(22,1),(1,2),0.134803 # DEPENDENCYPART_GRANDPAR
(22,1),(1,6),-0.071493 # DEPENDENCYPART_GRANDPAR
(22,2),(2,1),-0.356228 # DEPENDENCYPART_GRANDPAR
(22,2),(2,3),0.492083 # DEPENDENCYPART_GRANDPAR
(22,2),(2,4),0.468092 # DEPENDENCYPART_GRANDPAR
(22,2),(2,5),0.443146 # DEPENDENCYPART_GRANDPAR
(22,2),(2,6),-0.0293992 # DEPENDENCYPART_GRANDPAR
(22,2),(2,7),-0.230466 # DEPENDENCYPART_GRANDPAR
(22,2),(2,9),0.0981975 # DEPENDENCYPART_GRANDPAR
(22,2),(2,10),0.178482 # DEPENDENCYPART_GRANDPAR
(22,2),(2,12),0.605458 # DEPENDENCYPART_GRANDPAR
(22,2),(2,17),0.104281 # DEPENDENCYPART_GRANDPAR
(22,2),(2,19),0.376187 # DEPENDENCYPART_GRANDPAR
(22,2),(2,22),-1.43368 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,2),(2,27),-0.670055 # DEPENDENCYPART_GRANDPAR
(22,2),(2,30),-0.909528 # DEPENDENCYPART_GRANDPAR
(22,3),(3,1),-0.346265 # DEPENDENCYPART_GRANDPAR
(22,3),(3,2),0.219524 # DEPENDENCYPART_GRANDPAR
(22,3),(3,4),0.459859 # DEPENDENCYPART_GRANDPAR
(22,3),(3,5),0.431956 # DEPENDENCYPART_GRANDPAR
(22,3),(3,6),-0.0457789 # DEPENDENCYPART_GRANDPAR
(22,3),(3,7),-0.254369 # DEPENDENCYPART_GRANDPAR
(22,3),(3,8),0.642673 # DEPENDENCYPART_GRANDPAR
(22,3),(3,9),0.0818178 # DEPENDENCYPART_GRANDPAR
(22,3),(3,10),0.177096 # DEPENDENCYPART_GRANDPAR
(22,3),(3,12),0.58591 # DEPENDENCYPART_GRANDPAR
(22,3),(3,13),0.38033 # DEPENDENCYPART_GRANDPAR
(22,3),(3,14),0.219044 # DEPENDENCYPART_GRANDPAR
(22,3),(3,17),0.102895 # DEPENDENCYPART_GRANDPAR
(22,3),(3,19),0.350183 # DEPENDENCYPART_GRANDPAR
(22,3),(3,22),-1.43339 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,3),(3,24),-0.222949 # DEPENDENCYPART_GRANDPAR
(22,3),(3,27),-0.669764 # DEPENDENCYPART_GRANDPAR
(22,3),(3,30),-0.909237 # DEPENDENCYPART_GRANDPAR
(22,4),(4,5),0.350387 # DEPENDENCYPART_GRANDPAR
(22,4),(4,7),-0.304311 # DEPENDENCYPART_GRANDPAR
(22,5),(5,1),-0.325106 # DEPENDENCYPART_GRANDPAR
(22,5),(5,4),0.748713 # DEPENDENCYPART_GRANDPAR
(22,5),(5,7),-0.0990934 # DEPENDENCYPART_GRANDPAR
(22,5),(5,8),0.716585 # DEPENDENCYPART_GRANDPAR
(22,5),(5,9),0.0960124 # DEPENDENCYPART_GRANDPAR
(22,6),(6,1),-0.193768 # DEPENDENCYPART_GRANDPAR
(22,6),(6,2),0.242118 # DEPENDENCYPART_GRANDPAR
(22,6),(6,3),0.456581 # DEPENDENCYPART_GRANDPAR
(22,6),(6,4),0.609311 # DEPENDENCYPART_GRANDPAR
(22,6),(6,5),0.588003 # DEPENDENCYPART_GRANDPAR
(22,6),(6,7),-0.153337 # DEPENDENCYPART_GRANDPAR
(22,6),(6,8),0.791137 # DEPENDENCYPART_GRANDPAR
(22,6),(6,9),0.256083 # DEPENDENCYPART_GRANDPAR
(22,6),(6,10),0.451697 # DEPENDENCYPART_GRANDPAR
(22,6),(6,11),0.189284 # DEPENDENCYPART_GRANDPAR
(22,6),(6,12),0.721518 # DEPENDENCYPART_GRANDPAR
(22,6),(6,13),0.423107 # DEPENDENCYPART_GRANDPAR
(22,6),(6,14),0.13279 # DEPENDENCYPART_GRANDPAR
(22,6),(6,16),0.447275 # DEPENDENCYPART_GRANDPAR
(22,6),(6,17),0.377496 # DEPENDENCYPART_GRANDPAR
(22,6),(6,18),0.466994 # DEPENDENCYPART_GRANDPAR
(22,6),(6,19),0.263929 # DEPENDENCYPART_GRANDPAR
(22,6),(6,22),-1.26308 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,6),(6,30),-0.793166 # DEPENDENCYPART_GRANDPAR
(22,7),(7,5),0.617443 # DEPENDENCYPART_GRANDPAR
(22,7),(7,8),0.459337 # DEPENDENCYPART_GRANDPAR
(22,7),(7,9),-0.0572758 # DEPENDENCYPART_GRANDPAR
(22,7),(7,10),0.168973 # DEPENDENCYPART_GRANDPAR
(22,7),(7,22),-1.25614 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,9),(9,4),0.615195 # DEPENDENCYPART_GRANDPAR
(22,9),(9,5),0.592652 # DEPENDENCYPART_GRANDPAR
(22,9),(9,6),0.184546 # DEPENDENCYPART_GRANDPAR
(22,9),(9,7),-0.325212 # DEPENDENCYPART_GRANDPAR
(22,9),(9,8),0.811771 # DEPENDENCYPART_GRANDPAR
(22,9),(9,10),0.454921 # DEPENDENCYPART_GRANDPAR
(22,9),(9,11),0.191564 # DEPENDENCYPART_GRANDPAR
(22,9),(9,12),0.724737 # DEPENDENCYPART_GRANDPAR
(22,9),(9,13),0.427054 # DEPENDENCYPART_GRANDPAR
(22,9),(9,14),0.141018 # DEPENDENCYPART_GRANDPAR
(22,9),(9,15),1.00324 # DEPENDENCYPART_GRANDPAR
(22,9),(9,16),0.450481 # DEPENDENCYPART_GRANDPAR
(22,9),(9,17),0.38072 # DEPENDENCYPART_GRANDPAR
(22,9),(9,18),0.470201 # DEPENDENCYPART_GRANDPAR
(22,9),(9,22),-1.26308 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,9),(9,27),-0.499453 # DEPENDENCYPART_GRANDPAR
(22,9),(9,30),-0.793166 # DEPENDENCYPART_GRANDPAR
(22,11),(11,10),0.237242 # DEPENDENCYPART_GRANDPAR
(22,11),(11,12),0.515924 # DEPENDENCYPART_GRANDPAR
(22,11),(11,14),0.0202377 # DEPENDENCYPART_GRANDPAR
(22,11),(11,15),0.784046 # DEPENDENCYPART_GRANDPAR
(22,12),(12,2),0.213853 # DEPENDENCYPART_GRANDPAR
(22,12),(12,6),0.107729 # DEPENDENCYPART_GRANDPAR
(22,12),(12,9),0.242884 # DEPENDENCYPART_GRANDPAR
(22,12),(12,10),0.321118 # DEPENDENCYPART_GRANDPAR
(22,12),(12,11),0.107999 # DEPENDENCYPART_GRANDPAR
(22,12),(12,13),0.357865 # DEPENDENCYPART_GRANDPAR
(22,12),(12,14),0.192606 # DEPENDENCYPART_GRANDPAR
(22,12),(12,15),0.832412 # DEPENDENCYPART_GRANDPAR
(22,12),(12,16),0.221838 # DEPENDENCYPART_GRANDPAR
(22,12),(12,17),0.0808331 # DEPENDENCYPART_GRANDPAR
(22,12),(12,18),0.239248 # DEPENDENCYPART_GRANDPAR
(22,12),(12,19),0.323745 # DEPENDENCYPART_GRANDPAR
(22,12),(12,20),0.938627 # DEPENDENCYPART_GRANDPAR
(22,12),(12,22),-1.4334 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,12),(12,23),0.0826585 # DEPENDENCYPART_GRANDPAR
(22,12),(12,24),-0.222951 # DEPENDENCYPART_GRANDPAR
(22,12),(12,30),-0.90924 # DEPENDENCYPART_GRANDPAR
(22,13),(13,6),-0.0266994 # DEPENDENCYPART_GRANDPAR
(22,13),(13,7),-0.300705 # DEPENDENCYPART_GRANDPAR
(22,13),(13,9),0.109564 # DEPENDENCYPART_GRANDPAR
(22,13),(13,10),0.275034 # DEPENDENCYPART_GRANDPAR
(22,13),(13,11),0.0740787 # DEPENDENCYPART_GRANDPAR
(22,13),(13,12),0.405157 # DEPENDENCYPART_GRANDPAR
(22,13),(13,14),0.0681542 # DEPENDENCYPART_GRANDPAR
(22,13),(13,15),0.838006 # DEPENDENCYPART_GRANDPAR
(22,13),(13,16),0.304585 # DEPENDENCYPART_GRANDPAR
(22,13),(13,18),0.325519 # DEPENDENCYPART_GRANDPAR
(22,13),(13,21),0.148672 # DEPENDENCYPART_GRANDPAR
(22,14),(14,13),0.290181 # DEPENDENCYPART_GRANDPAR
(22,14),(14,15),0.69913 # DEPENDENCYPART_GRANDPAR
(22,14),(14,16),0.166544 # DEPENDENCYPART_GRANDPAR
(22,14),(14,17),0.133356 # DEPENDENCYPART_GRANDPAR
(22,14),(14,18),0.189836 # DEPENDENCYPART_GRANDPAR
(22,14),(14,19),0.161372 # DEPENDENCYPART_GRANDPAR
(22,14),(14,20),0.805446 # DEPENDENCYPART_GRANDPAR
(22,14),(14,21),0.0106309 # DEPENDENCYPART_GRANDPAR
(22,14),(14,22),-1.24222 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,14),(14,24),0.00960262 # DEPENDENCYPART_GRANDPAR
(22,15),(15,11),0.204875 # DEPENDENCYPART_GRANDPAR
(22,15),(15,13),0.349599 # DEPENDENCYPART_GRANDPAR
(22,15),(15,16),0.283136 # DEPENDENCYPART_GRANDPAR
(22,16),(16,11),0.183669 # DEPENDENCYPART_GRANDPAR
(22,16),(16,13),0.443155 # DEPENDENCYPART_GRANDPAR
(22,16),(16,14),0.0602853 # DEPENDENCYPART_GRANDPAR
(22,16),(16,15),1.01961 # DEPENDENCYPART_GRANDPAR
(22,16),(16,17),0.38072 # DEPENDENCYPART_GRANDPAR
(22,16),(16,18),0.470201 # DEPENDENCYPART_GRANDPAR
(22,16),(16,19),0.272157 # DEPENDENCYPART_GRANDPAR
(22,16),(16,20),1.10955 # DEPENDENCYPART_GRANDPAR
(22,16),(16,21),0.294387 # DEPENDENCYPART_GRANDPAR
(22,16),(16,22),-1.26308 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,16),(16,23),0.155694 # DEPENDENCYPART_GRANDPAR
(22,16),(16,24),0.0331725 # DEPENDENCYPART_GRANDPAR
(22,16),(16,25),-0.254724 # DEPENDENCYPART_GRANDPAR
(22,16),(16,26),-0.156147 # DEPENDENCYPART_GRANDPAR
(22,16),(16,27),-0.499453 # DEPENDENCYPART_GRANDPAR
(22,16),(16,28),-0.244851 # DEPENDENCYPART_GRANDPAR
(22,16),(16,29),-0.203262 # DEPENDENCYPART_GRANDPAR
(22,16),(16,30),-0.793166 # DEPENDENCYPART_GRANDPAR
(22,18),(18,11),0.179215 # DEPENDENCYPART_GRANDPAR
(22,18),(18,12),0.59602 # DEPENDENCYPART_GRANDPAR
(22,18),(18,13),0.447133 # DEPENDENCYPART_GRANDPAR
(22,18),(18,14),0.0505246 # DEPENDENCYPART_GRANDPAR
(22,18),(18,15),1.01764 # DEPENDENCYPART_GRANDPAR
(22,18),(18,16),0.50721 # DEPENDENCYPART_GRANDPAR
(22,18),(18,17),0.407653 # DEPENDENCYPART_GRANDPAR
(22,18),(18,19),0.252905 # DEPENDENCYPART_GRANDPAR
(22,18),(18,20),1.095 # DEPENDENCYPART_GRANDPAR
(22,18),(18,21),0.273593 # DEPENDENCYPART_GRANDPAR
(22,18),(18,23),0.155692 # DEPENDENCYPART_GRANDPAR
(22,18),(18,24),0.0319745 # DEPENDENCYPART_GRANDPAR
(22,18),(18,25),-0.254726 # DEPENDENCYPART_GRANDPAR
(22,18),(18,26),-0.156197 # DEPENDENCYPART_GRANDPAR
(22,18),(18,27),-0.491093 # DEPENDENCYPART_GRANDPAR
(22,18),(18,28),-0.244853 # DEPENDENCYPART_GRANDPAR
(22,18),(18,29),-0.203311 # DEPENDENCYPART_GRANDPAR
(22,18),(18,30),-0.793169 # DEPENDENCYPART_GRANDPAR
(22,19),(19,18),0.539839 # DEPENDENCYPART_GRANDPAR
(22,19),(19,20),0.805446 # DEPENDENCYPART_GRANDPAR
(22,19),(19,21),0.0106309 # DEPENDENCYPART_GRANDPAR
(22,19),(19,22),-1.24222 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,19),(19,23),0.188855 # DEPENDENCYPART_GRANDPAR
(22,19),(19,24),0.00960262 # DEPENDENCYPART_GRANDPAR
(22,19),(19,26),-0.184047 # DEPENDENCYPART_GRANDPAR
(22,19),(19,27),-0.478591 # DEPENDENCYPART_GRANDPAR
(22,19),(19,29),-0.231162 # DEPENDENCYPART_GRANDPAR
(22,20),(20,21),0.130961 # DEPENDENCYPART_GRANDPAR
(22,20),(20,23),0.188427 # DEPENDENCYPART_GRANDPAR
(22,20),(20,28),-0.212675 # DEPENDENCYPART_GRANDPAR
(22,21),(21,15),1.02646 # DEPENDENCYPART_GRANDPAR
(22,21),(21,16),0.519071 # DEPENDENCYPART_GRANDPAR
(22,21),(21,18),0.552547 # DEPENDENCYPART_GRANDPAR
(22,21),(21,19),0.192022 # DEPENDENCYPART_GRANDPAR
(22,21),(21,20),1.13267 # DEPENDENCYPART_GRANDPAR
(22,21),(21,23),0.155694 # DEPENDENCYPART_GRANDPAR
(22,21),(21,24),0.0331725 # DEPENDENCYPART_GRANDPAR
(22,21),(21,29),-0.203262 # DEPENDENCYPART_GRANDPAR
(22,23),(23,20),0.521832 # DEPENDENCYPART_GRANDPAR
(22,23),(23,21),-0.271564 # DEPENDENCYPART_GRANDPAR
(22,23),(23,24),0.435109 # DEPENDENCYPART_GRANDPAR
(22,23),(23,26),0.320026 # DEPENDENCYPART_GRANDPAR
(22,23),(23,27),0.144349 # DEPENDENCYPART_GRANDPAR
(22,23),(23,28),0.302065 # DEPENDENCYPART_GRANDPAR
(22,23),(23,29),0.282513 # DEPENDENCYPART_GRANDPAR
(22,24),(24,21),-0.238777 # DEPENDENCYPART_GRANDPAR
(22,24),(24,23),0.485955 # DEPENDENCYPART_GRANDPAR
(22,24),(24,25),0.29842 # DEPENDENCYPART_GRANDPAR
(22,24),(24,26),0.396952 # DEPENDENCYPART_GRANDPAR
(22,24),(24,27),0.327998 # DEPENDENCYPART_GRANDPAR
(22,24),(24,28),0.348679 # DEPENDENCYPART_GRANDPAR
(22,24),(24,29),0.329187 # DEPENDENCYPART_GRANDPAR
(22,25),(25,26),0.297523 # DEPENDENCYPART_GRANDPAR
(22,26),(26,23),0.765048 # DEPENDENCYPART_GRANDPAR
(22,26),(26,25),0.349089 # DEPENDENCYPART_GRANDPAR
(22,26),(26,28),0.390865 # DEPENDENCYPART_GRANDPAR
(22,26),(26,29),0.364253 # DEPENDENCYPART_GRANDPAR
(22,27),(27,1),-0.823458 # DEPENDENCYPART_GRANDPAR
(22,27),(27,2),-0.43613 # DEPENDENCYPART_GRANDPAR
(22,27),(27,3),-0.223271 # DEPENDENCYPART_GRANDPAR
(22,27),(27,6),-0.562534 # DEPENDENCYPART_GRANDPAR
(22,27),(27,8),0.13513 # DEPENDENCYPART_GRANDPAR
(22,27),(27,9),-0.451374 # DEPENDENCYPART_GRANDPAR
(22,27),(27,10),-0.400556 # DEPENDENCYPART_GRANDPAR
