# _root_ Interprovincial Pipe Line Co. , an oil pipeline operator rumored to be mulling a gas pipeline proposal of its own , said that is n't in the cards .
#goldHeads=4,4,4,22,4,9,9,9,4,9,12,10,12,17,17,17,13,17,20,18,4,0,24,22,24,24,28,26,22,
#predictedHeads=4,4,4,22,4,9,9,9,4,9,12,10,12,17,17,17,13,17,20,18,4,0,24,22,24,24,28,26,22,
(24,23),(24,29),-0.117907 # DEPENDENCYPART_SIBL
(24,25),(24,26),0.0340913 # DEPENDENCYPART_SIBL
(24,25),(24,28),0.0391097 # DEPENDENCYPART_SIBL
(24,25),(24,29),0.0403595 # DEPENDENCYPART_SIBL
(24,26),(24,28),-0.0125932 # DEPENDENCYPART_SIBL
(24,26),(24,29),-0.0660199 # DEPENDENCYPART_SIBL
(24,28),(24,29),-0.00138328 # DEPENDENCYPART_SIBL
(25,20),(25,23),0.0270167 # DEPENDENCYPART_SIBL
(25,20),(25,24),0.0368799 # DEPENDENCYPART_SIBL
(25,20),(25,26),-0.0141305 # DEPENDENCYPART_SIBL
(25,20),(25,27),-0.0118571 # DEPENDENCYPART_SIBL
(25,20),(25,28),0.0580854 # DEPENDENCYPART_SIBL
(25,23),(25,24),0.0369101 # DEPENDENCYPART_SIBL
(25,23),(25,26),0.0512014 # DEPENDENCYPART_SIBL
(25,23),(25,27),0.0167101 # DEPENDENCYPART_SIBL
(25,23),(25,28),0.036648 # DEPENDENCYPART_SIBL
(25,24),(25,26),0.049578 # DEPENDENCYPART_SIBL
(25,24),(25,27),0.0171762 # DEPENDENCYPART_SIBL
(25,24),(25,28),0.0531788 # DEPENDENCYPART_SIBL
(25,26),(25,27),-0.0138488 # DEPENDENCYPART_SIBL
(25,26),(25,28),0.0101972 # DEPENDENCYPART_SIBL
(25,27),(25,28),-0.0166399 # DEPENDENCYPART_SIBL
(26,23),(26,25),0.0326709 # DEPENDENCYPART_SIBL
(26,23),(26,27),-0.0266466 # DEPENDENCYPART_SIBL
(26,23),(26,28),-0.0971678 # DEPENDENCYPART_SIBL
(26,23),(26,29),-0.0946369 # DEPENDENCYPART_SIBL
(26,25),(26,27),-0.0079577 # DEPENDENCYPART_SIBL
(26,25),(26,28),0.0146212 # DEPENDENCYPART_SIBL
(26,25),(26,29),0.0209136 # DEPENDENCYPART_SIBL
(26,27),(26,28),-0.0682394 # DEPENDENCYPART_SIBL
(26,27),(26,29),-0.0204782 # DEPENDENCYPART_SIBL
(26,28),(26,29),-0.0375183 # DEPENDENCYPART_SIBL
(28,19),(28,23),0.0245051 # DEPENDENCYPART_SIBL
(28,19),(28,25),-0.0117403 # DEPENDENCYPART_SIBL
(28,19),(28,26),-0.00923686 # DEPENDENCYPART_SIBL
(28,19),(28,27),-0.0335074 # DEPENDENCYPART_SIBL
(28,19),(28,29),-0.00164471 # DEPENDENCYPART_SIBL
(28,23),(28,25),-0.0509276 # DEPENDENCYPART_SIBL
(28,23),(28,26),-0.0733238 # DEPENDENCYPART_SIBL
(28,23),(28,27),-0.0566851 # DEPENDENCYPART_SIBL
(28,23),(28,29),-0.0962087 # DEPENDENCYPART_SIBL
(28,25),(28,26),-0.0202754 # DEPENDENCYPART_SIBL
(28,25),(28,27),0.0108665 # DEPENDENCYPART_SIBL
(28,25),(28,29),0.0179572 # DEPENDENCYPART_SIBL
(28,26),(28,27),-0.00158078 # DEPENDENCYPART_SIBL
(28,26),(28,29),0.0202028 # DEPENDENCYPART_SIBL
(28,27),(28,29),-0.115333 # DEPENDENCYPART_SIBL
(0,0),(0,4),-0.247096 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,10),0.218168 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,12),0.300231 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,13),0.257519 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,22),1.01732 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,24),0.356146 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,30),-0.95659 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,4),(0,10),-0.9084 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,12),-1.02979 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,13),-0.964214 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,22),-0.774596 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,24),-0.877706 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,30),-0.629244 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,10),(0,12),-1.16793 # DEPENDENCYPART_NEXTSIBL
(0,10),(0,13),-1.18195 # DEPENDENCYPART_NEXTSIBL
(0,10),(0,22),-1.00061 # DEPENDENCYPART_NEXTSIBL
(0,10),(0,24),-0.944481 # DEPENDENCYPART_NEXTSIBL
(0,10),(0,30),-0.272218 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,12),(0,13),-1.00839 # DEPENDENCYPART_NEXTSIBL
(0,12),(0,22),-0.910067 # DEPENDENCYPART_NEXTSIBL
(0,12),(0,24),-0.818922 # DEPENDENCYPART_NEXTSIBL
(0,12),(0,30),-0.661534 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,13),(0,22),-0.858572 # DEPENDENCYPART_NEXTSIBL
(0,13),(0,24),-0.889882 # DEPENDENCYPART_NEXTSIBL
(0,13),(0,30),-0.43776 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,22),(0,24),-0.387589 # DEPENDENCYPART_NEXTSIBL
(0,22),(0,30),-0.340025 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,24),(0,30),0.330495 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.481723 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.543877 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.507143 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,4),-0.323434 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,5),-0.471611 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,9),-0.516526 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,10),0.020719 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,30),-0.418 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-1.05992 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,4),-1.15945 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,5),-0.68937 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,9),-1.27759 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,10),-0.980055 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,30),-0.841118 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,3),(1,4),-1.09852 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,5),-0.654052 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,9),-1.243 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,10),-0.968467 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,30),-1.02318 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,4),(1,5),-0.353675 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,9),-1.10102 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,10),-0.805883 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,30),-0.662832 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,5),(1,9),0.177665 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,10),-0.34951 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,30),-1.22057 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,9),(1,10),-0.609037 # DEPENDENCYPART_NEXTSIBL
(1,9),(1,30),-1.19079 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,10),(1,30),-0.441063 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.489881 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.507143 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,4),-0.323436 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,5),-0.471605 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,7),-0.669169 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,8),-0.278349 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,9),-0.516527 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,10),0.0207043 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,30),-0.417324 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,3),(2,4),-1.09852 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,5),-0.654042 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,7),-1.21949 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,8),-1.26618 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,9),-1.243 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,10),-0.968471 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,30),-1.02318 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,4),(2,5),-0.353665 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,7),-1.03209 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,8),-1.10366 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,9),-1.10101 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,10),-0.805888 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,30),-0.662834 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,5),(2,7),-0.0509648 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,8),0.102027 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,9),0.177674 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,10),-0.34951 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,30),-1.22057 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,7),(2,8),-1.04212 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,9),-1.04957 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,10),-0.911929 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,30),-0.9853 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,8),(2,9),-0.915892 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,10),-0.847153 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,30),-1.20708 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,9),(2,10),-0.60904 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,30),-1.19079 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,10),(2,30),-0.441077 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.460024 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.489878 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.442587 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.328324 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,5),-0.480289 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,7),-0.674055 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,8),-0.283236 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,9),-0.521414 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,10),0.0164322 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,30),-0.409889 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),-0.358117 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,7),-1.03749 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,8),-1.10906 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,9),-1.10641 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,10),-0.811123 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,30),-0.666372 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,7),-0.058139 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,8),0.0948523 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,9),0.1705 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,10),-0.35095 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,30),-1.22339 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,7),(3,8),-1.04752 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,9),-1.05497 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,10),-0.917164 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,30),-0.988837 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,8),(3,9),-0.921292 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,10),-0.852388 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,30),-1.21062 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,9),(3,10),-0.614275 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,30),-1.19433 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,10),(3,30),-0.447384 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-0.39333 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-0.452942 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-0.500127 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.0496583 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.804198 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),-0.439211 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,5),-0.464655 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,7),-0.680209 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,8),-0.28939 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,9),-0.526925 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,10),-0.0040558 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,17),-0.143497 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,21),-1.00328 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,29),-0.832161 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,30),-0.393989 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,7),-0.0536041 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,8),0.0993872 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,9),0.176319 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,10),-0.343739 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,17),0.135088 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,21),-1.79548 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,29),-1.39298 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,30),-1.23347 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,7),(4,8),-1.04956 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,9),-1.05637 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,10),-0.921541 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,17),-1.24295 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,21),-0.314096 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,29),-0.98583 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,30),-0.997493 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,8),(4,9),-0.922694 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,10),-0.856765 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,17),-1.1288 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,21),-0.192695 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,29),-0.934668 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,30),-1.21927 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,9),(4,10),-0.61801 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,17),-1.03186 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,21),0.00536011 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,29),-0.771975 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,30),-1.2017 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,10),(4,17),-0.782789 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,21),-0.104941 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,29),-0.541115 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,30),-0.448788 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,17),(4,21),-0.140836 # DEPENDENCYPART_NEXTSIBL
(4,17),(4,29),-0.391768 # DEPENDENCYPART_NEXTSIBL
(4,17),(4,30),-0.50732 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,21),(4,29),-0.939512 # DEPENDENCYPART_NEXTSIBL
(4,21),(4,30),-0.660971 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,29),(4,30),-1.77482 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,3),-0.313523 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,2),-0.337616 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,1),-0.397232 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.569979 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,3),(4,2),0.0667447 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,1),-0.320847 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,-1),-0.881033 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,2),(4,1),0.0435905 # DEPENDENCYPART_NEXTSIBL
(4,2),(4,-1),-0.705692 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,1),(4,-1),-0.340602 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,30),-0.231055 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,5),(5,-1),-0.32352 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,6),(6,7),-0.598542 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,30),-0.381507 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,30),-1.01522 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,5),-0.771549 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.386164 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,5),(6,-1),-1.47923 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,8),-0.286408 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,10),0.0391362 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,12),0.119431 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,13),0.0782913 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,30),-0.440242 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,10),-0.844131 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,12),-0.97583 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,13),-0.932351 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,30),-1.21381 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,12),-0.979985 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,13),-0.995456 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,30),-0.423805 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,12),(7,13),-0.819574 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,30),-0.796901 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,13),(7,30),-0.589528 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,6),-0.513626 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.410825 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,6),(7,-1),-0.280987 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,10),0.0187867 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,12),0.0990812 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,13),0.0579417 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,30),-0.409836 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,10),(8,12),-0.994407 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,13),-1.00988 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,30),-0.445438 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,12),(8,13),-0.833997 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,30),-0.818534 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,13),(8,30),-0.611161 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,7),-0.536208 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,6),-0.479553 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,4),-0.26535 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.483291 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,7),(8,6),-0.287781 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,4),-0.845254 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,-1),-0.928762 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,6),(8,4),-0.877244 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,-1),-0.247031 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,4),(8,-1),-0.623912 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,10),0.0207167 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,11),-0.366093 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,12),0.101011 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,13),0.0598718 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,17),-0.132471 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,18),0.0441106 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,20),-0.233804 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,21),-1.01023 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,29),-0.829519 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,30),-0.410403 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,11),-0.84418 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,12),-0.991482 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,13),-1.00695 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,17),-0.773153 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,18),-0.791839 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,20),-0.95105 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,21),-0.0957315 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,29),-0.531349 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,30),-0.441068 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,11),(9,12),-0.867717 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,13),-0.953538 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,17),-0.690229 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,18),-0.91661 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,20),-0.816044 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,21),-0.461083 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,29),-0.802108 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,30),-0.649764 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,12),(9,13),-0.831072 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,17),-0.745373 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,18),-0.547495 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,20),-0.907743 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,21),0.0938034 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,29),-0.458298 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,30),-0.814165 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,13),(9,17),-0.697422 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,18),-0.711241 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,20),-0.875567 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,21),-0.219844 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,29),-0.174336 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,30),-0.606792 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,17),(9,18),-0.285546 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,20),-0.664104 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,21),-0.143326 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,29),-0.385217 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,30),-0.495138 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,18),(9,20),-0.742584 # DEPENDENCYPART_NEXTSIBL
(9,18),(9,21),-0.365917 # DEPENDENCYPART_NEXTSIBL
(9,18),(9,29),-0.542206 # DEPENDENCYPART_NEXTSIBL
(9,18),(9,30),-0.471788 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,20),(9,21),-0.581609 # DEPENDENCYPART_NEXTSIBL
(9,20),(9,29),-1.05233 # DEPENDENCYPART_NEXTSIBL
(9,20),(9,30),-1.04884 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,21),(9,29),-0.94065 # DEPENDENCYPART_NEXTSIBL
(9,21),(9,30),-0.648072 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,29),(9,30),-1.7717 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,8),-0.11535 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,7),-0.531212 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,6),-0.483635 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,5),-0.898094 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,4),-0.260565 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,3),-0.374592 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,2),-0.39868 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,1),-0.458292 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,-1),-0.489374 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
