# _root_ `` This week was uneventful for the CD market , '' said Norberto Mehl , chairman of Banxquote .
#goldHeads=12,3,4,12,4,4,9,9,6,12,12,0,14,12,14,14,16,17,12,
#predictedHeads=12,3,4,12,4,5,9,9,6,12,12,0,14,12,14,14,16,17,12,
(3,12),(12,11),(12,5),0.109511 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,3),0.103443 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,1),-0.14484 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,-1),-0.170282 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,10),(12,9),0.119544 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,8),0.119585 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,7),0.109456 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,6),0.136352 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,5),0.105017 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,4),0.122256 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,3),0.119577 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,-1),-0.211402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,9),(12,8),0.0935998 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,7),0.109129 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,6),0.112465 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,5),0.105541 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,4),0.103582 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,3),0.0935861 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,2),-0.145141 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,-1),-0.0826819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,8),(12,7),0.109194 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,6),0.116318 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,5),0.105541 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,4),0.103582 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,3),0.0935944 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,2),-0.145141 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,-1),-0.0862211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,7),(12,6),0.103285 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,5),0.109525 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,4),0.109455 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,3),0.108691 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,-1),-0.163243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,6),(12,5),0.110705 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,4),0.108879 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,3),0.0993649 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,2),-0.145129 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,-1),-0.208407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,5),(12,4),0.109496 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,5),(12,3),0.10863 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,5),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,5),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,5),(12,-1),-0.226767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,4),(12,3),0.107542 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,4),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,4),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,4),(12,-1),-0.15896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,3),(12,2),-0.145141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,3),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,3),(12,-1),-0.0902771 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,2),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,2),(12,-1),-0.15693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,1),(12,-1),-0.120376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,14),(14,15),0.133597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,16),-0.131056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,17),0.00462251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,18),-0.132199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,19),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,20),0.107895 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,15),(14,16),0.130436 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,17),0.00606279 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,18),0.135171 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,19),-0.0242318 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,20),-0.0201802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,16),(14,17),-0.0237606 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,18),-0.00174346 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,19),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,20),0.0220514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,17),(14,18),-0.0174279 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,17),(14,19),-0.0210534 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,17),(14,20),-0.0123878 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,18),(14,19),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,20),0.0247738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,19),(14,20),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,14),(14,13),0.156506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,12),0.091907 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,11),0.0903868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,10),0.182046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,9),0.145832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,8),0.156506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,7),0.0998363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,5),0.0762187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,-1),-0.0397519 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,13),(14,12),0.110267 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,11),0.105873 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,10),0.116649 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,9),0.0886513 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,8),0.088653 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,7),0.129811 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,5),0.132349 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,-1),-0.175219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,12),(14,11),0.108409 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,10),0.106072 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,9),0.113469 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,8),0.113469 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,7),0.0982213 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,5),0.10866 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,-1),-0.197854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,11),(14,10),0.1074 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,9),0.107045 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,8),0.107045 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,7),0.109008 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,5),0.109333 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,-1),-0.156988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,10),(14,9),0.118224 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,8),0.118227 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,7),0.108664 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,5),0.0749665 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,-1),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,9),(14,8),0.0871055 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,9),(14,7),0.129396 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,9),(14,5),0.130789 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,9),(14,-1),-0.179413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,8),(14,7),0.129811 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,8),(14,5),0.132349 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,8),(14,-1),-0.175219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,7),(14,5),0.128995 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,7),(14,-1),-0.165472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,5),(14,-1),-0.197323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,15),(15,20),-0.0606075 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,15),(15,15),(15,-1),-0.20092 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,19),(19,19),(19,20),0.00822931 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,19),(19,19),(19,17),0.109122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,-1),-0.108349 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,19),(19,17),(19,-1),-0.145168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,20),-0.103236 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,1),(1,-1),0.0205963 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,2),(2,3),0.107301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,4),-0.148717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,6),-0.125759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,20),-0.240272 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,3),(2,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,20),-0.146374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,4),(2,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,20),-0.150354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,6),(2,20),-0.106503 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,2),(2,-1),0.0261804 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,3),(3,4),-0.128544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,5),-0.156628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,6),-0.0688649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,9),-0.0481904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,10),-0.144904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,11),-0.1449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,12),-0.127391 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,14),-0.0476028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,15),-0.144904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,20),-0.210318 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,4),(3,5),-0.144892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,6),-0.147232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,9),-0.142323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,10),-0.161831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,11),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,12),-0.142049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,14),-0.142323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,15),-0.161831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,19),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,20),-0.118361 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,5),(3,6),-0.145415 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,9),-0.14492 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,10),-0.14489 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,12),-0.144769 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,14),-0.14492 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,15),-0.14489 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,20),-0.0916694 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,6),(3,9),-0.145987 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,10),-0.150072 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,12),-0.14456 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,14),-0.145987 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,15),-0.150072 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,19),-0.144742 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,20),-0.0247932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,9),(3,10),-0.160051 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,11),-0.144702 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,12),-0.145072 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,14),-0.139138 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,15),-0.160051 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,19),-0.145043 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,20),-0.128126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,10),(3,11),-0.144913 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,12),-0.160043 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,14),-0.161182 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,15),-0.144835 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,19),-0.144938 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,20),-0.147925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,11),(3,12),-0.145369 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,14),-0.145569 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,15),-0.145047 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,20),-0.18612 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,12),(3,14),-0.142197 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,15),-0.161824 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,19),-0.144709 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,20),-0.12275 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,14),(3,15),-0.160051 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,14),(3,19),-0.145043 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,14),(3,20),-0.115689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,15),(3,19),-0.144938 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,15),(3,20),-0.147925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,19),(3,20),-0.148123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,3),(3,2),-0.0428384 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,1),-0.0685532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,-1),0.0133437 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,2),(3,1),-0.0229631 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,2),(3,-1),-0.000959637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,1),(3,-1),-0.0530989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,6),-0.0821799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,8),-0.022603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,9),-0.016402 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,10),-0.0396701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,11),-0.00385377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,12),-0.0144204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,15),-0.0396701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,16),-0.022603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,17),-0.099108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,19),-0.0240891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,20),-0.0581439 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,6),(5,8),-0.0252633 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,9),-0.0252633 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,10),-0.0156089 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,11),-0.0237467 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,12),-0.0370255 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,15),-0.0156089 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,16),-0.0252633 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,17),-0.0119973 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,19),-0.0194432 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,20),-0.0198048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,8),(5,9),-0.0205744 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,10),-0.0255111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,11),-0.0237547 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,12),-0.0154596 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,15),-0.0255111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,16),-0.0205743 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,17),-0.00812226 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,20),-0.0776615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,9),(5,10),-0.0255111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,11),-0.0237547 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,12),-0.0154596 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,15),-0.0255111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,16),-0.0205743 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,17),-0.00191734 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,20),-0.0776656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,10),(5,11),-0.0156479 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,12),-0.00764491 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,16),-0.0252266 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,17),-0.037802 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,20),-0.0183321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,11),(5,12),-0.0130405 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,15),-0.0200446 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,16),-0.0251263 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,17),-0.00824937 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,19),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,20),-0.03395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,12),(5,15),-0.0254353 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,16),-0.0139764 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,17),-0.0235509 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,19),-0.0202323 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,20),-0.00352467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,15),(5,16),-0.0252266 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,15),(5,17),-0.037802 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,15),(5,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,15),(5,20),-0.0183321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,16),(5,17),-0.00812226 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,16),(5,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,16),(5,20),-0.0776615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,17),(5,19),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,17),(5,20),-0.0206125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,19),(5,20),-0.0260841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,3),-0.1476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,2),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,-1),-0.229827 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,3),(5,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,3),(5,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,3),(5,-1),-0.0411984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,2),(5,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,2),(5,-1),-0.199857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,1),(5,-1),-0.162807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,7),0.00534188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,8),0.0387036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,9),0.0377959 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,10),-0.0433134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,11),-0.0083667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,12),0.02159 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,14),0.038731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
