# _root_ Here , wedged between shifting dunes and pounding waves at the world 's most inhospitable diamond dig , lies the earth 's most precious jewel box .
#goldHeads=19,19,19,3,6,7,4,9,7,3,12,17,12,15,17,17,10,19,0,21,26,21,26,26,26,19,19,
#predictedHeads=19,19,19,3,7,5,4,7,8,8,12,10,12,15,17,17,13,19,0,21,22,19,24,26,26,22,19,
(0,13),(13,16),(13,24),-0.0350413 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,16),(13,26),0.0251484 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,16),(13,27),0.0618194 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,16),(13,28),-0.0787502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,17),(13,18),-0.0683288 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,17),(13,19),0.00437955 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,17),(13,21),0.0251484 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,17),(13,22),0.000412157 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,17),(13,24),-0.0350413 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,17),(13,26),0.0251484 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,17),(13,27),0.0618194 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,17),(13,28),-0.0787502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,18),(13,19),-0.0233224 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,18),(13,21),-0.101445 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,18),(13,22),-0.0269713 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,18),(13,24),-0.0128054 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,18),(13,26),-0.101445 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,18),(13,27),-0.0134599 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,18),(13,28),-0.0562057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,19),(13,21),-0.0011282 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,19),(13,22),-0.0453697 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,19),(13,24),-0.0172769 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,19),(13,26),-0.0011282 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,19),(13,27),-0.0413783 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,19),(13,28),-0.059926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,21),(13,22),0.000412157 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,21),(13,24),-0.0350413 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,21),(13,26),0.0251484 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,21),(13,27),0.0618194 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,21),(13,28),-0.0787502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,22),(13,24),-0.0172769 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,22),(13,26),-0.00164663 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,22),(13,27),-0.0341579 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,22),(13,28),-0.0603988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,24),(13,26),-0.0217416 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,24),(13,27),0.0690149 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,24),(13,28),-0.0329156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,26),(13,27),0.0620657 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,26),(13,28),-0.0787502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,27),(13,28),0.173664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,13),(13,12),0.311232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,11),0.248051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,10),0.178048 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,9),0.312357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,8),0.0504888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,7),0.107057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,6),0.312357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,5),0.0504888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,4),0.166662 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,3),0.0504888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,2),0.11511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,1),0.180812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,13),(13,13),(13,-1),-0.63558 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,13),(13,12),(13,11),0.0802395 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,12),(13,10),-0.0778305 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,12),(13,9),0.105774 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,12),(13,8),0.120512 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,12),(13,7),0.127776 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,12),(13,6),0.105774 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,12),(13,5),0.120512 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,12),(13,4),-0.0749331 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,12),(13,3),0.120512 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,12),(13,2),0.281821 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,12),(13,1),0.112284 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,12),(13,-1),0.0573884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,11),(13,10),0.0974212 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,11),(13,9),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,11),(13,8),0.109893 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,11),(13,7),0.11252 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,11),(13,6),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,11),(13,5),0.109893 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,11),(13,4),0.0986802 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,11),(13,3),0.109893 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,11),(13,2),0.143827 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,11),(13,1),0.118213 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,11),(13,-1),-0.112543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,10),(13,9),0.165561 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,10),(13,8),0.100811 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,10),(13,7),0.100307 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,10),(13,6),0.165561 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,10),(13,5),0.100811 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,10),(13,4),0.116339 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,10),(13,3),0.100811 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,10),(13,2),0.111833 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,10),(13,1),0.0577569 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,10),(13,-1),-0.21311 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,9),(13,8),0.120512 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,9),(13,7),0.127776 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,9),(13,6),0.105897 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,9),(13,5),0.120512 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,9),(13,4),-0.0749331 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,9),(13,3),0.120512 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,9),(13,2),0.281853 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,9),(13,1),0.112284 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,9),(13,-1),0.0584809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,8),(13,7),0.135638 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,8),(13,6),0.0538837 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,8),(13,5),0.110512 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,8),(13,4),0.100831 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,8),(13,3),0.110512 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,8),(13,2),0.0692657 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,8),(13,1),0.129491 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,8),(13,-1),-0.0696641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,7),(13,6),-0.113465 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,7),(13,5),0.0123902 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,7),(13,4),0.0060977 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,7),(13,3),0.020764 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,7),(13,2),0.363564 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,7),(13,1),0.147805 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,7),(13,-1),0.00391876 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,6),(13,5),0.120512 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,6),(13,4),-0.0749331 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,6),(13,3),0.120512 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,6),(13,2),0.281853 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,6),(13,1),0.112284 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,6),(13,-1),0.0564213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,5),(13,4),0.100831 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,5),(13,3),0.110512 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,5),(13,2),0.0692657 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,5),(13,1),0.129491 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,5),(13,-1),-0.0696641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,4),(13,3),0.100871 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,4),(13,2),0.114259 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,4),(13,1),0.0609085 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,4),(13,-1),-0.234269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,3),(13,2),0.0692657 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,3),(13,1),0.129491 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,3),(13,-1),-0.0696641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,2),(13,1),0.156798 # DEPENDENCYPART_GRANDSIBL
(0,13),(13,2),(13,-1),-0.349707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,13),(13,1),(13,-1),-0.160106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,19),(19,20),-0.00587567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,21),-0.0279369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,22),-0.0560337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,23),-0.0145185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,24),0.0614191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,25),-0.0279369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,26),-0.0276906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,27),-0.111076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,28),-0.195809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,19),(19,20),(19,21),-0.000291251 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,22),0.00448173 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,23),-0.0268985 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,24),-0.0218268 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,25),-0.000291251 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,26),-0.000291251 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,27),-0.0167013 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,28),-0.0273276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,21),(19,22),0.000941191 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,23),-0.0422778 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,24),-0.0350245 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,25),0.0259389 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,26),0.0259389 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,27),0.052952 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,28),-0.0753363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,22),(19,23),-0.0104512 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,22),(19,24),-0.0172769 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,22),(19,25),-0.00109209 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,22),(19,26),-0.00109209 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,22),(19,27),-0.022097 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,22),(19,28),-0.0603062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,23),(19,24),0.00633008 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,23),(19,25),0.00974345 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,23),(19,26),0.00974345 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,23),(19,27),0.0769227 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,23),(19,28),-0.0306832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,24),(19,25),-0.0206285 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,24),(19,26),-0.0206285 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,24),(19,27),0.0680269 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,24),(19,28),-0.0328261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,25),(19,26),0.0259389 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,25),(19,27),0.052952 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,25),(19,28),-0.0753363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,26),(19,27),0.0531982 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,26),(19,28),-0.0753363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,27),(19,28),0.171155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,19),(19,18),0.115132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,17),0.315264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,16),0.315264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,15),0.218675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,13),0.0601027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,12),0.314139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,10),0.181974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,9),0.315264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,8),0.0557502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,7),0.107102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,6),0.315264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,5),0.0557502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,4),0.170589 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,3),0.0557502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,2),0.115132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,1),0.179635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,-1),-0.633935 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,19),(19,18),(19,17),0.101852 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,16),0.101852 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,15),0.139948 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,13),0.0941936 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,12),0.101852 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,10),0.31421 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,9),0.101852 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,8),0.0886139 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,7),0.0967686 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,6),0.0997928 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,5),0.0886139 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,4),0.306061 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,3),0.0886139 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,2),0.072063 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,1),0.154858 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,-1),-0.349652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,17),(19,16),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,15),0.0905629 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,13),0.12121 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,12),0.105774 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,10),-0.0817554 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,9),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,8),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,7),0.128141 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,6),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,5),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,4),-0.078858 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,3),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,2),0.284997 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,1),0.109852 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,-1),0.0646178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,16),(19,15),0.0905629 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,13),0.12121 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,12),0.105774 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,10),-0.0817554 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,9),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,8),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,7),0.128141 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,6),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,5),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,4),-0.078858 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,3),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,2),0.284997 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,1),0.109852 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,-1),0.0646178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,15),(19,13),0.108107 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,12),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,10),0.106192 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,9),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,8),0.108853 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,7),0.107712 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,6),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,5),0.108853 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,4),0.106212 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,3),0.108853 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,2),0.138326 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,1),0.106267 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,-1),-0.0625869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,13),(19,12),0.0544502 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,10),0.0979912 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,9),0.0544502 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,8),0.106608 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,7),0.132894 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,6),0.0544502 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,5),0.106608 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,4),0.100464 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,3),0.106608 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,2),0.0682196 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,1),0.122881 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,-1),-0.0593555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,12),(19,10),-0.0817554 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,9),0.105774 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,8),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,7),0.128141 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,6),0.105774 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,5),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,4),-0.078858 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,3),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,2),0.284965 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,1),0.109852 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,-1),0.0635254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,10),(19,9),0.165561 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,10),(19,8),0.100811 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,10),(19,7),0.100307 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,10),(19,6),0.165561 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,10),(19,5),0.100811 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,10),(19,4),0.116339 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,10),(19,3),0.100811 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,10),(19,2),0.111847 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,10),(19,1),0.0566393 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,10),(19,-1),-0.214006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,9),(19,8),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,9),(19,7),0.128141 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,9),(19,6),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,9),(19,5),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,9),(19,4),-0.078858 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,9),(19,3),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,9),(19,2),0.284997 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,9),(19,1),0.109852 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,9),(19,-1),0.0646178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,8),(19,7),0.135807 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,8),(19,6),0.0546036 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,8),(19,5),0.108185 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,8),(19,4),0.100874 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,8),(19,3),0.108185 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,8),(19,2),0.0695394 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,8),(19,1),0.123246 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,8),(19,-1),-0.0576509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,7),(19,6),-0.113465 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,7),(19,5),0.0123902 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,7),(19,4),0.0060977 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,7),(19,3),0.020764 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,7),(19,2),0.36482 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,7),(19,1),0.147805 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,7),(19,-1),0.00826373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,6),(19,5),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,6),(19,4),-0.078858 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,6),(19,3),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,6),(19,2),0.284997 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,6),(19,1),0.109852 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,6),(19,-1),0.0625582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
