# _root_ The unpopular Mr. Sarney , whose task was to bring about a smooth transition to democracy after 21 years of military rule , is n't seeking re-election .
#goldHeads=4,4,4,24,4,7,8,4,10,8,10,14,14,10,14,15,10,19,17,19,22,20,4,0,24,24,26,24,
#predictedHeads=4,4,4,24,4,7,8,4,10,8,10,14,14,10,10,15,10,19,17,19,22,20,4,0,24,24,26,24,
(8,10),(10,11),(10,25),-0.0154556 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,26),-0.0140342 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,27),-0.0169861 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,29),-0.00948463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,12),(10,13),-0.0275403 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,14),-0.0237532 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,15),-0.022079 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,16),-0.0237532 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,17),-0.0122581 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,19),-0.0237533 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,20),-0.0163986 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,21),-0.0275403 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,22),-0.0237532 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,23),-0.0191859 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,24),-0.024654 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,25),-0.0195405 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,26),-0.0245642 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,27),-0.0237532 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,29),-0.0409632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,13),(10,14),-0.0354476 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,15),-0.0284743 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,16),-0.0354476 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,17),0.0174878 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,19),-0.035449 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,20),0.0174887 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,21),-0.0223878 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,22),-0.0354476 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,23),0.000569991 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,24),-0.0147951 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,25),-0.0220084 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,26),-0.0113137 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,27),-0.0354476 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,28),-0.0198773 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,29),-0.00805168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,14),(10,15),-0.0194238 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,16),-0.00405504 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,17),-0.0103129 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,19),-0.00539598 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,20),-0.00381624 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,21),-0.0143961 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,22),-0.00405836 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,23),-0.0464722 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,24),-0.0604251 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,25),-0.0389611 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,26),-0.0588018 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,27),-0.00405504 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,28),-0.015209 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,29),-0.0451929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,15),(10,16),-0.032822 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,17),0.0265079 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,19),-0.0328259 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,20),0.0217729 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,21),-0.0286115 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,22),-0.032822 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,23),0.0021836 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,24),-0.010195 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,25),-0.0213158 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,26),-0.00873961 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,27),-0.032822 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,28),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,29),-0.0295415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,16),(10,17),-0.0103156 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,19),-0.00539598 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,20),-0.00381901 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,21),-0.0143961 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,22),-0.00405836 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,23),-0.0464704 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,24),-0.0604251 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,25),-0.0389611 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,26),-0.0588018 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,27),-0.00405504 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,28),-0.015209 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,29),-0.0457507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,17),(10,19),-0.0010783 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,20),-0.0443417 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,21),-0.0298781 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,22),-0.000348736 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,23),0.054089 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,24),-0.0356318 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,25),-0.0231038 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,26),-0.0208908 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,27),-0.000348736 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,28),-0.0304226 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,29),0.0546496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,19),(10,20),-0.00902123 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,19),(10,21),-0.0143961 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,19),(10,22),-0.00405836 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,19),(10,23),-0.0465401 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,19),(10,24),-0.0546163 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,19),(10,25),-0.0398328 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,19),(10,26),-0.052993 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,19),(10,27),-0.00405504 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,19),(10,28),-0.015209 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,19),(10,29),-0.0491299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,20),(10,21),-0.030614 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,20),(10,22),-0.0059133 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,20),(10,23),0.0381453 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,20),(10,24),-0.0435883 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,20),(10,25),-0.0278725 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,20),(10,26),-0.0288473 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,20),(10,27),-0.0059133 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,20),(10,28),-0.0302553 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,20),(10,29),0.0358833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,21),(10,22),-0.0354539 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,21),(10,23),0.000556785 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,21),(10,24),-0.0147993 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,21),(10,25),-0.0220084 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,21),(10,26),-0.0113179 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,21),(10,27),-0.0354539 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,21),(10,28),-0.0198773 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,21),(10,29),-0.00836634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,22),(10,23),-0.0464704 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,22),(10,24),-0.0604251 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,22),(10,25),-0.0389611 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,22),(10,26),-0.0588018 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,22),(10,27),-0.00405504 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,22),(10,28),-0.015209 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,22),(10,29),-0.0474067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,23),(10,24),0.0502599 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,23),(10,25),-0.0183817 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,23),(10,26),0.0547666 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,23),(10,27),-0.0555343 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,23),(10,28),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,23),(10,29),0.109566 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,24),(10,25),-0.0273524 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,24),(10,26),0.0194009 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,24),(10,27),-0.0299654 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,24),(10,28),-0.00318788 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,24),(10,29),-0.0675935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,25),(10,26),0.00983678 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,25),(10,27),-0.0360653 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,25),(10,28),-0.0233671 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,25),(10,29),0.0104798 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,26),(10,27),-0.0299235 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,26),(10,28),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,26),(10,29),-0.0446308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,27),(10,28),-0.015209 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,27),(10,29),-0.0457494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,28),(10,29),-0.0333911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,9),0.178922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,7),-0.191486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,5),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,4),-0.191486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,-1),-0.230683 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,9),(10,7),-0.121781 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,5),-0.144916 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,4),-0.121781 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,-1),-0.227413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,7),(10,5),-0.147788 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,4),-0.147956 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,-1),-0.164679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,5),(10,4),-0.146784 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,-1),-0.110416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,4),(10,-1),-0.164348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,11),(11,14),-0.0589598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,29),0.0684014 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,14),(11,29),-0.0524249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,11),(11,-1),-0.160968 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,13),(13,15),0.000789273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,16),-0.022603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,17),-0.0794586 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,19),-0.0249951 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,20),-0.0991082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,29),-0.0581439 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,15),(13,16),-0.019491 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,17),-0.0112112 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,19),-0.019491 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,20),-0.0114407 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,29),-0.00686243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,16),(13,17),-0.00492189 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,19),-0.0205743 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,20),-0.00812226 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,29),-0.0771057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,17),(13,19),-0.0247585 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,20),-0.0172414 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,29),-0.0119442 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,19),(13,20),-0.00812226 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,29),-0.0788859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,20),(13,29),-0.0206127 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,12),0.0596014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,7),-0.1476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,-1),-0.229135 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,12),(13,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,-1),-0.231439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,7),(13,-1),-0.0411977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,14),(14,15),-0.0770149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,16),0.0247071 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,17),-0.0787342 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,18),-0.00650271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,19),0.0236727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,20),-0.0718667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,21),-0.0216303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,22),0.0231031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,23),0.0596268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,24),-0.0375671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,26),-0.0318099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,28),0.00600435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,29),0.00584032 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,14),(14,15),(14,16),-0.0262234 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,17),-0.0277859 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,18),-0.0278795 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,19),-0.0262234 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,20),-0.0205102 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,21),-0.0106116 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,22),-0.0262234 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,23),-0.0402939 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,24),-0.00164897 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,26),-0.00492001 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,28),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,29),-0.0485653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,16),(14,17),-0.0333606 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,18),-0.00463914 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,19),-0.00448406 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,20),-0.0363316 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,21),-0.0242223 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,22),-0.00428824 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,23),-0.0569499 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,24),-0.00822856 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,26),-0.00725543 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,28),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,29),0.0159155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,17),(14,18),-0.0259892 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,19),-0.0301149 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,20),0.00470089 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,21),-0.018316 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,22),-0.0299999 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,23),0.0162129 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,24),-0.0272548 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,26),-0.0243674 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,28),-0.0213922 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,29),-0.0509107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,18),(14,19),-0.0321576 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,18),(14,20),-0.024219 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,18),(14,21),-0.0216675 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,18),(14,22),-0.0321576 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,18),(14,23),-0.0263159 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,18),(14,24),-0.0178753 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,18),(14,26),-0.0178753 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,18),(14,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,18),(14,29),0.00662058 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,19),(14,20),-0.0363389 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,19),(14,21),-0.0242223 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,19),(14,22),-0.00428853 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,19),(14,23),-0.0569923 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,19),(14,24),-0.00822856 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,19),(14,26),-0.00725543 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,19),(14,28),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,19),(14,29),0.0138472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,20),(14,21),-0.0181532 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,20),(14,22),-0.0318437 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,20),(14,23),0.0389251 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,20),(14,24),-0.0241774 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,20),(14,26),-0.02129 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,20),(14,28),-0.0214351 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,20),(14,29),-0.0332235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,21),(14,22),0.00226922 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,21),(14,23),-0.0257753 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,21),(14,24),-0.0178806 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,21),(14,26),-0.0174074 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,21),(14,28),-0.0194731 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,21),(14,29),-0.0369582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,22),(14,23),-0.0569494 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,22),(14,24),-0.00822856 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,22),(14,26),-0.00725543 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,22),(14,28),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,22),(14,29),0.0144423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,23),(14,24),-0.0112206 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,23),(14,26),-0.00763052 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,23),(14,28),-0.0194519 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,23),(14,29),-0.0654281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,24),(14,26),-0.00468806 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,24),(14,28),-0.0198162 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,24),(14,29),-0.0291485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,26),(14,28),-0.0198145 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,26),(14,29),-0.0293597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,28),(14,29),-0.0121011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,14),(14,13),0.122253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,12),0.0969757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,10),0.146525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,8),0.138961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,7),-0.0476025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,5),-0.144904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,2),-0.156628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,1),-0.14963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,-1),-0.221865 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,14),(14,13),(14,12),0.149539 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,13),(14,10),0.103789 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,13),(14,8),0.103781 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,13),(14,7),-0.14492 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,13),(14,5),-0.14489 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,13),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,13),(14,1),-0.148262 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,13),(14,-1),-0.0960491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,12),(14,10),0.112904 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,12),(14,8),0.112904 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,12),(14,7),-0.144946 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,12),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,12),(14,2),-0.144704 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,12),(14,1),-0.145935 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,12),(14,-1),-0.148252 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,10),(14,8),0.112988 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,10),(14,7),-0.142195 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,10),(14,5),-0.161813 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,10),(14,2),-0.144892 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,10),(14,1),-0.150718 # DEPENDENCYPART_GRANDSIBL
