# _root_ `` Demand from Japan is expected to continue strong , but not from other areas of the world into the first quarter of next year , '' he said .
#goldHeads=29,5,2,3,29,5,8,6,8,6,13,13,6,15,13,15,18,16,13,22,22,19,22,25,23,29,29,29,0,29,
#predictedHeads=29,5,2,3,29,5,8,6,11,11,8,11,12,15,13,15,18,16,8,22,22,19,22,25,23,29,29,29,0,29,
(4,6),(6,7),(6,13),-0.0560641 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,19),-0.0551647 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,26),-0.0532386 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,29),-0.0594081 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,30),-0.0432707 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,31),-0.0470084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,8),(6,9),-0.043361 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,10),-0.0347746 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,11),-0.0358407 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,12),-0.0423128 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,13),-0.0481334 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,19),-0.0476042 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,26),-0.0347746 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,29),-0.0437945 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,30),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,31),-0.0840839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,9),(6,10),-0.0329952 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,11),-0.0411804 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,12),-0.0438231 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,13),-0.0493419 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,19),-0.0511773 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,26),-0.0329952 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,29),-0.0551824 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,30),-0.0428788 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,31),0.0352741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,10),(6,11),-0.0276303 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,12),-0.0473624 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,13),-0.0657901 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,19),-0.0629182 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,26),-0.0295576 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,29),-0.0759457 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,31),-0.0932753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,11),(6,12),0.314697 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,13),0.224426 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,19),0.132918 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,26),0.0604193 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,29),0.22503 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,30),0.166329 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,11),(6,31),-0.0546857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,12),(6,13),-0.0235254 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,19),-0.0290891 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,26),-0.047044 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,29),-0.0399892 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,30),-0.0452914 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,31),0.000997221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,13),(6,19),-0.0384337 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,13),(6,26),-0.0206221 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,13),(6,29),-0.0326661 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,13),(6,30),-0.0531827 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,13),(6,31),-0.0280685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,19),(6,26),-0.0195073 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,19),(6,29),-0.0251794 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,19),(6,30),-0.0529863 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,19),(6,31),-0.0219469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,26),(6,29),-0.0759457 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,26),(6,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,26),(6,31),-0.0932753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,29),(6,30),-0.0419659 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,29),(6,31),-0.0805436 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,30),(6,31),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,5),0.164374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,4),0.169959 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,6),(6,3),-0.156528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,2),-0.175329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,-1),0.060309 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,5),(6,4),0.115758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,5),(6,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,2),-0.124893 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,-1),-0.148743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,4),(6,3),-0.126304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,2),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,1),-0.125538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,-1),-0.0290516 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,3),(6,2),-0.125063 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,3),(6,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,3),(6,-1),-0.188487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,2),(6,1),-0.125538 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,2),(6,-1),-0.0312223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,1),(6,-1),-0.11952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,1),(1,31),-0.064843 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,1),(1,1),(1,-1),0.0084762 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,2),(2,3),0.142337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,4),0.0270859 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,5),-0.0859438 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,2),(2,6),-0.0916853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,7),-0.132341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,8),-0.0915151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,9),-0.123442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,10),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,11),-0.0955123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,12),-0.122952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,13),-0.0280879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,16),-0.0558573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,26),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,31),-0.21708 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,3),(2,4),0.126417 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,5),-0.108601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,3),(2,6),-0.108495 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,7),-0.126302 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,8),-0.108494 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,9),-0.125553 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,10),-0.127249 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,11),-0.113874 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,12),-0.115604 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,13),-0.132021 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,16),-0.129865 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,26),-0.127249 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,31),0.0328442 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,4),(2,5),-0.12619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,4),(2,6),-0.126184 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,7),-0.126029 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,8),-0.126184 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,9),-0.125758 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,10),-0.140665 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,11),-0.125977 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,12),-0.124924 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,13),-0.128564 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,16),-0.128255 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,26),-0.140665 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,31),-0.104476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,5),(2,6),-0.122564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,7),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,8),-0.122564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,9),-0.125823 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,10),-0.144867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,11),-0.126411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,12),-0.125036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,13),-0.128648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,16),-0.128552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,26),-0.144867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,30),-0.124896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,31),-0.0489575 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,6),(2,7),-0.124895 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,8),-0.122562 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,9),-0.125823 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,10),-0.144084 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,11),-0.126118 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,12),-0.125036 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,13),-0.128524 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,16),-0.128428 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,26),-0.144084 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,30),-0.124895 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,31),-0.0428526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,7),(2,8),-0.127027 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,7),(2,9),-0.124923 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,7),(2,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,7),(2,11),-0.12489 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,7),(2,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,7),(2,13),-0.129797 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,7),(2,16),-0.129117 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,7),(2,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,7),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,7),(2,31),-0.0479869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,8),(2,9),-0.125823 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,10),-0.14402 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,11),-0.126118 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,12),-0.125036 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,13),-0.128523 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,16),-0.128427 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,26),-0.14402 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,30),-0.124895 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,31),-0.0426147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,9),(2,10),-0.125194 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,11),-0.125145 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,12),-0.127034 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,13),-0.127275 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,16),-0.127423 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,26),-0.125194 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,30),-0.130349 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,31),-0.081384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,10),(2,11),-0.155911 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,10),(2,12),-0.125989 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,10),(2,13),-0.132504 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,10),(2,16),-0.132523 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,10),(2,26),-0.128777 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,10),(2,30),-0.125335 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,10),(2,31),-0.149327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,11),(2,12),-0.075398 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,11),(2,13),0.0685764 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,11),(2,16),0.0375712 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,11),(2,26),-0.178256 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,11),(2,30),-0.142234 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,11),(2,31),-0.0660988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,12),(2,13),-0.125163 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,12),(2,16),-0.125162 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,12),(2,26),-0.125138 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,12),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,12),(2,31),-0.0849921 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,13),(2,16),-0.129865 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,13),(2,26),-0.127249 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,13),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,13),(2,31),0.0328442 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,16),(2,26),-0.127659 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,16),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,16),(2,31),-0.0143046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,26),(2,30),-0.125335 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,26),(2,31),-0.149327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,30),(2,31),-0.139006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,2),(2,1),-0.0769982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,-1),-0.0198314 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,1),(2,-1),-0.098464 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,3),(3,4),0.127753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,5),-0.120903 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,3),(3,6),-0.120899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,7),-0.127045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,8),-0.120898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,9),-0.12602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,13),-0.0801593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,31),0.0153242 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,4),(3,5),-0.124887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,4),(3,6),-0.124887 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,7),-0.124891 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,8),-0.124887 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,9),-0.124922 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,13),-0.126255 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,31),-0.156783 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,5),(3,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,7),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,13),-0.124896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,31),-0.0673628 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,6),(3,7),-0.124887 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,13),-0.124896 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,31),-0.0777892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,7),(3,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,13),-0.124886 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,31),-0.126245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,8),(3,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,13),-0.124896 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,31),-0.0707012 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,9),(3,13),-0.124887 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,31),-0.116033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,13),(3,31),-0.10862 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,3),(3,2),0.00587384 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,1),0.00652481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,-1),-0.127898 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,2),(3,1),-0.049416 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,2),(3,-1),0.0238352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,1),(3,-1),-0.0676022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,5),-0.0859439 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,4),(4,6),-0.0916854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,31),-0.205047 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,5),(4,6),-0.122564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,31),-0.0620968 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,6),(4,31),-0.0559918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,3),-0.0988676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,2),-0.021305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,1),-0.0765841 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,-1),-0.0327499 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,3),(4,2),-0.0828161 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,3),(4,1),-0.0447244 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,3),(4,-1),-0.0396771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,2),(4,1),-0.0567278 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,2),(4,-1),-0.0234437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,1),(4,-1),-0.0975206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,7),0.0675055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,8),-0.0342374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,9),-0.0733096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,10),-0.128548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,11),-0.0439743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,12),-0.0659183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,13),-0.0776652 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,19),-0.0914269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,26),-0.128548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,29),-0.0312898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,30),-0.0701302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,31),0.103946 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,7),(6,8),-0.0374113 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,9),-0.0356947 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,10),0.0199804 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,11),-0.0453439 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,12),-0.0497815 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,13),0.0160593 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,19),-0.0107615 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,26),0.0199804 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,29),-0.0340579 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,30),-0.0436362 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,31),-0.03261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,8),(6,9),-0.0453802 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,10),-0.0415076 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,11),-0.0349739 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,12),-0.048342 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,13),-0.054427 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,19),-0.0524739 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,26),-0.0415076 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,29),-0.00931961 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,30),-0.0260459 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,31),-0.0427725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,9),(6,10),-0.0204431 # DEPENDENCYPART_GRANDSIBL
